name,test_incremental_finance/macro_types/precision/mean,epoch/mean,test/macro_example/recall/mean,test_incremental_finance-currency/macro_types/recall/mean,test/micro/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_finance-currency/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_finance-stock_exchange/macro_types/recall/mean,test_pretraining/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_finance/macro_types/recall/mean,test_incremental_finance/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_types/precision/mean,test/macro_example/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/recall/mean,test/macro_types/recall/mean,test/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/micro/f1/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_pretraining/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_finance-stock_exchange/macro_types/f1/mean,test/macro_types/f1/mean,test/macro_example/f1/mean,threshold_pretraining/mean,test_incremental/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_finance-currency/macro_types/precision/mean,test_incremental_finance-stock_exchange/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_incremental/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test/micro/precision/mean,test_incremental_finance/macro_types/precision/std,epoch/std,test/macro_example/recall/std,test_incremental_finance-currency/macro_types/recall/std,test/micro/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_finance-currency/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_finance-stock_exchange/macro_types/recall/std,test_pretraining/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_finance/macro_types/recall/std,test_incremental_finance/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test/macro_types/precision/std,test/macro_example/precision/std,test_incremental/micro/precision/std,test_incremental_only/micro/recall/std,test/macro_types/recall/std,test/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/micro/f1/std,test_incremental/micro/recall/std,test_pretraining/macro_types/precision/std,test_pretraining/micro/f1/std,test_pretraining/macro_example/f1/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_finance-stock_exchange/macro_types/f1/std,test/macro_types/f1/std,test/macro_example/f1/std,threshold_pretraining/std,test_incremental/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example/f1/std,test_incremental_finance-currency/macro_types/precision/std,test_incremental_finance-stock_exchange/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_incremental/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test/micro/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,1.0,52.333333333333336,0.9056270917256674,0.700000007947286,0.8779230316480001,0.01414984961350759,0.8232277433077494,0.9056270917256674,0.8058381080627441,0.6777778466542562,0.6555555462837219,0.9058144092559814,0.7462963263193766,0.018673161665598553,0.8833333253860474,0.9380530714988708,0.6777777870496114,1.0,1.0,0.01414984961350759,0.8331552942593893,0.8945369720458984,0.9245573282241821,1.0,0.6777777671813965,0.8107894062995911,0.8916504780451456,0.8538945118586222,0.8058381279309591,0.01629552369316419,0.01414984961350759,0.8763191302617391,0.7805555661519369,0.8945369720458984,0.8916504780451456,0.9149942199389139,0.8779230316480001,0.6777778267860413,0.786040186882019,0.8506043553352356,0.9149942199389139,0.25,1.0,0.8944445252418518,0.8506043553352356,0.017393638069430988,1.0,1.0,0.9245573282241821,0.6777778267860413,0.11666666666666668,0.8107894062995911,0.7805556058883667,0.9058144092559814,0.0,15.947831618540913,0.0006571248038761008,0.033333331346516296,0.0011179778216046058,0.0017855260841622247,0.02307839998564915,0.0006571248038761008,0.06207096077381028,0.08552672524497604,0.13877772502594468,0.0001086893761876051,0.05701776133507409,0.00020088769930494787,0.0,0.0,0.08552666716890689,0.0,0.0,0.0017855260841622247,0.024126197988987526,0.0,3.3449200490335255e-05,0.0,0.08552670007867662,0.0033539915407859106,0.000629339387662683,0.03788260557536557,0.06207092764654224,0.0008927635562963025,0.0017855260841622247,0.027229635690798157,0.04276333745619184,0.0,0.000629339387662683,0.00035127476584999946,0.0011179778216046058,0.08552670007867662,0.10573673319651561,0.001847057756348495,0.00035127476584999946,0.0,0.0,0.009622529722516081,0.001847057756348495,0.000503679179798051,0.0,0.0,3.3449200490335255e-05,0.08552670007867662,0.06658328118479394,0.0033539915407859106,0.04276337036596611,0.0001086893761876051
no_init_box_kenn_horizontal_adapter_bert_ms,1.0,62.666666666666664,0.905466636021932,0.7777777711550394,0.877269426981608,0.01310600774983565,0.8749126593271891,0.905466636021932,0.7634595036506653,0.6277778347333273,0.4777777741352717,0.9057506322860718,0.7129629850387573,0.018557179098327957,0.8833333253860474,0.9380530714988708,0.627777765194575,1.0,1.0,0.01310600774983565,0.8153205513954163,0.8945369720458984,0.9245380163192749,1.0,0.6277777850627899,0.80882861216863,0.8912818630536398,0.8294531106948853,0.7634594837824503,0.015773602450887363,0.013106008060276508,0.8592067956924438,0.7555555502573649,0.8945369720458984,0.8912818630536398,0.9149027665456136,0.877269426981608,0.6277778546015421,0.6067684988180796,0.8495181798934937,0.9149027665456136,0.25,1.0,0.888888955116272,0.8495181798934937,0.01702130399644375,1.0,1.0,0.9245380163192749,0.6277778546015421,0.11,0.80882861216863,0.7555556098620096,0.9057506322860718,0.0,14.46835627614047,0.0009925975244582856,0.019245025032274446,0.0020706967163241843,0.0033070233161464433,0.012103827204151213,0.0009925975244582856,0.12151949850377448,0.15840641532459615,0.300616639980723,0.00020153393416982775,0.10560431590434799,0.00020088769930494687,0.0,0.0,0.1584063991237865,0.0,0.0,0.0033070233161464433,0.04667300758237124,0.0,3.344920049036731e-05,0.0,0.15840642838975325,0.0062120316170823225,0.0011663367566958056,0.0725351298627228,0.12151947028926006,0.0016535111844610518,0.003307023332477969,0.05164204904834475,0.07920319198409842,0.0,0.0011663367566958056,0.0005212577677124437,0.0020706967163241843,0.15840644459055803,0.29569076360863317,0.003427167184037441,0.0005212577677124437,0.0,0.0,0.009622529722516081,0.003427167184037441,0.000974385833364168,0.0,0.0,3.344920049036731e-05,0.15840644459055803,0.0754983443527075,0.0062120316170823225,0.07920319198409842,0.00020153393416982775
no_init_box_kenn_hybrid_adapter_bert_ms,1.0,51.0,0.9054975310961405,0.7111111283302307,0.8776325186093649,0.01368591965486606,0.8283476034800211,0.9054975310961405,0.7878589232762655,0.6555555860201517,0.6000000139077505,0.9057860771814982,0.7314814925193787,0.018557179098327957,0.8833333253860474,0.9380530714988708,0.6555555661519369,1.0,1.0,0.01368591965486606,0.8238483866055807,0.8945369720458984,0.9245380163192749,1.0,0.6555555661519369,0.8099179665247599,0.891486664613088,0.8433422247568766,0.7878589232762655,0.016063558558622997,0.01368591965486606,0.8688724239667257,0.7694444259007772,0.8945369720458984,0.891486664613088,0.9149185220400492,0.8776325186093649,0.6555555860201517,0.7441724936167399,0.8501224120457967,0.9149185220400492,0.25,1.0,0.888888955116272,0.8501224120457967,0.017199337482452393,1.0,1.0,0.9245380163192749,0.6555555860201517,0.25,0.8099179665247599,0.769444485505422,0.9057860771814982,0.0,13.114877048604,0.0009828345853274323,0.10183500937362319,0.0015302224711862336,0.002443899699405538,0.07113601350135726,0.0009828345853274323,0.08677550255399707,0.11706282664221046,0.13333334028720883,0.00014881006359261374,0.07804190611492774,0.00020088769930494687,0.0,0.0,0.1170627983550979,0.0,0.0,0.002443899699405538,0.03025157698606676,0.0,3.344920049036731e-05,0.0,0.1170627983550979,0.004590698529358957,0.0008616425107954999,0.0525168471538689,0.08677550255399707,0.0012219503137882053,0.002443899699405538,0.037611224386891705,0.05853141332110525,0.0,0.0008616425107954999,0.0005150578357425871,0.0015302224711862336,0.11706282664221046,0.10501645110454277,0.0025299173895669304,0.0005150578357425871,0.0,0.0,0.009622529722516081,0.0025299173895669304,0.0006315584873574926,0.0,0.0,3.344920049036731e-05,0.11706282664221046,0.17691806012954134,0.004590698529358957,0.05853141332110525,0.00014881006359261374
no_init_box_kenn_top_down_adapter_bert_ms,1.0,46.0,0.9054492314656576,0.7444444298744202,0.8774146636327108,0.013337973194817701,0.8531261285146078,0.9054492314656576,0.7779552936553955,0.638888935248057,0.5333333412806193,0.9057649771372477,0.7203704118728638,0.018673161665598553,0.8833333253860474,0.9380530714988708,0.6388888955116272,1.0,1.0,0.013337973194817701,0.8220701217651367,0.8945369720458984,0.9245573282241821,1.0,0.6388888756434122,0.8092643618583679,0.891364316145579,0.8368038535118103,0.7779553135236105,0.015889585639039677,0.01333797350525856,0.8640093207359314,0.7611111203829447,0.8945369720458984,0.891364316145579,0.914903481801351,0.8774146636327108,0.638888935248057,0.6831353108088175,0.849764903386434,0.914903481801351,0.25,1.0,0.8944445252418518,0.849764903386434,0.01716221496462822,1.0,1.0,0.9245573282241821,0.638888935248057,0.47000000000000003,0.8092643618583679,0.7611111402511597,0.9057649771372477,0.0,6.244997998398398,0.0004383666232916995,0.03849001565179121,0.0009824219820146571,0.0015689807820710845,0.02563155108390458,0.0004383666232916995,0.0558137390495953,0.07515415035683244,0.18559215042347893,9.55309124782089e-05,0.05010278746636541,0.00020088769930494787,0.0,0.0,0.07515418119954811,0.0,0.0,0.0015689807820710845,0.02259563656178326,0.0,3.3449200490335255e-05,0.0,0.07515415035683244,0.002947206463652872,0.0005532147759851059,0.03378143414418009,0.05581376948325765,0.0007844911311234253,0.0015689807476483612,0.024187225528203952,0.0375770762799448,0.0,0.0005532147759851059,0.00023848879296822518,0.0009824219820146571,0.07515415035683244,0.15543992499340575,0.001624475587266534,0.00023848879296822518,0.0,0.0,0.009622529722516081,0.001624475587266534,0.0004717248939864713,0.0,0.0,3.3449200490335255e-05,0.07515415035683244,0.19924858845171275,0.002947206463652872,0.03757710712266899,9.55309124782089e-05
no_init_kenn_bottom_up_adapter_bert_ms,1.0,156.33333333333334,0.9141614635785421,0.7888888915379842,0.8981118202209473,0.017513338165978592,0.7137002547581991,0.9141614635785421,0.7850351929664612,0.838888943195343,0.8888888756434122,0.9109624624252319,0.7870370944341024,0.01890512742102146,0.6833333373069763,0.8118811845779419,0.8388888835906982,0.8202875057856241,0.7832495371500651,0.017513338165978592,0.8268939852714539,0.9009952545166016,0.9265348513921102,0.8531938195228577,0.8388888835906982,0.8606521288553873,0.9044855237007141,0.8231189846992493,0.8114887475967407,0.01588958439727624,0.017513338165978592,0.7953430811564127,0.7611111203829447,0.9009952545166016,0.9044855237007141,0.9203037818272909,0.8981118202209473,0.838888943195343,0.886040190855662,0.8803357084592184,0.9203037818272909,0.375,0.880191703637441,0.9055556058883667,0.8803357084592184,0.01726292073726654,0.7394054432710012,0.9011695782343546,0.9265348513921102,0.838888943195343,0.35666666666666663,0.8606521288553873,0.7611111402511597,0.9109624624252319,0.0,21.079215671683166,0.00122740758538204,0.17105336724758322,0.0018140958625061474,0.0028972381585357625,0.12804089651643713,0.00122740758538204,0.055225533174895376,0.13877772502594468,0.10715167491612138,0.004005635583572992,0.09251848335062979,0.0010629949423881723,0.0,0.0,0.13877772502594468,0.1610004999965444,0.20959383171844057,0.0028972381585357625,0.06230097923580543,0.006313733003861327,0.002824255246329022,0.1474866530743227,0.13877772502594468,0.005442263726507639,0.0011971100891331379,0.010240799891571306,0.012433585093112714,0.0014486189674196692,0.0028972381585357625,0.03353009258896963,0.06938886728516518,0.006313733003861327,0.0011971100891331379,0.0009122242945472488,0.0018140958625061474,0.13877772502594468,0.07326799487106367,0.00016302166005672275,0.0009122242945472488,0.0,0.10733363639956092,0.050917524197016326,0.00016302166005672275,0.001300645898561974,0.29979423108434367,0.14328440020109326,0.002824255246329022,0.13877772502594468,0.540401085614503,0.005442263726507639,0.06938883387982765,0.004005635583572992
no_init_kenn_horizontal_adapter_bert_ms,1.0,156.33333333333334,0.9141769409179688,0.7777777910232544,0.8981118400891622,0.01751333847641945,0.7742424408594767,0.9141769409179688,0.853317141532898,0.838888923327128,0.8999999761581421,0.913172443707784,0.7870370546976725,0.019021109367410343,0.6833333373069763,0.8118811845779419,0.8388889034589132,0.9144444465637207,0.8977563977241516,0.01751333847641945,0.8291182518005371,0.9046876827875773,0.9278280735015869,0.9330548842748007,0.8388888835906982,0.8606521288553873,0.9055767854054769,0.8530355294545492,0.8639439940452576,0.01588958501815796,0.01751333847641945,0.8335523804028829,0.7611111005147299,0.9046876827875773,0.9055767854054769,0.9209503531455995,0.8981118400891622,0.838888923327128,0.9410419861475626,0.8821040590604147,0.9209503531455995,0.375,0.9429629842440287,0.9111111958821615,0.8821040590604147,0.01730935648083687,0.8399999936421713,0.9888888796170553,0.9278280735015869,0.838888923327128,0.3633333333333333,0.8606521288553873,0.7611111402511597,0.913172443707784,0.0,21.779194965226175,0.0010450009800683896,0.1677740885614567,0.0015302224711862178,0.0024438996552069,0.08887882598863972,0.0010450009800683896,0.050769970267302796,0.11706282664221047,0.06666666269302368,0.002510800502250246,0.07804190328621756,0.0007243091108825954,0.0,0.0,0.11706279835509788,0.131247587016967,0.1607246466853884,0.0024438996552069,0.048634245710043454,0.005146968916260429,0.002042362757094694,0.10677568935929897,0.11706282947092389,0.004590698529358973,0.0007367875313365799,0.02644150962952493,0.040629254166999876,0.0012219494298161666,0.0024438996552069,0.026734264093687145,0.05853141332110524,0.005146968916260429,0.0007367875313365799,0.0006494214983504391,0.0015302224711862178,0.11706282664221047,0.029304570652464584,0.0012843714319218135,0.0006494214983504391,0.0,0.08749835703191869,0.034694400237245564,0.0012843714319218135,0.001015327970508069,0.24331049454864767,0.019245025032274446,0.002042362757094694,0.11706282664221047,0.5346338310781813,0.004590698529358973,0.05853138503399429,0.002510800502250246
no_init_kenn_hybrid_adapter_bert_ms,1.0,154.66666666666666,0.9143741130828857,0.8222222129503886,0.8984023332595825,0.017977267503738403,0.7158641815185547,0.9143741130828857,0.7620953321456909,0.8611111640930176,0.8999999761581421,0.9097181955973307,0.8018518884976705,0.019021109367410343,0.6833333373069763,0.8118811845779419,0.8611110846201578,0.7695027192433676,0.7319148977597555,0.017977267503738403,0.835784117380778,0.8990037043889364,0.92586217323939,0.8130355676015218,0.8611111044883728,0.8615235884984335,0.9040181040763855,0.8132530252138773,0.7887942989667257,0.01612154922137658,0.017977267503738403,0.781381090482076,0.7722222208976746,0.8990037043889364,0.9040181040763855,0.9200796286265055,0.8984023332595825,0.8611111640930176,0.8389813303947449,0.8798311352729797,0.9200796286265055,0.375,0.8463351726531982,0.9111111561457316,0.8798311352729797,0.01744851904610793,0.7076923151810964,0.8313131133715311,0.92586217323939,0.8611111640930176,0.35666666666666663,0.8615235884984335,0.7722222407658895,0.9097181955973307,0.0,19.08751773629388,0.0012218265339690793,0.16442942901238944,0.001827108829449185,0.0029180570190634205,0.10951492686379999,0.0012218265339690793,0.053361603880294664,0.13977495549982635,0.1154700469553736,0.004252671985886543,0.09318330485108779,0.001118492186190597,0.0,0.0,0.1397749401008603,0.20450863874484043,0.23217825811787082,0.0029180570190634205,0.06357192203153038,0.00801992401704236,0.0026394954480409,0.16191925507233162,0.13977495549982635,0.005481345440933828,0.0011721034615349926,0.019727865871456987,0.04523494145791007,0.0014590282133977372,0.0029180570190634205,0.0315754471181704,0.06988747774991316,0.00801992401704236,0.0011721034615349926,0.0006967670910831319,0.001827108829449185,0.13977495549982635,0.14434979987079588,0.0013323935968199267,0.0006967670910831319,0.0,0.13633907010352336,0.053575854455023955,0.0013323935968199267,0.0013271794966505344,0.28492706176808547,0.263833673717967,0.0026394954480409,0.13977495549982635,0.5493025881363871,0.005481345440933828,0.06988744339836991,0.004252671985886543
no_init_kenn_top_down_adapter_bert_ms,1.0,158.0,0.9143354495366415,0.8222222129503886,0.8983297149340311,0.017861285557349522,0.7064689993858337,0.9143354495366415,0.7675326267878214,0.8555556138356527,0.8888888756434122,0.9100443720817566,0.7981481949488322,0.01890512742102146,0.6833333373069763,0.8118811845779419,0.855555534362793,0.7763568758964539,0.7419779698053995,0.017861285557349522,0.8317912220954895,0.8992724816004435,0.9259626865386963,0.8217761516571045,0.8555555542310079,0.8613057335217794,0.9041429758071899,0.8142069578170776,0.7919565637906393,0.016063558248182137,0.017861285557349522,0.7848578294118246,0.7694444457689921,0.8992724816004435,0.9041429758071899,0.9201097091039023,0.8983297149340311,0.8555556138356527,0.8571444352467855,0.8798485199610392,0.9201097091039023,0.375,0.8509046037991842,0.9055556058883667,0.8798485199610392,0.01736516070862611,0.6942596832911173,0.8584540883700053,0.9259626865386963,0.8555556138356527,0.4266666666666667,0.8613057335217794,0.769444465637207,0.9100443720817566,0.0,16.09347693943108,0.0011940757016967293,0.16442942901238944,0.001774394221829085,0.002833864818629517,0.10690013213485396,0.0011940757016967293,0.04928034928789994,0.13574213740985577,0.10715167491612138,0.0040277243732231155,0.0904947651850277,0.0010629949423881723,0.0,0.0,0.1357421239928491,0.19613307633678392,0.22427843721044743,0.002833864818629517,0.06101727384066248,0.007691486142728127,0.0026484619338418506,0.15531688284691597,0.13574213740985577,0.005323203400800859,0.0010862133223958595,0.016997748480948132,0.03833467234988574,0.0014169320853246615,0.002833864818629517,0.0290511505961688,0.06787106870492789,0.007691486142728127,0.0010862133223958595,0.0007310634462421952,0.001774394221829085,0.13574213740985577,0.11529085316637683,0.0012566608875267588,0.0007310634462421952,0.0,0.13075536566723914,0.050917524197016326,0.0012566608875267588,0.0012738468054194728,0.2895363469147314,0.2169383444402272,0.0026484619338418506,0.13574213740985577,0.49702447961175245,0.005323203400800859,0.06787103455254748,0.0040277243732231155
smart_init_box_adapter_bert_ms,1.0,109.0,0.9062881668408712,0.7555555502573649,0.8793028195699056,0.013163999654352665,0.751072883605957,0.9062881668408712,0.771661102771759,0.6814815203348795,0.8111111124356588,0.9022713104883829,0.8166666825612386,0.016740122189124424,0.8833333253860474,0.9380530714988708,0.7833333214124044,0.8333333333333334,0.8333333333333334,0.016353514976799488,0.8058969577153524,0.888001004854838,0.9226243098576864,0.8875255584716797,0.7833333412806193,0.8149288495381674,0.8906278808911642,0.8367034196853638,0.771661102771759,0.017397355909148853,0.014227171428501606,0.8468666076660156,0.8333333134651184,0.888001004854838,0.8906278808911642,0.9143799146016439,0.8793028195699056,0.783333400885264,0.7909672856330872,0.8498488465944926,0.9143799146016439,0.25,0.8888888955116272,0.8018519481023153,0.8498488465944926,0.016824569863577683,0.8303030331929525,0.8363636334737142,0.9226243098576864,0.6305556098620096,0.5833333333333334,0.8149288495381674,0.833333412806193,0.9022713104883829,0.0,84.07734534343957,0.0010821421512502065,0.15030830071366488,0.001644859795174827,0.003284063172944479,0.11631889704237533,0.0010821421512502065,0.11312708610765373,0.0788288745974339,0.10715167491612139,0.006222683476719416,0.08388702849107252,0.003549010285594479,0.0,0.0,0.12583054471031552,0.28867513459481287,0.28867513459481287,0.0026269432850062418,0.07230913177729459,0.011320627251519833,0.003331487365128336,0.19481144727998567,0.12583057628962924,0.004934516226862053,0.0022963420667315147,0.06320501555150473,0.11312708610765373,0.0013134714266289061,0.0016456971051982375,0.07404007622345572,0.06291528617110714,0.011320627251519833,0.0022963420667315147,0.001162865160984882,0.001644859795174827,0.12583059997411639,0.11495641513974865,0.0029655267027523724,0.001162865160984882,0.0,0.19245007825895602,0.16999757773193389,0.0029655267027523724,0.001509584939302483,0.2939237684001356,0.2834265007894901,0.003331487365128336,0.1573066378339463,0.4628534685333289,0.004934516226862053,0.06291529011852674,0.006222683476719416
smart_init_classifier_adapter_bert_ms,1.0,57.666666666666664,0.9144050280253092,0.8333333134651184,0.8983297149340311,0.017803294584155083,0.9060887098312378,0.9144050280253092,0.9126964807510376,0.8541602889696757,0.8777777552604675,0.9146026571591696,0.7981481750806173,0.018634501844644547,0.6833333373069763,0.8118811845779419,0.855555534362793,0.9825533827145895,0.9820346434911092,0.017861285557349522,0.8262202342351278,0.9073586265246073,0.9289569854736328,0.9896549185117086,0.855555534362793,0.8613057533899943,0.9063929319381714,0.8823082049687704,0.9129372040430704,0.01606355917950471,0.0178321556498607,0.8652618130048116,0.769444465637207,0.9073586265246073,0.9063929319381714,0.9216234683990479,0.8983297149340311,0.8555556535720825,0.9184599121411642,0.8837300539016724,0.9216234683990479,0.375,0.9883689483006796,0.8925926685333252,0.8837300539016724,0.017248857766389847,1.0,0.965106745560964,0.9289569854736328,0.8527778585751852,0.6233333333333333,0.8613057533899943,0.769444465637207,0.9146026571591696,0.0,3.7859388972001833,0.0006930729401993273,0.1154700469553736,0.001006297860839556,0.0015593048904516246,0.07149849195410529,0.0006930729401993273,0.03898439313359235,0.07580056359839953,0.03849001565179121,0.00013439387378204462,0.05132002086905493,0.00017716541726921702,0.0,0.0,0.07698003130358241,0.017245023774372353,0.017858118126702054,0.001607098368243556,0.025877212571868504,0.0006762685638016292,5.9527973692396474e-05,0.010309465468206375,0.07698003130358241,0.0030188247570032394,0.0004716992625275441,0.028213430995588692,0.03917036176722766,0.0008035497218211174,0.0015824744887675938,0.02147116733175976,0.03849001565179121,0.0006762685638016292,0.0004716992625275441,0.000331327830817149,0.001006297860839556,0.07698003130358241,0.011317554668832821,0.0013193780176520428,0.000331327830817149,0.0,0.011496662415780188,0.00848623452275509,0.0013193780176520428,0.0005402343414740894,0.0,0.03449007699001654,5.9527973692396474e-05,0.07469070230261486,0.31895663237081834,0.0030188247570032394,0.03849001565179121,0.00013439387378204462
