name,test_incremental/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_finance-stock_exchange/macro_types/f1/mean,test_incremental/micro/f1/mean,test/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_finance-currency/macro_types/precision/mean,test/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_finance/macro_types/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_finance-stock_exchange/macro_types/recall/mean,test/macro_example/f1/mean,test/macro_types/recall/mean,test/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test/micro/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test/micro/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_pretraining/micro/recall/mean,test_incremental/micro/precision/mean,threshold_pretraining/mean,test_incremental_finance/macro_types/precision/mean,test_pretraining/macro_example/f1/mean,test_incremental_finance/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_finance-currency/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_finance-currency/macro_types/recall/mean,test_incremental_finance-stock_exchange/macro_types/precision/mean,epoch/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_example/recall/mean,test_pretraining/macro_types/recall/mean,test/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_finance-stock_exchange/macro_types/f1/std,test_incremental/micro/f1/std,test/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental_finance-currency/macro_types/precision/std,test/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_finance/macro_types/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/micro/precision/std,test_incremental_finance-stock_exchange/macro_types/recall/std,test/macro_example/f1/std,test/macro_types/recall/std,test/macro_types/precision/std,test_pretraining/macro_types/precision/std,test/micro/precision/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test/micro/f1/std,test_pretraining/micro/precision/std,test_pretraining/macro_example/recall/std,test_pretraining/micro/recall/std,test_incremental/micro/precision/std,threshold_pretraining/std,test_incremental_finance/macro_types/precision/std,test_pretraining/macro_example/f1/std,test_incremental_finance/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_finance-currency/macro_types/f1/std,threshold_incremental/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/macro_types/f1/std,test_incremental_finance-currency/macro_types/recall/std,test_incremental_finance-stock_exchange/macro_types/precision/std,epoch/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_example/recall/std,test_pretraining/macro_types/recall/std,test/micro/recall/std,test_incremental_only/macro_example/f1/std
no_init_kenn_horizontal_adapter_bert_ms,0.016179541125893593,0.01913709131379922,0.8398011724154154,0.9467084606488546,0.8595388134320577,0.928697923819224,0.017532384023070335,0.9065732558568319,0.8834107915560404,0.7750000158945719,0.8118811845779419,0.9039744138717651,0.9688577651977539,0.9477855563163757,0.899999996026357,0.921530028184255,0.8617414633433024,0.9062108993530273,0.9062108993530273,0.9141433238983154,0.928697923819224,0.018093250691890717,0.9062407612800598,0.9141433238983154,0.9144726991653442,0.8984749515851339,0.968225876490275,0.375,1.0,0.921530028184255,0.6833333373069763,0.9062407612800598,0.7750000158945719,0.8572103182474772,0.35999999999999993,0.9532866279284159,0.018093250691890717,0.8666666547457377,0.9166667461395264,0.8666667342185974,0.8778778115908304,0.8666667143503824,0.8834107915560404,0.8333333333333334,1.0,95.66666666666667,0.9010183215141296,0.8666666547457377,0.8055556019147238,0.8666667342185974,0.9144726991653442,0.8617414633433024,0.8984749515851339,0.018093250691890717,0.0009205813282164272,0.0006026609471174902,0.03791902749206014,0.03257773181410784,0.019549516135314558,0.0008549237098266807,0.000791628610893564,0.13105978360651366,0.0012061995998976294,0.04409584692398301,0.0,0.03553753724030341,0.04368657182383977,0.07524336795359787,0.057735040684065715,0.00039373186304390406,0.0034584757113531816,0.0025697808022658144,0.0025697808022658144,0.0009278500037460796,0.0008549237098266807,0.0018411626564328544,0.00043711826079781543,0.0009278500037460796,0.0007749454905462728,0.001152847765596634,0.046307114779864,0.0,0.0,0.00039373186304390406,0.0,0.00043711826079781543,0.04409584692398301,0.048086682237329106,0.5204805471869242,0.06552989180325684,0.0018411626564328544,0.08819171637640418,0.028867485929275186,0.08819168258374815,0.02581981718854675,0.08819171637640418,0.0012061995998976294,0.12018505188323374,0.0,23.62907813126304,0.035867227420108755,0.08819171637640418,0.058794481339017476,0.08819168258374815,0.0007749454905462728,0.0034584757113531816,0.001152847765596634,0.0018411626564328544
no_init_kenn_hybrid_adapter_bert_ms,0.016353514045476913,0.01944637857377529,0.850910464922587,0.76239013671875,0.7440619270006815,0.922850509484609,0.01776431066294511,0.7055555582046509,0.8790764411290487,0.7833333412806193,0.8118811845779419,0.7305965423583984,0.8043859799702963,0.7033205231030782,0.9333333174387614,0.9186659057935079,0.8623950481414795,0.8965360720952352,0.8965360720952352,0.9047248760859171,0.922850509484609,0.018441197151939075,0.9016500115394592,0.9047248760859171,0.9145577351252238,0.898692806561788,0.7660805284976959,0.375,1.0,0.9186659057935079,0.6833333373069763,0.9016500115394592,0.7833333412806193,0.694854070742925,0.34,0.7065789500872294,0.018383206178744633,0.8833333253860474,0.9314815402030945,0.8833334048589071,0.7905380328496298,0.8819383780161539,0.8790764411290487,0.8333333333333334,0.7076023519039154,96.33333333333333,0.727692981561025,0.8833333253860474,0.8166667024294535,0.8805556297302246,0.9145577351252238,0.8623950481414795,0.898692806561788,0.018412074074149132,0.0010582391718062917,0.000900887302277951,0.047284764250147035,0.2313241039067512,0.1729051342897708,0.009822402616932643,0.0009871554140927663,0.4001157256007175,0.005635364324202258,0.05068967370733327,0.0,0.2462475635721336,0.2463097546011465,0.3716616805389365,0.08819171637640416,0.004613010771591363,0.00397563705021886,0.014488814663216118,0.014488814663216118,0.015388114801842122,0.009822402616932643,0.0021164789560464987,0.0072836160722126765,0.015388114801842122,0.0008355708486989566,0.0013252286816450127,0.3146702097886132,0.0,0.0,0.004613010771591363,0.0,0.0072836160722126765,0.05068967370733327,0.26112245894402847,0.5629387178015027,0.3694646221018076,0.0020609314768289116,0.10137938171096811,0.043152475113214295,0.10137934741466656,0.11818444994408522,0.10002307629341012,0.005635364324202258,0.12018505188323374,0.3407906946459848,24.41993720985649,0.24904081634953162,0.10137938171096811,0.06758625610713717,0.09871861708495366,0.0008355708486989566,0.00397563705021886,0.0013252286816450127,0.0020881638234370014
no_init_kenn_top_down_adapter_bert_ms,0.016353514045476913,0.01944637857377529,0.850910464922587,0.8002651135126749,0.757164200146993,0.9235637982686361,0.01776431066294511,0.7247284799814224,0.8796905279159546,0.7833333412806193,0.8118811845779419,0.7546638349692026,0.8260118166605631,0.7317801713943481,0.9333333174387614,0.9190217653910319,0.8623950481414795,0.8978081941604614,0.8978081941604614,0.9058894117673238,0.9235637982686361,0.018441197151939075,0.9022349913914999,0.9058894117673238,0.9145577351252238,0.898692806561788,0.7881367802619934,0.375,1.0,0.9190217653910319,0.6833333373069763,0.9022349913914999,0.7833333412806193,0.7029899954795837,0.38000000000000006,0.7390176852544149,0.018383206178744633,0.8833333253860474,0.9314815402030945,0.8833334048589071,0.80275030930837,0.8819383780161539,0.8796905279159546,0.8333333333333334,0.7533068855603536,99.33333333333333,0.7473027507464091,0.8833333253860474,0.8166667024294535,0.8805556297302246,0.9145577351252238,0.8623950481414795,0.898692806561788,0.018412074074149132,0.0010582391718062917,0.000900887302277951,0.047284764250147035,0.2007259277802353,0.16704336711881035,0.009128609784644052,0.0009871554140927663,0.41645947975835923,0.0056696351189964335,0.05068967370733327,0.0,0.23596565792983729,0.24214569046290388,0.3725113457415677,0.08819171637640416,0.004274941861039184,0.00397563705021886,0.01424387809351219,0.01424387809351219,0.014217941707991075,0.009128609784644052,0.0021164789560464987,0.006705763132317802,0.014217941707991075,0.0008355708486989566,0.0013252286816450127,0.31049688351561633,0.0,0.0,0.004274941861039184,0.0,0.006705763132317802,0.05068967370733327,0.2744589080703564,0.529433659677962,0.363218557108126,0.0020609314768289116,0.10137938171096811,0.043152475113214295,0.10137934741466656,0.11576574902541643,0.10002307629341012,0.0056696351189964335,0.12018505188323374,0.31185737893444954,17.47378989610821,0.24677722440819333,0.10137938171096811,0.06758625610713717,0.09871861708495366,0.0008355708486989566,0.00397563705021886,0.0013252286816450127,0.0020881638234370014
smart_init_box_adapter_bert_ms,0.018267223611474037,0.01875048317015171,0.8863093256950378,0.9356581171353658,0.9318561355272929,0.9245766401290894,0.018503326301773388,1.0,0.8545581897099813,0.875,0.9380530714988708,0.9254715442657471,0.9960317611694336,0.9939393997192383,0.8888888756434122,0.915712575117747,0.8181968132654825,0.894303540388743,0.894303540388743,0.9059861302375793,0.9245766401290894,0.018093250071009,0.8930057287216187,0.9059861302375793,0.907016932964325,0.8803921739260355,0.9969135721524557,0.25,1.0,0.915712575117747,0.8833333253860474,0.8930057287216187,0.875000019868215,0.9146214524904887,0.6,0.9940476218859354,0.01803525909781456,0.8666666547457377,0.8981482187906901,0.8666667342185974,0.9297934174537659,0.8652714093526205,0.8545581897099813,0.8444444338480631,0.988095243771871,140.33333333333334,0.9254220326741537,0.8666666547457377,0.8722222447395325,0.8638889392217001,0.907016932964325,0.8181968132654825,0.8803921739260355,0.018064120163520176,0.0004602908401119393,6.696292490120906e-05,0.010438434295834851,0.01021588943777041,0.011207261392944874,0.0,0.0002179208024748607,0.0,0.0008346333979578,0.022047906565662648,0.0,0.022861713475138108,0.006873191271108721,0.010497267610645499,0.019244990619516733,0.0002045049723362392,0.0017292603841147234,0.00040431549028808165,0.00040431549028808165,9.106881693963535e-05,0.0,0.0009205809762094682,0.0002896174356027833,9.106881693963535e-05,0.0004012806338251062,0.0005764238827983039,0.005345849845842331,0.0,0.0,0.0002045049723362392,0.0,0.0002896174356027833,0.02204792909411616,0.04151848125579573,0.259422435421457,0.010309821319420796,0.0008581908025696241,0.04409584692398299,0.0032075443202630744,0.04409586945242499,0.015081122015865518,0.042552898569057016,0.0008346333979578,0.06938886728516516,0.020619642638841567,50.89531740085067,0.02281697648226365,0.04409584692398299,0.02939721250896303,0.04110735221846157,0.0004012806338251062,0.0017292603841147234,0.0005764238827983039,0.0008883698501292722
smart_init_classifier_adapter_bert_ms,0.016179540815452736,0.018750483791033428,0.8319656054178873,0.9352039496103922,0.8716573317845663,0.9291116197903951,0.017368800938129425,1.0,0.8841781814893087,0.7750000158945719,0.8118811845779419,0.9251682162284851,0.9961685935656229,0.9940476218859354,0.8888888756434122,0.9217438300450643,0.8617414434750875,0.9078174233436584,0.9078174233436584,0.9147504766782125,0.9291116197903951,0.018093250071009,0.9065395394961039,0.9147504766782125,0.9144920110702515,0.8984749515851339,0.9965635736783346,0.375,1.0,0.9217438300450643,0.6833333373069763,0.9065395394961039,0.7750000158945719,0.9146214524904887,0.73,0.994252880414327,0.018035258476932842,0.8666666746139526,0.8981482187906901,0.8666667342185974,0.8903361161549886,0.8652715086936951,0.8841781814893087,0.8444444338480631,0.9885057409604391,58.333333333333336,0.9250726302464803,0.8666666348775228,0.8055555621782938,0.8638889590899149,0.9144920110702515,0.8617414434750875,0.8984749515851339,0.01806412202616533,0.0006272706068215724,0.0002918817854045161,0.02333201877303876,0.022632120906920863,0.017588758465615608,8.035378924370978e-05,0.00048709776692225934,0.0,0.0011151682113507708,0.03004626503722919,0.0,0.031855272202716785,0.006636190608787399,0.010309821319420771,0.050917517693612704,0.0002759760471533325,0.002356585851983986,0.00039034391065950806,0.00039034391065950806,8.281344878248208e-05,8.035378924370978e-05,0.0012545412136431482,0.00039395551124029503,8.281344878248208e-05,0.0004849322285454306,0.0007855120863347044,0.00595206498559163,0.0,0.0,0.0002759760471533325,0.0,0.00039395551124029503,0.03004626503722919,0.041518481255795756,0.2253885533916929,0.009954303119559872,0.001184213059701006,0.06009252180878,0.01398112470413942,0.06009252180878,0.02289862190678064,0.05837522814946598,0.0011151682113507708,0.06938886728516519,0.019908640651877352,37.978063843926186,0.031750120184212895,0.060092530074458354,0.04006166191927273,0.056723830201176766,0.0004849322285454306,0.002356585851983986,0.0007855120863347044,0.0012186893647990243
smart_init_kenn_bottom_up_adapter_bert_ms,0.016179540815452736,0.01871182272831599,0.8311533729235331,0.9299308856328329,0.8703044454256693,0.9290729562441506,0.017351844037572544,1.0,0.8840780854225159,0.7750000158945719,0.8118811845779419,0.9226482709248861,0.9925926129023234,0.9883040984471639,0.8888888756434122,0.921724796295166,0.8617414434750875,0.9076070586840311,0.9076070586840311,0.914682924747467,0.9290729562441506,0.018093250071009,0.906506339708964,0.914682924747467,0.9144920110702515,0.8984749515851339,0.9931972821553549,0.375,1.0,0.921724796295166,0.6833333373069763,0.906506339708964,0.7750000158945719,0.9146214524904887,0.6466666666666666,0.9888888994852701,0.017977267503738403,0.8666666746139526,0.8962963819503784,0.8666667342185974,0.8888200322786967,0.863863468170166,0.8840780854225159,0.8444444338480631,0.9777777791023254,72.66666666666667,0.9223710099856058,0.8666666348775228,0.8055555820465088,0.8611111839612325,0.9144920110702515,0.8617414434750875,0.8984749515851339,0.018034727002183597,0.0006272706068215724,0.00024143542579816655,0.02230853801079926,0.019364226024714867,0.01617231115700084,1.3386562747659282e-05,0.0004657305716638812,0.0,0.0010139150744044717,0.03004626503722919,0.0,0.029273707819664648,0.012829970804506012,0.0202578957298359,0.050917517693612704,0.0002510731949905012,0.002356585851983986,0.0007547061892507599,0.0007547061892507599,0.0001909456075989357,1.3386562747659282e-05,0.0012545412136431482,0.00035947249123186476,0.0001909456075989357,0.0004849322285454306,0.0007855120863347044,0.011782652936480916,0.0,0.0,0.0002510731949905012,0.0,0.00035947249123186476,0.03004626503722919,0.041518481255795756,0.34501207708330056,0.019244990619516813,0.0011184932485007097,0.06009252180878,0.011564784171790849,0.06009252180878,0.0212802140906284,0.05669388037025026,0.0010139150744044717,0.06938886728516519,0.038490015651791123,56.58916268450465,0.02901564073956503,0.060092530074458354,0.040061686716313785,0.05357584209359965,0.0004849322285454306,0.002356585851983986,0.0007855120863347044,0.0011835886184785312
smart_init_kenn_hybrid_adapter_bert_ms,0.01635351466635863,0.01871182272831599,0.8359834949175516,0.9299308856328329,0.87567138671875,0.9290729562441506,0.017452683299779892,1.0,0.8844226201375326,0.7833333412806193,0.8118811845779419,0.932487408320109,0.9925926129023234,0.9883040984471639,0.8888888756434122,0.921813170115153,0.8623950680096945,0.9076070586840311,0.9076070586840311,0.9147018392880758,0.9290729562441506,0.018441197151939075,0.906626562277476,0.9147018392880758,0.9146659970283508,0.8986928264300028,0.9931972821553549,0.375,1.0,0.921813170115153,0.6833333373069763,0.906626562277476,0.7833333412806193,0.9346092343330383,0.63,0.9888888994852701,0.018325214584668476,0.8833333253860474,0.8962963819503784,0.8833334048589071,0.8957679669062296,0.8805301586786906,0.8844226201375326,0.8777777552604675,0.9777777791023254,71.0,0.932210107644399,0.8833333055178324,0.8166667024294535,0.8777778546015421,0.9146659970283508,0.8623950680096945,0.8986928264300028,0.01838267408311367,0.00046029119211856096,0.00024143542579816655,0.017608119378744763,0.019364226024714867,0.011453227275043996,1.3386562747659282e-05,0.00036760103788278573,0.0,0.0007278056271353298,0.022047940358320844,0.0,0.02051038783104413,0.012829970804506012,0.0202578957298359,0.050917517693612704,0.00016631259995636676,0.0017292378556765778,0.0007547061892507599,0.0007547061892507599,0.00020489834497634509,1.3386562747659282e-05,0.0009205820322299396,0.00025773313293731427,0.00020489834497634509,0.0003193477085664569,0.0005764238827983302,0.011782652936480916,0.0,0.0,0.00016631259995636676,0.0,0.00025773313293731427,0.022047940358320844,0.022099494458473718,0.3996248240537617,0.019244990619516813,0.0008035497218211174,0.04409586945242499,0.011564784171790849,0.04409588071664165,0.015013572680730258,0.04108153007091719,0.0007278056271353298,0.03849001565179121,0.038490015651791123,58.19793810780585,0.020342631017576388,0.04409584692398301,0.029397246301616668,0.03849005006454892,0.0003193477085664569,0.0017292378556765778,0.0005764238827983302,0.0008576528621895401
smart_init_kenn_top_down_adapter_bert_ms,0.016295523072282474,0.01871182272831599,0.8344032565752665,0.9299308856328329,0.8739326397577921,0.9290729562441506,0.017419691508014996,1.0,0.8843080202738444,0.7805555661519369,0.8118811845779419,0.929382304350535,0.9925926129023234,0.9883040984471639,0.8888888756434122,0.9217837254206339,0.8621771931648254,0.9076070586840311,0.9076070586840311,0.9146955410639445,0.9290729562441506,0.018325214584668476,0.9065865278244019,0.9146955410639445,0.9146080017089844,0.8986201882362366,0.9931972821553549,0.375,1.0,0.9217837254206339,0.6833333373069763,0.9065865278244019,0.7805555661519369,0.9283435940742493,0.73,0.9888888994852701,0.01820923201739788,0.8777777751286825,0.8962963819503784,0.8777778347333273,0.8935371438662211,0.8749745885531107,0.8843080202738444,0.8666666547457377,0.9777777791023254,59.666666666666664,0.9291050036748251,0.8777777552604675,0.8129629691441854,0.8722222844759623,0.9146080017089844,0.8621771931648254,0.8986201882362366,0.018266691515843075,0.0004378240967086268,0.00024143542579816655,0.016949529955620903,0.019364226024714867,0.00991250514954666,1.3386562747659282e-05,0.0003538513200653296,0.0,0.0006159978100325076,0.02097177389928213,0.0,0.017634627768104538,0.012829970804506012,0.0202578957298359,0.050917517693612704,0.00015605008636226575,0.00164482821586256,0.0007547061892507599,0.0007547061892507599,0.0001979683222097489,1.3386562747659282e-05,0.0008756481934172553,0.00022094865380577186,0.0001979683222097489,0.0002964093678572491,0.0005482839671611798,0.011782652936480916,0.0,0.0,0.00015605008636226575,0.0,0.00022094865380577186,0.02097177389928213,0.019139740973940236,0.22516660498395408,0.019244990619516813,0.00072430985653728,0.041943543851141886,0.011564784171790849,0.041943543851141886,0.013166808620035986,0.038154755868484824,0.0006159978100325076,0.033333331346516296,0.038490015651791123,36.69241520169166,0.017365010278438744,0.04194351621924535,0.027962332303920808,0.03469445750353987,0.0002964093678572491,0.00164482821586256,0.0005482839671611798,0.0007965512822734224
