name,instance,run_id,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_finance-stock_exchange/macro_types/f1,test_incremental/micro/f1,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental_finance-currency/macro_types/precision,test/macro_types/f1,test_incremental/micro/recall,test_incremental_finance/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/micro/precision,test_incremental_finance-stock_exchange/macro_types/recall,test/macro_example/f1,test/macro_types/recall,test/macro_types/precision,test_pretraining/macro_types/precision,test/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example/recall,test/micro/f1,test_pretraining/micro/precision,test_pretraining/macro_example/recall,test_pretraining/micro/recall,test_incremental/micro/precision,threshold_pretraining,test_incremental_finance/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_finance/macro_types/recall,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental_finance-currency/macro_types/f1,threshold_incremental,test_incremental_only/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_types/f1,test_incremental_finance-currency/macro_types/recall,test_incremental_finance-stock_exchange/macro_types/precision,epoch,test_incremental_only/micro/f1,test_incremental_only/macro_types/recall,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test_pretraining/macro_types/recall,test/micro/recall,test_incremental_only/macro_example/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,6kvsautn,0.017919275909662247,0.018789144232869148,0.8786730170249939,0.9090909361839294,0.9237668514251708,0.9245187044143676,0.018343903124332428,1.0,0.8539518713951111,0.8583333492279053,0.9380530714988708,0.9090909361839294,1.0,1.0,0.8333333134651184,0.9155423045158386,0.8168896436691284,0.8945369720458984,0.8945369720458984,0.9060116410255432,0.9245187044143676,0.017397355288267136,0.8927939534187317,0.9060116410255432,0.906738579273224,0.8799564242362976,1.0,0.25,1,0.9155423045158386,0.8833333253860474,0.8927939534187317,0.8583333492279053,0.9090909361839294,0.12,1.0,0.017397355288267136,0.8333333134651184,0.9000000953674316,0.8333333730697632,0.9189189076423644,0.833333432674408,0.8539518713951111,0.8333333134651184,1.0,67,0.9090909361839294,0.8333333134651184,0.8500000238418579,0.8333333730697632,0.906738579273224,0.8168896436691284,0.8799564242362976,0.017397355288267136
no_init_box_kenn_horizontal_adapter_bert_ms,1,iizcrxig,0.017919275909662247,0.018789144232869148,0.8786730170249939,0.9285714626312256,0.9237668514251708,0.9245766401290894,0.018343903124332428,1.0,0.8539518713951111,0.8583333492279053,0.9380530714988708,0.9090909361839294,1.0,1.0,0.8666666746139526,0.9155706763267516,0.8168896436691284,0.8945369720458984,0.8945369720458984,0.9060116410255432,0.9245766401290894,0.017397355288267136,0.8927939534187317,0.9060116410255432,0.906738579273224,0.8799564242362976,1.0,0.25,1,0.9155706763267516,0.8833333253860474,0.8927939534187317,0.8583333492279053,0.888888955116272,0.08,1.0,0.017397355288267136,0.8333333134651184,0.9000000953674316,0.8333333730697632,0.9189189076423644,0.833333432674408,0.8539518713951111,0.800000011920929,1.0,53,0.9090909361839294,0.8333333730697632,0.8500000238418579,0.8333333730697632,0.906738579273224,0.8168896436691284,0.8799564242362976,0.017397355288267136
no_init_box_kenn_horizontal_adapter_bert_ms,0,xuoptwcn,0.015831593424081802,0.018789144232869148,0.8231156468391418,0.6956522464752197,0.8625592589378357,0.9245187044143676,0.017184041440486908,1.0,0.8496466875076294,0.7583333253860474,0.9380530714988708,0.7755101919174194,1.0,1.0,0.5333333611488342,0.9148057103157043,0.8090465068817139,0.8945369720458984,0.8945369720458984,0.9057579636573792,0.9245187044143676,0.013221990317106249,0.8913235664367676,0.9057579636573792,0.9052945971488952,0.8773420453071594,1.0,0.25,1,0.9148057103157043,0.8833333253860474,0.8913235664367676,0.7583333849906921,0.8461538553237915,0.31,1.0,0.013221990317106249,0.6333333253860474,0.9000000953674316,0.6333333849906921,0.8349514603614807,0.6333333849906921,0.8496466875076294,0.7333333492279053,1.0,44,0.7755101919174194,0.6333333253860474,0.7166666984558105,0.6333333849906921,0.9052945971488952,0.8090465068817139,0.8773420453071594,0.013221991248428822
no_init_box_kenn_hybrid_adapter_bert_ms,2,55rmlqh4,0.017919275909662247,0.018789144232869148,0.8786730170249939,0.9285714626312256,0.9237668514251708,0.9245766401290894,0.018343903124332428,1.0,0.8539518713951111,0.8583333492279053,0.9380530714988708,0.9090909361839294,1.0,1.0,0.8666666746139526,0.9155706763267516,0.8168896436691284,0.8945369720458984,0.8945369720458984,0.9060116410255432,0.9245766401290894,0.017397355288267136,0.8927939534187317,0.9060116410255432,0.906738579273224,0.8799564242362976,1.0,0.25,1,0.9155706763267516,0.8833333253860474,0.8927939534187317,0.8583333492279053,0.888888955116272,0.2,1.0,0.017397355288267136,0.8333333134651184,0.9000000953674316,0.8333333730697632,0.9189189076423644,0.833333432674408,0.8539518713951111,0.800000011920929,1.0,48,0.9090909361839294,0.8333333730697632,0.8500000238418579,0.8333333730697632,0.906738579273224,0.8168896436691284,0.8799564242362976,0.017397355288267136
no_init_box_kenn_top_down_adapter_bert_ms,2,38i8wfo1,0.01844119653105736,0.018789144232869148,0.8915888071060181,0.9473683834075928,0.9380530714988708,0.9245766401290894,0.0186135433614254,1.0,0.8550220131874084,0.8833333253860474,0.9380530714988708,0.9380530714988708,1.0,1.0,0.8999999761581421,0.9157835245132446,0.8188503980636597,0.8945369720458984,0.8945369720458984,0.90607488155365,0.9245766401290894,0.01844119653105736,0.8931609988212585,0.90607488155365,0.9071561098098756,0.8806100487709045,1.0,0.25,1,0.9157835245132446,0.8833333253860474,0.8931609988212585,0.8833333253860474,0.9285714626312256,0.01,1.0,0.01844119653105736,0.8833333253860474,0.9000000953674316,0.8833333849906921,0.9380530714988708,0.8833333849906921,0.8550220131874084,0.8666666746139526,1.0,48,0.9380530714988708,0.8833333253860474,0.8833333849906921,0.8833333849906921,0.9071561098098756,0.8188503980636597,0.8806100487709045,0.01844119653105736
no_init_box_kenn_bottom_up_adapter_bert_ms,2,8561rxz7,0.017745301127433777,0.018789144232869148,0.8742857575416565,0.9090909361839294,0.9189189076423644,0.9245766401290894,0.018252311274409298,1.0,0.8535946607589722,0.8500000238418579,0.9380530714988708,0.899082601070404,1.0,1.0,0.8333333134651184,0.9155116081237792,0.8162360191345215,0.8945369720458984,0.8945369720458984,0.9059906005859376,0.9245766401290894,0.017049409449100494,0.8926715850830078,0.9059906005859376,0.906622588634491,0.8797385692596436,1.0,0.25,1,0.9155116081237792,0.8833333253860474,0.8926715850830078,0.8500000238418579,0.888888955116272,0.15000000000000002,1.0,0.017049409449100494,0.8166666626930237,0.9000000953674316,0.8166667222976685,0.91238671541214,0.8166667819023132,0.8535946607589722,0.800000011920929,1.0,44,0.899082601070404,0.8166666626930237,0.8388888835906982,0.8166667222976685,0.906622588634491,0.8162360191345215,0.8797385692596436,0.017049409449100494
no_init_box_kenn_hybrid_adapter_bert_ms,1,fhct0rir,0.018093250691890717,0.018789144232869148,0.8830189108848572,0.9285714626312256,0.9285714626312256,0.9245766401290894,0.018434632569551468,1.0,0.8543088436126709,0.8666666746139526,0.9380530714988708,0.9189189076423644,1.0,1.0,0.8666666746139526,0.9156594276428224,0.8175432085990906,0.8945369720458984,0.8945369720458984,0.9060327410697936,0.9245766401290894,0.017745304852724075,0.8929163217544556,0.9060327410697936,0.9069125652313232,0.8801742792129517,1.0,0.25,1,0.9156594276428224,0.8833333253860474,0.8929163217544556,0.8666666746139526,0.9090909361839294,0.060000000000000005,1.0,0.017745304852724075,0.8500000238418579,0.9000000953674316,0.8500000238418579,0.9253731369972228,0.8500000238418579,0.8543088436126709,0.8333333134651184,1.0,35,0.9189189076423644,0.8500000238418579,0.8611111640930176,0.8500000238418579,0.9069125652313232,0.8175432085990906,0.8801742792129517,0.017745304852724075
no_init_box_kenn_top_down_adapter_bert_ms,1,7psrh7fo,0.018093250691890717,0.018789144232869148,0.8830189108848572,0.9285714626312256,0.9285714626312256,0.9245766401290894,0.018434632569551468,1.0,0.8543088436126709,0.8666666746139526,0.9380530714988708,0.9189189076423644,1.0,1.0,0.8666666746139526,0.9156594276428224,0.8175432085990906,0.8945369720458984,0.8945369720458984,0.9060327410697936,0.9245766401290894,0.017745304852724075,0.8929163217544556,0.9060327410697936,0.9069125652313232,0.8801742792129517,1.0,0.25,1,0.9156594276428224,0.8833333253860474,0.8929163217544556,0.8666666746139526,0.9090909361839294,0.25,1.0,0.017745304852724075,0.8500000238418579,0.9000000953674316,0.8500000238418579,0.9253731369972228,0.8500000238418579,0.8543088436126709,0.8333333134651184,1.0,35,0.9189189076423644,0.8500000238418579,0.8611111640930176,0.8500000238418579,0.9069125652313232,0.8175432085990906,0.8801742792129517,0.017745304852724075
no_init_box_kenn_bottom_up_adapter_bert_ms,1,1do2czo6,0.018093250691890717,0.018789144232869148,0.8830189108848572,0.9285714626312256,0.9285714626312256,0.9245766401290894,0.018434632569551468,1.0,0.8543088436126709,0.8666666746139526,0.9380530714988708,0.9189189076423644,1.0,1.0,0.8666666746139526,0.9156594276428224,0.8175432085990906,0.8945369720458984,0.8945369720458984,0.9060327410697936,0.9245766401290894,0.017745304852724075,0.8929163217544556,0.9060327410697936,0.9069125652313232,0.8801742792129517,1.0,0.25,1,0.9156594276428224,0.8833333253860474,0.8929163217544556,0.8666666746139526,0.9090909361839294,0.03,1.0,0.017745304852724075,0.8500000238418579,0.9000000953674316,0.8500000238418579,0.9253731369972228,0.8500000238418579,0.8543088436126709,0.8333333134651184,1.0,35,0.9189189076423644,0.8500000238418579,0.8611111640930176,0.8500000238418579,0.9069125652313232,0.8175432085990906,0.8801742792129517,0.017745304852724075
no_init_box_kenn_hybrid_adapter_bert_ms,0,igqket2y,0.017919275909662247,0.018789144232869148,0.8786730170249939,0.9285714626312256,0.9237668514251708,0.9245766401290894,0.018343903124332428,1.0,0.8539518713951111,0.8583333492279053,0.9380530714988708,0.9090909361839294,1.0,1.0,0.8666666746139526,0.9155706763267516,0.8168896436691284,0.8945369720458984,0.8945369720458984,0.9060116410255432,0.9245766401290894,0.017397355288267136,0.8927939534187317,0.9060116410255432,0.906738579273224,0.8799564242362976,1.0,0.25,1,0.9155706763267516,0.8833333253860474,0.8927939534187317,0.8583333492279053,0.888888955116272,0.01,1.0,0.017397355288267136,0.8333333134651184,0.9000000953674316,0.8333333730697632,0.9189189076423644,0.833333432674408,0.8539518713951111,0.800000011920929,1.0,44,0.9090909361839294,0.8333333730697632,0.8500000238418579,0.8333333730697632,0.906738579273224,0.8168896436691284,0.8799564242362976,0.017397355288267136
