name,threshold_pretraining/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental_finance-currency/macro_types/recall/mean,test_incremental_finance-stock_exchange/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_finance-stock_exchange/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example/precision/mean,test/micro/f1/mean,test/micro/precision/mean,test/macro_example/recall/mean,test_incremental_only/micro/recall/mean,test/macro_types/precision/mean,test_incremental/micro/recall/mean,epoch/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_finance/macro_types/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_finance/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,threshold_incremental/mean,test_incremental_finance-currency/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_finance-stock_exchange/macro_types/precision/mean,test_pretraining/micro/precision/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/f1/mean,test/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_finance/macro_types/f1/mean,test_incremental_finance-currency/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,threshold_pretraining/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_types/f1/std,test_incremental_finance-currency/macro_types/recall/std,test_incremental_finance-stock_exchange/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_finance-stock_exchange/macro_types/recall/std,test_incremental/macro_example/f1/std,test_incremental/macro_example/precision/std,test/micro/f1/std,test/micro/precision/std,test/macro_example/recall/std,test_incremental_only/micro/recall/std,test/macro_types/precision/std,test_incremental/micro/recall/std,epoch/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/recall/std,test_incremental_finance/macro_types/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_finance/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,threshold_incremental/std,test_incremental_finance-currency/macro_types/precision/std,test/macro_example/f1/std,test_incremental/micro/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_finance-stock_exchange/macro_types/precision/std,test_pretraining/micro/precision/std,test/macro_example/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test/macro_types/f1/std,test/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_incremental_finance/macro_types/f1/std,test_incremental_finance-currency/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.25,1.0,0.9051382939020792,0.800000011920929,0.9216096003850301,0.9155744910240173,0.8555555542310079,0.018365756918986637,0.018905126800139744,0.8927530845006307,0.9060046076774597,0.906690259774526,0.8277777830759684,0.8945369720458984,0.8555555542310079,35.333333333333336,0.8462963302930196,0.8166717688242594,0.8833333253860474,0.8555555740992228,0.9164771835009257,1.0,0.8277778029441833,0.8798837860425314,0.8538318673769633,0.8797197937965393,1.0,0.9055556456247965,0.08,1.0,0.9155744910240173,0.922004779179891,0.906690259774526,0.01728137396275997,0.8277778029441833,1.0,0.9060046076774597,0.9246346354484558,1.0,0.01728137396275997,0.8538318673769633,0.8166717688242594,0.8927530845006307,1.0,0.8277777830759684,0.9051382939020792,0.9246346354484558,0.01728137396275997,0.8798837860425314,0.017861285557349522,0.8945369720458984,0.9380530714988708,0.8878714243570963,0.8277778029441833,0.0,0.0,0.03258745400786741,0.06666666269302368,0.029854840943659096,0.00026048231569356,0.050917491680013,0.00034292204318993953,0.00020088769930494936,0.0003934951409264643,6.782715259773257e-05,0.0004784972838441955,0.05357585445502394,0.0,0.026787927227511964,10.692676621563626,0.03571723836361215,0.0021010069318065793,0.0,0.026787893233585863,0.02117290132262119,0.0,0.05357582046109755,0.0007003397644113461,0.001149016372984772,0.01642594593746271,0.0,0.00962249530975839,0.06557438524302002,0.0,0.00026048231569356,0.015679560452047128,0.0004784972838441955,0.001118493248500709,0.05357582046109755,0.0,6.782715259773257e-05,0.00010045083974396359,0.0,0.001118493248500709,0.001149016372984772,0.0021010069318065793,0.0003934951409264643,0.0,0.05357585445502394,0.03258745400786741,0.00010045083974396359,0.001118493248500709,0.0007003397644113461,0.0005592468173977341,0.0,0.0,0.0412182244305235,0.05357582046109755
no_init_box_kenn_horizontal_adapter_bert_ms,0.25,1.0,0.8955593903859457,0.799999992052714,0.9021164576212565,0.9154581626256307,0.8222222328186035,0.01822090024749438,0.018789144232869148,0.8926307757695516,0.905983547369639,0.9065549572308859,0.8111111124356588,0.8945369720458984,0.8472222288449606,56.666666666666664,0.83518519004186,0.8160181641578674,0.8833333253860474,0.8472222487131754,0.9101294080416361,1.0,0.8111111720403036,0.8796659509340922,0.8534752726554871,0.8727811574935913,1.0,0.9000000953674316,0.21,1.0,0.9154581626256307,0.9172588984171549,0.9065549572308859,0.01693342626094818,0.8111111720403036,1.0,0.905983547369639,0.9245380163192749,1.0,0.01693342626094818,0.8534752726554871,0.8160181641578674,0.8926307757695516,1.0,0.8111111124356588,0.8955594102541605,0.9245380163192749,0.01693342626094818,0.8796659509340922,0.01768731139600277,0.8945369720458984,0.9380530714988708,0.8886348009109497,0.8111111919085184,0.0,0.0,0.015594557766820758,0.03333333134651628,0.02291070639587783,0.00012692185029829155,0.03849001565179121,0.00014135187698305408,0.0,0.00018695323771238733,3.2204844261740276e-05,0.0002252303003883924,0.025458729581506082,0.0,0.012729397307757597,30.566866593312003,0.016972514569074088,0.0009983954517028175,0.0,0.012729364790753058,0.010108973341932323,0.0,0.025458729581506082,0.0003327789736800234,0.0005461685614460824,0.006770725380382736,0.0,0.0,0.22271057451320087,0.0,0.00012692185029829155,0.007477455784747904,0.0002252303003883924,0.0005314980808882945,0.025458729581506082,0.0,3.2204844261740276e-05,3.3449200490335255e-05,0.0,0.0005314980808882945,0.0005461685614460824,0.0009983954517028175,0.00018695323771238733,0.0,0.025458788112107812,0.015594525173957454,3.3449200490335255e-05,0.0005314980808882945,0.0003327789736800234,0.00026574904044414724,0.0,0.0,0.020584389169241765,0.02545879461551523
no_init_box_kenn_hybrid_adapter_bert_ms,0.25,1.0,0.9121264417966207,0.800000011920929,0.9348371028900146,0.9156139492988586,0.8777777751286825,0.018428296471635502,0.018905126800139744,0.892834742863973,0.9060186942418417,0.9067675669987997,0.8388889034589132,0.8945369720458984,0.8611111044883728,43.666666666666664,0.8537037571271261,0.8171074986457825,0.8833333253860474,0.8611111243565878,0.9209663271903991,1.0,0.838888923327128,0.880029042561849,0.8540704846382141,0.8827154239018759,1.0,0.9055556456247965,0.1366666666666667,1.0,0.9156139492988586,0.9253106315930685,0.9067675669987997,0.01751333847641945,0.838888923327128,1.0,0.9060186942418417,0.9246346354484558,1.0,0.01751333847641945,0.8540704846382141,0.8171074986457825,0.892834742863973,1.0,0.8388889034589132,0.9121264417966207,0.9246346354484558,0.01751333847641945,0.880029042561849,0.01797726812462012,0.8945369720458984,0.9380530714988708,0.8878714243570963,0.838888923327128,0.0,0.0,0.020694891757817534,0.06666666269302368,0.010852407270171664,0.00019252808648299763,0.019244990619516733,0.00023557428722902334,0.00020088769930494936,0.00025473000388764714,4.388984014574606e-05,0.000351575481461922,0.03469443364258258,0.0,0.01734723352396079,18.58314648635514,0.023129606521138026,0.0013605611595364768,0.0,0.017347200118622775,0.013536916689369734,0.0,0.034694400237245564,0.00045350129771522523,0.0007435025977660298,0.011284010328199616,0.0,0.00962249530975839,0.1361371857110809,0.0,0.00019252808648299763,0.010057709174225118,0.000351575481461922,0.0007243098565372795,0.034694400237245564,0.0,4.388984014574606e-05,0.00010045083974396359,0.0,0.0007243098565372795,0.0007435025977660298,0.0013605611595364768,0.00025473000388764714,0.0,0.03469443364258258,0.020694891757817534,0.00010045083974396359,0.0007243098565372795,0.00045350129771522523,0.0003621545554412975,0.0,0.0,0.0412182244305235,0.034694400237245564
no_init_box_kenn_top_down_adapter_bert_ms,0.25,1.0,0.9252969622612,0.8333333333333334,0.9411027431488037,0.91571444272995,0.8888888756434122,0.01854957143465678,0.018905126800139744,0.8929978807767233,0.9060467878977457,0.9069647391637167,0.8611111243565878,0.8945369720458984,0.8722222248713175,46.666666666666664,0.8685185511906942,0.8179789384206136,0.8833333253860474,0.8722222248713175,0.9295997619628906,1.0,0.8611111442248026,0.8803195357322693,0.8545465668042501,0.8885244925816854,1.0,0.9055556456247965,0.20666666666666667,1.0,0.91571444272995,0.9317319989204407,0.9069647391637167,0.017977267503738403,0.8611111442248026,1.0,0.9060467878977457,0.9246346354484558,1.0,0.017977267503738403,0.8545465668042501,0.8179789384206136,0.8929978807767233,1.0,0.8611111243565878,0.9252969622612,0.9246346354484558,0.017977267503738403,0.8803195357322693,0.018209232638279598,0.8945369720458984,0.9380530714988708,0.9088504513104757,0.8611111442248026,0.0,0.0,0.01104711465327246,0.033333331346516296,0.010852407270171664,6.323299983344715e-05,0.019244990619516757,9.975214015148391e-05,0.00020088769930494936,0.00014126437038323571,2.4329819698287024e-05,0.0001713484294584763,0.019244990619516757,0.0,0.009622495309758367,20.840665376454115,0.012830022423677208,0.0007547061892508159,0.0,0.009622495309758367,0.007320780804272893,0.0,0.019245025032274446,0.00025159167158874,0.00041174864595258274,0.00477813973906112,0.0,0.00962249530975839,0.22368132093076823,0.0,6.323299983344715e-05,0.005474209432085736,0.0001713484294584763,0.0004017743232112202,0.019245025032274446,0.0,2.4329819698287024e-05,0.00010045083974396359,0.0,0.0004017743232112202,0.00041174864595258274,0.0007547061892508159,0.00014126437038323571,0.0,0.019244990619516757,0.01104711465327246,0.00010045083974396359,0.0004017743232112202,0.00025159167158874,0.00020088662390627156,0.0,0.0,0.019842346771472324,0.019245025032274446
no_init_kenn_bottom_up_adapter_bert_ms,0.375,0.5989795823891958,0.6461375455061594,0.8777777552604675,0.6088207711776098,0.9125234285990397,0.9333333174387614,0.017999152342478435,0.01967834246655305,0.8922579884529114,0.8864106933275858,0.9147897164026896,0.9055555462837219,0.8932533462842306,0.7944444417953491,38.666666666666664,0.8314815163612366,0.8632665077845255,0.6833333373069763,0.7944444815317789,0.7571226159731547,0.6568135519822439,0.9055556058883667,0.8989832997322083,0.8779240250587463,0.8621594309806824,1.0,0.9425926605860392,0.35333333333333333,0.6925223271052042,0.9125234285990397,0.6519407232602438,0.9147897164026896,0.018876005584994953,0.9027778307596842,0.5532152975598971,0.8864106933275858,0.9106143514315287,0.6228688110907873,0.018847135206063587,0.8779240250587463,0.8632665077845255,0.8922579884529114,0.748579223950704,0.905555526415507,0.6304882218440374,0.9106143514315287,0.018905126800139744,0.8989832997322083,0.016585478869577248,0.8932533462842306,0.8118811845779419,0.6672520687182745,0.904160718123118,0.0,0.4461728122639544,0.3774409733848062,0.10183500937362319,0.3531815823375165,0.015049173554840721,0.08819171637640416,0.0010105317098604313,0.0010962215233880428,0.022588583019500022,0.04458515433928602,0.0007365192499997171,0.09179282345559928,0.01781338933000822,0.04589641172779964,31.50132272355136,0.06119523187053548,0.003599746153192477,0.0,0.04589644599845345,0.17091646859567922,0.42142850371239854,0.09179282345559926,0.0011998859236571177,0.0072932793019656805,0.048404528814076364,0.0,0.05250901944435724,0.5519359866264686,0.501955223402858,0.015049173554840721,0.3023039393850869,0.0007365192499997171,0.0018877120249628089,0.08910562228549906,0.43829632027619436,0.04458515433928602,0.030143341050732134,0.4542415758848142,0.0018602426153476108,0.0072932793019656805,0.003599746153192477,0.022588583019500022,0.30282771730315183,0.09179285772625304,0.3666033759851138,0.030143341050732134,0.0019163433016207623,0.0011998859236571177,0.0009581714253457535,0.01781338933000822,0.0,0.4034655735709612,0.09042140359203585
no_init_kenn_horizontal_adapter_bert_ms,0.375,0.7924944857756296,0.8165877461433411,0.8555555542310079,0.8817961613337199,0.9195853670438131,0.9222221970558167,0.017767558495203655,0.019369056448340416,0.9036422570546468,0.9086206754048666,0.9146505196889242,0.8888888955116272,0.9007633924484253,0.7861111164093018,51.333333333333336,0.8203703959782919,0.8626129031181335,0.6833333373069763,0.7861111164093018,0.8345171213150024,0.8368055621782938,0.888888955116272,0.8987654447555542,0.8812347849210104,0.8510660727818807,1.0,0.9277778466542562,0.48666666666666664,0.7564102609952291,0.9195853670438131,0.7895895838737488,0.9146505196889242,0.01855717971920967,0.888888955116272,0.8723404208819071,0.9086206754048666,0.9245999058087667,0.8143753409385681,0.01855717971920967,0.8812347849210104,0.8626129031181335,0.9036422570546468,0.8762502272923788,0.8888888557751974,0.7952316999435425,0.9245999058087667,0.01855717971920967,0.8987654447555542,0.016411505329112213,0.9007633924484253,0.8118811845779419,0.7381354769070944,0.888888955116272,0.0,0.3594100934873158,0.18688588181548121,0.08388706007038477,0.11730828821798728,0.00377334282110453,0.07698003130358241,0.0008152660341521396,0.0008035486464224389,0.004989378389369161,0.010718005789451398,0.0006265176007291021,0.07876358592306151,0.012608283819363823,0.03938179296153076,54.30776494511014,0.05250906569042316,0.003088785015818794,0.0,0.03938179296153076,0.09631827680648648,0.2826610578198351,0.07876358592306151,0.0010295760864542725,0.005128423944384421,0.03905129850594182,0.0,0.03848998123903349,0.4860384072615387,0.4219098041587055,0.00377334282110453,0.14099622119786095,0.0006265176007291021,0.0016443338616524096,0.07876358592306151,0.2211128771053957,0.010718005789451398,0.008037399936978341,0.3215113406320506,0.0016443338616524096,0.005128423944384421,0.003088785015818794,0.004989378389369161,0.2143408937547004,0.0787636090460921,0.22336549612478673,0.008037399936978341,0.0016443338616524096,0.0010295760864542725,0.0008221665695290202,0.012608283819363823,0.0,0.2789759144941618,0.07876358592306151
no_init_kenn_hybrid_adapter_bert_ms,0.375,0.621693121890227,0.6569680869579315,0.8888888756434122,0.632122278213501,0.9123488465944926,0.9333333174387614,0.018033248682816822,0.01967834246655305,0.8921391765276591,0.8861664732297262,0.914847711722056,0.9111110965410868,0.8937969009081522,0.7972222169240316,51.666666666666664,0.8351852099100748,0.8634843826293945,0.6833333373069763,0.7972222566604614,0.7639035582542419,0.673086072007815,0.9111111561457316,0.8990559180577596,0.8782998124758402,0.8637926578521729,1.0,0.9425926605860392,0.3566666666666667,0.6908315618832906,0.9123488465944926,0.660630484422048,0.914847711722056,0.01899198815226555,0.9083333810170492,0.5826271176338196,0.8861664732297262,0.9102374315261841,0.6367293397585551,0.018963117773334186,0.8782998124758402,0.8634843826293945,0.8921391765276591,0.7578195830186208,0.9111110965410868,0.6476638714472452,0.9102374315261841,0.019021109367410343,0.8990559180577596,0.016643470153212547,0.8937969009081522,0.8118811845779419,0.6715181122223536,0.9097162882486979,0.0,0.4561996531050393,0.3905515720917084,0.08388702849107249,0.36535617983262486,0.015728895801929918,0.08819171637640416,0.0009515403605805183,0.0010962215233880428,0.02357581192178813,0.04637347328625635,0.0006379054087048768,0.08221470443692311,0.01815256076950486,0.04110735221846155,54.00308633155454,0.05480978214812335,0.003224116323088402,0.0,0.041107386453985435,0.1782621567017299,0.4332712022464368,0.0822147044369231,0.001074687316336178,0.007646158000210944,0.04557882221723007,0.0,0.05250901944435724,0.5493025881363871,0.5048818716960828,0.015728895801929918,0.31462970734759227,0.0006379054087048768,0.0016873603723278393,0.07949492637004574,0.4400918951105638,0.04637347328625635,0.031398226181241815,0.46289048928300996,0.0016596012493572292,0.007646158000210944,0.003224116323088402,0.02357581192178813,0.308593649522256,0.08221470443692311,0.3839818323249457,0.031398226181241815,0.0017163820456694134,0.001074687316336178,0.0008581908025696243,0.01815256076950486,0.0,0.4135337214473156,0.08082455057913623
no_init_kenn_top_down_adapter_bert_ms,0.375,0.617435688773791,0.6401185244321823,0.8888888756434122,0.6265597293774287,0.9080092310905457,0.9333333174387614,0.018033248682816822,0.01967834246655305,0.8862045605977377,0.8753876487414042,0.914847711722056,0.9111110965410868,0.8934303522109985,0.7972222169240316,47.0,0.8351852099100748,0.8634843826293945,0.6833333373069763,0.7972222566604614,0.7576281825701395,0.6615089575449625,0.9111111561457316,0.8990559180577596,0.8781171441078186,0.8637926578521729,1.0,0.9425926605860392,0.42333333333333334,0.66802745560805,0.9080092310905457,0.6397653420766195,0.914847711722056,0.01899198815226555,0.9083333810170492,0.5867383579413096,0.8753876487414042,0.9020625750223795,0.6273829067746798,0.018963117773334186,0.8781171441078186,0.8634843826293945,0.8862045605977377,0.7515886127948761,0.9111110965410868,0.633689155181249,0.9020625750223795,0.019021109367410343,0.8990559180577596,0.016643470153212547,0.8934303522109985,0.8118811845779419,0.6466582119464874,0.9097162882486979,0.0,0.4776849695381235,0.4218167621993774,0.08388702849107249,0.3986322951846507,0.02329213243319354,0.08819171637640416,0.0009515403605805183,0.0010962215233880428,0.03402430110223257,0.06537531616335206,0.0006379054087048768,0.08221470443692311,0.01889434258319062,0.04110735221846155,45.92385001282014,0.05480978214812335,0.003224116323088402,0.0,0.041107386453985435,0.1903215541779262,0.4641849834190409,0.0822147044369231,0.001074687316336178,0.008027585408135463,0.04557882221723007,0.0,0.05250901944435724,0.5008326400438906,0.5164199821411931,0.02329213243319354,0.3566905088424487,0.0006379054087048768,0.0016873603723278393,0.07949492637004574,0.45848122625729537,0.06537531616335206,0.04564959951016996,0.48180541561729534,0.0016596012493572292,0.008027585408135463,0.003224116323088402,0.03402430110223257,0.3212035963887616,0.08221470443692311,0.4185128560331357,0.04564959951016996,0.0017163820456694134,0.001074687316336178,0.0008581908025696243,0.01889434258319062,0.0,0.4425853787454758,0.08082455057913623
smart_init_box_adapter_bert_ms,0.25,0.9824561476707458,0.948593278725942,0.899999996026357,0.9493343631426493,0.9160492420196533,0.9333333373069764,0.019017023965716362,0.019253073260188103,0.8933068116505941,0.9059140284856161,0.9074170788129171,0.9166666666666666,0.8938758373260498,0.899999996026357,86.66666666666667,0.9055555661519369,0.8201576073964437,0.8833333253860474,0.9000000754992167,0.9452650745709738,0.9909090995788574,0.9166667461395264,0.8810457587242126,0.8554311990737915,0.9109154343605043,1.0,0.9222222765286764,0.38333333333333336,1.0,0.9160492420196533,0.9432292779286703,0.9074170788129171,0.01904944268365701,0.908333400885264,0.9662835200627645,0.9059140284856161,0.9248472849527994,0.9831417798995972,0.0189631183942159,0.8554311990737915,0.8201576073964437,0.8933068116505941,0.9887612263361613,0.9166666467984518,0.9482681155204773,0.9248472849527994,0.01913709193468094,0.8810457587242126,0.018789144232869148,0.8938758373260498,0.9380530714988708,0.9471523563067118,0.9124683539072672,0.0,0.017543852329254164,0.008271127434112586,0.03333333134651634,0.016092713268488136,0.0001169983609397229,0.0,0.00015975277606780964,0.00030686091208180895,0.00011231680966251372,0.00019326307977955834,0.00017395615662800696,0.016666680574426024,0.0006537539605136051,0.008333355188387528,14.6401275039985,0.011111080646568183,0.0006535947325110453,0.0,0.0083333551883875,0.005540788858576233,0.009090900421142578,0.016666650772094768,0.00021785497665405273,0.0003254812636644922,0.007652175621283653,0.0,0.014698623150808287,0.12858201014657272,0.0,0.0001169983609397229,0.004369200053455279,0.00017395615662800696,0.00031363911873259206,0.014433760171047102,0.033339936820337056,0.00019326307977955834,0.00018637324338688398,0.016669953340714888,0.00030133047356018395,0.0003254812636644922,0.0006535947325110453,0.00011231680966251372,0.011113281677946302,0.01666668057442605,0.00858242246454727,0.00018637324338688398,0.00034794583916664124,0.00021785497665405273,0.00017397291958332062,0.0006537539605136051,0.0,0.01847382745658161,0.015023433486684275
smart_init_classifier_adapter_bert_ms,0.375,0.9083040952682495,0.8918055295944214,0.8666666547457377,0.9070706963539124,0.9214280645052592,0.9111110965410868,0.017550988122820854,0.018866465737422306,0.9060697158177694,0.9134965538978577,0.9146698514620463,0.8888888955116272,0.904492715994517,0.7861111164093018,21.333333333333332,0.8203703959782919,0.8626129031181335,0.6833333373069763,0.7861111164093018,0.8728001117706299,0.941473146279653,0.888888955116272,0.8987654447555542,0.8830455342928568,0.8406923214594523,1.0,0.903703769048055,0.4766666666666666,0.9059829115867615,0.9214280645052592,0.8543057044347128,0.9146698514620463,0.018350427970290184,0.8694445292154948,0.9129629731178284,0.9134965538978577,0.9282881418863932,0.9094729423522949,0.01815124104420344,0.8830455342928568,0.8626129031181335,0.9060697158177694,0.9396486679712931,0.8888888557751974,0.8911681373914083,0.9282881418863932,0.01855717971920967,0.8987654447555542,0.016411505329112213,0.904492715994517,0.8118811845779419,0.8756290276845297,0.8789855440457662,0.0,0.12962780327174553,0.047805807281046234,0.08819171637640418,0.027328822003430033,0.0005173015398026717,0.06938886728516519,0.0006454311540821609,0.00040731576942821374,0.0006756541325620481,0.001926267540132393,0.0006358417062191146,0.07876358592306151,0.005059242694563472,0.03938179296153076,4.041451884327381,0.05250906569042316,0.003088785015818794,0.0,0.03938179296153076,0.027010080752233306,0.08431723133573772,0.07876358592306151,0.0010295760864542725,0.0015860331319741557,0.030916171962002893,0.0,0.019510430562176103,0.4816983841921554,0.16284237391142434,0.0005173015398026717,0.025215904755659612,0.0006358417062191146,0.0014439015869843945,0.06028482898609619,0.09880977543349083,0.001926267540132393,0.0013660808162409702,0.12901107068562406,0.0012585553827738477,0.0015860331319741557,0.003088785015818794,0.0006756541325620481,0.08600734376596998,0.0787636090460921,0.04790395682695069,0.0013660808162409702,0.0016443338616524096,0.0010295760864542725,0.0008221665695290202,0.005059242694563472,0.0,0.06821420451905766,0.06916288228633433
