name,instance,run_id,test_incremental_finance/macro_types/precision,epoch,test/macro_example/recall,test_incremental_finance-currency/macro_types/recall,test/micro/recall,test_incremental_only/macro_example/precision,test_incremental_finance-currency/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_finance-stock_exchange/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_finance/macro_types/recall,test_incremental_finance/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/macro_types/precision,test/macro_example/precision,test_incremental/micro/precision,test_incremental_only/micro/recall,test/macro_types/recall,test/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental/micro/f1,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_pretraining/micro/f1,test_pretraining/macro_example/f1,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_finance-stock_exchange/macro_types/f1,test/macro_types/f1,test/macro_example/f1,threshold_pretraining,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_pretraining/macro_types/f1,test_incremental/macro_example/f1,test_incremental_finance-currency/macro_types/precision,test_incremental_finance-stock_exchange/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/recall,test/micro/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,kg32lg3q,1,72,0.9064834117889404,0.800000011920929,0.8793028593063354,0.016353514045476913,0.888888955116272,0.9064834117889404,0.8785046935081482,0.7833333611488342,0.7666666507720947,0.9059484004974364,0.8166667222976685,0.01844119653105736,0.8833333253860474,0.9380530714988708,0.7833333015441895,1.0,1.0,0.016353514045476913,0.8576052188873291,0.8945369720458984,0.9245766401290894,1.0,0.7833333611488342,0.8149288296699524,0.8924267888069153,0.899082601070404,0.8785046339035034,0.017397355288267136,0.016353514045476913,0.9090909361839294,0.8333333134651184,0.8945369720458984,0.8924267888069153,0.9154406189918518,0.8793028593063354,0.783333420753479,0.8679245114326477,0.8528792858123779,0.9154406189918518,0.25,1.0,0.8833333849906921,0.8528792858123779,0.017904074862599373,1.0,1.0,0.9245766401290894,0.783333420753479,0.19,0.8149288296699524,0.8333333730697632,0.9059484004974364
no_init_box_kenn_horizontal_adapter_bert_ms,1,ptyhed88,1,46,0.904500126838684,0.7666666507720947,0.8751633763313293,0.00974251888692379,0.8679245114326477,0.904500126838684,0.6363636255264282,0.46666669845581055,0.1666666716337204,0.9055455327033995,0.605555534362793,0.01844119653105736,0.8833333253860474,0.9380530714988708,0.46666666865348816,1.0,1.0,0.00974251888692379,0.7652407884597778,0.8945369720458984,0.9245187044143676,1.0,0.46666666865348816,0.8025104999542236,0.8900952339172363,0.754325270652771,0.6363636255264282,0.014091858640313148,0.00974251888692379,0.8059701919555664,0.675000011920929,0.8945369720458984,0.8900952339172363,0.9143998622894288,0.8751633763313293,0.46666669845581055,0.2857142984867096,0.8460285663604736,0.9143998622894288,0.25,1.0,0.8833333849906921,0.8460285663604736,0.015975795686244965,1.0,1.0,0.9245187044143676,0.46666669845581055,0.04,0.8025104999542236,0.6750000715255737,0.9055455327033995
no_init_box_kenn_horizontal_adapter_bert_ms,0,cpsdu9aj,1,70,0.9054163694381714,0.7666666507720947,0.8773420453071594,0.013221990317106249,0.8679245114326477,0.9054163694381714,0.7755101919174194,0.6333334445953369,0.5,0.9057579636573792,0.7166666984558105,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.6333333253860474,1.0,1.0,0.013221990317106249,0.8231156468391418,0.8945369720458984,0.9245187044143676,1.0,0.6333333253860474,0.8090465068817139,0.8913235664367676,0.8349514603614807,0.7755101919174194,0.015831593424081802,0.013221991248428822,0.8625592589378357,0.7583333253860474,0.8945369720458984,0.8913235664367676,0.9148678183555604,0.8773420453071594,0.6333334445953369,0.6666666865348816,0.8496466875076294,0.9148678183555604,0.25,1.0,0.9000000953674316,0.8496466875076294,0.017184041440486908,1.0,1.0,0.9245187044143676,0.6333334445953369,0.1,0.8090465068817139,0.7583333849906921,0.9057579636573792
no_init_box_kenn_hybrid_adapter_bert_ms,2,cncumdsq,1,49,0.9064137935638428,0.800000011920929,0.8790849447250366,0.016005566343665123,0.888888955116272,0.9064137935638428,0.8679245114326477,0.7666667103767395,0.7333333492279053,0.9059272408485411,0.8055555820465088,0.01844119653105736,0.8833333253860474,0.9380530714988708,0.7666666507720947,1.0,1.0,0.016005566343665123,0.8531707525253296,0.8945369720458984,0.9245766401290894,1.0,0.7666666507720947,0.8142752647399902,0.8923042416572571,0.892307698726654,0.8679245114326477,0.017223382368683815,0.016005566343665123,0.904109537601471,0.824999988079071,0.8945369720458984,0.8923042416572571,0.9154050946235656,0.8790849447250366,0.7666667103767395,0.8461538553237915,0.8525211811065674,0.9154050946235656,0.25,1.0,0.8833333849906921,0.8525211811065674,0.017811497673392296,1.0,1.0,0.9245766401290894,0.7666667103767395,0.22,0.8142752647399902,0.8250000476837158,0.9059272408485411
no_init_box_kenn_top_down_adapter_bert_ms,2,53suc7xs,1,51,0.9054743647575378,0.7666666507720947,0.8773420453071594,0.013221990317106249,0.8679245114326477,0.9054743647575378,0.7755101919174194,0.6333333849906921,0.5,0.9057579636573792,0.7166666984558105,0.01844119653105736,0.8833333253860474,0.9380530714988708,0.6333333253860474,1.0,1.0,0.013221990317106249,0.8160744905471802,0.8945369720458984,0.9245766401290894,1.0,0.6333333253860474,0.8090465068817139,0.8913235664367676,0.8349514603614807,0.7755101919174194,0.015831593424081802,0.013221991248428822,0.8625592589378357,0.7583333253860474,0.8945369720458984,0.8913235664367676,0.9149258136749268,0.8773420453071594,0.6333333849906921,0.6666666865348816,0.8496466875076294,0.9149258136749268,0.25,1.0,0.8833333849906921,0.8496466875076294,0.0170370452105999,1.0,1.0,0.9245766401290894,0.6333333849906921,0.5800000000000001,0.8090465068817139,0.7583333253860474,0.9057579636573792
no_init_box_kenn_bottom_up_adapter_bert_ms,2,qiiitlf7,1,48,0.9058223366737366,0.699999988079071,0.8782135248184204,0.01461377926170826,0.8235293626785278,0.9058223366737366,0.8235293626785278,0.7000000476837158,0.699999988079071,0.9058427214622498,0.7611111402511597,0.01844119653105736,0.8833333253860474,0.9380530714988708,0.699999988079071,1.0,1.0,0.01461377926170826,0.8349917531013489,0.8945369720458984,0.9245766401290894,1.0,0.699999988079071,0.811660885810852,0.8918142318725586,0.864353358745575,0.8235293626785278,0.016527488827705383,0.01461377926170826,0.8837209343910217,0.7916666865348816,0.8945369720458984,0.8918142318725586,0.9151033759117126,0.8782135248184204,0.7000000476837158,0.8235293626785278,0.8510861396789551,0.9151033759117126,0.25,1.0,0.8833333849906921,0.8510861396789551,0.01743197813630104,1.0,1.0,0.9245766401290894,0.7000000476837158,0.15000000000000002,0.811660885810852,0.7916667461395264,0.9058427214622498
no_init_box_kenn_hybrid_adapter_bert_ms,1,u7ke92jj,1,39,0.9056193232536316,0.7333333492279053,0.8777777552604675,0.013917884789407252,0.8461538553237915,0.9056193232536316,0.800000011920929,0.6666666865348816,0.6000000238418579,0.9058003425598145,0.7388889193534851,0.01844119653105736,0.8833333253860474,0.9380530714988708,0.6666666865348816,1.0,1.0,0.013917884789407252,0.8256282210350037,0.8945369720458984,0.9245187044143676,1.0,0.6666666865348816,0.810353696346283,0.8915688991546631,0.8498402237892151,0.800000011920929,0.016179541125893593,0.013917884789407252,0.8732393980026245,0.7749999761581421,0.8945369720458984,0.8915688991546631,0.91497141122818,0.8777777552604675,0.6666666865348816,0.75,0.8503669500350952,0.91497141122818,0.25,1.0,0.8833333849906921,0.8503669500350952,0.01723649352788925,1.0,1.0,0.9245187044143676,0.6666666865348816,0.09,0.810353696346283,0.7750000357627869,0.9058003425598145
no_init_box_kenn_top_down_adapter_bert_ms,1,v25mp4pd,1,39,0.905874490737915,0.699999988079071,0.8784313797950745,0.01496172696352005,0.8235293626785278,0.905874490737915,0.8349514007568359,0.7166666984558105,0.7333333492279053,0.9058638215065002,0.7722222805023193,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.7166666984558105,1.0,1.0,0.01496172696352005,0.847058892250061,0.8945369720458984,0.9245766401290894,1.0,0.7166666388511658,0.8123144507408142,0.8919367790222168,0.8714733719825745,0.8349514603614807,0.016701463609933853,0.01496172696352005,0.888888955116272,0.800000011920929,0.8945369720458984,0.8919367790222168,0.9151300191879272,0.8784313797950745,0.7166666984558105,0.8461538553237915,0.8514452576637268,0.9151300191879272,0.25,1.0,0.9000000953674316,0.8514452576637268,0.017683900892734528,1.0,1.0,0.9245766401290894,0.7166666984558105,0.24,0.8123144507408142,0.8000000715255737,0.9058638215065002
no_init_box_kenn_bottom_up_adapter_bert_ms,1,qt7vc2p7,1,39,0.9061644673347472,0.7333333492279053,0.8788670897483826,0.015657620504498482,0.8461538553237915,0.9061644673347472,0.8571428656578064,0.7500001192092896,0.7666666507720947,0.9059061408042908,0.7944444417953491,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.75,1.0,1.0,0.015657620504498482,0.8563107848167419,0.8945369720458984,0.9245766401290894,1.0,0.75,0.8136216402053833,0.8921817541122437,0.8854489326477051,0.8571428656578064,0.017049409449100494,0.015657620504498482,0.899082601070404,0.8166666626930237,0.8945369720458984,0.8921817541122437,0.9152779579162598,0.8788670897483826,0.7500000596046448,0.8679245114326477,0.852162778377533,0.9152779579162598,0.25,1.0,0.9000000953674316,0.852162778377533,0.01787705160677433,1.0,1.0,0.9245766401290894,0.7500000596046448,0.04,0.8136216402053833,0.8166667222976685,0.9059061408042908
no_init_box_kenn_hybrid_adapter_bert_ms,0,xemiq5wv,1,65,0.9044594764709472,0.6000000238418579,0.8760348558425903,0.011134307831525804,0.75,0.9044594764709472,0.6956522464752197,0.5333333611488342,0.46666666865348816,0.9056306481361388,0.6499999761581421,0.018789144232869148,0.8833333253860474,0.9380530714988708,0.5333333611488342,1.0,1.0,0.011134307831525804,0.7927461862564087,0.8945369720458984,0.9245187044143676,1.0,0.5333333611488342,0.8051249384880066,0.8905868530273438,0.7878787517547607,0.6956522464752197,0.01478775218129158,0.011134307831525804,0.8292683362960815,0.7083333134651184,0.8945369720458984,0.8905868530273438,0.914379060268402,0.8760348558425903,0.5333333611488342,0.6363636255264282,0.8474791049957275,0.914379060268402,0.25,1.0,0.9000000953674316,0.8474791049957275,0.01655002124607563,1.0,1.0,0.9245187044143676,0.5333333611488342,0.44,0.8051249384880066,0.7083333730697632,0.9056306481361388
