name,instance,run_id,test_incremental/macro_example/recall,test_incremental/micro/f1,test_incremental_person-politician/macro_types/f1,test_incremental_person-monarch/macro_types/precision,test_incremental_person-religious_leader/macro_types/f1,test/micro/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_person-engineer/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_person-doctor/macro_types/precision,test_incremental_person-politician/macro_types/precision,test_incremental_person-soldier/macro_types/f1,epoch,threshold_incremental,test/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/f1,test_incremental_person-monarch/macro_types/recall,test_incremental_person-engineer/macro_types/precision,test_incremental/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/micro/precision,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_incremental_person-actor/macro_types/f1,test_incremental_person-actor/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_person-musician/macro_types/recall,test/macro_example/recall,test_incremental_person-athlete/macro_types/f1,test_incremental_person-soldier/macro_types/recall,test_incremental_person-director/macro_types/recall,test_incremental_person-author/macro_types/precision,test_incremental_person-author/macro_types/f1,test_incremental_person-musician/macro_types/f1,test_incremental_person-artist/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_person-doctor/macro_types/f1,test_incremental_person-religious_leader/macro_types/precision,test_incremental/macro_types/precision,test_incremental_person-coach/macro_types/recall,test_incremental_person-athlete/macro_types/precision,test_incremental_person-musician/macro_types/precision,test_pretraining/micro/f1,test_incremental_person/macro_types/recall,test_pretraining/micro/recall,test_incremental_person-coach/macro_types/f1,test_incremental_person-architect/macro_types/precision,test_incremental_only/micro/f1,test_pretraining/macro_example/f1,test_incremental_person-author/macro_types/recall,test_incremental_person-athlete/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/precision,test_incremental_person/macro_types/f1,test_incremental_person-doctor/macro_types/recall,test_incremental_person-engineer/macro_types/recall,threshold_pretraining,test_incremental_person-artist/macro_types/f1,test_incremental_person-actor/macro_types/recall,test/macro_example/precision,test_incremental_person/macro_types/precision,test_incremental_person-artist/macro_types/recall,test_incremental_person-architect/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_person-director/macro_types/f1,test/micro/recall,test_incremental/macro_example/f1,test_incremental_person-architect/macro_types/f1,test/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_person-politician/macro_types/recall,test_incremental_person-director/macro_types/precision,test/macro_types/f1,test/micro/precision,test_incremental_person-soldier/macro_types/precision,test_incremental_person-religious_leader/macro_types/recall,test_incremental/micro/recall,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_incremental_person-monarch/macro_types/f1,test_incremental_person-coach/macro_types/precision,test/macro_types/recall,test_pretraining/macro_types/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,1ijqills,0.06640902161598206,0.5172004699707031,0.0,0.0,0.0,0.8236629962921143,0.924170732498169,0.0,0.0,0.0,0.0,0.0,0.0,16,0.01,0.6924028992652893,0.15170493721961975,0.4176357090473175,0.5809568762779236,0.0,0.0,0.06360321491956711,0.6924028992652893,0.9026914834976196,0.0,0.0,0.0,0.0,0.0,0.0,0.8326759934425354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061975836753845215,0.0,0.0,0.0,0.060429662466049194,0.0,0.0,0.0,0.8236629962921143,0.9540481567382812,0.7560651898384094,0.0,0.0,0.0,0.8760408759117126,0.0,0.0,0.0,0.6348366141319275,0.8326759934425354,0.0,0.9540481567382812,0.9296375513076782,0.0,0.0,0.25,0.0,0.0,0.924170732498169,0.9064449071884156,0.0,0.0,0.0,0.0,0.7560651898384094,0.09237901866436005,0.0,0.8760408759117126,0.0,0.0,0.0,0.6623713374137878,0.904535174369812,0.0,0.0,0.3624272644519806,0.904535174369812,0.0,0.0,0.0,0.6348366141319275,0.6623713374137878
no_init_box_kenn_horizontal_adapter_bert_ms,1,oca1pe2b,0.15459290146827698,0.056393127888441086,0.0455627366900444,0.011482254602015018,0.020661156624555588,0.18970352411270144,0.10440443456172945,0.01854061335325241,0.028130361810326576,1.0,0.010438413359224796,0.023312456905841827,0.021342510357499123,11,0.0,0.6965230107307434,0.02744971588253975,0.9722101092338562,0.29319384694099426,1.0,0.014265831559896467,0.996936559677124,0.6965230107307434,0.029029643163084984,0.03640623018145561,0.018540609627962112,0.042234331369400024,0.021572720259428024,1.0,1.0,0.9085636138916016,0.04356705024838448,1.0,1.0,0.0487125962972641,0.09289979934692384,0.023383768275380135,0.04314544051885605,0.14422295987606049,0.03292393684387207,0.020661156624555588,0.010438413359224796,0.07773423939943314,1.0,0.022268615663051605,0.011830201372504234,0.18970352411270144,0.9540481567382812,0.8974602222442627,0.020661156624555588,0.010438413359224796,0.036406226456165314,0.18728739023208615,1.0,1.0,0.12626945972442627,0.8570588231086731,0.9085636138916016,0.14683368802070618,0.17262686789035797,0.9296375513076782,1.0,1.0,0.25,0.08272181451320648,1.0,0.10440443456172945,0.9064449071884156,1.0,1.0,0.01854061149060726,0.020661156624555588,0.8974602222442627,0.04662129655480385,0.020661156624555588,0.18728739023208615,0.22422602772712708,1.0,0.010438413359224796,0.7684966325759888,0.10606128722429276,0.010786360129714012,1.0,0.982543647289276,0.10606128722429276,1.0,0.02270381897687912,0.010438413359224796,0.8570588231086731,0.7684966325759888
no_init_box_kenn_horizontal_adapter_bert_ms,0,ufjc8dxq,0.15459290146827698,0.056393127888441086,0.0455627366900444,0.011482254602015018,0.020661156624555588,0.18970352411270144,0.10440443456172945,0.01854061335325241,0.028130361810326576,1.0,0.010438413359224796,0.023312456905841827,0.021342510357499123,11,0.0,0.6965230107307434,0.02744971588253975,0.9722101092338562,0.29319384694099426,1.0,0.014265831559896467,0.996936559677124,0.6965230107307434,0.029029643163084984,0.03640623018145561,0.018540609627962112,0.042234331369400024,0.021572720259428024,1.0,1.0,0.9085636138916016,0.04356705024838448,1.0,1.0,0.0487125962972641,0.09289979934692384,0.023383768275380135,0.04314544051885605,0.14422295987606049,0.03292393684387207,0.020661156624555588,0.010438413359224796,0.07773423939943314,1.0,0.022268615663051605,0.011830201372504234,0.18970352411270144,0.9540481567382812,0.8974602222442627,0.020661156624555588,0.010438413359224796,0.036406226456165314,0.18728739023208615,1.0,1.0,0.12626945972442627,0.8570588231086731,0.9085636138916016,0.14683368802070618,0.17262686789035797,0.9296375513076782,1.0,1.0,0.25,0.08272181451320648,1.0,0.10440443456172945,0.9064449071884156,1.0,1.0,0.01854061149060726,0.020661156624555588,0.8974602222442627,0.04662129655480385,0.020661156624555588,0.18728739023208615,0.22422602772712708,1.0,0.010438413359224796,0.7684966325759888,0.10606128722429276,0.010786360129714012,1.0,0.982543647289276,0.10606128722429276,1.0,0.02270381897687912,0.010438413359224796,0.8570588231086731,0.7684966325759888
no_init_box_kenn_hybrid_adapter_bert_ms,2,s3ar44c2,0.15459290146827698,0.056393127888441086,0.0455627366900444,0.011482254602015018,0.020661156624555588,0.18970352411270144,0.10440443456172945,0.01854061335325241,0.028130361810326576,1.0,0.010438413359224796,0.023312456905841827,0.021342510357499123,12,0.0,0.6965230107307434,0.02744971588253975,0.9722101092338562,0.29319384694099426,1.0,0.014265831559896467,0.996936559677124,0.6965230107307434,0.029029643163084984,0.03640623018145561,0.018540609627962112,0.042234331369400024,0.021572720259428024,1.0,1.0,0.9085636138916016,0.04356705024838448,1.0,1.0,0.0487125962972641,0.09289979934692384,0.023383768275380135,0.04314544051885605,0.1442229449748993,0.03292393684387207,0.020661156624555588,0.010438413359224796,0.07773423194885254,1.0,0.022268615663051605,0.011830201372504234,0.18970352411270144,0.9540481567382812,0.8974602222442627,0.020661156624555588,0.010438413359224796,0.036406226456165314,0.18728739023208615,1.0,1.0,0.12626945972442627,0.8570588231086731,0.9085636138916016,0.14683368802070618,0.17262686789035797,0.9296375513076782,1.0,1.0,0.25,0.08272181451320648,1.0,0.10440443456172945,0.9064449071884156,1.0,1.0,0.01854061149060726,0.020661156624555588,0.8974602222442627,0.04662129655480385,0.020661156624555588,0.18728739023208615,0.22422602772712708,1.0,0.010438413359224796,0.7684966325759888,0.10606128722429276,0.010786360129714012,1.0,0.982543647289276,0.10606128722429276,1.0,0.02270381897687912,0.010438413359224796,0.8570588231086731,0.7684966325759888
no_init_box_kenn_top_down_adapter_bert_ms,2,vjwl9x3z,0.15459290146827698,0.056393127888441086,0.0455627366900444,0.011482254602015018,0.020661156624555588,0.18970352411270144,0.10440443456172945,0.01854061335325241,0.028130361810326576,1.0,0.010438413359224796,0.023312456905841827,0.021342510357499123,12,0.0,0.6965230107307434,0.02744971588253975,0.9722101092338562,0.29319384694099426,1.0,0.014265831559896467,0.996936559677124,0.6965230107307434,0.029029643163084984,0.03640623018145561,0.018540609627962112,0.042234331369400024,0.021572720259428024,1.0,1.0,0.9085636138916016,0.04356705024838448,1.0,1.0,0.0487125962972641,0.09289979934692384,0.023383768275380135,0.04314544051885605,0.1442229449748993,0.03292393684387207,0.020661156624555588,0.010438413359224796,0.07773423194885254,1.0,0.022268615663051605,0.011830201372504234,0.18970352411270144,0.9540481567382812,0.8974602222442627,0.020661156624555588,0.010438413359224796,0.036406226456165314,0.18728739023208615,1.0,1.0,0.12626945972442627,0.8570588231086731,0.9085636138916016,0.14683368802070618,0.17262686789035797,0.9296375513076782,1.0,1.0,0.25,0.08272181451320648,1.0,0.10440443456172945,0.9064449071884156,1.0,1.0,0.01854061149060726,0.020661156624555588,0.8974602222442627,0.04662129655480385,0.020661156624555588,0.18728739023208615,0.22422602772712708,1.0,0.010438413359224796,0.7684966325759888,0.10606128722429276,0.010786360129714012,1.0,0.982543647289276,0.10606128722429276,1.0,0.02270381897687912,0.010438413359224796,0.8570588231086731,0.7684966325759888
no_init_box_kenn_bottom_up_adapter_bert_ms,2,b3vi4zhf,0.15459290146827698,0.056393127888441086,0.0455627366900444,0.011482254602015018,0.020661156624555588,0.18970352411270144,0.10440443456172945,0.01854061335325241,0.028130361810326576,1.0,0.010438413359224796,0.023312456905841827,0.021342510357499123,12,0.0,0.6965230107307434,0.02744971588253975,0.9722101092338562,0.29319384694099426,1.0,0.014265831559896467,0.996936559677124,0.6965230107307434,0.029029643163084984,0.036406226456165314,0.018540609627962112,0.042234331369400024,0.021572720259428024,1.0,1.0,0.9085636138916016,0.04356705024838448,1.0,1.0,0.0487125962972641,0.09289979934692384,0.023383768275380135,0.04314544051885605,0.1442229449748993,0.03292393684387207,0.020661156624555588,0.010438413359224796,0.07773423194885254,1.0,0.022268615663051605,0.011830201372504234,0.18970352411270144,0.9540481567382812,0.8974602222442627,0.020661156624555588,0.010438413359224796,0.036406226456165314,0.18728739023208615,1.0,1.0,0.12626945972442627,0.8570588231086731,0.9085636138916016,0.14683368802070618,0.17262686789035797,0.9296375513076782,1.0,1.0,0.25,0.08272181451320648,1.0,0.10440443456172945,0.9064449071884156,1.0,1.0,0.018540609627962112,0.020661156624555588,0.8974602222442627,0.04662129655480385,0.020661156624555588,0.18728739023208615,0.22422602772712708,1.0,0.010438413359224796,0.7684966325759888,0.10606128722429276,0.010786360129714012,1.0,0.982543647289276,0.10606128722429276,1.0,0.02270381897687912,0.010438413359224796,0.8570588231086731,0.7684966325759888
no_init_box_kenn_hybrid_adapter_bert_ms,1,1sy15f7x,0.089222751557827,0.6206538677215576,0.0,0.9285714030265808,0.5531914830207825,0.8363050222396851,0.916023015975952,0.056367434561252594,0.4444444477558136,0.2796998620033264,1.0,0.0,0.43478262424468994,58,0.01,0.8449928164482117,0.1466597020626068,0.5611076354980469,0.697736382484436,0.7878788113594055,0.3294117748737335,0.3315814137458801,0.8449928164482117,0.8259668350219727,0.40492334961891174,0.6666666865348816,0.14705881476402283,0.8333333134651184,0.2871195077896118,0.0,0.8509688377380371,0.5957446694374084,0.32258063554763794,0.1666666716337204,0.800000011920929,0.05517241358757019,0.0,1.0,0.4502720534801483,0.047517456114292145,0.1818181872367859,0.7647058963775635,0.7013074159622192,0.06666667014360428,0.9333333373069764,0.0,0.8363050222396851,0.9540481567382812,0.7867702841758728,0.125,0.8571428656578064,0.32760363817214966,0.8822984099388123,0.02857142873108387,0.4375,0.38388627767562866,0.6986409425735474,0.8509688377380371,0.041069358587265015,0.9223195314407348,0.9296375513076782,0.10000000149011612,0.6829268336296082,0.25,0.2028985470533371,0.08064515888690948,0.916023015975952,0.9064449071884156,0.11290322244167328,0.800000011920929,0.6866546869277954,0.25,0.7867702841758728,0.1109483242034912,0.8275862336158752,0.8822984099388123,0.3236141800880432,0.0,0.5,0.7648791074752808,0.8924962282180786,0.6666666865348816,0.4333333373069763,0.497090607881546,0.8924962282180786,0.2171581834554672,0.8524590134620667,1.0,0.6986409425735474,0.7648791074752808
no_init_box_kenn_top_down_adapter_bert_ms,1,o5yjie12,0.09135682880878448,0.6095519661903381,0.0,0.9333333373069764,0.5660377144813538,0.8318213820457458,0.9051902294158936,0.06263048201799393,0.3352601230144501,0.30071091651916504,0.75,0.0,0.42622947692871094,60,0.01,0.8374109864234924,0.14347019791603088,0.5745285153388977,0.7020291686058044,0.8484848737716675,0.21969696879386905,0.3888125419616699,0.8374109864234924,0.7475845217704773,0.45429474115371704,0.5273775458335876,0.2222222238779068,0.800000011920929,0.348438560962677,0.14705882966518402,0.8530739545822144,0.34567901492118835,0.4193548262119293,0.20000000298023224,0.800000011920929,0.05517241358757019,0.25,1.0,0.4919242858886719,0.05179412290453911,0.1764705926179886,0.6521739363670349,0.6694637537002563,0.6666666865348816,0.8235294222831726,0.8333333134651184,0.8318213820457458,0.9540481567382812,0.7907505631446838,0.6153846383094788,0.8571428656578064,0.3348581790924072,0.8783597350120544,0.02857142873108387,0.21875,0.4265402853488922,0.7122673988342285,0.8530739545822144,0.04415448755025864,0.9022611379623412,0.9296375513076782,0.10000000149011612,0.707317054271698,0.25,0.2028985470533371,0.12903225421905518,0.9051902294158936,0.9064449071884156,0.11290322244167328,0.800000011920929,0.6525365114212036,0.2790697515010834,0.7907505631446838,0.11163095384836196,0.8275862336158752,0.8783597350120544,0.352740079164505,0.0,0.4615384638309479,0.7697862386703491,0.8773922324180603,0.4333333373069763,0.5,0.5145469903945923,0.8773922324180603,0.2453083097934723,0.888888955116272,0.5714285969734192,0.7122673988342285,0.7697862386703491
no_init_box_kenn_bottom_up_adapter_bert_ms,1,o97o81gi,0.08460085839033127,0.5966029763221741,0.0,0.92592591047287,0.5333333611488342,0.8326588273048401,0.9170145988464355,0.04384133592247963,0.4375,0.2257899045944214,1.0,0.0,0.3414634168148041,58,0.01,0.850771963596344,0.14822547137737274,0.5320412516593933,0.6774325370788574,0.7575757503509521,0.3218390941619873,0.28498685359954834,0.850771963596344,0.8252570033073425,0.35592877864837646,0.6299999952316284,0.09090908616781236,0.75,0.23719674348831177,0.0,0.8463759422302246,0.06060606241226196,0.22580644488334656,0.1666666716337204,0.800000011920929,0.05517241358757019,0.0,1.0,0.4092371463775635,0.03775566071271896,0.1818181872367859,0.800000011920929,0.7255798578262329,0.03333333507180214,1.0,0.0,0.8326588273048401,0.9540481567382812,0.7799469232559204,0.06451613456010818,0.8461538553237915,0.2663847804069519,0.8802804350852966,0.02857142873108387,0.03125,0.2985782027244568,0.687546968460083,0.8463759422302246,0.03315356373786926,0.932166337966919,0.9296375513076782,0.10000000149011612,0.6829268336296082,0.25,0.2028985470533371,0.04838709533214569,0.9170145988464355,0.9064449071884156,0.11290322244167328,0.7333333492279053,0.7126609086990356,0.2777777910232544,0.7799469232559204,0.1077198013663292,0.785714328289032,0.8802804350852966,0.2571321427822113,0.0,0.8333333134651184,0.760499894618988,0.8930121660232544,0.699999988079071,0.4000000059604645,0.46716541051864624,0.8930121660232544,0.16890080273151398,0.8333332538604736,1.0,0.687546968460083,0.760499894618988
no_init_box_kenn_hybrid_adapter_bert_ms,0,83r0d75e,0.15459290146827698,0.056393127888441086,0.0455627366900444,0.011482254602015018,0.020661156624555588,0.18970352411270144,0.10440443456172945,0.01854061335325241,0.028130361810326576,1.0,0.010438413359224796,0.023312456905841827,0.021342510357499123,12,0.0,0.6965230107307434,0.02744971588253975,0.9722101092338562,0.29319384694099426,1.0,0.014265831559896467,0.996936559677124,0.6965230107307434,0.029029643163084984,0.03640623018145561,0.018540609627962112,0.042234331369400024,0.021572720259428024,1.0,1.0,0.9085636138916016,0.04356705024838448,1.0,1.0,0.0487125962972641,0.09289979934692384,0.023383768275380135,0.04314544051885605,0.1442229449748993,0.03292393684387207,0.020661156624555588,0.010438413359224796,0.07773423194885254,1.0,0.022268615663051605,0.011830201372504234,0.18970352411270144,0.9540481567382812,0.8974602222442627,0.020661156624555588,0.010438413359224796,0.036406226456165314,0.18728739023208615,1.0,1.0,0.12626945972442627,0.8570588231086731,0.9085636138916016,0.14683368802070618,0.17262686789035797,0.9296375513076782,1.0,1.0,0.25,0.08272181451320648,1.0,0.10440443456172945,0.9064449071884156,1.0,1.0,0.01854061149060726,0.020661156624555588,0.8974602222442627,0.04662129655480385,0.020661156624555588,0.18728739023208615,0.22422602772712708,1.0,0.010438413359224796,0.7684966325759888,0.10606128722429276,0.010786360129714012,1.0,0.982543647289276,0.10606128722429276,1.0,0.02270381897687912,0.010438413359224796,0.8570588231086731,0.7684966325759888
