name,instance,run_id,test_incremental_person-director/macro_types/recall,test_incremental_person-athlete/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_person-actor/macro_types/precision,test_incremental/macro_example/precision,test/micro/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_person/macro_types/f1,test_incremental_person-soldier/macro_types/f1,test_incremental_person-artist/macro_types/recall,test_incremental_person-author/macro_types/precision,test/micro/precision,test/macro_types/precision,test_incremental_person-actor/macro_types/recall,test_incremental_person-doctor/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_person-artist/macro_types/precision,test_incremental_person-musician/macro_types/precision,threshold_incremental,test_incremental_person-monarch/macro_types/precision,test_incremental_person-monarch/macro_types/recall,test_incremental/micro/recall,test/macro_types/recall,test_incremental/micro/f1,epoch,test/macro_example/f1,threshold_pretraining,test_incremental_only/macro_types/precision,test_incremental_person/macro_types/precision,test_incremental/macro_types/precision,test_incremental_person-director/macro_types/precision,test_incremental_person-religious_leader/macro_types/recall,test_incremental_person-engineer/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_person-author/macro_types/recall,test_incremental_person-soldier/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_person/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/f1,test_incremental/macro_example/recall,test/micro/recall,test_incremental_person-architect/macro_types/recall,test_incremental_person-politician/macro_types/precision,test_incremental_only/micro/f1,test_incremental_person-politician/macro_types/f1,test_incremental_person-musician/macro_types/recall,test_incremental_person-author/macro_types/f1,test_incremental_person-architect/macro_types/f1,test_incremental_person-engineer/macro_types/recall,test_incremental_only/macro_types/f1,test/macro_types/f1,test_incremental_person-politician/macro_types/recall,test_pretraining/micro/recall,test_incremental_person-coach/macro_types/f1,test_incremental/micro/precision,test_incremental_person-religious_leader/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_person-athlete/macro_types/precision,test_incremental/macro_example/f1,test_incremental/macro_types/recall,test_incremental_person-religious_leader/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_person-athlete/macro_types/recall,test_incremental_person-engineer/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_person-architect/macro_types/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test_incremental_person-musician/macro_types/f1,test/macro_example/precision,test_incremental_person-coach/macro_types/recall,test_incremental_person-doctor/macro_types/f1,test_incremental_person-director/macro_types/f1,test_incremental_person-soldier/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_person-artist/macro_types/f1,test_incremental_person-monarch/macro_types/f1,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_person-actor/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_person-coach/macro_types/precision,test_incremental_person-doctor/macro_types/precision,test_pretraining/micro/precision,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,624ux5j9,1.0,0.04356705024838448,0.9722101092338562,0.021572720259428024,0.02744971588253975,0.18970352411270144,1.0,0.9296375513076782,0.021342510357499123,1.0,0.0487125962972641,0.10606128722429276,0.6965230107307434,1.0,1.0,0.9085636138916016,1.0,0.18728739023208615,0.04314544051885605,0.011830201372504234,0.0,0.011482254602015018,1.0,0.982543647289276,0.8570588231086731,0.056393127888441086,34,0.18728739023208615,0.25,0.018540609627962112,0.9064449071884156,0.07773423194885254,0.010438413359224796,1.0,0.028130361810326576,0.29319384694099426,1.0,1.0,0.03292393684387207,0.9540481567382812,0.12626945972442627,0.18970352411270144,0.15459290146827698,0.8974602222442627,1.0,0.023312456905841827,0.036406226456165314,0.0455627366900444,1.0,0.09289979934692384,0.020661156624555588,1.0,0.036406226456165314,0.7684966325759888,1.0,0.8974602222442627,0.020661156624555588,0.029029643163084984,0.020661156624555588,0.10440443456172945,0.022268615663051605,0.04662129655480385,0.996936559677124,0.010438413359224796,0.7684966325759888,1.0,0.014265831559896467,0.14683368802070618,0.010438413359224796,0.018540609627962112,0.01854061335325241,0.023383768275380135,0.10440443456172945,1.0,0.020661156624555588,0.020661156624555588,0.010786360129714012,0.9085636138916016,0.08272181451320648,0.02270381897687912,0.8570588231086731,0.6965230107307434,0.042234331369400024,0.22422602772712708,0.010438413359224796,0.010438413359224796,0.10606128722429276,1.0,0.17262686789035797,0.1442229449748993
no_init_box_kenn_horizontal_adapter_bert_ms,1,km7tfixz,1.0,0.04356705024838448,0.9722101092338562,0.021572720259428024,0.02744971588253975,0.18970352411270144,1.0,0.9296375513076782,0.021342510357499123,1.0,0.0487125962972641,0.10606128722429276,0.6965230107307434,1.0,1.0,0.9085636138916016,1.0,0.18728739023208615,0.04314544051885605,0.011830201372504234,0.0,0.011482254602015018,1.0,0.982543647289276,0.8570588231086731,0.056393127888441086,32,0.18728739023208615,0.25,0.01854061149060726,0.9064449071884156,0.07773423194885254,0.010438413359224796,1.0,0.028130361810326576,0.29319384694099426,1.0,1.0,0.03292393684387207,0.9540481567382812,0.12626945972442627,0.18970352411270144,0.15459290146827698,0.8974602222442627,1.0,0.023312456905841827,0.036406226456165314,0.0455627366900444,1.0,0.09289979934692384,0.020661156624555588,1.0,0.03640623018145561,0.7684966325759888,1.0,0.8974602222442627,0.020661156624555588,0.029029643163084984,0.020661156624555588,0.10440443456172945,0.022268615663051605,0.04662129655480385,0.996936559677124,0.010438413359224796,0.7684966325759888,1.0,0.014265831559896467,0.14683368802070618,0.010438413359224796,0.018540609627962112,0.01854061335325241,0.023383768275380135,0.10440443456172945,1.0,0.020661156624555588,0.020661156624555588,0.010786360129714012,0.9085636138916016,0.08272181451320648,0.02270381897687912,0.8570588231086731,0.6965230107307434,0.042234331369400024,0.22422602772712708,0.010438413359224796,0.010438413359224796,0.10606128722429276,1.0,0.17262686789035797,0.1442229449748993
no_init_box_kenn_horizontal_adapter_bert_ms,0,h0hy84p2,1.0,0.04356705024838448,0.9722101092338562,0.021572720259428024,0.02744971588253975,0.18970352411270144,1.0,0.9296375513076782,0.021342510357499123,1.0,0.0487125962972641,0.10606128722429276,0.6965230107307434,1.0,1.0,0.9085636138916016,1.0,0.18728739023208615,0.04314544051885605,0.011830201372504234,0.0,0.011482254602015018,1.0,0.982543647289276,0.8570588231086731,0.056393127888441086,32,0.18728739023208615,0.25,0.01854061149060726,0.9064449071884156,0.07773423194885254,0.010438413359224796,1.0,0.028130361810326576,0.29319384694099426,1.0,1.0,0.03292393684387207,0.9540481567382812,0.12626945972442627,0.18970352411270144,0.15459290146827698,0.8974602222442627,1.0,0.023312456905841827,0.036406226456165314,0.0455627366900444,1.0,0.09289979934692384,0.020661156624555588,1.0,0.03640623018145561,0.7684966325759888,1.0,0.8974602222442627,0.020661156624555588,0.029029643163084984,0.020661156624555588,0.10440443456172945,0.022268615663051605,0.04662129655480385,0.996936559677124,0.010438413359224796,0.7684966325759888,1.0,0.014265831559896467,0.14683368802070618,0.010438413359224796,0.018540609627962112,0.01854061335325241,0.023383768275380135,0.10440443456172945,1.0,0.020661156624555588,0.020661156624555588,0.010786360129714012,0.9085636138916016,0.08272181451320648,0.02270381897687912,0.8570588231086731,0.6965230107307434,0.042234331369400024,0.22422602772712708,0.010438413359224796,0.010438413359224796,0.10606128722429276,1.0,0.17262686789035797,0.1442229449748993
no_init_box_kenn_hybrid_adapter_bert_ms,2,yz0opkd7,1.0,0.04356705024838448,0.9722101092338562,0.021572720259428024,0.02744971588253975,0.18970352411270144,1.0,0.9296375513076782,0.021342510357499123,1.0,0.0487125962972641,0.10606128722429276,0.6965230107307434,1.0,1.0,0.9085636138916016,1.0,0.18728739023208615,0.04314544051885605,0.011830201372504234,0.0,0.011482254602015018,1.0,0.982543647289276,0.8570588231086731,0.056393127888441086,35,0.18728739023208615,0.25,0.01854061149060726,0.9064449071884156,0.07773423194885254,0.010438413359224796,1.0,0.028130361810326576,0.29319384694099426,1.0,1.0,0.03292393684387207,0.9540481567382812,0.12626945972442627,0.18970352411270144,0.15459290146827698,0.8974602222442627,1.0,0.023312456905841827,0.036406226456165314,0.0455627366900444,1.0,0.09289979934692384,0.020661156624555588,1.0,0.03640623018145561,0.7684966325759888,1.0,0.8974602222442627,0.020661156624555588,0.029029643163084984,0.020661156624555588,0.10440443456172945,0.022268615663051605,0.04662129655480385,0.996936559677124,0.010438413359224796,0.7684966325759888,1.0,0.014265831559896467,0.14683368802070618,0.010438413359224796,0.018540609627962112,0.01854061335325241,0.023383768275380135,0.10440443456172945,1.0,0.020661156624555588,0.020661156624555588,0.010786360129714012,0.9085636138916016,0.08272181451320648,0.02270381897687912,0.8570588231086731,0.6965230107307434,0.042234331369400024,0.22422602772712708,0.010438413359224796,0.010438413359224796,0.10606128722429276,1.0,0.17262686789035797,0.1442229449748993
no_init_box_kenn_top_down_adapter_bert_ms,2,ekgesbtj,1.0,0.04356705024838448,0.9722101092338562,0.021572720259428024,0.02744971588253975,0.18970352411270144,1.0,0.9296375513076782,0.021342510357499123,1.0,0.0487125962972641,0.10606128722429276,0.6965230107307434,1.0,1.0,0.9085636138916016,1.0,0.18728739023208615,0.04314544051885605,0.011830201372504234,0.0,0.011482254602015018,1.0,0.982543647289276,0.8570588231086731,0.056393127888441086,35,0.18728739023208615,0.25,0.018540609627962112,0.9064449071884156,0.07773423194885254,0.010438413359224796,1.0,0.028130361810326576,0.29319384694099426,1.0,1.0,0.03292393684387207,0.9540481567382812,0.12626945972442627,0.18970352411270144,0.15459290146827698,0.8974602222442627,1.0,0.023312456905841827,0.036406226456165314,0.0455627366900444,1.0,0.09289979934692384,0.020661156624555588,1.0,0.036406226456165314,0.7684966325759888,1.0,0.8974602222442627,0.020661156624555588,0.029029643163084984,0.020661156624555588,0.10440443456172945,0.022268615663051605,0.04662129655480385,0.996936559677124,0.010438413359224796,0.7684966325759888,1.0,0.014265831559896467,0.14683368802070618,0.010438413359224796,0.018540609627962112,0.01854061335325241,0.023383768275380135,0.10440443456172945,1.0,0.020661156624555588,0.020661156624555588,0.010786360129714012,0.9085636138916016,0.08272181451320648,0.02270381897687912,0.8570588231086731,0.6965230107307434,0.042234331369400024,0.22422602772712708,0.010438413359224796,0.010438413359224796,0.10606128722429276,1.0,0.17262686789035797,0.1442229449748993
no_init_box_kenn_bottom_up_adapter_bert_ms,2,mwue7e4w,1.0,0.04356705024838448,0.9722101092338562,0.021572720259428024,0.02744971588253975,0.18970352411270144,1.0,0.9296375513076782,0.021342510357499123,1.0,0.0487125962972641,0.10606128722429276,0.6965230107307434,1.0,1.0,0.9085636138916016,1.0,0.18728739023208615,0.04314544051885605,0.011830201372504234,0.0,0.011482254602015018,1.0,0.982543647289276,0.8570588231086731,0.056393127888441086,35,0.18728739023208615,0.25,0.01854061149060726,0.9064449071884156,0.07773423194885254,0.010438413359224796,1.0,0.028130361810326576,0.29319384694099426,1.0,1.0,0.03292393684387207,0.9540481567382812,0.12626945972442627,0.18970352411270144,0.15459290146827698,0.8974602222442627,1.0,0.023312456905841827,0.036406226456165314,0.0455627366900444,1.0,0.09289979934692384,0.020661156624555588,1.0,0.03640623018145561,0.7684966325759888,1.0,0.8974602222442627,0.020661156624555588,0.029029643163084984,0.020661156624555588,0.10440443456172945,0.022268615663051605,0.04662129655480385,0.996936559677124,0.010438413359224796,0.7684966325759888,1.0,0.014265831559896467,0.14683368802070618,0.010438413359224796,0.018540609627962112,0.01854061335325241,0.023383768275380135,0.10440443456172945,1.0,0.020661156624555588,0.020661156624555588,0.010786360129714012,0.9085636138916016,0.08272181451320648,0.02270381897687912,0.8570588231086731,0.6965230107307434,0.042234331369400024,0.22422602772712708,0.010438413359224796,0.010438413359224796,0.10606128722429276,1.0,0.17262686789035797,0.1442229449748993
no_init_box_kenn_hybrid_adapter_bert_ms,1,alw74ikl,0.1666666716337204,0.0,0.4417057335376739,0.0,0.15048712491989136,0.825657844543457,0.046603478491306305,0.9296375513076782,0.0,0.0,1.0,0.9020664691925048,0.7327289581298828,0.0,0.0,0.8345855474472046,0.047768376767635345,0.8769136667251587,0.0,0.0,0.01,0.0,0.0,0.3848711550235748,0.6454517841339111,0.5358796119689941,48,0.8769136667251587,0.25,0.1814671754837036,0.9064449071884156,0.2297990322113037,1.0,0.0,0.5128205418586731,0.6023011207580566,0.014285714365541937,0.0,0.00791828241199255,0.9540481567382812,0.06398104131221771,0.825657844543457,0.0702364444732666,0.7611827254295349,0.0,0.0,0.06835443526506424,0.0,0.0,0.028169015422463417,0.0,0.4878048896789551,0.07562868297100067,0.6863268613815308,0.0,0.7611827254295349,0.0,0.8819047808647156,0.0,0.9237648248672484,0.0,0.09577301144599916,0.10818703472614288,0.0,0.6863268613815308,0.0,0.5405405163764954,0.006842959672212601,0.0,0.6136363744735718,0.009394572116434574,0.0,0.9237648248672484,0.0,0.0,0.2857142984867096,0.0,0.8345855474472046,0.0,0.0,0.6454517841339111,0.7327289581298828,0.0,0.05392688140273094,0.0,0.0,0.9020664691925048,0.03619302809238434,0.9463894963264464,0.14711421728134155
no_init_box_kenn_top_down_adapter_bert_ms,1,mzrn8w70,0.1666666716337204,0.0,0.45775240659713745,0.0,0.14979124069213867,0.8256016969680786,0.08096367120742798,0.9296375513076782,0.0625,0.09677419066429138,1.0,0.897972822189331,0.7591682076454163,0.0,0.0,0.8356003761291504,0.06046929210424423,0.876782238483429,1.0,0.0,0.01,0.0,0.0,0.39733996987342834,0.6482742428779602,0.5416430234909058,52,0.876782238483429,0.25,0.30044394731521606,0.9064449071884156,0.34084397554397583,0.8333333134651184,0.0,0.4400000274181366,0.6161157488822937,0.014285714365541937,0.032258063554763794,0.013110830448567867,0.9540481567382812,0.0995260626077652,0.8256016969680786,0.0727880597114563,0.7640257477760315,0.0,0.0,0.1015719398856163,0.0,0.0,0.028169015422463417,0.0,0.5365853905677795,0.10067590326070786,0.699352502822876,0.0,0.7640257477760315,0.0,0.8505337834358215,0.0,0.922233819961548,0.0,0.09796970337629318,0.12004122138023376,0.0,0.699352502822876,0.0,0.37288135290145874,0.011888192966580393,0.0,0.5185185074806213,0.01461377926170826,0.0,0.922233819961548,0.0,0.0,0.2777777910232544,1.0,0.8356003761291504,0.1764705777168274,0.0,0.6482742428779602,0.7591682076454163,0.0,0.08929035067558289,0.0,0.0,0.897972822189331,0.056300267577171326,0.9420132040977478,0.1775510460138321
no_init_box_kenn_bottom_up_adapter_bert_ms,1,vmvmzvgg,0.1666666716337204,0.0,0.4417057335376739,0.0,0.15048712491989136,0.8254882097244263,0.046603478491306305,0.9296375513076782,0.0,0.0,1.0,0.901661455631256,0.7322889566421509,0.0,0.0,0.8345855474472046,0.047768376767635345,0.8768379092216492,0.0,0.0,0.01,0.0,0.0,0.3848711550235748,0.6454517841339111,0.5352600812911987,52,0.8768379092216492,0.25,0.1794871985912323,0.9064449071884156,0.2279510498046875,1.0,0.0,0.5000000596046448,0.6023011207580566,0.014285714365541937,0.0,0.00791828241199255,0.9540481567382812,0.06398104131221771,0.8254882097244263,0.0702364444732666,0.7611827254295349,0.0,0.0,0.06818181276321411,0.0,0.0,0.028169015422463417,0.0,0.4878048896789551,0.07545524090528488,0.6861337423324585,0.0,0.7611827254295349,0.0,0.8785578608512878,0.0,0.9235966205596924,0.0,0.09577301144599916,0.10818703472614288,0.0,0.6861337423324585,0.0,0.5128205418586731,0.006842959672212601,0.0,0.5869565010070801,0.009394572116434574,0.0,0.9235966205596924,0.0,0.0,0.2857142984867096,0.0,0.8345855474472046,0.0,0.0,0.6454517841339111,0.7322889566421509,0.0,0.05392688140273094,0.0,0.0,0.901661455631256,0.03619302809238434,0.9463894963264464,0.14673343300819397
no_init_box_kenn_hybrid_adapter_bert_ms,0,abqfr42w,1.0,0.04356705024838448,0.9722101092338562,0.021572720259428024,0.02744971588253975,0.18970352411270144,1.0,0.9296375513076782,0.021342510357499123,1.0,0.0487125962972641,0.10606128722429276,0.6965230107307434,1.0,1.0,0.9085636138916016,1.0,0.18728739023208615,0.04314544051885605,0.011830201372504234,0.0,0.011482254602015018,1.0,0.982543647289276,0.8570588231086731,0.056393127888441086,34,0.18728739023208615,0.25,0.01854061149060726,0.9064449071884156,0.07773423194885254,0.010438413359224796,1.0,0.028130361810326576,0.29319384694099426,1.0,1.0,0.03292393684387207,0.9540481567382812,0.12626945972442627,0.18970352411270144,0.15459290146827698,0.8974602222442627,1.0,0.023312456905841827,0.036406226456165314,0.0455627366900444,1.0,0.09289979934692384,0.020661156624555588,1.0,0.03640623018145561,0.7684966325759888,1.0,0.8974602222442627,0.020661156624555588,0.029029643163084984,0.020661156624555588,0.10440443456172945,0.022268615663051605,0.04662129655480385,0.996936559677124,0.010438413359224796,0.7684966325759888,1.0,0.014265831559896467,0.14683368802070618,0.010438413359224796,0.018540609627962112,0.01854061335325241,0.023383768275380135,0.10440443456172945,1.0,0.020661156624555588,0.020661156624555588,0.010786360129714012,0.9085636138916016,0.08272181451320648,0.02270381897687912,0.8570588231086731,0.6965230107307434,0.042234331369400024,0.22422602772712708,0.010438413359224796,0.010438413359224796,0.10606128722429276,1.0,0.17262686789035797,0.1442229449748993
