name,test_incremental_education-department/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/micro/f1/mean,test/macro_example/precision/mean,test_incremental_education-educational_degree/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental_education-educational_degree/macro_types/recall/mean,test/micro/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_education-educational_degree/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_education-department/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_education/macro_types/precision/mean,test/macro_types/recall/mean,test_incremental/micro/precision/mean,epoch/mean,threshold_incremental/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/micro/f1/mean,test_incremental/micro/recall/mean,test_incremental_education-department/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_education/macro_types/recall/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_incremental/macro_example/precision/mean,test_pretraining/micro/precision/mean,test/micro/recall/mean,test/macro_types/precision/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example/recall/mean,test/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_education/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_education-department/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/micro/f1/std,test/macro_example/precision/std,test_incremental_education-educational_degree/macro_types/precision/std,test/macro_example/f1/std,test_incremental_education-educational_degree/macro_types/recall/std,test/micro/f1/std,test_pretraining/macro_types/precision/std,test_incremental_education-educational_degree/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_education-department/macro_types/precision/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_education/macro_types/precision/std,test/macro_types/recall/std,test_incremental/micro/precision/std,epoch/std,threshold_incremental/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_only/micro/precision/std,test_incremental/micro/f1/std,test_incremental/micro/recall/std,test_incremental_education-department/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_education/macro_types/recall/std,threshold_pretraining/std,test/macro_example/recall/std,test_incremental/macro_example/precision/std,test_pretraining/micro/precision/std,test/micro/recall/std,test/macro_types/precision/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_example/f1/std,test_incremental/macro_example/recall/std,test/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_education/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/micro/f1/std,test/micro/precision/std,test_pretraining/macro_types/recall/std
box_adapter_bert_ms,0.015275450423359871,0.9000000357627869,0.6694444815317789,0.6896963516871134,0.5632104078928629,0.8434874018033346,0.694786528746287,0.8547008633613586,0.6896963516871134,0.872011661529541,0.8391317129135132,0.694786528746287,0.5441356499989828,0.6170702775319418,0.8608668247858683,0.007723355355362098,0.692307730515798,0.8422606786092123,0.017223382368683815,1.0,0.8144763509432474,0.03128410317003727,34.0,0.9899999999999999,0.5632104078928629,0.8250000675519308,0.4256053666273753,0.01987486146390438,0.059763725847005844,0.6666666666666666,0.6888888875643412,0.7687685290972391,0.5333333611488342,0.25,0.9065800905227661,0.018847135826945305,0.5674386024475098,0.8791041374206543,0.872011661529541,0.782608687877655,0.77179487546285,0.016049445296327274,0.013975875452160835,0.8422606786092123,0.8791041374206543,0.6515439947446188,0.9065800905227661,0.6956522464752197,0.9027778108914694,0.01797216696043809,0.018789144232869148,0.03876525287826856,0.5674386024475098,0.8144763509432474,0.001066485629851074,0.044095813131325295,0.022047974150980955,0.0004513009373154495,0.0004602897841369561,0.22210114533485223,0.00044362489152392163,0.03916731129754738,0.0004513009373154495,0.004365215075036044,0.12975259007243117,0.00044362489152392163,0.10491639496257425,0.07420889743366854,0.044177354833331225,0.000538867524612877,0.026078922036506955,0.0027368494465490572,0.0009205813282164272,0.0,0.0015340684287843541,0.0009624423343632023,19.697715603592208,0.0,0.0004602897841369561,0.04409584692398299,0.11131332513447142,0.0009737769548081424,0.0018386035666611861,0.020509676072902945,0.050917517693612684,0.029997762429366102,0.0,0.0,0.00031939888460211647,0.0008927625278659492,0.0003713249823435432,0.0005752861966349856,0.004365215075036044,0.03834421275751192,0.03911832982287351,0.0006262583915744006,0.00046029084011193957,0.0027368494465490572,0.0005752861966349856,0.05211574289439308,0.00031939888460211647,0.0,0.0427633045464199,0.0009222825777176619,0.0009205813282164273,0.0018993198195204166,0.0003713249823435432,0.0015340684287843541
classifier_adapter_bert_ms,0.36048412322998047,0.7166667183240255,0.7203704317410787,0.8865846792856852,0.9083990653355917,0.31947942823171616,0.9112628102302551,0.8205128312110901,0.8865846792856852,0.8800381620724996,0.4160284797350566,0.9112628102302551,0.39202943940957385,0.5239210824171702,0.7478998700777689,0.2522837519645691,0.7179487347602844,0.8683181206385294,0.016585479800899822,1.0,0.8569149176279703,0.38431666791439056,15.666666666666666,0.6033333333333334,0.9083990653355917,0.7944445013999939,0.2858815938234329,0.27967090904712677,0.4787382284800212,0.713178296883901,0.6666666666666666,0.757878323396047,0.6666666865348816,0.375,0.91420978307724,0.016875435287753742,0.8768814206123352,0.8967166543006897,0.8800381620724996,0.7536231875419617,0.7435897588729858,0.015822093933820724,0.015039047536750635,0.8683181206385294,0.8967166543006897,0.6023054718971252,0.91420978307724,0.800000011920929,0.8083333770434061,0.015613775389889875,0.014961726032197475,0.38650478422641754,0.8768814206123352,0.8569149176279703,0.1689597554184594,0.11023965673472326,0.030973579813042086,0.013126877252483009,0.013951521251955147,0.3015122949074802,0.007334848331739362,0.06783977316321856,0.013126877252483009,0.008700114110394426,0.2960661788645631,0.007334848331739362,0.23475367898126787,0.14790198615964179,0.04593061740996404,0.1423731358382735,0.0629178489900078,0.006129804337394422,0.0009581718480921117,0.0,0.0037010399147109955,0.23597785561036996,5.8594652770823155,0.3674688195389282,0.013951521251955147,0.04589640631664755,0.22185297841894358,0.2186898840234448,0.19926822916045342,0.047153200795807426,0.15275250105363536,0.03534158326912159,0.0,0.0,0.0006869919215802401,0.00224673748283378,0.024556059521901867,0.001322622162731165,0.008700114110394426,0.08815595768195102,0.09437672186706593,0.0007378197873878355,0.0006466293368081555,0.006129804337394422,0.001322622162731165,0.11889449780336768,0.0006869919215802401,0.0,0.10761873179557409,0.0009588857898235818,0.0023014536725474294,0.23401894083698901,0.024556059521901867,0.0037010399147109955
kenn_bottom_up_adapter_bert_ms,0.4543777306874593,0.9333333373069764,0.784259299437205,0.8981929818789164,0.9193883935610453,0.6183574795722961,0.9174027641614279,0.8547008633613586,0.8981929818789164,0.8868456482887268,0.7126436829566956,0.9174027641614279,0.6055355072021484,0.6396483381589254,0.9203906655311584,0.3005874653657277,0.8182336688041687,0.8746628562609354,0.0189631183942159,1.0,0.8628140091896057,0.5376882354418436,34.333333333333336,0.24000000000000002,0.9193883935610453,0.9083333412806193,0.4594724675019582,0.4128471612930298,0.6379034916559855,0.7855297128359476,0.9333333174387614,0.8529657324155172,0.6666666865348816,0.375,0.9154276053110758,0.019523698836565018,0.897642989953359,0.898746112982432,0.8868456482887268,0.8888888955116272,0.8940171003341675,0.017807217314839363,0.01637284519771735,0.8746628562609354,0.898746112982432,0.7173709869384766,0.9154276053110758,0.800000011920929,0.9351851940155029,0.019214835638801258,0.01948503777384758,0.563193142414093,0.897642989953359,0.8628140091896057,0.03925262606347314,0.0,0.025809898210159464,0.0003532326409833525,0.001842655547510626,0.11809223468896744,0.0007229040070490328,0.11843081739012679,0.0003532326409833525,0.00175825660630792,0.10020458842496704,0.0007229040070490328,0.04019981668165563,0.029890507489716438,0.01975227713083367,0.031250230955667424,0.041010780777416045,0.0014040083992601482,0.0007972469181004954,0.0,0.002412416406386277,0.013639088565433397,10.692676621563626,0.17349351572897473,0.001842655547510626,0.03818812688926033,0.04483573845550518,0.008313163827806239,0.007218789116998955,0.03663422400641259,0.03333333134651634,0.016339721065728494,0.0,0.0,0.0005388346140112717,6.696292490120906e-05,0.0015594157094535916,0.0010276043225225953,0.00175825660630792,0.0684900988440852,0.06151619197318989,0.0003411216567616589,0.0005388303039113026,0.0014040083992601482,0.0010276043225225953,0.023006784495280194,0.0005388346140112717,0.0,0.00320750990750528,0.0004123652717882472,0.0,0.013277685152353402,0.0015594157094535916,0.002412416406386277
kenn_horizontal_adapter_bert_ms,0.46588896711667377,0.925000011920929,0.7703704237937927,0.8989637096722921,0.9197750091552734,0.6525247593720754,0.9174830714861552,0.8461538553237915,0.8989637096722921,0.887840747833252,0.7238550980885824,0.9174830714861552,0.6171072721481323,0.656564990679423,0.9035078287124634,0.31717008352279663,0.7968661387761434,0.8744973142941793,0.018441197151939075,1.0,0.8615571061770121,0.5653555790583292,33.333333333333336,0.12333333333333334,0.9197750091552734,0.8833333651224772,0.48484741648038227,0.43719760576883954,0.6509551405906677,0.7700258493423462,0.8777777751286825,0.8453431725502014,0.6666666865348816,0.375,0.9152052998542786,0.019562359899282455,0.8996215065320333,0.8983112176259359,0.887840747833252,0.8599033753077189,0.8619658152262369,0.0176480816056331,0.016082889400422573,0.8744973142941793,0.8983112176259359,0.718501091003418,0.9152052998542786,0.800000011920929,0.9370370507240295,0.01886237474779288,0.01931106485426426,0.5782357056935629,0.8996215065320333,0.8615571061770121,0.06302331202674277,0.014433742964637626,0.026401063297901237,0.0007333079831312638,0.002259685966201514,0.13804431655888624,0.0008526950035296442,0.13323466956389263,0.0007333079831312638,0.002332005634710333,0.08841904442391876,0.0008526950035296442,0.0352237623584281,0.039644237029761074,0.0279395729174256,0.045776655449856415,0.03970760446265562,7.978426995936211e-05,0.0008698673918844931,0.0,0.002335710873812226,0.030800363004774622,8.504900548115383,0.07023769168568492,0.002259685966201514,0.04166665673256277,0.0594663719408199,0.02348273946304726,0.008028219081368236,0.034955441108532805,0.09622505633585697,0.013754123280162475,0.0,0.0,0.0005416731302435994,0.00013392584980241812,0.0024482588580320088,0.0009805119368541501,0.002332005634710333,0.06535146095480329,0.059561357512985386,0.00028714362812368074,0.0005511712005061728,7.978426995936211e-05,0.0009805119368541501,0.008432198576626575,0.0005416731302435994,0.0,0.006415019815010656,0.0005832899902777014,0.00030132993585940806,0.006004967309405393,0.0024482588580320088,0.002335710873812226
kenn_hybrid_adapter_bert_ms,0.4310413698355357,0.9333333373069763,0.7842593193054199,0.8964798251787821,0.9172427455584208,0.5493086775143942,0.9163326025009155,0.8632478713989258,0.8964798251787821,0.8851199944814047,0.6605664392312368,0.9163326025009155,0.5617380638917288,0.6103120843569437,0.9203833142916361,0.28162749608357746,0.8173789779345194,0.8737969199816386,0.0189631183942159,1.0,0.8627637426058451,0.4992725153764089,36.666666666666664,0.26333333333333336,0.9172427455584208,0.9083333412806193,0.41546807686487836,0.3789384067058563,0.6088190078735352,0.7855297128359476,0.9222221970558167,0.8530049721399943,0.6666666865348816,0.375,0.9154276053110758,0.019523699457446735,0.8942360877990723,0.898746112982432,0.8851199944814047,0.8888888955116272,0.8927350441614786,0.017808035636941593,0.01637284519771735,0.8737969199816386,0.898746112982432,0.6976804733276367,0.9154276053110758,0.800000011920929,0.9351851940155029,0.019214683522780735,0.019485038394729298,0.5294250150521597,0.8942360877990723,0.8627637426058451,0.04485545466157281,0.016666650772094727,0.03219505058571178,0.0038644503503010323,0.003575288860279589,0.2424329311972089,0.0020701935823434756,0.12648416841778248,0.0038644503503010323,0.005111465253714966,0.21313732046555847,0.0020701935823434756,0.13350277852459044,0.08689481682672767,0.033239179520077884,0.034953083850273785,0.048840262293348494,0.003772917863244444,0.0010582387124810307,0.0,0.002872955848748392,0.08914758921180446,5.773502691896258,0.3028751117760146,0.003575288860279589,0.05068967370733325,0.1303422399662052,0.08995549418830252,0.07958033444621525,0.04269434584515416,0.03849001565179121,0.025720898146157866,0.0,0.0,0.0006721445604700828,0.000354331647462724,0.006568976714378964,0.0011975879861548101,0.005111465253714966,0.0798198782442616,0.07326035710616048,0.0005369723582138856,0.0006721313823853341,0.003772917863244444,0.0011975879861548101,0.07167674607236427,0.0006721445604700828,0.0,0.016972488555474438,0.000693927587044886,0.0003479467704896313,0.1027805403062351,0.006568976714378964,0.002872955848748392
kenn_top_down_adapter_bert_ms,0.2767200792829196,0.9472222129503886,0.793518582979838,0.8536933660507202,0.8588547110557556,0.2944304247697194,0.8843542734781901,0.8803418874740601,0.8536933660507202,0.8779650529225668,0.3988262588779132,0.8843542734781901,0.3441651289661725,0.4886781970659892,0.9369379679361979,0.17160413538416228,0.8267806768417358,0.8705630699793497,0.019369056448340416,1.0,0.8633167743682861,0.3077488640944163,39.666666666666664,0.2466666666666667,0.8588547110557556,0.9277777870496114,0.23301728069782257,0.22096682836612067,0.4075273474057515,0.7932816545168558,0.9333333373069763,0.864610473314921,0.6666666865348816,0.375,0.9155532519022623,0.01983298547565937,0.8188157677650452,0.8989635507265726,0.8779650529225668,0.9033816456794739,0.9068376223246256,0.018050322930018108,0.01656614864865939,0.8705630699793497,0.8989635507265726,0.6064231793085734,0.9155532519022623,0.800000011920929,0.9500000278155009,0.01956029174228509,0.019774993881583214,0.3309953932960828,0.8188157677650452,0.8633167743682861,0.16784570849294966,0.012729364790753005,0.037508566310321546,0.06911247411142288,0.09641071441141444,0.23173971584899944,0.05286647468676631,0.1412197492053671,0.06911247411142288,0.006643947102050719,0.29284799170018494,0.05286647468676631,0.23289943932149418,0.11294725610847449,0.037976318495482886,0.11113375231439145,0.05384838205904742,0.0023570342068233723,0.0013057677292389097,0.0,0.0031675832729967783,0.21259753329401873,0.5773502691896263,0.28746014216467186,0.09641071441141444,0.06254627907397164,0.16942088724722765,0.15803151778490784,0.25137888119247553,0.04672645762292904,0.06666666269302372,0.029190543486295583,0.0,0.0,0.0006855515335526509,0.00034794770181179047,0.12136863122641445,0.0013106837986502041,0.006643947102050719,0.08735818111370258,0.08077263237535404,0.000609406901554821,0.0007830608189303091,0.0023570342068233723,0.0013106837986502041,0.08555793873633406,0.0006855515335526509,0.0,0.016666710376774932,0.000792826154450005,0.00026574904044414724,0.22106723586320742,0.12136863122641445,0.0031675832729967783
