name,instance,run_id,test_pretraining/macro_types/recall,test_incremental/micro/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_education-educational_degree/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_education-educational_degree/macro_types/precision,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_education-department/macro_types/precision,test_incremental_education-educational_degree/macro_types/recall,test/micro/precision,test_incremental_education-department/macro_types/recall,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_education/macro_types/precision,test_incremental_education-department/macro_types/f1,test/macro_types/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_incremental_only/macro_example/f1,test/macro_example/f1,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test_incremental/macro_example/recall,epoch,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_education/macro_types/recall,test/micro/recall,test/macro_example/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,threshold_pretraining,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/precision,test_pretraining/micro/recall,test_pretraining/micro/precision,test_incremental_education/macro_types/f1,test/macro_example/precision,test_pretraining/macro_example/f1,test_pretraining/macro_example/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/f1,threshold_incremental,test_incremental/macro_types/precision
kenn_horizontal_adapter_bert_ms,2,dyr6fnx3,0.8576188087463379,0.4331797659397125,0.2037735879421234,0.9146137833595276,0.7615385055541992,0.8768942356109619,0.01913709193468094,0.20571136474609375,0.4285714030265808,0.8608695864677429,0.27906978130340576,0.3081967234611511,0.017046485096216202,0.13235294818878174,0.9230769276618958,0.8739674091339111,0.6000000238418579,0.3239227831363678,0.8768942356109619,1,0.21686749160289764,0.8576188087463379,0.3233533203601837,0.9000000357627869,0.8671494126319885,0.017972225323319435,0.9076133370399476,0.7286821603775024,0.8671494126319885,0.7299145460128784,0.015367664396762848,18,0.8165265917778015,0.7361111640930176,0.6666666865348816,0.897151529788971,0.9146137833595276,0.782608687877655,0.017223382368683815,0.018789144232869148,0.375,0.8854078054428101,0.9166666865348816,0.897151529788971,0.8739674091339111,0.800000011920929,0.900719165802002,0.9076133370399476,0.900719165802002,0.5721579790115356,0.8250000476837158,0.8854078054428101,0.15000000000000002,0.4704742729663849
kenn_horizontal_adapter_bert_ms,1,3u0hb218,0.8573170900344849,0.6550522446632385,0.4576271176338196,0.9145674109458924,0.7538461685180664,0.8870420455932617,0.018789144232869148,0.4644808769226074,0.7916666865348816,0.8608695864677429,0.6666666865348816,0.594936728477478,0.016907041892409325,0.26229506731033325,0.9743589758872986,0.9020550847053528,0.5333333611488342,0.5747998952865601,0.8870420455932617,1,0.35164836049079895,0.8573170900344849,0.5775400996208191,0.9000000357627869,0.8719263076782227,0.017972225323319435,0.917996346950531,0.7286821603775024,0.8719263076782227,0.7247864007949829,0.015367664396762848,53,0.8098472356796265,0.7361111640930176,0.6666666865348816,0.897151529788971,0.9145674109458924,0.782608687877655,0.017223380506038666,0.018789144232869148,0.375,0.899596631526947,0.9000000357627869,0.897151529788971,0.9020550847053528,0.800000011920929,0.921450972557068,0.917996346950531,0.921450972557068,0.6814408302307129,0.8250000476837158,0.899596631526947,0.11,0.6429872512817383
kenn_horizontal_adapter_bert_ms,0,31j344k2,0.8609873056411743,0.55524080991745,0.31521740555763245,0.9150893092155457,0.8474358916282654,0.88129723072052,0.018789144232869148,0.3179876506328583,0.4960000216960907,0.8789889216423035,0.3604651093482971,0.4375,0.017218146473169327,0.27551019191741943,0.7948718070983887,0.8900862336158752,0.8999999761581421,0.46244844794273376,0.88129723072052,1,0.4218749701976776,0.8609873056411743,0.4584980309009552,0.8916667103767395,0.8710238933563232,0.018350500613451004,0.9133521318435668,0.7596899271011353,0.8710238933563232,0.7871795892715454,0.01588958501815796,37,0.824749231338501,0.7611111998558044,0.6666666865348816,0.8980212807655334,0.9150893092155457,0.8405796885490417,0.018093250691890717,0.018615171313285828,0.375,0.8940361738204956,0.9000000953674316,0.8980212807655334,0.8900862336158752,0.800000011920929,0.9116214513778688,0.9133521318435668,0.9116214513778688,0.644303560256958,0.8666666746139526,0.8940361738204956,0.04,0.5453251004219055
kenn_hybrid_adapter_bert_ms,2,2py2ejkj,0.8556579947471619,0.2804314196109772,0.10625000298023224,0.9141788482666016,0.7115384340286255,0.8728362917900085,0.018093250691890717,0.10223416984081268,0.2315112501382828,0.8107693195343018,0.13235294818878174,0.17499999701976776,0.016309408470988274,0.07211538404226303,0.9230769276618958,0.8352917432785034,0.5,0.17878100275993347,0.8728362917900085,1,0.1260504275560379,0.8556579947471619,0.18579235672950745,0.8500000238418579,0.8641617894172668,0.016926288604736328,0.8974403142929077,0.7054263353347778,0.8641617894172668,0.696581244468689,0.014845743775367737,48,0.7812206745147705,0.7111111879348755,0.6666666865348816,0.8964992165565491,0.9141788482666016,0.739130437374115,0.016179541125893593,0.017745302990078926,0.375,0.8648138046264648,0.8666666746139526,0.8964992165565491,0.8352917432785034,0.800000011920929,0.8813036680221558,0.8974403142929077,0.8813036680221558,0.5093843340873718,0.7750000357627869,0.8648138046264648,0.91,0.4014894664287567
kenn_top_down_adapter_bert_ms,2,1dscw3f5,0.8556579947471619,0.3221239149570465,0.12878787517547607,0.9141788482666016,0.7115384340286255,0.8737416863441467,0.018093250691890717,0.1253209412097931,0.28458499908447266,0.8107693195343018,0.1682243049144745,0.20871560275554657,0.016309408470988274,0.08241758495569229,0.9230769276618958,0.84975266456604,0.5,0.2131078839302063,0.8737416863441467,1,0.14150942862033844,0.8556579947471619,0.21935483813285828,0.8500000238418579,0.8646052479743958,0.016926288604736328,0.9026843309402466,0.7054263353347778,0.8646052479743958,0.696581244468689,0.014845743775367737,48,0.7812206745147705,0.7111111879348755,0.6666666865348816,0.8964992165565491,0.9141788482666016,0.739130437374115,0.016179541125893593,0.017745302990078926,0.375,0.8725003004074097,0.8666666746139526,0.8964992165565491,0.84975266456604,0.800000011920929,0.8914753198623657,0.9026843309402466,0.8914753198623657,0.5216006636619568,0.7750000357627869,0.8725003004074097,0.87,0.41688063740730286
kenn_bottom_up_adapter_bert_ms,2,289817e3,0.8582723736763,0.59375,0.3642384111881256,0.9145963788032532,0.778205156326294,0.8834259510040283,0.01913709193468094,0.3722711205482483,0.6545454263687134,0.8775671124458313,0.5070422291755676,0.4973821938037872,0.017152978107333183,0.23749999701976776,0.9230769276618958,0.8958107233047485,0.6333333253860474,0.5036233067512512,0.8834259510040283,1,0.34545451402664185,0.8582723736763,0.5,0.9166666865348816,0.8706675171852112,0.01832081936299801,0.9162172675132751,0.7364341020584106,0.8706675171852112,0.7410256862640381,0.015541638247668743,48,0.821627676486969,0.7444444894790649,0.6666666865348816,0.8973689675331116,0.9145963788032532,0.7971014380455017,0.017571330070495605,0.01913709193468094,0.375,0.8965891599655151,0.9166666865348816,0.8973689675331116,0.8958107233047485,0.800000011920929,0.9178438782691956,0.9162172675132751,0.9178438782691956,0.6516505479812622,0.8416666984558105,0.8965891599655151,0.060000000000000005,0.5815141201019287
kenn_hybrid_adapter_bert_ms,1,1q9ya0i3,0.854200005531311,0.654411792755127,0.4757281541824341,0.9140164852142334,0.6743589639663696,0.8870640397071838,0.017049409449100494,0.4650415778160095,0.7956989407539368,0.7773619294166565,0.6851851940155029,0.6223776340484619,0.0156704131513834,0.2448979616165161,0.9487179517745972,0.9039263129234314,0.4000000059604645,0.5504736304283142,0.8870640397071838,1,0.30379748344421387,0.854200005531311,0.5697674751281738,0.8166667222976685,0.8703218698501587,0.016228849068284035,0.9187959432601928,0.6899224519729614,0.8703218698501587,0.6717948913574219,0.014497796073555946,62,0.750612735748291,0.694444477558136,0.6666666865348816,0.8960643410682678,0.9140164852142334,0.7101449370384216,0.01548364758491516,0.017049409449100494,0.375,0.8999781608581543,0.8166667222976685,0.8960643410682678,0.9039263129234314,0.800000011920929,0.923625648021698,0.9187959432601928,0.923625648021698,0.657270610332489,0.7416667342185974,0.8999781608581543,0.35000000000000003,0.6433610916137695
kenn_top_down_adapter_bert_ms,1,10xhjczi,0.8586243391036987,0.6530611515045166,0.4480000138282776,0.9147703647613524,0.7871794700622559,0.8894925117492676,0.01983298547565937,0.5269675254821777,0.8941176533699036,0.8942635655403137,0.8260869383811951,0.581818163394928,0.017535854130983353,0.2278480976819992,0.9743589758872986,0.9011132717132568,0.6000000238418579,0.6313114166259766,0.8894925117492676,1,0.3302752375602722,0.8586243391036987,0.5773195624351501,0.9333333969116212,0.8737859129905701,0.018669385462999344,0.9183316230773926,0.7441860437393188,0.8737859129905701,0.7470085620880127,0.01571561209857464,93,0.8399674296379089,0.7527778148651123,0.6666666865348816,0.8975864052772522,0.9147703647613524,0.8115941882133484,0.017919275909662247,0.01948503777384758,0.375,0.8993464112281799,0.9500000476837158,0.8975864052772522,0.9011132717132568,0.800000011920929,0.921920657157898,0.9183316230773926,0.921920657157898,0.7144685387611389,0.8583333492279053,0.8993464112281799,0.2,0.6846449971199036
kenn_bottom_up_adapter_bert_ms,1,uvbf3ewj,0.8576188087463379,0.6619718074798584,0.469565212726593,0.9145383834838868,0.7615385055541992,0.8911800384521484,0.01913709193468094,0.5699999928474426,0.9113923907279968,0.8608695864677429,0.8999999761581421,0.6064516305923462,0.017046485096216202,0.23999999463558197,0.9230769276618958,0.9026471376419068,0.6000000238418579,0.6519930958747864,0.8911800384521484,1,0.34285715222358704,0.8576188087463379,0.5869565010070801,0.9000000357627869,0.8740773797035217,0.017972225323319435,0.918456256389618,0.7286821603775024,0.8740773797035217,0.7299145460128784,0.015367664396762848,62,0.8165265917778015,0.7361111640930176,0.6666666865348816,0.897151529788971,0.9145383834838868,0.782608687877655,0.017223382368683815,0.018789144232869148,0.375,0.8998908996582031,0.9166666865348816,0.897151529788971,0.9026471376419068,0.800000011920929,0.922407865524292,0.918456256389618,0.922407865524292,0.7215287685394287,0.8250000476837158,0.8998908996582031,0.13,0.7133333086967468
kenn_hybrid_adapter_bert_ms,0,djbxxroq,0.8654619455337524,0.2807947099208832,0.11262798309326172,0.9159591794013976,0.9615384340286256,0.8733724355697632,0.019717004150152206,0.11590546369552612,0.2448979616165161,0.9453744888305664,0.1411764770746231,0.16932907700538635,0.018286433070898056,0.09063444286584854,0.9230769276618958,0.8207060694694519,1.0,0.20687399804592133,0.8733724355697632,1,0.16620498895645142,0.8654619455337524,0.2015267163515091,0.925000011920929,0.8693991899490356,0.01973642036318779,0.8912692070007324,0.8217054009437561,0.8693991899490356,0.8632478713989258,0.017049409449100494,61,0.8759201169013977,0.8166667222976685,0.6666666865348816,0.8997608423233032,0.9159591794013976,0.95652174949646,0.02018093317747116,0.01931106485426426,0.375,0.8584172129631042,0.944444477558136,0.8997608423233032,0.8207060694694519,0.800000011920929,0.867875337600708,0.8912692070007324,0.867875337600708,0.556505560874939,0.9666666984558104,0.8584172129631042,0.01,0.4106036424636841
