name,instance,run_id,test_incremental_only/micro/precision,test/macro_types/f1,test_pretraining/micro/recall,test_incremental/macro_example_exclusive/precision,test/macro_example/f1,test_incremental/micro/f1,test_incremental_rail/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_types/precision,test_incremental_only/macro_example/precision,epoch,test_incremental/macro_types/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental_rail-railway/macro_types/recall,test_incremental_rail-railway/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test/micro/f1,test/micro/precision,test/macro_example/precision,test_pretraining/macro_types/precision,test/micro/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/micro/precision,threshold_incremental,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_rail/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_rail-railway/macro_types/f1,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental_rail/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test/macro_example/recall,test_incremental_only/micro/f1,threshold_pretraining,test_incremental_only/micro/recall
kenn_horizontal_adapter_bert_ms,2,3tqg7cae,0.028272250667214394,0.8743683099746704,0.898903489112854,0.9000000953674316,0.8611135482788086,0.07782100886106491,0.604651153087616,0.9000000953674316,0.8867690563201904,0.009394572116434574,42,0.6666666269302368,0.8611135482788086,0.05482233315706253,0.009394572116434574,0.8999999761581421,0.028272250667214394,0.9000000953674316,0.009394572116434574,0.6666667461395264,0.8221843242645264,0.757530927658081,0.8129262328147888,0.8867690563201904,0.898903489112854,0.8129262328147888,0.7659575343132019,0.8623095154762268,0.5141361355781555,0.757530927658081,0.98,0.8623095154762268,0.006958942860364914,0.8999999761581421,0.4333333373069763,0.91537344455719,0.009394572116434574,0.05482233315706253,0.5805497765541077,0.041322313249111176,1.0,0.9000000953674316,0.6666666865348816,0.8743683099746704,0.8221843242645264,0.007995381020009518,0.028272250667214394,0.91537344455719,0.05482233315706253,0.375,0.8999999761581421
kenn_horizontal_adapter_bert_ms,1,fn8qs0qg,0.03430749848484993,0.8744269609451294,0.898903489112854,0.9000000953674316,0.8739963173866272,0.09302325546741486,0.604651153087616,0.9000000953674316,0.8868898153305054,0.009394572116434574,20,0.6666666269302368,0.8739963173866272,0.06609547883272171,0.009394572116434574,0.8999999761581421,0.03430749848484993,0.9000000953674316,0.009394572116434574,0.6666667461395264,0.8362746238708496,0.7818043231964111,0.836198091506958,0.8868898153305054,0.898903489112854,0.836198091506958,0.7659575343132019,0.8623095154762268,0.5171537399291992,0.7818043231964111,0.97,0.8623095154762268,0.006958942860364914,0.8999999761581421,0.4333333373069763,0.91537344455719,0.009394572116434574,0.06609547883272171,0.5824686884880066,0.05000000074505806,1.0,0.9000000953674316,0.6666666865348816,0.8744269609451294,0.8362746238708496,0.007995381020009518,0.03430749848484993,0.91537344455719,0.06609547883272171,0.375,0.8999999761581421
kenn_horizontal_adapter_bert_ms,0,frv61yi9,0.06459330022335052,0.8747212290763855,0.898903489112854,0.9000000953674316,0.9002799987792969,0.16293279826641083,0.604651153087616,0.9000000953674316,0.8874955177307129,0.009394572116434574,26,0.6666666269302368,0.9002799987792969,0.120535708963871,0.009394572116434574,0.8999999761581421,0.06459330022335052,0.9000000953674316,0.009394572116434574,0.6666667461395264,0.868984580039978,0.8409930467605591,0.8856761455535889,0.8874955177307129,0.898903489112854,0.8856761455535889,0.7659575343132019,0.8623095154762268,0.5322966575622559,0.8409930467605591,0.9,0.8623095154762268,0.006958942394703627,0.8999999761581421,0.4333333373069763,0.9153735041618348,0.009394572116434574,0.120535708963871,0.5919520854949951,0.09280742704868317,1.0,0.9000000953674316,0.6666666865348816,0.8747212290763855,0.868984580039978,0.007995380088686943,0.06459330022335052,0.9153735041618348,0.120535708963871,0.375,0.8999999761581421
kenn_hybrid_adapter_bert_ms,2,2ilq65qj,0.022382093593478203,0.8746535778045654,0.8991228342056274,0.9333333969116212,0.8362882137298584,0.06193353608250618,0.604651153087616,0.9333333969116212,0.8866512775421143,0.00974251888692379,38,0.6833333373069763,0.8362882137298584,0.04371584579348564,0.00974251888692379,0.9333333373069764,0.022382093593478203,0.9333333969116212,0.00974251888692379,0.6833333969116211,0.7986754179000854,0.7184159755706787,0.7696995735168457,0.8866512775421143,0.8991228342056274,0.7696995735168457,0.7890034914016724,0.8629761934280396,0.5111910700798035,0.7184159755706787,0.99,0.8629761934280396,0.0071329157799482346,0.9333333373069764,0.4333333373069763,0.9154894351959229,0.00974251888692379,0.04371584579348564,0.5848585367202759,0.032436709851026535,1.0,0.9333333969116212,0.6833333373069763,0.8746535778045654,0.7986754179000854,0.00823594443500042,0.022382093593478203,0.9154894351959229,0.04371584579348564,0.375,0.9333333373069764
kenn_top_down_adapter_bert_ms,2,39h69a75,0.022382093593478203,0.8746535778045654,0.8991228342056274,0.9333333969116212,0.8362882137298584,0.06193353608250618,0.604651153087616,0.9333333969116212,0.8866512775421143,0.00974251888692379,42,0.6833333373069763,0.8362882137298584,0.04371584579348564,0.00974251888692379,0.9333333373069764,0.022382093593478203,0.9333333969116212,0.00974251888692379,0.6833333969116211,0.7986754179000854,0.7184159755706787,0.7696995735168457,0.8866512775421143,0.8991228342056274,0.7696995735168457,0.7890034914016724,0.8629761934280396,0.5111910700798035,0.7184159755706787,0.99,0.8629761934280396,0.0071329157799482346,0.9333333373069764,0.4333333373069763,0.9154894351959229,0.00974251888692379,0.04371584579348564,0.5848585367202759,0.032436709851026535,1.0,0.9333333969116212,0.6833333373069763,0.8746535778045654,0.7986754179000854,0.00823594443500042,0.022382093593478203,0.9154894351959229,0.04371584579348564,0.375,0.9333333373069764
kenn_bottom_up_adapter_bert_ms,2,29foshby,0.028272250667214394,0.8743683099746704,0.898903489112854,0.9000000953674316,0.8611135482788086,0.07782100886106491,0.604651153087616,0.9000000953674316,0.8867690563201904,0.009394572116434574,42,0.6666666269302368,0.8611135482788086,0.05482233315706253,0.009394572116434574,0.8999999761581421,0.028272250667214394,0.9000000953674316,0.009394572116434574,0.6666667461395264,0.8221843242645264,0.757530927658081,0.8129262328147888,0.8867690563201904,0.898903489112854,0.8129262328147888,0.7659575343132019,0.8623095154762268,0.5141361355781555,0.757530927658081,0.98,0.8623095154762268,0.006958942860364914,0.8999999761581421,0.4333333373069763,0.91537344455719,0.009394572116434574,0.05482233315706253,0.5805497765541077,0.041322313249111176,1.0,0.9000000953674316,0.6666666865348816,0.8743683099746704,0.8221843242645264,0.007995381020009518,0.028272250667214394,0.91537344455719,0.05482233315706253,0.375,0.8999999761581421
kenn_hybrid_adapter_bert_ms,1,3h3g6qgj,0.02316293865442276,0.875003457069397,0.8993421196937561,0.9666666984558104,0.836336612701416,0.06339623034000397,0.604651153087616,0.9666666984558104,0.8866668939590454,0.01009046658873558,19,0.699999988079071,0.836336612701416,0.04524180665612221,0.01009046658873558,0.9666666388511658,0.02316293865442276,0.9666666984558104,0.01009046658873558,0.7000000476837158,0.7987924218177795,0.7184653282165527,0.7696995735168457,0.8866668939590454,0.8993421196937561,0.7696995735168457,0.812000036239624,0.8636428713798523,0.5115814805030823,0.7184653282165527,0.99,0.8636428713798523,0.00730688963085413,0.9666666388511658,0.4333333373069763,0.9156054258346558,0.01009046658873558,0.04524180665612221,0.5911398530006409,0.03320158272981644,1.0,0.9666666984558104,0.699999988079071,0.875003457069397,0.7987924218177795,0.00847599282860756,0.02316293865442276,0.9156054258346558,0.04524180665612221,0.375,0.9666666388511658
kenn_top_down_adapter_bert_ms,1,oxwdtlne,0.02316293865442276,0.875003457069397,0.8993421196937561,0.9666666984558104,0.836336612701416,0.06339623034000397,0.604651153087616,0.9666666984558104,0.8866668939590454,0.01009046658873558,19,0.699999988079071,0.836336612701416,0.04524180665612221,0.01009046658873558,0.9666666388511658,0.02316293865442276,0.9666666984558104,0.01009046658873558,0.7000000476837158,0.7987924218177795,0.7184653282165527,0.7696995735168457,0.8866668939590454,0.8993421196937561,0.7696995735168457,0.812000036239624,0.8636428713798523,0.5115814805030823,0.7184653282165527,0.99,0.8636428713798523,0.00730688963085413,0.9666666388511658,0.4333333373069763,0.9156054258346558,0.01009046658873558,0.04524180665612221,0.5911398530006409,0.03320158272981644,1.0,0.9666666984558104,0.699999988079071,0.875003457069397,0.7987924218177795,0.00847599282860756,0.02316293865442276,0.9156054258346558,0.04524180665612221,0.375,0.9666666388511658
kenn_bottom_up_adapter_bert_ms,1,16euq0zs,0.029288703575730324,0.8747207522392273,0.8991228342056274,0.9333333969116212,0.8611648082733154,0.07968901842832565,0.604651153087616,0.9333333969116212,0.8867894411087036,0.00974251888692379,19,0.6833333373069763,0.8611648082733154,0.056795135140419006,0.00974251888692379,0.9333333373069764,0.029288703575730324,0.9333333969116212,0.00974251888692379,0.6833333969116211,0.8223024606704712,0.7575757503509521,0.8129262328147888,0.8867894411087036,0.8991228342056274,0.8129262328147888,0.7890034914016724,0.8629761934280396,0.5146443247795105,0.7575757503509521,0.98,0.8629761934280396,0.0071329157799482346,0.9333333373069764,0.4333333373069763,0.9154894351959229,0.00974251888692379,0.056795135140419006,0.5871121883392334,0.0423116609454155,1.0,0.9333333969116212,0.6833333373069763,0.8747207522392273,0.8223024606704712,0.00823594443500042,0.029288703575730324,0.9154894351959229,0.056795135140419006,0.375,0.9333333373069764
kenn_hybrid_adapter_bert_ms,0,2v1si225,0.2970297038555145,0.8780063390731812,0.8995614051818848,1.0,0.9187500476837158,0.4942528009414673,0.604651153087616,1.0,0.8921442031860352,0.010438413359224796,26,0.7166666984558105,0.9187500476837158,0.4580152630805969,0.010438413359224796,1.0,0.2970297038555145,1.0,0.010438413359224796,0.7166667580604553,0.8998574018478394,0.900153636932373,0.9217988848686218,0.8921442031860352,0.8995614051818848,0.9217988848686218,0.8349515199661255,0.864309549331665,0.6485148668289185,0.900153636932373,0.47,0.864309549331665,0.007480863481760025,1.0,0.4333333373069763,0.9157214164733888,0.010438413359224796,0.4580152630805969,0.6808896660804749,0.37719297409057617,1.0,1.0,0.7166666388511658,0.8780063390731812,0.8998574018478394,0.008715569041669369,0.2970297038555145,0.9157214164733888,0.4580152630805969,0.375,1.0
