name,instance,run_id,test_incremental/macro_example_exclusive/f1,test/micro/f1,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,test_incremental_other-event-protest/macro_types/recall,threshold_pretraining,test_incremental/micro/f1,test_incremental/macro_example/f1,test_incremental_other-event-holiday/macro_types/recall,test/macro_example/f1,test_pretraining/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_other-event-election/macro_types/precision,test_incremental_other-event-protest/macro_types/f1,test/macro_example/precision,test_incremental_only/micro/precision,test_incremental_other-event/macro_types/recall,test_pretraining/micro/f1,test_pretraining/macro_example/recall,test_incremental_other-event/macro_types/f1,test_incremental_other-event/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_other-event-election/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_other-event-election/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-event-violent_conflict/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_other-event-protest/macro_types/precision,test/macro_example/recall,test_incremental/macro_types/f1,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_other-event-natural_disaster/macro_types/precision,test_incremental_only/micro/f1,test_incremental_other-event-holiday/macro_types/precision,test_pretraining/macro_example/f1,test/macro_types/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example/precision,test_incremental_other-event-natural_disaster/macro_types/recall,test_incremental/macro_types/precision,test_incremental_other-event-holiday/macro_types/f1,test_incremental_other-event-violent_conflict/macro_types/f1,epoch,test/micro/recall,test_incremental/micro/recall,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,threshold_incremental,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test/macro_types/f1,test_incremental/micro/precision,test_incremental_other-event-natural_disaster/macro_types/f1,test/micro/precision,test_incremental_only/macro_types/precision,test_incremental_other-event-violent_conflict/macro_types/recall
kenn_hybrid_adapter_bert_ms,2,39m8clvw,0.7907329201698303,0.8497821092605591,0.7702703475952148,0.8123123645782471,0.7666666507720947,0.33,0.7785388827323914,0.08660221099853516,1.0,0.858224630355835,0.8460958003997803,0.6849710941314697,0.7317073345184326,0.8518518805503845,0.8612653017044067,0.7614213228225708,0.8603603839874268,0.8497821092605591,0.8552052974700928,0.8662131428718567,0.8721461296081543,0.8071547150611877,0.8612653017044067,0.8333333134651184,0.8034682273864746,0.9677419066429138,0.8309168815612793,0.0631149411201477,0.7395027875900269,0.6122449040412903,0.06857424974441528,0.9583333134651184,0.8552052974700928,0.7779379487037659,0.8071547150611877,0.8535007834434509,0.8409090638160706,0.6896551847457886,0.7692307829856873,0.858224630355835,0.8561205863952637,0.7593772411346436,0.0584607794880867,0.08896562457084656,0.6166666746139526,0.7974286079406738,0.8695651888847351,0.44117647409439087,40,0.8460958003997803,0.741304337978363,0.08436112850904465,0.8561205863952637,0.7391805648803711,0.27,0.6302521228790283,0.7602166533470154,0.8309168815612793,0.8197115659713745,0.7115384340286255,0.8535007834434509,0.7824850678443909,0.3448275923728943
kenn_top_down_adapter_bert_ms,2,2rua1j1p,0.7882425785064697,0.8471763730049133,0.7822823524475098,0.7942943572998047,0.8333333134651184,0.33,0.7524324655532837,0.08632947504520416,1.0,0.8569642305374146,0.8474160432815552,0.710982620716095,0.6000000238418579,0.8474575877189636,0.8577790856361389,0.6382113695144653,0.8603603839874268,0.8471763730049133,0.8561508655548096,0.8662131428718567,0.8721461296081543,0.8096414804458618,0.8577790856361389,0.7407407760620117,0.8179190158843994,0.9677419066429138,0.8273575901985168,0.06492502987384796,0.760711133480072,0.45945945382118225,0.06980760395526886,0.8620689511299133,0.8561508655548096,0.7429854273796082,0.8096414804458618,0.8469368815422058,0.7599999904632568,0.6487603783607483,0.6976743936538696,0.8569642305374146,0.845866322517395,0.7809289693832397,0.0606808103621006,0.08699227124452591,0.6333333253860474,0.708558201789856,0.8219177722930908,0.42236021161079407,40,0.8474160432815552,0.7565217614173889,0.08567669987678528,0.845866322517395,0.7650426626205444,0.17,0.6596638560295105,0.7176805138587952,0.8273575901985168,0.7483870983123779,0.6909090876579285,0.8469368815422058,0.6758406162261963,0.39080458879470825
kenn_bottom_up_adapter_bert_ms,2,32e8t0pw,0.7974172234535217,0.8498244881629944,0.7582583427429199,0.8408408761024475,0.8333333134651184,0.33,0.7776484489440918,0.0873342826962471,1.0,0.8584775328636169,0.8447755575180054,0.6589595079421997,0.7894737124443054,0.8928570747375488,0.8627371788024902,0.7944444417953491,0.8603603839874268,0.8498244881629944,0.854259729385376,0.8662131428718567,0.8721461296081543,0.8059500455856323,0.8627371788024902,0.8695652484893799,0.7890173196792603,0.9677419066429138,0.8313860297203064,0.061292313039302826,0.7181475162506104,0.6499999761581421,0.0673408955335617,0.9615384340286256,0.854259729385376,0.7818895578384399,0.8059500455856323,0.8549341559410095,0.8648648858070374,0.6842105388641357,0.7692307829856873,0.8584775328636169,0.858479917049408,0.748936653137207,0.0562407486140728,0.09209011495113371,0.5333333611488342,0.8178756833076477,0.8695651888847351,0.4094488322734833,35,0.8447755575180054,0.7260869741439819,0.08304554224014282,0.858479917049408,0.7266518473625183,0.26,0.6008403301239014,0.7647308707237244,0.8313860297203064,0.8370927572250366,0.6597938537597656,0.8549341559410095,0.8070215582847595,0.29885056614875793
kenn_hybrid_adapter_bert_ms,1,1ef0a59q,0.7878183126449585,0.8496509790420532,0.7965465784072876,0.7792792916297913,0.9333333373069764,0.33,0.780434787273407,0.08628300577402115,1.0,0.8576918244361877,0.849490761756897,0.7341040372848511,0.6086956262588501,0.875,0.8579997420310974,0.6970954537391663,0.8603603839874268,0.8496509790420532,0.857384204864502,0.8662131428718567,0.8721461296081543,0.8128326535224915,0.8579997420310974,0.7272727489471436,0.7861272096633911,0.9032257795333862,0.8303524255752563,0.06479822099208832,0.7592254877090454,0.6507936716079712,0.06709422171115875,0.8235294222831726,0.857384204864502,0.7687382698059082,0.8128326535224915,0.849811315536499,0.7884615659713745,0.7014613747596741,0.6521739363670349,0.8576918244361877,0.8486441969871521,0.8085862398147583,0.06265416741371155,0.08534780144691467,0.6833333373069763,0.7326334118843079,0.7894736528396606,0.54666668176651,18,0.849490761756897,0.780434787273407,0.08723893761634827,0.8486441969871521,0.7982313632965088,0.18000000000000002,0.7058823704719543,0.7485727071762085,0.8303524255752563,0.780434787273407,0.7321428656578064,0.849811315536499,0.7047308683395386,0.4712643623352051
kenn_top_down_adapter_bert_ms,1,3dnjvrwo,0.7874660491943359,0.8466974496841431,0.7800301313400269,0.795045018196106,0.9333333373069764,0.33,0.747583270072937,0.08624441921710968,1.0,0.8554015755653381,0.8474160432815552,0.7023121118545532,0.5,0.8615384697914124,0.8547765612602234,0.6230158805847168,0.8603603839874268,0.8466974496841431,0.8560275435447693,0.8662131428718567,0.8721461296081543,0.8106001019477844,0.8547765612602234,0.6436781287193298,0.8005779981613159,0.9032257795333862,0.8260213732719421,0.06385999917984009,0.7482324838638306,0.5957446694374084,0.06832757592201233,0.800000011920929,0.8560275435447693,0.7278965711593628,0.8106001019477844,0.8459800481796265,0.6323529481887817,0.6408162713050842,0.6521739363670349,0.8554015755653381,0.8420407176017761,0.7892374992370605,0.059940796345472336,0.08707448840141296,0.7166666388511658,0.6754029989242554,0.7894736528396606,0.41791045665740967,24,0.8474160432815552,0.7565217614173889,0.08543002605438232,0.8420407176017761,0.7750129699707031,0.23,0.6596638560295105,0.6986914873123169,0.8260213732719421,0.7388535141944885,0.6718750596046448,0.8459800481796265,0.6360543370246887,0.3218390941619873
kenn_bottom_up_adapter_bert_ms,1,34k2h670,0.7885334491729736,0.8484790921211243,0.7987988591194153,0.7785285711288452,0.9333333373069764,0.33,0.7684098482131958,0.08636132627725601,1.0,0.8565273284912109,0.8496793508529663,0.7398843765258789,0.5957446694374084,0.8484848737716675,0.8555083274841309,0.6550387740135193,0.8603603839874268,0.8484790921211243,0.857548713684082,0.8662131428718567,0.8721461296081543,0.8130537271499634,0.8555083274841309,0.7179486751556396,0.7803468108177185,0.9032257795333862,0.8285220861434937,0.06482823193073273,0.7595770955085754,0.6363636255264282,0.06660088896751404,0.7777777910232544,0.857548713684082,0.7497670650482178,0.8130537271499634,0.8472822904586792,0.6507936716079712,0.6814516186714172,0.6521739363670349,0.8565273284912109,0.8445903658866882,0.8105019330978394,0.06314750760793686,0.08526557683944702,0.6833333373069763,0.6974999904632568,0.7894736528396606,0.5490195751190186,24,0.8496793508529663,0.782608687877655,0.08748561143875122,0.8445903658866882,0.800530195236206,0.11,0.7100840210914612,0.7250461578369141,0.8285220861434937,0.7547169923782349,0.6666666865348816,0.8472822904586792,0.6625707149505615,0.48275861144065857
kenn_hybrid_adapter_bert_ms,0,mc3ty00q,0.7809352278709412,0.8475948572158813,0.7942943572998047,0.7680180072784424,0.9333333373069764,0.33,0.7587672472000122,0.0855291560292244,1.0,0.8562561869621277,0.8491135239601135,0.7312138676643372,0.6222222447395325,0.736842155456543,0.8553357124328613,0.6335877776145935,0.8603603839874268,0.8475948572158813,0.8571786880493164,0.8662131428718567,0.8721461296081543,0.8121916055679321,0.8553357124328613,0.7368420958518982,0.7909440994262695,0.9032257795333862,0.8269952535629272,0.0648564025759697,0.759907066822052,0.5694444179534912,0.06750534474849701,0.6086956262588501,0.8571786880493164,0.7352794408798218,0.8121916055679321,0.846081554889679,0.795918345451355,0.6639999747276306,0.6000000238418579,0.8562561869621277,0.842348575592041,0.8030306100845337,0.062407493591308594,0.0841144546866417,0.6499999761581421,0.678071141242981,0.75,0.5157232284545898,40,0.8491135239601135,0.7760869860649109,0.08699226379394531,0.842348575592041,0.7915647029876709,0.06999999999999999,0.6974790096282959,0.7073038816452026,0.8269952535629272,0.7422037124633789,0.7155963182449341,0.846081554889679,0.6392561197280884,0.4712643623352051
kenn_top_down_adapter_bert_ms,0,5ezhtch0,0.7957505583763123,0.8430803418159485,0.801801860332489,0.7897897958755493,0.9666666388511658,0.33,0.7164179086685181,0.08715175837278366,1.0,0.8523053526878357,0.8496793508529663,0.7514450550079346,0.4393939375877381,0.707317054271698,0.8469653725624084,0.5184049010276794,0.8603603839874268,0.8430803418159485,0.8577131032943726,0.8662131428718567,0.8721461296081543,0.813773512840271,0.8469653725624084,0.5979381203651428,0.8208092451095581,0.9354838728904724,0.8224589228630066,0.06696364283561707,0.7845970392227173,0.5,0.07005427032709122,0.557692289352417,0.8577131032943726,0.6800758838653564,0.813773512840271,0.8365830779075623,0.5263158082962036,0.5992907881736755,0.6000000238418579,0.8523053526878357,0.8313316702842712,0.8167403340339661,0.06413418799638748,0.0864989310503006,0.6666666865348816,0.5825914144515991,0.75,0.4852071106433869,40,0.8496793508529663,0.782608687877655,0.08781450986862183,0.8313316702842712,0.808016300201416,0.11,0.7100840210914612,0.6362292170524597,0.8224589228630066,0.6605504751205444,0.5882353782653809,0.8365830779075623,0.5246803760528564,0.4712643623352051
kenn_bottom_up_adapter_bert_ms,0,2a5npocv,0.7875696420669556,0.8466960787773132,0.7987988591194153,0.7766516208648682,0.9666666388511658,0.33,0.7502612471580505,0.0862557664513588,1.0,0.8557231426239014,0.849490761756897,0.7427745461463928,0.6170212626457214,0.6666666865348816,0.8539460897445679,0.6043165326118469,0.8603603839874268,0.8466960787773132,0.857507586479187,0.8662131428718567,0.8721461296081543,0.8135524988174438,0.8539460897445679,0.7435897588729858,0.7938342690467834,0.9354838728904724,0.8262668251991272,0.06550069153308868,0.7674561142921448,0.5633803009986877,0.06775201857089996,0.5087719559669495,0.857507586479187,0.724612295627594,0.8135524988174438,0.8439198136329651,0.7407407164573669,0.6511628031730652,0.6122449040412903,0.8557231426239014,0.8393847346305847,0.8148247003555298,0.06339417397975922,0.08506002277135849,0.6666666865348816,0.6523842811584473,0.7594937086105347,0.5063291192054749,40,0.849490761756897,0.780434787273407,0.08748561143875122,0.8393847346305847,0.8057174682617188,0.05,0.7058823704719543,0.6933131814002991,0.8262668251991272,0.7223340272903442,0.7017543911933899,0.8439198136329651,0.6084318161010742,0.4597701132297516
box_adapter_bert_ms,2,2nbuuhs1,0.4339723289012909,0.642035186290741,0.8213213682174683,0.29489490389823914,1.0,0.26,0.19989535212516785,0.04752928018569946,0.9333333373069764,0.7476364970207214,0.7996982336044312,0.9364161491394044,0.04552590101957321,0.0917431265115738,0.6957247257232666,0.06976009905338287,0.7252252101898193,0.642035186290741,0.8079198598861694,0.7740384936332703,0.8298969268798828,0.6936179399490356,0.6957247257232666,0.08682634681463242,0.25549131631851196,0.9354838728904724,0.6893599629402161,0.03426295518875122,0.4014509618282318,0.12577639520168304,0.021805621683597565,0.048076923936605453,0.8079198598861694,0.32221949100494385,0.6936179399490356,0.5363015532493591,0.08281250298023224,0.12977099418640137,0.04494382068514824,0.7476364970207214,0.6851539611816406,0.9014017581939696,0.07992106676101685,0.032297320663928986,0.8833333253860474,0.1961720734834671,0.0857580378651619,0.22161422669887543,7,0.7996982336044312,0.8304347991943359,0.08995230495929718,0.6851539611816406,0.936637043952942,0.01,0.9285714030265808,0.12927207350730896,0.6893599629402161,0.11362284421920776,0.15142858028411865,0.5363015532493591,0.06942711025476456,0.931034505367279
