name,instance,run_id,test_incremental_other-event-holiday/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/macro_types/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/micro/recall,test_pretraining/micro/precision,test_incremental/micro/f1,test_incremental/macro_example/recall,test_incremental_other-event-natural_disaster/macro_types/precision,test_pretraining/micro/f1,test_incremental_other-event-violent_conflict/macro_types/f1,test/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test_incremental_other-event/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_other-event-protest/macro_types/f1,epoch,test_incremental_other-event-election/macro_types/recall,test/macro_example/f1,test_pretraining/macro_example/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_other-event-violent_conflict/macro_types/recall,test/micro/recall,test_incremental_other-event-natural_disaster/macro_types/recall,threshold_pretraining,test_incremental_other-event-election/macro_types/f1,test_incremental_other-event-sports_event/macro_types/f1,test_incremental_other-event-holiday/macro_types/precision,test_incremental/micro/recall,test_incremental_other-event/macro_types/precision,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_other-event-holiday/macro_types/recall,test/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test_incremental_other-event-protest/macro_types/precision,test_incremental_only/macro_example/precision,test/micro/f1,test/micro/precision,test_pretraining/macro_types/precision,test_incremental_other-event-protest/macro_types/recall,test_incremental_other-event-sports_event/macro_types/recall,test_incremental_other-event-natural_disaster/macro_types/f1,test/macro_types/recall,test_incremental/micro/precision,threshold_incremental,test/macro_example/recall,test_incremental_other-event-election/macro_types/precision,test_incremental_other-event-violent_conflict/macro_types/precision,test_incremental/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/micro/f1,test_incremental_other-event-sports_event/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_other-event/macro_types/recall,test_incremental/macro_example/precision
kenn_hybrid_adapter_bert_ms,2,1vntrofm,0.8285714387893677,0.6954023241996765,0.8478795289993286,0.08546047657728195,0.854341983795166,0.6492537260055542,0.8503016829490662,0.7651991844177246,0.08304555714130402,0.7777777910232544,0.8480631709098816,0.5369127988815308,0.8594057559967041,0.6699507236480713,0.8251616358757019,0.8662131428718567,0.7582582831382751,0.7017543911933899,56,0.8064516186714172,0.8568663597106934,0.8594057559967041,0.8568663597106934,0.8036293983459473,0.4597701132297516,0.8458364605903625,0.5833333134651184,0.33,0.6944444179534912,0.8333333134651184,0.7250000238418579,0.7448979616165161,0.8721461296081543,0.7434165477752686,0.6824392676353455,0.7803080677986145,0.7206636667251587,0.8036787509918213,0.9666666388511658,0.8251616358757019,0.7102040648460388,0.06834492832422256,0.8458364605903625,0.7193703055381775,0.7407407164573669,0.06964315474033356,0.8480631709098816,0.8503016829490662,0.8478795289993286,0.6666666865348816,0.8333333134651184,0.6666666269302368,0.8036293983459473,0.7866379022598267,0.09,0.854341983795166,0.6097561120986938,0.6451612710952759,0.7414590120315552,0.7395117878913879,0.6783626079559326,0.8333333134651184,0.06709422171115875,0.7219616174697876,0.8603603839874268,0.08802005648612976
kenn_top_down_adapter_bert_ms,2,38qxpi8s,0.6896551847457886,0.7504105567932129,0.8057541847229004,0.0877455547451973,0.8584613800048828,0.7611940503120422,0.7974705696105957,0.5882353186607361,0.08921229839324951,0.2319587618112564,0.8235827088356018,0.509615421295166,0.8221790790557861,0.7807881832122803,0.8098340034484863,0.8662131428718567,0.81456458568573,0.392857164144516,61,0.8709677457809448,0.8399286270141602,0.8221790790557861,0.8399286270141602,0.8139554262161255,0.6091954112052917,0.8514628410339355,0.75,0.33,0.5399999618530273,0.38297873735427856,0.5263158082962036,0.8061224222183228,0.8721461296081543,0.4244682192802429,0.7652980089187622,0.8011723160743713,0.4887578785419464,0.7882132530212402,1.0,0.8098340034484863,0.32176655530929565,0.07664306461811066,0.8514628410339355,0.8105827569961548,0.26829269528388977,0.07515211403369904,0.8235827088356018,0.7974705696105957,0.8057541847229004,0.7333333492279053,0.8999999761581421,0.35433071851730347,0.8139554262161255,0.4630715250968933,0.04,0.8584613800048828,0.3913043439388275,0.43801653385162354,0.5588402152061462,0.8176938891410828,0.4523281455039978,0.2432432472705841,0.07819437235593796,0.3498552441596985,0.8603603839874268,0.08632626384496689
kenn_bottom_up_adapter_bert_ms,2,byuklq6y,0.8219177722930908,0.7175698280334473,0.8391736745834351,0.0870479866862297,0.8566442728042603,0.7089552283287048,0.845033586025238,0.7574552893638611,0.0863344818353653,0.640625,0.8469310998916626,0.5696202516555786,0.8555576801300049,0.7290640473365784,0.824186384677887,0.8662131428718567,0.7882883548736572,0.65625,56,0.8387096524238586,0.8561006784439087,0.8555576801300049,0.8561006784439087,0.8097249865531921,0.517241358757019,0.8488371968269348,0.6833333373069763,0.33,0.6499999761581421,0.8181817531585693,0.6976743936538696,0.777550995349884,0.8721461296081543,0.6775011420249939,0.7232713103294373,0.7948032021522522,0.7033472061157227,0.8014264702796936,1.0,0.824186384677887,0.6397306323051453,0.07243416458368301,0.8488371968269348,0.7732140421867371,0.6176470518112183,0.07186318188905716,0.8469310998916626,0.845033586025238,0.8391736745834351,0.699999988079071,0.8999999761581421,0.6612902879714966,0.8097249865531921,0.7383720874786377,0.04,0.8566442728042603,0.5306122303009033,0.6338028311729431,0.7275844812393188,0.7856635451316833,0.6725663542747498,0.75,0.07301430404186249,0.6450602412223816,0.8603603839874268,0.0877733901143074
kenn_hybrid_adapter_bert_ms,1,1f558iiz,0.8181817531585693,0.6970443725585938,0.8549399971961975,0.08492443710565567,0.8521219491958618,0.5783582329750061,0.853964626789093,0.7612761855125427,0.0801677405834198,0.9230769276618958,0.8480785489082336,0.5581395626068115,0.8614161014556885,0.6305418610572815,0.8248072266578674,0.8662131428718567,0.7319819927215576,0.6538461446762085,43,0.9032257795333862,0.8567438125610352,0.8614161014556885,0.8567438125610352,0.7967262268066406,0.4137931168079376,0.8422730565071106,0.4000000059604645,0.33,0.746666669845581,0.7666666507720947,0.75,0.7061224579811096,0.8721461296081543,0.7968747615814209,0.6621274948120117,0.7754136323928833,0.7158641815185547,0.824324369430542,0.8999999761581421,0.8248072266578674,0.7749999761581421,0.06631073355674744,0.8422730565071106,0.658392071723938,0.7727272510528564,0.06980759650468826,0.8480785489082336,0.853964626789093,0.8549399971961975,0.5666666626930237,0.7666666507720947,0.5581395030021667,0.7967262268066406,0.825775682926178,0.22,0.8521219491958618,0.6363636255264282,0.8571428656578064,0.7380105257034302,0.6872446537017822,0.6623931527137756,0.7666666507720947,0.06314750015735626,0.7843295335769653,0.8603603839874268,0.0902812033891678
kenn_top_down_adapter_bert_ms,1,1u25xjo9,0.8115941882133484,0.7290640473365784,0.8369061946868896,0.0852552130818367,0.8531086444854736,0.60447758436203,0.8440607786178589,0.7211439609527588,0.08156552910804749,0.699999988079071,0.8438233137130737,0.5362319350242615,0.8530129194259644,0.6551724672317505,0.8177540898323059,0.8662131428718567,0.7447447776794434,0.6206896305084229,43,0.9032257795333862,0.853060781955719,0.8530129194259644,0.853060781955719,0.7994588613510132,0.4252873659133911,0.8435859084129333,0.46666666865348816,0.33,0.5436892509460449,0.6571428179740906,0.7179487347602844,0.7204081416130066,0.8721461296081543,0.6603330373764038,0.6901460289955139,0.7784339189529419,0.65251624584198,0.8153153657913208,0.9333333373069764,0.8177540898323059,0.6000000238418579,0.0691167488694191,0.8435859084129333,0.6825300455093384,0.6428571343421936,0.07301430404186249,0.8438233137130737,0.8440607786178589,0.8369061946868896,0.6000000238418579,0.7666666507720947,0.5600000023841858,0.7994588613510132,0.7218813896179199,0.2,0.8531086444854736,0.3888888955116272,0.7254902124404907,0.6833056807518005,0.7079343795776367,0.6022305488586426,0.574999988079071,0.06561420857906342,0.6250308752059937,0.8603603839874268,0.08929452300071716
kenn_bottom_up_adapter_bert_ms,1,22s57j30,0.8059700727462769,0.692118227481842,0.8410124182701111,0.0846409946680069,0.852738618850708,0.5970149040222168,0.8467043042182922,0.7312500476837158,0.08098996430635452,0.7647058963775635,0.8449538946151733,0.569343090057373,0.8551095724105835,0.6428571343421936,0.8189448714256287,0.8662131428718567,0.7394895553588867,0.6071428060531616,43,0.9032257795333862,0.8539224863052368,0.8551095724105835,0.8539224863052368,0.7980058193206787,0.4482758641242981,0.8432108163833618,0.4333333373069763,0.33,0.5714285373687744,0.6865671873092651,0.7297297120094299,0.7163265347480774,0.8721461296081543,0.6914228796958923,0.6665788292884827,0.7728257179260254,0.6654720902442932,0.8093093633651733,0.8999999761581421,0.8189448714256287,0.6374502182006836,0.06675653159618378,0.8432108163833618,0.6696947813034058,0.6538461446762085,0.06931425631046295,0.8449538946151733,0.8467043042182922,0.8410124182701111,0.5666666626930237,0.7666666507720947,0.5531914830207825,0.7980058193206787,0.7468085289001465,0.09,0.852738618850708,0.41791045665740967,0.7799999713897705,0.6941668391227722,0.6969326734542847,0.6165703535079956,0.6216216087341309,0.06438085436820984,0.6613023281097412,0.8603603839874268,0.08863674104213715
kenn_hybrid_adapter_bert_ms,0,5v0e1pwc,0.7792208194732666,0.7545156478881836,0.840430736541748,0.08707170188426971,0.8575897812843323,0.7388059496879578,0.845579981803894,0.7687746286392212,0.08756783604621887,0.6610169410705566,0.8479520678520203,0.6352941393852234,0.8562730550765991,0.7463054060935974,0.8258455395698547,0.8662131428718567,0.7995495796203613,0.7567567229270935,45,0.7096773982048035,0.8569308519363403,0.8562730550765991,0.8569308519363403,0.8117579221725464,0.6206896305084229,0.850337564945221,0.6499999761581421,0.33,0.7096773982048035,0.7246376276016235,0.6382978558540344,0.7938775420188904,0.8721461296081543,0.687018632888794,0.7503880262374878,0.7950195670127869,0.7173713445663452,0.7905405759811401,1.0,0.8258455395698547,0.6534653306007385,0.07514985650777817,0.850337564945221,0.7911723256111145,0.6363636255264282,0.0755632296204567,0.8479520678520203,0.845579981803894,0.840430736541748,0.9333333373069764,0.8333333134651184,0.6554622054100037,0.8117579221725464,0.7452107071876526,0.08,0.8575897812843323,0.7096773982048035,0.650602400302887,0.7396678924560547,0.8010562658309937,0.6935201287269592,0.6410256624221802,0.07474099099636078,0.6561639904975891,0.8603603839874268,0.08658114820718765
kenn_top_down_adapter_bert_ms,0,2bxokmmy,0.7058823704719543,0.761083722114563,0.8175435662269592,0.08722583949565887,0.8581653833389282,0.7574626803398132,0.8207956552505493,0.6677966117858887,0.08830784261226654,0.308270663022995,0.8357576727867126,0.5979381203651428,0.8368436694145203,0.7561576962471008,0.8150873184204102,0.8662131428718567,0.8063063621520996,0.6913580298423767,46,0.6774193644523621,0.847370445728302,0.8368436694145203,0.847370445728302,0.8126457929611206,0.6666666865348816,0.8512753248214722,0.6833333373069763,0.33,0.5526315569877625,0.4545454680919647,0.5454545617103577,0.8040816187858582,0.8721461296081543,0.5137305855751038,0.7586126327514648,0.7964270114898682,0.5790033936500549,0.7867867946624756,1.0,0.8150873184204102,0.4309978783130646,0.07597354054450989,0.8512753248214722,0.7990143299102783,0.5490196347236633,0.07622101902961731,0.8357576727867126,0.8207956552505493,0.8175435662269592,0.9333333373069764,0.8333333134651184,0.4248704612255096,0.8126457929611206,0.5710144639015198,0.11,0.8581653833389282,0.46666666865348816,0.5420560836791992,0.6280402541160583,0.8077781200408936,0.5493910312652588,0.3125,0.0757276713848114,0.45399460196495056,0.8603603839874268,0.08617003262042999
kenn_bottom_up_adapter_bert_ms,0,23eir8ys,0.7594937086105347,0.7463054060935974,0.8361846208572388,0.08725867420434952,0.8571786880493164,0.7276119589805603,0.8434475064277649,0.7553816437721252,0.08699227124452591,0.6190476417541504,0.8465993404388428,0.6227544546127319,0.8542256355285645,0.7364532351493835,0.823242723941803,0.8662131428718567,0.7942943572998047,0.7671233415603638,45,0.7096773982048035,0.8556995987892151,0.8542256355285645,0.8556995987892151,0.8106952905654907,0.5977011322975159,0.849774956703186,0.6499999761581421,0.33,0.6285714507102966,0.695652186870575,0.6122449040412903,0.7877551317214966,0.8721461296081543,0.6548698544502258,0.7413465976715088,0.7967268228530884,0.6907203793525696,0.7991741895675659,1.0,0.823242723941803,0.6230031847953796,0.07424437254667282,0.849774956703186,0.7817853689193726,0.6511628031730652,0.07474099099636078,0.8465993404388428,0.8434475064277649,0.8361846208572388,0.9333333373069764,0.800000011920929,0.6341463327407837,0.8106952905654907,0.7255638837814331,0.06999999999999999,0.8571786880493164,0.5641025900840759,0.6499999761581421,0.71735018491745,0.7930103540420532,0.671256422996521,0.6153846383094788,0.07375431060791016,0.618657112121582,0.8603603839874268,0.08752672374248505
box_adapter_bert_ms,2,3cs3zdy7,0.2352941334247589,0.2660098671913147,0.7053114175796509,0.05778403952717781,0.7809341549873352,0.2014925330877304,0.6849983334541321,0.22727273404598236,0.05147179961204529,0.0,0.7222911715507507,0.019375672563910484,0.7010904550552368,0.25615763664245605,0.661165177822113,0.7740384936332703,0.4699700176715851,0.1818181872367859,11,0.32258063554763794,0.7388615012168884,0.7010904550552368,0.7388615012168884,0.6222196817398071,0.1034482792019844,0.7638784646987915,0.0,0.26,0.4166666567325592,0.34838712215423584,1.0,0.43877550959587097,0.8298969268798828,0.4186479449272156,0.26099082827568054,0.5276047587394714,0.3019564151763916,0.6013513803482056,0.13333334028720856,0.661165177822113,0.04470198601484299,0.026137705892324448,0.7638784646987915,0.26544928550720215,0.2857142984867096,0.026640355587005615,0.7222911715507507,0.6849983334541321,0.7053114175796509,0.13333334028720856,0.8999999761581421,0.0,0.6222196817398071,0.15335234999656677,0.91,0.7809341549873352,0.5882353186607361,0.010688835754990578,0.3697822093963623,0.33113157749176025,0.0731707364320755,0.2160000056028366,0.025653675198554993,0.350106418132782,0.7252252101898193,0.06586087495088577
