name,instance,run_id,test_incremental_computer-algorithm/macro_types/precision,test_pretraining/macro_example/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_computer-algorithm/macro_types/recall,test_pretraining/macro_example/precision,test/micro/recall,test/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test/macro_example/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,threshold_pretraining,test_incremental/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example/precision,test/macro_example/precision,test_incremental_only/macro_example/f1,test_incremental_computer/macro_types/f1,test_incremental_computer-algorithm/macro_types/f1,test_incremental/macro_types/precision,test_incremental_computer-programming_language/macro_types/recall,test/macro_types/precision,test_incremental/micro/precision,test_incremental_computer/macro_types/precision,test/micro/f1,test_incremental/micro/recall,test_pretraining/micro/precision,test_incremental_only/micro/f1,threshold_incremental,test/macro_types/recall,test_pretraining/micro/f1,test_incremental_computer/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/precision,epoch,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_types/precision,test_incremental_computer-programming_language/macro_types/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental_computer-programming_language/macro_types/precision
kenn_horizontal_adapter_bert_ms,2,re4wkr7p,0.8787878751754761,0.9197741746902466,0.01983298733830452,0.9666666984558104,0.9666666388511658,0.9250463843345642,0.899782121181488,0.8808543682098389,0.02035490795969963,0.9666666388511658,0.975000023841858,0.8808543682098389,0.6666666865348816,0.9145616292953492,0.8705464601516724,0.9145616292953492,0.9500000476837158,0.9666666984558104,0.9090909361839294,0.375,0.020090557634830475,0.02018093317747116,0.02018093317747116,0.9250463843345642,0.02018093317747116,0.9572649598121644,0.920634925365448,0.7994270324707031,0.9666666388511658,0.8965883851051331,0.7916666865348816,0.9824561476707458,0.904412567615509,0.949999988079071,0.9090909361839294,0.7891156673431396,0.15000000000000002,0.8656630516052246,0.904412567615509,0.9333333373069764,0.9666666984558104,0.8636363744735718,0.9555555582046508,0.8656630516052246,0.9197741746902466,0.9666666388511658,0.7079124450683594,30,0.9623376727104188,0.8965883851051331,0.6904761791229248,0.899782121181488,0.8172982931137085,0.5370370149612427
kenn_horizontal_adapter_bert_ms,1,25zt7kqz,0.3846153914928436,0.9173598289489746,0.01983298733830452,0.9666666984558104,1.0,0.9201751947402954,0.899782121181488,0.8758847713470459,0.0205288790166378,0.9666666984558104,0.9833333492279052,0.8758847713470459,0.43609023094177246,0.9145616292953492,0.7559949159622192,0.9145616292953492,0.9500000476837158,0.9666666984558104,0.8999782204627991,0.375,0.020174933597445488,0.02018093317747116,0.02018093317747116,0.9201751947402954,0.02018093317747116,0.9572649598121644,0.555555522441864,0.6253874897956848,0.9333333373069764,0.8863507509231567,0.6000000238418579,0.9824561476707458,0.8998801112174988,0.949999988079071,0.8999782204627991,0.6010362505912781,0.48,0.8656630516052246,0.8998801112174988,0.9333333373069764,0.9666666984558104,0.7354838848114014,0.9555555582046508,0.8656630516052246,0.9173598289489746,0.9666666388511658,0.4468531608581543,39,0.9663793444633484,0.8863507509231567,0.6588234901428223,0.899782121181488,0.6111807823181152,0.5090909004211426
kenn_horizontal_adapter_bert_ms,0,3mn55ted,0.0686015859246254,0.8945423364639282,0.01931106485426426,0.9166667461395264,0.8666666746139526,0.8758060932159424,0.8991285562515259,0.8688669204711914,0.02018093317747116,0.9166666269302368,0.9666666984558104,0.8688669204711914,0.1049618348479271,0.9140976667404176,0.5743317008018494,0.9140976667404176,0.9250000715255736,0.9166667461395264,0.8287148475646973,0.375,0.01973642036318779,0.01913709193468094,0.01913709193468094,0.8758060932159424,0.01913709193468094,0.9572649598121644,0.1271393746137619,0.417019248008728,0.9666666388511658,0.8740938305854797,0.19104991853237152,0.9824561476707458,0.8624869585037231,0.925000011920929,0.8287148475646973,0.1883561760187149,0.93,0.8637022376060486,0.8624869585037231,0.9333333373069764,0.9166667461395264,0.31669044494628906,0.9222222566604614,0.8637022376060486,0.8945423364639282,0.9166666865348816,0.13430079817771912,12,0.9453744888305664,0.8740938305854797,0.331428587436676,0.8991285562515259,0.23427757620811465,0.20000000298023224
kenn_hybrid_adapter_bert_ms,2,18auv893,0.04087591171264648,0.8606078028678894,0.01983298547565937,0.9666666984558104,0.9333333373069764,0.8126652836799622,0.899782121181488,0.8686096668243408,0.020876826718449593,0.9666666984558104,1.0,0.8686096668243408,0.05876393243670464,0.9145616292953492,0.5378204584121704,0.9145616292953492,0.9500000476837158,0.9666666984558104,0.7587727308273315,0.375,0.020341522991657257,0.02018093317747116,0.02018093317747116,0.8126652836799622,0.02018093317747116,0.9572649598121644,0.078321672976017,0.3742232620716095,1.0,0.8715764284133911,0.10919540375471117,0.9824561476707458,0.8232831954956055,0.949999988079071,0.7587727308273315,0.11079274863004684,0.98,0.8656630516052246,0.8232831954956055,0.9333333373069764,0.9666666984558104,0.19587628543376925,0.9555555582046508,0.8656630516052246,0.8606078028678894,0.9666666388511658,0.07010683417320251,34,0.9743589758872986,0.8715764284133911,0.1807229071855545,0.899782121181488,0.13073238730430603,0.09933774918317796
kenn_top_down_adapter_bert_ms,2,2jicxt09,0.041116006672382355,0.8606078028678894,0.01983298547565937,0.9666666984558104,0.9333333373069764,0.8126652836799622,0.899782121181488,0.8685994148254395,0.020876826718449593,0.9666666984558104,1.0,0.8685994148254395,0.05876393243670464,0.9145616292953492,0.5374559760093689,0.9145616292953492,0.9500000476837158,0.9666666984558104,0.7587727308273315,0.375,0.020341522991657257,0.02018093317747116,0.02018093317747116,0.8126652836799622,0.02018093317747116,0.9572649598121644,0.07876230776309967,0.373870462179184,1.0,0.8715556859970093,0.10919540375471117,0.9824561476707458,0.8232831954956055,0.949999988079071,0.7587727308273315,0.11079274863004684,0.98,0.8656630516052246,0.8232831954956055,0.9333333373069764,0.9666666984558104,0.19587628543376925,0.9555555582046508,0.8656630516052246,0.8606078028678894,0.9666666388511658,0.06957761198282242,34,0.9743589758872986,0.8715556859970093,0.178571417927742,0.899782121181488,0.12981177866458893,0.09803921729326248
kenn_bottom_up_adapter_bert_ms,2,28j0ac97,0.03222094476222992,0.8361744284629822,0.01983298547565937,0.9666666984558104,0.9333333373069764,0.7701635360717773,0.899782121181488,0.8682704567909241,0.020702853798866272,0.9666666984558104,0.9916666746139526,0.8682704567909241,0.04534792900085449,0.9145616292953492,0.5257277488708496,0.9145616292953492,0.9500000476837158,0.9666666984558104,0.7201395034790039,0.375,0.0202585868537426,0.02018093317747116,0.02018093317747116,0.7701635360717773,0.02018093317747116,0.9572649598121644,0.06229143962264061,0.3626159429550171,1.0,0.8708935976028442,0.0853293389081955,0.9824561476707458,0.7999999523162842,0.949999988079071,0.7201395034790039,0.08663181215524673,0.99,0.8656630516052246,0.7999999523162842,0.9333333373069764,0.9666666984558104,0.15659339725971222,0.9555555582046508,0.8656630516052246,0.8361744284629822,0.9666666388511658,0.05269583687186241,34,0.970386266708374,0.8708935976028442,0.13636362552642822,0.899782121181488,0.09994345903396606,0.0731707289814949
kenn_hybrid_adapter_bert_ms,1,1a45njle,0.03598015010356903,0.8363111019134521,0.01983298547565937,0.9666666984558104,0.9666666388511658,0.7703955173492432,0.899782121181488,0.868192732334137,0.020702853798866272,0.9666666388511658,0.9916666746139526,0.868192732334137,0.04538341239094734,0.9145616292953492,0.5229296684265137,0.9145616292953492,0.9500000476837158,0.9666666984558104,0.7202650904655457,0.375,0.0202585868537426,0.02018093317747116,0.02018093317747116,0.7703955173492432,0.02018093317747116,0.9572649598121644,0.06937799602746964,0.3599589765071869,0.9666666388511658,0.8707373142242432,0.0853932574391365,0.9824561476707458,0.800077497959137,0.949999988079071,0.7202650904655457,0.0866965651512146,0.99,0.8656630516052246,0.800077497959137,0.9333333373069764,0.9666666984558104,0.15670102834701538,0.9555555582046508,0.8656630516052246,0.8363111019134521,0.9666666388511658,0.0487104132771492,36,0.970386266708374,0.8707373142242432,0.1155378520488739,0.899782121181488,0.0927472785115242,0.06144067645072937
kenn_top_down_adapter_bert_ms,1,mdzlqhtr,0.03602484613656998,0.8362086415290833,0.01983298547565937,0.9666666984558104,0.9666666388511658,0.7702215909957886,0.899782121181488,0.8681907057762146,0.020702853798866272,0.9666666388511658,0.9916666746139526,0.8681907057762146,0.04534792900085449,0.9145616292953492,0.5228542685508728,0.9145616292953492,0.9500000476837158,0.9666666984558104,0.7201395034790039,0.375,0.0202585868537426,0.02018093317747116,0.02018093317747116,0.7702215909957886,0.02018093317747116,0.9572649598121644,0.06946107745170593,0.3598874807357788,0.9666666388511658,0.8707331418991089,0.0853293389081955,0.9824561476707458,0.7999999523162842,0.949999988079071,0.7201395034790039,0.08663181215524673,0.99,0.8656630516052246,0.7999999523162842,0.9333333373069764,0.9666666984558104,0.15659339725971222,0.9555555582046508,0.8656630516052246,0.8362086415290833,0.9666666388511658,0.04860313981771469,36,0.970386266708374,0.8707331418991089,0.1150793582201004,0.899782121181488,0.09255281090736388,0.061181433498859406
kenn_bottom_up_adapter_bert_ms,1,2ez70c0c,0.0560000017285347,0.873309314250946,0.01965901255607605,0.9500000476837158,0.9333333373069764,0.835763156414032,0.899564266204834,0.868342936038971,0.020702853798866272,0.949999988079071,0.9916666746139526,0.868342936038971,0.06951219588518143,0.9143876433372498,0.5382346510887146,0.9143876433372498,0.9416667222976683,0.9500000476837158,0.782600462436676,0.375,0.020167434588074684,0.01983298547565937,0.01983298547565937,0.835763156414032,0.01983298547565937,0.9572649598121644,0.10566037893295288,0.37636038661003113,0.9666666388511658,0.8717021346092224,0.1288483440876007,0.9824561476707458,0.8370160460472107,0.9416666626930236,0.782600462436676,0.1295454502105713,0.97,0.8650094270706177,0.8370160460472107,0.9333333373069764,0.9500000476837158,0.22668002545833588,0.9444444179534912,0.8650094270706177,0.873309314250946,0.949999988079071,0.07331250607967377,36,0.966020166873932,0.8717021346092224,0.165714293718338,0.899564266204834,0.13612045347690582,0.09062500298023224
kenn_hybrid_adapter_bert_ms,0,37wl8lnk,0.06279069930315018,0.8882004022598267,0.01965901255607605,0.9500000476837158,0.8999999761581421,0.8634713888168335,0.899564266204834,0.8690873384475708,0.020702853798866272,0.949999988079071,0.9916666746139526,0.8690873384475708,0.0923824980854988,0.914387583732605,0.5638477206230164,0.914387583732605,0.9416667222976683,0.9500000476837158,0.813916802406311,0.375,0.020167434588074684,0.01983298547565937,0.01983298547565937,0.8634713888168335,0.01983298547565937,0.9572649598121644,0.11739131063222884,0.4018915593624115,1.0,0.8732039332389832,0.16765578091144562,0.9824561476707458,0.8546000123023987,0.9416666626930236,0.813916802406311,0.1683899611234665,0.95,0.8650094270706177,0.8546000123023987,0.9333333373069764,0.9500000476837158,0.2846347689628601,0.9444445371627808,0.8650094270706177,0.8882004022598267,0.949999988079071,0.11160925030708312,20,0.966020166873932,0.8732039332389832,0.2764976918697357,0.899564266204834,0.19975106418132785,0.16042780876159668
