projector,5/f1/mean,5/f1/std,10/f1/mean,10/f1/std,20/f1/mean,20/f1/std
box,0.329,0.201,0.289,0.172,0.459,0.262
box_kenn_bottom_up,0.557,0.292,0.639,0.246,0.673,0.216
box_kenn_hybrid,0.531,0.283,0.641,0.247,0.672,0.216
box_kenn_top_down,0.537,0.279,0.627,0.228,0.631,0.213
classifier,0.384,0.196,0.511,0.214,0.64,0.204
kenn_bottom_up,0.387,0.194,0.529,0.211,0.664,0.181
kenn_hybrid,0.4,0.196,0.536,0.204,0.656,0.178
kenn_top_down,0.394,0.19,0.536,0.214,0.634,0.192
