projector,5/f1/mean,5/f1/std,10/f1/mean,10/f1/std,20/f1/mean,20/f1/std
box,0.442,0.166,0.517,0.221,0.604,0.246
box_kenn_bottom_up,0.426,0.28,0.612,0.237,0.685,0.244
box_kenn_horizontal,0.468,0.286,0.55,0.257,0.711,0.201
box_kenn_hybrid,0.443,0.287,0.616,0.237,0.687,0.243
box_kenn_top_down,0.446,0.286,0.646,0.235,0.687,0.235
classifier,0.442,0.186,0.479,0.206,0.589,0.229
kenn_bottom_up,0.605,0.177,0.652,0.161,0.667,0.164
kenn_horizontal,0.606,0.179,0.664,0.149,0.668,0.149
kenn_hybrid,0.621,0.179,0.651,0.179,0.691,0.16
kenn_top_down,0.561,0.211,0.574,0.21,0.626,0.176
