name,instance,run_id,test/macro_types/precision,test_incremental_person-artist/macro_types/recall,epoch,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental_person-artist-author/macro_types/precision,test/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_person-artist-author/macro_types/f1,test_incremental_person-artist-music/macro_types/recall,test/macro_example/f1,test/macro_example/precision,test_incremental_person-artist-actor/macro_types/precision,test_incremental_person-artist-director/macro_types/precision,test_incremental/micro/precision,test_incremental_person-artist-actor/macro_types/f1,test_incremental_person-artist-actor/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_pretraining/macro_types/precision,test_incremental/macro_example/precision,test_incremental/micro/recall,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_person-artist-director/macro_types/recall,test_incremental_person-artist/macro_types/precision,test_incremental/macro_types/f1,test_incremental_person-artist-author/macro_types/recall,test_pretraining/macro_example/precision,threshold_pretraining,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_person-artist-music/macro_types/precision,test_pretraining/micro/f1,test/micro/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/f1,test/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_person-artist-director/macro_types/f1,threshold_incremental,test_incremental_only/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test/micro/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example/recall,test_incremental_person-artist/macro_types/f1,test_incremental_person-artist-music/macro_types/f1,test_incremental_only/micro/precision,test/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/micro/f1,test_pretraining/micro/precision
kenn_hybrid_adapter_bert_ms,0,3bildkw0,0.8156078457832336,0.8673835396766663,16,0.09474368393421172,0.1037658229470253,0.521064281463623,0.6332736015319824,0.31111112236976624,0.7987054586410522,0.06800351291894913,0.40287771821022034,0.5675675868988037,0.8340162038803101,0.8152614235877991,0.29296875,0.2531645596027374,0.4097646176815033,0.4043126702308655,0.6521739363670349,0.8070681095123291,0.609925389289856,0.8386622667312622,0.8156078457832336,0.08716493844985962,0.7153729200363159,0.8386622667312622,0.7987054586410522,0.36265701055526733,0.5785398483276367,0.6666666865348816,0.8231292366981506,0.46936386823654175,0.5714285969734192,0.8152614235877991,0.33,0.8536542654037476,0.6144591569900513,0.13291139900684357,0.8039457201957703,0.7719891667366028,0.60317462682724,0.644911527633667,0.6883349418640137,0.8536542654037476,0.753882884979248,0.3669724762439728,0.05,0.2475389540195465,0.8340162038803101,0.3529070019721985,0.8039457201957703,0.06450419127941132,0.07190428674221039,0.8446771502494812,0.21538463234901428,0.2672919034957886,0.8070681095123291,0.6650440692901611,0.37043052911758423,0.7719891667366028
kenn_top_down_adapter_bert_ms,0,2fj8gutz,0.8246607780456543,0.8673835396766663,17,0.09491601586341858,0.08878473937511444,0.5574712753295898,0.7407407164573669,0.3368421196937561,0.7845005393028259,0.052306607365608215,0.3316062092781067,0.4054054021835327,0.844019889831543,0.8420875668525696,0.38167938590049744,0.5666666626930237,0.5278911590576172,0.4065040647983551,0.4347825944423675,0.804079532623291,0.4691393375396729,0.8235942721366882,0.8246607780456543,0.10195691883563995,0.590563178062439,0.8235942721366882,0.7845005393028259,0.4549968242645264,0.5398229956626892,0.5666666626930237,0.8231292366981506,0.48539847135543823,0.3265306055545807,0.8420875668525696,0.33,0.8459610939025879,0.43334633111953735,0.1666666716337204,0.8192286491394043,0.8149091005325317,0.3862433731555938,0.4148229956626892,0.6895869374275208,0.8459610939025879,0.645041823387146,0.5666666626930237,0.23,0.3629637062549591,0.844019889831543,0.39504456520080566,0.8192286491394043,0.06018746644258499,0.04625061899423599,0.8446771502494812,0.23622047901153564,0.3310657739639282,0.804079532623291,0.5201537609100342,0.35653236508369446,0.8149091005325317
kenn_bottom_up_adapter_bert_ms,0,2hxo6fq7,0.8271746635437012,0.8673835396766663,13,0.09312278032302856,0.09165433049201964,0.5971914529800415,0.6875746250152588,0.4901960790157318,0.7882621884346008,0.05346584692597389,0.4297994375228882,0.4324324429035187,0.847669243812561,0.8479839563369751,0.43589743971824646,0.4761904776096344,0.5804597735404968,0.4396551847457886,0.4434782564640045,0.8072498440742493,0.47953659296035767,0.8265343904495239,0.8271746635437012,0.09463904052972794,0.6149162650108337,0.8265343904495239,0.7882621884346008,0.4806382060050965,0.50368732213974,0.6666666865348816,0.8231292366981506,0.5166618227958679,0.38265305757522583,0.8479839563369751,0.33,0.8473547697067261,0.4813076257705689,0.17777778208255768,0.8250940442085266,0.8236586451530457,0.4285714328289032,0.4575958549976349,0.6765586733818054,0.8473547697067261,0.665890097618103,0.555555522441864,0.14,0.3950154483318329,0.847669243812561,0.43391290307044983,0.8250940442085266,0.05615852400660515,0.051019567996263504,0.8446771502494812,0.25196850299835205,0.4029850661754608,0.8072498440742493,0.5585228204727173,0.4153846204280853,0.8236586451530457
box_adapter_bert_ms,2,2h33207h,0.7253892421722412,0.9032257795333862,42,0.10137967020273209,0.09868442267179488,0.6499999761581421,0.7572282552719116,0.6242424249649048,0.6659131646156311,0.051706623286008835,0.5706371068954468,0.5945945978164673,0.8164929151535034,0.8405333757400513,0.5663716793060303,0.30337077379226685,0.5977011322975159,0.5614035129547119,0.5565217137336731,0.694379985332489,0.46375805139541626,0.7782065272331238,0.7253892421722412,0.1042262762784958,0.7123287916183472,0.7782065272331238,0.6659131646156311,0.5022906064987183,0.42809733748435974,0.8999999761581421,0.797468364238739,0.5834778547286987,0.5255101919174194,0.8405333757400513,0.26,0.7937893867492676,0.6441566348075867,0.2199999988079071,0.7955292463302612,0.8136407136917114,0.5714285969734192,0.5058997273445129,0.7365469932556152,0.7937893867492676,0.7169653177261353,0.45378145575523376,0.21,0.42849624156951904,0.8164929151535034,0.5146468877792358,0.7955292463302612,0.04773063585162163,0.05640519410371781,0.847058892250061,0.32116788625717163,0.46252676844596863,0.694379985332489,0.6959704160690308,0.5112426280975342,0.8136407136917114
box_adapter_bert_ms,1,2olg455j,0.7340520620346069,0.9032257795333862,55,0.102167509496212,0.09176122397184372,0.6639935374259949,0.8372162580490112,0.8190476298332214,0.6545337438583374,0.05051618441939354,0.5714285969734192,0.4864864945411682,0.8180612325668335,0.8494372963905334,0.5303030014038086,0.4791666567325592,0.701694905757904,0.3867403268814087,0.30434781312942505,0.692016065120697,0.453080952167511,0.7682837247848511,0.7340520620346069,0.11523596942424774,0.6301369667053223,0.7682837247848511,0.6545337438583374,0.5906516313552856,0.48303836584091187,0.7666666507720947,0.797468364238739,0.5852266550064087,0.43877550959587097,0.8494372963905334,0.26,0.7889204025268555,0.49906912446022034,0.3272727131843567,0.7998852133750916,0.8341979384422302,0.4285714328289032,0.4266224205493927,0.7422707676887512,0.7889204025268555,0.6666666269302368,0.5897436141967773,0.28,0.5389475226402283,0.8180612325668335,0.5182422995567322,0.7998852133750916,0.053856272250413895,0.047566190361976624,0.847058892250061,0.3913043439388275,0.5912408828735352,0.692016065120697,0.5799004435539246,0.4969324767589569,0.8341979384422302
box_adapter_bert_ms,0,2telt28a,0.726991593837738,0.9032257795333862,44,0.09719464927911758,0.08648248761892319,0.6126543283462524,0.8059737086296082,0.5463917255401611,0.6557576656341553,0.0357874371111393,0.361774742603302,0.6216216087341309,0.8157289624214172,0.8462702035903931,0.4893617033958435,0.4893617033958435,0.621283233165741,0.4401913583278656,0.4000000059604645,0.6895397305488586,0.3209784924983978,0.7651598453521729,0.726991593837738,0.11093570291996002,0.6042618155479431,0.7651598453521729,0.6557576656341553,0.5186343193054199,0.3134218454360962,0.7666666507720947,0.797468364238739,0.5530616044998169,0.27040815353393555,0.8462702035903931,0.26,0.7873152494430542,0.5146740674972534,0.2705882489681244,0.7929162979125977,0.8227623105049133,0.38359788060188293,0.3289085626602173,0.7061417102813721,0.7873152494430542,0.6283154487609863,0.5974025726318359,0.25,0.4489258527755738,0.8157289624214172,0.4795568883419037,0.7929162979125977,0.03494490683078766,0.03667160123586655,0.847058892250061,0.37704917788505554,0.4489164054393768,0.6895397305488586,0.5923844575881958,0.41369470953941345,0.8227623105049133
classifier_adapter_bert_ms,2,329cv129,0.8198353052139282,0.8673835396766663,17,0.08900706470012665,0.09232033789157867,0.544715404510498,0.6242532730102539,0.6086956262588501,0.7898145914077759,0.04657154530286789,0.5029940009117126,0.5135135054588318,0.845513105392456,0.843663215637207,0.2786885201931,0.1796875,0.4908424913883209,0.28691983222961426,0.2956521809101105,0.804544985294342,0.41770139336586,0.8261668682098389,0.8198353052139282,0.08592337369918823,0.611872136592865,0.8261668682098389,0.7898145914077759,0.4057773947715759,0.3683628439903259,0.7666666507720947,0.8231292366981506,0.47556984424591064,0.4285714328289032,0.843663215637207,0.33,0.8473712205886841,0.5011009573936462,0.1386861354112625,0.8155269026756287,0.8051576018333435,0.42328041791915894,0.4823008775711059,0.6466570496559143,0.8473712205886841,0.6707288026809692,0.29113924503326416,0.25,0.30143946409225464,0.845513105392456,0.3764336407184601,0.8155269026756287,0.041070546954870224,0.05377405136823654,0.8446771502494812,0.2183908075094223,0.3047619163990021,0.804544985294342,0.5743575096130371,0.35437431931495667,0.8051576018333435
classifier_adapter_bert_ms,1,19bfe56j,0.8242214322090149,0.8673835396766663,17,0.09357742220163344,0.09247656166553496,0.5889298915863037,0.6880525350570679,0.7037037014961243,0.7831133604049683,0.04937761276960373,0.574018120765686,0.3243243098258972,0.8491352200508118,0.8517861366271973,0.4177215099334717,0.18681319057941437,0.5716332197189331,0.34020617604255676,0.2869565188884735,0.803141713142395,0.4428691267967224,0.8256155848503113,0.8242214322090149,0.09470482170581818,0.6073059439659119,0.8256155848503113,0.7831133604049683,0.4505159854888916,0.40781712532043457,0.5666666626930237,0.8231292366981506,0.47665101289749146,0.48469388484954834,0.8517861366271973,0.33,0.8465007543563843,0.4156603515148163,0.12121212482452393,0.8240256905555725,0.8224418759346008,0.41534391045570374,0.4845132529735565,0.679861843585968,0.8465007543563843,0.6718637943267822,0.28099173307418823,0.31,0.35736262798309326,0.8491352200508118,0.3843132257461548,0.8240256905555725,0.0454694926738739,0.0540207177400589,0.8446771502494812,0.1764705926179886,0.3886138498783112,0.803141713142395,0.5060049891471863,0.4015345275402069,0.8224418759346008
classifier_adapter_bert_ms,0,2607ollf,0.8230057954788208,0.8673835396766663,21,0.08958509564399719,0.09333990514278412,0.5702536106109619,0.6256869435310364,0.5704697966575623,0.7927263975143433,0.04829198867082596,0.49275362491607666,0.5945945978164673,0.8462481498718262,0.8441569805145264,0.4285714328289032,0.2291666716337204,0.5187032222747803,0.40909093618392944,0.3913043439388275,0.8075823783874512,0.433132141828537,0.8287394046783447,0.8230057954788208,0.08612070232629776,0.6331811547279358,0.8287394046783447,0.7927263975143433,0.438115507364273,0.394542783498764,0.7333333492279053,0.8231292366981506,0.5078754425048828,0.4336734712123871,0.8441569805145264,0.33,0.8483496904373169,0.5382264256477356,0.13924050331115723,0.8193296790122986,0.8101311326026917,0.460317462682724,0.4800885021686554,0.650856614112854,0.8483496904373169,0.6781362295150757,0.3492063581943512,0.27,0.3418620824813843,0.8462481498718262,0.41813796758651733,0.8193296790122986,0.043989475816488266,0.05352737754583359,0.8446771502494812,0.2256410121917725,0.3425196707248688,0.8075823783874512,0.6040579080581665,0.3927765190601349,0.8101311326026917
