name,instance,run_id,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test_incremental_location-structure-airport/macro_types/precision,test_incremental_location-structure/macro_types/precision,test_incremental_location-structure-airport/macro_types/f1,test_incremental_only/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test/macro_example/recall,test_incremental/micro/precision,test_incremental/macro_example/recall,test_incremental/micro/recall,test/micro/precision,threshold_pretraining,test/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_location-structure-hospital/macro_types/f1,test_incremental_location-structure-theater/macro_types/f1,test/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental_location-structure-hospital/macro_types/precision,test_incremental_location-structure-government/macro_types/f1,test_incremental_location-structure-theater/macro_types/recall,epoch,test_incremental_only/micro/recall,test_incremental_location-structure-sports_facility/macro_types/f1,test_incremental_location-structure/macro_types/f1,test_incremental_location-structure-sports_facility/macro_types/precision,test/macro_example/precision,test_incremental/macro_example/precision,test_incremental_location-structure-theater/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-structure-government/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_location-structure-government/macro_types/precision,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_location-structure-restaurant/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example/f1,test_incremental_only/macro_example/precision,threshold_incremental,test_incremental_location-structure-restaurant/macro_types/precision,test/micro/f1,test_pretraining/micro/precision,test/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test/macro_example/f1,test_incremental_location-structure-restaurant/macro_types/f1,test_incremental_location-structure-hospital/macro_types/recall,test_incremental_location-structure/macro_types/recall,test_pretraining/macro_types/precision,test_incremental/macro_types/f1,test_incremental_location-structure-airport/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_location-structure-sports_facility/macro_types/recall,test_incremental/micro/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,k3rdf5ke,0.7909765839576721,0.7258540391921997,0.800000011920929,0.936046540737152,0.7272727489471436,0.0668475553393364,0.7119825482368469,0.7640449404716492,0.8033852577209473,0.8485714197158813,0.08008551597595215,0.6484715938568115,0.8451993465423584,0.26,0.6743409037590027,0.06697066128253937,0.7076624631881714,0.8033852577209473,0.8253968358039856,0.8771929740905762,0.7119825482368469,0.8545587062835693,0.6034696102142334,0.6743409037590027,0.7207447290420532,0.7411444187164307,0.7878788113594055,0.5797101259231567,0.78125,40,0.7195767164230347,0.6363636255264282,0.7301587462425232,0.5833333134651184,0.8545587062835693,0.0907745435833931,1.0,0.7234042882919312,0.5405405163764954,0.6840148568153381,0.625,0.8281822800636292,0.6412228345870972,0.800000011920929,0.8171895742416382,0.7523484230041504,0.8030210733413696,0.08509568125009537,0.06709422171115875,0.01,0.8888888955116272,0.8171895742416382,0.8451993465423584,0.7540748715400696,0.7220720648765564,0.7909765839576721,0.8281822800636292,0.8421052694320679,0.8666666746139526,0.5985130071640015,0.7540748715400696,0.7523321509361267,0.6666666865348816,0.7808501720428467,0.699999988079071,0.7351484298706055
no_init_box_kenn_top_down_adapter_bert_ms,2,n95xysv2,0.7932609915733337,0.789020299911499,0.5789473652839661,0.936046540737152,0.6470588445663452,0.07276763021945953,0.7094212174415588,0.6244725584983826,0.8051009774208069,0.7555012106895447,0.08304555714130402,0.6746724843978882,0.8375879526138306,0.26,0.6814918518066406,0.0728907585144043,0.76180499792099,0.8051009774208069,0.8059700727462769,0.8965517282485962,0.7094212174415588,0.8489510416984558,0.6257745027542114,0.6814918518066406,0.7845744490623474,0.6948357224464417,0.7297297120094299,0.5609756112098694,0.8125,41,0.7830687761306763,0.6329114437103271,0.7301587462425232,0.5102040767669678,0.8489510416984558,0.09151455760002136,1.0,0.7872340679168701,0.6216216087341309,0.6895910501480103,0.5111111402511597,0.8264447450637817,0.6561347246170044,0.8333333134651184,0.8148220777511597,0.7153159976005554,0.6944682002067566,0.08707461506128311,0.07301430404186249,0.01,0.5952380895614624,0.8148220777511597,0.8375879526138306,0.7397377490997314,0.7859019637107849,0.7932609915733337,0.8264447450637817,0.6944444179534912,0.8999999761581421,0.5985130071640015,0.7397377490997314,0.7265797853469849,0.7333333492279053,0.6542050838470459,0.8333333134651184,0.7128027677536011
no_init_box_kenn_bottom_up_adapter_bert_ms,2,fa2x9mk8,0.7907862067222595,0.7202984094619751,0.800000011920929,0.936046540737152,0.7272727489471436,0.06635421514511108,0.7120857834815979,0.7758620977401733,0.8032865524291992,0.8554913401603699,0.0798388421535492,0.6462882161140442,0.8456840515136719,0.26,0.6737120151519775,0.06647731363773346,0.7029005289077759,0.8032865524291992,0.8253968358039856,0.8771929740905762,0.7120857834815979,0.8548547029495239,0.6016108989715576,0.6737120151519775,0.7154254913330078,0.7438017129898071,0.7878788113594055,0.5970149040222168,0.78125,41,0.7142857313156128,0.6461538672447205,0.7301587462425232,0.6000000238418579,0.8548547029495239,0.0902812033891678,1.0,0.7180851101875305,0.5405405163764954,0.6802973747253418,0.6666666865348816,0.8282687664031982,0.6385391354560852,0.7666666507720947,0.8173142671585083,0.7534772157669067,0.8107439279556274,0.08473953604698181,0.06660088151693344,0.01,0.8846153616905212,0.8173142671585083,0.8456840515136719,0.7550948858261108,0.716752827167511,0.7907862067222595,0.8282687664031982,0.8214284777641296,0.8666666746139526,0.5985130071640015,0.7550948858261108,0.7529804110527039,0.6666666865348816,0.789860188961029,0.699999988079071,0.7363184690475464
no_init_box_kenn_hybrid_adapter_bert_ms,1,sfdzdr36,0.7904055118560791,0.7112894058227539,0.35483869910240173,0.936046540737152,0.4782608449459076,0.06561420857906342,0.709851086139679,0.6717171669006348,0.8031667470932007,0.7945945858955383,0.07942771911621094,0.6419214010238647,0.8411669135093689,0.26,0.672692060470581,0.06561420857906342,0.6951785087585449,0.8031667470932007,0.8125,0.8771929740905762,0.709851086139679,0.8522975444793701,0.5985130071640015,0.672692060470581,0.707446813583374,0.6873385310173035,0.7647058963775635,0.5373134016990662,0.78125,39,0.7037037014961243,0.7755101919174194,0.7301587462425232,1.0,0.8522975444793701,0.09003453701734543,1.0,0.707446813583374,0.4864864945411682,0.678438663482666,0.6000000238418579,0.8270031213760376,0.6359745264053345,0.7666666507720947,0.814996600151062,0.7333528399467468,0.782431423664093,0.08439917862415314,0.06561420857906342,0.01,0.8214285969734192,0.814996600151062,0.8411669135093689,0.7513555288314819,0.707446813583374,0.7904055118560791,0.8270031213760376,0.7931035161018372,0.8666666746139526,0.5985130071640015,0.7513555288314819,0.736228883266449,0.7333333492279053,0.7568289041519165,0.6333333253860474,0.7101449370384216
no_init_box_kenn_top_down_adapter_bert_ms,1,5lkyhhz2,0.7930706143379211,0.7827609181404114,0.31168830394744873,0.936046540737152,0.44859811663627625,0.07252096384763718,0.708027184009552,0.5444444417953491,0.8049721717834473,0.6968325972557068,0.08288110792636871,0.6724891066551208,0.8318690061569214,0.26,0.680783212184906,0.07252096384763718,0.7564398050308228,0.8049721717834473,0.7999999523162842,0.8771929740905762,0.708027184009552,0.84490567445755,0.624535322189331,0.680783212184906,0.7819148898124695,0.6405228972434998,0.699999988079071,0.52173912525177,0.78125,39,0.7777777910232544,0.7636364102363586,0.7301587462425232,0.8399999737739563,0.84490567445755,0.09176122397184372,1.0,0.7819148898124695,0.6486486196517944,0.6914498209953308,0.4363636374473572,0.8244556784629822,0.6562913656234741,0.8333333134651184,0.8120065927505493,0.701067328453064,0.6778474450111389,0.08709540218114853,0.07252096384763718,0.01,0.5208333134651184,0.8120065927505493,0.8318690061569214,0.7375425100326538,0.7819148898124695,0.7930706143379211,0.8244556784629822,0.6410256624221802,0.9333333373069764,0.5985130071640015,0.7375425100326538,0.7149903774261475,0.800000011920929,0.6348142623901367,0.699999988079071,0.6844444870948792
no_init_box_kenn_bottom_up_adapter_bert_ms,1,2ll6vlyz,0.7904055118560791,0.7112894058227539,0.3492063581943512,0.936046540737152,0.4731183350086212,0.06561420857906342,0.7091789245605469,0.6584158539772034,0.8031667470932007,0.7860962748527527,0.07942771911621094,0.6419214010238647,0.8404858112335205,0.26,0.672692060470581,0.06561420857906342,0.6951785087585449,0.8031667470932007,0.8125,0.8771929740905762,0.7091789245605469,0.8518863916397095,0.5985130071640015,0.672692060470581,0.707446813583374,0.6803069114685059,0.7647058963775635,0.5294117331504822,0.78125,43,0.7037037014961243,0.7755101919174194,0.7301587462425232,1.0,0.8518863916397095,0.09052787721157074,1.0,0.707446813583374,0.4864864945411682,0.6821560859680176,0.5806451439857483,0.8268095254898071,0.6376031041145325,0.7666666507720947,0.8146767616271973,0.7270559072494507,0.7710386514663696,0.0846153050661087,0.06561420857906342,0.01,0.7666666507720947,0.8146767616271973,0.8404858112335205,0.7498507499694824,0.707446813583374,0.7904055118560791,0.8268095254898071,0.7666666507720947,0.8666666746139526,0.5985130071640015,0.7498507499694824,0.7311460971832275,0.7333333492279053,0.7435373663902283,0.6333333253860474,0.706730842590332
no_init_box_kenn_hybrid_adapter_bert_ms,0,oth6d3ht,0.7898343801498413,0.699530839920044,0.8125,0.936046540737152,0.8387096524238586,0.06413418054580688,0.7134933471679688,0.8387096524238586,0.8027521371841431,0.8899082541465759,0.07868771255016327,0.635371208190918,0.847946047782898,0.26,0.671360969543457,0.06413418054580688,0.685099720954895,0.8027521371841431,0.7540983557701111,0.8965517282485962,0.7134933471679688,0.856507420539856,0.5929368138313293,0.671360969543457,0.6914893388748169,0.7558139562606812,0.7419354915618896,0.4482758343219757,0.8125,31,0.6878306865692139,0.7234042882919312,0.7301587462425232,1.0,0.856507420539856,0.09225455671548843,1.0,0.6914893388748169,0.3513513505458832,0.6951673030853271,0.6190476417541504,0.8287590146064758,0.6399953365325928,0.8333333134651184,0.8178592324256897,0.7651646733283997,0.8574838638305664,0.08493276685476303,0.06413418054580688,0.01,0.8928571343421936,0.8178592324256897,0.847946047782898,0.7612680792808533,0.6914893388748169,0.7898343801498413,0.8287590146064758,0.8620689511299133,0.7666666507720947,0.5985130071640015,0.7612680792808533,0.7616598010063171,0.8666666746139526,0.8443900346755981,0.5666666626930237,0.7414012551307678
no_init_box_kenn_top_down_adapter_bert_ms,0,q4jwgk19,0.7936417460441589,0.8001314401626587,0.5531914830207825,0.936046540737152,0.6753246188163757,0.07375431060791016,0.7117204666137695,0.6521739363670349,0.8053229451179504,0.7736318111419678,0.08353888988494873,0.6790392994880676,0.8391706943511963,0.26,0.6827496886253357,0.07387743890285492,0.7713288068771362,0.8053229451179504,0.7761194705963135,0.8965517282485962,0.7117204666137695,0.8497074842453003,0.629491925239563,0.6827496886253357,0.7952127456665039,0.7159904837608337,0.7027027010917664,0.5822784900665283,0.8125,39,0.7936508059501648,0.7666666507720947,0.7301587462425232,0.7666666507720947,0.8497074842453003,0.09324124455451964,1.0,0.7978723049163818,0.6216216087341309,0.702602207660675,0.5476190447807312,0.8269200325012207,0.664040744304657,0.8666666746139526,0.8157714605331421,0.7382816672325134,0.7211276292800903,0.08812381327152252,0.07400098443031311,0.01,0.5416666865348816,0.8157714605331421,0.8391706943511963,0.7432587742805481,0.7965402603149414,0.7936417460441589,0.8269200325012207,0.6666666865348816,0.8666666746139526,0.5985130071640015,0.7432587742805481,0.7453839182853699,0.8666666746139526,0.6853077411651611,0.7666666507720947,0.7232558727264404
no_init_box_kenn_bottom_up_adapter_bert_ms,0,ud8qnnhz,0.7892632484436035,0.6839152574539185,0.8064516186714172,0.936046540737152,0.819672167301178,0.06265416741371155,0.7122153043746948,0.8355262875556946,0.8023409843444824,0.8888888955116272,0.0779477059841156,0.6288209557533264,0.8478527665138245,0.26,0.6695931553840637,0.06265416741371155,0.6717149019241333,0.8023409843444824,0.7333333492279053,0.8965517282485962,0.7122153043746948,0.8564662933349609,0.5873606204986572,0.6695931553840637,0.6755319237709045,0.7448680400848389,0.7333333492279053,0.42105263471603394,0.8125,31,0.6719576716423035,0.7234042882919312,0.7301587462425232,1.0,0.8564662933349609,0.09225455671548843,1.0,0.6755319237709045,0.3243243098258972,0.6951673030853271,0.6000000238418579,0.8285205960273743,0.6367329359054565,0.8333333134651184,0.8175095915794373,0.7534698843955994,0.8526698350906372,0.08449983596801758,0.06265416741371155,0.01,0.8928571343421936,0.8175095915794373,0.8478527665138245,0.7606322765350342,0.6755319237709045,0.7892632484436035,0.8285205960273743,0.8620689511299133,0.7333333492279053,0.5985130071640015,0.7606322765350342,0.7514520883560181,0.8333333134651184,0.8387736678123474,0.5666666626930237,0.7365729212760925
smart_init_box_adapter_bert_ms,2,zmiei7qs,0.8001142144203186,0.974324345588684,0.03994490206241608,0.936046540737152,0.07671957463026047,0.0902812033891678,0.6860942244529724,0.0422891303896904,0.8097724318504333,0.07627680897712708,0.09184344112873076,0.7532750964164734,0.4624271094799042,0.26,0.7024696469306946,0.025915352627635,0.92063707113266,0.8097724318504333,0.0788436233997345,0.08602150529623032,0.6860942244529724,0.6658877730369568,0.6920693516731262,0.7024696469306946,0.9734042882919312,0.08105727285146713,0.04103967174887657,0.09126467257738112,1.0,11,0.9735449552536012,0.07682119309902191,0.7301587462425232,0.03999999910593033,0.6658877730369568,0.024913663044571877,0.04494382068514824,0.1631205677986145,0.945945918560028,0.18773235380649567,0.04794520512223244,0.7308152914047241,0.2953479290008545,0.9666666388511658,0.5861107110977173,0.08106878399848938,0.16997288167476654,0.03919516131281853,0.015129090286791325,0.01,0.03988995775580406,0.5861107110977173,0.4624271094799042,0.6704647541046143,0.27941712737083435,0.8001142144203186,0.7308152914047241,0.07661822438240051,1.0,0.5985130071640015,0.6704647541046143,0.2869648039340973,0.9666666388511658,0.04229392856359482,0.9666666388511658,0.1385263949632645
