name,instance,run_id,test_incremental_EVENT/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_example/f1,test_incremental_EVENT-HURRICANE/macro_types/f1,test/macro_types/recall,test_incremental/macro_example/f1,test_incremental/macro_example/recall,test_incremental_EVENT/macro_types/precision,test/macro_example/recall,test_incremental_EVENT-WAR/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_pretraining/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/precision,test_incremental/macro_types/precision,test_incremental_only/micro/f1,test_incremental/micro/f1,test_pretraining/micro/f1,test/macro_example/precision,test_pretraining/micro/recall,epoch,test_incremental_EVENT-WAR/macro_types/f1,test_incremental_EVENT-HURRICANE/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_pretraining/macro_example/precision,threshold_incremental,test_incremental_only/macro_types/precision,test_incremental_EVENT-HURRICANE/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_example/recall,test/macro_example/f1,test_incremental_only/macro_example/f1,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_types/recall,test_incremental/macro_types/f1,test_incremental/macro_example_exclusive/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/recall,test/micro/precision,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_types/f1,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_EVENT/macro_types/recall,test_incremental_EVENT-WAR/macro_types/recall,test/macro_types/precision,test/micro/f1,test/micro/recall,test_incremental_only/macro_types/f1,threshold_pretraining,test_incremental_only/micro/recall
box_adapter_bert_ms,2,rcowlymc,0.8186047077178955,0.9545454382896424,0.8175151348114014,0.3052631616592407,0.885923445224762,0.06007974222302437,0.08435438573360443,0.7272727489471436,0.8561105728149414,0.1840490847826004,0.6555555462837219,0.6870443224906921,0.8561105728149414,0.02780395746231079,0.36419060826301575,0.30809399485588074,0.49163877964019775,0.7661038041114807,0.7822494506835938,0.8657243847846985,15,0.3108808100223541,0.18125000596046448,0.49166667461395264,0.7822494506835938,0.02,0.18264955282211304,0.9666666388511658,0.7609542012214661,0.05560791492462158,0.8175151348114014,0.037071943283081055,0.8186973333358765,0.3310810923576355,0.9833333492279052,0.5292003750801086,0.678134024143219,0.18266253173351288,0.9521276950836182,0.6870443224906921,0.885923445224762,0.5265957117080688,0.9833333492279052,0.8186973333358765,0.967612326145172,0.0466541051864624,0.936170220375061,1.0,0.7609542012214661,0.7661038041114807,0.8657243847846985,0.30807551741600037,0.175,0.9833333492279052
box_adapter_bert_ms,1,1pbnd10z,0.8186047077178955,0.6298701167106628,0.6721161007881165,0.013015184551477432,0.7933309078216553,0.06712417304515839,0.060791704803705215,0.7272727489471436,0.8325479030609131,0.01604278013110161,0.15000000596046448,0.5187637805938721,0.8325479030609131,0.008482563309371471,0.2500920295715332,0.020809249952435493,0.1796296238899231,0.6385869383811951,0.5635249614715576,0.8303886651992798,16,0.029702967032790184,0.0069605568423867226,0.15000000596046448,0.5635249614715576,0.97,0.011501668021082878,0.10000000149011612,0.7419377565383911,0.008482563309371471,0.6721161007881165,0.008482563309371471,0.7667741179466248,0.10475161671638487,0.15000000596046448,0.3112657368183136,0.7576462626457214,0.011180124245584013,0.686170220375061,0.5187637805938721,0.7933309078216553,0.8457447290420532,0.15000000596046448,0.7667741179466248,0.4120567440986634,0.07492931187152863,0.936170220375061,0.20000000298023224,0.7419377565383911,0.6385869383811951,0.8303886651992798,0.021365106105804443,0.175,0.15000000596046448
box_adapter_bert_ms,0,2nrkdl8o,0.8186047077178955,0.9350649118423462,0.8216321468353271,0.3708609342575073,0.8803679347038269,0.05958840996026993,0.08294062316417694,0.7272727489471436,0.8546968102455139,0.22580644488334656,0.6222222447395325,0.7167155146598816,0.8546968102455139,0.0263901986181736,0.39482805132865906,0.36721310019493103,0.5538461804389954,0.7833333611488342,0.7910305261611938,0.8636042475700378,16,0.3636363744735718,0.23140496015548703,0.46666669845581055,0.7910305261611938,0.16,0.2286057025194168,0.9333333373069764,0.766060471534729,0.0527803972363472,0.8216321468353271,0.035186927765607834,0.8192461729049683,0.39344263076782227,0.9333333373069764,0.5550788044929504,0.6725882887840271,0.22857142984867096,0.936170220375061,0.7167155146598816,0.8803679347038269,0.5248227119445801,0.9333333969116212,0.8192461729049683,0.934278964996338,0.04649701714515686,0.936170220375061,0.9333333373069764,0.766060471534729,0.7833333611488342,0.8636042475700378,0.3672573268413544,0.175,0.9333333373069764
classifier_adapter_bert_ms,2,2p462vgk,0.8235293626785278,0.7922077775001526,0.8186818361282349,0.27272728085517883,0.8416786789894104,0.06782685220241547,0.0730443000793457,0.7165354490280151,0.8474709391593933,0.23456789553165436,0.4231746196746826,0.7403551936149597,0.8474709391593933,0.020263900980353355,0.3859999775886536,0.3115577697753906,0.5809524059295654,0.7933071255683899,0.7917844653129578,0.8544169664382935,12,0.3423423171043396,0.2068965584039688,0.35833337903022766,0.7917844653129578,0.42,0.2207322269678116,0.4000000059604645,0.7469102144241333,0.029217718169093132,0.8186818361282349,0.023930702358484268,0.7914676666259766,0.45864662528038025,0.5166666507720947,0.4890441596508026,0.7655774354934692,0.22302158176898956,0.8244681358337402,0.7403551936149597,0.8416786789894104,0.7145389914512634,0.5166667103767395,0.7914676666259766,0.6671395301818848,0.06330506503582001,0.9680851101875304,0.6333333253860474,0.7469102144241333,0.7933071255683899,0.8544169664382935,0.3093169331550598,0.25,0.5166666507720947
classifier_adapter_bert_ms,1,3ddnroxn,0.8235293626785278,0.9415584206581116,0.8202072978019714,0.49541282653808594,0.8842712640762329,0.06642329692840576,0.0838831290602684,0.7165354490280151,0.8583097457885742,0.2967033088207245,0.6763007044792175,0.7403846383094788,0.8583097457885742,0.030631478875875473,0.4516702890396118,0.469565212726593,0.6430155038833618,0.8002598285675049,0.7853440046310425,0.8706713914871216,12,0.4462810158729553,0.3417721390724182,0.5416667461395264,0.7853440046310425,0.2,0.31923770904541016,0.8999999761581421,0.7578552961349487,0.05089538171887398,0.8202072978019714,0.03824508562684059,0.8161973357200623,0.4882154762744904,0.8999999761581421,0.6064675450325012,0.7497352957725525,0.3176470696926117,0.9468085169792176,0.7403846383094788,0.8842712640762329,0.6205673813819885,0.9000000953674316,0.8161973357200623,0.9226951003074646,0.054979585111141205,0.9680851101875304,0.8999999761581421,0.7578552961349487,0.8002598285675049,0.8706713914871216,0.4713009595870972,0.25,0.8999999761581421
classifier_adapter_bert_ms,0,1ji23q25,0.8235293626785278,0.8246753215789795,0.8204526901245117,0.3829787075519562,0.8509379625320435,0.06910300254821777,0.07540056109428406,0.7165354490280151,0.8498271703720093,0.2647058963775635,0.5142857432365417,0.7466174364089966,0.8498271703720093,0.02544768899679184,0.42083048820495605,0.3750000298023224,0.6150121092796326,0.7984215021133423,0.7930411100387573,0.8579505085945129,12,0.36734697222709656,0.28125,0.4500000476837158,0.7930411100387573,0.34,0.27297794818878174,0.6000000238418579,0.7527152895927429,0.033930256962776184,0.8204526901245117,0.029083075001835823,0.7988186478614807,0.4903475046157837,0.6000000238418579,0.5319201350212097,0.779981791973114,0.27272728085517883,0.8510638475418091,0.7466174364089966,0.8509379625320435,0.7198581695556641,0.6000000238418579,0.7988186478614807,0.7226951122283936,0.06377631425857544,0.9680851101875304,0.6000000238418579,0.7527152895927429,0.7984215021133423,0.8579505085945129,0.3752368986606598,0.25,0.6000000238418579
