name,instance,run_id,test/macro_types/f1,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_broadcast/macro_types/f1,test_pretraining/micro/f1,test/macro_example/precision,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,threshold_incremental,threshold_pretraining,test_incremental_broadcast-tv_channel/macro_types/f1,test_pretraining/macro_types/f1,test_incremental_only/macro_types/f1,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental/micro/precision,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_broadcast/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_broadcast-tv_channel/macro_types/recall,test/micro/recall,test_pretraining/macro_example/f1,test_pretraining/micro/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_broadcast/macro_types/precision,test_incremental_broadcast-tv_channel/macro_types/precision,test/micro/precision,test/macro_types/precision,test_incremental/macro_example/recall,test/macro_example/recall,test_incremental/micro/recall,test_incremental/macro_example/f1,test/macro_example/f1,test_incremental_only/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,epoch,test/micro/f1,test_pretraining/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test/macro_types/recall
kenn_horizontal_adapter_bert_ms,2,ag73wwho,0.874650776386261,0.065476194024086,0.9333333373069764,0.7333333492279053,0.9333333373069764,0.6808511018753052,0.7974327206611633,0.7673277854919434,0.9333333373069764,0.8629761934280396,0.9333333373069764,0.99,0.375,0.0431765653192997,0.874650776386261,0.0431765653192997,0.0431765653192997,0.5814148783683777,0.034267913550138474,0.00974251888692379,0.01009046658873558,0.48163795471191406,0.8339870572090149,0.5333333611488342,0.9666666984558104,0.9333333373069764,0.8991228342056274,0.8345437049865723,0.8991228342056274,0.0220994483679533,0.9146659970283508,0.00974251888692379,0.73333340883255,0.9411764740943908,0.0220994483679533,0.7164074778556824,0.8866456151008606,0.007654836401343346,0.9146659970283508,0.7333333492279053,0.008705499581992626,0.8345437049865723,0.00974251888692379,0.8866456151008606,0.9333333373069764,45,0.7974327206611633,0.7164074778556824,0.7673277854919434,0.0220994483679533,0.8629761934280396
kenn_horizontal_adapter_bert_ms,1,mqg8plfd,0.8750008940696716,0.06701415032148361,0.9666666984558104,0.75,0.9666666388511658,0.6808511018753052,0.797704815864563,0.7674843668937683,0.9666666388511658,0.8636428713798523,0.9666666984558104,0.99,0.375,0.04475308954715729,0.8750008940696716,0.04475308954715729,0.04475308954715729,0.5868815183639526,0.03507404401898384,0.01009046658873558,0.01009046658873558,0.4820416271686554,0.8446602821350098,0.5333333611488342,0.9666666984558104,0.9666666388511658,0.8993421196937561,0.8346845507621765,0.8993421196937561,0.022906793281435966,0.9147819876670836,0.01009046658873558,0.7500000596046448,0.9411764740943908,0.022906793281435966,0.7167074680328369,0.8866617679595947,0.007828810252249241,0.9147819876670836,0.75,0.008816912770271301,0.8346845507621765,0.01009046658873558,0.8866617679595947,0.9666666984558104,32,0.797704815864563,0.7167074680328369,0.7674843668937683,0.022906793281435966,0.8636428713798523
kenn_horizontal_adapter_bert_ms,0,3mhtfa83,0.876990795135498,0.3948497772216797,1.0,0.7666666507720947,1.0,0.6808511018753052,0.894461452960968,0.9155300855636596,1.0,0.864309549331665,1.0,0.6,0.375,0.32258063554763794,0.876990795135498,0.32258063554763794,0.32258063554763794,0.6517165303230286,0.2658959627151489,0.010438414290547373,0.010438414290547373,0.5667420625686646,0.8679245710372925,0.5333333611488342,1.0,1.0,0.8995614051818848,0.9152138829231262,0.8995614051818848,0.1923076957464218,0.914897918701172,0.010438414290547373,0.7666667103767395,0.9411764740943908,0.1923076957464218,0.88941890001297,0.8900498151779175,0.008002784103155136,0.914897918701172,0.7666666507720947,0.009059756062924862,0.9152138829231262,0.010438414290547373,0.8900498151779175,1.0,44,0.894461452960968,0.88941890001297,0.9155300855636596,0.1923076957464218,0.864309549331665
kenn_hybrid_adapter_bert_ms,2,3a42qrwi,0.8750011324882507,0.0670640841126442,0.9666666984558104,0.75,0.9666666388511658,0.6808511018753052,0.797782301902771,0.7675539255142212,0.9666666388511658,0.8636428713798523,0.9666666984558104,0.99,0.375,0.04478764906525612,0.8750011324882507,0.04478764906525612,0.04478764906525612,0.5868882536888123,0.035101402550935745,0.01009046658873558,0.01009046658873558,0.48205068707466125,0.8446602821350098,0.5333333611488342,0.9666666984558104,0.9666666388511658,0.8993421196937561,0.8347257375717163,0.8993421196937561,0.02292490191757679,0.9147819876670836,0.01009046658873558,0.7500000596046448,0.9411764740943908,0.02292490191757679,0.71683269739151,0.8866621255874634,0.007828810252249241,0.9147819876670836,0.75,0.008816912770271301,0.8347257375717163,0.01009046658873558,0.8866621255874634,0.9666666984558104,60,0.797782301902771,0.71683269739151,0.7675539255142212,0.02292490191757679,0.8636428713798523
kenn_top_down_adapter_bert_ms,2,3unrnyyw,0.8750005960464478,0.06691449135541916,0.9666666984558104,0.75,0.9666666388511658,0.6808511018753052,0.7975496053695679,0.7673277854919434,0.9666666388511658,0.8636428713798523,0.9666666984558104,0.99,0.375,0.04468412697315216,0.8750005960464478,0.04468412697315216,0.04468412697315216,0.5868681073188782,0.03501945361495018,0.01009046658873558,0.01009046658873558,0.4820235669612885,0.8446602821350098,0.5333333611488342,0.9666666984558104,0.9666666388511658,0.8993421196937561,0.8345918655395508,0.8993421196937561,0.022870661690831184,0.9147819876670836,0.01009046658873558,0.7500000596046448,0.9411764740943908,0.022870661690831184,0.7164570093154907,0.8866610527038574,0.007828810252249241,0.9147819876670836,0.75,0.008816912770271301,0.8345918655395508,0.01009046658873558,0.8866610527038574,0.9666666984558104,33,0.7975496053695679,0.7164570093154907,0.7673277854919434,0.022870661690831184,0.8636428713798523
kenn_bottom_up_adapter_bert_ms,2,2ioosfyy,0.874651312828064,0.06562266498804092,0.9333333969116212,0.7333333492279053,0.9333333373069764,0.6808511018753052,0.7976654171943665,0.7675249576568604,0.9333333373069764,0.8629761934280396,0.9333333969116212,0.99,0.375,0.04327666386961937,0.874651312828064,0.04327666386961937,0.04327666386961937,0.5814339518547058,0.03434816375374794,0.00974251888692379,0.00974251888692379,0.4816641807556152,0.8213333487510681,0.5333333611488342,0.9333333969116212,0.9333333373069764,0.8991228342056274,0.8346795439720154,0.8991228342056274,0.022151898592710495,0.914712369441986,0.00974251888692379,0.7333333492279053,0.9411764740943908,0.022151898592710495,0.7167832255363464,0.8866466283798218,0.007654836401343346,0.914712369441986,0.7333333492279053,0.008573416620492935,0.8346795439720154,0.00974251888692379,0.8866466283798218,0.9333333969116212,58,0.7976654171943665,0.7167832255363464,0.7675249576568604,0.022151898592710495,0.8629761934280396
kenn_hybrid_adapter_bert_ms,1,3oq192i9,0.8750011324882507,0.0670640841126442,0.9666666984558104,0.75,0.9666666388511658,0.6808511018753052,0.797782301902771,0.7675539255142212,0.9666666388511658,0.8636428713798523,0.9666666984558104,0.99,0.375,0.04478764906525612,0.8750011324882507,0.04478764906525612,0.04478764906525612,0.5868882536888123,0.035101402550935745,0.01009046658873558,0.01009046658873558,0.48205068707466125,0.8446602821350098,0.5333333611488342,0.9666666984558104,0.9666666388511658,0.8993421196937561,0.8347257375717163,0.8993421196937561,0.02292490191757679,0.9147819876670836,0.01009046658873558,0.7500000596046448,0.9411764740943908,0.02292490191757679,0.71683269739151,0.8866621255874634,0.007828810252249241,0.9147819876670836,0.75,0.008816912770271301,0.8347257375717163,0.01009046658873558,0.8866621255874634,0.9666666984558104,33,0.797782301902771,0.71683269739151,0.7675539255142212,0.02292490191757679,0.8636428713798523
kenn_top_down_adapter_bert_ms,1,2rq91vb9,0.8750011324882507,0.0670640841126442,0.9666666984558104,0.75,0.9666666388511658,0.6808511018753052,0.797782301902771,0.7675539255142212,0.9666666388511658,0.8636428713798523,0.9666666984558104,0.99,0.375,0.04478764906525612,0.8750011324882507,0.04478764906525612,0.04478764906525612,0.5868882536888123,0.035101402550935745,0.01009046658873558,0.01009046658873558,0.48205068707466125,0.8446602821350098,0.5333333611488342,0.9666666984558104,0.9666666388511658,0.8993421196937561,0.8347257375717163,0.8993421196937561,0.02292490191757679,0.9147819876670836,0.01009046658873558,0.7500000596046448,0.9411764740943908,0.02292490191757679,0.71683269739151,0.8866621255874634,0.007828810252249241,0.9147819876670836,0.75,0.008816912770271301,0.8347257375717163,0.01009046658873558,0.8866621255874634,0.9666666984558104,31,0.797782301902771,0.71683269739151,0.7675539255142212,0.02292490191757679,0.8636428713798523
kenn_bottom_up_adapter_bert_ms,1,166bm4d2,0.8750011324882507,0.0670640841126442,0.9666666984558104,0.75,0.9666666388511658,0.6808511018753052,0.797782301902771,0.7675539255142212,0.9666666388511658,0.8636428713798523,0.9666666984558104,0.99,0.375,0.04478764906525612,0.8750011324882507,0.04478764906525612,0.04478764906525612,0.5868882536888123,0.035101402550935745,0.01009046658873558,0.01009046658873558,0.48205068707466125,0.8446602821350098,0.5333333611488342,0.9666666984558104,0.9666666388511658,0.8993421196937561,0.8347257375717163,0.8993421196937561,0.02292490191757679,0.9147819876670836,0.01009046658873558,0.7500000596046448,0.9411764740943908,0.02292490191757679,0.71683269739151,0.8866621255874634,0.007828810252249241,0.9147819876670836,0.75,0.008816912770271301,0.8347257375717163,0.01009046658873558,0.8866621255874634,0.9666666984558104,34,0.797782301902771,0.71683269739151,0.7675539255142212,0.02292490191757679,0.8636428713798523
kenn_hybrid_adapter_bert_ms,0,3pa4z7q5,0.8754314184188843,0.17681728303432465,0.9666666984558104,0.75,0.9666666388511658,0.6808511018753052,0.8681201934814453,0.88438880443573,0.9666666388511658,0.8636428713798523,0.9666666984558104,0.9,0.375,0.12554112076759338,0.8754314184188843,0.12554112076759338,0.12554112076759338,0.602980375289917,0.10022271424531937,0.01009046658873558,0.01009046658873558,0.5041530728340149,0.8446602821350098,0.5333333611488342,0.9666666984558104,0.9666666388511658,0.8993421196937561,0.8993287086486816,0.8993421196937561,0.06712962687015533,0.9147819876670836,0.01009046658873558,0.7500000596046448,0.9411764740943908,0.06712962687015533,0.8389934301376343,0.887546181678772,0.007828810252249241,0.9147819876670836,0.75,0.008816912770271301,0.8993287086486816,0.01009046658873558,0.887546181678772,0.9666666984558104,45,0.8681201934814453,0.8389934301376343,0.88438880443573,0.06712962687015533,0.8636428713798523
