name,test/macro_example/f1/mean,threshold_pretraining/mean,test_incremental/micro/f1/mean,test/macro_example/precision/mean,test_incremental/macro_types/recall/mean,test_incremental/micro/recall/mean,test_pretraining/micro/recall/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_broadcast/macro_types/f1/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_broadcast/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_broadcast/macro_types/recall/mean,test/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_types/f1/mean,threshold_incremental/mean,test_incremental_only/macro_types/recall/mean,test/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_broadcast-tv_channel/macro_types/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_broadcast-tv_channel/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental/macro_example/f1/mean,epoch/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_broadcast-tv_channel/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_pretraining/micro/f1/mean,test/macro_types/precision/mean,test_incremental/micro/precision/mean,test/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test/macro_example/f1/std,threshold_pretraining/std,test_incremental/micro/f1/std,test/macro_example/precision/std,test_incremental/macro_types/recall/std,test_incremental/micro/recall/std,test_pretraining/micro/recall/std,test_pretraining/micro/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_broadcast/macro_types/f1/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_broadcast/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_broadcast/macro_types/recall/std,test/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/precision/std,test_incremental/macro_types/f1/std,threshold_incremental/std,test_incremental_only/macro_types/recall/std,test/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental_broadcast-tv_channel/macro_types/precision/std,test_incremental/macro_types/precision/std,test_incremental_broadcast-tv_channel/macro_types/f1/std,test/macro_types/recall/std,test_incremental/macro_example/f1/std,epoch/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_broadcast-tv_channel/macro_types/recall/std,test_incremental_only/micro/recall/std,test_pretraining/micro/f1/std,test/macro_types/precision/std,test_incremental/micro/precision/std,test/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test/macro_example/recall/std,test_incremental_only/macro_example/recall/std
box_adapter_bert_ms,0.6908550262451172,0.25,0.021606050431728363,0.5578172206878662,0.5,0.5,0.8813596367835999,0.5640701651573181,1.0,0.5640701651573181,0.02184200845658779,0.0052192071452736855,0.010438414290547373,0.0,0.02184200845658779,0.010438414290547373,1.0,0.0,0.6666666865348816,0.010438414290547373,0.0,0.6878904104232788,0.6908550262451172,0.01104159001260996,0.010921004228293896,0.9899999999999999,1.0,0.8813596367835999,0.8454490303993225,0.01104159001260996,0.005520795006304979,0.02184200845658779,0.8198940753936768,0.006958942394703627,28.333333333333332,0.5578172206878662,0.5,0.9072257280349731,0.8726484179496765,0.8198940753936768,0.01104159001260996,1.0,1.0,1.0,0.6878904104232788,0.8726484179496765,0.01104159001260996,0.8454490303993225,1.0,0.9072257280349731,0.010438414290547373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.131601439446885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classifier_adapter_bert_ms,0.8346914251645406,0.375,0.06704743951559067,0.7674959301948547,0.75,0.75,0.8993421196937561,0.7167909542719523,0.9666666984558104,0.7167909542719523,0.04477612922588984,0.007828810252249241,0.01009046658873558,0.6808511018753052,0.04477612922588984,0.01009046658873558,0.9666666984558104,0.9411764740943908,0.8446602821350098,0.01009046658873558,0.5333333611488342,0.7977564732233683,0.8346914251645406,0.02291886570552985,0.5868860085805258,0.9899999999999999,0.9666666388511658,0.8993421196937561,0.875001053015391,0.02291886570552985,0.4820476671059926,0.04477612922588984,0.8636428713798523,0.008816912770271301,6.666666666666667,0.7674959301948547,0.7500000596046448,0.9147819876670836,0.8866620063781738,0.8636428713798523,0.02291886570552985,0.9666666984558104,0.9666666388511658,0.9666666388511658,0.7977564732233683,0.8866620063781738,0.03509228304028511,0.875001053015391,0.9666666984558104,0.9147819876670836,0.01009046658873558,5.943083255829509e-05,0.0,2.8829287768221437e-05,0.00010045083974388347,0.0,0.0,0.0,7.230120394036401e-05,0.0,7.230120394036401e-05,1.9952947077424424e-05,0.0,0.0,0.0,1.9952947077424424e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.473658501783895e-05,5.943083255829509e-05,1.0455025950561104e-05,3.888641620772677e-06,0.0,0.0,0.0,1.3765103083210753e-07,1.0455025950561104e-05,5.230739171319623e-06,1.9952947077424424e-05,0.0,0.0,1.1547005383792517,0.00010045083974388347,0.0,0.0,2.0647654623614278e-07,0.0,1.0455025950561104e-05,0.0,0.0,0.0,4.473658501783895e-05,2.0647654623614278e-07,1.5795455787064924e-05,1.3765103083210753e-07,0.0,0.0,0.0
kenn_bottom_up_adapter_bert_ms,0.8430191278457642,0.375,0.073291411002477,0.7819396058718363,0.75,0.75,0.8993421196937561,0.7296890219052633,0.9666666984558104,0.7296890219052633,0.04914165660738945,0.007828810252249241,0.01009046658873558,0.6808511018753052,0.04914165660738945,0.01009046658873558,0.9666666984558104,0.9411764740943908,0.8446602821350098,0.01009046658873558,0.5333333611488342,0.8055575092633566,0.8430191278457642,0.025222362329562504,0.5877372026443481,0.9866666666666667,0.9666666388511658,0.8993421196937561,0.8750234842300415,0.025222362329562504,0.48319941759109497,0.04914165660738945,0.8636428713798523,0.008816912770271301,20.333333333333332,0.7819396058718363,0.7500000596046448,0.9147819876670836,0.8867080807685852,0.8636428713798523,0.025222362329562504,0.9666666984558104,0.9666666388511658,0.9666666388511658,0.8055575092633566,0.8867080807685852,0.03855865076184273,0.8750234842300415,0.9666666984558104,0.9147819876670836,0.01009046658873558,0.014400256870044498,0.0,0.010829319280694472,0.02497699302750351,0.0,0.0,0.0,0.02237634666835324,0.0,0.02237634666835324,0.007571311418672292,0.0,0.0,0.0,0.007571311418672292,0.0,0.0,0.0,0.0,0.0,0.0,0.013534214518407766,0.014400256870044498,0.003995010961258228,0.001476259527634521,0.005773502691896279,0.0,0.0,3.89210115261336e-05,0.003995010961258228,0.0019975108639428986,0.007571311418672292,0.0,0.0,8.386497083606082,0.02497699302750351,0.0,0.0,7.99066234673095e-05,0.0,0.003995010961258228,0.0,0.0,0.0,0.013534214518407766,7.99066234673095e-05,0.0060118383021884785,3.89210115261336e-05,0.0,0.0,0.0
kenn_horizontal_adapter_bert_ms,0.8346982796986898,0.375,0.06703079491853714,0.7675075531005859,0.75,0.75,0.8993421196937561,0.7167492111523946,0.9666666984558104,0.7167492111523946,0.04476460938652357,0.007828810252249241,0.01009046658873558,0.6808511018753052,0.04476460938652357,0.01009046658873558,0.9666666984558104,0.9411764740943908,0.8446602821350098,0.01009046658873558,0.5333333611488342,0.7977306445439657,0.8346982796986898,0.022912829493482906,0.5868837634722391,0.9899999999999999,0.9666666388511658,0.8993421196937561,0.8750009735425314,0.022912829493482906,0.48204464713732403,0.04476460938652357,0.8636428713798523,0.008816912770271301,21.0,0.7675075531005859,0.7500000596046448,0.9147819876670836,0.8866618871688843,0.8636428713798523,0.022912829493482906,0.9666666984558104,0.9666666388511658,0.9666666388511658,0.7977306445439657,0.8866618871688843,0.035083163529634476,0.8750009735425314,0.9666666984558104,0.9147819876670836,0.01009046658873558,2.377921557487046e-05,0.0,2.8829287768221437e-05,4.0159688242929776e-05,0.0,0.0,0.0,7.230120394036401e-05,0.0,7.230120394036401e-05,1.9952947077424424e-05,0.0,0.0,0.0,1.9952947077424424e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.473658501783895e-05,2.377921557487046e-05,1.0455025950561104e-05,3.888641620772677e-06,0.0,0.0,0.0,1.3765103083210753e-07,1.0455025950561104e-05,5.230739171319623e-06,1.9952947077424424e-05,0.0,0.0,7.810249675906654,4.0159688242929776e-05,0.0,0.0,2.0647654623614278e-07,0.0,1.0455025950561104e-05,0.0,0.0,0.0,4.473658501783895e-05,2.0647654623614278e-07,1.5795455787064924e-05,1.3765103083210753e-07,0.0,0.0,0.0
kenn_hybrid_adapter_bert_ms,0.8347257375717163,0.375,0.0670640841126442,0.7675539255142212,0.75,0.75,0.8993421196937561,0.71683269739151,0.9666666984558104,0.71683269739151,0.04478764906525612,0.007828810252249241,0.01009046658873558,0.6808511018753052,0.04478764906525612,0.01009046658873558,0.9666666984558104,0.9411764740943908,0.8446602821350098,0.01009046658873558,0.5333333611488342,0.797782301902771,0.8347257375717163,0.02292490191757679,0.5868882536888123,0.9899999999999999,0.9666666388511658,0.8993421196937561,0.8750011324882507,0.02292490191757679,0.48205068707466125,0.04478764906525612,0.8636428713798523,0.008816912770271301,19.666666666666668,0.7675539255142212,0.7500000596046448,0.9147819876670836,0.8866621255874634,0.8636428713798523,0.02292490191757679,0.9666666984558104,0.9666666388511658,0.9666666388511658,0.797782301902771,0.8866621255874634,0.035101402550935745,0.8750011324882507,0.9666666984558104,0.9147819876670836,0.01009046658873558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.082903768654761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kenn_top_down_adapter_bert_ms,0.8205357988675436,0.375,0.06098026285568873,0.7445140282313029,0.7555555502573649,0.7555555502573649,0.8994152148564657,0.6962568958600363,0.9777777989705404,0.6962568958600363,0.04074095686276754,0.007886801535884539,0.010206449156006178,0.6808511018753052,0.04074095686276754,0.010206449156006178,0.9777777989705404,0.9411764740943908,0.8524150451024374,0.010206449156006178,0.5333333611488342,0.7845658659934998,0.8205357988675436,0.02081457773844401,0.587769091129303,0.6633333333333333,0.9777777592341105,0.8994152148564657,0.8750945727030436,0.02081457773844401,0.4809955259164174,0.04074095686276754,0.8638650973637899,0.008897860534489155,19.333333333333332,0.7445140282313029,0.7555556098620096,0.9148206313451132,0.8866199254989624,0.8638650973637899,0.02081457773844401,0.9777777989705404,0.9777777592341105,0.9777777592341105,0.7845658659934998,0.8866199254989624,0.03180315904319286,0.8750945727030436,0.9777777989705404,0.9148206313451132,0.010206449156006178,0.024461849791331015,0.0,0.010408205150931977,0.03971059066643859,0.009622495309758367,0.009622495309758367,0.00012660453560046957,0.0353134778469711,0.0192449906195168,0.0353134778469711,0.006919617333342362,0.00010044384965247431,0.0002008876993049501,0.0,0.006919617333342362,0.0002008876993049501,0.0192449906195168,0.0,0.013431643460238157,0.0002008876993049501,0.0,0.022690315679955216,0.024461849791331015,0.003608317203260551,0.0015431353462078468,0.5658032638058332,0.019245025032274446,0.00012660453560046957,0.0001623079933438608,0.003608317203260551,0.001804156988577837,0.006919617333342362,0.0003849066949418842,0.0001402056403844283,8.386497083606082,0.03971059066643859,0.009622495309758367,6.693281373833647e-05,7.216554675421502e-05,0.0003849066949418842,0.003608317203260551,0.0192449906195168,0.019245025032274446,0.019245025032274446,0.022690315679955216,7.216554675421502e-05,0.005641904261769326,0.0001623079933438608,0.0192449906195168,6.693281373833647e-05,0.0002008876993049501
