name,test_incremental/macro_types/f1/mean,test_incremental/micro/precision/mean,test/micro/f1/mean,threshold_incremental/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_religion-religion/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental_religion-religion/macro_types/f1/mean,threshold_pretraining/mean,test_pretraining/micro/f1/mean,test/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,epoch/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_pretraining/macro_example/precision/mean,test/micro/recall/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_religion-religion/macro_types/precision/mean,test/macro_example/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test/micro/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_types/f1/std,test_incremental/micro/precision/std,test/micro/f1/std,threshold_incremental/std,test_incremental/micro/f1/std,test_incremental/macro_example/f1/std,test_pretraining/macro_types/recall/std,test_incremental_religion-religion/macro_types/recall/std,test/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/recall/std,test_incremental_religion-religion/macro_types/f1/std,threshold_pretraining/std,test_pretraining/micro/f1/std,test/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,epoch/std,test_incremental/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example/precision/std,test_pretraining/macro_example/precision/std,test/micro/recall/std,test/macro_example/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_pretraining/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_religion-religion/macro_types/precision/std,test/macro_example/f1/std,test_pretraining/micro/recall/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_types/precision/std,test_incremental/macro_example/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test/micro/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.5640887121359507,1.0,0.8909751574198405,0.09000000000000001,0.5640887121359507,0.004407330183312297,0.8078107237815857,0.3958333333333333,0.9038100242614746,1.0,0.004407330183312297,0.5640887121359507,0.25,0.8909751574198405,0.8078107237815857,0.3958333333333333,52.666666666666664,1.0,0.8480130235354105,0.004407330183312297,0.9245187044143676,0.8771737615267435,0.9245187044143676,0.5640887121359507,0.3958333333333333,0.3958333333333333,0.9052178859710693,0.3958333333333333,1.0,0.914047102133433,0.8771737615267435,0.5640887121359507,0.914047102133433,0.8924275636672974,1.0,0.8480130235354105,0.3958333333333333,0.3958333333333333,0.3958333333333333,0.8924275636672974,0.004407330183312297,0.9038100242614746,0.004407330183312297,0.9052178859710693,0.3958333333333333,0.3958333333333333,0.004407330183312297,0.3958333333333333,0.08191607855412315,0.0,0.0003107128007617666,0.06999999999999999,0.08191607855412315,0.0008756476691512305,0.0015728865951778952,0.07864410870073699,0.0003418394504207387,0.0,0.0008756476691512305,0.08191607855412315,0.0,0.0003107128007617666,0.0015728865951778952,0.07864410870073699,9.073771725877465,0.0,0.000866848274303901,0.0008756476691512305,0.0,0.0005516432167965129,0.0,0.08191607855412315,0.07864410870073699,0.07864410870073699,5.3941413178217596e-05,0.07864410870073699,0.0,0.00017483782134334688,0.0005516432167965129,0.08191607855412315,0.00017483782134334688,0.0,0.0,0.000866848274303901,0.07864410870073699,0.07864410870073699,0.07864410870073699,0.0,0.0008756476691512305,0.0003418394504207387,0.0008756476691512305,5.3941413178217596e-05,0.07864410870073699,0.07864410870073699,0.0008756476691512305,0.07864410870073699
no_init_box_kenn_horizontal_adapter_bert_ms,0.48569416006406146,1.0,0.8906870484352112,0.07666666666666666,0.48569416006406146,0.0035954535317917666,0.8063523769378662,0.3229166666666667,0.9034910798072815,1.0,0.0035954535317917666,0.48569416006406146,0.25,0.8906870484352112,0.8063523769378662,0.3229166666666667,45.333333333333336,1.0,0.8472089568773905,0.0035954535317917666,0.9245187044143676,0.8766622742017111,0.9245187044143676,0.48569416006406146,0.3229166666666667,0.3229166666666667,0.9051678578058878,0.3229166666666667,1.0,0.9138839443524679,0.8766622742017111,0.48569416006406146,0.9138839443524679,0.8924275636672974,1.0,0.8472089568773905,0.3229166666666667,0.3229166666666667,0.3229166666666667,0.8924275636672974,0.0035954535317917666,0.9034910798072815,0.0035954535317917666,0.9051678578058878,0.3229166666666667,0.3229166666666667,0.0035954535317917666,0.3229166666666667,0.07611620448030178,0.0,0.00025719723307198285,0.030550504633038933,0.07611620448030178,0.0007243096701235308,0.00130104716741931,0.06505206248331666,0.00036218065335991004,0.0,0.0007243096701235308,0.07611620448030178,0.0,0.00025719723307198285,0.00130104716741931,0.06505206248331666,19.65536398374076,0.0,0.0007183817915600516,0.0007243096701235308,0.0,0.00045632166259016626,0.0,0.07611620448030178,0.06505206248331666,0.06505206248331666,4.4701112578324725e-05,0.06505206248331666,0.0,0.00018526600548588097,0.00045632166259016626,0.07611620448030178,0.00018526600548588097,0.0,0.0,0.0007183817915600516,0.06505206248331666,0.06505206248331666,0.06505206248331666,0.0,0.0007243096701235308,0.00036218065335991004,0.0007243096701235308,4.4701112578324725e-05,0.06505206248331666,0.06505206248331666,0.0007243096701235308,0.06505206248331666
no_init_box_kenn_hybrid_adapter_bert_ms,0.594427764415741,1.0,0.8910985787709554,0.20666666666666667,0.594427764415741,0.004755277341852586,0.8084357182184855,0.4270833333333333,0.903984010219574,1.0,0.004755277186632156,0.594427764415741,0.25,0.8910985787709554,0.8084357182184855,0.4270833333333333,52.666666666666664,1.0,0.8483570218086243,0.004755277186632156,0.9245187044143676,0.8773929476737976,0.9245187044143676,0.594427764415741,0.4270833333333333,0.4270833333333333,0.9052393237749735,0.4270833333333333,1.0,0.9141360521316528,0.8773929476737976,0.594427764415741,0.9141360521316528,0.8924275636672974,1.0,0.8483570218086243,0.4270833333333333,0.4270833333333333,0.4270833333333333,0.8924275636672974,0.004755277186632156,0.903984010219574,0.004755277186632156,0.9052393237749735,0.4270833333333333,0.4270833333333333,0.004755277341852586,0.4270833333333333,0.0922586095420231,0.0,0.0003770281067055918,0.18770544300401448,0.0922586095420231,0.0010629961109678483,0.0019093917118463487,0.09547032697824666,0.0004271136466342866,0.0,0.0010629958569288,0.0922586095420231,0.0,0.0003770281067055918,0.0019093917118463487,0.09547032697824666,9.073771725877465,0.0,0.0010509170543000252,0.0010629958569288,0.0,0.000669687606401146,0.0,0.0922586095420231,0.09547032697824666,0.09547032697824666,6.546322355026428e-05,0.09547032697824666,0.0,0.00021831822619903734,0.000669687606401146,0.0922586095420231,0.00021831822619903734,0.0,0.0,0.0010509170543000252,0.09547032697824666,0.09547032697824666,0.09547032697824666,0.0,0.0010629958569288,0.0004271136466342866,0.0010629958569288,6.546322355026428e-05,0.09547032697824666,0.09547032697824666,0.0010629961109678483,0.09547032697824666
no_init_box_kenn_top_down_adapter_bert_ms,0.8138095537821451,0.9742063482602438,0.892142136891683,0.043333333333333335,0.8138095537821451,0.007886801535884539,0.8140607277552286,0.7083333333333334,0.9053467710812887,0.9742063482602438,0.007886801535884539,0.8138095537821451,0.25,0.892142136891683,0.8140607277552286,0.7083333333333334,43.666666666666664,0.9742063482602438,0.8512077530225118,0.007886801535884539,0.9245766798655192,0.8793657620747884,0.9245766798655192,0.8138095537821451,0.7083333333333334,0.7083333333333334,0.9052956302960714,0.7083333333333334,0.9742063482602438,0.9148606260617574,0.8793657620747884,0.8138095537821451,0.9148606260617574,0.8919117252031962,0.9742063482602438,0.8512077530225118,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.8919117252031962,0.007886801535884539,0.9053467710812887,0.007886801535884539,0.9052956302960714,0.7083333333333334,0.7083333333333334,0.007886801535884539,0.7083333333333334,0.09024155366621882,0.022535353827277598,0.0005047814305502195,0.057735026918962574,0.09024155366621882,0.0015689803001536185,0.0028182861184733172,0.14091405477571545,0.0006744068574551041,0.022535353827277598,0.0015689803001536185,0.09024155366621882,0.0,0.0005047814305502195,0.0028182861184733172,0.14091405477571545,11.06044001535804,0.022535353827277598,0.0013756304459843591,0.0015689803001536185,5.7995329576253214e-05,0.0009884539358847879,5.7995329576253214e-05,0.09024155366621882,0.14091405477571545,0.14091405477571545,5.316551665803099e-05,0.14091405477571545,0.022535353827277598,0.0003724715204353408,0.0009884539358847879,0.09024155366621882,0.0003724715204353408,0.00045067621893776517,0.022535353827277598,0.0013756304459843591,0.14091405477571545,0.14091405477571545,0.14091405477571545,0.00045067621893776517,0.0015689803001536185,0.0006744068574551041,0.0015689803001536185,5.316551665803099e-05,0.14091405477571545,0.14091405477571545,0.0015689803001536185,0.14091405477571545
no_init_kenn_bottom_up_adapter_bert_ms,0.8263744910558065,0.965106745560964,0.9058534900347391,0.6,0.8263744910558065,0.008234748461594185,0.8591012159983317,0.7395833333333334,0.9134307901064554,0.965106745560964,0.008234748306373755,0.8263744910558065,0.375,0.9058534900347391,0.8591012159983317,0.7395833333333334,71.0,0.965106745560964,0.8816898266474406,0.008234748306373755,0.928351879119873,0.8977787693341573,0.928351879119873,0.8263744910558065,0.7395833333333334,0.7395833333333334,0.9140753547350565,0.7395833333333334,0.965106745560964,0.920830766359965,0.8977787693341573,0.8263744910558065,0.920830766359965,0.9055057565371195,0.965106745560964,0.8816898266474406,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.9055057565371195,0.008234748306373755,0.9134307901064554,0.008234748306373755,0.9140753547350565,0.7395833333333334,0.7395833333333334,0.008234748461594185,0.7395833333333334,0.11498258758947107,0.03449007699001653,0.0006141292901599907,0.29461839725312466,0.11498258758947107,0.002008873498003784,0.0036084185347805453,0.18042195912175804,0.000903988732179435,0.03449007699001653,0.002008873766853454,0.11498258758947107,0.0,0.0006141292901599907,0.0036084185347805453,0.18042195912175804,21.93171219946131,0.03449007699001653,0.001624557576587942,0.002008873766853454,0.0,0.0012655635773967232,0.0,0.11498258758947107,0.18042195912175804,0.18042195912175804,0.0001213945184191309,0.18042195912175804,0.03449007699001653,0.00045944472813313174,0.0012655635773967232,0.11498258758947107,0.00045944472813313174,0.0006898023273273106,0.03449007699001653,0.001624557576587942,0.18042195912175804,0.18042195912175804,0.18042195912175804,0.0006898023273273106,0.002008873766853454,0.000903988732179435,0.002008873766853454,0.0001213945184191309,0.18042195912175804,0.18042195912175804,0.002008873498003784,0.18042195912175804
no_init_kenn_horizontal_adapter_bert_ms,0.7867911458015442,0.9040948351224264,0.9055726528167725,0.5366666666666667,0.7867911458015442,0.008002783637493849,0.8586845596631368,0.71875,0.9133341511090597,0.9040948351224264,0.00800278348227342,0.7867911458015442,0.375,0.9055726528167725,0.8586845596631368,0.71875,71.66666666666667,0.9040948351224264,0.8808905283610026,0.00800278348227342,0.9280426104863485,0.8976326386133829,0.9280426104863485,0.7867911458015442,0.71875,0.71875,0.9136552413304647,0.71875,0.9040948351224264,0.9206294218699137,0.8976326386133829,0.7867911458015442,0.9206294218699137,0.9042855302492777,0.9040948351224264,0.8808905283610026,0.71875,0.71875,0.71875,0.9042855302492777,0.00800278348227342,0.9133341511090597,0.00800278348227342,0.9136552413304647,0.71875,0.71875,0.008002783637493849,0.71875,0.09580439993192477,0.11183559361704151,0.0005232816519619391,0.3477547028198661,0.09580439993192477,0.0018411629204375915,0.0033071747206558934,0.16535945694153692,0.0008330065898068179,0.11183559361704151,0.0018411631844427224,0.09580439993192477,0.0,0.0005232816519619391,0.0033071747206558934,0.16535945694153692,21.548395145191982,0.11183559361704151,0.0013922554045088169,0.0018411631844427224,0.0005356689864520145,0.001159910430901977,0.0005356689864520145,0.09580439993192477,0.16535945694153692,0.16535945694153692,0.0006810409140832165,0.16535945694153692,0.11183559361704151,0.0004153095547796071,0.001159910430901977,0.09580439993192477,0.0004153095547796071,0.002236701253212436,0.11183559361704151,0.0013922554045088169,0.16535945694153692,0.16535945694153692,0.16535945694153692,0.002236701253212436,0.0018411631844427224,0.0008330065898068179,0.0018411631844427224,0.0006810409140832165,0.16535945694153692,0.16535945694153692,0.0018411629204375915,0.16535945694153692
no_init_kenn_hybrid_adapter_bert_ms,0.8263744910558065,0.965106745560964,0.9058534900347391,0.8433333333333334,0.8263744910558065,0.008234748461594185,0.8591012159983317,0.7395833333333334,0.9134307901064554,0.965106745560964,0.008234748306373755,0.8263744910558065,0.375,0.9058534900347391,0.8591012159983317,0.7395833333333334,73.66666666666667,0.965106745560964,0.8816898266474406,0.008234748306373755,0.928351879119873,0.8977787693341573,0.928351879119873,0.8263744910558065,0.7395833333333334,0.7395833333333334,0.9140753547350565,0.7395833333333334,0.965106745560964,0.920830766359965,0.8977787693341573,0.8263744910558065,0.920830766359965,0.9055057565371195,0.965106745560964,0.8816898266474406,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.9055057565371195,0.008234748306373755,0.9134307901064554,0.008234748306373755,0.9140753547350565,0.7395833333333334,0.7395833333333334,0.008234748461594185,0.7395833333333334,0.11498258758947107,0.03449007699001653,0.0006141292901599907,0.10969655114602887,0.11498258758947107,0.002008873498003784,0.0036084185347805453,0.18042195912175804,0.000903988732179435,0.03449007699001653,0.002008873766853454,0.11498258758947107,0.0,0.0006141292901599907,0.0036084185347805453,0.18042195912175804,20.305992547357377,0.03449007699001653,0.001624557576587942,0.002008873766853454,0.0,0.0012655635773967232,0.0,0.11498258758947107,0.18042195912175804,0.18042195912175804,0.0001213945184191309,0.18042195912175804,0.03449007699001653,0.00045944472813313174,0.0012655635773967232,0.11498258758947107,0.00045944472813313174,0.0006898023273273106,0.03449007699001653,0.001624557576587942,0.18042195912175804,0.18042195912175804,0.18042195912175804,0.0006898023273273106,0.002008873766853454,0.000903988732179435,0.002008873766853454,0.0001213945184191309,0.18042195912175804,0.18042195912175804,0.002008873498003784,0.18042195912175804
no_init_kenn_top_down_adapter_bert_ms,0.8263744910558065,0.965106745560964,0.9058534900347391,0.81,0.8263744910558065,0.008234748461594185,0.8591012159983317,0.7395833333333334,0.9134307901064554,0.965106745560964,0.008234748306373755,0.8263744910558065,0.375,0.9058534900347391,0.8591012159983317,0.7395833333333334,73.66666666666667,0.965106745560964,0.8816898266474406,0.008234748306373755,0.928351879119873,0.8977787693341573,0.928351879119873,0.8263744910558065,0.7395833333333334,0.7395833333333334,0.9140753547350565,0.7395833333333334,0.965106745560964,0.920830766359965,0.8977787693341573,0.8263744910558065,0.920830766359965,0.9055057565371195,0.965106745560964,0.8816898266474406,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.9055057565371195,0.008234748306373755,0.9134307901064554,0.008234748306373755,0.9140753547350565,0.7395833333333334,0.7395833333333334,0.008234748461594185,0.7395833333333334,0.11498258758947107,0.03449007699001653,0.0006141292901599907,0.1479864858694874,0.11498258758947107,0.002008873498003784,0.0036084185347805453,0.18042195912175804,0.000903988732179435,0.03449007699001653,0.002008873766853454,0.11498258758947107,0.0,0.0006141292901599907,0.0036084185347805453,0.18042195912175804,19.347695814575268,0.03449007699001653,0.001624557576587942,0.002008873766853454,0.0,0.0012655635773967232,0.0,0.11498258758947107,0.18042195912175804,0.18042195912175804,0.0001213945184191309,0.18042195912175804,0.03449007699001653,0.00045944472813313174,0.0012655635773967232,0.11498258758947107,0.00045944472813313174,0.0006898023273273106,0.03449007699001653,0.001624557576587942,0.18042195912175804,0.18042195912175804,0.18042195912175804,0.0006898023273273106,0.002008873766853454,0.000903988732179435,0.002008873766853454,0.0001213945184191309,0.18042195912175804,0.18042195912175804,0.002008873498003784,0.18042195912175804
smart_init_box_adapter_bert_ms,0.885831375916799,0.9631225864092509,0.8925606409708658,0.6166666666666667,0.885831375916799,0.009162607292334238,0.816352367401123,0.8229166666666666,0.905820369720459,0.9631225864092509,0.009162607292334238,0.885831375916799,0.25,0.8925606409708658,0.816352367401123,0.8229166666666666,11.333333333333334,0.9631225864092509,0.8523590962092081,0.009162607292334238,0.9246346950531006,0.8801694909731547,0.9246346950531006,0.885831375916799,0.8229166666666666,0.8229166666666666,0.9053058425585429,0.8229166666666666,0.9631225864092509,0.9151307940483093,0.8801694909731547,0.885831375916799,0.9151307940483093,0.8916900555292765,0.9631225864092509,0.8523590962092081,0.8229166666666666,0.8229166666666666,0.8229166666666666,0.8916900555292765,0.009162607292334238,0.905820369720459,0.009162607292334238,0.9053058425585429,0.8229166666666666,0.8229166666666666,0.009162607292334238,0.8229166666666666,0.05577444263928035,0.004147632035276321,0.00035538054883011577,0.30105370506494905,0.05577444263928035,0.0010044363457273877,0.0018041920610114158,0.09021097956087903,0.00043525255946581305,0.004147632035276321,0.0010044363457273877,0.05577444263928035,0.0,0.00035538054883011577,0.0018041920610114158,0.09021097956087903,5.131601439446884,0.004147632035276321,0.0010218868400803847,0.0010044363457273877,0.0,0.0006327817886983737,0.0,0.05577444263928035,0.09021097956087903,0.09021097956087903,6.166766180929079e-05,0.09021097956087903,0.004147632035276321,0.00022216876375008964,0.0006327817886983737,0.05577444263928035,0.00022216876375008964,8.293474607152536e-05,0.004147632035276321,0.0010218868400803847,0.09021097956087903,0.09021097956087903,0.09021097956087903,8.293474607152536e-05,0.0010044363457273877,0.00043525255946581305,0.0010044363457273877,6.166766180929079e-05,0.09021097956087903,0.09021097956087903,0.0010044363457273877,0.09021097956087903
smart_init_classifier_adapter_bert_ms,0.9677419066429138,1.0,0.9067197442054749,0.98,0.9677419066429138,0.010438413359224796,0.8630595207214355,0.9375,0.9141556024551392,1.0,0.010438413359224796,0.9677419066429138,0.375,0.9067197442054749,0.8630595207214355,0.9375,5.0,1.0,0.8841055035591125,0.010438413359224796,0.9284099340438844,0.8991670608520508,0.9284099340438844,0.9677419066429138,0.9375,0.9375,0.9144003391265868,0.9375,1.0,0.9212276339530944,0.8991670608520508,0.9677419066429138,0.9212276339530944,0.9062036275863647,1.0,0.8841055035591125,0.9375,0.9375,0.9375,0.9062036275863647,0.010438413359224796,0.9141556024551392,0.010438413359224796,0.9144003391265868,0.9375,0.9375,0.010438413359224796,0.9375,0.0,0.0,0.0,0.017320508075688787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
