name,instance,run_id,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example/recall,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,threshold_incremental,threshold_pretraining,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test/micro/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_religion-religion/macro_types/recall,test_pretraining/micro/f1,test_incremental/micro/precision,test_incremental/macro_types/recall,epoch,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_religion-religion/macro_types/precision,test/macro_types/recall,test/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_pretraining/micro/recall,test_incremental/macro_types/precision,test/macro_types/f1,test/micro/f1,test_incremental_religion-religion/macro_types/f1,test_incremental/macro_example/precision,test/macro_example/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/f1,test/macro_example/f1,test_incremental/micro/f1,test_incremental/micro/recall,test_pretraining/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,mivyt9s7,0.65625,0.00730688963085413,0.9545454382896424,0.65625,0.00730688963085413,0.8504611849784851,0.65625,0.8130190372467041,0.65625,0.8790004253387451,0.7777777314186096,0.65625,0.00730688963085413,0.9050278663635254,0.03,0.25,0.9051918983459472,0.9146694540977478,0.9051918983459472,0.00730688963085413,0.00730688963085413,0.9545454382896424,0.65625,0.8919039368629456,0.9545454382896424,0.65625,21,0.65625,0.9245187044143676,0.65625,0.9545454382896424,0.8130190372467041,0.8915184736251831,0.65625,0.9245187044143676,0.8790004253387451,0.9545454382896424,0.8504611849784851,0.8919039368629456,0.7777777314186096,0.00730688963085413,0.9050278663635254,0.7777777314186096,0.7777777314186096,0.9146694540977478,0.7777777314186096,0.65625,0.8915184736251831
no_init_box_kenn_horizontal_adapter_bert_ms,1,i6umero3,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.01,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,83,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_box_kenn_horizontal_adapter_bert_ms,0,yrrswaxg,0.8125,0.009046625345945358,0.9629629850387572,0.8125,0.009046625345945358,0.8522447347640991,0.8125,0.8161440491676331,0.8125,0.880096435546875,0.8813559412956238,0.8125,0.009046625345945358,0.9058396816253662,0.02,0.25,0.9052987694740297,0.915140688419342,0.9052987694740297,0.009046625345945358,0.009046625345945358,0.9629629850387572,0.8125,0.8925197720527649,0.9629629850387572,0.8125,50,0.8125,0.9246346950531006,0.8125,0.9629629850387572,0.8161440491676331,0.8916868567466736,0.8125,0.9246346950531006,0.880096435546875,0.9629629850387572,0.8522447347640991,0.8925197720527649,0.8813559412956238,0.009046625345945358,0.9058396816253662,0.8813559412956238,0.8813559412956238,0.915140688419342,0.8813559412956238,0.8125,0.8916868567466736
no_init_box_kenn_hybrid_adapter_bert_ms,2,n5ua7bf0,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.01,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,52,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_box_kenn_top_down_adapter_bert_ms,2,swtdp0mj,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.060000000000000005,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,62,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_box_kenn_bottom_up_adapter_bert_ms,2,ed7daje4,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.01,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,52,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_box_kenn_hybrid_adapter_bert_ms,1,uclmzaxi,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.02,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,40,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_box_kenn_top_down_adapter_bert_ms,1,x08xp9eq,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.09,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,41,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_box_kenn_bottom_up_adapter_bert_ms,1,e6khmf36,0.875,0.00974251888692379,0.9655172228813172,0.875,0.00974251888692379,0.8529490828514099,0.875,0.8173940181732178,0.875,0.880534827709198,0.9180327653884888,0.875,0.00974251888692379,0.906071662902832,0.01,0.25,0.9053414463996888,0.915259063243866,0.9053414463996888,0.00974251888692379,0.00974251888692379,0.9655172228813172,0.875,0.8927658200263977,0.9655172228813172,0.875,41,0.875,0.9246346950531006,0.875,0.9655172228813172,0.8173940181732178,0.8917379379272461,0.875,0.9246346950531006,0.880534827709198,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.00974251888692379,0.906071662902832,0.9180327653884888,0.9180327653884888,0.915259063243866,0.9180327653884888,0.875,0.8917379379272461
no_init_box_kenn_hybrid_adapter_bert_ms,0,h2x5nsfv,0.8125,0.009046625345945358,0.9629629850387572,0.8125,0.009046625345945358,0.8522447347640991,0.8125,0.8161440491676331,0.8125,0.880096435546875,0.8813559412956238,0.8125,0.009046625345945358,0.9058396816253662,0.09,0.25,0.9052987694740297,0.915140688419342,0.9052987694740297,0.009046625345945358,0.009046625345945358,0.9629629850387572,0.8125,0.8925197720527649,0.9629629850387572,0.8125,34,0.8125,0.9246346950531006,0.8125,0.9629629850387572,0.8161440491676331,0.8916868567466736,0.8125,0.9246346950531006,0.880096435546875,0.9629629850387572,0.8522447347640991,0.8925197720527649,0.8813559412956238,0.009046625345945358,0.9058396816253662,0.8813559412956238,0.8813559412956238,0.915140688419342,0.8813559412956238,0.8125,0.8916868567466736
