name,instance,run_id,test_incremental/macro_types/f1,test_incremental/micro/precision,test/micro/f1,threshold_incremental,test_incremental/micro/f1,test_incremental/macro_example/f1,test_pretraining/macro_types/recall,test_incremental_religion-religion/macro_types/recall,test/macro_example/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental_religion-religion/macro_types/f1,threshold_pretraining,test_pretraining/micro/f1,test/macro_types/recall,test_incremental/macro_example_exclusive/precision,epoch,test_incremental/macro_types/precision,test_pretraining/macro_types/f1,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test/micro/recall,test/macro_example/precision,test_incremental_only/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/f1,test_incremental_religion-religion/macro_types/precision,test/macro_example/f1,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test/macro_types/f1,test_incremental/micro/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_types/precision,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/precision,test/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental/macro_types/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,f3ato6tv,0.5454545617103577,1.0,0.8908929228782654,0.06999999999999999,0.5454545617103577,0.004175365436822176,0.8073940277099609,0.375,0.9037810564041138,1.0,0.004175365436822176,0.5454545617103577,0.25,0.8908929228782654,0.8073940277099609,0.375,35,1.0,0.8477839231491089,0.004175365436822176,0.9245187044143676,0.8770276308059692,0.9245187044143676,0.5454545617103577,0.375,0.375,0.905203640460968,0.375,1.0,0.914032220840454,0.8770276308059692,0.5454545617103577,0.914032220840454,0.8924275636672974,1.0,0.8477839231491089,0.375,0.375,0.375,0.8924275636672974,0.004175365436822176,0.9037810564041138,0.004175365436822176,0.905203640460968,0.375,0.375,0.004175365436822176,0.375
no_init_box_kenn_horizontal_adapter_bert_ms,1,z2kpoirb,0.5116279125213623,1.0,0.8907694816589355,0.11,0.5116279125213623,0.003827418200671673,0.806769073009491,0.34375,0.9036070704460144,1.0,0.003827418200671673,0.5116279125213623,0.25,0.8907694816589355,0.806769073009491,0.34375,68,1.0,0.8474392890930176,0.003827418200671673,0.9245187044143676,0.8768084049224854,0.9245187044143676,0.5116279125213623,0.34375,0.34375,0.9051821827888488,0.34375,1.0,0.913943350315094,0.8768084049224854,0.5116279125213623,0.913943350315094,0.8924275636672974,1.0,0.8474392890930176,0.34375,0.34375,0.34375,0.8924275636672974,0.003827418200671673,0.9036070704460144,0.003827418200671673,0.9051821827888488,0.34375,0.34375,0.003827418200671673,0.34375
no_init_box_kenn_horizontal_adapter_bert_ms,0,gsxgnabl,0.4000000059604645,1.0,0.8903987407684326,0.05,0.4000000059604645,0.0027835769578814507,0.8048940300941467,0.25,0.9030851125717164,1.0,0.0027835769578814507,0.4000000059604645,0.25,0.8903987407684326,0.8048940300941467,0.25,33,1.0,0.8464036583900452,0.0027835769578814507,0.9245187044143676,0.8761507868766785,0.9245187044143676,0.4000000059604645,0.25,0.25,0.9051177501678468,0.25,1.0,0.9136762619018556,0.8761507868766785,0.4000000059604645,0.9136762619018556,0.8924275636672974,1.0,0.8464036583900452,0.25,0.25,0.25,0.8924275636672974,0.0027835769578814507,0.9030851125717164,0.0027835769578814507,0.9051177501678468,0.25,0.25,0.0027835769578814507,0.25
no_init_box_kenn_hybrid_adapter_bert_ms,2,o4xlwdgp,0.6938775777816772,1.0,0.8915099501609802,0.17,0.6938775777816772,0.0059151011519134045,0.8105190396308899,0.53125,0.9044479131698608,1.0,0.005915100686252117,0.6938775777816772,0.25,0.8915099501609802,0.8105190396308899,0.53125,61,1.0,0.8495034575462341,0.005915100686252117,0.9245187044143676,0.8781236410140991,0.9245187044143676,0.6938775777816772,0.53125,0.53125,0.9053107500076294,0.53125,1.0,0.9143731594085692,0.8781236410140991,0.6938775777816772,0.9143731594085692,0.8924275636672974,1.0,0.8495034575462341,0.53125,0.53125,0.53125,0.8924275636672974,0.005915100686252117,0.9044479131698608,0.005915100686252117,0.9053107500076294,0.53125,0.53125,0.0059151011519134045,0.53125
no_init_box_kenn_top_down_adapter_bert_ms,2,uxtyq6tm,0.7200000286102295,1.0,0.8916333317756653,0.11,0.7200000286102295,0.006263048388063908,0.8111440539360046,0.5625,0.9046218991279602,1.0,0.006263048388063908,0.7200000286102295,0.25,0.8916333317756653,0.8111440539360046,0.5625,32,1.0,0.8498466610908508,0.006263048388063908,0.9245187044143676,0.8783428072929382,0.9245187044143676,0.7200000286102295,0.5625,0.5625,0.9053321480751038,0.5625,1.0,0.9144620895385742,0.8783428072929382,0.7200000286102295,0.9144620895385742,0.8924275636672974,1.0,0.8498466610908508,0.5625,0.5625,0.5625,0.8924275636672974,0.006263048388063908,0.9046218991279602,0.006263048388063908,0.9053321480751038,0.5625,0.5625,0.006263048388063908,0.5625
no_init_box_kenn_bottom_up_adapter_bert_ms,2,trzxgw4x,0.6382978558540344,1.0,0.8912632465362549,0.09,0.6382978558540344,0.005219206679612398,0.8092690706253052,0.46875,0.904099941253662,1.0,0.005219206679612398,0.6382978558540344,0.25,0.8912632465362549,0.8092690706253052,0.46875,61,1.0,0.848816454410553,0.005219206679612398,0.9245187044143676,0.8776852488517761,0.9245187044143676,0.6382978558540344,0.46875,0.46875,0.905267894268036,0.46875,1.0,0.9141953587532043,0.8776852488517761,0.6382978558540344,0.9141953587532043,0.8924275636672974,1.0,0.848816454410553,0.46875,0.46875,0.46875,0.8924275636672974,0.005219206679612398,0.904099941253662,0.005219206679612398,0.905267894268036,0.46875,0.46875,0.005219206679612398,0.46875
no_init_box_kenn_hybrid_adapter_bert_ms,1,9hchaa37,0.5116279125213623,1.0,0.8907694816589355,0.41,0.5116279125213623,0.003827418200671673,0.806769073009491,0.34375,0.9036070704460144,1.0,0.003827418200671673,0.5116279125213623,0.25,0.8907694816589355,0.806769073009491,0.34375,54,1.0,0.8474392890930176,0.003827418200671673,0.9245187044143676,0.8768084049224854,0.9245187044143676,0.5116279125213623,0.34375,0.34375,0.9051821827888488,0.34375,1.0,0.913943350315094,0.8768084049224854,0.5116279125213623,0.913943350315094,0.8924275636672974,1.0,0.8474392890930176,0.34375,0.34375,0.34375,0.8924275636672974,0.003827418200671673,0.9036070704460144,0.003827418200671673,0.9051821827888488,0.34375,0.34375,0.003827418200671673,0.34375
no_init_box_kenn_top_down_adapter_bert_ms,1,7cja7qmb,0.9000000357627869,0.9642857313156128,0.8926427960395813,0.01,0.9000000357627869,0.009394572116434574,0.8167690634727478,0.84375,0.9059556722640992,0.9642857313156128,0.009394572116434574,0.9000000357627869,0.25,0.8926427960395813,0.8167690634727478,0.84375,54,0.9642857313156128,0.8525974750518799,0.009394572116434574,0.9246346950531006,0.8803156614303589,0.9246346950531006,0.9000000357627869,0.84375,0.84375,0.9053201079368592,0.84375,0.9642857313156128,0.9151999354362488,0.8803156614303589,0.9000000357627869,0.9151999354362488,0.8917133212089539,0.9642857313156128,0.8525974750518799,0.84375,0.84375,0.84375,0.8917133212089539,0.009394572116434574,0.9059556722640992,0.009394572116434574,0.9053201079368592,0.84375,0.84375,0.009394572116434574,0.84375
no_init_box_kenn_bottom_up_adapter_bert_ms,1,6ombto6u,0.4761904776096344,1.0,0.8906459212303162,0.16,0.4761904776096344,0.0034794711973518133,0.8061440587043762,0.3125,0.903433084487915,1.0,0.0034794711973518133,0.4761904776096344,0.25,0.8906459212303162,0.8061440587043762,0.3125,54,1.0,0.8470942974090576,0.0034794711973518133,0.9245187044143676,0.8765892386436462,0.9245187044143676,0.4761904776096344,0.3125,0.3125,0.9051607251167296,0.3125,1.0,0.9138543009757996,0.8765892386436462,0.4761904776096344,0.9138543009757996,0.8924275636672974,1.0,0.8470942974090576,0.3125,0.3125,0.3125,0.8924275636672974,0.0034794711973518133,0.903433084487915,0.0034794711973518133,0.9051607251167296,0.3125,0.3125,0.0034794711973518133,0.3125
no_init_box_kenn_hybrid_adapter_bert_ms,0,ymsiy6pv,0.5777778029441833,1.0,0.8910163044929504,0.04,0.5777778029441833,0.004523312672972679,0.8080190420150757,0.40625,0.9038970470428468,1.0,0.004523312672972679,0.5777778029441833,0.25,0.8910163044929504,0.8080190420150757,0.40625,43,1.0,0.8481283187866211,0.004523312672972679,0.9245187044143676,0.8772467970848083,0.9245187044143676,0.5777778029441833,0.40625,0.40625,0.9052250385284424,0.40625,1.0,0.9140916466712952,0.8772467970848083,0.5777778029441833,0.9140916466712952,0.8924275636672974,1.0,0.8481283187866211,0.40625,0.40625,0.40625,0.8924275636672974,0.004523312672972679,0.9038970470428468,0.004523312672972679,0.9052250385284424,0.40625,0.40625,0.004523312672972679,0.40625
