name,instance,run_id,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/precision,test_incremental_religion-religion/macro_types/recall,test/micro/recall,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/recall,test/macro_example/f1,test_pretraining/micro/precision,test_incremental/micro/f1,test_incremental/macro_types/f1,test_incremental_only/macro_example/f1,epoch,test_pretraining/micro/recall,test_incremental_only/micro/precision,test_incremental/macro_types/precision,test_incremental_religion-religion/macro_types/precision,test/macro_types/f1,test_pretraining/micro/f1,test_incremental_only/macro_types/f1,test_incremental/macro_types/recall,test_incremental_religion-religion/macro_types/f1,test_pretraining/macro_example/recall,test_incremental/micro/recall,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_types/f1,test_incremental/macro_example/precision,test/micro/precision,test/macro_types/precision,test/macro_example/precision,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental/macro_example_exclusive/recall,test/micro/f1,threshold_pretraining,test/macro_types/recall,test/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,threshold_incremental
no_init_box_kenn_horizontal_adapter_bert_ms,2,nyz6466q,0.010786360129714012,0.9246346950531006,0.96875,0.96875,0.96875,0.96875,0.8811924457550049,0.8918026089668274,0.96875,0.96875,0.9153921604156494,0.96875,0.010786360129714012,0.96875,0.010786360129714012,0.9153921604156494,0.9054054021835328,0.96875,0.96875,0.010786360129714012,80,0.8811924457550049,0.96875,0.96875,0.96875,0.8539984226226807,0.8931348919868469,0.96875,0.96875,0.96875,0.9063326120376588,0.96875,0.96875,0.010786360129714012,0.8539984226226807,0.010786360129714012,0.9054054021835328,0.8918026089668274,0.9246346950531006,0.819269061088562,0.96875,0.96875,0.8931348919868469,0.25,0.819269061088562,0.9063326120376588,0.96875,0.11
no_init_box_kenn_horizontal_adapter_bert_ms,1,8v4bezge,0.00974251888692379,0.9246346950531006,0.9180327653884888,0.875,0.9655172228813172,0.875,0.880534827709198,0.8917379379272461,0.875,0.875,0.915259063243866,0.875,0.00974251888692379,0.875,0.00974251888692379,0.915259063243866,0.9053414463996888,0.9180327653884888,0.9180327653884888,0.00974251888692379,79,0.880534827709198,0.9655172228813172,0.9655172228813172,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.875,0.9180327653884888,0.906071662902832,0.875,0.9655172228813172,0.00974251888692379,0.8529490828514099,0.00974251888692379,0.9053414463996888,0.8917379379272461,0.9246346950531006,0.8173940181732178,0.875,0.875,0.8927658200263977,0.25,0.8173940181732178,0.906071662902832,0.875,0.1
no_init_box_kenn_horizontal_adapter_bert_ms,0,skho4uu6,0.009046625345945358,0.9246346950531006,0.8813559412956238,0.8125,0.9629629850387572,0.8125,0.880096435546875,0.8916868567466736,0.8125,0.8125,0.915140688419342,0.8125,0.009046625345945358,0.8125,0.009046625345945358,0.915140688419342,0.9052987694740297,0.8813559412956238,0.8813559412956238,0.009046625345945358,60,0.880096435546875,0.9629629850387572,0.9629629850387572,0.9629629850387572,0.8522447347640991,0.8925197720527649,0.8813559412956238,0.8125,0.8813559412956238,0.9058396816253662,0.8125,0.9629629850387572,0.009046625345945358,0.8522447347640991,0.009046625345945358,0.9052987694740297,0.8916868567466736,0.9246346950531006,0.8161440491676331,0.8125,0.8125,0.8925197720527649,0.25,0.8161440491676331,0.9058396816253662,0.8125,0.1
no_init_box_kenn_hybrid_adapter_bert_ms,2,1qatxqgh,0.010786360129714012,0.9246346950531006,0.96875,0.96875,0.96875,0.96875,0.8811924457550049,0.8918026089668274,0.96875,0.96875,0.9153921604156494,0.96875,0.010786360129714012,0.96875,0.010786360129714012,0.9153921604156494,0.9054054021835328,0.96875,0.96875,0.010786360129714012,35,0.8811924457550049,0.96875,0.96875,0.96875,0.8539984226226807,0.8931348919868469,0.96875,0.96875,0.96875,0.9063326120376588,0.96875,0.96875,0.010786360129714012,0.8539984226226807,0.010786360129714012,0.9054054021835328,0.8918026089668274,0.9246346950531006,0.819269061088562,0.96875,0.96875,0.8931348919868469,0.25,0.819269061088562,0.9063326120376588,0.96875,0.09
no_init_box_kenn_top_down_adapter_bert_ms,2,i7rjh0fv,0.010786360129714012,0.9246346950531006,0.96875,0.96875,0.96875,0.96875,0.8811924457550049,0.8918026089668274,0.96875,0.96875,0.9153921604156494,0.96875,0.010786360129714012,0.96875,0.010786360129714012,0.9153921604156494,0.9054054021835328,0.96875,0.96875,0.010786360129714012,62,0.8811924457550049,0.96875,0.96875,0.96875,0.8539984226226807,0.8931348919868469,0.96875,0.96875,0.96875,0.9063326120376588,0.96875,0.96875,0.010786360129714012,0.8539984226226807,0.010786360129714012,0.9054054021835328,0.8918026089668274,0.9246346950531006,0.819269061088562,0.96875,0.96875,0.8931348919868469,0.25,0.819269061088562,0.9063326120376588,0.96875,0.41
no_init_box_kenn_bottom_up_adapter_bert_ms,2,3q8xpl6b,0.010786360129714012,0.9246346950531006,0.96875,0.96875,0.96875,0.96875,0.8811924457550049,0.8918026089668274,0.96875,0.96875,0.9153921604156494,0.96875,0.010786360129714012,0.96875,0.010786360129714012,0.9153921604156494,0.9054054021835328,0.96875,0.96875,0.010786360129714012,79,0.8811924457550049,0.96875,0.96875,0.96875,0.8539984226226807,0.8931348919868469,0.96875,0.96875,0.96875,0.9063326120376588,0.96875,0.96875,0.010786360129714012,0.8539984226226807,0.010786360129714012,0.9054054021835328,0.8918026089668274,0.9246346950531006,0.819269061088562,0.96875,0.96875,0.8931348919868469,0.25,0.819269061088562,0.9063326120376588,0.96875,0.16
no_init_box_kenn_hybrid_adapter_bert_ms,1,2883hi70,0.00974251888692379,0.9246346950531006,0.9180327653884888,0.875,0.9655172228813172,0.875,0.880534827709198,0.8917379379272461,0.875,0.875,0.915259063243866,0.875,0.00974251888692379,0.875,0.00974251888692379,0.915259063243866,0.9053414463996888,0.9180327653884888,0.9180327653884888,0.00974251888692379,79,0.880534827709198,0.9655172228813172,0.9655172228813172,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.875,0.9180327653884888,0.906071662902832,0.875,0.9655172228813172,0.00974251888692379,0.8529490828514099,0.00974251888692379,0.9053414463996888,0.8917379379272461,0.9246346950531006,0.8173940181732178,0.875,0.875,0.8927658200263977,0.25,0.8173940181732178,0.906071662902832,0.875,0.73
no_init_box_kenn_top_down_adapter_bert_ms,1,h9ok53ym,0.009394572116434574,0.9246346950531006,0.9000000357627869,0.84375,0.9642857313156128,0.84375,0.8803156614303589,0.8917133212089539,0.84375,0.84375,0.9151999354362488,0.84375,0.009394572116434574,0.84375,0.009394572116434574,0.9151999354362488,0.9053201079368592,0.9000000357627869,0.9000000357627869,0.009394572116434574,47,0.8803156614303589,0.9642857313156128,0.9642857313156128,0.9642857313156128,0.8525974750518799,0.8926427960395813,0.9000000357627869,0.84375,0.9000000357627869,0.9059556722640992,0.84375,0.9642857313156128,0.009394572116434574,0.8525974750518799,0.009394572116434574,0.9053201079368592,0.8917133212089539,0.9246346950531006,0.8167690634727478,0.84375,0.84375,0.8926427960395813,0.25,0.8167690634727478,0.9059556722640992,0.84375,0.65
no_init_box_kenn_bottom_up_adapter_bert_ms,1,bbhszcr6,0.00974251888692379,0.9246346950531006,0.9180327653884888,0.875,0.9655172228813172,0.875,0.880534827709198,0.8917379379272461,0.875,0.875,0.915259063243866,0.875,0.00974251888692379,0.875,0.00974251888692379,0.915259063243866,0.9053414463996888,0.9180327653884888,0.9180327653884888,0.00974251888692379,67,0.880534827709198,0.9655172228813172,0.9655172228813172,0.9655172228813172,0.8529490828514099,0.8927658200263977,0.9180327653884888,0.875,0.9180327653884888,0.906071662902832,0.875,0.9655172228813172,0.00974251888692379,0.8529490828514099,0.00974251888692379,0.9053414463996888,0.8917379379272461,0.9246346950531006,0.8173940181732178,0.875,0.875,0.8927658200263977,0.25,0.8173940181732178,0.906071662902832,0.875,0.36000000000000004
no_init_box_kenn_hybrid_adapter_bert_ms,0,1mqv7fy0,0.008698677644133568,0.9246346950531006,0.8620690107345581,0.78125,0.9615384340286256,0.78125,0.8798772692680359,0.891658365726471,0.78125,0.78125,0.91508150100708,0.78125,0.008698677644133568,0.78125,0.008698677644133568,0.91508150100708,0.9052774310112,0.8620690107345581,0.8620690107345581,0.008698677644133568,60,0.8798772692680359,0.9615384340286256,0.9615384340286256,0.9615384340286256,0.8518908023834229,0.8923966884613037,0.8620690107345581,0.78125,0.8620690107345581,0.9057236909866332,0.78125,0.9615384340286256,0.008698677644133568,0.8518908023834229,0.008698677644133568,0.9052774310112,0.891658365726471,0.9246346950531006,0.8155190348625183,0.78125,0.78125,0.8923966884613037,0.25,0.8155190348625183,0.9057236909866332,0.78125,0.53
