name,test_incremental/macro_example/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_religion-religion/macro_types/recall/mean,test/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test/macro_example/f1/mean,test_pretraining/micro/precision/mean,test_incremental/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/macro_example/f1/mean,epoch/mean,test_pretraining/micro/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_religion-religion/macro_types/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_religion-religion/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental/micro/recall/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test/micro/precision/mean,test/macro_types/precision/mean,test/macro_example/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/micro/f1/mean,threshold_pretraining/mean,test/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_incremental/mean,test_incremental/macro_example/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_religion-religion/macro_types/recall/std,test/micro/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test/macro_example/f1/std,test_pretraining/micro/precision/std,test_incremental/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/macro_example/f1/std,epoch/std,test_pretraining/micro/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_religion-religion/macro_types/precision/std,test/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/recall/std,test_incremental_religion-religion/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental/micro/recall/std,test_incremental/micro/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_types/f1/std,test_incremental/macro_example/precision/std,test/micro/precision/std,test/macro_types/precision/std,test/macro_example/precision/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/recall/std,test/micro/f1/std,threshold_pretraining/std,test/macro_types/recall/std,test/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,threshold_incremental/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.009858501454194387,0.9246346950531006,0.9227129022280375,0.8854166666666666,0.9657434026400248,0.8854166666666666,0.8806079030036926,0.891742467880249,0.8854166666666666,0.8854166666666666,0.9152639706929525,0.8854166666666666,0.009858501454194387,0.8854166666666666,0.009858501454194387,0.9152639706929525,0.9053485393524171,0.9227129022280375,0.9227129022280375,0.009858501454194387,68.66666666666667,0.8806079030036926,0.9657434026400248,0.9657434026400248,0.9657434026400248,0.8530640800793966,0.8928068280220032,0.9227129022280375,0.8854166666666666,0.9227129022280375,0.9060813188552856,0.8854166666666666,0.9657434026400248,0.009858501454194387,0.8530640800793966,0.009858501454194387,0.9053485393524171,0.891742467880249,0.9246346950531006,0.8176023761431376,0.8854166666666666,0.8854166666666666,0.8928068280220032,0.25,0.8176023761431376,0.9060813188552856,0.8854166666666666,0.26666666666666666,0.000875647329920357,0.0,0.04388460020136522,0.07864410870073696,0.002900129911374399,0.07864410870073696,0.0005516471635749928,5.800891718770923e-05,0.07864410870073696,0.07864410870073696,0.00012580780390782513,0.07864410870073696,0.000875647329920357,0.07864410870073696,0.000875647329920357,0.00012580780390782513,5.366904291862475e-05,0.04388460020136522,0.04388460020136522,0.000875647329920357,9.609023536933051,0.0005516471635749928,0.002900129911374399,0.002900129911374399,0.002900129911374399,0.0008824814718551109,0.00030960357734359956,0.04388460020136522,0.07864410870073696,0.04388460020136522,0.00024660702728035905,0.07864410870073696,0.002900129911374399,0.000875647329920357,0.0008824814718551109,0.000875647329920357,5.366904291862475e-05,5.800891718770923e-05,0.0,0.0015728905426662138,0.07864410870073696,0.07864410870073696,0.00030960357734359956,0.0,0.0015728905426662138,0.00024660702728035905,0.07864410870073696,0.10066445913694336
no_init_box_kenn_horizontal_adapter_bert_ms,0.009858501454194387,0.9246346950531006,0.9227129022280375,0.8854166666666666,0.9657434026400248,0.8854166666666666,0.8806079030036926,0.891742467880249,0.8854166666666666,0.8854166666666666,0.9152639706929525,0.8854166666666666,0.009858501454194387,0.8854166666666666,0.009858501454194387,0.9152639706929525,0.9053485393524171,0.9227129022280375,0.9227129022280375,0.009858501454194387,73.0,0.8806079030036926,0.9657434026400248,0.9657434026400248,0.9657434026400248,0.8530640800793966,0.8928068280220032,0.9227129022280375,0.8854166666666666,0.9227129022280375,0.9060813188552856,0.8854166666666666,0.9657434026400248,0.009858501454194387,0.8530640800793966,0.009858501454194387,0.9053485393524171,0.891742467880249,0.9246346950531006,0.8176023761431376,0.8854166666666666,0.8854166666666666,0.8928068280220032,0.25,0.8176023761431376,0.9060813188552856,0.8854166666666666,0.10333333333333333,0.000875647329920357,0.0,0.04388460020136522,0.07864410870073696,0.002900129911374399,0.07864410870073696,0.0005516471635749928,5.800891718770923e-05,0.07864410870073696,0.07864410870073696,0.00012580780390782513,0.07864410870073696,0.000875647329920357,0.07864410870073696,0.000875647329920357,0.00012580780390782513,5.366904291862475e-05,0.04388460020136522,0.04388460020136522,0.000875647329920357,11.269427669584644,0.0005516471635749928,0.002900129911374399,0.002900129911374399,0.002900129911374399,0.0008824814718551109,0.00030960357734359956,0.04388460020136522,0.07864410870073696,0.04388460020136522,0.00024660702728035905,0.07864410870073696,0.002900129911374399,0.000875647329920357,0.0008824814718551109,0.000875647329920357,5.366904291862475e-05,5.800891718770923e-05,0.0,0.0015728905426662138,0.07864410870073696,0.07864410870073696,0.00030960357734359956,0.0,0.0015728905426662138,0.00024660702728035905,0.07864410870073696,0.005773502691896261
no_init_box_kenn_hybrid_adapter_bert_ms,0.00974251888692379,0.9246346950531006,0.916283925374349,0.875,0.9652685523033142,0.875,0.880534847577413,0.8917329708735148,0.875,0.875,0.9152442415555319,0.875,0.00974251888692379,0.875,0.00974251888692379,0.9152442415555319,0.9053414265314738,0.916283925374349,0.916283925374349,0.00974251888692379,58.0,0.880534847577413,0.9652685523033142,0.9652685523033142,0.9652685523033142,0.8529461026191711,0.8927658001581827,0.916283925374349,0.875,0.916283925374349,0.9060426553090414,0.875,0.9652685523033142,0.00974251888692379,0.8529461026191711,0.00974251888692379,0.9053414265314738,0.8917329708735148,0.9246346950531006,0.8173940380414327,0.875,0.875,0.8927658001581827,0.25,0.8173940380414327,0.9060426553090414,0.875,0.45,0.0010438412427902222,0.0,0.05336199207965934,0.09375,0.003612208290249075,0.09375,0.000657588243709621,7.224978764125767e-05,0.09375,0.09375,0.00015585916356435992,0.09375,0.0010438412427902222,0.09375,0.0010438412427902222,0.00015585916356435992,6.398558847992297e-05,0.05336199207965934,0.05336199207965934,0.0010438412427902222,22.06807649071391,0.000657588243709621,0.003612208290249075,0.003612208290249075,0.003612208290249075,0.0010538132802211393,0.0003691017631726466,0.05336199207965934,0.09375,0.05336199207965934,0.00030549515866645847,0.09375,0.003612208290249075,0.0010438412427902222,0.0010538132802211393,0.0010438412427902222,6.398558847992297e-05,7.224978764125767e-05,0.0,0.0018750131131008132,0.09375,0.09375,0.0003691017631726466,0.0,0.0018750131131008132,0.00030549515866645847,0.09375,0.32741411087489797
no_init_box_kenn_top_down_adapter_bert_ms,0.009742519197364649,0.9246346950531006,0.9167019923528036,0.875,0.9653329054514567,0.875,0.880534847577413,0.891734262307485,0.875,0.875,0.9152442614237467,0.875,0.009742519197364649,0.875,0.009742519197364649,0.9152442614237467,0.905341426531474,0.9167019923528036,0.9167019923528036,0.009742519197364649,56.333333333333336,0.880534847577413,0.9653329054514567,0.9653329054514567,0.9653329054514567,0.8529468774795532,0.8927658200263977,0.9167019923528036,0.875,0.9167019923528036,0.9060426553090414,0.875,0.9653329054514567,0.009742519197364649,0.8529468774795532,0.009742519197364649,0.905341426531474,0.891734262307485,0.9246346950531006,0.8173940579096476,0.875,0.875,0.8927658200263977,0.25,0.8173940579096476,0.9060426553090414,0.875,0.57,0.000920581152212808,0.0,0.046028761548156945,0.08267972847076846,0.003032295466061518,0.08267972847076846,0.0005799495834781975,6.065097957495647e-05,0.08267972847076846,0.08267972847076846,0.00013146534184891974,0.08267972847076846,0.000920581152212808,0.08267972847076846,0.000920581152212808,0.00013146534184891974,5.642247372505205e-05,0.046028761548156945,0.046028761548156945,0.000920581152212808,8.144527815247077,0.0005799495834781975,0.003032295466061518,0.003032295466061518,0.003032295466061518,0.0009275865558976677,0.00032549087441189977,0.046028761548156945,0.08267972847076846,0.046028761548156945,0.0002577200718246268,0.08267972847076846,0.003032295466061518,0.000920581152212808,0.0009275865558976677,0.000920581152212808,5.642247372505205e-05,6.065097957495647e-05,0.0,0.0016535986245470144,0.08267972847076846,0.08267972847076846,0.00032549087441189977,0.0,0.0016535986245470144,0.0002577200718246268,0.08267972847076846,0.13856406460551018
no_init_kenn_bottom_up_adapter_bert_ms,0.011018325264255205,0.9231829643249512,0.747392992178599,0.9895833333333334,0.6735632220904032,0.9895833333333334,0.8995323777198792,0.8996748924255371,0.9895833333333334,0.9895833333333334,0.9187648495038351,0.9895833333333334,0.011018325264255205,0.9895833333333334,0.011018325264255205,0.9187648495038351,0.9064708749453226,0.747392992178599,0.747392992178599,0.011018325264255205,16.333333333333332,0.8995323777198792,0.6735632220904032,0.6735632220904032,0.6735632220904032,0.8815175890922546,0.9029590487480164,0.747392992178599,0.9895833333333334,0.747392992178599,0.9144166310628256,0.9895833333333334,0.6735632220904032,0.011018325264255205,0.8815175890922546,0.011018325264255205,0.9064708749453226,0.8996748924255371,0.9231829643249512,0.8641012112299601,0.9895833333333334,0.9895833333333334,0.9029590487480164,0.375,0.8641012112299601,0.9144166310628256,0.9895833333333334,0.24,0.00020088769930494985,0.00880262797936601,0.33445538406466135,0.01804219591217582,0.3924601035475773,0.01804219591217582,0.00012657012284275553,0.0078491941829589,0.01804219591217582,0.01804219591217582,0.004359271993506912,0.01804219591217582,0.00020088769930494985,0.01804219591217582,0.00020088769930494985,0.004359271993506912,0.012549966328858006,0.33445538406466135,0.33445538406466135,0.00020088769930494985,3.0550504633038935,0.00012657012284275553,0.3924601035475773,0.3924601035475773,0.3924601035475773,0.0036939291353284246,0.006221241820782564,0.33445538406466135,0.01804219591217582,0.33445538406466135,5.024262625084282e-05,0.01804219591217582,0.3924601035475773,0.00020088769930494985,0.0036939291353284246,0.00020088769930494985,0.012549966328858006,0.0078491941829589,0.00880262797936601,0.00036085217730534954,0.01804219591217582,0.01804219591217582,0.006221241820782564,0.0,0.00036085217730534954,5.024262625084282e-05,0.01804219591217582,0.18734993995195195
no_init_kenn_horizontal_adapter_bert_ms,0.010554395616054535,0.9221662084261576,0.6599947611490885,0.9479166666666666,0.5568736592928568,0.9479166666666666,0.8992400964101156,0.8973411122957865,0.9479166666666666,0.9479166666666666,0.9182005723317465,0.9479166666666666,0.010554395616054535,0.9479166666666666,0.010554395616054535,0.9182005723317465,0.9060641725858053,0.6599947611490885,0.6599947611490885,0.010554395616054535,16.666666666666668,0.8992400964101156,0.5568736592928568,0.5568736592928568,0.5568736592928568,0.87996506690979,0.9026207129160563,0.6599947611490885,0.9479166666666666,0.6599947611490885,0.914290984471639,0.9479166666666666,0.5568736592928568,0.010554395616054535,0.87996506690979,0.010554395616054535,0.9060641725858053,0.8973411122957865,0.9221662084261576,0.8632678786913554,0.9479166666666666,0.9479166666666666,0.9026207129160563,0.375,0.8632678786913554,0.914290984471639,0.9479166666666666,0.13,0.0007243098565372799,0.007693458165744094,0.23793733178882265,0.06505206248331666,0.30058076046251775,0.06505206248331666,0.0004563216625901463,0.006011600478312342,0.06505206248331666,0.06505206248331666,0.003741985273841735,0.06505206248331666,0.0007243098565372799,0.06505206248331666,0.0007243098565372799,0.003741985273841735,0.009669446207486788,0.23793733178882265,0.23793733178882265,0.0007243098565372799,3.511884584284246,0.0004563216625901463,0.30058076046251775,0.30058076046251775,0.30058076046251775,0.0022629954425322824,0.00462633561698069,0.23793733178882265,0.06505206248331666,0.23793733178882265,0.0001973610987200384,0.06505206248331666,0.30058076046251775,0.0007243098565372799,0.0022629954425322824,0.0007243098565372799,0.009669446207486788,0.006011600478312342,0.007693458165744094,0.001301037622827538,0.06505206248331666,0.06505206248331666,0.00462633561698069,0.0,0.001301037622827538,0.0001973610987200384,0.06505206248331666,0.12489995996796797
no_init_kenn_hybrid_adapter_bert_ms,0.010786360750595728,0.9239793618520101,0.7529964844385783,0.96875,0.6895325779914856,0.96875,0.8993862469991049,0.8999942938486735,0.96875,0.96875,0.919128437836965,0.96875,0.010786360750595728,0.96875,0.010786360750595728,0.919128437836965,0.9075634678204855,0.7529964844385783,0.7529964844385783,0.010786360750595728,16.0,0.8993862469991049,0.6895325779914856,0.6895325779914856,0.6895325779914856,0.881453255812327,0.903434177239736,0.7529964844385783,0.96875,0.7529964844385783,0.9143489996592203,0.96875,0.6895325779914856,0.010786360750595728,0.881453255812327,0.010786360750595728,0.9075634678204855,0.8999942938486735,0.9239793618520101,0.8636845350265503,0.96875,0.96875,0.903434177239736,0.375,0.8636845350265503,0.9143489996592203,0.96875,0.49333333333333335,0.0006026620225161693,0.0075734220649108855,0.30882784853594814,0.05412658773652741,0.3823458342467442,0.05412658773652741,0.00037967595577057656,0.007646902470009832,0.05412658773652741,0.05412658773652741,0.003714742911807982,0.05412658773652741,0.0006026620225161693,0.05412658773652741,0.0006026620225161693,0.003714742911807982,0.01080006942355267,0.30882784853594814,0.30882784853594814,0.0006026620225161693,3.605551275463989,0.00037967595577057656,0.3823458342467442,0.3823458342467442,0.3823458342467442,0.003437037509078959,0.0052778826457947296,0.30882784853594814,0.05412658773652741,0.30882784853594814,0.00016738365348205168,0.05412658773652741,0.3823458342467442,0.0006026620225161693,0.003437037509078959,0.0006026620225161693,0.01080006942355267,0.007646902470009832,0.0075734220649108855,0.0010825565319160966,0.05412658773652741,0.05412658773652741,0.0052778826457947296,0.0,0.0010825565319160966,0.00016738365348205168,0.05412658773652741,0.405010287935175
no_init_kenn_top_down_adapter_bert_ms,0.011018325264255205,0.9248724381128947,0.7825834552447001,0.9895833333333334,0.701587309439977,0.9895833333333334,0.8995323777198792,0.9002353747685751,0.9895833333333334,0.9895833333333334,0.9196085731188458,0.9895833333333334,0.011018325264255205,0.9895833333333334,0.011018325264255205,0.9196085731188458,0.9090784390767416,0.7825834552447001,0.7825834552447001,0.011018325264255205,17.0,0.8995323777198792,0.701587309439977,0.701587309439977,0.701587309439977,0.8817892074584961,0.904268205165863,0.7825834552447001,0.9895833333333334,0.7825834552447001,0.9144166310628256,0.9895833333333334,0.701587309439977,0.011018325264255205,0.8817892074584961,0.011018325264255205,0.9090784390767416,0.9002353747685751,0.9248724381128947,0.8641012112299601,0.9895833333333334,0.9895833333333334,0.904268205165863,0.375,0.8641012112299601,0.9144166310628256,0.9895833333333334,0.47666666666666674,0.00020088769930494985,0.0058765874519435945,0.27357795837898286,0.01804219591217582,0.34395766604324696,0.01804219591217582,0.00012657012284275553,0.006879144406024189,0.01804219591217582,0.01804219591217582,0.002898143524623808,0.01804219591217582,0.00020088769930494985,0.01804219591217582,0.00020088769930494985,0.002898143524623808,0.00803381044086535,0.27357795837898286,0.27357795837898286,0.00020088769930494985,3.0,0.00012657012284275553,0.34395766604324696,0.34395766604324696,0.34395766604324696,0.003225251546195149,0.003954278975225162,0.27357795837898286,0.01804219591217582,0.27357795837898286,5.024262625084282e-05,0.01804219591217582,0.34395766604324696,0.00020088769930494985,0.003225251546195149,0.00020088769930494985,0.00803381044086535,0.006879144406024189,0.0058765874519435945,0.00036085217730534954,0.01804219591217582,0.01804219591217582,0.003954278975225162,0.0,0.00036085217730534954,5.024262625084282e-05,0.01804219591217582,0.2987194893764606
smart_init_box_adapter_bert_ms,0.01020644853512446,0.9238807956377665,0.8690499663352966,0.9166666666666666,0.8528284827868143,0.9166666666666666,0.8808271090189616,0.889484167098999,0.9166666666666666,0.9166666666666666,0.9149531920750936,0.9166666666666666,0.01020644853512446,0.9166666666666666,0.01020644853512446,0.9149531920750936,0.9041515390078226,0.8690499663352966,0.8690499663352966,0.01020644853512446,7.666666666666667,0.8808271090189616,0.8528284827868143,0.8528284827868143,0.8528284827868143,0.8523637453715006,0.8923357129096985,0.8690499663352966,0.9166666666666666,0.8690499663352966,0.9061973094940186,0.9166666666666666,0.8528284827868143,0.01020644853512446,0.8523637453715006,0.01020644853512446,0.9041515390078226,0.889484167098999,0.9238807956377665,0.8182273705800375,0.9166666666666666,0.9166666666666666,0.8923357129096985,0.25,0.8182273705800375,0.9061973094940186,0.9166666666666666,0.20333333333333337,0.0008035497218211174,0.001305792091155081,0.08484069665706548,0.07216878364870322,0.19518262328460292,0.07216878364870322,0.000506246078613308,0.0039036455831405158,0.07216878364870322,0.07216878364870322,0.0005297844048842284,0.07216878364870322,0.0008035497218211174,0.07216878364870322,0.0008035497218211174,0.0005297844048842284,0.0020609800590138615,0.08484069665706548,0.08484069665706548,0.0008035497218211174,1.5275252316519468,0.000506246078613308,0.19518262328460292,0.19518262328460292,0.19518262328460292,0.0010138342547771752,0.0007449673788200032,0.08484069665706548,0.07216878364870322,0.08484069665706548,0.0002176262797328945,0.07216878364870322,0.19518262328460292,0.0008035497218211174,0.0010138342547771752,0.0008035497218211174,0.0020609800590138615,0.0039036455831405158,0.001305792091155081,0.0014434087092214702,0.07216878364870322,0.07216878364870322,0.0007449673788200032,0.0,0.0014434087092214702,0.0002176262797328945,0.07216878364870322,0.177857620959388
smart_init_classifier_adapter_bert_ms,0.010670378183325132,0.9283905824025472,0.9635692437489828,0.9583333333333334,0.9714285731315613,0.9583333333333334,0.8993131915728251,0.9056321978569031,0.9583333333333334,0.9583333333333334,0.9212671915690104,0.9583333333333334,0.010670378183325132,0.9583333333333334,0.010670378183325132,0.9212671915690104,0.9142094453175863,0.9635692437489828,0.9635692437489828,0.010670378183325132,5.0,0.8993131915728251,0.9714285731315613,0.9714285731315613,0.9714285731315613,0.8840513825416565,0.9067000945409139,0.9635692437489828,0.9583333333333334,0.9635692437489828,0.9142522811889648,0.9583333333333334,0.9714285731315613,0.010670378183325132,0.8840513825416565,0.010670378183325132,0.9142094453175863,0.9056321978569031,0.9283905824025472,0.8634761969248453,0.9583333333333334,0.9583333333333334,0.9067000945409139,0.375,0.8634761969248453,0.9142522811889648,0.9583333333333334,0.87,0.0004017748609105591,3.351802600577134e-05,0.007227264135145992,0.036084391824351615,0.049487162980874404,0.036084391824351615,0.00025310583292779704,0.0009897453243829745,0.036084391824351615,0.036084391824351615,6.851580059282159e-05,0.036084391824351615,0.0004017748609105591,0.036084391824351615,0.0004017748609105591,6.851580059282159e-05,0.0003306377760393805,0.007227264135145992,0.007227264135145992,0.0004017748609105591,0.0,0.00025310583292779704,0.049487162980874404,0.049487162980874404,0.049487162980874404,9.374035199120882e-05,3.4034217371249526e-05,0.007227264135145992,0.036084391824351615,0.007227264135145992,0.0001674524789975118,0.036084391824351615,0.049487162980874404,0.0004017748609105591,9.374035199120882e-05,0.0004017748609105591,0.0003306377760393805,0.0009897453243829745,3.351802600577134e-05,0.0007217043546107232,0.036084391824351615,0.036084391824351615,3.4034217371249526e-05,0.0,0.0007217043546107232,0.0001674524789975118,0.036084391824351615,0.20784609690826522
