metric,projector,family,subset,precision/mean,recall/mean,f1/mean,precision/std,recall/std,f1/std
test_incremental_only/macro_types,box_adapter_bert_ms,art,10,0.0139860138297081,1.0,0.027586206793785095,0.0,0.0,0.0
test_incremental_only/macro_example_exclusive,box_adapter_bert_ms,art,10,1.0,1.0,1.0,0.0,0.0,0.0
test_incremental/macro_example_exclusive,box_adapter_bert_ms,art,10,0.9871795177459716,0.9102563858032228,0.947158694267273,0.0,0.0,0.0
test_incremental_only/macro_example,box_adapter_bert_ms,art,10,0.013221990317106249,0.013221990317106249,0.013221991248428822,0.0,0.0,0.0
test_incremental_art/macro_types,box_adapter_bert_ms,art,10,0.7111111283302307,0.8205128312110901,0.7619048357009888,0.0,0.0,0.0
test/macro_types,box_adapter_bert_ms,art,10,0.8727073073387146,0.8198940753936768,0.8454766869544983,0.0,0.0,0.0
test/micro,box_adapter_bert_ms,art,10,0.5651929974555969,0.8815674185752869,0.6887881755828857,0.0,0.0,0.0
test_pretraining/macro_example,box_adapter_bert_ms,art,10,0.5609313249588013,0.9072083234786988,0.6932331919670105,0.0,0.0,0.0
test_pretraining/micro,box_adapter_bert_ms,art,10,0.5651929974555969,0.8815674185752869,0.6887881755828857,0.0,0.0,0.0
test_incremental/micro,box_adapter_bert_ms,art,10,0.02534395456314087,0.9090909361839294,0.04931313917040825,0.0,0.0,0.0
test_incremental_art-film/macro_types,box_adapter_bert_ms,art,10,0.0139860138297081,1.0,0.027586206793785095,0.0,0.0,0.0
test/macro_example,box_adapter_bert_ms,art,10,0.5609313249588013,0.9072083234786988,0.6932331919670105,0.0,0.0,0.0
test_incremental_only/micro,box_adapter_bert_ms,art,10,0.0139860138297081,1.0,0.027586206793785095,0.0,0.0,0.0
test_incremental/macro_example,box_adapter_bert_ms,art,10,0.013395964168012142,0.01235212292522192,0.012852883897721767,0.0,0.0,0.0
test_pretraining/macro_types,box_adapter_bert_ms,art,10,0.8727073073387146,0.8198940753936768,0.8454766869544983,0.0,0.0,0.0
test_incremental/macro_types,box_adapter_bert_ms,art,10,0.3625485599040985,0.9102563858032228,0.5185588598251343,0.0,0.0,0.0
test_incremental_only/macro_types,classifier_adapter_bert_ms,art,10,0.03037569858133793,1.0,0.058960430324077606,0.0,0.0,0.0
test_incremental_only/macro_example_exclusive,classifier_adapter_bert_ms,art,10,1.0,1.0,1.0,0.0,0.0,0.0
test_incremental/macro_example_exclusive,classifier_adapter_bert_ms,art,10,0.9871795177459716,0.8717949390411377,0.9259063601493835,0.0,0.0,0.0
