metric,projector,instance,family,subset,precision,recall,f1
test_incremental/macro_example_exclusive,kenn_hybrid_adapter_bert_ms,2,art,10,0.9871795177459716,0.8717949390411377,0.9259063601493835
test_incremental_only/macro_example,kenn_hybrid_adapter_bert_ms,2,art,10,0.013221990317106249,0.013221990317106249,0.013221991248428822
test_incremental_art/macro_types,kenn_hybrid_adapter_bert_ms,2,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_hybrid_adapter_bert_ms,2,art,10,0.8868111371994019,0.864309549331665,0.8754157423973083
test/micro,kenn_hybrid_adapter_bert_ms,2,art,10,0.7201682329177856,0.8997372984886169,0.800000011920929
test_pretraining/macro_example,kenn_hybrid_adapter_bert_ms,2,art,10,0.7715842723846436,0.9152517318725586,0.8372999429702759
test_pretraining/micro,kenn_hybrid_adapter_bert_ms,2,art,10,0.7201682329177856,0.8997372984886169,0.800000011920929
test_incremental/micro,kenn_hybrid_adapter_bert_ms,2,art,10,0.051857586950063705,0.8701298832893372,0.09788166731595992
test_incremental_art-film/macro_types,kenn_hybrid_adapter_bert_ms,2,art,10,0.03037569858133793,1.0,0.058960430324077606
test/macro_example,kenn_hybrid_adapter_bert_ms,2,art,10,0.7715842723846436,0.9152517318725586,0.8372999429702759
test_incremental_only/micro,kenn_hybrid_adapter_bert_ms,2,art,10,0.03037569858133793,1.0,0.058960430324077606
test_incremental/macro_example,kenn_hybrid_adapter_bert_ms,2,art,10,0.013395964168012142,0.011830202303826807,0.012564490549266338
test_pretraining/macro_types,kenn_hybrid_adapter_bert_ms,2,art,10,0.8868111371994019,0.864309549331665,0.8754157423973083
test_incremental/macro_types,kenn_hybrid_adapter_bert_ms,2,art,10,0.3688463866710663,0.8717948794364929,0.518374502658844
test_incremental_only/macro_types,kenn_top_down_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental_only/macro_example_exclusive,kenn_top_down_adapter_bert_ms,2,art,10,0.9736841917037964,0.9736841917037964,0.9736841917037964
test_incremental/macro_example_exclusive,kenn_top_down_adapter_bert_ms,2,art,10,0.9871795177459716,0.8589743375778198,0.9186253547668456
test_incremental_only/macro_example,kenn_top_down_adapter_bert_ms,2,art,10,0.012874042615294456,0.012874042615294456,0.012874042615294456
test_incremental_art/macro_types,kenn_top_down_adapter_bert_ms,2,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_top_down_adapter_bert_ms,2,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test/micro,kenn_top_down_adapter_bert_ms,2,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_pretraining/macro_example,kenn_top_down_adapter_bert_ms,2,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_pretraining/micro,kenn_top_down_adapter_bert_ms,2,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_incremental/micro,kenn_top_down_adapter_bert_ms,2,art,10,0.05112316086888313,0.8571428656578064,0.0964912325143814
test_incremental_art-film/macro_types,kenn_top_down_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test/macro_example,kenn_top_down_adapter_bert_ms,2,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_incremental_only/micro,kenn_top_down_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental/macro_example,kenn_top_down_adapter_bert_ms,2,art,10,0.013395964168012142,0.011656228452920914,0.012465688399970531
test_pretraining/macro_types,kenn_top_down_adapter_bert_ms,2,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test_incremental/macro_types,kenn_top_down_adapter_bert_ms,2,art,10,0.3684585392475128,0.8586369752883911,0.515643835067749
test_incremental_only/macro_types,kenn_bottom_up_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental_only/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,2,art,10,0.9736841917037964,0.9736841917037964,0.9736841917037964
test_incremental/macro_example_exclusive,kenn_bottom_up_adapter_bert_ms,2,art,10,0.9871795177459716,0.8589743375778198,0.9186253547668456
test_incremental_only/macro_example,kenn_bottom_up_adapter_bert_ms,2,art,10,0.012874042615294456,0.012874042615294456,0.012874042615294456
test_incremental_art/macro_types,kenn_bottom_up_adapter_bert_ms,2,art,10,0.707317054271698,0.7435897588729858,0.7250000238418579
test/macro_types,kenn_bottom_up_adapter_bert_ms,2,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test/micro,kenn_bottom_up_adapter_bert_ms,2,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_pretraining/macro_example,kenn_bottom_up_adapter_bert_ms,2,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_pretraining/micro,kenn_bottom_up_adapter_bert_ms,2,art,10,0.7201191782951355,0.8995183706283569,0.799883246421814
test_incremental/micro,kenn_bottom_up_adapter_bert_ms,2,art,10,0.05112316086888313,0.8571428656578064,0.0964912325143814
test_incremental_art-film/macro_types,kenn_bottom_up_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test/macro_example,kenn_bottom_up_adapter_bert_ms,2,art,10,0.7715842723846436,0.9150777459144592,0.8372271060943604
test_incremental_only/micro,kenn_bottom_up_adapter_bert_ms,2,art,10,0.029600000008940697,0.9736841917037964,0.05745341628789902
test_incremental/macro_example,kenn_bottom_up_adapter_bert_ms,2,art,10,0.013395964168012142,0.011656228452920914,0.012465688399970531
test_pretraining/macro_types,kenn_bottom_up_adapter_bert_ms,2,art,10,0.8867956399917603,0.8637832403182983,0.8751381635665894
test_incremental/macro_types,kenn_bottom_up_adapter_bert_ms,2,art,10,0.3684585392475128,0.8586369752883911,0.515643835067749
test_incremental_only/macro_types,kenn_hybrid_adapter_bert_ms,1,art,10,0.030327213928103447,1.0,0.05886909365653992
