name,instance,run_id,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental/macro_example/recall,test_pretraining/macro_example/recall,test/micro/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/recall,test_pretraining/micro/recall,test_pretraining/macro_example/f1,test_incremental_location-transit/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test_incremental/micro/f1,test_pretraining/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_incremental_only/macro_types/precision,test/macro_types/recall,test/macro_example/recall,test_incremental/micro/recall,test_incremental_location-transit/macro_types/precision,test_incremental_location-transit-road/macro_types/recall,test_incremental_location-transit-road/macro_types/precision,test_incremental_only/macro_types/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_location-transit-road/macro_types/f1,test_incremental/macro_types/precision,test/micro/recall,test/macro_types/f1,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/precision,epoch,test/macro_example/f1,test_incremental/macro_types/f1,test_pretraining/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_location-transit/macro_types/recall,threshold_incremental,test_pretraining/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test/micro/precision,test_incremental/macro_example/f1,test_incremental/macro_example/precision,threshold_pretraining,test/macro_types/precision,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/recall
kenn_hybrid_adapter_bert_ms,2,317uhm9s,0.7848322987556458,0.07556674629449844,0.01381351798772812,0.8635427355766296,0.799853503704071,1.0,0.014800196513533592,0.8570867776870728,0.8223083019256592,0.6190475821495056,1.0,0.014800196513533592,0.12756264209747314,0.799853503704071,1.0,0.7280701398849487,0.03926701471209526,0.8182529211044312,0.8635427355766296,0.6436781883239746,0.9629629850387572,1.0,0.03926701471209526,0.07556674629449844,0.8467731475830078,0.5081669688224792,0.07556674629449844,0.5011150240898132,0.8570867776870728,0.8322687745094299,0.8182529211044312,0.5263158082962036,44,0.8223083019256592,0.5936402678489685,0.8322687745094299,0.4912281036376953,0.45614033937454224,0.99,0.7497853636741638,0.7848322987556458,1.0,0.7497853636741638,0.01428984571248293,0.014800196513533592,0.33,0.8467731475830078,0.03926701471209526,0.014800196513533592,0.07079645991325378,1.0
kenn_top_down_adapter_bert_ms,2,1hdr3xa6,0.7848322987556458,0.07556674629449844,0.01381351798772812,0.8635427355766296,0.799853503704071,1.0,0.014800196513533592,0.8570867776870728,0.8223083019256592,0.6190475821495056,1.0,0.014800196513533592,0.12756264209747314,0.799853503704071,1.0,0.7280701398849487,0.03926701471209526,0.8182529211044312,0.8635427355766296,0.6436781883239746,0.9629629850387572,1.0,0.03926701471209526,0.07556674629449844,0.8467731475830078,0.5081669688224792,0.07556674629449844,0.5011150240898132,0.8570867776870728,0.8322687745094299,0.8182529211044312,0.5263158082962036,54,0.8223083019256592,0.5936402678489685,0.8322687745094299,0.4912281036376953,0.45614033937454224,0.99,0.7497853636741638,0.7848322987556458,1.0,0.7497853636741638,0.01428984571248293,0.014800196513533592,0.33,0.8467731475830078,0.03926701471209526,0.014800196513533592,0.07079645991325378,1.0
kenn_bottom_up_adapter_bert_ms,2,123hjbvl,0.8147087097167969,0.0991150438785553,0.013320177793502808,0.863213837146759,0.8166167736053467,0.9333333373069764,0.01381351798772812,0.8566941618919373,0.8382601737976074,0.6190475821495056,0.9333333969116212,0.01381351798772812,0.16640985012054443,0.8166167736053467,0.9333333373069764,0.6947368383407593,0.052336446940898895,0.816864013671875,0.863213837146759,0.6206896305084229,0.9629629850387572,0.9333333373069764,0.052336446940898895,0.0991150438785553,0.8470454216003418,0.49861496686935425,0.0991150438785553,0.5076497197151184,0.8566941618919373,0.8316810131072998,0.816864013671875,0.5263158082962036,45,0.8382601737976074,0.5866381525993347,0.8316810131072998,0.4736841917037964,0.45614033937454224,0.97,0.7801215648651123,0.8147087097167969,0.9333333969116212,0.7801215648651123,0.01402123924344778,0.014800196513533592,0.33,0.8470454216003418,0.052336446940898895,0.01381351798772812,0.09608540683984756,0.9333333969116212
kenn_hybrid_adapter_bert_ms,1,3vad74y0,0.7849145531654358,0.06835442781448364,0.013073507696390152,0.8630493879318237,0.7995968461036682,0.8999999761581421,0.013320177793502808,0.8564978241920471,0.8221296072006226,0.6190475821495056,0.9000000953674316,0.013320177793502808,0.1212814599275589,0.7995968461036682,0.8999999761581421,0.6780701875686646,0.03552631661295891,0.8161696195602417,0.8630493879318237,0.6091954112052917,0.9629629850387572,0.8999999761581421,0.03552631661295891,0.06835442781448364,0.8466951847076416,0.485854297876358,0.06835442781448364,0.49924466013908386,0.8564978241920471,0.8311522006988525,0.8161696195602417,0.5087719559669495,37,0.8221296072006226,0.5750762224197388,0.8311522006988525,0.4649122953414917,0.45614033937454224,0.99,0.7497851848602295,0.7849145531654358,0.9000000953674316,0.7497851848602295,0.01366240344941616,0.014306857250630856,0.33,0.8466951847076416,0.03552631661295891,0.013320177793502808,0.06734434515237808,0.9000000953674316
kenn_top_down_adapter_bert_ms,1,17pvefhp,0.7849145531654358,0.06835442781448364,0.013073507696390152,0.8630493879318237,0.7995968461036682,0.8999999761581421,0.013320177793502808,0.8564978241920471,0.8221296072006226,0.6190475821495056,0.9000000953674316,0.013320177793502808,0.1212814599275589,0.7995968461036682,0.8999999761581421,0.6780701875686646,0.03552631661295891,0.8161696195602417,0.8630493879318237,0.6091954112052917,0.9629629850387572,0.8999999761581421,0.03552631661295891,0.06835442781448364,0.8466951847076416,0.485854297876358,0.06835442781448364,0.49924466013908386,0.8564978241920471,0.8311522006988525,0.8161696195602417,0.5087719559669495,38,0.8221296072006226,0.5750762224197388,0.8311522006988525,0.4649122953414917,0.45614033937454224,0.99,0.7497851848602295,0.7849145531654358,0.9000000953674316,0.7497851848602295,0.01366240344941616,0.014306857250630856,0.33,0.8466951847076416,0.03552631661295891,0.013320177793502808,0.06734434515237808,0.9000000953674316
kenn_bottom_up_adapter_bert_ms,1,1mjyaanx,0.7849145531654358,0.06835442781448364,0.013073507696390152,0.8630493879318237,0.7995968461036682,0.8999999761581421,0.013320177793502808,0.8564978241920471,0.8221296072006226,0.6190475821495056,0.9000000953674316,0.013320177793502808,0.1212814599275589,0.7995968461036682,0.8999999761581421,0.6780701875686646,0.03552631661295891,0.8161696195602417,0.8630493879318237,0.6091954112052917,0.9629629850387572,0.8999999761581421,0.03552631661295891,0.06835442781448364,0.8466951847076416,0.485854297876358,0.06835442781448364,0.49924466013908386,0.8564978241920471,0.8311522006988525,0.8161696195602417,0.5087719559669495,38,0.8221296072006226,0.5750762224197388,0.8311522006988525,0.4649122953414917,0.45614033937454224,0.99,0.7497851848602295,0.7849145531654358,0.9000000953674316,0.7497851848602295,0.01366240344941616,0.014306857250630856,0.33,0.8466951847076416,0.03552631661295891,0.013320177793502808,0.06734434515237808,0.9000000953674316
kenn_hybrid_adapter_bert_ms,0,yf56avyj,0.7848322987556458,0.0658227801322937,0.012826837599277496,0.8628849387168884,0.7994135618209839,0.8666666746139526,0.012826837599277496,0.8563015460968018,0.8220099806785583,0.6190475821495056,0.8666667342185974,0.012826837599277496,0.1189931333065033,0.7994135618209839,0.8666666746139526,0.6614035367965698,0.03421052545309067,0.8154752254486084,0.8628849387168884,0.5977011322975159,0.9629629850387572,0.8666666746139526,0.03421052545309067,0.0658227801322937,0.8466678857803345,0.4810207486152649,0.0658227801322937,0.4985867440700531,0.8563015460968018,0.8307788372039795,0.8154752254486084,0.5087719559669495,16,0.8220099806785583,0.5685686469078064,0.8307788372039795,0.45614033937454224,0.45614033937454224,0.99,0.749613344669342,0.7848322987556458,0.8666667342185974,0.749613344669342,0.01352648250758648,0.014306857250630856,0.33,0.8466678857803345,0.03421052545309067,0.012826837599277496,0.0660737007856369,0.8666667342185974
kenn_top_down_adapter_bert_ms,0,32j6v8m9,0.7848322987556458,0.06337136030197144,0.01258016750216484,0.8627204895019531,0.7993035316467285,0.8333333134651184,0.012333497405052183,0.8561052083969116,0.8219352960586548,0.6190475821495056,0.8333333730697632,0.012333497405052183,0.1168384924530983,0.7993035316467285,0.8333333134651184,0.6447368264198303,0.03293807804584503,0.8147807121276855,0.8627204895019531,0.5862069129943848,0.9629629850387572,0.8333333134651184,0.03293807804584503,0.06337136030197144,0.8466413021087646,0.476098507642746,0.06337136030197144,0.4979505240917206,0.8561052083969116,0.8304055333137512,0.8147807121276855,0.5087719559669495,19,0.8219352960586548,0.5619158148765564,0.8304055333137512,0.4473684132099152,0.45614033937454224,0.99,0.7495703101158142,0.7848322987556458,0.833333432674408,0.7495703101158142,0.013388067483901978,0.014306857250630856,0.33,0.8466413021087646,0.03293807804584503,0.012333497405052183,0.06488549709320068,0.8333333730697632
kenn_bottom_up_adapter_bert_ms,0,3hounwf1,0.7848322987556458,0.0559796430170536,0.011840158142149448,0.8622271418571472,0.7989733219146729,0.7333333492279053,0.0108534786850214,0.8555163145065308,0.8217113018035889,0.6190475821495056,0.73333340883255,0.0108534786850214,0.11034482717514038,0.7989733219146729,0.7333333492279053,0.5947368144989014,0.029100529849529263,0.8126974105834961,0.8622271418571472,0.5517241358757019,0.9629629850387572,0.7333333492279053,0.029100529849529263,0.0559796430170536,0.8465614318847656,0.46077457070350647,0.0559796430170536,0.4960317611694336,0.8555163145065308,0.8292838931083679,0.8126974105834961,0.5087719559669495,18,0.8217113018035889,0.5409183502197266,0.8292838931083679,0.4210526049137115,0.45614033937454224,0.99,0.7494410872459412,0.7848322987556458,0.73333340883255,0.7494410872459412,0.012957153841853142,0.014306857250630856,0.33,0.8465614318847656,0.029100529849529263,0.0108534786850214,0.061302680522203445,0.73333340883255
box_adapter_bert_ms,2,g4kzw1je,0.5900313854217529,0.029168693348765373,0.007400098256766796,0.8071387410163879,0.6828569173812866,1.0,0.014800196513533592,0.7948566675186157,0.6817168593406677,0.0,1.0,0.014800196513533592,0.028382213786244392,0.6828569173812866,1.0,0.5,0.014800197444856169,0.6746863722801208,0.8071387410163879,0.3448275923728943,0.0,1.0,0.014800197444856169,0.029168693348765373,0.7353264093399048,0.35087719559669495,0.029168693348765373,0.007400098722428083,0.7948566675186157,0.703702449798584,0.6746863722801208,0.5263158082962036,19,0.6817168593406677,0.014584346674382688,0.703702449798584,0.2631579041481018,0.0,0.99,0.5985218286514282,0.5900313854217529,1.0,0.5985218286514282,0.009866798296570778,0.014800196513533592,0.26,0.7353264093399048,0.014800197444856169,0.014800196513533592,0.014800197444856169,1.0
