name,instance,run_id,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example/precision,test/macro_example/f1,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_location-transit/macro_types/f1,test/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example/recall,test/micro/precision,test_incremental_only/micro/f1,epoch,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_location-transit/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-transit-road/macro_types/precision,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test_incremental/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental/micro/precision,test_incremental_only/macro_types/f1,threshold_incremental,test/macro_types/recall,test_pretraining/micro/recall,test_incremental_location-transit/macro_types/precision,test/micro/recall,test_pretraining/micro/precision,test_pretraining/macro_example/recall,test_incremental_location-transit-road/macro_types/f1,test_incremental_location-transit-road/macro_types/recall,test_pretraining/macro_types/recall,test/micro/f1,test/macro_example/precision,test_incremental/micro/recall,test_incremental/macro_example_exclusive/precision,test_incremental/macro_example/recall,test_incremental/macro_types/precision,test/macro_types/precision
kenn_hybrid_adapter_bert_ms,2,1qgcjm9z,0.7995235323905945,0.8311517834663391,0.6780701875686646,0.013320176862180231,0.014306857250630856,0.8220844864845276,0.7848322987556458,0.013320176862180231,0.6190475821495056,0.8311517834663391,0.9000000953674316,0.12114284932613371,0.8220844864845276,0.013320176862180231,0.7496563792228699,0.06826801598072052,126,0.4649122953414917,0.8999999761581421,0.8999999761581421,0.03547963127493858,0.9000000953674316,0.8630493879318237,0.8466942310333252,0.45614033937454224,0.9000000953674316,0.03547963127493858,0.485854297876358,0.33,0.5750607848167419,0.01366240344941616,0.03547963127493858,0.06725887954235077,0.06826801598072052,0.99,0.8161696195602417,0.8564978241920471,0.9629629850387572,0.8564978241920471,0.7496563792228699,0.8630493879318237,0.06826801598072052,0.8999999761581421,0.8161696195602417,0.7995235323905945,0.7848322987556458,0.6091954112052917,0.5087719559669495,0.013073507696390152,0.4992212951183319,0.8466942310333252
kenn_top_down_adapter_bert_ms,2,3ek1xkch,0.7994135618209839,0.8307788372039795,0.6614035367965698,0.012826837599277496,0.014306857250630856,0.8220099806785583,0.7848322987556458,0.012826837599277496,0.6190475821495056,0.8307788372039795,0.8666667342185974,0.1189931333065033,0.8220099806785583,0.012826837599277496,0.749613344669342,0.0658227801322937,126,0.4561403691768646,0.8666666746139526,0.8666666746139526,0.03421052545309067,0.8666667342185974,0.8628849387168884,0.8466678857803345,0.45614033937454224,0.8666667342185974,0.03421052545309067,0.4810207784175873,0.33,0.5685686469078064,0.01352648250758648,0.03421052545309067,0.0660737007856369,0.0658227801322937,0.99,0.8154752254486084,0.8563015460968018,0.9629629850387572,0.8563015460968018,0.749613344669342,0.8628849387168884,0.0658227801322937,0.8666666746139526,0.8154752254486084,0.7994135618209839,0.7848322987556458,0.5977011322975159,0.5087719559669495,0.012826837599277496,0.4985867440700531,0.8466678857803345
kenn_bottom_up_adapter_bert_ms,2,ohu22k4g,0.7993035316467285,0.8304055333137512,0.6447368264198303,0.012333497405052183,0.014306857250630856,0.8219352960586548,0.7848322987556458,0.012333497405052183,0.6190475821495056,0.8304055333137512,0.833333432674408,0.1168384924530983,0.8219352960586548,0.012333497405052183,0.7495703101158142,0.06337136030197144,126,0.4473684430122375,0.8333333134651184,0.8333333134651184,0.03293807804584503,0.8333333730697632,0.8627204895019531,0.8466413021087646,0.45614033937454224,0.8333333730697632,0.03293807804584503,0.4760985374450683,0.33,0.5619158148765564,0.013388067483901978,0.03293807804584503,0.06488549709320068,0.06337136030197144,0.99,0.8147807121276855,0.8561052083969116,0.9629629850387572,0.8561052083969116,0.7495703101158142,0.8627204895019531,0.06337136030197144,0.8333333134651184,0.8147807121276855,0.7993035316467285,0.7848322987556458,0.5862069129943848,0.5087719559669495,0.01258016750216484,0.4979505240917206,0.8466413021087646
kenn_hybrid_adapter_bert_ms,1,2y8q2jhp,0.7993767857551575,0.8304060101509094,0.6447368264198303,0.012333497405052183,0.014306857250630856,0.8219804763793945,0.7849145531654358,0.012333497405052183,0.6190475821495056,0.8304060101509094,0.833333432674408,0.11697248369455338,0.8219804763793945,0.012333497405052183,0.7496991753578186,0.06345177441835403,102,0.4473684132099152,0.8333333134651184,0.8333333134651184,0.03298152983188629,0.8333333730697632,0.8627204895019531,0.846642255783081,0.45614033937454224,0.8333333730697632,0.03298152983188629,0.476098507642746,0.33,0.5619296431541443,0.013388067483901978,0.03298152983188629,0.06496815383434296,0.06345177441835403,0.99,0.8147807121276855,0.8561052083969116,0.9629629850387572,0.8561052083969116,0.7496991753578186,0.8627204895019531,0.06345177441835403,0.8333333134651184,0.8147807121276855,0.7993767857551575,0.7849145531654358,0.5862069129943848,0.5087719559669495,0.01258016750216484,0.4979722499847412,0.846642255783081
kenn_top_down_adapter_bert_ms,1,297ogmmi,0.7993767857551575,0.8304060101509094,0.6447368264198303,0.012333497405052183,0.014306857250630856,0.8219804763793945,0.7849145531654358,0.012333497405052183,0.6190475821495056,0.8304060101509094,0.833333432674408,0.11697248369455338,0.8219804763793945,0.012333497405052183,0.7496991753578186,0.06345177441835403,126,0.4473684132099152,0.8333333134651184,0.8333333134651184,0.03298152983188629,0.8333333730697632,0.8627204895019531,0.846642255783081,0.45614033937454224,0.8333333730697632,0.03298152983188629,0.476098507642746,0.33,0.5619296431541443,0.013388067483901978,0.03298152983188629,0.06496815383434296,0.06345177441835403,0.99,0.8147807121276855,0.8561052083969116,0.9629629850387572,0.8561052083969116,0.7496991753578186,0.8627204895019531,0.06345177441835403,0.8333333134651184,0.8147807121276855,0.7993767857551575,0.7849145531654358,0.5862069129943848,0.5087719559669495,0.01258016750216484,0.4979722499847412,0.846642255783081
kenn_bottom_up_adapter_bert_ms,1,6fh5gpnm,0.7993767857551575,0.8304060101509094,0.6447368264198303,0.012333497405052183,0.014306857250630856,0.8219804763793945,0.7849145531654358,0.012333497405052183,0.6190475821495056,0.8304060101509094,0.833333432674408,0.11697248369455338,0.8219804763793945,0.012333497405052183,0.7496991753578186,0.06345177441835403,97,0.4473684132099152,0.8333333134651184,0.8333333134651184,0.03298152983188629,0.8333333730697632,0.8627204895019531,0.846642255783081,0.45614033937454224,0.8333333730697632,0.03298152983188629,0.476098507642746,0.33,0.5619296431541443,0.013388067483901978,0.03298152983188629,0.06496815383434296,0.06345177441835403,0.99,0.8147807121276855,0.8561052083969116,0.9629629850387572,0.8561052083969116,0.7496991753578186,0.8627204895019531,0.06345177441835403,0.8333333134651184,0.8147807121276855,0.7993767857551575,0.7849145531654358,0.5862069129943848,0.5087719559669495,0.01258016750216484,0.4979722499847412,0.846642255783081
kenn_hybrid_adapter_bert_ms,0,1uextbl3,0.7994135618209839,0.8307788372039795,0.6614035367965698,0.012826837599277496,0.014306857250630856,0.8220099806785583,0.7848322987556458,0.012826837599277496,0.6190475821495056,0.8307788372039795,0.8666667342185974,0.1189931333065033,0.8220099806785583,0.012826837599277496,0.749613344669342,0.0658227801322937,28,0.45614033937454224,0.8666666746139526,0.8666666746139526,0.03421052545309067,0.8666667342185974,0.8628849387168884,0.8466678857803345,0.45614033937454224,0.8666667342185974,0.03421052545309067,0.4810207486152649,0.33,0.5685686469078064,0.01352648250758648,0.03421052545309067,0.0660737007856369,0.0658227801322937,0.99,0.8154752254486084,0.8563015460968018,0.9629629850387572,0.8563015460968018,0.749613344669342,0.8628849387168884,0.0658227801322937,0.8666666746139526,0.8154752254486084,0.7994135618209839,0.7848322987556458,0.5977011322975159,0.5087719559669495,0.012826837599277496,0.4985867440700531,0.8466678857803345
kenn_top_down_adapter_bert_ms,0,1nkb4ktd,0.7993035316467285,0.8304055333137512,0.6447368264198303,0.012333497405052183,0.014306857250630856,0.8219352960586548,0.7848322987556458,0.012333497405052183,0.6190475821495056,0.8304055333137512,0.833333432674408,0.1168384924530983,0.8219352960586548,0.012333497405052183,0.7495703101158142,0.06337136030197144,33,0.4473684132099152,0.8333333134651184,0.8333333134651184,0.03293807804584503,0.8333333730697632,0.8627204895019531,0.8466413021087646,0.45614033937454224,0.8333333730697632,0.03293807804584503,0.476098507642746,0.33,0.5619158148765564,0.013388067483901978,0.03293807804584503,0.06488549709320068,0.06337136030197144,0.99,0.8147807121276855,0.8561052083969116,0.9629629850387572,0.8561052083969116,0.7495703101158142,0.8627204895019531,0.06337136030197144,0.8333333134651184,0.8147807121276855,0.7993035316467285,0.7848322987556458,0.5862069129943848,0.5087719559669495,0.01258016750216484,0.4979505240917206,0.8466413021087646
kenn_bottom_up_adapter_bert_ms,0,cv2744kp,0.7988631725311279,0.8289092779159546,0.5780701637268066,0.01036013849079609,0.014306857250630856,0.8216366767883301,0.7848322987556458,0.01036013849079609,0.6190475821495056,0.8289092779159546,0.7000000476837158,0.1081703081727028,0.8216366767883301,0.01036013849079609,0.7493979930877686,0.053503185510635376,30,0.4122806787490845,0.699999988079071,0.699999988079071,0.02781456895172596,0.7000000476837158,0.8620626926422119,0.8465346097946167,0.45614033937454224,0.7000000476837158,0.02781456895172596,0.45547202229499817,0.33,0.5335453152656555,0.01280804444104433,0.02781456895172596,0.060102302581071854,0.053503185510635376,0.99,0.8120028972625732,0.8553199768066406,0.9629629850387572,0.8553199768066406,0.7493979930877686,0.8620626926422119,0.053503185510635376,0.699999988079071,0.8120028972625732,0.7988631725311279,0.7848322987556458,0.540229856967926,0.5087719559669495,0.011593488045036793,0.49538877606391907,0.8465346097946167
box_adapter_bert_ms,2,1gt9s4h7,0.6828569173812866,0.703702449798584,0.5,0.014800196513533592,0.014800196513533592,0.6817168593406677,0.5900313854217529,0.014800196513533592,0.0,0.703702449798584,1.0,0.028382213786244392,0.6817168593406677,0.014800196513533592,0.5985218286514282,0.029168693348765373,18,0.2631579041481018,1.0,1.0,0.014800197444856169,1.0,0.8071387410163879,0.7353264093399048,0.0,1.0,0.014800197444856169,0.35087719559669495,0.26,0.014584346674382688,0.009866798296570778,0.014800197444856169,0.014800197444856169,0.029168693348765373,0.99,0.6746863722801208,0.7948566675186157,0.0,0.7948566675186157,0.5985218286514282,0.8071387410163879,0.029168693348765373,1.0,0.6746863722801208,0.6828569173812866,0.5900313854217529,0.3448275923728943,0.5263158082962036,0.007400098256766796,0.007400098722428083,0.7353264093399048
box_adapter_bert_ms,1,12b274lz,0.6828569173812866,0.703702449798584,0.5,0.014800196513533592,0.014800196513533592,0.6817168593406677,0.5900313854217529,0.014800196513533592,0.0,0.703702449798584,1.0,0.028382213786244392,0.6817168593406677,0.014800196513533592,0.5985218286514282,0.029168693348765373,25,0.2631579041481018,1.0,1.0,0.014800197444856169,1.0,0.8071387410163879,0.7353264093399048,0.0,1.0,0.014800197444856169,0.35087719559669495,0.26,0.014584346674382688,0.009866798296570778,0.014800197444856169,0.014800197444856169,0.029168693348765373,0.99,0.6746863722801208,0.7948566675186157,0.0,0.7948566675186157,0.5985218286514282,0.8071387410163879,0.029168693348765373,1.0,0.6746863722801208,0.6828569173812866,0.5900313854217529,0.3448275923728943,0.5263158082962036,0.007400098256766796,0.007400098722428083,0.7353264093399048
box_adapter_bert_ms,0,2kg95dvi,0.6828569173812866,0.703702449798584,0.5,0.014800196513533592,0.014800196513533592,0.6817168593406677,0.5900313854217529,0.014800196513533592,0.0,0.703702449798584,1.0,0.028382213786244392,0.6817168593406677,0.014800196513533592,0.5985218286514282,0.029168693348765373,26,0.2631579041481018,1.0,1.0,0.014800197444856169,1.0,0.8071387410163879,0.7353264093399048,0.0,1.0,0.014800197444856169,0.35087719559669495,0.26,0.014584346674382688,0.009866798296570778,0.014800197444856169,0.014800197444856169,0.029168693348765373,0.99,0.6746863722801208,0.7948566675186157,0.0,0.7948566675186157,0.5985218286514282,0.8071387410163879,0.029168693348765373,1.0,0.6746863722801208,0.6828569173812866,0.5900313854217529,0.3448275923728943,0.5263158082962036,0.007400098256766796,0.007400098722428083,0.7353264093399048
classifier_adapter_bert_ms,2,2rwkns8q,0.7997435331344604,0.8318967819213867,0.711403489112854,0.014306857250630856,0.014306857250630856,0.8222337961196899,0.7848322987556458,0.014306857250630856,0.6190475821495056,0.8318967819213867,0.9666666984558104,0.12542758882045746,0.8222337961196899,0.014306857250630856,0.749742329120636,0.0731399655342102,8,0.48245614767074585,0.9666666388511658,0.9666666388511658,0.038007862865924835,0.9666666984558104,0.8633782863616943,0.8467469215393066,0.45614033937454224,0.9666666984558104,0.038007862865924835,0.4952647089958191,0.33,0.5875902771949768,0.013927029445767404,0.038007862865924835,0.06962025165557861,0.0731399655342102,0.99,0.8175585269927979,0.8568904399871826,0.9629629850387572,0.8568904399871826,0.749742329120636,0.8633782863616943,0.0731399655342102,0.9666666388511658,0.8175585269927979,0.7997435331344604,0.7848322987556458,0.6321839094161987,0.5087719559669495,0.013566847890615463,0.5004854202270508,0.8467469215393066
