name,test_incremental/micro/recall/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_person-artist-director/macro_types/f1/mean,threshold_incremental/mean,test_incremental/macro_types/precision/mean,test_incremental_person-artist-actor/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test/macro_example/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_person-artist-director/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_person-artist-director/macro_types/precision/mean,test/micro/recall/mean,test/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_types/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/micro/precision/mean,test_incremental_person-artist/macro_types/recall/mean,test_incremental_person-artist-music/macro_types/recall/mean,test/macro_example/precision/mean,test_pretraining/macro_example/precision/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental_person-artist/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/micro/f1/mean,test_incremental_person-artist-actor/macro_types/precision/mean,test_incremental_person-artist-music/macro_types/precision/mean,test_incremental_person-artist-author/macro_types/f1/mean,test_incremental_person-artist-actor/macro_types/recall/mean,test_incremental_person-artist/macro_types/precision/mean,test/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/precision/mean,test/macro_example/f1/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_person-artist-author/macro_types/precision/mean,test/micro/f1/mean,threshold_pretraining/mean,epoch/mean,test_pretraining/macro_types/precision/mean,test_incremental_person-artist-music/macro_types/f1/mean,test_incremental_person-artist-author/macro_types/recall/mean,test_incremental/micro/recall/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_person-artist-director/macro_types/f1/std,threshold_incremental/std,test_incremental/macro_types/precision/std,test_incremental_person-artist-actor/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/recall/std,test/macro_example/recall/std,test_incremental_only/micro/recall/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_person-artist-director/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_person-artist-director/macro_types/precision/std,test/micro/recall/std,test/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_types/precision/std,test_incremental/micro/precision/std,test_incremental_only/micro/precision/std,test_incremental_only/macro_example/f1/std,test_pretraining/micro/precision/std,test_incremental_person-artist/macro_types/recall/std,test_incremental_person-artist-music/macro_types/recall/std,test/macro_example/precision/std,test_pretraining/macro_example/precision/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_incremental_person-artist/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test_pretraining/micro/f1/std,test_incremental_person-artist-actor/macro_types/precision/std,test_incremental_person-artist-music/macro_types/precision/std,test_incremental_person-artist-author/macro_types/f1/std,test_incremental_person-artist-actor/macro_types/recall/std,test_incremental_person-artist/macro_types/precision/std,test/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test/micro/precision/std,test/macro_example/f1/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/f1/std,test_incremental_person-artist-author/macro_types/precision/std,test/micro/f1/std,threshold_pretraining/std,epoch/std,test_pretraining/macro_types/precision/std,test_incremental_person-artist-music/macro_types/f1/std,test_incremental_person-artist-author/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.6073059340318044,0.6473516623179117,0.3453872495641311,0.01,0.5111825068791708,0.16399722546339032,0.38876597955822945,0.08723326275746028,0.19214061150948206,0.38474076986312866,0.5286064247290293,0.7879801193873087,0.38888888930281,0.12887495259443918,0.10359315822521846,0.4349515736103058,0.5666666726271311,0.4195934037367503,0.4396110624074936,0.6239810210342208,0.7655273675918579,0.6495049198468527,0.2323008750875791,0.7262610197067261,0.5575020983815193,0.5744374444087347,0.02965850553785761,0.6793747047583262,0.9032257795333862,0.4144144169986248,0.6821940441926321,0.6821940441926321,0.7003750503063202,0.6495049198468527,0.025900345916549366,0.847058892250061,0.7526284654935201,0.6887787083784739,0.2628138077755769,0.5060845253368219,0.0688296848287185,0.42028985420862836,0.797468364238739,0.6846656004587809,0.7879801193873087,0.266007920106252,0.08910266558329265,0.04334539175033569,0.6337699691454569,0.6793747047583262,0.7003750503063202,0.7655273675918579,0.6846656004587809,0.36556487530469894,0.6887787083784739,0.26,26.333333333333332,0.7262610197067261,0.1505318321287632,0.3384353742003441,0.3050867584224728,0.2552597178497056,0.2770489272521686,0.01,0.3050019446049793,0.19846082239635499,0.5303719150620246,0.0029539005751147707,0.09146510973036528,0.05828938970931556,0.3914985572924856,0.01846315822967945,0.530269871653953,0.06366127323664901,0.035262159820768746,0.48937318144369674,0.3785938842097271,0.2436628638123984,0.3812524312384258,0.5323795611026765,0.0368324144182099,0.03838221002753212,0.17018149234444147,0.0299021368592303,0.4180776434242747,0.4619026311363862,0.031593189689122815,0.29192834959962394,0.0,0.5116133626071969,0.3039506430222129,0.3039506430222129,0.19946296666854998,0.03838221002753212,0.01897435612595946,0.0,0.2561878235044146,0.18006442713888973,0.4070633166649162,0.4909014935203299,0.0943177807572748,0.5187110197655773,0.0,0.010451057483979776,0.01846315822967945,0.28336015583211976,0.03513440657965507,0.05913371945851769,0.021460759838152953,0.29192834959962394,0.19946296666854998,0.0368324144182099,0.010451057483979776,0.5515599770247325,0.18006442713888973,0.0,10.503967504392486,0.0299021368592303,0.14843134558850044,0.5729828836268571
no_init_box_kenn_hybrid_adapter_bert_ms,0.6027397215366364,0.6439864834149679,0.3302357289940119,0.016666666666666666,0.49192583560943604,0.16023653000593185,0.3821288098891576,0.08691313614447911,0.17503012468417486,0.3731832305590312,0.5183785458405813,0.7877072095870972,0.3809523818393548,0.1164620170990626,0.10383982211351395,0.42216673493385315,0.5444444517294565,0.41679510474205017,0.4155402034521103,0.671600065814952,0.7649761239687601,0.6485021909077963,0.21902654568354288,0.7243731021881104,0.5617667511105537,0.6314822286367416,0.028656743622074526,0.6797522604465485,0.9032257795333862,0.3963963948190212,0.682418555021286,0.682418555021286,0.7003262341022491,0.6485021909077963,0.02442032564431429,0.847058892250061,0.754420538743337,0.6886311074097952,0.28557803357640904,0.6727511920034885,0.058779433369636536,0.41449275116125744,0.797468364238739,0.6833102107048035,0.7877072095870972,0.2570230985681216,0.08863947292168935,0.042605381924659014,0.6314442356427511,0.6797522604465485,0.7003262341022491,0.7649761239687601,0.6833102107048035,0.032231541971365615,0.6886311074097952,0.26,21.666666666666668,0.7243731021881104,0.12550401563445726,0.3333333333333333,0.30898769598993453,0.25805528480056883,0.26143993924448805,0.02081665999466133,0.26782233460850446,0.19219805751554683,0.535835137870963,0.0025986128661093693,0.07959853824002425,0.04809402970944266,0.40054263874824686,0.01869566351141063,0.5370500681431097,0.05880361556786908,0.03547556131501664,0.5006782746687858,0.39487456351950634,0.24128062225848998,0.3347778992684216,0.5688053712107785,0.03730334409084737,0.03926888078217324,0.1804284473334209,0.02625706309263222,0.42173970694788016,0.5121880032492021,0.032387378147423186,0.2922548494214566,0.0,0.5243057497967732,0.30414507742524655,0.30414507742524655,0.19942059699801815,0.03926888078217324,0.020116839069566985,0.0,0.25773823748088603,0.17993719730652302,0.44640471330525205,0.5668115621663101,0.10180896503631998,0.5214733634730655,0.0,0.010602895494148258,0.01869566351141063,0.29048324788215635,0.035519196354797715,0.059742840341317584,0.018879611946337024,0.2922548494214566,0.19942059699801815,0.03730334409084737,0.010602895494148258,0.05582666830069398,0.17993719730652302,0.0,5.507570547286103,0.02625706309263222,0.1030542956274145,0.5773502691896258
no_init_box_kenn_top_down_adapter_bert_ms,0.43734146157900494,0.5045200983683268,0.4620563288529714,0.01,0.558101753393809,0.17522521441181502,0.09046214322249095,0.08805639048417409,0.24356388797362646,0.3976416190465291,0.3101113090912501,0.7776164412498474,0.09347442723810673,0.1546651509900888,0.12062160422404607,0.16183268278837204,0.35555556416511536,0.5559588074684143,0.49826006094614667,0.7692307829856873,0.7450079719225565,0.628083864847819,0.1563421885172526,0.7308609088261923,0.767568826675415,0.6790801882743835,0.01267270107443134,0.845138152440389,0.9032257795333862,0.13513512909412384,0.8558626174926758,0.8558626174926758,0.8148627082506815,0.628083864847819,0.01743134343996644,0.847058892250061,0.8763440847396851,0.791909376780192,0.4095238248507182,0.3142857253551483,0.03875145005683105,0.13623187939325967,0.797468364238739,0.6755638718605042,0.7776164412498474,0.1136618008216222,0.06944307188193004,0.010086060035973787,0.6397502024968466,0.845138152440389,0.8148627082506815,0.7450079719225565,0.6755638718605042,0.5,0.791909376780192,0.26,22.666666666666668,0.7308609088261923,0.158730149269104,0.02040816377848387,0.039112560655601224,0.02956258965375113,0.03956252157843146,0.0,0.17552092279664877,0.26139595409660477,0.054941418432773136,0.002911407717829334,0.11980820259614063,0.09893306401209617,0.06621334410297422,0.0021643937871296073,0.06798135477054493,0.10608135972082022,0.0037000440061098643,0.08276667755770366,0.10183500937362319,0.02759333588400747,0.21940112274326992,0.23076921701431274,0.004721982349150407,0.006491531669416008,0.11370333555836544,0.017207925627724198,0.03085491266686858,0.19625703725293894,0.008448555516179318,0.0029147000041165887,0.0,0.1687837221412225,0.0019580593277737615,0.0019580593277737615,0.0010026198805649326,0.006491531669416008,0.012677331927910297,0.0,0.026881694793701172,0.001915019361603189,0.3549456352014994,0.30101869041229223,0.05071768926571095,0.21376687989068507,0.0,0.011012577724705163,0.0021643937871296073,0.07577532901468456,0.004069047153469451,0.006125682619613485,0.02115208055658383,0.0029147000041165887,0.0010026198805649326,0.004721982349150407,0.011012577724705163,0.4409585480893592,0.001915019361603189,0.0,5.773502691896258,0.017207925627724198,0.1672325892837911,0.026997463388679144
no_init_kenn_bottom_up_adapter_bert_ms,0.6879756450653076,0.7252887090047201,0.11784612387418747,0.036666666666666674,0.38381365935007733,0.36905274788538617,0.5809980432192484,0.08355277528365453,0.3560178279876709,0.4627382755279541,0.5876896977424622,0.8510978619257609,0.5555555621782938,0.3607676426569621,0.0719371810555458,0.5177662173906962,0.46666666865348816,0.5214669704437256,0.27398476004600525,0.0675119621058305,0.8353546460469564,0.7911217013994852,0.2518436660369237,0.8176820278167725,0.4207875728607178,0.26808767517407733,0.0391559936106205,0.778427263100942,0.8673835396766663,0.4954955081144969,0.8356470266977946,0.8356470266977946,0.8432953357696533,0.7911217013994852,0.02807926262418429,0.8446771502494812,0.5226403872172037,0.8058465719223022,0.2971380949020386,0.09072329600652058,0.6270320216814677,0.4898550609747569,0.8231292366981506,0.8041662375132242,0.8510978619257609,0.3511911729971568,0.09983006864786148,0.06477827082077663,0.6070303519566854,0.778427263100942,0.8432953357696533,0.8353546460469564,0.8041662375132242,0.6405656933784485,0.8058465719223022,0.33,11.333333333333334,0.8176820278167725,0.15315809845924377,0.6190476417541504,0.04983474478296964,0.03452807544178887,0.036705146819971265,0.015275252316519468,0.0026245934475197055,0.03233902914730385,0.06473872640448862,0.0005583644565732316,0.029526520803363078,0.029913956653723893,0.09173623661339873,0.0029676598896283173,0.08661749783672874,0.02434621645274256,0.0016239675180574722,0.11467022406679128,0.1855921343655135,0.007517024046047311,0.003280739844356626,0.020150532829071772,0.006016416320004872,0.008993725414404385,0.043113218877627896,0.0002573344581114942,0.009728348349667335,0.007205992335190185,0.005995254417717375,0.007918252953515004,0.0,0.1583639278051854,0.002706199059371088,0.002706199059371088,0.00016220110472937394,0.008993725414404385,0.004806900739951367,0.0,0.011798513967093052,0.0015294521001723736,0.013598571014648437,0.019262137884753103,0.021961085092348533,0.07842173441982796,0.0,0.004756569248532895,0.0029676598896283173,0.05377157032233822,0.004752512564520561,0.0072180351018889775,0.0040566146805699555,0.007918252953515004,0.00016220110472937394,0.006016416320004872,0.004756569248532895,0.03068571054456192,0.0015294521001723736,0.0,0.5773502691896258,0.0002573344581114942,0.034723107290060284,0.0703884427505521
no_init_kenn_hybrid_adapter_bert_ms,0.7432775298754374,0.7682596445083618,0.14344239483277002,0.02,0.37992699940999347,0.3877773880958557,0.6672812104225159,0.08355248719453812,0.3755996028582255,0.48651671409606934,0.6867130398750305,0.8546642065048218,0.6516755024592081,0.3735988934834798,0.06925121943155925,0.6415453950564066,0.6777777870496114,0.5182125767072042,0.26912643512090045,0.08039306725064914,0.8420311212539673,0.8008298675219218,0.3027286132176717,0.8173009753227234,0.3998828132947286,0.26384595036506653,0.04641811177134514,0.7649933298428854,0.8673835396766663,0.6126126050949097,0.8314684430758158,0.8314684430758158,0.8428908586502075,0.8008298675219218,0.03375267113248507,0.8446771502494812,0.5031262735525767,0.8015473286310831,0.29470210274060565,0.09601132820049922,0.6438481609026591,0.5768116116523743,0.8231292366981506,0.8089504440625509,0.8546642065048218,0.41632528106371564,0.10574466486771901,0.07439839839935303,0.6070283253987631,0.7649933298428854,0.8428908586502075,0.8420311212539673,0.8089504440625509,0.6053992708524069,0.8015473286310831,0.33,11.333333333333334,0.8173009753227234,0.16557355721791586,0.6989795962969462,0.07181742763596595,0.05382747582497743,0.03917056119301202,0.017320508075688773,0.0017716500131768288,0.042292155620576186,0.10632284821495017,0.0008573901832035419,0.02840204712445769,0.032317511141214554,0.12234641712078481,0.004570974570214684,0.1248254836401051,0.023414312423954073,0.00219128390636266,0.15293300014319225,0.271484261402703,0.0017345543142738154,0.0022145320290790785,0.020474386288891155,0.008670351224350031,0.011994731777089318,0.06298620917921645,0.00017368718828173052,0.020837009540581243,0.0010072275739150982,0.008965447042371013,0.0149449310844704,0.0,0.12187160178239491,0.00440114007363666,0.00440114007363666,0.00015566217157471666,0.011994731777089318,0.007022635968967155,0.0,0.01592019383189731,0.004180446038635893,0.011905513118373172,0.0055295470982122084,0.025649379228518024,0.13053137538229592,0.0,0.006069569538628278,0.004570974570214684,0.08041134248024083,0.007408911818915209,0.011854448630689433,0.006229124911081165,0.0149449310844704,0.00015566217157471666,0.008670351224350031,0.006069569538628278,0.03989526829545919,0.004180446038635893,0.0,0.5773502691896258,0.00017368718828173052,0.011466229821928763,0.10242273989714017
no_init_kenn_top_down_adapter_bert_ms,0.7625570893287659,0.7870370348294576,0.12217101454734802,0.043333333333333335,0.3558809260527293,0.36986973881721497,0.7083333134651184,0.08286061882972717,0.344457467397054,0.46832719445228577,0.7135613560676575,0.8559636473655701,0.6851851940155029,0.3378969728946686,0.06739297260840733,0.6751057704289755,0.699999988079071,0.47921742995580036,0.23906884590784708,0.0674015482266744,0.8443587025006613,0.803462028503418,0.3215339283148448,0.814943532148997,0.35603280862172443,0.2296172877152761,0.0492965430021286,0.7407528360684713,0.8673835396766663,0.6486486295859019,0.8194659550984701,0.8194659550984701,0.8371647198994955,0.803462028503418,0.03584936447441578,0.8446771502494812,0.4896256625652313,0.7884542544682821,0.27014877398808795,0.07999915132919948,0.6009958585103353,0.6289855043093363,0.8231292366981506,0.8090821504592896,0.8559636473655701,0.4421420494715373,0.10832921912272771,0.07897549619277318,0.6020016670227051,0.7407528360684713,0.8371647198994955,0.8443587025006613,0.8090821504592896,0.5387259324391683,0.7884542544682821,0.33,12.0,0.814943532148997,0.14113565782705942,0.7227891087532043,0.11056767047961856,0.08366651835349907,0.03739109864787274,0.02886751345948129,0.02429252011541858,0.022127490944600654,0.16501016771285443,0.0017588393153239548,0.015102899598881763,0.017714084144403217,0.17687248286854765,0.0070288408850414956,0.19217714866880747,0.010400033293267878,0.0019288397450844584,0.22109059423335878,0.30550502812086955,0.034329033703863754,0.030365643077174157,0.020659174065281186,0.013348568956164219,0.01734040609792785,0.08221225515669582,0.0023816009474410464,0.05558057939773653,0.02527335066371502,0.012240475136174963,0.04277286299731354,0.0,0.26063920119544265,0.02035824465609798,0.02035824465609798,0.007447290987096453,0.01734040609792785,0.009166240411506727,0.0,0.014013488876764348,0.019079499211131824,0.01787945968817125,0.00903094458737083,0.023600857445686744,0.21866293547492302,0.0,0.0076274178552458655,0.0070288408850414956,0.10978516136762537,0.011516008757482918,0.018397774333199564,0.012778392251009726,0.04277286299731354,0.007447290987096453,0.013348568956164219,0.0076274178552458655,0.10285187332923128,0.019079499211131824,0.0,1.0,0.0023816009474410464,0.016098904089065256,0.1564533360096347
smart_init_box_adapter_bert_ms,0.947742243607839,0.933094342549642,0.09018262227376302,0.02666666666666667,0.27522483964761096,0.29581480224927265,0.9845132629076639,0.08371450503667195,0.2501741250356038,0.4273461898167928,0.965398907661438,0.808555543422699,0.9805996417999268,0.2510039607683818,0.06209504852692286,0.9809421896934509,1.0,0.34857799609502155,0.1446639448404312,0.04735923310120901,0.8066274523735046,0.6923277179400126,0.4111356933911641,0.703127920627594,0.21585823595523834,0.14521201699972153,0.06467130780220032,0.5922103126843771,0.9032257795333862,0.9639639457066854,0.72205517689387,0.72205517689387,0.7616844971974691,0.6923277179400126,0.04583950092395147,0.847058892250061,0.4511350194613139,0.6810593207677206,0.17622666309277216,0.055947999159495033,0.45283838113149005,0.9768115878105164,0.797468364238739,0.69768093029658,0.808555543422699,0.5800387064615885,0.12843282520771027,0.10976812740166982,0.6082053780555725,0.5922103126843771,0.7616844971974691,0.8066274523735046,0.69768093029658,0.299121896425883,0.6810593207677206,0.26,10.0,0.703127920627594,0.10538220157225926,0.9829932053883871,0.008654856651647362,0.006550688601484377,0.027005080922939847,0.015275252316519468,0.03543035714562387,0.08023487674339982,0.012318059860137986,0.0010160564472225112,0.06830001345860166,0.042496951258681054,0.011849209420609429,0.0005246903439679646,0.01504297382624713,0.06800250454724636,0.000909115032392163,0.014811516529249311,0.0,0.08226864435169792,0.04428793163083545,0.014711844389045667,0.001044876765512605,0.0011616590085095839,0.008153884375089343,0.003473554235185931,0.060639692437617396,0.044171207099496276,0.0011402032261801996,0.07600784948418948,0.0,0.03120813847016581,0.0682033563852448,0.0682033563852448,0.03886917046596428,0.0011616590085095839,0.0009091164643318769,0.0,0.006604912812571256,0.05181653039565634,0.054862898960996935,0.016244285863211305,0.1105822072387708,0.013282817130387516,0.0,0.0011241580390643267,0.0005246903439679646,0.010226467399877788,0.0009016486055108577,0.0013734029833255466,0.007381850458747801,0.07600784948418948,0.03886917046596428,0.001044876765512605,0.0011241580390643267,0.09137666740126323,0.05181653039565634,0.0,0.0,0.003473554235185931,0.029094836413718243,0.015586984727256652
smart_init_classifier_adapter_bert_ms,0.7970573504765829,0.8118876814842224,0.09899858633677165,0.030000000000000002,0.34358476599057514,0.37320032715797424,0.7549164295196533,0.0834847241640091,0.33352745572725934,0.46502336859703064,0.7481257716814677,0.8579053084055582,0.7451499104499817,0.33229804039001465,0.06695992747942607,0.7183113296826681,0.6444444358348846,0.4648108084996541,0.22369863589604697,0.05395825579762459,0.8485238353411356,0.8068507115046183,0.3301376700401306,0.8137379884719849,0.3337750534216563,0.2182376285394033,0.05121008679270744,0.7254203955332438,0.8673835396766663,0.7387387355168661,0.812944233417511,0.812944233417511,0.834679921468099,0.8068507115046183,0.03680863790214062,0.8446771502494812,0.4864795009295146,0.7814941008885702,0.26059649884700775,0.08198683708906174,0.5965897639592489,0.704347829023997,0.8231292366981506,0.8102081418037415,0.8579053084055582,0.45930466055870056,0.11174970865249634,0.08416926860809326,0.6065360506375631,0.7254203955332438,0.834679921468099,0.8485238353411356,0.8102081418037415,0.4982529580593109,0.7814941008885702,0.33,11.666666666666666,0.8137379884719849,0.1465146541595459,0.7857142885526022,0.10497134386962086,0.0793913670590045,0.017818030357872626,0.026457513110645908,0.020723802434722143,0.02670339132377445,0.15709534709161388,0.0010352209068832368,0.009368874381474913,0.019286705849876493,0.1687964007487971,0.006654436499183564,0.18245019875685523,0.011012996681230116,0.0027811706570169616,0.21099550650852597,0.28738925301198825,0.033153515454309106,0.025904737852527806,0.008243742997516486,0.012672937460316645,0.016548635188175394,0.07908955982215253,0.0020317438516989504,0.05394977217537017,0.023917161159093994,0.01178611699593905,0.041214244708111164,0.0,0.19921932405140244,0.019580003806881564,0.019580003806881564,0.007281971281949145,0.016548635188175394,0.008818075605623006,0.0,0.020205845271009347,0.018477881632063195,0.018853462193732205,0.006345002165515458,0.01709315383230071,0.213530943394628,0.0,0.007386781958315684,0.006654436499183564,0.10571001363438981,0.010927574260203963,0.017515317216017914,0.007521121468956945,0.041214244708111164,0.007281971281949145,0.012672937460316645,0.007386781958315684,0.09112078794304078,0.018477881632063195,0.0,0.5773502691896258,0.0020317438516989504,0.008627650076419682,0.14529622892591706
