name,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test_incremental_person-artist/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_person-artist-music/macro_types/precision/mean,test/micro/f1/mean,test_incremental_person-artist-actor/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental_person-artist-music/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_person-artist-music/macro_types/recall/mean,test/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_person-artist-author/macro_types/precision/mean,test_incremental_person-artist-director/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_person-artist-actor/macro_types/precision/mean,epoch/mean,threshold_incremental/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example/precision/mean,test/micro/recall/mean,test_incremental_person-artist-director/macro_types/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_types/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_person-artist/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test/micro/precision/mean,test/macro_example/recall/mean,test_incremental_person-artist-author/macro_types/f1/mean,test_incremental_person-artist-actor/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_types/precision/mean,test/macro_example/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_pretraining/micro/recall/mean,test_incremental_person-artist-director/macro_types/precision/mean,threshold_pretraining/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_person-artist-author/macro_types/recall/mean,test_incremental_person-artist/macro_types/f1/mean,test/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/f1/std,test/macro_types/precision/std,test_incremental_person-artist/macro_types/precision/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_person-artist-music/macro_types/precision/std,test/micro/f1/std,test_incremental_person-artist-actor/macro_types/f1/std,test/macro_types/recall/std,test_incremental_person-artist-music/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_person-artist-music/macro_types/recall/std,test/macro_example/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_person-artist-author/macro_types/precision/std,test_incremental_person-artist-director/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental_only/micro/recall/std,test_pretraining/macro_types/recall/std,test_incremental_person-artist-actor/macro_types/precision/std,epoch/std,threshold_incremental/std,test_incremental/micro/precision/std,test_incremental_only/macro_example/precision/std,test/micro/recall/std,test_incremental_person-artist-director/macro_types/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example/f1/std,test_incremental/micro/recall/std,test_incremental/macro_types/recall/std,test_incremental/macro_example/precision/std,test_incremental_person-artist/macro_types/recall/std,test_pretraining/macro_example/precision/std,test/micro/precision/std,test/macro_example/recall/std,test_incremental_person-artist-author/macro_types/f1/std,test_incremental_person-artist-actor/macro_types/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental/macro_types/precision/std,test/macro_example/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test_pretraining/micro/recall/std,test_incremental_person-artist-director/macro_types/precision/std,threshold_pretraining/std,test_incremental_only/micro/f1/std,test_incremental/macro_types/f1/std,test_pretraining/micro/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_person-artist-author/macro_types/recall/std,test_incremental_person-artist/macro_types/f1/std,test/macro_types/f1/std,test_incremental/macro_example/recall/std,test_incremental_only/macro_example_exclusive/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.5743494232495626,0.7565185030301412,0.797468364238739,0.7565185030301412,0.9020310839017233,1.0,0.7937352061271667,0.2390288362900416,0.6305209199587504,0.23742897311846414,0.51917564868927,0.15256604552268982,0.014087595666448275,0.1351351315776507,0.8158634503682455,0.8158634503682455,0.31224969029426575,0.12635201712449393,0.7291666666666666,0.5856083631515503,0.7937352061271667,0.11640211691459022,0.6305209199587504,0.7043543457984924,20.333333333333332,0.01,0.7920733690261841,0.021706954886515934,0.7466005285580953,0.4444444477558136,0.658921460310618,0.090695155163606,0.450532724459966,0.33496983846028644,0.12415720770756404,0.9032257795333862,0.8569852113723755,0.8472227454185486,0.7785076101620992,0.08068410120904446,0.1478260854880015,0.7595298687616984,0.7785076101620992,0.8198089798291525,0.8569852113723755,0.6877837777137756,0.19290584325790405,0.8253941337267557,0.7466005285580953,0.8680555621782938,0.26,0.20175409813721976,0.47496888041496277,0.8472227454185486,0.017010323392848175,0.0442176874106129,0.847058892250061,0.6877837777137756,0.07146028180917104,0.19469026724497476,0.01295668902276821,0.008546945278883897,0.0,0.008546945278883897,0.0037305790801702462,0.0,0.0012110898599025557,0.10133732925871648,0.0008352987567835684,0.04197786935651448,0.01526366122385479,0.038296311425121875,0.004378987025336558,0.027027022093534553,0.0009241608512930039,0.0009241608512930039,0.01896636753329881,0.03927525098468942,0.469097093716571,0.07785369364244346,0.0012110898599025557,0.020998029250792683,0.0008352987567835684,0.04710673703994445,0.5773502691896263,0.0,0.01260842427892049,0.003915764284976375,0.0014585248785954953,0.050917504686811596,0.011335906617484045,0.0015602862733436022,0.012081055186212743,0.008520020462827732,0.0005134829647102779,0.0,0.0012312369337010225,0.0009373682272213087,0.0007700735345281107,0.09782721389965832,0.07580693768033929,0.08724836967232107,0.0007700735345281107,0.08717882461615357,0.0012312369337010225,0.003782970262467957,0.010650017607721975,0.10897352370985339,0.0014585248785954953,0.17718541679463445,0.0,0.03448521563195742,0.020198764821114244,0.0009373682272213087,0.004269839496031856,0.05455447319772487,0.0,0.003782970262467957,0.0021009115620234504,0.035120590381875864
no_init_box_kenn_hybrid_adapter_bert_ms,0.5722736318906149,0.7472785313924154,0.797468364238739,0.7472785313924154,0.8990442156791687,0.899999996026357,0.7935014963150024,0.24682744344075522,0.6302107771237692,0.2573546767234802,0.5179808735847473,0.14967688918113708,0.013758702203631403,0.15315315375725427,0.8156514763832092,0.8156514763832092,0.2980745732784271,0.12340216835339864,0.3541666666666667,0.5556734005610148,0.7935014963150024,0.11463844776153564,0.6302107771237692,0.7011695901552836,21.0,0.02666666666666667,0.7878042260805765,0.021378062665462494,0.7464780211448669,0.41111111640930176,0.6570821007092794,0.09044198195139568,0.44951800505320233,0.33180620272954303,0.12374609212080638,0.9032257795333862,0.8566268086433411,0.8468506137530009,0.7784183422724406,0.07307032495737076,0.15072463701168695,0.7437037229537964,0.7784183422724406,0.7255609035491943,0.8566268086433411,0.6837700009346008,0.18895130852858225,0.7075840830802917,0.7464780211448669,0.875,0.26,0.1975974291563034,0.4553191562493642,0.8468506137530009,0.016688198472062748,0.04081632693608602,0.847058892250061,0.6837700009346008,0.07129583756128947,0.19174041350682577,0.010658832992461132,0.0010811991851533628,0.0,0.0010811991851533628,0.00884029887682406,0.17320508763943926,0.0008653951800346043,0.06103849256817681,0.0013771403008135351,0.054708948584253334,0.017539868194840436,0.04542723345804132,0.004996772603705891,0.04128446631353901,0.0006590927377368391,0.0006590927377368391,0.023260483083506523,0.04481618796556274,0.4606946747394996,0.08851385396949424,0.0008653951800346043,0.02443811234506496,0.0013771403008135351,0.08887540087156814,5.0,0.02886751345948129,0.013683058596593006,0.004557279352211375,0.0016974436866073299,0.07698003130358241,0.01160335087660932,0.0015971011604495166,0.014060295718011796,0.014046770883819816,0.0012167899118042092,0.0,0.0012929251801872925,0.0011820731619537066,0.0009496657670694101,0.10302781032842472,0.04289463685130503,0.09122846304827588,0.0009496657670694101,0.011028108657475376,0.0012929251801872925,0.0012629233961565802,0.017558450404643707,0.01378513582184422,0.0016974436866073299,0.16535945694153692,0.0,0.03543201942680951,0.015441087874924998,0.0011820731619537066,0.005064901995115671,0.05794804492056285,0.0,0.0012629233961565802,0.002414218047345391,0.04087435088699557
no_init_box_kenn_top_down_adapter_bert_ms,0.5754631559054056,0.744122048219045,0.797468364238739,0.744122048219045,0.8823178013165792,0.700000007947286,0.7929327885309855,0.29836289087931317,0.6335902412732443,0.25597471992174786,0.5330346425374349,0.18789332111676535,0.016869482894738514,0.16216215988000235,0.8150926033655802,0.8150926033655802,0.34247030814488727,0.15130285422007242,0.7087179521719614,0.592703640460968,0.7929327885309855,0.14991181592146555,0.6335902412732443,0.4779027998447418,19.0,0.01,0.7425708174705505,0.027955926954746246,0.7489280899365743,0.4888888895511627,0.6644368171691895,0.09145430475473404,0.469812273979187,0.3662768205006917,0.12144384036461513,0.9032257795333862,0.8540208339691162,0.8424326181411743,0.7795596917470297,0.0905663010974725,0.22608695924282074,0.5753908356030782,0.7795596917470297,0.6933654546737671,0.8540208339691162,0.6843862334887186,0.23203960557778677,0.6673397223154703,0.7489280899365743,0.7827380895614624,0.26,0.2376571794350942,0.4770412544409434,0.8424326181411743,0.02094913087785244,0.051020408204446234,0.847058892250061,0.6843862334887186,0.07336786637703578,0.2507374584674835,0.02335510205102272,0.014893910683539168,0.0,0.014893910683539168,0.008840278738203724,0.26457512660077176,0.0026366260001829817,0.16545898425646768,0.0013737394522694612,0.01821614707064698,0.014266562924426376,0.03619076361968874,0.0039002661139659277,0.027027033269405705,0.0017254097921262314,0.0017254097921262314,0.04419388513521798,0.03498159146249459,0.37916549180696274,0.06887312852223634,0.0026366260001829817,0.02663081231348432,0.0013737394522694612,0.1644003548354559,2.6457513110645907,0.0,0.039683647325616744,0.0049661778180231965,0.001849762162736897,0.019245007825895603,0.008696874719530935,0.0011970515545590824,0.015321836248123161,0.01401203297824059,0.001216791673913374,0.0,0.002766188811477303,0.0036401771319320825,0.000853651324445607,0.0969325866126008,0.15086392965974052,0.1447238262519947,0.000853651324445607,0.15191803759497696,0.002766188811477303,0.00708146679759417,0.017515057971229864,0.1898975342760256,0.001849762162736897,0.21619930286782146,0.0,0.046004065989937545,0.047611337184773575,0.0036401771319320825,0.0040350814633442495,0.05518700838132121,0.0,0.00708146679759417,0.0019636727700778874,0.044541798872923435
no_init_kenn_bottom_up_adapter_bert_ms,0.5707736810048422,0.8217848340670267,0.8231292366981506,0.8217848340670267,0.6199721296628317,0.1381868322690328,0.818202277024587,0.35908688108126324,0.7931216955184937,0.21788938343524933,0.7059538165728251,0.45137717326482135,0.06118785341580709,0.5405405561129252,0.8471468885739645,0.8471468885739645,0.4029601812362671,0.548795481522878,0.6539974411328634,0.2760971784591675,0.818202277024587,0.5026455024878184,0.7931216955184937,0.34113819400469464,17.666666666666668,0.18000000000000002,0.5085966289043427,0.04287946100036303,0.8316795428593954,0.7111111084620158,0.6575850248336792,0.09051121026277542,0.6575342416763306,0.608089824517568,0.08533409982919693,0.8673835396766663,0.8443968097368876,0.8053397536277771,0.8499611020088196,0.5764948725700378,0.39420289794603985,0.34029266238212585,0.8499611020088196,0.4256624678770701,0.8443968097368876,0.8071733315785726,0.5432663559913635,0.32629576325416565,0.8316795428593954,0.17186062037944794,0.33,0.40126322706540424,0.497837632894516,0.8053397536277771,0.05032621572415034,0.5272108813126882,0.8446771502494812,0.8071733315785726,0.09716877341270447,0.38458701968193054,0.0161407362856689,0.0014696186007363862,0.0,0.0014696186007363862,0.05404040412159972,0.011529203017720613,0.0038502606399566774,0.09338127239535615,0.009906374276705165,0.02006615103423917,0.05196118439635046,0.06169753104009583,0.011311038060108034,0.15048011921632215,0.0015008373620269513,0.0015008373620269513,0.025570661848404598,0.10144898307018708,0.06558485890237847,0.018728666391434022,0.0038502606399566774,0.11925320411904308,0.009906374276705165,0.06865417922091638,2.886751345948128,0.07211102550927977,0.04119338439281851,0.004900572135146021,0.008283305809292289,0.13471505723932442,0.015827448271679187,0.0021785175186397982,0.06861142921024509,0.10104488856869874,0.007438217757787877,0.0,0.006683656839446738,0.013760830919598045,0.004228236173204357,0.03141548415053506,0.16368473340704884,0.029129395611188186,0.004228236173204357,0.014990184823599453,0.006683656839446738,0.004650559183531034,0.12630610885238466,0.01873770955407112,0.008283305809292289,0.006241636839098455,0.0,0.03545565587642038,0.02685666301316763,0.013760830919598045,0.006878954958537779,0.09658007246231934,0.0,0.004650559183531034,0.007152032144714862,0.04395335073195418
no_init_kenn_hybrid_adapter_bert_ms,0.574691653251648,0.8224759101867676,0.8231292366981506,0.8224759101867676,0.6262445052464803,0.13676993548870087,0.8197057445844015,0.3341846962769826,0.7908662358919779,0.2145559291044871,0.6961967547734579,0.4550926585992177,0.05932412420709928,0.5135135153929392,0.8476604620615641,0.8476604620615641,0.40364845593770343,0.5320796271165212,0.6840604345003763,0.289887140194575,0.8197057445844015,0.4753086467583974,0.7908662358919779,0.33543093005816144,16.0,0.24333333333333332,0.5224927763144175,0.044482813527186714,0.8297806978225708,0.6888888875643412,0.6580041249593099,0.09056889762481053,0.6418061852455139,0.585084060827891,0.08619744330644608,0.8673835396766663,0.8463910222053528,0.8099556366602579,0.8489512006441752,0.5845576723416647,0.34202897548675537,0.349846492211024,0.8489512006441752,0.43271104494730633,0.8463910222053528,0.8063502907752991,0.5145092010498047,0.3351064721743266,0.8297806978225708,0.1841646283864975,0.33,0.40074148774147034,0.4961506724357605,0.8099556366602579,0.0507404754559199,0.5136054257551829,0.8446771502494812,0.8063502907752991,0.09582579632600148,0.39896754423777264,0.022959095112899428,0.0015752239560544144,0.0,0.0015752239560544144,0.04764300826160788,0.008488753363756204,0.0040286431339512105,0.07028166456686495,0.006697995553873356,0.0027117733607122715,0.035902119385375075,0.05068424379237661,0.007857493227580543,0.09744731914738482,0.0015937363144668207,0.0015937363144668207,0.02534929934842977,0.07047404793622301,0.03312221119102532,0.015789283401522795,0.0040286431339512105,0.07849316723587545,0.006697995553873356,0.058302846291105735,0.0,0.05033222956847168,0.03832208233053504,0.005402546512299743,0.005452118091868453,0.11706282664221049,0.02314506566297012,0.003185733835846255,0.045160449575343715,0.06831959725025753,0.006557669414122425,0.0,0.004457643636121242,0.010217474649389165,0.0027017065357411415,0.05252766881874044,0.11348853750057016,0.039485171176424305,0.0027017065357411415,0.0160669583030639,0.004457643636121242,0.0033721674693148332,0.08539946243447467,0.020083706095160494,0.005452118091868453,0.004576348255708765,0.0,0.03864647778859375,0.023360275631619385,0.010217474649389165,0.005651033969689965,0.0738181262320203,0.0,0.0033721674693148332,0.004941632781417946,0.04845559979198974
no_init_kenn_top_down_adapter_bert_ms,0.5774752298990885,0.8236739238103231,0.8231292366981506,0.8236739238103231,0.6524293025334676,0.13492266833782196,0.8215360244115194,0.32883794109026593,0.7873759865760803,0.20654059449831644,0.6782357692718506,0.44451913237571716,0.055541851868232094,0.45945946375528973,0.847933034102122,0.847933034102122,0.3987772464752197,0.4981563687324524,0.7023051977157593,0.3068261643250783,0.8215360244115194,0.43209875623385113,0.7873759865760803,0.3625722825527191,16.0,0.36000000000000004,0.5460650126139323,0.0449350414176782,0.8267793655395508,0.6444444457689921,0.6636360685030619,0.09134408334891002,0.616945723692576,0.5494837363560995,0.08980156729618709,0.8673835396766663,0.8484124342600504,0.8164594769477844,0.8474770585695902,0.5517059763272604,0.31014492611090344,0.362685759862264,0.8474770585695902,0.4449308216571808,0.8484124342600504,0.8051052888234457,0.4700088103612264,0.35038121541341144,0.8267793655395508,0.2017246981461843,0.33,0.39101557930310565,0.4901974598566691,0.8164594769477844,0.049561578780412674,0.4659863809744517,0.8446771502494812,0.8051052888234457,0.09335361421108246,0.4030236005783081,0.023539935965621563,0.0014575629908584312,0.0,0.0014575629908584312,0.04409579292361836,0.011460688354483746,0.0037394448739323273,0.07632292053920432,0.005947991671468915,0.01650685047803041,0.04313477376698695,0.061360910098235945,0.009513686894178681,0.12385339812769038,0.001844283588325673,0.001844283588325673,0.020125909855349247,0.08532850535335539,0.06244956965657422,0.02069706811600333,0.0037394448739323273,0.09256738445558894,0.005947991671468915,0.04603244422348794,0.0,0.06928203230275509,0.03916039928672317,0.0058443657667502655,0.006429697779732593,0.06938886728516518,0.023286937600300605,0.0032052554060261274,0.05325794056277842,0.060669441954899914,0.006069430378417861,0.0,0.005122394326823424,0.010490877935040086,0.0031120470317058152,0.07357703401792857,0.11315490786574942,0.03866422694000806,0.0031120470317058152,0.01486735049347183,0.005122394326823424,0.0026249440255103123,0.0758368180408474,0.018584191047520786,0.006429697779732593,0.013987771985081238,0.0,0.0495062167265972,0.018297100722040903,0.010490877935040086,0.006841423420916826,0.10898959058402931,0.0,0.0026249440255103123,0.005937155271795181,0.05241826657118568
smart_init_box_adapter_bert_ms,0.6459358135859171,0.7277130285898844,0.797468364238739,0.7277130285898844,0.7794106006622314,0.23480973144372305,0.7955740690231323,0.48412665724754333,0.6632133722305298,0.3340589503447215,0.6991238594055176,0.4431079626083374,0.05323959762851397,0.6306306223074595,0.8168707887331644,0.8168707887331644,0.5145364801088969,0.4775073726971944,0.6978476842244467,0.5220693449179331,0.7955740690231323,0.5211640298366547,0.6632133722305298,0.5131436983744303,44.333333333333336,0.22666666666666668,0.6187030474344889,0.04644247144460678,0.7747151851654053,0.8555555542310079,0.7358674009641012,0.1012861356139183,0.6834094325701395,0.6684325337409973,0.10727949937184651,0.9032257795333862,0.8433301250139872,0.8177544673283895,0.7920468250910441,0.5587891936302185,0.4782608648141225,0.4870525300502777,0.7920468250910441,0.5259931286176046,0.8433301250139872,0.6939239501953125,0.6097341875235239,0.4581243097782135,0.7747151851654053,0.38669612010320026,0.26,0.4942890504995982,0.5837534467379252,0.8177544673283895,0.049404241144657135,0.47448978821436566,0.847058892250061,0.6939239501953125,0.096228688955307,0.41654375195503235,0.018111262252943468,0.0051909141446973865,0.0,0.0051909141446973865,0.045431829448323684,0.041719015879837534,0.003811644673872323,0.11197738136063189,0.008211967383099584,0.02207328694432914,0.030127718413181164,0.02952043823469305,0.005436696615291895,0.14885325498793775,0.0014705234114535679,0.0014705234114535679,0.003728865856068085,0.04876187141640596,0.1406872174250926,0.08217868994738599,0.003811644673872323,0.08625313840416406,0.008211967383099584,0.02619403263598612,6.5064070986477125,0.04618802153517007,0.07026459583898749,0.004814512415016235,0.0059911106446990285,0.08388706007038477,0.005815708411936009,0.0008004924234209794,0.049625104910924214,0.08376228631057832,0.00625332342424684,0.0,0.0055891328260988865,0.014008908382399267,0.0029153648617947624,0.046985778621977725,0.17456400902434532,0.08818256218014317,0.0029153648617947624,0.05294750408347647,0.0055891328260988865,0.0022211203422423404,0.1047028268697776,0.06618439049517749,0.0059911106446990285,0.10649410957957596,0.0,0.01943301402801561,0.004479040590333751,0.014008908382399267,0.0032913756598810595,0.05681391103667064,0.0,0.0022211203422423404,0.004146837231007362,0.04318148630408436
smart_init_classifier_adapter_bert_ms,0.5667545199394226,0.8220828970273336,0.8231292366981506,0.8220828970273336,0.6422540744145712,0.12672400226195654,0.8193920453389486,0.3463079531987508,0.7881940205891927,0.19780361155668894,0.6739745140075684,0.425395409266154,0.053719233721494675,0.45945944388707477,0.8468919992446899,0.8468919992446899,0.39010106523831684,0.48180923859278363,0.6329355835914612,0.3022812406222026,0.8193920453389486,0.43474427858988446,0.7881940205891927,0.3655826151371002,18.0,0.28,0.5234751403331757,0.042482045789559685,0.8269631266593933,0.6777777870496114,0.6575825015703837,0.09051086753606796,0.6184677879015604,0.5578274528185526,0.08840102950731914,0.8673835396766663,0.8462964097658793,0.8119726578394572,0.8474945624669393,0.5287435253461202,0.33043477932612103,0.3414323031902313,0.8474945624669393,0.42870235443115234,0.8462964097658793,0.8047772447268168,0.4804384112358093,0.33009562889734906,0.8269631266593933,0.19514030714829764,0.33,0.38200561205546063,0.48413926362991333,0.8119726578394572,0.04742938404281934,0.4540816346804301,0.8446771502494812,0.8047772447268168,0.0927670846382777,0.3810226221879323,0.017863790467971093,0.0015271233516148308,0.0,0.0015271233516148308,0.027453530678417597,0.01176783697613031,0.00318249458608183,0.049105672876541794,0.0037318827673192456,0.02541800322260115,0.004606111107731937,0.011518516103973675,0.001231521432918209,0.1178080777072829,0.0017339929948759142,0.0017339929948759142,0.015659000541619828,0.011045534592440565,0.056890111873738776,0.04974890376435395,0.00318249458608183,0.014570296394597337,0.0037318827673192456,0.059534314822925614,2.6457513110645907,0.01732050807568875,0.02882225027564696,0.0017607767511107705,0.0010120484720569439,0.09622505633585686,0.0161568586917413,0.0022238659212896173,0.008382904867999308,0.03806533391957426,0.0037787534314643757,0.0,0.0036814092296112,0.006030089859907087,0.0004517477918620826,0.04650512054732923,0.04841533555975155,0.031727755277036924,0.0004517477918620826,0.015576655621500153,0.0036814092296112,0.0017201077659549538,0.047581641829056935,0.019470827763904474,0.0010120484720569439,0.03614239104233286,0.0,0.02212878820467482,0.01331377376934542,0.006030089859907087,0.0012842576481871914,0.039848210802152034,0.0,0.0017201077659549538,0.0006339922088681877,0.015792451824470817
