name,instance,run_id,test_incremental/micro/f1,test/macro_types/precision,test_incremental_person-artist/macro_types/precision,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_person-artist-music/macro_types/precision,test/micro/f1,test_incremental_person-artist-actor/macro_types/f1,test/macro_types/recall,test_incremental_person-artist-music/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example/recall,test_incremental_person-artist-music/macro_types/recall,test/macro_example/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_person-artist-author/macro_types/precision,test_incremental_person-artist-director/macro_types/f1,test_pretraining/micro/f1,test_incremental_only/micro/recall,test_pretraining/macro_types/recall,test_incremental_person-artist-actor/macro_types/precision,epoch,threshold_incremental,test_incremental/micro/precision,test_incremental_only/macro_example/precision,test/micro/recall,test_incremental_person-artist-director/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example/f1,test_incremental/micro/recall,test_incremental/macro_types/recall,test_incremental/macro_example/precision,test_incremental_person-artist/macro_types/recall,test_pretraining/macro_example/precision,test/micro/precision,test/macro_example/recall,test_incremental_person-artist-author/macro_types/f1,test_incremental_person-artist-actor/macro_types/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/precision,test_pretraining/micro/recall,test_incremental_person-artist-director/macro_types/precision,threshold_pretraining,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/macro_example/f1,test_incremental_person-artist-author/macro_types/recall,test_incremental_person-artist/macro_types/f1,test/macro_types/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,w9z5y09b,0.5697445869445801,0.7460300922393799,0.797468364238739,0.7460300922393799,0.9032257795333862,1.0,0.7935452461242676,0.3172414004802704,0.6286219358444214,0.19512194395065308,0.5081242322921753,0.1230076178908348,0.010812366381287577,0.10810811072587968,0.8159623742103577,0.8159623742103577,0.2712347209453583,0.09697640687227248,0.0,0.5365853905677795,0.7935452461242676,0.10052909702062608,0.6286219358444214,0.7666666507720947,16,0.060000000000000005,0.8033241033554077,0.018746916204690933,0.74549800157547,0.36666667461395264,0.6503714919090271,0.08951832354068756,0.44140028953552246,0.31560009717941284,0.12432164698839188,0.9032257795333862,0.8580559492111206,0.8482124209403992,0.7778055667877197,0.0,0.20000000298023224,0.8444444537162781,0.7778055667877197,0.7128269672393799,0.8580559492111206,0.6823121309280396,0.1686936914920807,0.6916666626930237,0.74549800157547,1.0,0.26,0.17966902256011963,0.43749964237213135,0.8482124209403992,0.013714712113142014,0.0,0.847058892250061,0.6823121309280396,0.06993915140628815,0.16814158856868744
no_init_box_kenn_top_down_adapter_bert_ms,2,eov0k0q2,0.5955055952072144,0.7605098485946655,0.797468364238739,0.7605098485946655,0.8781362175941467,1.0,0.7951338291168213,0.4893617033958435,0.6351342797279358,0.238095223903656,0.5396057367324829,0.20240077376365664,0.017266895622015,0.13513512909412384,0.8164211511611938,0.8164211511611938,0.3911019265651703,0.1548672616481781,1.0,0.6086956262588501,0.7951338291168213,0.1746031790971756,0.6351342797279358,0.6301369667053223,16,0.01,0.7737226486206055,0.032560430467128754,0.7506431341171265,0.46666666865348816,0.6684535145759583,0.09200716763734818,0.4840182662010193,0.3820258975028992,0.12086828052997588,0.9032257795333862,0.8562121987342834,0.8452306985855103,0.7801642417907715,0.010152284055948256,0.4000000059604645,0.6947368383407593,0.7801642417907715,0.8605210781097412,0.8562121987342834,0.6921905875205994,0.251725971698761,0.8762842416763306,0.7506431341171265,0.875,0.26,0.27906978130340576,0.5291410684585571,0.8452306985855103,0.02256663516163826,0.005102040711790323,0.847058892250061,0.6921905875205994,0.07427231967449188,0.29203540086746216
no_init_box_kenn_bottom_up_adapter_bert_ms,2,boztfwjg,0.5805824995040894,0.7649136781692505,0.797468364238739,0.7649136781692505,0.9032257795333862,1.0,0.7943733334541321,0.3552631437778473,0.6313411593437195,0.238095223903656,0.5189964175224304,0.15116162598133087,0.01323795411735773,0.13513512909412384,0.8163866400718689,0.8163866400718689,0.3339031934738159,0.1187315583229065,1.0,0.604651153087616,0.7943733334541321,0.12433862686157228,0.6313411593437195,0.7297297120094299,20,0.01,0.8016085624694824,0.023186974227428436,0.747151792049408,0.4333333373069763,0.6592091917991638,0.09073475003242493,0.4550989270210266,0.34333619475364685,0.12432164698839188,0.9032257795333862,0.858012855052948,0.8479666113853455,0.778612494468689,0.020202020183205605,0.2347826063632965,0.8245614171028137,0.778612494468689,0.9054396152496338,0.858012855052948,0.6917383670806885,0.2033637911081314,0.9324324131011964,0.747151792049408,1.0,0.26,0.21609194576740265,0.4978799223899842,0.8479666113853455,0.016853738576173782,0.010204081423580648,0.847058892250061,0.6917383670806885,0.07143561542034149,0.20796459913253784
no_init_box_kenn_hybrid_adapter_bert_ms,1,iwg8mfwe,0.5839695334434509,0.7479091882705688,0.797468364238739,0.7479091882705688,0.8888888955116272,0.699999988079071,0.7943441867828369,0.2142857164144516,0.6309486031532288,0.2978723347187042,0.5382317900657654,0.20212924480438232,0.01952803879976273,0.18918919563293457,0.816097617149353,0.816097617149353,0.3106188178062439,0.17514750361442566,0.875,0.47826087474823,0.7943441867828369,0.1428571492433548,0.6309486031532288,0.6000000238418579,26,0.01,0.782608687877655,0.026640355587005615,0.7484380602836609,0.36666667461395264,0.670480489730835,0.0922861546278,0.465753436088562,0.33933186531066895,0.12234830111265182,0.9032257795333862,0.8562861680984497,0.8462497591972351,0.7795122861862183,0.19090908765792847,0.1304347813129425,0.7200000286102295,0.7795122861862183,0.7319936752319336,0.8562861680984497,0.6844683289527893,0.1983583867549896,0.7156250476837158,0.7484380602836609,0.6875,0.26,0.2384106069803238,0.4637036621570587,0.8462497591972351,0.022536365315318108,0.1071428582072258,0.847058892250061,0.6844683289527893,0.07408320903778076,0.2389380484819412
no_init_box_kenn_top_down_adapter_bert_ms,1,9ukmyepz,0.5810683965682983,0.7404457330703735,0.797468364238739,0.7404457330703735,0.8763440847396851,0.6000000238418579,0.7936539053916931,0.2068965584039688,0.633133053779602,0.25531911849975586,0.542831540107727,0.21457956731319427,0.020555827766656876,0.1621621549129486,0.8157141208648682,0.8157141208648682,0.3315456807613373,0.18436577916145325,0.8461538553237915,0.517241358757019,0.7936539053916931,0.15343914926052094,0.633133053779602,0.5,20,0.01,0.7560975551605225,0.02861371450126171,0.749173104763031,0.5,0.6703993678092957,0.0922750011086464,0.4718416929244995,0.36161351203918457,0.12062160670757294,0.9032257795333862,0.8549376726150513,0.84375,0.7799316644668579,0.19819819927215576,0.1304347813129425,0.6170212626457214,0.7799316644668579,0.655867338180542,0.8549376726150513,0.6825973987579346,0.22621046006679535,0.6204670667648315,0.749173104763031,0.5357142686843872,0.26,0.24576270580291748,0.4661915600299835,0.84375,0.023924509063363075,0.11224489659070969,0.847058892250061,0.6825973987579346,0.07471632957458496,0.2566371560096741
no_init_box_kenn_bottom_up_adapter_bert_ms,1,69p67lpf,0.5830115675926208,0.7568143606185913,0.797468364238739,0.7568143606185913,0.8978495001792908,1.0,0.7944937944412231,0.192592591047287,0.6296713352203369,0.19512194395065308,0.5345281362533569,0.1915452480316162,0.018829140812158585,0.10810811072587968,0.816407322883606,0.816407322883606,0.29858261346817017,0.16887906193733215,1.0,0.5,0.7944937944412231,0.1322751343250275,0.6296713352203369,0.6499999761581421,20,0.01,0.7968337535858154,0.02466699481010437,0.7477030754089355,0.4000000059604645,0.6701107621192932,0.092235267162323,0.4596651494503021,0.32630404829978943,0.1235816478729248,0.9032257795333862,0.8573222160339355,0.8475317358970642,0.7792198657989502,0.19354839622974396,0.11304347962141036,0.7936508059501648,0.7792198657989502,0.8228269815444946,0.8573222160339355,0.6874132752418518,0.18207362294197085,0.8291666507720947,0.7477030754089355,0.6666666865348816,0.26,0.22675736248493197,0.4672953188419342,0.8475317358970642,0.02135630138218403,0.1071428582072258,0.847058892250061,0.6874132752418518,0.07357341796159744,0.22123894095420835
no_init_box_kenn_hybrid_adapter_bert_ms,0,mdlj5q20,0.5631067752838135,0.7478963136672974,0.797468364238739,0.7478963136672974,0.9050179719924928,1.0,0.7926150560379028,0.20895521342754364,0.6310617923736572,0.2790697515010834,0.5075865983963013,0.12389380484819412,0.010935701429843904,0.1621621549129486,0.814894437789917,0.814894437789917,0.3123701810836792,0.09808259457349776,0.1875,0.6521739363670349,0.7926150560379028,0.10052909702062608,0.6310617923736572,0.7368420958518982,21,0.01,0.777479887008667,0.018746916204690933,0.74549800157547,0.5,0.6503943204879761,0.08952146768569946,0.44140028953552246,0.34048664569854736,0.12456832826137544,0.9032257795333862,0.8555383086204529,0.8460896611213684,0.7779371738433838,0.028301887214183807,0.12173912674188614,0.6666666865348816,0.7779371738433838,0.7318620681762695,0.8555383086204529,0.6845295429229736,0.19980184733867645,0.7154605388641357,0.74549800157547,0.9375,0.26,0.1747126579284668,0.4647541642189026,0.8460896611213684,0.01381351798772812,0.015306122601032255,0.847058892250061,0.6845295429229736,0.0698651522397995,0.16814160346984863
no_init_box_kenn_top_down_adapter_bert_ms,0,5ld6kxoy,0.5498154759407043,0.731410562992096,0.797468364238739,0.731410562992096,0.8924731016159058,0.5,0.7900106310844421,0.1988304108381271,0.6325033903121948,0.27450981736183167,0.5166666507720947,0.14669962227344513,0.01278572529554367,0.18918919563293457,0.8131425380706787,0.8131425380706787,0.3047633171081543,0.11467552185058594,0.2800000011920929,0.6521739363670349,0.7900106310844421,0.12169311940670012,0.6325033903121948,0.3035714328289032,21,0.01,0.6978922486305237,0.02269363589584827,0.7469680309295654,0.5,0.6544575691223145,0.09008074551820756,0.45357686281204224,0.35519105195999146,0.12284163385629654,0.9032257795333862,0.8509126305580139,0.8383171558380127,0.7785831689834595,0.06334841996431351,0.14782609045505524,0.4144144058227539,0.7785831689834595,0.5637079477310181,0.8509126305580139,0.6783707141876221,0.21818238496780396,0.505267858505249,0.7469680309295654,0.9375,0.26,0.18813905119895935,0.4357911348342895,0.8383171558380127,0.016356248408555984,0.0357142873108387,0.847058892250061,0.6783707141876221,0.07111494988203049,0.20353981852531433
no_init_box_kenn_bottom_up_adapter_bert_ms,0,x7svd0mg,0.5594542026519775,0.7478274703025818,0.797468364238739,0.7478274703025818,0.9050179719924928,1.0,0.792338490486145,0.16923077404499054,0.6305502653121948,0.2790697515010834,0.5040023922920227,0.11499126255512238,0.01019569206982851,0.1621621549129486,0.8147963881492615,0.8147963881492615,0.30426326394081116,0.0914454311132431,0.1875,0.6521739363670349,0.792338490486145,0.09259258955717088,0.6305502653121948,0.7333333492279053,21,0.01,0.7777777910232544,0.017266895622015,0.7449467182159424,0.5,0.6474444270133972,0.0891154482960701,0.43683409690856934,0.3352692723274231,0.12456832826137544,0.9032257795333862,0.8556205630302429,0.8461698889732361,0.7776904702186584,0.028301887214183807,0.09565217047929764,0.6603773832321167,0.7776904702186584,0.7311603426933289,0.8556205630302429,0.6841996908187866,0.19328011572360992,0.7145833373069763,0.7449467182159424,0.9375,0.26,0.16241298615932465,0.45973140001297,0.8461698889732361,0.01282093022018671,0.015306122601032255,0.847058892250061,0.6841996908187866,0.06937181204557419,0.1548672616481781
smart_init_box_adapter_bert_ms,2,h1kfkoak,0.6460296511650085,0.72430419921875,0.797468364238739,0.72430419921875,0.7430704832077026,0.2300885021686554,0.7943514585494995,0.5702478885650635,0.6697391271591187,0.3466666638851166,0.7298685312271118,0.47183066606521606,0.05915967747569084,0.7027027010917664,0.8169609308242798,0.8169609308242798,0.5188421607017517,0.5306047201156616,0.5965909361839294,0.4409448802471161,0.7943514585494995,0.60317462682724,0.6697391271591187,0.5433070659637451,44,0.2,0.5790108442306519,0.047360628843307495,0.7804116010665894,0.9333333373069764,0.7364103198051453,0.10136087238788603,0.7305936217308044,0.7349952459335327,0.10227757692337036,0.9032257795333862,0.8403003811836243,0.8087983131408691,0.7948829531669617,0.5645161867141724,0.6000000238418579,0.4444444477558136,0.7948829531669617,0.49122294783592224,0.8403003811836243,0.6959537863731384,0.6929375529289246,0.41466155648231506,0.7804116010665894,0.2886597812175751,0.26,0.5117844939231873,0.5888780951499939,0.8087983131408691,0.052606672048568726,0.5357142686843872,0.847058892250061,0.6959537863731384,0.100460447371006,0.4247787594795227
