name,instance,run_id,test/macro_example/precision,test_pretraining/macro_types/recall,test_incremental_person-artist/macro_types/f1,test_pretraining/micro/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test/micro/recall,test_incremental_person-artist-director/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_person-artist-music/macro_types/f1,test_incremental_only/macro_types/recall,threshold_incremental,test_incremental_only/macro_example_exclusive/precision,test_incremental_person-artist-music/macro_types/recall,test_incremental_person-artist-author/macro_types/f1,test_incremental_person-artist-director/macro_types/precision,test_pretraining/macro_types/precision,test/macro_example/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_person-artist-author/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_incremental/macro_example/precision,test_incremental/micro/precision,test_incremental_person-artist-actor/macro_types/recall,test_incremental_person-artist-music/macro_types/precision,threshold_pretraining,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental_person-artist-actor/macro_types/f1,test/macro_example/f1,test_incremental/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental_person-artist-director/macro_types/recall,test_incremental/micro/recall,test_incremental_person-artist-actor/macro_types/precision,test_incremental/macro_example/recall,epoch,test_incremental_person-artist/macro_types/recall,test_incremental_person-artist-author/macro_types/precision,test_incremental_person-artist/macro_types/precision,test_pretraining/micro/precision,test_incremental/macro_example/f1,test/macro_types/f1,test/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/macro_types/precision,test/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/recall,test/micro/f1,test_incremental_only/micro/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,9bnybvvr,0.8579227924346924,0.6230068802833557,0.847058892250061,0.7918094992637634,0.8148148059844971,0.0108534786850214,0.7425578832626343,0.4210526645183563,0.8151596784591675,0.008800117298960686,0.0,0.09710144996643066,0.05,0.09734513610601424,0.0,0.0,1.0,0.7258374691009521,0.7764571309089661,0.007400098722428083,0.07892847806215286,0.0,0.7425578832626343,0.7764571309089661,0.4910393953323364,0.1587107926607132,0.06637167930603027,0.8480587601661682,0.12432164698839188,0.7988338470458984,0.12173912674188614,0.0,0.26,0.25832632184028625,0.5068621039390564,0.8579227924346924,0.6362053155899048,0.20895521342754364,0.8151596784591675,0.5480000376701355,0.9032257795333862,0.2666666805744171,0.4170471727848053,0.7368420958518982,0.06758756935596466,36,0.9032257795333862,0.0,0.797468364238739,0.8480587601661682,0.08756846189498901,0.6705024838447571,0.7258374691009521,0.34223154187202454,0.43421053886413574,0.6230068802833557,0.6705024838447571,0.05820105969905853,0.7918094992637634,0.10864197462797164
no_init_box_kenn_top_down_adapter_bert_ms,2,sflhc6e3,0.8579227924346924,0.6228363513946533,0.847058892250061,0.7916911840438843,0.807692289352417,0.01036013849079609,0.7423741221427917,0.4210526645183563,0.8151143193244934,0.008463212288916111,0.0,0.09492754191160202,0.17,0.09292035549879074,0.0,0.0,1.0,0.7255507707595825,0.776374876499176,0.007153429090976715,0.07590676844120026,0.0,0.7423741221427917,0.776374876499176,0.4898446798324585,0.15555812418460846,0.06415929645299911,0.8480268716812134,0.12432164698839188,0.7982456088066101,0.11304347962141036,0.0,0.26,0.2565871775150299,0.5039381384849548,0.8579227924346924,0.635201632976532,0.19548872113227844,0.8151143193244934,0.5465465188026428,0.9032257795333862,0.2666666805744171,0.4155251085758209,0.7222222089767456,0.06742312014102936,36,0.9032257795333862,0.0,0.797468364238739,0.8480268716812134,0.08743032068014145,0.6702814102172852,0.7255507707595825,0.34003880620002747,0.4305555522441864,0.6228363513946533,0.6702814102172852,0.0555555559694767,0.7916911840438843,0.10396039485931396
no_init_box_kenn_bottom_up_adapter_bert_ms,2,akngss0p,0.8579462766647339,0.6235183477401733,0.847058892250061,0.7921645045280457,0.8333333134651184,0.012333497405052183,0.7431091666221619,0.4210526645183563,0.8153061270713806,0.009807359427213669,0.0,0.1036231964826584,0.02,0.1106194704771042,0.0,0.0,1.0,0.7265410423278809,0.7767037749290466,0.008140108548104763,0.08796247094869614,0.0,0.7431091666221619,0.7767037749290466,0.49462366104125977,0.16797180473804474,0.07300885021686554,0.8481543660163879,0.12432164698839188,0.8005780577659607,0.14782609045505524,0.0,0.26,0.2635437250137329,0.514039158821106,0.8579462766647339,0.6392059326171875,0.24817518889904025,0.8153061270713806,0.55234295129776,0.9032257795333862,0.2666666805744171,0.4216133952140808,0.7727272510528564,0.06808090209960938,36,0.9032257795333862,0.0,0.797468364238739,0.8481543660163879,0.08798148483037949,0.6710988879203796,0.7265410423278809,0.3484433591365814,0.4431818127632141,0.6235183477401733,0.6710988879203796,0.06613756716251373,0.7921645045280457,0.12254901975393297
no_init_box_kenn_hybrid_adapter_bert_ms,1,xjvfmv68,0.8580120801925659,0.6247388124465942,0.847058892250061,0.79216068983078,0.9200000166893004,0.011346817016601562,0.7427416443824768,0.46153849363327026,0.815254271030426,0.008867049589753151,0.1463414579629898,0.11918331682682036,0.060000000000000005,0.10176990926265717,0.0810810774564743,0.0,1.0,0.7440693378448486,0.7765557765960693,0.007276763673871756,0.07952880859375,0.0,0.7427416443824768,0.7765557765960693,0.4908602237701416,0.2022155523300171,0.06526549160480499,0.8486248254776001,0.12407498061656952,0.8064516186714172,0.09565217047929764,0.75,0.26,0.2759917974472046,0.6928269863128662,0.8580120801925659,0.6356099843978882,0.17322833836078644,0.815254271030426,0.5511022210121155,0.9014337062835692,0.30000001192092896,0.41856926679611206,0.9166666865348816,0.06756289303302765,49,0.9032257795333862,0.0,0.797468364238739,0.8486248254776001,0.08748650550842285,0.6792025566101074,0.7440693378448486,0.3947375118732453,0.6666666865348816,0.6247388124465942,0.6792025566101074,0.06084655970335007,0.79216068983078,0.11414391547441484
no_init_box_kenn_top_down_adapter_bert_ms,1,hef89pjj,0.8539099097251892,0.6295950412750244,0.847058892250061,0.790294349193573,0.4390243887901306,0.01776023767888546,0.7451304793357849,0.4878048896789551,0.8139671087265015,0.012719813734292984,0.2195121943950653,0.18110066652297976,0.01,0.1592920422554016,0.2432432472705841,0.0,0.9090909361839294,0.7263491153717041,0.7775941491127014,0.009907910600304604,0.11408434808254242,0.0,0.7451304793357849,0.7775941491127014,0.5042413473129272,0.2567152976989746,0.08886431157588959,0.841286301612854,0.11642821878194808,0.7236180901527405,0.14782609045505524,0.20000000298023224,0.26,0.32552570104599,0.5120811462402344,0.8539099097251892,0.6318355202674866,0.24113476276397705,0.8139671087265015,0.5459715723991394,0.8458781242370605,0.3333333432674408,0.4383561611175537,0.6538461446762085,0.06940469890832901,48,0.9032257795333862,0.0,0.797468364238739,0.841286301612854,0.08696699142456055,0.6745200753211975,0.7263491153717041,0.3980282247066498,0.44073426723480225,0.6295950412750244,0.6745200753211975,0.095238097012043,0.790294349193573,0.156521737575531
no_init_box_kenn_bottom_up_adapter_bert_ms,1,ey5j3dbj,0.8580394983291626,0.6243977546691895,0.847058892250061,0.7919238805770874,0.91304349899292,0.010360137559473516,0.7423741221427917,0.46153849363327026,0.8151760101318359,0.008198670111596584,0.1463414579629898,0.11483549326658248,0.04,0.09292035549879074,0.0810810774564743,0.0,1.0,0.7437424659729004,0.776391327381134,0.006783423479646444,0.07353410124778748,0.0,0.7423741221427917,0.776391327381134,0.48847073316574097,0.19574177265167236,0.060840707272291183,0.8485612273216248,0.12407498061656952,0.8053097128868103,0.0782608687877655,0.75,0.26,0.27251356840133667,0.6894936561584473,0.8580394983291626,0.6336032152175903,0.14399999380111694,0.8151760101318359,0.5481927394866943,0.9014337062835692,0.30000001192092896,0.4155251085758209,0.8999999761581421,0.06723400950431824,49,0.9032257795333862,0.0,0.797468364238739,0.8485612273216248,0.08721031248569489,0.6788647770881653,0.7437424659729004,0.3906340003013611,0.6625000238418579,0.6243977546691895,0.6788647770881653,0.0555555559694767,0.7919238805770874,0.10473815351724625
no_init_box_kenn_hybrid_adapter_bert_ms,0,71wtu2n4,0.3312220871448517,0.69382244348526,0.847058892250061,0.48086175322532654,0.04662062227725983,0.04662062227725983,0.8079749941825867,0.029168693348765373,0.4700561463832855,0.06574889272451401,0.03585271164774895,1.0,0.0,0.41814157366752625,1.0,0.1763383001089096,0.014800197444856169,0.6954382658004761,0.8092653751373291,0.11149481683969498,0.5897035598754883,1.0,0.8079749941825867,0.8092653751373291,0.9414576292037964,0.08908791095018387,1.0,0.34228554368019104,0.06287617236375809,0.07478632777929306,1.0,0.018253576010465625,0.26,0.9806451797485352,0.1967901587486267,0.3312220871448517,0.6151430010795593,0.10737628489732742,0.4700561463832855,0.13875123858451843,0.4568100571632385,1.0,0.9589040875434875,0.05673408880829811,0.129583939909935,21,0.9032257795333862,0.09669462591409685,0.797468364238739,0.34228554368019104,0.08466941118240356,0.6946293711662292,0.6954382658004761,0.32779940962791443,0.04662062227725983,0.69382244348526,0.6946293711662292,1.0,0.48086175322532654,0.08908791095018387
no_init_box_kenn_top_down_adapter_bert_ms,0,g89tgi3r,0.3312220871448517,0.69382244348526,0.847058892250061,0.48086175322532654,0.04662062227725983,0.04662062227725983,0.8079749941825867,0.029168693348765373,0.4700561463832855,0.06574889272451401,0.03585271164774895,1.0,0.0,0.41814157366752625,1.0,0.1763383001089096,0.014800197444856169,0.6954382658004761,0.8092653751373291,0.11149481683969498,0.5897035598754883,1.0,0.8079749941825867,0.8092653751373291,0.9414576292037964,0.08908791095018387,1.0,0.34228554368019104,0.06287617236375809,0.07478632777929306,1.0,0.018253576010465625,0.26,0.9806451797485352,0.1967901587486267,0.3312220871448517,0.6151430010795593,0.10737628489732742,0.4700561463832855,0.13875123858451843,0.4568100571632385,1.0,0.9589040875434875,0.05673408880829811,0.129583939909935,21,0.9032257795333862,0.09669462591409685,0.797468364238739,0.34228554368019104,0.08466941118240356,0.6946293711662292,0.6954382658004761,0.32779940962791443,0.04662062227725983,0.69382244348526,0.6946293711662292,1.0,0.48086175322532654,0.08908791095018387
no_init_box_kenn_bottom_up_adapter_bert_ms,0,fmn4zxpg,0.3312220871448517,0.69382244348526,0.847058892250061,0.48086175322532654,0.04662062227725983,0.04662062227725983,0.8079749941825867,0.029168693348765373,0.4700561463832855,0.06574889272451401,0.03585271164774895,1.0,0.0,0.41814157366752625,1.0,0.1763383001089096,0.014800197444856169,0.6954382658004761,0.8092653751373291,0.11149481683969498,0.5897035598754883,1.0,0.8079749941825867,0.8092653751373291,0.9414576292037964,0.08908791095018387,1.0,0.34228554368019104,0.06287617236375809,0.07478632777929306,1.0,0.018253576010465625,0.26,0.9806451797485352,0.1967901587486267,0.3312220871448517,0.6151430010795593,0.10737628489732742,0.4700561463832855,0.13875123858451843,0.4568100571632385,1.0,0.9589040875434875,0.05673408880829811,0.129583939909935,21,0.9032257795333862,0.09669462591409685,0.797468364238739,0.34228554368019104,0.08466941118240356,0.6946293711662292,0.6954382658004761,0.32779940962791443,0.04662062227725983,0.69382244348526,0.6946293711662292,1.0,0.48086175322532654,0.08908791095018387
smart_init_box_adapter_bert_ms,2,e2zafbul,0.8013588190078735,0.6865174770355225,0.847058892250061,0.7526049017906189,0.24494068324565887,0.04366058111190796,0.8030136227607727,0.12339331209659576,0.8038502931594849,0.06116913631558418,0.17721518874168396,0.9068613648414612,0.06999999999999999,0.3915929198265076,0.945945918560028,0.660649836063385,0.06685236841440201,0.7110024690628052,0.8063573837280273,0.10212135314941406,0.5486276745796204,0.9336734414100648,0.8030136227607727,0.8063573837280273,0.9029271602630616,0.38585802912712097,0.9159291982650756,0.7081510424613953,0.06406018137931824,0.3447684347629547,0.947826087474823,0.09776536375284196,0.26,0.9061342477798462,0.3555457293987274,0.8013588190078735,0.614223837852478,0.4608879685401917,0.8038502931594849,0.5012468695640564,0.4654121994972229,0.800000011920929,0.91780823469162,0.3044692873954773,0.12428054213523863,14,0.9032257795333862,0.5111731886863708,0.797468364238739,0.7081510424613953,0.0845428854227066,0.6985454559326172,0.7110024690628052,0.510703444480896,0.24506506323814392,0.6865174770355225,0.6985454559326172,0.9285714030265808,0.7526049017906189,0.3876311480998993
