name,instance,run_id,test_incremental/micro/precision,test_incremental_only/micro/precision,test_incremental_people/macro_types/precision,test_incremental/macro_example/recall,test_incremental/macro_types/precision,test/macro_example/recall,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/macro_types/f1,test/micro/f1,test/macro_example/f1,threshold_incremental,test_incremental/macro_example/precision,test_incremental/macro_example/f1,test_incremental_people/macro_types/recall,test_pretraining/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_people/macro_types/f1,test/macro_types/precision,test_pretraining/macro_example/precision,test/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test/macro_types/f1,test_pretraining/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test/macro_example/precision,test_incremental_people-ethnicity/macro_types/f1,test_incremental_people-ethnicity/macro_types/recall,epoch,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test/micro/precision,test_incremental_people-ethnicity/macro_types/precision,test_incremental/micro/f1,test_incremental_only/micro/f1,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/micro/recall
no_init_box_kenn_horizontal_adapter_bert_ms,2,fdxzlhtm,0.9375,0.9333333373069764,0.9411764740943908,0.010438414290547373,0.9372549057006836,0.905636727809906,0.9089756608009338,0.9051374197006226,0.875,0.892468273639679,0.9150938391685486,0.02,0.011482255533337591,0.010935481637716292,0.9411764740943908,0.892468273639679,0.8235294222831726,0.8823529481887817,0.8163646459579468,0.9411764740943908,0.8910942673683167,0.9247506260871888,0.8163646459579468,0.905636727809906,0.00974251888692379,0.00974251888692379,0.8235294222831726,0.8823529481887817,0.8801490068435669,0.9705882668495178,0.8235294222831726,0.8520941138267517,0.8910942673683167,0.8520941138267517,0.9333333373069764,0.8235294818878174,0.25,0.9247506260871888,0.875,0.8235294222831726,61,0.8823529481887817,0.00974251888692379,0.8235294818878174,0.9051374197006226,0.9333333373069764,0.9090909361839294,0.875,0.9150938391685486,0.924369752407074,0.8801490068435669
no_init_box_kenn_horizontal_adapter_bert_ms,1,wfk49syn,0.914893627166748,0.8461538553237915,0.9411764740943908,0.007480863016098738,0.8936651945114136,0.9039549827575684,0.7406357526779175,0.904772698879242,0.4680851399898529,0.8903729319572449,0.9141212105751038,0.06999999999999999,0.011134307831525804,0.008949069306254387,0.9411764740943908,0.8903729319572449,0.3235294222831726,0.6323529481887817,0.8063646554946899,0.9411764740943908,0.8893506526947021,0.9245187044143676,0.8063646554946899,0.9039549827575684,0.003827418200671673,0.003827418200671673,0.3235294222831726,0.6323529481887817,0.8764241933822632,0.9411765336990356,0.3235294222831726,0.845827043056488,0.8893506526947021,0.845827043056488,0.8461538553237915,0.3235294222831726,0.25,0.9245187044143676,0.4680851399898529,0.3235294222831726,30,0.6323529481887817,0.003827418200671673,0.3235294222831726,0.904772698879242,0.8461538553237915,0.747826099395752,0.4680851399898529,0.9141212105751038,0.756459653377533,0.8764241933822632
no_init_box_kenn_horizontal_adapter_bert_ms,0,q0a1tyht,0.9365079402923584,0.931034505367279,0.9411764740943908,0.0102644395083189,0.936105489730835,0.905636727809906,0.900577187538147,0.905116081237793,0.8571428656578064,0.8923453092575073,0.9149802923202516,0.01,0.011134307831525804,0.010681693442165852,0.9411764740943908,0.8923453092575073,0.7941176295280457,0.8676470518112183,0.8157764077186584,0.9411764740943908,0.8910483121871948,0.9245187044143676,0.8157764077186584,0.905636727809906,0.009394572116434574,0.009394572116434574,0.7941176891326904,0.8676470518112183,0.8799299001693726,0.9411765336990356,0.7941176295280457,0.851752519607544,0.8910483121871948,0.851752519607544,0.931034505367279,0.7941176891326904,0.25,0.9245187044143676,0.8571428656578064,0.7941176295280457,30,0.8676470518112183,0.009394572116434574,0.7941176891326904,0.905116081237793,0.931034505367279,0.9007633328437804,0.8571428656578064,0.9149802923202516,0.9029172658920288,0.8799299001693726
no_init_box_kenn_hybrid_adapter_bert_ms,2,ytibb8xo,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.9062456488609314,0.9411764740943908,0.9052228927612304,0.9411764740943908,0.892960250377655,0.9154330492019652,0.01,0.011482255533337591,0.011305605061352251,0.9411764740943908,0.892960250377655,0.9411764740943908,0.9411764740943908,0.8187175989151001,0.9411764740943908,0.8912511467933655,0.9248086214065552,0.8187175989151001,0.9062456488609314,0.011134307831525804,0.011134307831525804,0.9411764740943908,0.9411764740943908,0.8810254335403442,0.9705882668495178,0.9411764740943908,0.8534459471702576,0.8912511467933655,0.8534459471702576,0.9411764740943908,0.9411764740943908,0.25,0.9248086214065552,0.9411764740943908,0.9411764740943908,28,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.9052228927612304,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.9154330492019652,0.955656111240387,0.8810254335403442
no_init_box_kenn_top_down_adapter_bert_ms,2,xd8ub7my,0.9154929518699646,0.8918918967247009,0.9411764740943908,0.011308280751109123,0.916534185409546,0.9063326120376588,0.9357948303222656,0.904836893081665,0.9295774698257446,0.8928849101066589,0.9153352975845336,0.02,0.011482255533337591,0.011394604109227656,0.9411764740943908,0.8928849101066589,0.970588207244873,0.9558823108673096,0.8193057775497437,0.9411764740943908,0.8902654647827148,0.9245187044143676,0.8193057775497437,0.9063326120376588,0.011482254602015018,0.011482255533337591,0.9705882668495178,0.9558823704719543,0.8812445402145386,0.9705882668495178,0.970588207244873,0.8533129096031189,0.8902654647827148,0.8533129096031189,0.8918918967247009,0.9705882668495178,0.25,0.9245187044143676,0.9295774698257446,0.970588207244873,27,0.9558823704719543,0.011482255533337591,0.9705882668495178,0.904836893081665,0.8918918967247009,0.9352518320083618,0.9295774698257446,0.9153352975845336,0.9631792306900024,0.8812445402145386
no_init_box_kenn_bottom_up_adapter_bert_ms,2,gkhq8ohe,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.9062456488609314,0.9411764740943908,0.9052228927612304,0.9411764740943908,0.892960250377655,0.9154330492019652,0.01,0.011482255533337591,0.011305605061352251,0.9411764740943908,0.892960250377655,0.9411764740943908,0.9411764740943908,0.8187175989151001,0.9411764740943908,0.8912511467933655,0.9248086214065552,0.8187175989151001,0.9062456488609314,0.011134307831525804,0.011134307831525804,0.9411764740943908,0.9411764740943908,0.8810254335403442,0.9705882668495178,0.9411764740943908,0.8534459471702576,0.8912511467933655,0.8534459471702576,0.9411764740943908,0.9411764740943908,0.25,0.9248086214065552,0.9411764740943908,0.9411764740943908,27,0.9411764740943908,0.011134307831525804,0.9411764740943908,0.9052228927612304,0.9411764740943908,0.9411764740943908,0.9411764740943908,0.9154330492019652,0.955656111240387,0.8810254335403442
no_init_box_kenn_hybrid_adapter_bert_ms,1,i800xbu3,0.92592591047287,0.8999999761581421,0.9411764740943908,0.008698677644133568,0.9205882549285888,0.904853880405426,0.8175739645957947,0.9049232006072998,0.6666666865348816,0.8912366628646851,0.914608895778656,0.01,0.011134307831525804,0.00976693630218506,0.9411764740943908,0.8912366628646851,0.529411792755127,0.7352941036224365,0.8104822635650635,0.9411764740943908,0.8904275894165039,0.9245766401290894,0.8104822635650635,0.904853880405426,0.006263048388063908,0.006263048388063908,0.529411792755127,0.7352941036224365,0.8779579401016235,0.9411765336990356,0.529411792755127,0.8485761284828186,0.8904275894165039,0.8485761284828186,0.8999999761581421,0.529411792755127,0.25,0.9245766401290894,0.6666666865348816,0.529411792755127,22,0.7352941036224365,0.006263048388063908,0.529411792755127,0.9049232006072998,0.8999999761581421,0.8196721076965332,0.6666666865348816,0.914608895778656,0.8255934119224548,0.8779579401016235
no_init_box_kenn_top_down_adapter_bert_ms,1,20idoj2f,0.8823529481887817,0.8235294222831726,0.9411764740943908,0.010438414290547373,0.8823529481887817,0.9059267044067384,0.8823529481887817,0.904322385787964,0.8235294222831726,0.8920719623565674,0.9150431156158448,0.01,0.011830201372504234,0.011090814135968683,0.9411764740943908,0.8920719623565674,0.8235294222831726,0.8823529481887817,0.8163646459579468,0.9411764740943908,0.8888981938362122,0.9243447780609132,0.8163646459579468,0.9059267044067384,0.00974251888692379,0.00974251888692379,0.8235294222831726,0.8823529481887817,0.8801490068435669,1.0,0.8235294222831726,0.8510887622833252,0.8888981938362122,0.8510887622833252,0.8235294222831726,0.8235294818878174,0.25,0.9243447780609132,0.8235294222831726,0.8235294222831726,22,0.8823529481887817,0.00974251888692379,0.8235294818878174,0.904322385787964,0.8235294222831726,0.8823529481887817,0.8235294222831726,0.9150431156158448,0.9375,0.8801490068435669
no_init_box_kenn_bottom_up_adapter_bert_ms,1,xzi26wj4,0.92592591047287,0.8999999761581421,0.9411764740943908,0.008698677644133568,0.9205882549285888,0.904853880405426,0.8175739645957947,0.9049232006072998,0.6666666865348816,0.8912366628646851,0.9146373867988586,0.01,0.011134307831525804,0.00976693630218506,0.9411764740943908,0.8912366628646851,0.529411792755127,0.7352941036224365,0.8104822635650635,0.9411764740943908,0.8904275894165039,0.9246346950531006,0.8104822635650635,0.904853880405426,0.006263048388063908,0.006263048388063908,0.529411792755127,0.7352941036224365,0.8779579401016235,0.9411765336990356,0.529411792755127,0.8485761284828186,0.8904275894165039,0.8485761284828186,0.8999999761581421,0.529411792755127,0.25,0.9246346950531006,0.6666666865348816,0.529411792755127,27,0.7352941036224365,0.006263048388063908,0.529411792755127,0.9049232006072998,0.8999999761581421,0.8196721076965332,0.6666666865348816,0.9146373867988586,0.8255934119224548,0.8779579401016235
no_init_box_kenn_hybrid_adapter_bert_ms,0,2ve2u02i,0.9402984976768494,0.939393937587738,0.9411764740943908,0.010960333980619907,0.9402852058410645,0.9061006307601928,0.933326780796051,0.9052015542984008,0.9253731369972228,0.8928373456001282,0.9152454137802124,0.01,0.011134307831525804,0.011046635918319224,0.9411764740943908,0.8928373456001282,0.911764681339264,0.9264705777168274,0.8181293606758118,0.9411764740943908,0.891215443611145,0.9245766401290894,0.8181293606758118,0.9061006307601928,0.010786361061036588,0.010786361061036588,0.9117647409439088,0.9264705777168274,0.8808063268661499,0.9411765336990356,0.911764681339264,0.8531098961830139,0.891215443611145,0.8531098961830139,0.939393937587738,0.9117647409439088,0.25,0.9245766401290894,0.9253731369972228,0.911764681339264,30,0.9264706373214722,0.010786361061036588,0.9117647409439088,0.9052015542984008,0.939393937587738,0.9333333373069764,0.9253731369972228,0.9152454137802124,0.933765709400177,0.8808063268661499
