name,instance,run_id,test/macro_types/precision,test_pretraining/macro_example/f1,test_pretraining/macro_types/precision,test_incremental_people/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_people-ethnicity/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_example/recall,test/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/f1,test_incremental/micro/recall,test/micro/f1,test_incremental_only/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test/macro_types/f1,test/micro/precision,test_pretraining/micro/f1,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/precision,test_pretraining/macro_types/f1,test_incremental_people-ethnicity/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/micro/f1,test_pretraining/macro_example/precision,test_incremental/micro/precision,test_incremental/macro_example/recall,epoch,test/macro_types/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_people/macro_types/precision,test/macro_example/f1,threshold_incremental,threshold_pretraining,test_incremental/micro/f1,test_incremental_people-ethnicity/macro_types/f1,test/micro/recall,test_pretraining/micro/precision,test_pretraining/macro_types/recall,test_incremental/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_people/macro_types/f1,test_incremental/macro_example_exclusive/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,mz8gabbh,0.872664213180542,0.6706802248954773,0.872664213180542,0.9411764740943908,0.9850746989250184,1.0,1.0,0.9064486026763916,0.5322431325912476,0.9705882668495178,1.0,0.011653631925582886,1.0,0.6391973495483398,0.970588207244873,0.6792165637016296,1.0,0.970588207244873,0.9064486026763916,0.8454564809799194,0.5524581074714661,0.6792165637016296,1.0,0.011830201372504234,0.8454564809799194,0.011830201372504234,0.8814636468887329,0.023383768275380135,0.5322431325912476,0.022696010768413544,0.011482255533337591,67,0.8198940753936768,0.011830201372504234,0.011830201372504234,0.011830201372504234,0.9411764740943908,0.6706802248954773,0.0,0.25,0.04435483738780022,0.023383768275380135,0.8814636468887329,0.5524581074714661,0.8198940753936768,0.4765033423900604,0.011830201372504234,0.023383768275380135,0.011830202303826807,0.9411764740943908,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,1,48g6ttkk,0.8824275732040405,0.9135130047798156,0.8824275732040405,0.9411764740943908,0.6530612111091614,0.05882352963089943,0.05882352963089943,0.9027661681175232,0.9245187044143676,0.5,0.05882352963089943,0.007725845091044903,0.05882352963089943,0.5903614163398743,0.5,0.8892602324485779,0.05882352963089943,0.5,0.9027661681175232,0.8397831916809082,0.904578447341919,0.8892602324485779,0.05882352963089943,0.0006958942394703627,0.8397831916809082,0.5,0.8744522333145142,0.10526315867900848,0.9245187044143676,0.8947368264198303,0.005915100686252117,67,0.801070511341095,0.5,0.0006958942394703627,0.5,0.9411764740943908,0.9135130047798156,0.23,0.25,0.641509473323822,0.10526315867900848,0.8744522333145142,0.904578447341919,0.801070511341095,0.720588207244873,0.011134307831525804,0.10526315867900848,0.0006958942394703627,0.9411764740943908,0.9411765336990356
no_init_box_kenn_horizontal_adapter_bert_ms,0,3p8zxtjq,0.8857609033584595,0.9134832620620728,0.8857609033584595,0.9411764740943908,0.6530612111091614,0.05882352963089943,0.05882352963089943,0.9027081727981568,0.9245187044143676,0.5,0.05882352963089943,0.007725845091044903,0.05882352963089943,0.6165413856506348,0.5,0.8893593549728394,0.05882352963089943,0.5,0.9027081727981568,0.8412896394729614,0.9047834873199464,0.8893593549728394,0.05882352963089943,0.0006958942394703627,0.8412896394729614,0.6666666865348816,0.8744522333145142,0.10810811072587968,0.9245187044143676,0.9189189076423644,0.005915100686252117,56,0.801070511341095,0.6666666865348816,0.0006958942394703627,0.6666666865348816,0.9411764740943908,0.9134832620620728,0.18000000000000002,0.25,0.6476190686225891,0.10810811072587968,0.8744522333145142,0.9047834873199464,0.801070511341095,0.8039215803146362,0.011134307831525804,0.10810811072587968,0.0006958942394703627,0.9411764740943908,0.9411765336990356
no_init_box_kenn_hybrid_adapter_bert_ms,2,6hrc47b1,0.8924275636672974,0.9140174388885498,0.8924275636672974,0.9411764740943908,0.7668846249580383,0.3529411852359772,0.3529411852359772,0.9037520289421082,0.9245187044143676,0.6470588445663452,0.3529411852359772,0.009072399698197842,0.3529411852359772,0.7764706015586853,0.6470588445663452,0.8906945586204529,0.3529411852359772,0.6470588445663452,0.9037520289421082,0.8475406765937805,0.905203640460968,0.8906945586204529,0.3529411852359772,0.004175365436822176,0.8475406765937805,1.0,0.8766433000564575,0.52173912525177,0.9245187044143676,0.95652174949646,0.007654836867004633,67,0.8069528937339783,1.0,0.004175365436822176,1.0,0.9411764740943908,0.9140174388885498,0.02,0.25,0.7719298601150513,0.52173912525177,0.8766433000564575,0.905203640460968,0.8069528937339783,0.970588207244873,0.011134307831525804,0.52173912525177,0.004175365436822176,0.9411764740943908,0.9411765336990356
no_init_box_kenn_top_down_adapter_bert_ms,2,dmjt8hun,0.8924275636672974,0.914239764213562,0.8924275636672974,0.9411764740943908,0.8162415623664856,0.5,0.5,0.9041869640350342,0.9245187044143676,0.7205882668495178,0.5,0.009656302630901337,0.5,0.8271099328994751,0.720588207244873,0.8913116455078125,0.5,0.720588207244873,0.9041869640350342,0.8491600751876831,0.9053107500076294,0.8913116455078125,0.5,0.0059151011519134045,0.8491600751876831,1.0,0.8777388334274292,0.6666666865348816,0.9245187044143676,0.9607843160629272,0.008524704724550247,62,0.8098940253257751,1.0,0.0059151011519134045,1.0,0.9411764740943908,0.914239764213562,0.01,0.25,0.8235293626785278,0.6666666865348816,0.8777388334274292,0.9053107500076294,0.8098940253257751,0.970588207244873,0.011134307831525804,0.6666666865348816,0.0059151011519134045,0.9411764740943908,0.9411765336990356
no_init_box_kenn_bottom_up_adapter_bert_ms,2,qaulkyzg,0.8924275636672974,0.9140174388885498,0.8924275636672974,0.9411764740943908,0.7668846249580383,0.3529411852359772,0.3529411852359772,0.9037520289421082,0.9245187044143676,0.6470588445663452,0.3529411852359772,0.009072399698197842,0.3529411852359772,0.7764706015586853,0.6470588445663452,0.8906945586204529,0.3529411852359772,0.6470588445663452,0.9037520289421082,0.8475406765937805,0.905203640460968,0.8906945586204529,0.3529411852359772,0.004175365436822176,0.8475406765937805,1.0,0.8766433000564575,0.52173912525177,0.9245187044143676,0.95652174949646,0.007654836867004633,70,0.8069528937339783,1.0,0.004175365436822176,1.0,0.9411764740943908,0.9140174388885498,0.01,0.25,0.7719298601150513,0.52173912525177,0.8766433000564575,0.905203640460968,0.8069528937339783,0.970588207244873,0.011134307831525804,0.52173912525177,0.004175365436822176,0.9411764740943908,0.9411765336990356
no_init_box_kenn_hybrid_adapter_bert_ms,1,e8k5qnj6,0.8844276070594788,0.9135130047798156,0.8844276070594788,0.9411764740943908,0.6654783487319946,0.0882352963089943,0.0882352963089943,0.902766227722168,0.9245187044143676,0.5147058963775635,0.0882352963089943,0.007872742600739002,0.0882352963089943,0.6171759366989136,0.5147058963775635,0.8893839716911316,0.0882352963089943,0.5147058963775635,0.902766227722168,0.8410115838050842,0.9046000242233276,0.8893839716911316,0.0882352963089943,0.001043841359205544,0.8410115838050842,0.6000000238418579,0.8746713399887085,0.1538461595773697,0.9245187044143676,0.8974359035491943,0.006089074537158012,67,0.8016587495803833,0.6000000238418579,0.001043841359205544,0.6000000238418579,0.9411764740943908,0.9135130047798156,0.74,0.25,0.6542056202888489,0.1538461595773697,0.8746713399887085,0.9046000242233276,0.8016587495803833,0.7705882787704468,0.011134307831525804,0.1538461595773697,0.001043841359205544,0.9411764740943908,0.9411765336990356
no_init_box_kenn_top_down_adapter_bert_ms,1,c2m6exjf,0.8844276070594788,0.9135130047798156,0.8844276070594788,0.9411764740943908,0.6654783487319946,0.0882352963089943,0.0882352963089943,0.902766227722168,0.9245187044143676,0.5147058963775635,0.0882352963089943,0.007872742600739002,0.0882352963089943,0.6171759366989136,0.5147058963775635,0.8893839716911316,0.0882352963089943,0.5147058963775635,0.902766227722168,0.8410115838050842,0.9046000242233276,0.8893839716911316,0.0882352963089943,0.001043841359205544,0.8410115838050842,0.6000000238418579,0.8746713399887085,0.1538461595773697,0.9245187044143676,0.8974359035491943,0.006089074537158012,68,0.8016587495803833,0.6000000238418579,0.001043841359205544,0.6000000238418579,0.9411764740943908,0.9135130047798156,0.78,0.25,0.6542056202888489,0.1538461595773697,0.8746713399887085,0.9046000242233276,0.8016587495803833,0.7705882787704468,0.011134307831525804,0.1538461595773697,0.001043841359205544,0.9411764740943908,0.9411765336990356
no_init_box_kenn_bottom_up_adapter_bert_ms,1,5rlcnn9f,0.8844276070594788,0.9135130047798156,0.8844276070594788,0.9411764740943908,0.6654783487319946,0.0882352963089943,0.0882352963089943,0.902766227722168,0.9245187044143676,0.5147058963775635,0.0882352963089943,0.007872742600739002,0.0882352963089943,0.6171759366989136,0.5147058963775635,0.8893839716911316,0.0882352963089943,0.5147058963775635,0.902766227722168,0.8410115838050842,0.9046000242233276,0.8893839716911316,0.0882352963089943,0.001043841359205544,0.8410115838050842,0.6000000238418579,0.8746713399887085,0.1538461595773697,0.9245187044143676,0.8974359035491943,0.006089074537158012,67,0.8016587495803833,0.6000000238418579,0.001043841359205544,0.6000000238418579,0.9411764740943908,0.9135130047798156,0.32,0.25,0.6542056202888489,0.1538461595773697,0.8746713399887085,0.9046000242233276,0.8016587495803833,0.7705882787704468,0.011134307831525804,0.1538461595773697,0.001043841359205544,0.9411764740943908,0.9411765336990356
no_init_box_kenn_hybrid_adapter_bert_ms,0,q6ybsd1z,0.8884276151657104,0.9136317372322084,0.8884276151657104,0.9411764740943908,0.677647054195404,0.11764705926179886,0.11764705926179886,0.902998149394989,0.9245187044143676,0.529411792755127,0.11764705926179886,0.00801670178771019,0.11764705926179886,0.6584280729293823,0.529411792755127,0.889606773853302,0.11764705926179886,0.529411792755127,0.902998149394989,0.8431408405303955,0.9048266410827636,0.889606773853302,0.11764705926179886,0.0013917884789407251,0.8431408405303955,0.800000011920929,0.8748904466629028,0.20512820780277252,0.9245187044143676,0.9230769276618958,0.00626304792240262,57,0.8022469878196716,0.800000011920929,0.0013917884789407251,0.800000011920929,0.9411764740943908,0.9136317372322084,0.55,0.25,0.6728972792625427,0.20512820780277252,0.8748904466629028,0.9048266410827636,0.8022469878196716,0.8705882430076599,0.011134307831525804,0.20512820780277252,0.0013917884789407251,0.9411764740943908,0.9411765336990356
