name,test_incremental/micro/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_people/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_incremental/macro_types/precision/mean,test/macro_example/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test/micro/f1/mean,test/macro_example/f1/mean,threshold_incremental/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_people/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_people/macro_types/f1/mean,test/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test/macro_types/recall/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/micro/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/recall/mean,test/macro_types/f1/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_pretraining/mean,test/macro_example/precision/mean,test_incremental_people-ethnicity/macro_types/f1/mean,test_incremental_people-ethnicity/macro_types/recall/mean,epoch/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/micro/precision/mean,test_incremental_people-ethnicity/macro_types/precision/mean,test_incremental/micro/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/recall/mean,test_incremental/micro/precision/std,test_incremental_only/micro/precision/std,test_incremental_people/macro_types/precision/std,test_incremental/macro_example/recall/std,test_incremental/macro_types/precision/std,test/macro_example/recall/std,test_incremental/macro_types/f1/std,test_pretraining/micro/precision/std,test_incremental_only/macro_types/f1/std,test/micro/f1/std,test/macro_example/f1/std,threshold_incremental/std,test_incremental/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental_people/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/recall/std,test_incremental_people/macro_types/f1/std,test/macro_types/precision/std,test_pretraining/macro_example/precision/std,test/macro_types/recall/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental/micro/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_only/macro_types/recall/std,test/macro_types/f1/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_pretraining/std,test/macro_example/precision/std,test_incremental_people-ethnicity/macro_types/f1/std,test_incremental_people-ethnicity/macro_types/recall/std,epoch/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/micro/precision/std,test_incremental_people-ethnicity/macro_types/precision/std,test_incremental/micro/f1/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test/micro/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9354987740516663,0.926225483417511,0.9411764740943908,0.01020644884556532,0.9337009787559509,0.905704398949941,0.8946988383928934,0.9051087498664856,0.8389780322710673,0.8923037449518839,0.9150905013084412,0.01,0.0112502903987964,0.010676704657574495,0.9411764740943908,0.8923037449518839,0.7843137383460999,0.8627451062202454,0.8155803283055624,0.9411764740943908,0.8909521102905273,0.924673318862915,0.8155803283055624,0.905704398949941,0.009278589859604836,0.009278589859604836,0.7843137383460999,0.8627450863520304,0.8798568646113077,0.9509804447491964,0.7843137383460999,0.8515982429186503,0.8909521102905273,0.8515982429186503,0.926225483417511,0.7843137383460999,0.25,0.924673318862915,0.8389780322710673,0.7843137383460999,27.666666666666668,0.8627451062202454,0.009278589859604836,0.7843137383460999,0.9051087498664856,0.926225483417511,0.895407239596049,0.8389780322710673,0.9150905013084412,0.9024955828984579,0.8798568646113077,0.008338114110700968,0.022786224757517178,0.0,0.0013173068115187444,0.0113930878554504,0.000745647486548813,0.06725946023240147,0.00016210489950610338,0.15008587654343897,0.0009322651848580543,0.0004091923720810508,0.0,0.00020088769930494687,0.0008068708027256783,0.0,0.0009322651848580543,0.22270227479650817,0.11135116101378917,0.004454068061884468,0.0,0.0004557346700465107,0.00012071734459929841,0.004454068061884468,0.000745647486548813,0.0026346128850520327,0.0026346128850520327,0.22270227479650817,0.11135114789404763,0.0016590489609370138,0.016980872051764333,0.22270227479650817,0.0026387900584813576,0.0004557346700465107,0.0026387900584813576,0.022786224757517178,0.22270227479650817,0.0,0.00012071734459929841,0.15008587654343897,0.22270227479650817,1.154700538379251,0.11135116101378917,0.0026346128850520327,0.22270227479650817,0.00016210489950610338,0.022786224757517178,0.0660628035942274,0.15008587654343897,0.0004091923720810508,0.06820429337431597,0.0016590489609370138
no_init_box_kenn_horizontal_adapter_bert_ms,0.9296338558197021,0.9035072326660156,0.9411764740943908,0.009394572271655003,0.9223418633143107,0.9050761461257935,0.8500628670056661,0.9050087332725525,0.7334093352158865,0.8917288382848104,0.9147317806879679,0.03333333333333333,0.0112502903987964,0.010188748128712177,0.9411764740943908,0.8917288382848104,0.6470588246981303,0.7941176493962606,0.8128352363904318,0.9411764740943908,0.8904977440834045,0.9245960116386414,0.8128352363904318,0.9050761461257935,0.007654836401343346,0.007654836401343346,0.6470588445663452,0.7941176493962606,0.8788343667984009,0.9509804447491964,0.6470588246981303,0.8498912254969279,0.8904977440834045,0.8498912254969279,0.9035072326660156,0.6470588644345602,0.25,0.9245960116386414,0.7334093352158865,0.6470588246981303,40.333333333333336,0.7941176493962606,0.007654836401343346,0.6470588644345602,0.9050087332725525,0.9035072326660156,0.8525601228078207,0.7334093352158865,0.9147317806879679,0.8612488905588785,0.8788343667984009,0.012775046034042628,0.049682779476307545,0.0,0.0016596021036122325,0.024841372536380243,0.0009709559586754615,0.09485965212280752,0.0002046900305780927,0.22995089854354897,0.001175857787604368,0.0005318083477455039,0.032145502536643174,0.00020088769930494687,0.0010810665100667658,0.0,0.001175857787604368,0.28057034600702613,0.14028517300351306,0.005611400796841557,0.0,0.000993675983504871,0.0001339000402342748,0.005611400796841557,0.0009709559586754615,0.0033192038655222816,0.0033192038655222816,0.28057036162768756,0.14028517300351306,0.002090144458060677,0.016980872051764333,0.28057034600702613,0.003523826873518883,0.000993675983504871,0.003523826873518883,0.049682779476307545,0.28057038037248094,0.0,0.0001339000402342748,0.22995089854354897,0.28057034600702613,17.8978583448784,0.14028517300351306,0.0033192038655222816,0.28057038037248094,0.0002046900305780927,0.049682779476307545,0.09079784683244159,0.22995089854354897,0.0005318083477455039,0.09138183882044495,0.002090144458060677
no_init_box_kenn_hybrid_adapter_bert_ms,0.93580029408137,0.926856795946757,0.9411764740943908,0.01026443981875976,0.9340166449546814,0.9057333866755167,0.8973590731620789,0.9051158825556437,0.8444054325421652,0.8923447529474894,0.9150957862536112,0.01,0.0112502903987964,0.010706392427285513,0.9411764740943908,0.8923447529474894,0.7941176493962606,0.8676470518112183,0.8157764077186584,0.9411764740943908,0.8909647266070048,0.924653967221578,0.8157764077186584,0.9057333866755167,0.009394572426875433,0.009394572426875433,0.7941176692644755,0.8676470518112183,0.8799299001693726,0.9509804447491964,0.7941176493962606,0.8517106572786967,0.8909647266070048,0.8517106572786967,0.926856795946757,0.7941176692644755,0.25,0.924653967221578,0.8444054325421652,0.7941176493962606,26.666666666666668,0.8676470716794332,0.009394572426875433,0.7941176692644755,0.9051158825556437,0.926856795946757,0.8980606396993002,0.8444054325421652,0.9150957862536112,0.9050050775210062,0.8799299001693726,0.008562727333233303,0.023275758547638994,0.0,0.0013587770662685482,0.011637862080059796,0.0007651183057097147,0.06920731235151248,0.0001672082007922139,0.15412894841668423,0.0009615997711063468,0.00043197050110590455,0.0,0.00020088769930494687,0.0008238322720690066,0.0,0.0009615997711063468,0.22971320443839296,0.11485661939028008,0.004594287517757581,0.0,0.0004655168636790401,0.00013393445299185263,0.004594287517757581,0.0007651183057097147,0.0027175538344279965,0.0027175538344279965,0.22971321970157846,0.11485661939028008,0.0017112778311152972,0.016980872051764333,0.22971320443839296,0.0027197767639364485,0.0004655168636790401,0.0027197767639364485,0.023275758547638994,0.22971321970157846,0.0,0.00013393445299185263,0.15412894841668423,0.22971320443839296,4.163331998932265,0.11485663465346793,0.0027175538344279965,0.22971321970157846,0.0001672082007922139,0.023275758547638994,0.06799963353451352,0.15412894841668423,0.00043197050110590455,0.06963804203187784,0.0017112778311152972
no_init_box_kenn_top_down_adapter_bert_ms,0.9132916331291199,0.8860928217569987,0.9411764740943908,0.011018325264255205,0.9136346578598022,0.9061973094940187,0.9223489165306091,0.9048011700312296,0.9032095472017924,0.8926800092061361,0.9152852892875671,0.023333333333333334,0.011598237479726473,0.011293340784807997,0.9411764740943908,0.8926800092061361,0.9215686122576395,0.9313725233078003,0.818325400352478,0.9411764740943908,0.8901494741439819,0.9245573679606119,0.818325400352478,0.9061973094940187,0.01090234269698461,0.010902343317866325,0.9215686519940695,0.9313725630442301,0.8808793624242147,0.9803921778996786,0.9215686122576395,0.8527275125185648,0.8901494741439819,0.8527275125185648,0.8860928217569987,0.9215686718622843,0.25,0.9245573679606119,0.9032095472017924,0.9215686122576395,26.333333333333332,0.9313725630442301,0.010902343317866325,0.9215686718622843,0.9048011700312296,0.8860928217569987,0.9221699635187784,0.9032095472017924,0.9152852892875671,0.9546194871266683,0.8808793624242147,0.029898864912568823,0.05987485599497969,0.0,0.0005022176351643536,0.029937442124529257,0.00023435087997802207,0.03525177639431925,0.00046195979723571084,0.07030782518346428,0.0005358320662938693,0.0002214457589298162,0.015275252316519468,0.00020088662390627143,0.00017539322283817666,0.0,0.0005358320662938693,0.08490442908433704,0.042452197335789664,0.0016980631162460383,0.0,0.0011975055051038235,0.00023432629959148525,0.0016980631162460383,0.00023435087997802207,0.0010044368834267268,0.001004437421126065,0.08490446349709474,0.04245223174854738,0.0006325064866367094,0.016980872051764333,0.08490442908433704,0.0014383575598858965,0.0011975055051038235,0.0014383575598858965,0.05987485599497969,0.08490442908433704,0.0,0.00023432629959148525,0.07030782518346428,0.08490442908433704,4.041451884327381,0.04245223174854738,0.001004437421126065,0.08490442908433704,0.00046195979723571084,0.05987485599497969,0.035151799879568194,0.07030782518346428,0.0002214457589298162,0.0148259107514554,0.0006325064866367094
no_init_kenn_bottom_up_adapter_bert_ms,0.8222601016362509,0.7875338594118754,0.8648648858070374,0.01142426331837972,0.8261993726094564,0.9145809014638265,0.8901936610539755,0.9125736753145853,0.8759422898292542,0.9060282707214355,0.9211778044700623,0.13333333333333333,0.011714219426115354,0.011567288699249426,0.9411764740943908,0.9060282707214355,0.9901960690816244,0.9656862417856852,0.864113469918569,0.9014084339141846,0.9019543131192526,0.9278705914815267,0.864113469918569,0.9145809014638265,0.011714219736556212,0.011714219426115354,0.9901960889498392,0.9656862616539001,0.8995764056841532,0.9901960889498392,0.9901960690816244,0.88262806336085,0.9019543131192526,0.88262806336085,0.7875338594118754,0.9901960889498392,0.375,0.9278705914815267,0.8759422898292542,0.9901960690816244,18.666666666666668,0.96568630139033,0.011714219426115354,0.9901960889498392,0.9125736753145853,0.7875338594118754,0.8878021240234375,0.8759422898292542,0.9211778044700623,0.9777762095133463,0.8995764056841532,0.039667451976466296,0.06862287833236004,0.0,0.00010044384965247431,0.034311439166180006,6.69672264958422e-05,0.01878057101893317,0.0008137645062678401,0.04109035857804424,0.0003739831392273664,0.0002062407788743221,0.08504900548115384,0.00020088662390627154,0.0001495492418009548,0.0,0.0003739831392273664,0.016980906464522022,0.008490453232261023,0.00033961950580074085,0.0,0.0013724594450590362,0.00041946074284947624,0.00033961950580074085,6.69672264958422e-05,0.00020088769930494798,0.00020088662390627154,0.016980872051764333,0.00849041881950331,0.0001265012973273515,0.016980872051764333,0.016980906464522022,0.0005946505542818122,0.0013724594450590362,0.0005946505542818122,0.06862287833236004,0.016980872051764333,0.0,0.00041946074284947624,0.04109035857804424,0.016980906464522022,6.6583281184793925,0.008490453232261023,0.00020088662390627154,0.016980872051764333,0.0008137645062678401,0.06862287833236004,0.02202664731550186,0.04109035857804424,0.0002062407788743221,0.01264135447951936,0.0001265012973273515
no_init_kenn_horizontal_adapter_bert_ms,0.5312527269124985,0.4517926077047984,0.8648648858070374,0.011482254602015018,0.6583287517229716,0.9146195650100708,0.7751415371894836,0.8934269547462463,0.5644878546396891,0.8963881333669027,0.9132857521375021,0.07333333333333333,0.011830201372504234,0.011653630994260313,0.9411764740943908,0.8963881333669027,1.0,0.970588207244873,0.864309549331665,0.9014084339141846,0.8952394723892212,0.9121336936950684,0.864309549331665,0.9146195650100708,0.011830202303826807,0.011830201372504234,1.0,0.970588207244873,0.899649441242218,1.0,1.0,0.8794931968053182,0.8952394723892212,0.8794931968053182,0.4517926077047984,1.0,0.375,0.9121336936950684,0.5644878546396891,1.0,18.666666666666668,0.9705882668495178,0.011830201372504234,1.0,0.8934269547462463,0.4517926077047984,0.6439810593922933,0.5644878546396891,0.9132857521375021,0.9850746989250184,0.899649441242218,0.3272121772845136,0.36033625191226826,0.0,0.0,0.18016812518781822,0.0,0.12755606363186472,0.027164455465231975,0.35353907739360124,0.013787259648682862,0.011106410221741385,0.10969655114602891,0.0,0.0,0.0,0.013787259648682862,0.0,0.0,0.0,0.0,0.007206743778436043,0.022009756040917334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034757123798452197,0.007206743778436043,0.0034757123798452197,0.36033625191226826,0.0,0.0,0.022009756040917334,0.35353907739360124,0.0,6.6583281184793925,0.0,0.0,0.0,0.027164455465231975,0.36033625191226826,0.295974536131825,0.35353907739360124,0.011106410221741385,0.0,0.0
no_init_kenn_hybrid_adapter_bert_ms,0.8528805176417033,0.8429144819577535,0.8648648858070374,0.011366272034744421,0.8538897037506104,0.9145422379175822,0.903974195321401,0.9131758610407511,0.9056013226509094,0.9062880078951517,0.9213296373685201,0.15333333333333332,0.011598237479726473,0.011480946404238542,0.9411764740943908,0.9062880078951517,0.9803921381632487,0.9607842763264974,0.8639173905054728,0.9014084339141846,0.9030619263648988,0.9282185236612955,0.8639173905054728,0.9145422379175822,0.011598237169285616,0.011598237479726473,0.9803921778996786,0.9607843160629272,0.8995033701260885,0.9803921778996786,0.9803921381632487,0.8830557266871134,0.9030619263648988,0.8830557266871134,0.8429144819577535,0.9803921778996786,0.375,0.9282185236612955,0.9056013226509094,0.9803921381632487,18.666666666666668,0.9607843359311422,0.011598237479726473,0.9803921778996786,0.9131758610407511,0.8429144819577535,0.9033875465393066,0.9056013226509094,0.9213296373685201,0.9704777201016744,0.8995033701260885,0.0267688488486884,0.05067481455310559,0.0,0.00010044384965247431,0.02533739287452153,6.696722649582616e-05,0.011027351559355766,0.0005008848806376867,0.02326617822813156,0.00018981714053887787,4.318949160392638e-05,0.13650396819628846,0.00020088662390627216,0.0001495492418009548,0.0,0.00018981714053887787,0.016980906464522022,0.008490453232261023,0.00033961950580074085,0.0,0.0010134922584962957,0.00011840323286256414,0.00033961950580074085,6.696722649582616e-05,0.0002008876993049486,0.00020088662390627216,0.016980872051764333,0.00849041881950331,0.0001265012973273515,0.016980872051764333,0.016980906464522022,0.00033593851636998473,0.0010134922584962957,0.00033593851636998473,0.05067481455310559,0.016980872051764333,0.0,0.00011840323286256414,0.02326617822813156,0.016980906464522022,6.6583281184793925,0.008490453232261023,0.00020088662390627216,0.016980872051764333,0.0005008848806376867,0.05067481455310559,0.011812396415229312,0.02326617822813156,4.318949160392638e-05,0.012641354479519345,0.0001265012973273515
no_init_kenn_top_down_adapter_bert_ms,0.8009213010470072,0.7531692186991373,0.8648648858070374,0.011366272034744421,0.8090170423189799,0.9145422379175822,0.8775589466094971,0.912095288435618,0.8482063810030619,0.9057551026344299,0.9210199515024821,0.3233333333333333,0.011598237479726473,0.011480946404238542,0.9411764740943908,0.9057551026344299,0.9803921381632487,0.9607842763264974,0.8639173905054728,0.9014084339141846,0.9012670119603475,0.9275902907053629,0.8639173905054728,0.9145422379175822,0.011598237169285616,0.011598237479726473,0.9803921778996786,0.9607843160629272,0.8995033701260885,0.9803921778996786,0.9803921381632487,0.8821959296862284,0.9012670119603475,0.8821959296862284,0.7531692186991373,0.9803921778996786,0.375,0.9275902907053629,0.8482063810030619,0.9803921381632487,18.333333333333332,0.9607843359311422,0.011598237479726473,0.9803921778996786,0.912095288435618,0.7531692186991373,0.8723837931950887,0.8482063810030619,0.9210199515024821,0.9704777201016744,0.8995033701260885,0.06573494713679945,0.10746045254153293,0.0,0.00010044384965247431,0.05373024340156717,6.696722649582616e-05,0.028858413941733666,0.0014532555885787065,0.06563671164067583,0.0006529876106932838,0.0002894207505466921,0.1457166199626293,0.00020088662390627216,0.0001495492418009548,0.0,0.0006529876106932838,0.016980906464522022,0.008490453232261023,0.00033961950580074085,0.0,0.0021492260544512237,0.0006542853776232874,0.00033961950580074085,6.696722649582616e-05,0.0002008876993049486,0.00020088662390627216,0.016980872051764333,0.00849041881950331,0.0001265012973273515,0.016980872051764333,0.016980906464522022,0.0008544506477018199,0.0021492260544512237,0.0008544506477018199,0.10746045254153293,0.016980872051764333,0.0,0.0006542853776232874,0.06563671164067583,0.016980906464522022,6.429100507328637,0.008490453232261023,0.00020088662390627216,0.016980872051764333,0.0014532555885787065,0.10746045254153293,0.036670795021066675,0.06563671164067583,0.0002894207505466921,0.012641354479519345,0.0001265012973273515
smart_init_box_adapter_bert_ms,0.6589393417040507,0.5753408918778101,0.9411764740943908,0.01107631685833136,0.7582586805025736,0.9061779777208964,0.8252446452776591,0.8943291107813517,0.6429924766222636,0.8875428636868795,0.9129060308138529,0.2366666666666667,0.011598236858844757,0.01132965243111054,0.9411764740943908,0.8875428636868795,0.9313725431760153,0.9362744887669882,0.818521519502004,0.9411764740943908,0.8839344382286072,0.9197518229484558,0.818521519502004,0.9061779777208964,0.011018325574696064,0.011018324953814348,0.9313725630442301,0.9362744887669882,0.8809523979822794,0.9803921778996786,0.9313725431760153,0.8499543070793152,0.8839344382286072,0.8499543070793152,0.5753408918778101,0.9313725630442301,0.25,0.9197518229484558,0.6429924766222636,0.9313725431760153,5.666666666666667,0.936274528503418,0.011018324953814348,0.9313725630442301,0.8943291107813517,0.5753408918778101,0.7342124680678049,0.6429924766222636,0.9129060308138529,0.9576888879140218,0.8809523979822794,0.32129151200973355,0.37261383654314756,0.0,0.000703106409867982,0.1863069221456477,0.00046873617271375815,0.0984559892871897,0.015424681012729048,0.2874652035029097,0.007371037502507939,0.0030700182173435007,0.375410886008029,0.00040177432321121905,0.0005611489450365815,0.0,0.007371037502507939,0.1188662420133811,0.059433103800311686,0.002377336540605234,0.0,0.007452279365233335,0.006514457801879063,0.002377336540605234,0.00046873617271375815,0.0014062117443372835,0.0014062112066379462,0.1188662076006234,0.059433103800311686,0.0008855090812914124,0.033961744103528646,0.1188662420133811,0.0024955279344277834,0.007452279365233335,0.0024955279344277834,0.37261383654314756,0.1188662076006234,0.0,0.006514457801879063,0.2874652035029097,0.1188662420133811,1.1547005383792515,0.059433138213069406,0.0014062112066379462,0.1188662076006234,0.015424681012729048,0.37261383654314756,0.23419404586598483,0.2874652035029097,0.0030700182173435007,0.04743361607752525,0.0008855090812914124
smart_init_classifier_adapter_bert_ms,0.8740740617116293,0.886185904343923,0.8648648858070374,0.011134307831525803,0.8755253950754801,0.9143876234690348,0.9066916505495707,0.9135568141937256,0.9109698136647543,0.9063271482785543,0.921283503373464,0.53,0.0112502903987964,0.01119184959679842,0.9411764740943908,0.9063271482785543,0.9411764542261759,0.9411764542261759,0.8631330728530884,0.9014084339141846,0.9039273460706075,0.9282842477162679,0.8631330728530884,0.9143876234690348,0.011134307521084944,0.011134307831525803,0.9411764939626058,0.9411764740943909,0.8992112278938293,0.9509804050127665,0.9411764542261759,0.8830585877100626,0.9039273460706075,0.8830585877100626,0.886185904343923,0.9411764939626058,0.375,0.9282842477162679,0.9109698136647543,0.9411764542261759,7.666666666666667,0.9411764740943909,0.011134307831525803,0.9411764939626058,0.9135568141937256,0.886185904343923,0.9059133728345236,0.9109698136647543,0.921283503373464,0.9460404515266418,0.8992112278938293,0.0357172290925195,0.07152503268735952,0.0,0.00017397291958332127,0.035762516343679725,0.00011596083768711349,0.013342205060081148,0.0006354935109867412,0.02684239622274301,0.00021340478414750118,3.700302881478177e-05,0.31,0.00020088769930494687,0.00018097954165855124,0.0,0.00021340478414750118,0.029411762952809558,0.014705866575251128,0.0005882382392883301,0.0,0.0014304983619413778,9.318662169351683e-05,0.0005882382392883301,0.00011596083768711349,0.0003479472361506079,0.00034794770181179003,0.02941176295280953,0.014705896377563435,0.00021910667419433594,0.016980906464522078,0.029411762952809558,0.00040737254981770165,0.0014304983619413778,0.00040737254981770165,0.07152503268735952,0.02941176295280953,0.0,9.318662169351683e-05,0.02684239622274301,0.029411762952809558,4.618802153517007,0.014705896377563435,0.00034794770181179003,0.02941176295280953,0.0006354935109867412,0.07152503268735952,0.013439844648260372,0.02684239622274301,3.700302881478177e-05,0.015298149973280111,0.00021910667419433594
