name,instance,run_id,test_pretraining/macro_types/recall,test_incremental_only/macro_example/recall,threshold_pretraining,test/macro_example/recall,test_pretraining/micro/precision,test/micro/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/precision,test_incremental_other-health/macro_types/f1,test_incremental_only/micro/f1,test_incremental/micro/f1,test/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_other-health-malady/macro_types/recall,test/macro_example/f1,test_incremental/macro_example/f1,test_pretraining/macro_example/f1,test/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/f1,test_incremental_other-health-malady/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_other-health/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_types/recall,test_incremental_other-health-treatment/macro_types/recall,test_incremental_other-health-treatment/macro_types/precision,test_incremental_only/macro_example/precision,threshold_incremental,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/f1,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental/micro/precision,test_incremental_other-health-treatment/macro_types/f1,test_pretraining/micro/recall,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_pretraining/macro_example/precision,test_incremental_other-health-malady/macro_types/f1,test_incremental_other-health/macro_types/precision,test_incremental/macro_types/precision,test_incremental/micro/recall,test_incremental/macro_example/recall,test_incremental_only/macro_types/recall,test/micro/precision,test/macro_example/precision,test_incremental/macro_example_exclusive/f1,epoch,test/micro/f1
kenn_hybrid_adapter_bert_ms,2,279sfc1c,0.8008735775947571,0.01430685631930828,0.33,0.8591684699058533,0.8548766374588013,0.851873517036438,0.6165158748626709,0.4750000238418579,0.022775858640670776,0.8188976645469666,0.5420560240745544,0.692307710647583,0.8538545966148376,0.5418609976768494,0.699999988079071,0.8616418838500977,0.02128666825592518,0.8616418838500977,0.8008735775947571,0.8265159130096436,0.6170212626457214,0.8591684699058533,0.01418244931846857,0.6176470518112183,0.6750000715255737,0.8666666746139526,0.4833333492279053,0.6111111044883728,0.2666666805744171,0.6153846383094788,0.014060188084840776,0.13,0.8538545966148376,0.769444465637207,0.8265159130096436,0.6390732526779175,0.4833333194255829,0.7105262875556946,0.3720930516719818,0.851873517036438,0.8533723950386047,0.47913044691085815,0.8641294240951538,0.65625,0.7761194109916687,0.6697170734405518,0.675000011920929,0.01998026669025421,0.4833333492279053,0.8548766374588013,0.8641294240951538,0.7191346883773804,44,0.8533723950386047
kenn_top_down_adapter_bert_ms,2,25r77v3y,0.8015538454055786,0.014800196513533592,0.33,0.8592917919158936,0.8439976572990417,0.8520687222480774,0.25703680515289307,0.49166667461395264,0.022775858640670776,0.8188976645469666,0.3448275923728943,0.5448505282402039,0.8391819596290588,0.3395301401615143,0.699999988079071,0.8583642840385437,0.02142585627734661,0.8583642840385437,0.8015538454055786,0.8199363946914673,0.2631579041481018,0.8592917919158936,0.014675825834274292,0.3442623019218445,0.6833333969116211,0.8666666746139526,0.5,0.6222222447395325,0.30000001192092896,0.16981132328510284,0.014553527347743511,0.14,0.8391819596290588,0.769444465637207,0.8199363946914673,0.5085983276367188,0.5,0.4530386626720429,0.21686749160289764,0.8520687222480774,0.8480139374732971,0.4957983195781708,0.8574388027191162,0.4615384638309479,0.7761194109916687,0.4300643503665924,0.6833333373069763,0.020226936787366867,0.5,0.8439976572990417,0.8574388027191162,0.7238368988037109,45,0.8480139374732971
kenn_bottom_up_adapter_bert_ms,2,1ng0xxzm,0.8029143810272217,0.015786876901984215,0.33,0.8595549464225769,0.8504672646522522,0.8524590134620667,0.4051851630210877,0.5083333253860474,0.02294030413031578,0.8188976645469666,0.4671533107757568,0.6363636255264282,0.8452288508415222,0.46051040291786194,0.7333333492279053,0.8606404066085815,0.021773848682641983,0.8606404066085815,0.8029143810272217,0.8235283493995667,0.4155844151973725,0.8595549464225769,0.015407992526888847,0.4399999976158142,0.7000000476837158,0.8666666746139526,0.5333333611488342,0.644444465637207,0.3333333432674408,0.3703703582286834,0.015046867541968822,0.05,0.8452288508415222,0.7750000953674316,0.8235283493995667,0.5809409022331238,0.5333333611488342,0.5833333134651184,0.35087719559669495,0.8524590134620667,0.8514619469642639,0.5205333232879639,0.8617285490036011,0.5499999523162842,0.7761194109916687,0.5288299322128296,0.699999988079071,0.02072027698159218,0.5333333611488342,0.8504672646522522,0.8617285490036011,0.7355932593345642,42,0.8514619469642639
kenn_hybrid_adapter_bert_ms,1,1n3n9gkx,0.8069960474967957,0.018746916204690933,0.33,0.8604018688201904,0.855131983757019,0.853630006313324,0.6787096858024597,0.60833340883255,0.023186974227428436,0.8188976645469666,0.6551724076271057,0.7407407760620117,0.8563930988311768,0.6552368998527527,0.699999988079071,0.8624171018600464,0.02268291264772415,0.8624171018600464,0.8069960474967957,0.8309610486030579,0.6785714030265808,0.8604018688201904,0.018369462341070175,0.6774193644523621,0.7500000596046448,0.8666666746139526,0.6333333849906921,0.7111111283302307,0.5666666626930237,0.6800000071525574,0.018006905913352966,0.12,0.8563930988311768,0.783333420753479,0.8309610486030579,0.711145281791687,0.6333333253860474,0.7317073345184326,0.6181818246841431,0.853630006313324,0.8543803691864014,0.6205817461013794,0.8644418716430664,0.688524603843689,0.7761194109916687,0.7111796140670776,0.75,0.022200295701622963,0.6333333253860474,0.855131983757019,0.8644418716430664,0.7663043737411499,43,0.8543803691864014
kenn_top_down_adapter_bert_ms,1,2sv2ws81,0.8042749762535095,0.016773555427789688,0.33,0.8597851991653442,0.8546841144561768,0.8528493642807007,0.6296296119689941,0.5666667222976685,0.023433644324541092,0.8188976645469666,0.596491277217865,0.7136929035186768,0.8543898463249207,0.596491277217865,0.6333333253860474,0.8622136116027832,0.02226843684911728,0.8622136116027832,0.8042749762535095,0.8285753130912781,0.6296296119689941,0.8597851991653442,0.016773555427789688,0.7037037014961243,0.7166666984558105,0.8666666746139526,0.5666667222976685,0.6666666865348816,0.5,0.5555555820465088,0.016773555427789688,0.43,0.8543898463249207,0.7916667461395264,0.8285753130912781,0.6725113987922668,0.5666666626930237,0.71074378490448,0.5263158082962036,0.8528493642807007,0.8537657856941223,0.5666667222976685,0.8646557331085205,0.6666666269302368,0.7761194109916687,0.6784595847129822,0.7166666388511658,0.02121361717581749,0.5666666626930237,0.8546841144561768,0.8646557331085205,0.7523020505905151,44,0.8537657856941223
kenn_bottom_up_adapter_bert_ms,1,yo0agy78,0.804955244064331,0.017266895622015,0.33,0.8599495887756348,0.8557165265083313,0.8530445098876953,0.7112794518470764,0.5750000476837158,0.023022528737783432,0.8188976645469666,0.6422017812728882,0.7372881770133972,0.8577225208282471,0.6409839391708374,0.6666666865348816,0.8622348308563232,0.022213974967598915,0.8622348308563232,0.804955244064331,0.8305015563964844,0.7142857313156128,0.8599495887756348,0.017142673954367638,0.7407407164573669,0.7250000238418579,0.8666666746139526,0.5833333730697632,0.6777777671813965,0.5,0.6818181872367859,0.017020225524902344,0.13,0.8577225208282471,0.7777778506278992,0.8305015563964844,0.7042585611343384,0.5833333134651184,0.75,0.5769230723381042,0.8530445098876953,0.8543784022331238,0.5791367292404175,0.8645323514938354,0.7017543911933899,0.7761194109916687,0.7328927516937256,0.7250000238418579,0.021460287272930145,0.5833333730697632,0.8557165265083313,0.8645323514938354,0.7504621744155884,42,0.8543784022331238
kenn_hybrid_adapter_bert_ms,0,19ssdypv,0.8083565831184387,0.019733596593141556,0.33,0.8607060313224792,0.8556902408599854,0.8540202975273132,0.7274535894393921,0.6500000357627869,0.023598091676831245,0.8188976645469666,0.6956521272659302,0.7603304982185364,0.8583827018737793,0.6957348585128784,0.699999988079071,0.8628482818603516,0.023137027397751808,0.8628482818603516,0.8083565831184387,0.8326188921928406,0.7272727489471436,0.8607060313224792,0.01948380470275879,0.7241379022598267,0.7666667699813843,0.8666666746139526,0.6666666865348816,0.7333333492279053,0.6333333253860474,0.7307692170143127,0.019240256398916245,0.13,0.8583827018737793,0.7972222566604614,0.8326188921928406,0.7384682297706604,0.6666666865348816,0.7540983557701111,0.6785714030265808,0.8540202975273132,0.8548544645309448,0.6582278609275818,0.8650010824203491,0.7118643522262573,0.7761194109916687,0.7436755299568176,0.7666666507720947,0.02269363589584827,0.6666666269302368,0.8556902408599854,0.8650010824203491,0.7816460132598877,43,0.8548544645309448
kenn_top_down_adapter_bert_ms,0,2l2glzad,0.8117579221725464,0.022200295701622963,0.33,0.8615282773971558,0.7699472904205322,0.8549960851669312,0.07144375145435333,0.6833333969116211,0.023680314421653748,0.8188976645469666,0.13024601340293884,0.23716382682323456,0.8316067457199097,0.13046009838581085,0.800000011920929,0.8311880230903625,0.02380300872027874,0.8311880230903625,0.8117579221725464,0.8215624690055847,0.07131537050008774,0.8615282773971558,0.021167723461985588,0.06997084617614746,0.8083333969116211,0.8666666746139526,0.75,0.7888889312744141,0.699999988079071,0.0729166641831398,0.020226936787366867,0.060000000000000005,0.8316067457199097,0.8000000715255737,0.8215624690055847,0.4413063824176788,0.75,0.13896848261356354,0.1320754587650299,0.8549960851669312,0.810245931148529,0.7151163220405579,0.8029120564460754,0.12868632376194,0.7761194109916687,0.3063356578350067,0.8083333373069763,0.023926984518766403,0.75,0.7699472904205322,0.8029120564460754,0.8041451573371887,44,0.810245931148529
kenn_bottom_up_adapter_bert_ms,0,9if3lawv,0.8090368509292603,0.020226936787366867,0.33,0.8608704805374146,0.8510596752166748,0.8542154431343079,0.4959183931350708,0.6583333611488342,0.023680314421653748,0.8188976645469666,0.5694444179534912,0.6863468289375305,0.8489322662353516,0.5747331976890564,0.7333333492279053,0.861176073551178,0.02330443635582924,0.861176073551178,0.8090368509292603,0.8285045623779297,0.488095223903656,0.8608704805374146,0.01985003799200058,0.44897958636283875,0.7750000953674316,0.8666666746139526,0.6833333969116211,0.7444444894790649,0.6333333253860474,0.5428571701049805,0.0194869264960289,0.060000000000000005,0.8489322662353516,0.8000000715255737,0.8285045623779297,0.657860517501831,0.6833333373069763,0.6158940196037292,0.5846154093742371,0.8542154431343079,0.8526346683502197,0.6706004738807678,0.8614819049835205,0.5569620132446289,0.7761194109916687,0.5893187522888184,0.7749999761581421,0.02294030599296093,0.6833333373069763,0.8510596752166748,0.8614819049835205,0.7873016595840454,42,0.8526346683502197
box_adapter_bert_ms,2,bsru6plk,0.6745226383209229,0.02466699481010437,0.26,0.8043431639671326,0.6014782190322876,0.7941061854362488,0.02554744109511375,0.8333333730697632,0.02688702382147312,0.8245614767074585,0.04791566729545593,0.08814175426959991,0.7210603952407837,0.04957506060600281,0.9666666388511658,0.6808544397354126,0.025320786982774734,0.6808544397354126,0.6745226383209229,0.6970155835151672,0.02466699481010437,0.8043431639671326,0.02466699481010437,0.03265765681862831,0.8083333969116211,0.7833333611488342,0.8333333730697632,0.8166667222976685,0.699999988079071,0.018437225371599197,0.02466699481010437,0.99,0.7210603952407837,0.9083333611488342,0.6970155835151672,0.4464112222194672,0.8333333134651184,0.0466122068464756,0.0359281450510025,0.7941061854362488,0.6844983696937561,0.833333432674408,0.5902369618415833,0.0631808266043663,0.8703703880310059,0.3071551024913788,0.8083333373069763,0.023926984518766403,0.8333333134651184,0.6014782190322876,0.5902369618415833,0.8554207682609558,59,0.6844983696937561
