name,test_incremental/macro_example/precision/mean,test_incremental_other-health/macro_types/recall/mean,test_incremental_other-health-malady/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental_other-health-malady/macro_types/precision/mean,test/macro_types/f1/mean,test/macro_example/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_other-health-malady/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_only/macro_types/recall/mean,test/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental_other-health-treatment/macro_types/recall/mean,epoch/mean,test_incremental/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_example/recall/mean,test_incremental_other-health/macro_types/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_types/precision/mean,test/micro/recall/mean,test_incremental_other-health-treatment/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test/micro/precision/mean,test_incremental/micro/recall/mean,test/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/f1/mean,test/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_other-health-treatment/macro_types/f1/mean,threshold_incremental/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_pretraining/micro/f1/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/recall/mean,test/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_other-health/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental/macro_example/precision/std,test_incremental_other-health/macro_types/recall/std,test_incremental_other-health-malady/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental_other-health-malady/macro_types/precision/std,test/macro_types/f1/std,test/macro_example/precision/std,test_incremental/macro_types/recall/std,test_incremental_other-health-malady/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_only/micro/f1/std,test_incremental_only/macro_types/recall/std,test/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental_other-health-treatment/macro_types/recall/std,epoch/std,test_incremental/micro/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental/macro_example/f1/std,test_incremental/macro_example/recall/std,test_incremental_other-health/macro_types/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_types/precision/std,test/micro/recall/std,test_incremental_other-health-treatment/macro_types/precision/std,test_pretraining/macro_example/precision/std,test/micro/precision/std,test_incremental/micro/recall/std,test/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental/micro/precision/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/f1/std,test/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_incremental_other-health-treatment/macro_types/f1/std,threshold_incremental/std,threshold_pretraining/std,test/macro_example/recall/std,test_pretraining/micro/f1/std,test_pretraining/micro/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/recall/std,test/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_other-health/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.02143287844955921,0.7833333611488342,0.4888888920346896,0.43888889501492184,0.5827111822242538,0.6955112020174662,0.7224917113780975,0.553703765074412,0.23329192337890467,0.7443471749623617,0.27222222834825516,0.17315617638329664,0.4388888937731584,0.6584228674570719,0.4388888937731584,0.3888888905445735,41.666666666666664,0.42058014621337253,0.8007307847340902,0.008057885182400545,0.6111111442248026,0.7240741650263468,0.01877802237868309,0.0180891298999389,0.8703703880310059,0.6584228674570719,0.5922349911804,0.7376793225606283,0.789487361907959,0.2827111703033249,0.7224917113780975,0.7200519641240438,0.6111110945542654,0.7393977840741476,0.4744173387686412,0.5810798952976862,0.6343842546145121,0.789487361907959,0.00970235156516234,0.7376793225606283,0.6955112020174662,0.10231549479067326,0.06666666666666667,0.26,0.8007307847340902,0.7393977840741476,0.7200519641240438,0.172653803601861,0.5785976052284241,0.012991284330685934,0.7443471749623617,0.4327111663296819,0.8245614767074585,0.32777779052654904,0.002425702266824847,0.0,0.4622809774940768,0.49786581147602205,0.5095781987421857,0.00658815120018752,0.23393290276048315,0.3319105859899793,0.23414274243165006,0.14279270327205426,0.22505143207158707,0.194994482643012,0.4978658129309563,0.020321015764125497,0.4978658129309563,0.5357583745806007,2.309401076758502,0.3229602400568514,0.0045722561781961065,0.006661611378505543,0.24893291849986252,0.08194838030691004,0.002904154729460768,0.007368512669033038,0.0,0.020321015764125497,0.5140481880852618,0.015863694435561997,0.0058298189145424345,0.47691018008233654,0.23393290276048315,0.2217957028389528,0.2489329068603889,0.13264694930033855,0.08688091194745828,0.4810324147801966,0.09811201891297572,0.0058298189145424345,0.009260258785984774,0.015863694435561997,0.00658815120018752,0.15265309108343048,0.08326663997864532,0.0,0.0045722561781961065,0.13264694930033855,0.2217957028389528,0.1974824630168703,0.25910674279489837,0.014737024813250527,0.14279270327205426,0.38866003573389557,0.0,0.31284241242486
no_init_box_kenn_hybrid_adapter_bert_ms,0.02285808138549328,0.7833333611488342,0.21111111591259638,0.14444444825251898,0.8555555542310079,0.6935071150461832,0.8575664758682251,0.3574074407418569,0.3161616226037343,0.8267132639884949,0.14444444825251898,0.23293651640415192,0.14444444701075554,0.6464047233263651,0.14444444701075554,0.07777778059244156,42.333333333333336,0.6006576816240946,0.7980037132898966,0.004275612533092499,0.4638889233271281,0.7722223202387491,0.017114868387579918,0.013731293690701326,0.8703703880310059,0.6464047233263651,0.850000003973643,0.748022218545278,0.7860395510991415,0.5166666706403097,0.8575664758682251,0.848108688990275,0.46388888359069824,0.8158949017524719,0.4826575517654419,0.8581352631251017,0.5781973799069723,0.7860395510991415,0.004275612533092499,0.748022218545278,0.6935071150461832,0.13501401245594025,0.16333333333333333,0.26,0.7980037132898966,0.8158949017524719,0.848108688990275,0.23206217090288797,0.7475308974583944,0.004275612533092499,0.8267132639884949,0.6861110925674438,0.8245614767074585,0.14444444825251898,0.0003767937810775451,0.0,0.13877773635989799,0.1004618937365196,0.13471505723932442,0.004886435409513448,0.00037078671233544677,0.06697460914626366,0.15709262538407123,0.00034316161280649487,0.1004618937365196,0.13993201898270813,0.10046189548759635,0.004100459652849966,0.10046189548759635,0.06938886967125867,3.0550504633038944,0.037182698561410064,0.0009584556566060035,0.0029737118484783522,0.050230959537815104,0.01272936479075305,0.0010466209506674695,0.0014868558147968852,0.0,0.004100459652849966,0.13228756330038588,0.006598422881686291,0.001176369211195464,0.4481443257600501,0.00037078671233544677,0.00025659311749956786,0.05023094388113058,0.000514903503056807,0.07916174861457623,0.019706847586501486,0.035358350509292424,0.001176369211195464,0.0029737118484783522,0.006598422881686291,0.004886435409513448,0.11979237190992442,0.1985782801147531,0.0,0.0009584556566060035,0.000514903503056807,0.00025659311749956786,0.14310856444926073,0.10777394817025877,0.0029737118484783522,0.00034316161280649487,0.16166092225538817,0.0,0.1004618937365196
no_init_box_kenn_top_down_adapter_bert_ms,0.022282518446445465,0.7833333611488342,0.3888889004786809,0.27222224076588947,0.75,0.6984020868937174,0.857032040754954,0.44259263078371686,0.48148149251937866,0.8270812233289083,0.27222224076588947,0.37833497921625775,0.27222223579883575,0.6516201297442118,0.2722222258647283,0.15555555994311968,43.0,0.6434960762659708,0.7991548577944437,0.008057885027180115,0.5277778307596842,0.7527778744697571,0.018270178387562435,0.015622430170575777,0.8703703880310059,0.6516201297442118,0.746989111105601,0.7524614135424296,0.7875357866287231,0.8397435943285624,0.857032040754954,0.8477596243222555,0.527777781089147,0.816537618637085,0.5681434174378713,0.8351562221844991,0.6172275940577189,0.7875357866287231,0.008057885027180115,0.7524614135424296,0.6984020868937174,0.2353676830728849,0.02666666666666667,0.26,0.7991548577944437,0.816537618637085,0.8477596243222555,0.3834310273329417,0.8200380007425944,0.008057885027180115,0.8270812233289083,0.7948718070983887,0.8245614767074585,0.27222224076588947,0.0005696591124774132,0.0,0.2168802458333998,0.17347217895033748,0.08333331346511841,0.003653790694146268,0.0005760625405876561,0.11564813759362358,0.19510470164131283,0.0005639777199557121,0.17347217895033748,0.17950862410336346,0.173472181336433,0.00708048526693308,0.17347216463376489,0.15752719221015346,3.605551275463989,0.059588121452509725,0.0015450162573743607,0.0051348443734112485,0.08673613421446436,0.01924500782591868,0.0015983505050182441,0.002567422205347026,0.0,0.00708048526693308,0.05850945283891481,0.001508740034905801,0.002031263952091936,0.13911880686164227,0.0005760625405876561,0.00033622219509829007,0.08673607933426325,0.0009798057784890864,0.08956723341700841,0.021004441036867928,0.05399769363827483,0.002031263952091936,0.0051348443734112485,0.001508740034905801,0.003653790694146268,0.2066924720457473,0.02886751345948129,0.0,0.0015450162573743607,0.0009798057784890864,0.00033622219509829007,0.1782760173653794,0.02464224826320731,0.0051348443734112485,0.0005639777199557121,0.03696334655294612,0.0,0.17347217895033748
no_init_kenn_bottom_up_adapter_bert_ms,0.01967878018816312,0.8666666746139526,0.5888888935248057,0.7111111680666605,0.3848082721233368,0.8293697436650594,0.8621396621068319,0.7629629969596863,0.4582824607690175,0.8616328636805216,0.40000003576278687,0.5783955256144205,0.7111111084620158,0.8101706306139628,0.7111111084620158,0.8333333134651184,14.0,0.6917238434155782,0.8611308733622233,0.01184015783170859,0.7888889312744141,0.6648148695627848,0.021234432856241863,0.02335142157971859,0.7761194109916687,0.8101706306139628,0.5026330351829529,0.8495378494262695,0.8545407056808472,0.6367025772730509,0.8621396621068319,0.8509537974993387,0.7888888716697693,0.8527386585871378,0.6664371291796366,0.6223796606063843,0.7173699935277303,0.8545407056808472,0.015136283511916796,0.8495378494262695,0.8293697436650594,0.7070418198903402,0.25666666666666665,0.33,0.8611308733622233,0.8527386585871378,0.8509537974993387,0.5831206838289896,0.5992101033528646,0.021049169823527336,0.8616328636805216,0.5107554197311401,0.8188976645469666,0.5113541483879089,0.0014921502087480866,0.0,0.22194425365711531,0.17664568256617233,0.023339954479004082,0.0028306220929854675,0.0016513628483547636,0.11776383680416012,0.08509712264320325,0.00010836833117417801,0.06291528617110714,0.03252905962698116,0.17664568256617233,0.007210042110499949,0.17664568256617233,0.13333332538604736,1.0,0.00963141173951642,0.0016801980500680273,0.0018623178999059656,0.08832285721703637,0.05040985250726447,0.00019948662411971326,0.002614391884710515,0.0,0.007210042110499949,0.04570147302796518,0.0021272608329384298,0.0020684479199962057,0.12660068256505316,0.0016513628483547636,0.002910167319488375,0.08832285721703637,0.0004981188419600949,0.02533147991857895,0.0488871339306919,0.006739347775948512,0.0020684479199962057,0.0028791240791673878,0.0021272608329384298,0.0028306220929854675,0.05310966446548334,0.21594752448994023,0.0,0.0016801980500680273,0.0004981188419600949,0.002910167319488375,0.03135107760997791,0.03474539649989451,0.00522878262709724,0.00010836833117417801,0.05211814627791734,0.0,0.09726635658580214
no_init_kenn_hybrid_adapter_bert_ms,0.01989804332454999,0.8666666746139526,0.6111111044883728,0.6777778267860413,0.41958996653556824,0.829450249671936,0.8625480532646179,0.7407407561937968,0.49080315232276917,0.861672063668569,0.42777779698371887,0.5854273239771525,0.6777777671813965,0.8088101148605347,0.6777777671813965,0.7444444298744202,14.0,0.6976513465245565,0.8608019749323527,0.012662391178309917,0.7722222606341044,0.6722222963968912,0.021118164683381718,0.022858082006374996,0.7761194109916687,0.8088101148605347,0.5325185358524323,0.8512068390846252,0.8541504144668579,0.6837002237637838,0.8625480532646179,0.8518346945444742,0.7722222208976746,0.8529865741729736,0.6736894051233927,0.642910103003184,0.713442067305247,0.8541504144668579,0.015416872687637806,0.8512068390846252,0.829450249671936,0.6928147077560425,0.4000000000000001,0.33,0.8608019749323527,0.8529865741729736,0.8518346945444742,0.5955814719200134,0.626469890276591,0.020062489435076714,0.861672063668569,0.5516450802485148,0.8188976645469666,0.5208333631356558,0.002422450526200383,0.0,0.16777408856145667,0.13877772502594468,0.04803045010922945,0.0017534893421208056,0.001956125805340823,0.09251848335062979,0.06887890476686473,0.0003481412210843746,0.054220052488287374,0.025698190607429294,0.13877772502594468,0.005664394894615852,0.13877772502594468,0.13877772502594468,1.0,0.017787171821550245,0.0013367560796903831,0.0016049356176034719,0.06938885774078345,0.0818384357688105,0.0006837332659580366,0.0020539379730609626,0.0,0.005664394894615852,0.07674216623494395,0.0038172302958501495,0.0016250025717510171,0.15235015502130198,0.001956125805340823,0.003157916101572901,0.06938889114611801,0.000841873602536636,0.021344373547544544,0.06373876058053034,0.02309879096019043,0.0016250025717510171,0.0017949170190930792,0.0038172302958501495,0.0017534893421208056,0.03795779146032008,0.3195309061734091,0.0,0.0013367560796903831,0.000841873602536636,0.003157916101572901,0.03352101417284399,0.062347919213860174,0.004107875200467077,0.0003481412210843746,0.09352187234400502,0.0,0.06063823136515456
no_init_kenn_top_down_adapter_bert_ms,0.02058323659002781,0.8666666746139526,0.6333333452542623,0.638888935248057,0.44163981080055237,0.8291890223821005,0.8631263375282288,0.714814821879069,0.5189873377482096,0.8617837031682333,0.43611114223798114,0.5884077747662863,0.6388889153798422,0.8072227835655212,0.6388888955116272,0.644444465637207,14.666666666666666,0.7027379870414734,0.8604456981023153,0.012909060964981714,0.7527778546015421,0.6953704357147217,0.021382013335824013,0.022282519067327183,0.7761194109916687,0.8072227835655212,0.5485032002131144,0.8523905078570048,0.8536950349807739,0.71965092420578,0.8631263375282288,0.8528636495272318,0.7527777949968973,0.853278636932373,0.6776931484540304,0.6599358518918356,0.7223558028539022,0.8536950349807739,0.015330305943886438,0.8523905078570048,0.8291890223821005,0.6773786147435507,0.58,0.33,0.8604456981023153,0.853278636932373,0.8528636495272318,0.6062179207801819,0.6458033919334412,0.018911362315217655,0.8617837031682333,0.5806453625361124,0.8188976645469666,0.5179088612397512,0.0005596825306791243,0.0,0.08819171637640413,0.08221473867244693,0.011346182038006889,0.0017998414243414747,0.00044954278696913107,0.0548098163836458,0.03288703368036954,0.00028517187676486294,0.05422005325170181,0.036243676447109185,0.0822147044369231,0.0033556955229140143,0.08221472457546868,0.07698003130358241,0.5773502691896258,0.015830549916137714,0.0007695045568898314,0.0016049351404724371,0.04110735221846157,0.018907913238920705,0.0005097692233869382,0.0012167929955035598,0.0,0.0033556955229140143,0.026047943739845317,0.0013756581235118395,0.0009626988914722646,0.05861092333781337,0.00044954278696913107,0.0007459379635018273,0.04110735221846157,0.0003336363322710066,0.025510391078819448,0.017366715385188636,0.0172217234525819,0.0009626988914722646,0.0018654496504368664,0.0013756581235118395,0.0017998414243414747,0.044895320668577966,0.1931320791582797,0.0,0.0007695045568898314,0.0003336363322710066,0.0007459379635018273,0.03789831470448949,0.022469363784744328,0.0024335883195257015,0.00028517187676486294,0.03370406086085271,0.0,0.06302108776887169
smart_init_box_adapter_bert_ms,0.01712985833485921,0.7833333611488342,0.6888888875643412,0.7555555899937948,0.3696381946404775,0.7023099263509115,0.8511585593223572,0.7648148735364279,0.47194289167722064,0.8266454140345255,0.40000001589457196,0.5135686695575714,0.7555555502573649,0.6713480353355408,0.7555555502573649,0.8222222129503886,32.666666666666664,0.6352694233258566,0.8035099506378174,0.011840157521267733,0.769444485505422,0.578703780968984,0.01952315183977286,0.022775859882434208,0.8703703880310059,0.6713480353355408,0.39856457710266113,0.7362980445226034,0.7931954264640808,0.4280989368756612,0.8511585593223572,0.8369469046592712,0.7694444457689921,0.8144738872845968,0.6403295795122782,0.5487342576185862,0.6595571835835775,0.7931954264640808,0.015457983439167341,0.7362980445226034,0.7023099263509115,0.5554112593332926,0.23333333333333336,0.26,0.8035099506378174,0.8144738872845968,0.8369469046592712,0.5138551990191141,0.5560358564058939,0.0223647424330314,0.8266454140345255,0.3988685707251231,0.8245614767074585,0.5222222407658895,0.0008236023278529105,0.0,0.12619794522222935,0.12619791111090264,0.06981286705436615,0.0016745597691949503,0.0025623235482845905,0.08413197047868086,0.039550335283791344,0.0006011008604390717,0.04999998211860952,0.035215976508854205,0.12619795309408133,0.00515091785084404,0.12619794522222935,0.13471505232321618,38.42308333974947,0.03788951200009285,0.0012072566432597045,0.0014800191856920958,0.06309897654704064,0.027824048032124012,0.0008218925928729327,0.0018677536989120257,0.0,0.00515091785084404,0.06599792854651573,0.0026845033272676175,0.0014777420139045676,0.0788026443006206,0.0025623235482845905,0.005693326887869386,0.06309895555545135,0.001941100252758424,0.009048892997059611,0.0797192982870356,0.027766213901569952,0.0014777420139045676,0.002053937227406188,0.0026845033272676175,0.0016745597691949503,0.05896802165331303,0.12858201014657272,0.0,0.0012072566432597045,0.001941100252758424,0.005693326887869386,0.03492902793015633,0.04384696936338224,0.0037355084638029806,0.0006011008604390717,0.06577043705725584,0.0,0.06938886728516516
smart_init_classifier_adapter_bert_ms,0.01956914986173312,0.8666666746139526,0.5444444417953491,0.6833333969116211,0.36756526430447894,0.8288145860036215,0.862254778544108,0.74444446961085,0.43349240223566693,0.8615603844324747,0.38333337505658466,0.570955733458201,0.6833333174387614,0.8090368509292603,0.6833333571751913,0.8222222129503886,14.0,0.6893305977185568,0.8608705202738444,0.011346817947924137,0.7750000556310018,0.6611111958821615,0.020990833019216854,0.022940305372079212,0.7761194109916687,0.8090368509292603,0.5025690098603567,0.8496120572090149,0.8542154630025228,0.6575821042060852,0.862254778544108,0.8512877821922302,0.774999996026357,0.852745791276296,0.6609498461087545,0.6256866057713827,0.7091403802235922,0.8542154630025228,0.014523396889368692,0.8496120572090149,0.8288145860036215,0.7188041607538859,0.3166666666666667,0.33,0.8608705202738444,0.852745791276296,0.8512877821922302,0.576662023862203,0.6004222631454468,0.02022693616648515,0.8615603844324747,0.5125736892223358,0.8188976645469666,0.4906488060951233,0.0017787623333171182,0.0,0.20367001874724638,0.1589898933538116,0.035119015322642895,0.0026522586681641206,0.0014880237627604143,0.10599325390485471,0.09026480808779264,0.00011868786521219419,0.058333322405815756,0.03727420948243259,0.15898989647794406,0.006489366315331204,0.15898986523662045,0.11706282664221047,1.0,0.010451954700110634,0.0015277614395660735,0.0017266897484660155,0.07949494823897206,0.060092530074458354,0.00026915101021159977,0.0023530809972067985,0.0,0.006489366315331204,0.03381331018440083,0.0016662548317828416,0.0018617204033170814,0.11535438920308777,0.0014880237627604143,0.0022962785586948427,0.07949494823897206,0.00030138918936035953,0.026468177861889312,0.03888352230972357,0.009092802206420851,0.0018617204033170814,0.0026275359094780496,0.0016662548317828416,0.0026522586681641206,0.041695114762052204,0.16165807537309518,0.0,0.0015277614395660735,0.00030138918936035953,0.0022962785586948427,0.0344082849776305,0.027216095991114443,0.004706162677816885,0.00011868786521219419,0.04082419929366874,0.0,0.0887669222072947
