name,threshold_pretraining/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/micro/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_other-health/macro_types/recall/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example/f1/mean,test_incremental/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test/macro_example/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_other-health-treatment/macro_types/recall/mean,test/micro/recall/mean,threshold_incremental/mean,test/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_other-health-malady/macro_types/precision/mean,test/micro/f1/mean,test_pretraining/micro/recall/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_other-health-malady/macro_types/f1/mean,test/macro_example/recall/mean,test/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_other-health-malady/macro_types/recall/mean,test_incremental_other-health/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_other-health-treatment/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/micro/f1/mean,test/micro/precision/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_other-health/macro_types/precision/mean,epoch/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_other-health-treatment/macro_types/precision/mean,test/macro_types/recall/mean,threshold_pretraining/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/micro/recall/std,test_pretraining/macro_types/precision/std,test_incremental_other-health/macro_types/recall/std,test_incremental_only/micro/recall/std,test_incremental/macro_example_exclusive/precision/std,test_pretraining/micro/precision/std,test_incremental/macro_example/f1/std,test_incremental/macro_types/precision/std,test_pretraining/macro_example/precision/std,test/macro_example/f1/std,test_pretraining/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_other-health-treatment/macro_types/recall/std,test/micro/recall/std,threshold_incremental/std,test/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_other-health-malady/macro_types/precision/std,test/micro/f1/std,test_pretraining/micro/recall/std,test_pretraining/micro/f1/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/recall/std,test_incremental_other-health-malady/macro_types/f1/std,test/macro_example/recall/std,test/macro_types/precision/std,test_incremental/macro_example/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_other-health-malady/macro_types/recall/std,test_incremental_other-health/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_other-health-treatment/macro_types/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/micro/f1/std,test/micro/precision/std,test_incremental/micro/precision/std,test_incremental/macro_example/precision/std,test_incremental_other-health/macro_types/precision/std,epoch/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_other-health-treatment/macro_types/precision/std,test/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.26,0.5362367729345957,0.012826837599277496,0.6083333293596903,0.7499993840853373,0.7833333611488342,0.43333332737286884,0.8250000675519308,0.8467106223106384,0.02071395826836427,0.7798248926798502,0.8568675716718038,0.8278189102808634,0.8278189102808634,0.6997866034507751,0.7010926206906637,0.6581961115201315,0.012826837599277496,0.34444444874922436,0.7894223133722941,0.013333333333333334,0.8568675716718038,0.4333333373069763,0.6711798906326294,0.8170621593793234,0.7894223133722941,0.8170621593793234,0.6415433486302694,0.5500000913937887,0.5419458945592245,0.8006760279337565,0.7499993840853373,0.018006906534234684,0.7027777632077535,0.6083333690961202,0.5222222407658895,0.8245614767074585,0.8006760279337565,0.012826837599277496,0.7345521052678426,0.4333333571751912,0.4689660668373108,0.4333333571751912,0.6849541664123535,0.8467106223106384,0.7913155953089396,0.024420325333873432,0.8703703880310059,29.0,0.5232915679613749,0.7010926206906637,0.4333333571751912,0.7979243000348409,0.6581961115201315,0.0,0.07604801583509806,0.0027468001121841493,0.04639802422423356,0.0051770931555568354,0.0,0.09279605915377412,0.06666663289070353,0.0020844188870683725,0.001452323379753489,0.08455894310698259,0.0007975455712757904,0.0005693892492681068,0.0005693892492681068,0.04906431589468049,0.0025160170533638365,0.0037875976376098865,0.0027468001121841493,0.16777409645628477,0.0010866157513288377,0.005773502691896257,0.0007975455712757904,0.09279606183010268,0.1816637879545915,0.0009818939354430888,0.0010866157513288377,0.0009818939354430888,0.044686159757435485,0.06186406084647012,0.09180228398480253,0.001024435448174154,0.0051770931555568354,0.0013733999724568854,0.17801632087816324,0.04639799746096883,0.21688023896271338,0.0,0.001024435448174154,0.0027468001121841493,0.1268384375965493,0.09279604844846714,0.18117206449519374,0.09279604844846714,0.040549158301405416,0.0020844188870683725,0.09306297876227261,0.0019733598455787455,0.0,5.0,0.08376133784059858,0.0025160170533638365,0.09279604844846714,0.07271622381861065,0.0037875976376098865
no_init_box_kenn_hybrid_adapter_bert_ms,0.26,0.5493190487225851,0.013320177172621092,0.6166666547457377,0.749602754910787,0.7833333611488342,0.4499999980131785,0.8111111720403036,0.8465655247370402,0.020724546785155933,0.7733467022577921,0.856648325920105,0.8278044859568278,0.8278044859568278,0.700144350528717,0.7013082305590311,0.658876359462738,0.013320177172621092,0.3333333383003871,0.7896174788475037,0.01,0.856648325920105,0.4499999980131785,0.6550133228302002,0.8170992930730184,0.7896174788475037,0.8170992930730184,0.6478968660036722,0.5611111521720886,0.5731284817059835,0.800840417544047,0.749602754910787,0.01825357663134734,0.6904761989911398,0.6166667143503824,0.5666666726271311,0.8245614767074585,0.800840417544047,0.013320177172621092,0.7248348395029703,0.45000001788139343,0.45921430985132855,0.45000001788139343,0.6882897615432739,0.8465655247370402,0.784875233968099,0.024009208505352337,0.8703703880310059,26.666666666666668,0.535161962111791,0.7013082305590311,0.45000001788139343,0.7946563363075256,0.658876359462738,0.0,0.04653252563865102,0.0017787625916196575,0.030046265037229163,0.004876495802561884,0.0,0.06009252594161687,0.06735746716830864,0.0020923135076162834,0.0011631445086558794,0.07964917219885431,0.0007479343137818166,0.00036168476788570183,0.00036168476788570183,0.0392948889350306,0.0018980829931063126,0.002452740472964675,0.0017787625916196575,0.15275252218968471,0.0007036653520855865,0.0,0.0007479343137818166,0.06009252594161687,0.16901109913140594,0.0008977395523022597,0.0007036653520855865,0.0008977395523022597,0.029605241016503595,0.040061686716313785,0.036100534446864896,0.0007263156641433223,0.004876495802561884,0.0008893806500537821,0.16877913941889258,0.030046265037229163,0.1855921316891867,0.0,0.0007263156641433223,0.0017787625916196575,0.11947381239701267,0.06009251354310296,0.1689490818355725,0.06009251354310296,0.0339791761774927,0.0020923135076162834,0.0909026637130265,0.0019938098126103263,0.0,5.507570547286102,0.05960162518586566,0.0018980829931063126,0.06009251354310296,0.0705162524009673,0.002452740472964675
no_init_box_kenn_top_down_adapter_bert_ms,0.26,0.5769038399060568,0.015622430170575777,0.6555555661519369,0.7461418310801188,0.7833333611488342,0.5277777910232544,0.8111111521720886,0.8451847831408182,0.021426425625880558,0.716818630695343,0.8559192816416422,0.8278443217277527,0.8278443217277527,0.7238561312357584,0.7015831073125204,0.6620509823163351,0.015622430170575777,0.4444444427887599,0.7905282378196716,0.016666666666666666,0.8559192816416422,0.5277777711550394,0.5478632549444834,0.8169423739115397,0.7905282378196716,0.8169423739115397,0.6601632237434387,0.6129630208015442,0.5538800954818726,0.8015530308087667,0.7461418310801188,0.01940470313032468,0.6040778656800588,0.6555556257565817,0.6111111243565878,0.8245614767074585,0.8015530308087667,0.015622430170575777,0.6400427420934042,0.5277778108914694,0.5352913836638132,0.5277778108914694,0.6899706721305847,0.8451847831408182,0.7315745949745178,0.024009208505352337,0.8703703880310059,31.666666666666668,0.558769424756368,0.7015831073125204,0.5277778108914694,0.7322222391764323,0.6620509823163351,0.0,0.06072533220618088,0.000753589594467235,0.012729397307757606,0.004610034947773581,0.0,0.025458762098508163,0.07087413284454804,0.002589948474892914,0.0007006192524599545,0.07529747924945962,0.0011306730239951984,0.0005648880864825517,0.0005648880864825517,0.02366919961314355,0.002602976548201945,0.001039119742460083,0.000753589594467235,0.21169509468804104,0.00029811585298122293,0.011547005383792514,0.0011306730239951984,0.025458755595115727,0.13568763529650554,0.0013694879356296293,0.00029811585298122293,0.0013694879356296293,0.04141369147100468,0.016972488555474438,0.033547190227150366,0.00011522498746059754,0.004610034947773581,0.00037679479723361757,0.15890321217223127,0.012729397307757606,0.1644294290123894,0.0,0.00011522498746059754,0.000753589594467235,0.11294617816711225,0.025458788112107823,0.19951534413417613,0.025458788112107823,0.05121124202969954,0.002589948474892914,0.09684617367826345,0.0020979037316019374,0.0,6.806859285554046,0.0861412362250515,0.002602976548201945,0.025458788112107823,0.10221618893401846,0.001039119742460083
no_init_kenn_bottom_up_adapter_bert_ms,0.33,0.5336904227733612,0.013731294001142183,0.875000019868215,0.8450470169385275,0.8666666746139526,0.8833333253860474,0.6453704039255778,0.8436599572499593,0.021939139813184738,0.5258598824342092,0.8591631849606832,0.8609686096509298,0.8609686096509298,0.7411773403485616,0.8308650851249695,0.8172001043955485,0.026147014771898586,0.9111110965410868,0.8565573692321777,0.10000000000000002,0.8591631849606832,0.8833333253860474,0.3655070761839549,0.8500428001085917,0.8565573692321777,0.8500428001085917,0.6502916614214579,0.8777778148651123,0.4992741147677104,0.8627890149752299,0.8450470169385275,0.025900344053904217,0.3983979920546214,0.875000019868215,0.855555534362793,0.8188976645469666,0.8627890149752299,0.01798870445539554,0.40073005358378094,0.6077184478441874,0.5675160884857178,0.8833333651224772,0.6416393121083578,0.8436599572499593,0.5177996257940928,0.019103217869997025,0.7761194109916687,9.333333333333334,0.532139370838801,0.8308650851249695,0.46388890345891315,0.4359530508518219,0.8172001043955485,0.0,0.06590413321629489,0.00144535433911523,0.07949492637004574,0.0047252850052869055,0.0,0.15898987148488636,0.018073356173299384,0.007444078874042142,0.0006149998763184897,0.07718020062757384,0.002862555672154568,0.000680605116051182,0.000680605116051182,0.020776690191010652,0.0011673054758031336,0.006489375687502656,0.004706163361220812,0.12619796621381477,0.001861726651703926,0.13892443989449804,0.002862555672154568,0.15898987148488636,0.06970898359933508,0.0028835347309432635,0.001861726651703926,0.0028835347309432635,0.02609387488743602,0.10599326327725254,0.03076396456212953,0.001521307666047384,0.0047252850052869055,0.0023530816806104056,0.11201216717731333,0.07949492637004574,0.19245007825895602,0.0,0.001521307666047384,0.0023723847002346996,0.115770284306994,0.08014702965682524,0.10588496624900846,0.15898985274009145,0.05767849529309298,0.007444078874042142,0.10791982577916386,0.0005349774179436863,0.0,0.5773502691896255,0.06359988787863287,0.0011673054758031336,0.04882886465007118,0.16257048766665114,0.006489375687502656
no_init_kenn_hybrid_adapter_bert_ms,0.33,0.6697925130526224,0.015786876901984215,0.7944444417953491,0.8545330961545309,0.8666666746139526,0.7222222288449606,0.7157407999038696,0.8535632292429606,0.022240909437338512,0.6807992458343506,0.8634853959083557,0.8623539010683695,0.8623539010683695,0.7513721386591593,0.8319926261901855,0.8106241424878439,0.021378062044580776,0.7222222288449606,0.8546708226203918,0.5,0.8634853959083557,0.7222222288449606,0.5180791715780894,0.8541153868039449,0.8546708226203918,0.8541153868039449,0.7207635839780172,0.7703704039255778,0.6005773742993673,0.8612267772356669,0.8545330961545309,0.023515868932008743,0.6112983822822571,0.7944445013999939,0.7222222089767456,0.8188976645469666,0.8612267772356669,0.018103954071799915,0.6331390937169393,0.6116120020548502,0.7269311348597208,0.7222222685813904,0.7371416886647543,0.8535632292429606,0.6900092760721842,0.021186208352446556,0.7761194109916687,10.333333333333334,0.657599151134491,0.8319926261901855,0.5333333909511566,0.7481990059216818,0.8106241424878439,0.0,0.0378529903575711,0.0017787615584099275,0.05023093152058951,0.002428647433227279,0.0,0.10046189105840263,0.04270313972820588,0.0015490133997262349,0.0005145206307171333,0.03966858758830078,0.001003321125872013,0.00032356573061587736,0.00032356573061587736,0.017382225158560367,0.0017316015748342739,0.004100459652849966,0.002973711629593767,0.13471505723932442,0.0011763725070904868,0.15000000000000002,0.001003321125872013,0.10046189105840263,0.0694941848311075,0.0005227577392613953,0.0011763725070904868,0.0005227577392613953,0.024768090737678123,0.06697459184150745,0.05723620979983719,0.0009696965814641617,0.002428647433227279,0.0014868558662992685,0.05823831145824963,0.05023093152058951,0.07698003130358241,0.0,0.0009696965814641617,0.0018309665872277372,0.05950285082502005,0.061856185562891956,0.043583797177895095,0.10046188776226116,0.01965735300909786,0.0015490133997262349,0.038337949762779544,0.0012640302434617852,0.0,0.5773502691896255,0.04087315061720503,0.0017316015748342739,0.060092501144596355,0.05546825514098536,0.004100459652849966
no_init_kenn_top_down_adapter_bert_ms,0.33,0.6667943795522054,0.016197993730505306,0.7861111362775167,0.854912261168162,0.8666666746139526,0.7055555383364359,0.7472222646077474,0.8535359104474386,0.022661834334333737,0.6869921684265137,0.8636635541915894,0.8623781601587931,0.8623781601587931,0.7655923366546631,0.8318123618761698,0.8099438746770223,0.020884721850355465,0.6555555661519369,0.8544756571451823,0.5499999999999999,0.8636635541915894,0.7055555780728658,0.5169103542963663,0.8540036479632059,0.8544756571451823,0.8540036479632059,0.7189519802729288,0.7592592835426331,0.6057623823483785,0.8610979914665222,0.854912261168162,0.023269198834896088,0.6081152955691019,0.7861111760139465,0.7555555502573649,0.8188976645469666,0.8610979914665222,0.01822764053940773,0.6424285570780436,0.6157905062039694,0.7029407024383545,0.7055555979410807,0.7321356336275736,0.8535359104474386,0.688730518023173,0.02211807295680046,0.7761194109916687,10.333333333333334,0.6465465426445007,0.8318123618761698,0.5472222566604614,0.7679467598597208,0.8099438746770223,0.0,0.04987952686694795,0.0022919515702625134,0.06254627907397166,0.0021497161595025924,0.0,0.12509255814794332,0.012108077538466657,0.0018101547514880127,0.0010297603472847253,0.03511193011597851,0.000894117218978515,0.00036375347052154113,0.00036375347052154113,0.03478878471427118,0.0023924177936742366,0.005105786448085046,0.003702789359927652,0.11706279835509788,0.0014647657961454445,0.11135528725660043,0.000894117218978515,0.12509252770589005,0.07604274219818347,0.0005710973878522095,0.0014647657961454445,0.0005710973878522095,0.03306344445806757,0.08339504714790169,0.04603694155164608,0.0011628421015921506,0.0021497161595025924,0.0018513946592831497,0.06709240892194179,0.06254628039754746,0.13471505232321615,0.0,0.0011628421015921506,0.0027787899158309088,0.0526678938387154,0.09387677865376935,0.06673772832414113,0.12509255814794332,0.022423166862348052,0.0018101547514880127,0.044038684673447875,0.00035840234482299857,0.0,0.5773502691896255,0.04865505028604943,0.0023924177936742366,0.07742977160944148,0.029500022152178222,0.005105786448085046
smart_init_box_adapter_bert_ms,0.26,0.4045758942763011,0.01282683697839578,0.8166666825612386,0.7317335406939188,0.7833333611488342,0.850000003973643,0.6027778784434,0.8221227725346884,0.020493648946285248,0.4814826250076294,0.8426675995190939,0.8230887254079183,0.8230887254079183,0.6923438310623169,0.7022994955380758,0.6752028862635294,0.02516033500432968,0.9222221970558167,0.7943013310432434,0.17666666666666667,0.8426675995190939,0.8499999642372131,0.2444691409667333,0.8079089124997457,0.7943013310432434,0.8079089124997457,0.5993559956550598,0.8277778228123983,0.3535473942756653,0.8044418096542358,0.7317335406939188,0.02417365585764249,0.2857948491970698,0.8166667421658834,0.7777777711550394,0.8245614767074585,0.8044418096542358,0.01698759850114584,0.28703875343004864,0.5738977392514547,0.45551451047261554,0.8500000238418579,0.5269933839639028,0.8221227725346884,0.4108034471670787,0.017842461665471394,0.8703703880310059,7.0,0.40368013580640155,0.7022994955380758,0.4333333472410838,0.32960835595925647,0.6752028862635294,0.0,0.12250145541585962,0.0017089800259289351,0.07216878364870322,0.005916808762936057,0.0,0.1443375672974065,0.009622495309758367,0.016180689417650565,0.0006159388945986236,0.09664125099909128,0.00936911861664864,0.003743954022816665,0.003743954022816665,0.020808499853132233,0.0005034045286807775,0.005891326468240458,0.004272448182874651,0.07698003130358241,0.0016901137692159468,0.1934769581457527,0.00936911861664864,0.1443375328846488,0.08325104201060521,0.006889397328323079,0.0016901137692159468,0.006889397328323079,0.0431163065930512,0.09622505633585686,0.05414668401643592,0.0013529375692123257,0.005916808762936057,0.0021362235537379865,0.1427890949704479,0.07216878364870322,0.21169506887847278,0.0,0.0013529375692123257,0.0024775685367180887,0.14496191891266144,0.0837004987559918,0.19084248328974945,0.1443375328846488,0.11902794844978297,0.016180689417650565,0.16997077989298276,0.00028483009393804546,0.0,1.0,0.12092540813036418,0.0005034045286807775,0.057735006271307954,0.20670059352099024,0.005891326468240458
smart_init_classifier_adapter_bert_ms,0.33,0.534192313750585,0.014224634195367495,0.8833333452542623,0.8447479009628296,0.8666666746139526,0.899999996026357,0.658333400885264,0.8433019320170084,0.022276464228828747,0.5209740201632181,0.859105626742045,0.8610222935676575,0.8610222935676575,0.7525733113288879,0.8310784498850504,0.81788037220637,0.026640354966123898,0.9222222169240316,0.8567525347073873,0.15,0.859105626742045,0.899999996026357,0.36555012067159015,0.8499604066212972,0.8567525347073873,0.8499604066212972,0.6513745586077372,0.888888955116272,0.5080862641334534,0.8629534641901652,0.8447479009628296,0.026147014151016872,0.3905027508735657,0.8833333651224772,0.8777777552604675,0.8188976645469666,0.8629534641901652,0.01852777103583018,0.39340124527613324,0.6259298920631409,0.5592889984448751,0.9000000357627869,0.6403332153956095,0.8433019320170084,0.5107036928335825,0.0194869264960289,0.7761194109916687,9.666666666666666,0.5321350892384847,0.8310784498850504,0.48055559396743774,0.42125237981478375,0.81788037220637,0.0,0.06699771761464579,0.0010269689865304813,0.06508542057993598,0.004302556922891496,0.0,0.13017082589668796,0.031549515824982305,0.006780224666617586,0.00014779554528691682,0.0702749460978597,0.002675083901900048,0.0007382283150765405,0.0007382283150765405,0.004992959419822099,0.0006889723999519295,0.005313095791166432,0.0038531079456745063,0.10715166255469387,0.001524258019427552,0.15716233645501712,0.002675083901900048,0.13017082589668796,0.056697765858985526,0.002689677471760166,0.001524258019427552,0.002689677471760166,0.027688324395011118,0.08678057349257007,0.02653648247563353,0.001236985785753549,0.004302556922891496,0.0019265539728372527,0.1004477624304797,0.06508538623776852,0.15396006260716483,0.0,0.001236985785753549,0.0018010861801429842,0.10541241234533362,0.06084666995412944,0.10979947480984284,0.13017080681770438,0.05522334907254969,0.006780224666617586,0.09707237717351365,0.0009338757834770998,0.0,0.5773502691896258,0.06351884334720756,0.0006889723999519295,0.03469442409820874,0.1550789848501607,0.005313095791166432
