name,instance,run_id,test_incremental/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_pretraining/micro/precision,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_other-health-treatment/macro_types/f1,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test/macro_example/f1,test/macro_example/recall,test_incremental_other-health/macro_types/recall,test_incremental_other-health-treatment/macro_types/recall,test_incremental/macro_types/f1,test_pretraining/macro_types/precision,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_other-health/macro_types/f1,test_incremental/micro/precision,epoch,test/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/precision,test/micro/precision,test/macro_types/precision,test_incremental_only/micro/f1,test_incremental_other-health/macro_types/precision,test_incremental_other-health-malady/macro_types/precision,test/macro_types/recall,test_incremental/micro/recall,test_pretraining/micro/recall,test_incremental_other-health-malady/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test/micro/f1,test/micro/recall,test_incremental_other-health-malady/macro_types/recall,test_pretraining/macro_types/f1,test/macro_types/f1,threshold_incremental,test_pretraining/macro_example/recall,test_incremental/macro_example/precision,test_incremental_other-health-treatment/macro_types/precision,test_incremental/macro_example/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,threshold_pretraining
no_init_box_kenn_hybrid_adapter_bert_ms,2,sr7lvno6,0.6166666746139526,0.5772549510002136,0.5517241358757019,0.8446621894836426,0.8280702233314514,0.5333333611488342,0.533333420753479,0.46511632204055786,0.681034505367279,0.533333420753479,0.7574373483657837,0.658333420753479,0.8280702233314514,0.8017695546150208,0.7833333611488342,0.3333333432674408,0.6598327159881592,0.745693564414978,0.8167338371276855,0.6622776985168457,0.0194869264960289,0.8561549782752991,0.8245614767074585,0.7053571343421936,22,0.8561549782752991,0.015786876901984215,0.5333333611488342,0.015786876901984215,0.8916667103767395,0.8446621894836426,0.745693564414978,0.5423729419708252,0.8703703880310059,0.4888888895511627,0.6622776985168457,0.6583333611488342,0.7905932664871216,0.5866667032241821,0.533333420753479,0.8167338371276855,0.7905932664871216,0.7333333492279053,0.7015146613121033,0.7015146613121033,0.12,0.8017695546150208,0.02639368548989296,0.7692307829856873,0.02242044173181057,0.7094966769218445,0.015786876901984215,0.6290598511695862,0.26
no_init_box_kenn_top_down_adapter_bert_ms,2,72tt7u9w,0.6833333373069763,0.49632078409194946,0.3762376308441162,0.8383963704109192,0.8275718688964844,0.6333333253860474,0.6333334445953369,0.47457626461982727,0.6181818246841431,0.6333334445953369,0.7862129807472229,0.7083333730697632,0.8275718688964844,0.8027151226997375,0.7833333611488342,0.46666666865348816,0.6168487071990967,0.7366726398468018,0.8144133687019348,0.6663594245910645,0.02096694707870483,0.8540171980857849,0.8245614767074585,0.5483871102333069,22,0.8540171980857849,0.018746916204690933,0.6333333253860474,0.018746916204690933,0.8833333849906921,0.8383963704109192,0.7366726398468018,0.4720496833324432,0.8703703880310059,0.3333333432674408,0.6663594245910645,0.7083333134651184,0.7917642593383789,0.4705882668495178,0.6333334445953369,0.8144133687019348,0.7917642593383789,0.800000011920929,0.6997541189193726,0.6997541189193726,0.01,0.8027151226997375,0.026147015392780304,0.48275861144065857,0.023272212594747543,0.5621541142463684,0.018746916204690933,0.4080459773540497,0.26
no_init_box_kenn_bottom_up_adapter_bert_ms,2,8ixuoye0,0.6500000357627869,0.6101647019386292,0.5555555820465088,0.8444074392318726,0.8282921314239502,0.5833333134651184,0.5833333730697632,0.5333333611488342,0.6919831037521362,0.5833333730697632,0.7768421173095703,0.6833333969116211,0.8282921314239502,0.8022217750549316,0.7833333611488342,0.4000000059604645,0.6816375255584717,0.7461230754852295,0.8169269561767578,0.6643185615539551,0.020226936787366867,0.8561139106750488,0.8245614767074585,0.7008547186851501,22,0.8561139106750488,0.017266895622015,0.5833333134651184,0.017266895622015,0.9000000357627869,0.8444074392318726,0.7461230754852295,0.5691057443618774,0.8703703880310059,0.4791666567325592,0.6643185615539551,0.6833333373069763,0.7911787629127502,0.5897436141967773,0.5833333730697632,0.8169269561767578,0.7911787629127502,0.7666666507720947,0.702848494052887,0.702848494052887,0.02,0.8022217750549316,0.026640355587005615,0.800000011920929,0.022994833067059517,0.7165123224258423,0.017266895622015,0.6395833492279053,0.26
no_init_box_kenn_hybrid_adapter_bert_ms,1,wjziqted,0.6611111760139465,0.6588580012321472,0.7200000286102295,0.8469089269638062,0.8284433484077454,0.6000000238418579,0.6000000238418579,0.6923076510429382,0.7410714030265808,0.6000000238418579,0.7418994903564453,0.6916667222976685,0.8284433484077454,0.8021806478500366,0.7833333611488342,0.6000000238418579,0.7144438028335571,0.7498347759246826,0.8182001709938049,0.6649987697601318,0.020473605021834373,0.8564838171005249,0.8245614767074585,0.7980769276618958,36,0.8564838171005249,0.01776023581624031,0.6000000238418579,0.01776023581624031,0.8000000715255737,0.8469089269638062,0.7498347759246826,0.6545454859733582,0.8703703880310059,0.6428571343421936,0.6649987697601318,0.6916666626930237,0.7913739085197449,0.6206896305084229,0.6000000238418579,0.8182001709938049,0.7913739085197449,0.6000000238418579,0.7048733234405518,0.7048733234405518,0.03,0.8021806478500366,0.023680314421653748,0.8181818127632141,0.021960513666272163,0.7771364450454712,0.01776023581624031,0.7305194735527039,0.26
no_init_box_kenn_top_down_adapter_bert_ms,1,ngjxas7s,0.6722222566604614,0.6631712317466736,0.7115384340286255,0.846764087677002,0.8285309672355652,0.6166666746139526,0.6166667342185974,0.703703761100769,0.7433627843856812,0.6166667342185974,0.746666669845581,0.7000000476837158,0.8285309672355652,0.8023450970649719,0.7833333611488342,0.6333333253860474,0.7170563340187073,0.7492936849594116,0.8182368278503418,0.6656790971755981,0.02072027511894703,0.8564838171005249,0.8245614767074585,0.7924528121948242,26,0.8564838171005249,0.018253576010465625,0.6166666746139526,0.018253576010465625,0.8000000715255737,0.846764087677002,0.7492936849594116,0.6607142686843872,0.8703703880310059,0.6428571343421936,0.6656790971755981,0.699999988079071,0.7915691137313843,0.6206896305084229,0.6166667342185974,0.8182368278503418,0.7915691137313843,0.6000000238418579,0.7050158381462097,0.7050158381462097,0.12,0.8023450970649719,0.023680314421653748,0.7916666865348816,0.0221016276627779,0.7682980895042419,0.018253576010465625,0.7172619104385376,0.26
no_init_box_kenn_bottom_up_adapter_bert_ms,1,nbuuke4a,0.6611111760139465,0.6588580012321472,0.7200000286102295,0.8469089269638062,0.8283445239067078,0.6000000238418579,0.6000000238418579,0.6923076510429382,0.7410714030265808,0.6000000238418579,0.7346516847610474,0.6916667222976685,0.8283445239067078,0.8021395206451416,0.7833333611488342,0.6000000238418579,0.7144438028335571,0.7498347759246826,0.8182001709938049,0.6649987697601318,0.020473605021834373,0.8563194274902344,0.8245614767074585,0.7980769276618958,29,0.8563194274902344,0.01776023581624031,0.6000000238418579,0.01776023581624031,0.783333420753479,0.8469089269638062,0.7498347759246826,0.6545454859733582,0.8703703880310059,0.6428571343421936,0.6649987697601318,0.6916666626930237,0.7913739085197449,0.6206896305084229,0.6000000238418579,0.8182001709938049,0.7913739085197449,0.6000000238418579,0.7048733234405518,0.7048733234405518,0.02,0.8021395206451416,0.023186974227428436,0.8181818127632141,0.02174597606062889,0.7771364450454712,0.01776023581624031,0.7305194735527039,0.26
no_init_box_kenn_hybrid_adapter_bert_ms,0,65tt95l2,0.7277778387069702,0.6653908491134644,0.5833333134651184,0.8442827463150024,0.8285375833511353,0.699999988079071,0.7000000476837158,0.7272727489471436,0.7235772013664246,0.7000000476837158,0.8131980299949646,0.7416666746139526,0.8285375833511353,0.8030440211296082,0.7833333611488342,0.6666666865348816,0.7202205061912537,0.7458969354629517,0.8175961375236511,0.6690804362297058,0.021953625604510307,0.8557027578353882,0.8245614767074585,0.7063491940498352,16,0.8557027578353882,0.02072027698159218,0.7000000476837158,0.02072027698159218,0.9000000357627869,0.8442827463150024,0.7458969354629517,0.6363636255264282,0.8703703880310059,0.4680851101875305,0.6690804362297058,0.7416666746139526,0.7925449013710022,0.571428656578064,0.7000000476837158,0.8175961375236511,0.7925449013710022,0.7333333492279053,0.7054035663604736,0.7054035663604736,0.01,0.8030440211296082,0.026640355587005615,0.800000011920929,0.024070980027318,0.7128185033798218,0.02072027698159218,0.6340425610542297,0.26
no_init_box_kenn_top_down_adapter_bert_ms,0,3v8k0i3a,0.7500001192092896,0.5505505800247192,0.4399999976158142,0.8398098349571228,0.8275927305221558,0.7333333492279053,0.7333333492279053,0.5641025900840759,0.6642335057258606,0.7333333492279053,0.8231155872344971,0.7583333849906921,0.8275927305221558,0.8033729195594788,0.7833333611488342,0.7333333492279053,0.656625509262085,0.7380056381225586,0.8156996369361877,0.6704410314559937,0.02244696579873562,0.8533182144165039,0.8245614767074585,0.5909090638160706,16,0.8533182144165039,0.0217069573700428,0.7333333492279053,0.0217069573700428,0.9000000357627869,0.8398098349571228,0.7380056381225586,0.5499999523162842,0.8703703880310059,0.42307692766189575,0.6704410314559937,0.7583333253860474,0.7929351925849915,0.5365853905677795,0.7333333492279053,0.8156996369361877,0.7929351925849915,0.7333333492279053,0.7026028037071228,0.7026028037071228,0.02,0.8033729195594788,0.026640355587005615,0.4583333432674408,0.024364544078707695,0.5839269161224365,0.0217069573700428,0.4407051205635071,0.26
no_init_box_kenn_bottom_up_adapter_bert_ms,0,0ga4abzt,0.7055556178092957,0.6563649773597717,0.5882353186607361,0.8445692658424377,0.8284613490104675,0.6666666865348816,0.6666667461395264,0.7169811725616455,0.7190082669258118,0.6666667461395264,0.8063775300979614,0.7250000238418579,0.8284613490104675,0.8027562499046326,0.7833333611488342,0.6333333253860474,0.7132144570350647,0.7464003562927246,0.8175227046012878,0.6677199006080627,0.021460285410284996,0.8558672070503235,0.8245614767074585,0.7131147384643555,16,0.8558672070503235,0.019733596593141556,0.6666666269302368,0.019733596593141556,0.9083333611488342,0.8445692658424377,0.7464003562927246,0.6250000596046448,0.8703703880310059,0.46666666865348816,0.6677199006080627,0.7250000238418579,0.7921545505523682,0.5600000023841858,0.6666667461395264,0.8175227046012878,0.7921545505523682,0.699999988079071,0.7048712968826294,0.7048712968826294,0.02,0.8027562499046326,0.02688702568411827,0.8260869383811951,0.023869093507528305,0.7210413217544556,0.019733596593141556,0.6463767886161804,0.26
smart_init_box_adapter_bert_ms,2,c9zgizgc,0.7055555582046509,0.6004821062088013,0.5063291192054749,0.8426406383514404,0.8283472657203674,0.6666666865348816,0.6666667461395264,0.5384615063667297,0.687747061252594,0.6406927108764648,0.7929688692092896,0.7250000834465027,0.8283472657203674,0.8030850887298584,0.7833333611488342,0.46666666865348816,0.6789572834968567,0.7423136830329895,0.816618025302887,0.6677199602127075,0.021460285410284996,0.8552505373954773,0.8245614767074585,0.6541353464126587,39,0.8552505373954773,0.018253576010465625,0.6666666865348816,0.019733596593141556,0.8750001192092896,0.8426406383514404,0.7423136830329895,0.5755395889282227,0.8703703880310059,0.45614033937454224,0.6677199602127075,0.7250000238418579,0.7921545505523682,0.5977011322975159,0.6166666746139526,0.816618025302887,0.7921545505523682,0.8666666746139526,0.7030436992645264,0.7030436992645264,0.45,0.8030850887298584,0.02590034529566765,0.6363636255264282,0.023472188040614128,0.6542915105819702,0.018964754417538643,0.5462520122528076,0.26
