projector,5/f1/mean,5/f1/std,10/f1/mean,10/f1/std,20/f1/mean,20/f1/std
box,0.263,0.185,0.33,0.242,0.419,0.27
classifier,0.329,0.197,0.437,0.249,0.62,0.223
kenn_bottom_up,0.575,0.233,0.598,0.217,0.633,0.205
kenn_hybrid,0.565,0.248,0.6,0.231,0.626,0.222
kenn_top_down,0.49,0.231,0.531,0.219,0.565,0.216
