name,instance,run_id,test_incremental/macro_types/precision,test_incremental_internet/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_internet/macro_types/recall,threshold_pretraining,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example/recall,test/macro_example/precision,test_incremental/macro_example/f1,test_pretraining/micro/recall,test/micro/recall,test/macro_example/f1,test_pretraining/macro_example/recall,test_incremental/micro/f1,test_incremental_internet-website/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test/micro/precision,test_incremental_only/macro_types/recall,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/macro_example/recall,epoch,test/micro/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test/macro_example/recall,test_incremental_internet/macro_types/precision,threshold_incremental,test_incremental/micro/precision,test_pretraining/macro_types/f1,test_pretraining/micro/f1,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental_only/macro_types/precision,test_incremental_internet-website/macro_types/precision,test_incremental_internet-website/macro_types/f1,test_incremental/micro/recall,test_pretraining/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/macro_types/f1,test_incremental_only/macro_example_exclusive/f1
kenn_horizontal_adapter_bert_ms,2,1593s5we,0.4718577265739441,0.8363636136054993,0.023715414106845856,0.8833333849906921,0.8866779208183289,0.7677452564239502,1.0,0.8866779208183289,0.010438413359224796,0.7666666507720947,0.375,0.04633204638957977,0.010438413359224796,0.00922059826552868,0.7677452564239502,0.009791785851120949,0.8995614051818848,0.8995614051818848,0.8349764347076416,0.915112555027008,0.07851852476596832,1.0,1.0,0.7170075178146362,1.0,0.864309549331665,0.7170075178146362,0.010438413359224796,22,0.7979768514633179,0.8833333253860474,0.864309549331665,1.0,0.915112555027008,0.9200000166893004,0.99,0.04108527302742005,0.875350832939148,0.7979768514633179,0.04633204638957977,0.6151275634765625,1.0,0.010438413359224796,0.023715414106845856,0.023715414106845856,0.04633204638957977,0.8833333253860474,0.8349764347076416,0.9380530714988708,0.875350832939148,1.0
kenn_horizontal_adapter_bert_ms,1,1lgc4s8h,0.4805966019630432,0.8363636136054993,0.04119318351149559,0.8666666746139526,0.8870275020599365,0.8301901817321777,0.9666666984558104,0.8870275020599365,0.01009046658873558,0.7666666507720947,0.375,0.07901907712221146,0.01009046658873558,0.009046625345945358,0.8301901817321777,0.009540078230202198,0.8993421196937561,0.8993421196937561,0.870532751083374,0.9149965643882751,0.1318124234676361,0.9666666388511658,0.9666666984558104,0.794767439365387,0.9666666388511658,0.8636428713798523,0.794767439365387,0.01009046658873558,12,0.8438271284103394,0.8666666746139526,0.8636428713798523,0.9666666984558104,0.9149965643882751,0.9200000166893004,0.01,0.07133059203624725,0.8751789331436157,0.8438271284103394,0.07901907712221146,0.6183156967163086,0.9666666388511658,0.01009046658873558,0.04119318351149559,0.04119318351149559,0.07901907712221146,0.8666666746139526,0.870532751083374,0.9139394164085388,0.8751789331436157,0.9666666984558104
kenn_horizontal_adapter_bert_ms,0,1xys86gm,0.4820913076400757,0.8363636136054993,0.04418262094259262,0.8833333849906921,0.8870872855186462,0.8509742617607117,1.0,0.8870872855186462,0.010438413359224796,0.7666666507720947,0.375,0.0846262276172638,0.010438413359224796,0.00922059826552868,0.8509742617607117,0.009791785851120949,0.8995614051818848,0.8995614051818848,0.8818787932395935,0.915112555027008,0.13874344527721405,1.0,1.0,0.7988315224647522,1.0,0.864309549331665,0.7988315224647522,0.010438413359224796,28,0.8462094068527222,0.8833333253860474,0.864309549331665,1.0,0.915112555027008,0.9200000166893004,0.96,0.07528409361839294,0.8755502700805664,0.8462094068527222,0.0846262276172638,0.62375807762146,1.0,0.010438413359224796,0.04418262094259262,0.04418262094259262,0.0846262276172638,0.8833333253860474,0.8818787932395935,0.9380530714988708,0.8755502700805664,1.0
kenn_hybrid_adapter_bert_ms,2,2go8ngn3,0.4718577265739441,0.8363636136054993,0.023715414106845856,0.8833333849906921,0.8866779208183289,0.7677452564239502,1.0,0.8866779208183289,0.010438413359224796,0.7666666507720947,0.375,0.04633204638957977,0.010438413359224796,0.00922059826552868,0.7677452564239502,0.009791785851120949,0.8995614051818848,0.8995614051818848,0.8349764347076416,0.915112555027008,0.07851852476596832,1.0,1.0,0.7170075178146362,1.0,0.864309549331665,0.7170075178146362,0.010438413359224796,20,0.7979768514633179,0.8833333253860474,0.864309549331665,1.0,0.915112555027008,0.9200000166893004,0.99,0.04108527302742005,0.875350832939148,0.7979768514633179,0.04633204638957977,0.6151275634765625,1.0,0.010438413359224796,0.023715414106845856,0.023715414106845856,0.04633204638957977,0.8833333253860474,0.8349764347076416,0.9380530714988708,0.875350832939148,1.0
kenn_top_down_adapter_bert_ms,2,w1asiylf,0.4718577265739441,0.8363636136054993,0.023715414106845856,0.8833333849906921,0.8866779208183289,0.7677452564239502,1.0,0.8866779208183289,0.010438413359224796,0.7666666507720947,0.375,0.04633204638957977,0.010438413359224796,0.00922059826552868,0.7677452564239502,0.009791785851120949,0.8995614051818848,0.8995614051818848,0.8349764347076416,0.915112555027008,0.07851852476596832,1.0,1.0,0.7170075178146362,1.0,0.864309549331665,0.7170075178146362,0.010438413359224796,22,0.7979768514633179,0.8833333253860474,0.864309549331665,1.0,0.915112555027008,0.9200000166893004,0.99,0.04108527302742005,0.875350832939148,0.7979768514633179,0.04633204638957977,0.6151275634765625,1.0,0.010438413359224796,0.023715414106845856,0.023715414106845856,0.04633204638957977,0.8833333253860474,0.8349764347076416,0.9380530714988708,0.875350832939148,1.0
kenn_bottom_up_adapter_bert_ms,2,20dtmagc,0.4718577265739441,0.8363636136054993,0.023715414106845856,0.8833333849906921,0.8866779208183289,0.7677452564239502,1.0,0.8866779208183289,0.010438413359224796,0.7666666507720947,0.375,0.04633204638957977,0.010438413359224796,0.00922059826552868,0.7677452564239502,0.009791785851120949,0.8995614051818848,0.8995614051818848,0.8349764347076416,0.915112555027008,0.07851852476596832,1.0,1.0,0.7170075178146362,1.0,0.864309549331665,0.7170075178146362,0.010438413359224796,22,0.7979768514633179,0.8833333253860474,0.864309549331665,1.0,0.915112555027008,0.9200000166893004,0.99,0.04108527302742005,0.875350832939148,0.7979768514633179,0.04633204638957977,0.6151275634765625,1.0,0.010438413359224796,0.023715414106845856,0.023715414106845856,0.04633204638957977,0.8833333253860474,0.8349764347076416,0.9380530714988708,0.875350832939148,1.0
kenn_hybrid_adapter_bert_ms,1,fefxjqbx,0.6507894992828369,0.8363636136054993,0.3815789520740509,0.8666666746139526,0.893835186958313,0.923898220062256,0.9666666984558104,0.893835186958313,0.01009046658873558,0.7666666507720947,0.375,0.5471698045730591,0.01009046658873558,0.009046625345945358,0.923898220062256,0.009540078230202198,0.8993421196937561,0.8993421196937561,0.9194257855415344,0.9149965643882751,0.6459627747535706,0.9666666388511658,0.9666666984558104,0.9048985242843628,0.9666666388511658,0.8636428713798523,0.9048985242843628,0.01009046658873558,11,0.9021117091178894,0.8666666746139526,0.8636428713798523,0.9666666984558104,0.9149965643882751,0.9200000166893004,0.24,0.5148515105247498,0.8784796595573425,0.9021117091178894,0.5471698045730591,0.7433724999427795,0.9666666388511658,0.01009046658873558,0.3815789520740509,0.3815789520740509,0.5471698045730591,0.8666666746139526,0.9194257855415344,0.9139394164085388,0.8784796595573425,0.9666666984558104
kenn_top_down_adapter_bert_ms,1,yfkb8bm2,0.5607194304466248,0.8363636136054993,0.20143884420394895,0.8500000238418579,0.8902324438095093,0.91671884059906,0.9666666984558104,0.8902324438095093,0.00974251888692379,0.7666666507720947,0.375,0.33136093616485596,0.00974251888692379,0.008872651495039463,0.91671884059906,0.009442456066608427,0.8991228342056274,0.8991228342056274,0.9158220291137696,0.9149270057678224,0.4553571343421936,0.9333333373069764,0.9333333969116212,0.8922742009162903,0.9333333373069764,0.8629761934280396,0.8922742009162903,0.00974251888692379,11,0.8956853747367859,0.8500000238418579,0.8629761934280396,0.9333333969116212,0.9149270057678224,0.9200000166893004,0.5,0.3109756112098694,0.8763924241065979,0.8956853747367859,0.33136093616485596,0.6756999492645264,0.9333333373069764,0.01009046658873558,0.20143884420394895,0.20143884420394895,0.33136093616485596,0.8500000238418579,0.9158220291137696,0.9045872092247008,0.8763924241065979,0.9333333969116212
kenn_bottom_up_adapter_bert_ms,1,xbq04ub4,0.6247727274894714,0.8363636136054993,0.3295454680919647,0.8666666746139526,0.8927945494651794,0.9225295782089232,0.9666666984558104,0.8927945494651794,0.01009046658873558,0.7666666507720947,0.375,0.49152544140815735,0.01009046658873558,0.009046625345945358,0.9225295782089232,0.009540078230202198,0.8993421196937561,0.8993421196937561,0.9187476634979248,0.9149965643882751,0.6011560559272766,0.9666666388511658,0.9666666984558104,0.9025087952613832,0.9666666388511658,0.8636428713798523,0.9025087952613832,0.01009046658873558,11,0.9009226560592652,0.8666666746139526,0.8636428713798523,0.9666666984558104,0.9149965643882751,0.9200000166893004,0.25,0.4601770043373108,0.8779767751693726,0.9009226560592652,0.49152544140815735,0.7261035442352295,0.9666666388511658,0.01009046658873558,0.3295454680919647,0.3295454680919647,0.49152544140815735,0.8666666746139526,0.9187476634979248,0.9139394164085388,0.8779767751693726,0.9666666984558104
kenn_hybrid_adapter_bert_ms,0,21c4qpfo,0.4718577265739441,0.8363636136054993,0.023715414106845856,0.8833333849906921,0.8866779208183289,0.7677452564239502,1.0,0.8866779208183289,0.010438413359224796,0.7666666507720947,0.375,0.04633204638957977,0.010438413359224796,0.00922059826552868,0.7677452564239502,0.009791785851120949,0.8995614051818848,0.8995614051818848,0.8349764347076416,0.915112555027008,0.07851852476596832,1.0,1.0,0.7170075178146362,1.0,0.864309549331665,0.7170075178146362,0.010438413359224796,27,0.7979768514633179,0.8833333253860474,0.864309549331665,1.0,0.915112555027008,0.9200000166893004,0.99,0.04108527302742005,0.875350832939148,0.7979768514633179,0.04633204638957977,0.6151275634765625,1.0,0.010438413359224796,0.023715414106845856,0.023715414106845856,0.04633204638957977,0.8833333253860474,0.8349764347076416,0.9380530714988708,0.875350832939148,1.0
