name,instance,run_id,test/micro/precision,test/macro_example/recall,test/macro_types/f1,test_incremental/micro/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/f1,test_incremental/macro_example/precision,test_pretraining/macro_types/recall,test_incremental_only/macro_types/recall,test_incremental_only/micro/recall,test_incremental_internet/macro_types/precision,test_incremental_internet-website/macro_types/f1,test_incremental/micro/f1,test_incremental_only/macro_example/precision,epoch,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_internet/macro_types/recall,test/micro/recall,test/macro_example/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_internet-website/macro_types/precision,test_pretraining/micro/f1,test_pretraining/micro/recall,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example/recall,test_incremental_only/micro/f1,test_pretraining/macro_example/recall,test_incremental/macro_types/precision,test_incremental_internet/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_pretraining/micro/precision,test/micro/f1,threshold_incremental,test/macro_types/recall,test/macro_example/precision,test_incremental/micro/precision,test_incremental_internet-website/macro_types/recall,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,threshold_pretraining,test/macro_types/precision,test_incremental/macro_example_exclusive/f1
kenn_horizontal_adapter_bert_ms,2,342yayog,0.8410351276397705,0.9142426252365112,0.8732609152793884,0.7666666507720947,0.5962710976600647,0.8996039628982544,0.009394572116434574,0.8596428632736206,0.7666666507720947,0.7666666507720947,0.9200000166893004,0.10383746773004532,0.18473894894123075,0.008002784103155136,95,0.7666667103767395,0.7666667699813843,0.008002784103155136,0.887317419052124,0.7666666507720947,0.8980262875556946,0.8996039628982544,0.008643006905913353,0.008002784103155136,0.05569007247686386,0.10383746773004532,0.05569007247686386,0.8685969114303589,0.8980262875556946,0.05569007247686386,0.8854268193244934,0.9000000357627869,0.008002784103155136,0.10383746773004532,0.9142426252365112,0.4878450334072113,0.8363636136054993,0.7666667699813843,0.8410351276397705,0.8685969114303589,0.9,0.8596428632736206,0.8854268193244934,0.10502283275127412,0.7666666507720947,0.8732609152793884,0.7666666507720947,0.7666667103767395,0.375,0.887317419052124,0.828000009059906
kenn_horizontal_adapter_bert_ms,1,f3c458hl,0.8730294108390808,0.9147413969039916,0.8748112916946411,0.8166666626930237,0.6313800811767578,0.907075047492981,0.00974251888692379,0.8616428375244141,0.8666666746139526,0.8666666746139526,0.9200000166893004,0.1940298527479172,0.3034055829048157,0.009046625345945358,35,0.8166667222976685,0.8666667342185974,0.008524704724550247,0.8883885145187378,0.7666666507720947,0.8986842036247253,0.907075047492981,0.009093018248677254,0.009046625345945358,0.1092436984181404,0.1940298527479172,0.1092436984181404,0.8856710195541382,0.8986842036247253,0.1092436984181404,0.8995361328125,0.9333333969116212,0.009046625345945358,0.1940298527479172,0.9147413969039916,0.5146218538284302,0.8363636136054993,0.8666667342185974,0.8730294108390808,0.8856710195541382,0.03,0.8616428375244141,0.8995361328125,0.1863117814064026,0.8666666746139526,0.8748112916946411,0.8166666626930237,0.8666667342185974,0.375,0.8883885145187378,0.8711112141609192
kenn_horizontal_adapter_bert_ms,0,2no9mvv2,0.7166608572006226,0.9143470525741576,0.8728984594345093,0.7666666507720947,0.5820889472961426,0.8346405625343323,0.010438413359224796,0.8596428632736206,0.7666666507720947,0.7666666507720947,0.9200000166893004,0.0357142835855484,0.06850335001945496,0.008002784103155136,114,0.7666667103767395,0.7666667699813843,0.008002784103155136,0.8865692615509033,0.7666666507720947,0.8980262875556946,0.8346405625343323,0.009059756062924862,0.008002784103155136,0.018282989040017128,0.0357142835855484,0.018282989040017128,0.797157883644104,0.8980262875556946,0.018282989040017128,0.7677162885665894,1.0,0.008002784103155136,0.0357142835855484,0.9143470525741576,0.4691415131092071,0.8363636136054993,0.7666667699813843,0.7166608572006226,0.797157883644104,0.99,0.8596428632736206,0.7677162885665894,0.035853467881679535,0.7666666507720947,0.8728984594345093,0.7666666507720947,0.7666667103767395,0.375,0.8865692615509033,0.8679245710372925
kenn_hybrid_adapter_bert_ms,2,1woyx2jn,0.7169580459594727,0.9149385690689088,0.8750012516975403,0.8666666746139526,0.6107121706008911,0.8349040150642395,0.010438413359224796,0.8636428713798523,0.9666666388511658,0.9666666388511658,0.9200000166893004,0.04482225701212883,0.07709414511919022,0.01009046658873558,83,0.8666667342185974,0.9666666984558104,0.009046625345945358,0.886662483215332,0.7666666507720947,0.8993421196937561,0.8349040150642395,0.009692813269793987,0.01009046658873558,0.02294303849339485,0.04482225701212883,0.02294303849339485,0.7978599667549133,0.8993421196937561,0.02294303849339485,0.7677452564239502,1.0,0.01009046658873558,0.04482225701212883,0.9149385690689088,0.4714715182781219,0.8363636136054993,0.9666666984558104,0.7169580459594727,0.7978599667549133,0.99,0.8636428713798523,0.7677452564239502,0.04034135118126869,0.9666666388511658,0.8750012516975403,0.8666666746139526,0.9666666984558104,0.375,0.886662483215332,0.9285714626312256
kenn_top_down_adapter_bert_ms,2,3r20dvm1,0.7563180327415466,0.9148805737495422,0.8747181296348572,0.8500000238418579,0.609028697013855,0.8600295186042786,0.010438413359224796,0.8629761934280396,0.9333333373069764,0.9333333373069764,0.9200000166893004,0.05628140643239021,0.09714285284280776,0.00974251888692379,90,0.8500000834465027,0.9333333969116212,0.008872651495039463,0.8867839574813843,0.7666666507720947,0.8991228342056274,0.8600295186042786,0.009592056274414062,0.00974251888692379,0.029015544801950455,0.05628140643239021,0.029015544801950455,0.8215610384941101,0.8991228342056274,0.029015544801950455,0.8113836050033569,1.0,0.00974251888692379,0.05628140643239021,0.9148805737495422,0.47450777888298035,0.8363636136054993,0.9333333969116212,0.7563180327415466,0.8215610384941101,0.98,0.8629761934280396,0.8113836050033569,0.05151515081524849,0.9333333373069764,0.8747181296348572,0.8500000238418579,0.9333333969116212,0.375,0.8867839574813843,0.9189189672470092
kenn_bottom_up_adapter_bert_ms,2,10anezlz,0.7988696098327637,0.9148225784301758,0.8744823336601257,0.8333333134651184,0.6091371178627014,0.8818374872207642,0.010438413359224796,0.8623095154762268,0.8999999761581421,0.8999999761581421,0.9200000166893004,0.076595738530159,0.1315789520740509,0.009394572116434574,87,0.833333432674408,0.9000000953674316,0.008698677644133568,0.8870036602020264,0.7666666507720947,0.898903489112854,0.8818374872207642,0.009489466436207294,0.009394572116434574,0.03999999910593033,0.076595738530159,0.03999999910593033,0.8459395170211792,0.898903489112854,0.03999999910593033,0.851148247718811,1.0,0.009394572116434574,0.076595738530159,0.9148225784301758,0.48000001907348633,0.8363636136054993,0.9000000953674316,0.7988696098327637,0.8459395170211792,0.96,0.8623095154762268,0.851148247718811,0.0714285746216774,0.8999999761581421,0.8744823336601257,0.8333333134651184,0.9000000953674316,0.375,0.8870036602020264,0.9090909361839294
kenn_hybrid_adapter_bert_ms,1,141td0s3,0.9078422784805298,0.91459059715271,0.8780860304832458,0.8166666626930237,0.7445508241653442,0.9201040267944336,0.009046625345945358,0.8616428375244141,0.8666666746139526,0.8666666746139526,0.9200000166893004,0.5909090638160706,0.6853146553039551,0.009046625345945358,30,0.8166667222976685,0.8666666746139526,0.008524704724550247,0.8951691389083862,0.7666666507720947,0.8986842036247253,0.9201040267944336,0.008777913637459278,0.009046625345945358,0.4482758641242981,0.5909090638160706,0.4482758641242981,0.9032400250434875,0.8986842036247253,0.4482758641242981,0.9256843328475952,0.8666666746139526,0.009046625345945358,0.5909090638160706,0.91459059715271,0.6841379404067993,0.8363636136054993,0.8666666746139526,0.9078422784805298,0.9032400250434875,0.13,0.8616428375244141,0.9256843328475952,0.5903614163398743,0.8666666746139526,0.8780860304832458,0.8166666626930237,0.8666666746139526,0.375,0.8951691389083862,0.8409241437911987
kenn_top_down_adapter_bert_ms,1,3uvg5umk,0.904215395450592,0.9145209789276124,0.8766332864761353,0.800000011920929,0.7028037309646606,0.9192803502082824,0.009046625345945358,0.8609762191772461,0.8333333134651184,0.8333333134651184,0.9200000166893004,0.4761905074119568,0.6000000238418579,0.008698677644133568,33,0.8000000715255737,0.8333333730697632,0.008350730873644352,0.892870306968689,0.7666666507720947,0.8984649181365967,0.9192803502082824,0.008684760890901089,0.008698677644133568,0.3333333432674408,0.4761905074119568,0.3333333432674408,0.9013310074806212,0.8984649181365967,0.3333333432674408,0.9240895509719848,0.8666666746139526,0.008698677644133568,0.4761905074119568,0.9145209789276124,0.6266666650772095,0.8363636136054993,0.8333333730697632,0.904215395450592,0.9013310074806212,0.3,0.8609762191772461,0.9240895509719848,0.47999998927116394,0.8333333134651184,0.8766332864761353,0.7999999523162842,0.833333432674408,0.375,0.892870306968689,0.8320000171661377
kenn_bottom_up_adapter_bert_ms,1,2zl4v5yi,0.9068378210067748,0.91459059715271,0.8777436017990112,0.8166666626930237,0.7338899374008179,0.9198777079582214,0.009046625345945358,0.8616428375244141,0.8666666746139526,0.8666666746139526,0.9200000166893004,0.5591398477554321,0.662162184715271,0.009046625345945358,33,0.8166667222976685,0.8666666746139526,0.008524704724550247,0.8944575786590576,0.7666666507720947,0.8986842036247253,0.9198777079582214,0.008777913637459278,0.009046625345945358,0.4126984179019928,0.5591398477554321,0.4126984179019928,0.9027426242828368,0.8986842036247253,0.4126984179019928,0.9252262115478516,0.8666666746139526,0.009046625345945358,0.5591398477554321,0.91459059715271,0.6663492321968079,0.8363636136054993,0.8666666746139526,0.9068378210067748,0.9027426242828368,0.13,0.8616428375244141,0.9252262115478516,0.5568181872367859,0.8666666746139526,0.8777436017990112,0.8166666626930237,0.8666666746139526,0.375,0.8944575786590576,0.8409241437911987
kenn_hybrid_adapter_bert_ms,0,npd7m7rb,0.7166608572006226,0.9143470525741576,0.8728984594345093,0.7666666507720947,0.5820889472961426,0.8346405625343323,0.010438413359224796,0.8596428632736206,0.7666666507720947,0.7666666507720947,0.9200000166893004,0.0357142835855484,0.06850335001945496,0.008002784103155136,116,0.7666667103767395,0.7666667699813843,0.008002784103155136,0.8865692615509033,0.7666666507720947,0.8980262875556946,0.8346405625343323,0.009059756062924862,0.008002784103155136,0.018282989040017128,0.0357142835855484,0.018282989040017128,0.797157883644104,0.8980262875556946,0.018282989040017128,0.7677162885665894,1.0,0.008002784103155136,0.0357142835855484,0.9143470525741576,0.4691415131092071,0.8363636136054993,0.7666667699813843,0.7166608572006226,0.797157883644104,0.99,0.8596428632736206,0.7677162885665894,0.035853467881679535,0.7666666507720947,0.8728984594345093,0.7666666507720947,0.7666667103767395,0.375,0.8865692615509033,0.8679245710372925
