name,test_incremental/macro_example_exclusive/precision/mean,test/micro/f1/mean,test_incremental/micro/recall/mean,test/macro_example/precision/mean,test_incremental_LOCATION-CONTINENT/macro_types/f1/mean,test/macro_example/recall/mean,test_incremental/micro/f1/mean,test_incremental_LOCATION-RIVER/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_LOCATION-CONTINENT/macro_types/precision/mean,test/micro/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_types/f1/mean,test_incremental_LOCATION/macro_types/f1/mean,test_incremental_LOCATION-REGION/macro_types/recall/mean,test_incremental_LOCATION-REGION/macro_types/precision/mean,threshold_incremental/mean,test_incremental/macro_types/precision/mean,test_incremental_LOCATION-RIVER/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_LOCATION-REGION/macro_types/f1/mean,threshold_pretraining/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_LOCATION/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental/micro/precision/mean,test/micro/recall/mean,test/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental_LOCATION-RIVER/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental_LOCATION-CONTINENT/macro_types/recall/mean,test_incremental_only/macro_types/f1/mean,test/macro_types/recall/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_types/f1/mean,test_incremental_LOCATION/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test_pretraining/micro/recall/mean,test_pretraining/micro/precision/mean,test_incremental/macro_example/recall/mean,epoch/mean,test/macro_types/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/precision/std,test/micro/f1/std,test_incremental/micro/recall/std,test/macro_example/precision/std,test_incremental_LOCATION-CONTINENT/macro_types/f1/std,test/macro_example/recall/std,test_incremental/micro/f1/std,test_incremental_LOCATION-RIVER/macro_types/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_LOCATION-CONTINENT/macro_types/precision/std,test/micro/precision/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental/macro_types/f1/std,test_incremental_LOCATION/macro_types/f1/std,test_incremental_LOCATION-REGION/macro_types/recall/std,test_incremental_LOCATION-REGION/macro_types/precision/std,threshold_incremental/std,test_incremental/macro_types/precision/std,test_incremental_LOCATION-RIVER/macro_types/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_LOCATION-REGION/macro_types/f1/std,threshold_pretraining/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental_LOCATION/macro_types/precision/std,test_incremental_only/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental/micro/precision/std,test/micro/recall/std,test/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental_LOCATION-RIVER/macro_types/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/macro_example/f1/std,test_incremental_LOCATION-CONTINENT/macro_types/recall/std,test_incremental_only/macro_types/f1/std,test/macro_types/recall/std,test_incremental_only/micro/f1/std,test_pretraining/macro_types/f1/std,test_incremental_LOCATION/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test_pretraining/micro/recall/std,test_pretraining/micro/precision/std,test_incremental/macro_example/recall/std,epoch/std,test/macro_types/precision/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_types/precision/std
box_adapter_bert_ms,0.7337662180264791,0.6331888238588969,0.7913485964139303,0.5208032329877218,0.8036342263221741,0.84438157081604,0.2974282701810201,0.03184180396298567,0.7969348629315695,0.7518549760182699,0.5066569050153097,0.6877394517262777,0.6438512404759725,0.6419753034909567,0.7497203946113586,0.06053755804896355,0.5208032329877218,0.5692511995633444,0.8990228176116943,0.3472222189108531,0.15000000099341074,0.9866666666666667,0.4589143991470337,0.061472371220588684,0.7382798393567404,0.2086456517378489,0.17499999999999996,0.8464596271514893,0.7508196632067362,0.901960790157318,0.07047993938128154,0.84438157081604,0.183260644475619,0.8443836768468221,0.7957728107770284,0.6331888238588969,0.8888888756434122,0.11260875314474106,0.0563933365046978,0.7758304675420126,0.8246753215789795,0.6438512404759725,0.8666666547457377,0.4305948118368785,0.8464596271514893,0.12696012606223425,0.7957728107770284,0.8961039185523987,0.065347154935201,0.8443836768468221,0.5066569050153097,0.11969839533170064,80.0,0.7508196632067362,0.10650329291820526,0.7009259462356567,0.3112322688102722,0.029220789670949293,0.008520580585144226,0.04423750420388084,0.030229840221355154,0.09969652691364445,0.004413281759228735,0.00676785996575924,0.0018578161996856137,0.1332209875828528,0.1323586416884236,0.013393180047937586,0.1254313961519259,0.021689149483116243,0.10731688671233049,0.06639209548675405,0.010615282600034581,0.030229840221355154,0.055396335323732435,0.0,0.20234446884113833,0.0682112699434618,0.0057735026918962545,0.047799010448093315,0.003409214446195698,0.12945765186901004,0.10437729387581633,0.0,0.013977284663139656,0.010062939636595658,0.0,0.006746210101758401,0.004413281759228735,0.005744072952150546,0.007922212382347485,0.011719006638152148,0.008520580585144226,0.019244990619516757,0.0020449855521387644,0.01028513822975029,0.014089181421461964,0.03615432697414107,0.021689149483116243,0.057735040684065674,0.07703602432760961,0.013977284663139656,0.013016036205562513,0.011719006638152148,0.0,0.010923867479280838,0.007922212382347485,0.013393180047937586,0.005247654754506771,21.0,0.010062939636595658,0.004241280257701865,0.08852281673824079,0.06373200742352665
classifier_adapter_bert_ms,0.5137085119883219,0.7555628418922424,0.8180661598841349,0.7676555116971334,0.31510282556215924,0.8534401456514994,0.5479019482930502,0.17274321615695953,0.4661558270454407,0.197408065199852,0.6754516959190369,0.7432950139045715,0.8082723617553711,0.7067901293436686,0.7601370811462402,0.04687293122212092,0.7676555116971334,0.5031643013159434,0.8874598741531372,0.6666666666666666,0.25856928030649823,0.3433333333333333,0.37692535916964215,0.2758711079756419,0.5716343025366465,0.3719753921031952,0.25,0.8558593193689982,0.717454751332601,0.8789808750152588,0.20959419012069702,0.8534401456514994,0.41237683097521466,0.8573706944783529,0.7805058161417643,0.7555628418922424,0.6888889074325562,0.09280118842919667,0.060948787877957024,0.6393640240033468,0.8492063482602438,0.8082723617553711,0.7888888915379842,0.3235966960589091,0.8558593193689982,0.3228747546672821,0.7805058161417643,0.8961039185523987,0.038223897417386375,0.8573706944783529,0.6754516959190369,0.12325897812843323,19.666666666666668,0.717454751332601,0.07456278055906296,0.7148148616154989,0.2095735271771749,0.028532909515145286,0.006039761216050346,0.05535447503030083,0.003167656399677372,0.05498364752917242,0.0052641034873164684,0.02445262650927081,0.03927954604057909,0.10509079539770459,0.03392608149040983,0.009504272216251764,0.11782777096685058,0.003268631869883234,0.1342858583118442,0.1083600251060356,0.00916046820456402,0.003167656399677372,0.03917302299601535,0.0,0.08333334326744256,0.006116280834270904,0.19425069712444623,0.01933486318110814,0.06233245652310503,0.11171564915155123,0.017414814634582915,0.0,0.022812623756265065,0.00407047778471953,0.0,0.027734785555580295,0.0052641034873164684,0.02102570397161248,0.009913113469120053,0.011545878911236143,0.006039761216050346,0.16777408856145667,0.002673433058418963,0.009661652515814816,0.018418916282663844,0.03788390546240648,0.003268631869883234,0.18358565953722863,0.04361397645787019,0.022812623756265065,0.044887297541182286,0.011545878911236143,0.0,0.008617244325340384,0.009913113469120053,0.009504272216251764,0.005498710240032293,0.5773502691896255,0.00407047778471953,0.0041414438291966825,0.1444800732013508,0.025779798325579625
kenn_bottom_up_adapter_bert_ms,0.7460317413012186,0.7527795235315958,0.8040712475776672,0.7471620043118795,0.5270361403624216,0.8520263830820719,0.5636634131272634,0.21363363415002823,0.7037036816279093,0.4013763964176178,0.6765428781509399,0.7068965832392374,0.7949293653170267,0.6728395024935404,0.764998197555542,0.057194843888282776,0.7471620043118795,0.5366785923639933,0.8874598741531372,0.4305555572112401,0.19713327785332999,0.3133333333333333,0.4227810502052307,0.32458628217379254,0.6975141167640686,0.250557209054629,0.25,0.856882651646932,0.7271085778872172,0.8789808750152588,0.2556547001004219,0.8520263830820719,0.4559154212474823,0.8548644383748373,0.7864662806193033,0.7527795235315958,0.800000011920929,0.11305902401606242,0.05796418463190397,0.7789326906204224,0.8383838335673014,0.7949293653170267,0.9333333174387614,0.3738957494497299,0.856882651646932,0.3509567727645238,0.7864662806193033,0.8961039185523987,0.057702374955018364,0.8548644383748373,0.6765428781509399,0.12168813248475392,65.33333333333333,0.7271085778872172,0.10828358928362529,0.7212963302930196,0.2707144369681676,0.1830071278202925,0.05686649600826343,0.04009148826529655,0.06791333905150192,0.23803288164499012,0.004007978583077992,0.15792828149083407,0.13902700166531515,0.10564803380239232,0.2534329738226706,0.09123515159758673,0.10392609431200796,0.0380558955967772,0.09725894485330976,0.053291565915785946,0.0045775173897936,0.06791333905150192,0.0969944570405637,0.0,0.2294821190635711,0.09603247236429657,0.47437678414245077,0.12060969318353729,0.18384578778496416,0.05582464882836627,0.09297392871784094,0.0,0.011219281041211136,0.025391532119991293,0.0,0.14549789442682912,0.004007978583077992,0.18713484070407777,0.007179766921612355,0.014274294028999879,0.05686649600826343,0.06666666269302368,0.013304383888276978,0.008521744987485803,0.09166204897461042,0.030921586757652362,0.0380558955967772,0.03333333134651631,0.16753884766578872,0.011219281041211136,0.15244923217650597,0.014274294028999879,0.0,0.008662941609567657,0.007179766921612355,0.09123515159758673,0.004488151533273882,35.3459097114975,0.025391532119991293,0.026562762500924486,0.07105537889031624,0.16081290781229637
kenn_hybrid_adapter_bert_ms,0.7422438661257426,0.74604199330012,0.8027989864349365,0.7413543661435446,0.4814368784427643,0.8520787556966146,0.5541096528371176,0.2739016537865003,0.7068965633710226,0.37085455159346264,0.667336642742157,0.7107279896736145,0.7913311322530111,0.6697530945142111,0.7643037438392639,0.057441405951976776,0.7413543661435446,0.5390535593032837,0.8874598741531372,0.4166666616996129,0.2180572102467219,0.37999999999999995,0.4354485869407654,0.36570675671100616,0.7005210717519125,0.25624222060044605,0.25,0.8567364613215128,0.7297754089037577,0.8789808750152588,0.2814380923906962,0.8520787556966146,0.4578451265891393,0.8546365896860758,0.7877462903658549,0.74604199330012,0.8222222129503886,0.11256243288516998,0.05827835202217102,0.7755113840103149,0.838744600613912,0.7913311322530111,0.9222222169240316,0.37202630440394086,0.8567364613215128,0.3555472195148468,0.7877462903658549,0.8961039185523987,0.05796418339014053,0.8546365896860758,0.667336642742157,0.1217404951651891,60.666666666666664,0.7297754089037577,0.10773379604021709,0.7203704317410787,0.28760449091593426,0.19867515427543186,0.06667755531518563,0.03246146509039836,0.0764255385623576,0.2628799864135707,0.003228233105735199,0.19567268865866388,0.27242952698569506,0.11009905914746669,0.29125889865340104,0.10685491845902488,0.07970361568236925,0.04362376618455568,0.07874909411749832,0.04002403735474126,0.0024929535037004884,0.0764255385623576,0.12932545029296763,0.0,0.21143522796983508,0.1500371907432022,0.5071488933242386,0.17785311314143917,0.29092657036880465,0.030402575297438898,0.11284247836549156,0.0,0.008426089967106427,0.03744276102457606,0.0,0.23428826552979293,0.003228233105735199,0.2513026461640361,0.005813333627713487,0.01963843128336106,0.06667755531518563,0.08388702849107246,0.015825560014367253,0.0065355454804485475,0.10903202407641305,0.024175635420499643,0.04362376618455568,0.05091749168001301,0.2176762856061415,0.008426089967106427,0.20929598665529087,0.01963843128336106,0.0,0.009027914157154223,0.005813333627713487,0.10685491845902488,0.003508996317087106,40.5010287935175,0.03744276102457606,0.028836921234731323,0.053365399945098646,0.23713751677269085
kenn_top_down_adapter_bert_ms,0.7424242496490479,0.7521875301996866,0.8129770954449972,0.7389188011487325,0.5677334368228912,0.8533354004224142,0.5543889204661051,0.16002774983644485,0.7713920871416727,0.4267162283261617,0.6729773283004761,0.7394636273384094,0.7914060155550638,0.6944444378217062,0.7844426433245341,0.06165786708394686,0.7389188011487325,0.5536063810189565,0.8874598741531372,0.4305555522441864,0.26877864201863605,0.06666666666666667,0.43362587690353394,0.2644169181585312,0.7519425352414449,0.2947089970111847,0.25,0.8609762191772461,0.7293917139371237,0.8789808750152588,0.2376547853151957,0.8533354004224142,0.43421730399131775,0.8564593195915222,0.7896238962809244,0.7521875301996866,0.8555555542310079,0.11438880115747452,0.06063461924592654,0.7880942424138387,0.8470418651898702,0.7914060155550638,0.9555555383364359,0.39962977170944214,0.8609762191772461,0.34184440473715466,0.7896238962809244,0.8961039185523987,0.06325269242127736,0.8564593195915222,0.6729773283004761,0.12294480949640274,69.0,0.7293917139371237,0.1077599748969078,0.7472222646077474,0.2851742108662923,0.11153488815923482,0.04589317784397956,0.01009829355184826,0.04969172835200734,0.20460338342360324,0.001045901947154562,0.13306030516247355,0.08761594845876308,0.10267078865225751,0.20085526791573582,0.07287266206820425,0.01659054534751052,0.028641762359976855,0.02449769398712918,0.00729164481165056,0.0035594988615370417,0.04969172835200734,0.08622400712939567,0.0,0.114741056375278,0.17849273277259622,0.020816659994661323,0.10118836853488776,0.12668697914864294,0.04340949503507624,0.09689476221396681,0.0,0.0015351005963625249,0.02130283350020265,0.0,0.11910714124872401,0.001045901947154562,0.1548417248669584,0.0018084365800542757,0.01236214583204261,0.04589317784397956,0.10715166255469391,0.008923713857436245,0.0013603911574529908,0.06148089573334897,0.005960590145554573,0.028641762359976855,0.05091751769361268,0.1493333344985765,0.0015351005963625249,0.1302462055085224,0.01236214583204261,0.0,0.008418810810181294,0.0018084365800542757,0.07287266206820425,0.0008651538541876423,32.96968304366907,0.02130283350020265,0.016188855062130632,0.009722215788724885,0.1349177988016257
