name,instance,run_id,test_incremental_only/macro_example/recall,test/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_event/macro_types/recall,test_incremental_event-protest/macro_types/recall,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental_event-natural_disaster/macro_types/recall,threshold_pretraining,test_incremental_event-military_conflict/macro_types/recall,test_incremental_event-protest/macro_types/f1,test_incremental_event-terrorist_attack/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_event-attack/macro_types/recall,test/micro/recall,test_pretraining/macro_types/recall,test_incremental_event-sports_event/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/micro/precision,test_incremental_event/macro_types/precision,epoch,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,test/micro/precision,test_incremental_event-attack/macro_types/f1,test_pretraining/micro/f1,test_incremental/macro_example_exclusive/precision,test_incremental/macro_types/recall,test_incremental_event-natural_disaster/macro_types/precision,test_incremental_event/macro_types/f1,test_incremental_only/macro_example/f1,test_pretraining/micro/precision,test/macro_example/precision,test_incremental_event-sports_event/macro_types/recall,threshold_incremental,test_pretraining/micro/recall,test_incremental_only/macro_types/f1,test_incremental/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_event-military_conflict/macro_types/precision,test/macro_example/recall,test_incremental_event-election/macro_types/recall,test/macro_types/precision,test_incremental_event-natural_disaster/macro_types/f1,test_incremental_event-terrorist_attack/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_event-attack/macro_types/precision,test/micro/f1,test/macro_types/f1,test_incremental/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/recall,test_pretraining/macro_example/precision,test_incremental_event-election/macro_types/f1,test_incremental_event-election/macro_types/precision,test_incremental_event-terrorist_attack/macro_types/recall,test_incremental_only/micro/f1,test_incremental_event-protest/macro_types/precision,test_incremental_event-military_conflict/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/recall,test_incremental_event-sports_event/macro_types/f1,test_incremental/macro_example/recall,test_incremental/micro/f1
no_init_box_kenn_horizontal_adapter_bert_ms,2,32g9udll,0.018847133964300156,0.759131669998169,0.8484129905700684,0.9184549450874328,0.6333333253860474,0.9016772508621216,0.262458473443985,0.9301587343215942,0.9016772508621216,0.35952383279800415,0.11666666716337204,0.25,0.0,0.7755101919174194,0.9666666388511658,0.8012930154800415,0.0,0.8420616984367371,0.759131669998169,0.9230769276618958,0.5009130239486694,0.9634146094322203,0.9184549450874328,61,0.05781598016619682,0.7131463885307312,0.9060133695602416,0.0,0.8728677034378052,0.9120171070098876,0.4293901920318603,1.0,0.9184549450874328,0.02236180566251278,0.9060133695602416,0.9239968061447144,0.800000011920929,0.01,0.8420616984367371,0.4365800619125366,0.0739387571811676,0.027487821877002716,0.3278971016407013,0.0,0.8804105520248413,0.0,0.8484129905700684,0.20895522832870483,0.9666666388511658,0.6010248064994812,0.5556776523590088,0.0,0.8728677034378052,0.8012930154800415,0.5854792594909668,0.27636051177978516,0.8804105520248413,0.9239968061447144,0.0,0.0,0.9666666388511658,0.41253259778022766,1.0,0.0,0.4030612111091614,0.5486891269683838,0.8571428656578064,0.04746578633785248,0.6902238130569458
no_init_box_kenn_horizontal_adapter_bert_ms,1,p5seb00p,0.01733936369419098,0.7555602192878723,0.8475016355514526,0.9184549450874328,0.4333333373069763,0.900970697402954,0.23920266330242157,0.9225806593894958,0.900970697402954,0.33095240592956543,0.0833333358168602,0.25,0.0,0.604651153087616,1.0,0.7988943457603455,0.0,0.8406127095222473,0.7555602192878723,0.8387096524238586,0.48140186071395874,0.9350649118423462,0.9184549450874328,54,0.05709217116236687,0.7042183876037598,0.905462682247162,0.0,0.8718334436416626,0.909871220588684,0.40439021587371826,1.0,0.9184549450874328,0.020494133234024048,0.905462682247162,0.923822820186615,0.8666666746139526,0.01,0.8406127095222473,0.41278716921806335,0.07376478612422943,0.02505219168961048,0.30051088333129883,0.0,0.8792217373847961,0.0,0.8475016355514526,0.1538461595773697,0.9655172228813172,0.5946455597877502,0.5483871102333069,0.0,0.8718334436416626,0.7988943457603455,0.5743919610977173,0.2542516887187958,0.8792217373847961,0.923822820186615,0.0,0.0,0.9333333373069764,0.3809524178504944,1.0,0.0,0.3673469126224518,0.5355805158615112,0.8524589538574219,0.0465669222176075,0.6777251362800598
no_init_box_kenn_horizontal_adapter_bert_ms,0,dfi7yfd4,0.004523312672972679,0.728476881980896,0.8146675825119019,0.9184549450874328,0.0,0.897861123085022,0.08970099687576294,0.9269230961799622,0.897861123085022,0.11428571492433548,0.10000000149011612,0.25,0.0,0.0,1.0,0.7691652178764343,0.0,0.8312978744506836,0.728476881980896,0.0,0.2703973948955536,1.0,0.9184549450874328,36,0.05183325707912445,0.639350950717926,0.9055242538452148,0.0,0.8668249845504761,0.918454885482788,0.21480685472488403,1.0,0.9184549450874328,0.006106472108513117,0.9055242538452148,0.9245187044143676,0.0,0.02,0.8312978744506836,0.16326531767845154,0.07446068525314331,0.009394572116434574,0.08954081684350967,0.0,0.8726977705955505,0.0,0.8146675825119019,0.1818181872367859,0.8235293626785278,0.3648068606853485,0.2857142984867096,0.0,0.8668249845504761,0.7691652178764343,0.4903433620929718,0.06632652878761292,0.8726977705955505,0.9245187044143676,0.0,0.0,0.699999988079071,0.16463415324687958,0.0,0.0,0.13775509595870972,0.4513108730316162,0.0,0.039752960205078125,0.6070529222488403
no_init_box_kenn_hybrid_adapter_bert_ms,2,vk14bg37,0.0024356297217309475,0.7266911864280701,0.7968103885650635,0.9184549450874328,0.0,0.897308349609375,0.06976744532585144,0.9251968264579772,0.897308349609375,0.10000000149011612,0.0,0.25,0.0,0.0,1.0,0.760137140750885,0.0,0.8300558924674988,0.7266911864280701,0.0,0.21946649253368375,1.0,0.9184549450874328,37,0.05093774199485779,0.6283050775527954,0.9053962230682372,0.0,0.8660906553268433,0.918454885482788,0.202306866645813,0.0,0.9184549450874328,0.003653444582596421,0.9053962230682372,0.9245187044143676,0.0,0.03,0.8300558924674988,0.11764705926179886,0.07446068525314331,0.007306889165192843,0.0535714291036129,0.0,0.8716539144515991,0.0,0.7968103885650635,0.0,0.8235293626785278,0.2398068606853485,0.1428571492433548,0.0,0.8660906553268433,0.760137140750885,0.477467805147171,0.0357142873108387,0.8716539144515991,0.9245187044143676,0.0,0.0,0.699999988079071,0.1304347813129425,0.0,0.0,0.1071428582072258,0.4400749206542969,0.0,0.0387091152369976,0.596446692943573
no_init_box_kenn_top_down_adapter_bert_ms,2,blvr26k9,0.005161215551197529,0.7329411506652832,0.8135154843330383,0.9184549450874328,0.0,0.8979884386062622,0.11295680701732635,0.921933114528656,0.8979884386062622,0.15000000596046448,0.0833333358168602,0.25,0.0,0.0,0.9354838728904724,0.771129310131073,0.0,0.8327468633651733,0.7329411506652832,0.0,0.29123759269714355,0.9444444179534912,0.9184549450874328,37,0.05221322923898697,0.6440379023551941,0.9052655100822448,0.0,0.8674932718276978,0.9141631126403807,0.24605686962604523,1.0,0.9184549450874328,0.007186948321759701,0.9052655100822448,0.924170732498169,0.0,0.01,0.8327468633651733,0.1944894790649414,0.07411273568868637,0.011830202303826807,0.10538413375616074,0.0,0.8732486963272095,0.0,0.8135154843330383,0.1538461595773697,0.9508196711540222,0.35674235224723816,0.2764977216720581,0.0,0.8674932718276978,0.771129310131073,0.49713876843452454,0.07568027079105377,0.8732486963272095,0.924170732498169,0.0,0.0,0.9666666388511658,0.20178042352199552,0.0,0.0,0.17346937954425812,0.4644194841384888,0.0,0.040303874760866165,0.6176837086677551
no_init_box_kenn_bottom_up_adapter_bert_ms,2,d7ontwln,0.0027835769578814507,0.728476881980896,0.7968103885650635,0.9184549450874328,0.0,0.8974466323852539,0.07973422110080719,0.9260700345039368,0.8974466323852539,0.11428572237491608,0.0,0.25,0.0,0.0,1.0,0.7611129283905029,0.0,0.8306768536567688,0.728476881980896,0.0,0.22661945223808289,1.0,0.9184549450874328,37,0.051163166761398315,0.6310855746269226,0.9054602980613708,0.0,0.8664579391479492,0.918454885482788,0.21480686962604523,0.0,0.9184549450874328,0.004175365436822176,0.9054602980613708,0.9245187044143676,0.0,0.01,0.8306768536567688,0.1269841343164444,0.07446068525314331,0.008350730873644352,0.06122449040412903,0.0,0.8719148635864258,0.0,0.7968103885650635,0.0,0.888888955116272,0.2398068606853485,0.1428571492433548,0.0,0.8664579391479492,0.7611129283905029,0.4806866645812988,0.04081632941961289,0.8719148635864258,0.9245187044143676,0.0,0.0,0.800000011920929,0.14769230782985687,0.0,0.0,0.12244897335767746,0.44569289684295654,0.0,0.03897007554769516,0.6017698645591736
no_init_box_kenn_hybrid_adapter_bert_ms,1,h8iwd76g,0.016353514045476913,0.7546674013137817,0.8497660756111145,0.9184549450874328,0.6333333253860474,0.9009750485420228,0.23920266330242157,0.9346405267715454,0.9009750485420228,0.32380956411361694,0.13333334028720856,0.25,0.0,0.7755101919174194,0.9655172228813172,0.7993983626365662,0.0,0.8406127095222473,0.7546674013137817,1.0,0.4819638133049011,0.9863013625144958,0.9184549450874328,49,0.056984130293130875,0.7028856873512268,0.9062709212303162,0.0,0.8722079396247864,0.9163089990615844,0.3981401920318603,1.0,0.9184549450874328,0.01978912577033043,0.9062709212303162,0.9243447184562684,0.5666666626930237,0.01,0.8406127095222473,0.41207781434059143,0.07428671419620514,0.02505219355225563,0.290173202753067,0.0,0.8787578344345093,0.0,0.8497660756111145,0.2352941334247589,0.9491525292396544,0.6104965209960938,0.5665024518966675,0.0,0.8722079396247864,0.7993983626365662,0.5701001286506653,0.23979590833187103,0.8787578344345093,0.9243447184562684,0.0,0.0,0.9333333373069764,0.385026752948761,1.0,0.0,0.36734694242477417,0.5355805158615112,0.7234042882919312,0.04621897637844086,0.6809523701667786
no_init_box_kenn_top_down_adapter_bert_ms,1,uhqlynbq,0.027661796659231182,0.7746078372001648,0.8639467358589172,0.9184549450874328,0.699999988079071,0.9035365581512452,0.3488371968269348,0.9219653010368348,0.9035365581512452,0.4833333492279053,0.11666666716337204,0.25,0.0,0.8235293626785278,0.9655172228813172,0.8168417811393738,0.0,0.8474435806274414,0.7746078372001648,0.7941176295280457,0.6118797063827515,0.9292035102844238,0.9184549450874328,58,0.060812655836343765,0.7501096725463867,0.9055518507957458,0.0,0.8755345940589905,0.905579388141632,0.5377235412597656,1.0,0.9184549450874328,0.03148496896028519,0.9055518507957458,0.9234748482704164,0.8999999761581421,0.05,0.8474435806274414,0.5650249719619751,0.07341684401035309,0.036534447222948074,0.46167245507240295,0.0,0.8844410181045532,0.7333333492279053,0.8639467358589172,0.20895522832870483,0.9491525292396544,0.7097612619400024,0.6799478530883789,0.0,0.8755345940589905,0.8168417811393738,0.6402002573013306,0.4056122303009033,0.8844410181045532,0.9234748482704164,0.8461538553237915,1.0,0.9333333373069764,0.5072463750839233,1.0,0.0,0.5357142686843872,0.5973782539367676,0.84375,0.05190211161971092,0.7249999046325684
no_init_box_kenn_bottom_up_adapter_bert_ms,1,7zdfgilg,0.026791928336024284,0.7728221416473389,0.8643764853477478,0.9184549450874328,0.6666666865348816,0.903377652168274,0.33887043595314026,0.9239766001701356,0.903377652168274,0.4690476655960083,0.11666666716337204,0.25,0.0,0.800000011920929,0.9655172228813172,0.8160393834114075,0.0,0.8468226194381714,0.7728221416473389,0.8181818127632141,0.6047905087471008,0.9357798099517822,0.9184549450874328,58,0.060551997274160385,0.7468945980072021,0.9056895971298218,0.0,0.8752673864364624,0.9077253341674804,0.5252234935760498,1.0,0.9184549450874328,0.030533818528056145,0.9056895971298218,0.9236488342285156,0.8999999761581421,0.01,0.8468226194381714,0.5562845468521118,0.07359081506729126,0.03549060970544815,0.44772547483444214,0.0,0.8839770555496216,0.6666666865348816,0.8643764853477478,0.20895522832870483,0.9491525292396544,0.7127692699432373,0.6833856105804443,0.0,0.8752673864364624,0.8160393834114075,0.6344778537750244,0.3928571343421936,0.8839770555496216,0.9236488342285156,0.800000011920929,1.0,0.9333333373069764,0.4975610077381134,1.0,0.0,0.5204081535339355,0.5917602777481079,0.8571428060531616,0.05143818259239197,0.7214612364768982
no_init_box_kenn_hybrid_adapter_bert_ms,0,q25qpso2,0.025690095499157906,0.7690527439117432,0.8853177428245544,0.9184549450874328,0.7333333492279053,0.8791253566741943,0.35880398750305176,0.5094936490058899,0.8791253566741943,0.4388929009437561,0.20000000298023224,0.25,0.018518518656492233,0.8461538553237915,1.0,0.8230997920036316,0.2537313401699066,0.8480646014213562,0.7690527439117432,0.03333333507180214,0.6312498450279236,0.27067670226097107,0.9184549450874328,53,0.06084442883729935,0.7505016326904297,0.8522987365722656,0.4047618806362152,0.8501763343811035,0.918454885482788,0.4988381266593933,0.9230769276618958,0.9184549450874328,0.03051728941500187,0.8522987365722656,0.8742983341217041,0.3333333432674408,0.01,0.8480646014213562,0.5790950059890747,0.07446068525314331,0.037578288465738297,0.4474831223487854,1.0,0.8840060234069824,0.6666666865348816,0.8853177428245544,0.3287671208381653,0.9285714626312256,0.8593581318855286,0.850915789604187,1.0,0.8501763343811035,0.8230997920036316,0.6344778537750244,0.37670066952705383,0.8840060234069824,0.8742983341217041,0.800000011920929,1.0,0.8666666746139526,0.3085714280605316,1.0,0.036363635212183,0.5510203838348389,0.6029962301254272,0.06060606613755226,0.05143818259239197,0.5523155927658081
