name,instance,run_id,test_incremental_event-military_conflict/macro_types/f1,test/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test/macro_example/precision,test_incremental/micro/recall,test_pretraining/macro_types/precision,test_incremental_event-election/macro_types/f1,test_incremental_event-sports_event/macro_types/f1,test_incremental_event-sports_event/macro_types/precision,test_incremental_event-natural_disaster/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/precision,test_incremental_event-protest/macro_types/recall,test_incremental/macro_example_exclusive/precision,test/micro/precision,test_incremental/macro_example/f1,test/micro/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example/precision,test/micro/recall,test_incremental_event/macro_types/precision,test/macro_example/f1,test_incremental/macro_example/recall,test_incremental_event/macro_types/f1,test_pretraining/macro_example/precision,test_incremental_event-military_conflict/macro_types/recall,threshold_incremental,test_incremental/micro/precision,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental_event-terrorist_attack/macro_types/f1,test_incremental_only/micro/f1,test_incremental_event-terrorist_attack/macro_types/precision,test/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/recall,test_incremental_event-election/macro_types/precision,test_incremental_event/macro_types/recall,test_incremental_event-attack/macro_types/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_types/recall,test_incremental/macro_example/precision,epoch,test/macro_example/recall,test_incremental/macro_types/f1,test_pretraining/micro/f1,test/macro_types/f1,test_incremental/micro/f1,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_types/recall,test_incremental_event-sports_event/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/recall,test_incremental_event-military_conflict/macro_types/precision,test_incremental_event-natural_disaster/macro_types/precision,test_incremental_event-attack/macro_types/precision,test_pretraining/micro/recall,test_incremental_only/macro_types/recall,test_incremental_event-protest/macro_types/f1,test_incremental_event-election/macro_types/recall,test_incremental_event-terrorist_attack/macro_types/recall,test_incremental_only/macro_types/precision,test_incremental_event-attack/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_event-natural_disaster/macro_types/f1,threshold_pretraining,test_incremental_event-protest/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,0kr56ya1,0.0,0.7594292759895325,0.295918345451355,0.8013091683387756,0.9239968061447144,0.550561785697937,0.8480777144432068,0.0,0.8852458596229553,0.8709677457809448,0.13333334028720856,0.905832588672638,0.5986778140068054,0.6000000238418579,0.9120171070098876,0.905832588672638,0.05820149928331375,0.8728950023651123,0.9019205570220948,0.027835769578814507,0.842268705368042,0.9184549450874328,0.9019205570220948,0.04798770695924759,0.9184549450874328,0.9239968061447144,0.0,0.01,0.9274448156356812,0.880874514579773,0.7179017663002014,0.9473683834075928,0.4155844151973725,1.0,0.8480777144432068,0.34309375286102295,0.5919170379638672,0.0,0.9184549450874328,0.0,0.023398183286190033,0.7594292759895325,0.0739387646317482,31,0.880874514579773,0.5015061497688293,0.8728950023651123,0.8013091683387756,0.6909517645835876,0.43749403953552246,0.9523809552192688,0.4314735233783722,0.8999999761581421,0.2657807171344757,0.02018093317747116,0.0,1.0,0.0,0.842268705368042,0.3619047999382019,0.75,0.0,0.8999999761581421,0.5529954433441162,0.0,0.40816324949264526,0.2352941334247589,0.25,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,1,su1zqp3n,0.0,0.7549649477005005,0.27125847339630127,0.798783004283905,0.923822820186615,0.5355805158615112,0.8480008840560913,0.0,0.8666666746139526,0.8666666746139526,0.11666666716337204,0.905664563179016,0.5981401801109314,0.6666666865348816,0.909871220588684,0.905664563179016,0.05743950232863426,0.8719269633293152,0.9012141227722168,0.02505219355225563,0.8406127095222473,0.9184549450874328,0.9012141227722168,0.04703085124492645,0.9184549450874328,0.923822820186615,0.0,0.01,0.92556631565094,0.879685640335083,0.7085027098655701,0.7755101919174194,0.3819628655910492,1.0,0.8480008840560913,0.312073677778244,0.580114483833313,0.0,0.9184549450874328,0.0,0.021282687783241272,0.7549649477005005,0.07376478612422943,34,0.879685640335083,0.47956424951553345,0.8719269633293152,0.798783004283905,0.6785290837287903,0.4101690649986267,0.9473684430122375,0.4002235233783722,0.8666666746139526,0.23920266330242157,0.01849918812513351,0.0,1.0,0.0,0.8406127095222473,0.3261905014514923,0.800000011920929,0.0,0.6333333253860474,0.5523809790611267,0.0,0.36734694242477417,0.20895522832870483,0.25,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,0,rsf1iau9,0.0,0.7299649715423584,0.07482992857694626,0.7699939012527466,0.9245187044143676,0.4569288492202759,0.8146675825119019,0.0,0.0,0.0,0.11666666716337204,0.9055880904197692,0.3648068606853485,0.0,0.918454885482788,0.9055880904197692,0.0521281361579895,0.867191731929779,0.8980145454406738,0.010438414290547373,0.8319188356399536,0.9184549450874328,0.8980145454406738,0.040100906044244766,0.9184549450874328,0.9245187044143676,0.0,0.01,0.927756667137146,0.872987687587738,0.6429882049560547,0.8679245114326477,0.1812688708305359,1.0,0.8146675825119019,0.10051781684160233,0.4946352243423462,0.0,0.9184549450874328,0.0,0.00685507757589221,0.7299649715423584,0.07446068525314331,21,0.872987687587738,0.2785046100616455,0.867191731929779,0.7699939012527466,0.6122961044311523,0.1750619411468506,1.0,0.22522352635860443,0.0,0.09966777265071868,0.005103223957121372,0.0,1.0,0.0,0.8319188356399536,0.12619048357009888,0.0,0.0,0.7666666507720947,0.2857142984867096,0.0,0.15306122601032257,0.20895522832870483,0.25,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,lowie2rj,0.0,0.776095986366272,0.42517006397247314,0.8160722255706787,0.9234748482704164,0.601123571395874,0.8603904843330383,0.888888955116272,0.9032257795333862,0.875,0.10000000149011612,0.9055936336517334,0.6848673820495605,0.6666666865348816,0.9077253341674804,0.9055936336517334,0.06126926466822624,0.8757750988006592,0.9040204882621764,0.037230342626571655,0.8478575944900513,0.9184549450874328,0.9040204882621764,0.05248202383518219,0.9184549450874328,0.9234748482704164,0.0,0.01,0.9224137663841248,0.885368824005127,0.7557418942451477,0.9508196711540222,0.5144230723381042,0.9354838728904724,0.8603904843330383,0.4780370891094208,0.6473533511161804,1.0,0.9184549450874328,0.0,0.032600998878479004,0.776095986366272,0.07359081506729126,31,0.885368824005127,0.6089229583740234,0.8757750988006592,0.8160722255706787,0.7278910875320435,0.5627215504646301,0.9304347634315492,0.5481401681900024,0.9333333373069764,0.35548171401023865,0.02899559400975704,0.0,0.75,0.0,0.8478575944900513,0.49523812532424927,0.800000011920929,0.800000011920929,0.9666666388511658,0.6514977216720581,0.0,0.545918345451355,0.1764705926179886,0.25,1.0
no_init_box_kenn_top_down_adapter_bert_ms,2,jrk8geqg,0.13793103396892548,0.7821806073188782,0.4829931855201721,0.8220816850662231,0.9176177382469176,0.6292135119438171,0.866272509098053,0.9090909361839294,0.892307698726654,0.8285714387893677,0.20000000298023224,0.8958378434181213,0.7260413765907288,0.7666666507720947,0.9120171666145324,0.8958378434181213,0.06285212188959122,0.8728237748146057,0.9022402167320251,0.042449548840522766,0.8509625196456909,0.9184549450874328,0.9022402167320251,0.05465669184923172,0.9184549450874328,0.9176177382469176,0.07407407462596893,0.01,0.8115941882133484,0.8873695135116577,0.7752660512924194,0.9354838132858276,0.5062240362167358,0.90625,0.866272509098053,0.5439246296882629,0.6741774082183838,1.0,0.9184549450874328,0.0,0.03709437698125839,0.7821806073188782,0.0739387571811676,31,0.8873695135116577,0.651435136795044,0.8728237748146057,0.8220816850662231,0.7088607549667358,0.6116114258766174,0.6740331649780273,0.5907328128814697,0.9666666388511658,0.4053156077861786,0.03293899446725845,1.0,0.19672131538391113,0.0,0.8509625196456909,0.5439153909683228,0.8518518805503845,0.8333333134651184,0.9666666388511658,0.6985538005828857,0.0,0.6224489212036133,0.19834710657596588,0.25,0.9583333134651184
no_init_box_kenn_bottom_up_adapter_bert_ms,2,c5t31yqk,0.0,0.7769888043403625,0.4353741407394409,0.8159018158912659,0.9233588576316832,0.6048688888549805,0.8589180707931519,0.9090909361839294,0.9032257795333862,0.875,0.11666666716337204,0.9054352641105652,0.6745606660842896,0.6666666865348816,0.909871220588684,0.9054352641105652,0.06156640127301216,0.8759217262268066,0.9041462540626526,0.03792623430490494,0.8482716083526611,0.9184549450874328,0.9041462540626526,0.05282997339963913,0.9184549450874328,0.9233588576316832,0.0,0.01,0.9202279448509216,0.8857167959213257,0.7594069838523865,0.9666666388511658,0.5202863812446594,0.9666666388511658,0.8589180707931519,0.4883956909179687,0.6516451835632324,1.0,0.9184549450874328,0.0,0.033307433128356934,0.7769888043403625,0.07376478612422943,33,0.8857167959213257,0.6086001396179199,0.8759217262268066,0.8159018158912659,0.7299434542655945,0.5627923607826233,0.9237288236618042,0.5543901920318604,0.9333333373069764,0.3621262311935425,0.029691489413380623,0.0,0.6363636255264282,0.0,0.8482716083526611,0.5023809671401978,0.800000011920929,0.8333333134651184,0.9666666388511658,0.6397186517715454,0.0,0.5561224222183228,0.19718308746814728,0.25,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,1,aq2f00k6,0.0,0.7762869596481323,0.4192176461219787,0.8267273306846619,0.9239968061447144,0.6142321825027466,0.884178102016449,0.8461538553237915,0.8771929740905762,0.92592591047287,0.0833333358168602,0.9067403078079224,0.8513809442520142,0.6666666865348816,0.9120171070098876,0.9067403078079224,0.06156768277287483,0.8770842552185059,0.9040586948394777,0.03966597467660904,0.849306583404541,0.9184549450874328,0.9040586948394777,0.052742984145879745,0.9184549450874328,0.9239968061447144,0.0,0.01,0.937142848968506,0.8849629163742065,0.759422779083252,0.9666666388511658,0.5454545617103577,0.9666666388511658,0.884178102016449,0.4872470498085022,0.6505722403526306,1.0,0.9184549450874328,0.1940298527479172,0.033229097723960876,0.7762869596481323,0.0739387571811676,31,0.8849629163742065,0.6678969264030457,0.8770842552185059,0.8267273306846619,0.7420814037322998,0.6248142123222351,0.9743589758872986,0.549477219581604,0.8333333134651184,0.37873753905296326,0.028589654713869095,0.0,1.0,1.0,0.849306583404541,0.4967661798000336,0.800000011920929,0.7333333492279053,0.9666666388511658,0.8417990207672119,0.32500001788139343,0.5816326141357422,0.1538461595773697,0.25,1.0
no_init_box_kenn_top_down_adapter_bert_ms,1,jcjk2qrf,0.036363635212183,0.7813795804977417,0.46768707036972046,0.8352744579315186,0.9229528903961182,0.6329588294029236,0.8971549272537231,0.9090909361839294,0.8615384697914124,0.800000011920929,0.11666666716337204,0.9051496386528016,0.942218542098999,0.699999988079071,0.8991416096687317,0.9051496386528016,0.06232009083032608,0.8774399757385254,0.9043741226196288,0.04314544424414635,0.8513765335083008,0.9184549450874328,0.9043741226196288,0.054424725472927094,0.9184549450874328,0.9229528903961182,0.018518518656492233,0.01,0.9159891605377196,0.8865286707878113,0.7687036991119385,0.9354838132858276,0.5675057172775269,0.90625,0.8971549272537231,0.5378039479255676,0.6713161468505859,1.0,0.9184549450874328,0.1940298527479172,0.03667696192860603,0.7813795804977417,0.07289492338895798,31,0.8865286707878113,0.7219277620315552,0.8774399757385254,0.8352744579315186,0.7486157417297363,0.6854113936424255,0.911764681339264,0.5851254463195801,0.9333333373069764,0.4119601249694824,0.03189515322446823,1.0,1.0,1.0,0.8513765335083008,0.5375069379806519,0.7924527525901794,0.8333333134651184,0.9666666388511658,0.9456133842468262,0.32500001788139343,0.632652997970581,0.20895522832870483,0.25,0.91304349899292
no_init_box_kenn_bottom_up_adapter_bert_ms,1,59lr6mfx,0.0,0.7762869596481323,0.4217686653137207,0.8267480134963989,0.9239968061447144,0.6142321825027466,0.8842253684997559,0.8461538553237915,0.8965517282485962,0.9285714030265808,0.0833333358168602,0.9067403078079224,0.851711630821228,0.6333333253860474,0.9120171070098876,0.9067403078079224,0.06160717457532883,0.8770842552185059,0.9040889739990234,0.03966597467660904,0.849306583404541,0.9184549450874328,0.9040889739990234,0.0528009757399559,0.9184549450874328,0.9239968061447144,0.0,0.01,0.937142848968506,0.885020911693573,0.7599099278450012,0.9666666388511658,0.5454545617103577,0.9666666388511658,0.8842253684997559,0.4889656901359558,0.6512875556945801,1.0,0.9184549450874328,0.1940298527479172,0.03334631025791168,0.7762869596481323,0.0739387571811676,32,0.885020911693573,0.667998731136322,0.8770842552185059,0.8267480134963989,0.7420814037322998,0.6249183416366577,0.9743589758872986,0.5494772791862488,0.8666666746139526,0.37873753905296326,0.028763629496097565,0.0,1.0,1.0,0.849306583404541,0.496766209602356,0.7755101919174194,0.7333333492279053,0.9666666388511658,0.8421768546104431,0.32500001788139343,0.5816326141357422,0.1538461595773697,0.25,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,0,e8b04huu,0.0,0.7752697467803955,0.4404761791229248,0.8261212706565857,0.9243447184562684,0.6254681944847107,0.8841120004653931,0.7755101919174194,0.7755101919174194,1.0,0.2666666805744171,0.9070640206336976,0.8509179353713989,0.7666666507720947,0.918454885482788,0.9070640206336976,0.06232035532593727,0.8778976798057556,0.9046941995620728,0.041753653436899185,0.8505485653877258,0.9184549450874328,0.9046941995620728,0.05358385667204857,0.9184549450874328,0.9243447184562684,0.0,0.01,0.9408450722694396,0.8858617544174194,0.7687067985534668,0.9285714626312256,0.5673758387565613,1.0,0.8841120004653931,0.5123471021652222,0.6609442234039307,1.0,0.9184549450874328,0.2537313401699066,0.03494086116552353,0.7752697467803955,0.07446068525314331,29,0.8858617544174194,0.6624695658683777,0.8778976798057556,0.8261212706565857,0.7514060735702515,0.6181951761245728,0.9836065769195556,0.5423566102981567,0.6333333253860474,0.3986710906028747,0.030039433389902115,0.0,0.8888888955116272,1.0,0.8505485653877258,0.4886283278465271,0.8679245114326477,0.6333333253860474,0.8666666746139526,0.8412699103355408,0.4047618806362152,0.6122448444366455,0.41025641560554504,0.25,1.0
