name,instance,run_id,test_incremental_location-bridge/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental_location-city/macro_types/recall,test/micro/recall,test_incremental_location-country/macro_types/recall,test_pretraining/micro/precision,test_incremental_location/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_only/micro/f1,test_incremental/micro/precision,test_incremental_location-country/macro_types/f1,test_pretraining/micro/recall,test_incremental/macro_types/f1,test_incremental_only/micro/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental/macro_example/recall,test_incremental_location/macro_types/recall,test_incremental_location-province/macro_types/recall,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_location-county/macro_types/recall,test_incremental_location-province/macro_types/precision,test_pretraining/macro_types/precision,test/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_location-bridge/macro_types/precision,test_incremental_location/macro_types/precision,test_incremental_location-city/macro_types/f1,test_pretraining/micro/f1,test/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_location-cemetery/macro_types/f1,test_incremental_location-cemetery/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_location-body_of_water/macro_types/recall,test/micro/f1,test/macro_example/recall,test_pretraining/macro_example/f1,test/micro/precision,test_pretraining/macro_types/f1,test_incremental/macro_types/recall,test_incremental/macro_types/precision,test_incremental_location-cemetery/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_location-body_of_water/macro_types/f1,test_incremental_location-body_of_water/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test/macro_example/precision,test_incremental/micro/f1,test_incremental/macro_example/precision,test_incremental_location-county/macro_types/f1,test_incremental_location-bridge/macro_types/f1,test_incremental_location-country/macro_types/precision,epoch,test/macro_types/f1,test_incremental_only/micro/precision,threshold_incremental,test_incremental/micro/recall,test_incremental_only/macro_types/precision,test_incremental_location-province/macro_types/f1,test_incremental_location-city/macro_types/precision,threshold_pretraining,test_pretraining/macro_types/recall,test_incremental_only/macro_example/precision,test/macro_example/f1,test_incremental/macro_example/f1,test_incremental_location-county/macro_types/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,kwz2uza2,0.8387096524238586,0.7737789154052734,0.0,0.827228307723999,0.06956521421670914,0.9003322124481201,0.9327411651611328,0.29216891527175903,0.3095722794532776,0.8961325883865356,0.13008129596710205,0.827228307723999,0.5030255913734436,0.1979166716337204,0.2451612800359726,0.2094641625881195,0.9447301030158995,0.07692307978868484,0.8425787687301636,0.2250946909189224,0.23333333432674408,1.0,0.872372567653656,0.7507122755050659,0.9248071908950806,0.48148149251937866,0.921052634716034,0.0,0.8622335195541382,0.872372567653656,0.024279529228806496,0.02244258858263493,0.4057970941066742,0.875,0.9209522008895874,0.5625,0.8622335195541382,0.8719505071640015,0.8957816958427429,0.9003322124481201,0.8069828748703003,0.3737390339374542,0.7690668106079102,0.2641509473323822,0.8719505071640015,0.7200000286102295,1.0,0.4201035797595978,0.2080645114183426,0.9209522008895874,0.7847121357917786,0.25034797191619873,0.3684210479259491,0.611764669418335,1.0,61,0.8069828748703003,0.7102803587913513,0.01,0.6979345679283142,0.7473545074462891,0.1428571343421936,0.0,0.25,0.7507122755050659,0.026443980634212497,0.8957816958427429,0.22808849811553955,0.875
no_init_box_kenn_top_down_adapter_bert_ms,2,thk82bi9,0.8387096524238586,0.7744216322898865,0.0,0.8274317979812622,0.06956521421670914,0.9001549482345581,0.9327411651611328,0.29583191871643066,0.31237322092056274,0.8952590823173523,0.13008129596710205,0.8274317979812622,0.5056835412979126,0.2005208283662796,0.24838709831237793,0.20963814854621887,0.9447301030158995,0.10256410390138626,0.8426925539970398,0.22834183275699615,0.23333333432674408,1.0,0.8722162842750549,0.7511701583862305,0.9241645336151124,0.4727272689342499,0.921052634716034,0.0,0.8622627258300781,0.8722162842750549,0.02462977170944214,0.022790536284446716,0.4057970941066742,0.875,0.9208362698554992,0.5625,0.8622627258300781,0.872124433517456,0.8958187103271484,0.9001549482345581,0.8071804046630859,0.3769441843032837,0.767972469329834,0.2641509473323822,0.872124433517456,0.7200000286102295,1.0,0.423675537109375,0.21129031479358673,0.9208362698554992,0.7849202752113342,0.25017398595809937,0.3684210479259491,0.604651153087616,1.0,61,0.8071804046630859,0.7064220309257507,0.03,0.6987951993942261,0.7461038827896118,0.1860465109348297,0.0,0.25,0.7511701583862305,0.026791928336024284,0.8958187103271484,0.22811929881572723,0.875
no_init_box_kenn_bottom_up_adapter_bert_ms,2,gvf4gliy,0.8064516186714172,0.7746358513832092,0.0357142873108387,0.8274317979812622,0.06086956337094307,0.900354266166687,0.9327411651611328,0.29348689317703247,0.3130081295967102,0.8962472677230835,0.1147540956735611,0.8274317979812622,0.5264243483543396,0.2005208283662796,0.24838709831237793,0.20969612896442413,0.9447301030158995,0.07692307978868484,0.8430865406990051,0.22928039729595184,0.2666666805744171,1.0,0.88872891664505,0.7508770227432251,0.9248071908950806,0.48076921701431274,0.921052634716034,0.06896552443504333,0.8623541593551636,0.88872891664505,0.02473101019859314,0.022964509204030037,0.38235294818878174,0.8666666746139526,0.9208942651748656,0.5625,0.8623541593551636,0.872327446937561,0.8959531784057617,0.900354266166687,0.8140079379081726,0.37489229440689087,0.8835610747337341,0.24528302252292633,0.872327446937561,0.7200000286102295,1.0,0.43994784355163574,0.2129032164812088,0.9208942651748656,0.7852998375892639,0.25034794211387634,0.4000000059604645,0.6024096608161926,1.0,69,0.8140079379081726,0.7129629850387573,0.01,0.6987951993942261,0.8782051801681519,0.1428571343421936,1.0,0.25,0.7508770227432251,0.026791928336024284,0.8959531784057617,0.2282259315252304,0.800000011920929
no_init_box_kenn_hybrid_adapter_bert_ms,1,0pjxbxfq,0.8709677457809448,0.7722793817520142,0.0,0.8264143466949463,0.03478260710835457,0.9006431698799133,0.9327411651611328,0.2907901406288147,0.2969072163105011,0.8976640701293945,0.06722688674926758,0.8264143466949463,0.5084266066551208,0.1875,0.23225808143615723,0.2090582251548767,0.9447301030158995,0.05128205195069313,0.8422209024429321,0.21677421033382416,0.13333334028720856,1.0,0.8768486976623535,0.7505398988723755,0.9260925054550172,0.4821428656578064,0.921052634716034,0.0,0.8619335889816284,0.8768486976623535,0.023382047191262245,0.021920669823884964,0.3692307472229004,1.0,0.9211552143096924,0.71875,0.8619335889816284,0.8716779947280884,0.8957338929176331,0.9006431698799133,0.8087925910949707,0.3725326359272003,0.8003994226455688,0.2264150977134705,0.8716779947280884,0.8363636136054993,1.0,0.4241081178188324,0.2032258063554764,0.9211552143096924,0.7831149697303772,0.2506958842277527,0.2352941334247589,0.6206896901130676,1.0,56,0.8087925910949707,0.7128713130950928,0.01,0.6944922804832458,0.78316330909729,0.09756097942590714,0.0,0.25,0.7505398988723755,0.02505219355225563,0.8957338929176331,0.22799159586429596,1.0
no_init_box_kenn_top_down_adapter_bert_ms,1,2h3172wn,0.8709677457809448,0.7911311388015747,0.1785714328289032,0.832926332950592,0.043478261679410934,0.8946447968482971,0.9327411651611328,0.39144366979599,0.3774954676628113,0.8694300651550293,0.08196721225976944,0.832926332950592,0.5911924242973328,0.2708333432674408,0.3354838788509369,0.2141614556312561,0.9447301030158995,0.07692307978868484,0.8444725275039673,0.3131182789802551,0.5,1.0,0.8803813457489014,0.7631216049194336,0.9055269956588744,0.3333333432674408,0.921052634716034,0.28846150636672974,0.862683117389679,0.8803813457489014,0.03377406671643257,0.031663186848163605,0.3692307472229004,1.0,0.9170957803726196,0.84375,0.862683117389679,0.8766362071037292,0.8964097499847412,0.8946447968482971,0.8175684213638306,0.4606044590473175,0.8251280784606934,0.2264150977134705,0.8766362071037292,0.9152542352676392,1.0,0.5281161069869995,0.2935483753681183,0.9170957803726196,0.78890460729599,0.24512875080108645,0.6382978558540344,0.4821428656578064,0.7142857313156128,66,0.8175684213638306,0.6227545142173767,0.01,0.7220309972763062,0.8114246129989624,0.1428571343421936,0.75,0.25,0.7631216049194336,0.03618650138378143,0.8964097499847412,0.2286011278629303,0.8823529481887817
no_init_box_kenn_bottom_up_adapter_bert_ms,1,psdzp4nt,0.8387096524238586,0.7791345119476318,0.095238097012043,0.8286527991294861,0.03478260710835457,0.9012837409973145,0.9327411651611328,0.3194301724433899,0.3360323905944824,0.900881052017212,0.06722688674926758,0.8286527991294861,0.5540875792503357,0.2161458283662796,0.26774194836616516,0.21091395616531372,0.9447301030158995,0.05128205195069313,0.8468173146247864,0.25148922204971313,0.3333333432674408,1.0,0.8930405378341675,0.7541199326515198,0.9273778796195984,0.5,0.921052634716034,0.17204302549362183,0.8634434938430786,0.8930405378341675,0.027126537635922432,0.02557411417365074,0.3692307472229004,1.0,0.921329140663147,0.65625,0.8634434938430786,0.8735916614532471,0.8968256115913391,0.9012837409973145,0.817721962928772,0.3975926041603088,0.9137426614761353,0.2264150977134705,0.8735916614532471,0.7924528121948242,1.0,0.4732353687286377,0.23709677159786224,0.921329140663147,0.7903381586074829,0.2510438561439514,0.5,0.6265060305595398,1.0,74,0.817721962928772,0.7545454502105713,0.02,0.7039586901664734,0.9126984477043152,0.09756097942590714,0.8888888955116272,0.25,0.7541199326515198,0.02887961082160473,0.8968256115913391,0.22923588752746585,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,0,psyywnjo,0.9032257795333862,0.7973436117172241,0.1666666716337204,0.8353683352470398,0.043478261679410934,0.8904555439949036,0.9327411651611328,0.4273662567138672,0.3959044814109802,0.8510000109672546,0.0833333358168602,0.8353683352470398,0.6126141548156738,0.3020833432674408,0.37419354915618896,0.21584320068359375,0.9447301030158995,0.10256410390138626,0.8411737084388733,0.3455429971218109,0.46666666865348816,1.0,0.8784304261207581,0.7676119804382324,0.8901028633117676,0.30434781312942505,0.921052634716034,0.28282830119132996,0.8620327115058899,0.8784304261207581,0.037271514534950256,0.0346207395195961,0.5,0.5897436141967773,0.9151067733764648,0.875,0.8620327115058899,0.8776220083236694,0.8959725499153137,0.8904555439949036,0.819290816783905,0.49203673005104065,0.8114715814590454,0.43396225571632385,0.8776220083236694,0.9180327653884888,0.9655172228813172,0.5560987591743469,0.32096773386001587,0.9151067733764648,0.7872340083122253,0.2409533858299255,0.5833333134651184,0.4552845358848572,1.0,67,0.819290816783905,0.5742574334144592,0.01,0.7323579788208008,0.7958171367645264,0.1860465109348297,0.9333333373069764,0.25,0.7676119804382324,0.04036186635494232,0.8959725499153137,0.2277081310749054,0.7777777910232544
no_init_box_kenn_top_down_adapter_bert_ms,0,d09cqqb1,0.9354838728904724,0.8052698969841003,0.25,0.8380138278007507,0.06086956337094307,0.8855913877487183,0.9327411651611328,0.4603519141674042,0.4121405780315399,0.8307692408561707,0.1147540956735611,0.8380138278007507,0.6308921575546265,0.3359375,0.4161290228366852,0.21798887848854065,0.9447301030158995,0.10256410390138626,0.837653398513794,0.38584935665130615,0.5333333611488342,1.0,0.8767589926719666,0.7717351913452148,0.8727506399154663,0.24576270580291748,0.921052634716034,0.3925233781337738,0.8611460328102112,0.8767589926719666,0.04161910712718963,0.03879610449075699,0.5,0.5897436141967773,0.9118592143058776,0.90625,0.8611460328102112,0.8795647621154785,0.8954208493232727,0.8855913877487183,0.82090163230896,0.5208991765975952,0.7997717261314392,0.43396225571632385,0.8795647621154785,0.9354838132858276,0.9666666388511658,0.5796606540679932,0.35967740416526794,0.9118592143058776,0.7847411632537842,0.23625609278678897,0.6274510025978088,0.38926175236701965,1.0,67,0.82090163230896,0.5330578684806824,0.01,0.7435455918312073,0.7824459671974182,0.1860465109348297,0.91304349899292,0.25,0.7717351913452148,0.04488518089056015,0.8954208493232727,0.22675517201423645,0.761904776096344
no_init_box_kenn_bottom_up_adapter_bert_ms,0,0a8n94q7,0.8709677457809448,0.7842758893966675,0.02380952425301075,0.8308913111686707,0.03478260710835457,0.8969683647155762,0.9327411651611328,0.3666982352733612,0.35606062412261963,0.8800424337387085,0.06722688674926758,0.8308913111686707,0.5863355398178101,0.2447916716337204,0.3032258152961731,0.2123057246208191,0.9447301030158995,0.05128205195069313,0.8438587188720703,0.27882832288742065,0.4333333373069763,1.0,0.8886085748672485,0.7600284814834595,0.9132391214370728,0.36986300349235535,0.921052634716034,0.04651162773370743,0.8626663684844971,0.8886085748672485,0.030075429007411003,0.027835769578814507,0.5974025726318359,0.9583333134651184,0.9187021851539612,0.71875,0.8626663684844971,0.8742585182189941,0.8959295153617859,0.8969683647155762,0.8193044662475586,0.4389522075653076,0.8827186226844788,0.43396225571632385,0.8742585182189941,0.8363636136054993,1.0,0.5172002911567688,0.25806450843811035,0.9187021851539612,0.7880227565765381,0.24721641838550568,0.5652173757553101,0.5192307829856873,1.0,67,0.8193044662475586,0.6527777910232544,0.03,0.7134250998497009,0.877242386341095,0.09756097942590714,1.0,0.25,0.7600284814834595,0.03270702809095383,0.8959295153617859,0.2284349650144577,0.8125
no_init_box_kenn_horizontal_adapter_bert_ms,2,5pflidhl,0.0,0.7343616485595703,0.0,0.8131868243217468,0.0,0.9050962924957277,0.9327411651611328,0.03125,0.03580562770366669,0.921739101409912,0.0,0.8131868243217468,0.18115438520908356,0.01822916604578495,0.022580645978450775,0.19879376888275144,0.9447301030158995,0.0,0.8263676762580872,0.022580644115805622,0.0,0.0,0.7968103885650635,0.718097448348999,0.9447301030158995,0.0,0.921052634716034,0.0,0.8566834926605225,0.7968103885650635,0.0024356297217309475,0.0024356297217309475,0.0,0.0,0.9245187044143676,0.21875,0.8566834926605225,0.8640354871749878,0.8932544589042664,0.9050962924957277,0.7554089426994324,0.14543500542640686,0.24013158679008484,0.0,0.8640354871749878,0.3589743673801422,1.0,0.05128205195069313,0.022580645978450775,0.9245187044143676,0.7544483542442322,0.255741149187088,0.0,0.0,0.0,37,0.7554089426994324,1.0,0.01,0.6385542154312134,0.1428571492433548,0.0,0.0,0.25,0.718097448348999,0.0024356297217309475,0.8932544589042664,0.22370007634162903,0.0
