name,instance,run_id,test_incremental_location-province/macro_types/precision,test_pretraining/micro/f1,test_incremental_location-cemetery/macro_types/f1,test_incremental_location-bridge/macro_types/recall,test_incremental_location-county/macro_types/precision,test_incremental_location/macro_types/f1,test_incremental_location-country/macro_types/f1,test/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_incremental/macro_types/precision,test_incremental_location-city/macro_types/recall,test_incremental_location-province/macro_types/recall,test/macro_example/precision,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test/macro_example/f1,test_pretraining/micro/precision,test_pretraining/micro/recall,test_incremental_location-city/macro_types/f1,test_incremental/micro/f1,test_incremental_only/micro/recall,threshold_incremental,test_incremental_location-city/macro_types/precision,threshold_pretraining,test_incremental_only/macro_types/recall,test_incremental_only/micro/precision,test_incremental_only/macro_example/precision,test_incremental_location-county/macro_types/f1,test/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_location-body_of_water/macro_types/f1,epoch,test_incremental/macro_example/precision,test_incremental_location-cemetery/macro_types/recall,test_incremental/micro/recall,test_incremental_location/macro_types/precision,test_incremental_location-body_of_water/macro_types/precision,test/micro/f1,test_incremental/micro/precision,test_pretraining/macro_example/f1,test_incremental/macro_types/recall,test_pretraining/macro_types/recall,test/micro/recall,test/macro_example/recall,test_incremental/macro_example/f1,test_incremental_location-province/macro_types/f1,test_incremental_location-bridge/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_location-country/macro_types/precision,test_pretraining/macro_types/f1,test_incremental_location-county/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-cemetery/macro_types/precision,test/micro/precision,test/macro_types/recall,test_incremental_only/micro/f1,test_incremental_only/macro_types/f1,test_incremental_location/macro_types/recall,test_incremental_location-bridge/macro_types/f1,test_incremental_location-country/macro_types/recall,test_incremental_location-body_of_water/macro_types/recall,test_incremental/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,huvonh40,1.0,0.8587713837623596,0.3384615480899811,0.8709677457809448,1.0,0.9327411651611328,0.1147540956735611,0.8894781470298767,0.0260218046605587,0.8334451913833618,0.5427284836769104,0.210392028093338,0.8888058662414551,0.011904762126505377,0.07692307978868484,0.9161969423294068,0.8894781470298767,0.9161969423294068,0.8939284682273865,0.8921052813529968,0.8278388381004333,0.02352941408753395,0.7708333134651184,0.2057291716337204,0.01,1.0,0.25,0.31147080659866333,0.5197368264198303,0.027487821877002716,0.3783783614635467,0.815642237663269,0.8727167844772339,0.2290322482585907,0.02470424398779869,0.241247296333313,0.8363636136054993,31,0.24321502447128296,0.2075471729040146,0.7005163431167603,0.921052634716034,1.0,0.8587713837623596,0.8568421006202698,0.8939284682273865,0.3906282186508178,0.753125011920929,0.8278388381004333,0.8727167844772339,0.225615993142128,0.1428571343421936,0.27272728085517883,0.8841992020606995,1.0,0.815642237663269,0.23333333432674408,0.2548387050628662,0.9166666865348816,0.8921052813529968,0.753125011920929,0.2947761118412018,0.4606659710407257,0.9447301030158995,0.4153846502304077,0.06086956337094307,0.71875,0.777206540107727,0.8984575867652893
no_init_box_kenn_top_down_adapter_bert_ms,2,86wevdrl,1.0,0.8590405583381653,0.3636363446712494,0.8709677457809448,1.0,0.9327411651611328,0.1147540956735611,0.8893585205078125,0.028018899261951447,0.8341423869132996,0.5613676905632019,0.21137788891792297,0.887968122959137,0.011904762126505377,0.1538461595773697,0.915617048740387,0.8893585205078125,0.915617048740387,0.8941233158111572,0.8912710547447205,0.8290598392486572,0.02352941408753395,0.7724917531013489,0.2213541716337204,0.02,1.0,0.25,0.33408379554748535,0.5214723944664001,0.02957550436258316,0.3783783614635467,0.8172465562820435,0.8736156225204468,0.24677419662475583,0.026617955416440964,0.25976231694221497,0.8771929740905762,31,0.2423451691865921,0.2264150977134705,0.7056798338890076,0.921052634716034,1.0,0.8590405583381653,0.853277862071991,0.8941233158111572,0.410414606332779,0.7559516429901123,0.8290598392486572,0.8736156225204468,0.2258047461509705,0.2666666805744171,0.25961539149284363,0.8832417726516724,1.0,0.8172465562820435,0.23333333432674408,0.27419355511665344,0.9230769276618958,0.8912710547447205,0.7559516429901123,0.31078609824180603,0.48479512333869934,0.9447301030158995,0.3999999761581421,0.06086956337094307,0.78125,0.7808483242988586,0.8952442407608032
no_init_box_kenn_bottom_up_adapter_bert_ms,2,qsr5mcd8,1.0,0.8604552745819092,0.5897436141967773,0.8387096524238586,1.0,0.9327411651611328,0.1147540956735611,0.8894540071487427,0.029623182490468025,0.8370040655136108,0.5741506218910217,0.2120737731456757,0.8886367082595825,0.011904762126505377,0.1794871836900711,0.9162955284118652,0.8894540071487427,0.9162955284118652,0.8945531249046326,0.8924354910850525,0.8306878209114075,0.02352941408753395,0.7789275646209717,0.2421875,0.02,1.0,0.25,0.3496928811073303,0.5602409839630127,0.032359082251787186,0.4210526645183563,0.8184258937835693,0.8738186359405518,0.25322580337524414,0.02731384709477425,0.27463558316230774,0.7924528121948242,40,0.24321503937244415,0.43396225571632385,0.7125645279884338,0.921052634716034,1.0,0.8604552745819092,0.8589211702346802,0.8945531249046326,0.4240725040435791,0.7579028010368347,0.8306878209114075,0.8738186359405518,0.22657938301563263,0.30434781312942505,0.2680412232875824,0.8840059041976929,1.0,0.8184258937835693,0.2666666805744171,0.30000001192092896,0.9200000166893004,0.8924354910850525,0.7579028010368347,0.3381817936897278,0.501144289970398,0.9447301030158995,0.40625,0.06086956337094307,0.65625,0.7834190130233765,0.8984576463699341
no_init_box_kenn_hybrid_adapter_bert_ms,1,goocdi9u,1.0,0.8621309995651245,0.7500000596046448,0.8387096524238586,0.0,0.9327411651611328,0.0,0.8383320569992065,0.026181593537330627,0.840979814529419,0.45634594559669495,0.21033403277397156,0.5307828187942505,0.0,0.07692307978868484,0.919601023197174,0.8383320569992065,0.919601023197174,0.8951879143714905,0.8979501724243164,0.8290598392486572,0.0,0.7850646376609802,0.2213541716337204,0.25,0.0,0.25,0.3224320411682129,0.6589147448539734,0.02957550436258316,0.0,0.7942072749137878,0.872037410736084,0.2177419364452362,0.023486431688070297,0.24272872507572177,0.8363636136054993,35,0.24808630347251892,0.6226415038108826,0.7056798338890076,0.921052634716034,1.0,0.8621309995651245,0.8845738768577576,0.8951879143714905,0.40021929144859314,0.7544951438903809,0.8290598392486572,0.872037410736084,0.22765566408634183,0.1428571343421936,0.38235294818878174,0.4750300645828247,0.0,0.7942072749137878,0.0,0.27419355511665344,0.9428571462631226,0.8979501724243164,0.7544951438903809,0.3313840329647064,0.3841308653354645,0.9447301030158995,0.5252525210380554,0.0,0.71875,0.7769922614097595,0.916452407836914
no_init_box_kenn_top_down_adapter_bert_ms,1,46qz70vd,1.0,0.8578006029129028,0.6730769872665405,0.9032257795333862,1.0,0.9327411651611328,0.08196721225976944,0.8765721917152405,0.03444676473736763,0.8271965384483337,0.5883697271347046,0.21439342200756073,0.7984638810157776,0.0714285746216774,0.12820513546466827,0.9109429121017456,0.8765721917152405,0.9109429121017456,0.892939031124115,0.8828343749046326,0.8341473340988159,0.1318681389093399,0.7699316143989563,0.2864583432674408,0.01,0.8571428656578064,0.25,0.39738786220550537,0.4680851101875305,0.03827418386936188,0.1818181872367859,0.8163465261459351,0.8756329417228699,0.29032257199287415,0.031315241008996964,0.3193548619747162,0.9333333373069764,35,0.23434239625930783,0.6603773832321167,0.7271944880485535,0.921052634716034,1.0,0.8578006029129028,0.8180058002471924,0.892939031124115,0.46580564975738525,0.7638646364212036,0.8341473340988159,0.8756329417228699,0.2239244729280472,0.22727273404598236,0.20895522832870483,0.7809512615203857,0.7142857313156128,0.8163465261459351,0.10000000149011612,0.3548387289047241,0.686274528503418,0.8828343749046326,0.7638646364212036,0.35541200637817383,0.5267423391342163,0.9447301030158995,0.3393939435482025,0.043478261679410934,0.875,0.7919880151748657,0.8656812310218811
no_init_box_kenn_bottom_up_adapter_bert_ms,1,4j7mjqkx,1.0,0.8602015376091003,0.7555555105209351,0.8709677457809448,1.0,0.9327411651611328,0.06722688674926758,0.8851284384727478,0.03409530222415924,0.8349660634994507,0.6011320948600769,0.21421943604946136,0.8583577871322632,0.095238097012043,0.10256410390138626,0.913610577583313,0.8851284384727478,0.913610577583313,0.8941884636878967,0.8881664276123047,0.8339438438415527,0.1702127754688263,0.7793167233467102,0.2838541567325592,0.01,0.800000011920929,0.25,0.39363980293273926,0.5291262269020081,0.03792623430490494,0.2857142984867096,0.8197677731513977,0.8755749464035034,0.28709676861763,0.030967293307185173,0.3160964548587799,0.9152542352676392,42,0.23921364545822144,0.6415094137191772,0.7263339161872864,0.921052634716034,1.0,0.8602015376091003,0.8406374454498291,0.8941884636878967,0.4625260829925537,0.763396143913269,0.8339438438415527,0.8755749464035034,0.22602765262126925,0.1860465109348297,0.22689075767993927,0.8494014143943787,1.0,0.8197677731513977,0.1666666716337204,0.35161292552948,0.9189189076423644,0.8881664276123047,0.763396143913269,0.36949148774147034,0.5379679799079895,0.9447301030158995,0.35999998450279236,0.03478260710835457,0.84375,0.7913453578948975,0.8836761116981506
no_init_box_kenn_hybrid_adapter_bert_ms,0,tpeintlk,1.0,0.8653784990310669,0.5070422887802124,0.9032257795333862,0.6363636255264282,0.9327411651611328,0.21705424785614016,0.8874394297599792,0.03561928868293762,0.8522707223892212,0.6153513789176941,0.2150893211364746,0.8745347857475281,0.02380952425301075,0.1538461595773697,0.9193574786186218,0.8874394297599792,0.9193574786186218,0.8973215222358704,0.8992758393287659,0.8339438438415527,0.04651162773370743,0.8003793358802795,0.2838541567325592,0.02,1.0,0.25,0.40752285718917847,0.7315436005592346,0.03792623430490494,0.5384615063667297,0.8217594027519226,0.8763172626495361,0.31129032373428345,0.03357689827680588,0.33022525906562805,0.9000000357627869,33,0.2487821877002716,0.3396226465702057,0.7263339161872864,0.921052634716034,0.9642857313156128,0.8653784990310669,0.8912354707717896,0.8973215222358704,0.4746737480163574,0.7651315331459045,0.8339438438415527,0.8763172626495361,0.23071211576461792,0.2666666805744171,0.47457626461982727,0.867889404296875,1.0,0.8217594027519226,0.46666666865348816,0.3516128957271576,1.0,0.8992758393287659,0.7651315331459045,0.4090056121349334,0.5546203255653381,0.9447301030158995,0.6222222447395325,0.12173912674188614,0.84375,0.7945586442947388,0.9190231561660768
no_init_box_kenn_top_down_adapter_bert_ms,0,lx4cg9lq,1.0,0.8658291697502136,0.5866666436195374,0.9032257795333862,0.6666666865348816,0.9327411651611328,0.21705424785614016,0.887956976890564,0.03627286478877067,0.8531632423400879,0.6208851933479309,0.2153792530298233,0.8781573176383972,0.02380952425301075,0.1538461595773697,0.9195314645767212,0.887956976890564,0.9195314645767212,0.8974347710609436,0.8995393514633179,0.8345543146133423,0.04651162773370743,0.8024632334709167,0.2916666567325592,0.05,1.0,0.25,0.41384023427963257,0.7417218685150146,0.03897007554769516,0.5490196347236633,0.8224367499351501,0.8763752579689026,0.3145161271095276,0.03392484411597252,0.3362845480442047,0.8813559412956238,33,0.24895615875720975,0.4150943458080292,0.7289156913757324,0.921052634716034,0.9629629850387572,0.8658291697502136,0.8925184607505798,0.8974347710609436,0.4802014827728271,0.7659212350845337,0.8345543146133423,0.8763752579689026,0.23095370829105377,0.2666666805744171,0.47457626461982727,0.8720294237136841,1.0,0.8224367499351501,0.46666666865348816,0.3612903356552124,1.0,0.8995393514633179,0.7659212350845337,0.4186915755271912,0.5613024234771729,0.9447301030158995,0.6222222447395325,0.12173912674188614,0.8125,0.7956297993659973,0.9196658134460448
no_init_box_kenn_bottom_up_adapter_bert_ms,0,089c5nmu,1.0,0.8649331331253052,0.5897436141967773,0.9032257795333862,0.7272727489471436,0.9327411651611328,0.21705424785614016,0.8856956958770752,0.03862057253718376,0.8505798578262329,0.6362570524215698,0.21653908491134644,0.8623285293579102,0.0357142873108387,0.1538461595773697,0.917588710784912,0.8856956958770752,0.917588710784912,0.8970544338226318,0.8959650993347168,0.8359788656234741,0.06896552443504333,0.7992512583732605,0.3098958432674408,0.01,1.0,0.25,0.44115301966667175,0.6723163723945618,0.041405707597732544,0.6153846383094788,0.8234250545501709,0.877419114112854,0.3354838490486145,0.03618650138378143,0.35805004835128784,0.9354838132858276,39,0.2458246350288391,0.43396225571632385,0.7349397540092468,0.921052634716034,0.9666666388511658,0.8649331331253052,0.8758974075317383,0.8970544338226318,0.5041001439094543,0.7693352699279785,0.8359788656234741,0.877419114112854,0.2302544116973877,0.2666666805744171,0.3636363744735718,0.853939414024353,1.0,0.8234250545501709,0.5333333611488342,0.3838709592819214,0.9200000166893004,0.8959650993347168,0.7693352699279785,0.42424243688583374,0.5817622542381287,0.9447301030158995,0.5185185670852661,0.12173912674188614,0.90625,0.7999143004417419,0.9080976843833924
no_init_box_kenn_horizontal_adapter_bert_ms,2,d0jkh1ep,1.0,0.8665746450424194,0.5526315569877625,0.774193525314331,1.0,0.9327411651611328,0.1147540956735611,0.8968449234962463,0.030027734115719795,0.8554674983024597,0.5783215761184692,0.21230573952198029,0.9403731226921082,0.0476190485060215,0.25641027092933655,0.9241069555282592,0.8968449234962463,0.9241069555282592,0.8984740376472473,0.9057022333145142,0.8306878209114075,0.08988764137029648,0.8042739033699036,0.2421875,0.03,0.800000011920929,0.25,0.34224796295166016,0.939393937587738,0.032359082251787186,0.4210526645183563,0.8209936022758484,0.8742246031761169,0.2596774101257324,0.028009742498397827,0.2783861756324768,0.7450980544090271,55,0.2546972930431366,0.3962264060974121,0.7125645279884338,0.921052634716034,1.0,0.8665746450424194,0.9230769276618958,0.8984740376472473,0.4175581932067871,0.7569721937179565,0.8306878209114075,0.8742246031761169,0.23157750070095065,0.4081632792949677,0.8888888955116272,0.9431332945823668,1.0,0.8209936022758484,0.2666666805744171,0.30000001192092896,0.91304349899292,0.9057022333145142,0.7569721937179565,0.3850931525230408,0.502240777015686,0.9447301030158995,0.8275862336158752,0.06086956337094307,0.59375,0.7842758893966675,0.9408740401268004
