name,instance,run_id,test_incremental_organization-educational_institution/macro_types/f1,test/micro/f1,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_organization-sports_league/macro_types/precision,test_pretraining/micro/f1,test_pretraining/macro_types/precision,test/macro_types/precision,test_pretraining/micro/precision,test_incremental_organization-company/macro_types/recall,test_incremental_organization-company/macro_types/precision,test/micro/precision,test_incremental_organization/macro_types/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_organization-company/macro_types/f1,test/micro/recall,test/macro_types/recall,test_incremental_organization-airline/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental_organization-sports_team/macro_types/recall,test_incremental_organization-terrorist_organization/macro_types/recall,test_incremental_organization-educational_institution/macro_types/recall,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_organization/macro_types/f1,epoch,threshold_pretraining,test_pretraining/macro_example/f1,test_incremental_only/micro/precision,test_incremental_organization-terrorist_organization/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental_organization-airline/macro_types/recall,test_incremental_organization-fraternity_sorority/macro_types/precision,test/macro_example/recall,test_incremental/micro/recall,test_pretraining/macro_types/f1,test_incremental_organization-sports_team/macro_types/precision,test_incremental/macro_example/f1,test_incremental_organization-fraternity_sorority/macro_types/recall,test_incremental_only/micro/recall,test_pretraining/macro_example/recall,test_incremental_organization-sports_team/macro_types/f1,test_incremental_organization-terrorist_organization/macro_types/f1,test_incremental/micro/precision,test/macro_types/f1,test_incremental_only/micro/f1,test_incremental/macro_types/f1,test_incremental_organization-sports_league/macro_types/recall,test/macro_example/f1,test/macro_example/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_types/recall,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_organization-airline/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_organization-fraternity_sorority/macro_types/f1,test_incremental_organization-educational_institution/macro_types/precision,test_incremental/macro_example_exclusive/precision,test_incremental_organization/macro_types/precision,test_incremental_organization-sports_league/macro_types/f1,threshold_incremental,test_incremental/micro/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/macro_types/recall,test_pretraining/micro/recall,test_pretraining/macro_types/recall
kenn_horizontal_adapter_bert_ms,2,12kbgzdi,0.6338797807693481,0.8665480017662048,0.6270138025283813,0.8909670114517212,0.6666666865348816,0.8665480017662048,0.8662494421005249,0.8662494421005249,0.8487606644630432,0.5350000262260437,0.3119533658027649,0.8487606644630432,0.9442059993743896,0.7665794491767883,0.3941068351268768,0.8850969076156616,0.8643561601638794,0.4838709533214569,0.714824378490448,0.5999691486358643,0.9032257795333862,1.0,0.8169013857841492,0.13935282826423645,0.8062827587127686,0.8756218552589417,25,0.375,0.8942683339118958,0.43926554918289185,0.3448275923728943,0.10189051926136015,1.0,0.9090909361839294,0.9080201983451844,0.8457207083702087,0.865301787853241,0.9655172228813172,0.144464373588562,1.0,0.7369668483734131,0.9080201983451844,0.9333333373069764,0.5128204822540283,0.6022453904151917,0.865301787853241,0.5504425168037415,0.736251950263977,0.9333333373069764,0.8942683339118958,0.8809267282485962,0.10446251928806304,0.8840658068656921,0.14996519684791565,0.8809267282485962,0.6521738767623901,0.10716771334409714,0.8594420552253723,0.9523809552192688,0.5178571343421936,0.9248927235603333,0.8163265585899353,0.7777777910232544,0.05,0.7035129070281982,0.7859300374984741,0.8915833234786987,0.8850969076156616,0.8643561601638794
kenn_horizontal_adapter_bert_ms,1,849ago8n,0.7152318358421326,0.8708810806274414,0.6792913675308228,0.8753385543823242,0.7428571581840515,0.8708810806274414,0.8737176656723022,0.8737176656723022,0.8588258624076843,0.5299999713897705,0.3231707215309143,0.8588258624076843,0.9442059993743896,0.727312445640564,0.4015151262283325,0.8832795023918152,0.8609182834625244,0.8333333134651184,0.7453611493110657,0.659714937210083,0.8387096524238586,1.0,0.7605633735656738,0.13709115982055664,0.7526178359985352,0.8756218552589417,26,0.375,0.8975246548652649,0.474097341299057,0.32258063554763794,0.09667130559682846,1.0,0.8823529481887817,0.9076722264289856,0.8355855941772461,0.8672707676887512,0.8387096524238586,0.14193032681941986,1.0,0.7156398296356201,0.9076722264289856,0.8387096524238586,0.4878048896789551,0.6309523582458496,0.8672707676887512,0.570349395275116,0.7619523406028748,0.8666666746139526,0.8975246548652649,0.8876014947891235,0.09832429140806198,0.8565627932548523,0.14712363481521606,0.8876014947891235,0.9090909361839294,0.10003479570150375,0.8454935550689697,0.9375,0.675000011920929,0.907367706298828,0.8163265585899353,0.8000000715255737,0.05,0.7189922332763672,0.7397487759590149,0.8675181865692139,0.8832795023918152,0.8609182834625244
kenn_horizontal_adapter_bert_ms,0,3erspk27,0.7972028255462646,0.8514541983604431,0.5952301025390625,0.878542959690094,0.5652173757553101,0.8514541983604431,0.8617088794708252,0.8617088794708252,0.8239516615867615,0.4399999976158142,0.1792260706424713,0.8239516615867615,0.9442059993743896,0.7116056084632874,0.2547033131122589,0.8808562159538269,0.8617937564849854,0.6666666865348816,0.6820923686027527,0.5636449456214905,0.9354838728904724,1.0,0.8028169274330139,0.13569937646389008,0.746073305606842,0.8756218552589417,23,0.375,0.881791353225708,0.3460620641708374,0.31578946113586426,0.09458362311124802,1.0,0.9090909361839294,0.9066516160964966,0.8220720887184143,0.8617513179779053,0.5178571343421936,0.1424499154090881,1.0,0.6872037649154663,0.9066516160964966,0.6666666865348816,0.47999998927116394,0.5301379561424255,0.8617513179779053,0.460317462682724,0.7080522775650024,0.8666666746139526,0.881791353225708,0.8582580089569092,0.09682010859251022,0.8635668754577637,0.1499072164297104,0.8582580089569092,0.800000011920929,0.0991649255156517,0.8369098901748657,0.9523809552192688,0.7916666865348816,0.924535036087036,0.8163265585899353,0.684210479259491,0.060000000000000005,0.6445915699005127,0.7284319400787354,0.8736466765403748,0.8808562159538269,0.8617937564849854
kenn_hybrid_adapter_bert_ms,2,5gv951d9,0.6797385215759277,0.8871508836746216,0.7305183410644531,0.8777334094047546,0.84375,0.8871508836746216,0.8810358047485352,0.8810358047485352,0.8924995064735413,0.4950000047683716,0.6387096643447876,0.8924995064735413,0.9442059993743896,0.7246946096420288,0.5577464699745178,0.881865918636322,0.8609614968299866,0.6382978558540344,0.781482458114624,0.7182600498199463,0.8709677457809448,1.0,0.7323943376541138,0.13656924664974213,0.7722513675689697,0.8756218552589417,30,0.375,0.911575734615326,0.6750572323799133,0.5769230723381042,0.09632335603237152,1.0,0.7317073345184326,0.9058049321174622,0.8277027010917664,0.8708829879760742,0.9642857313156128,0.14231866598129272,1.0,0.6990521550178528,0.9058049321174622,0.9152542352676392,0.7317072749137878,0.7530737519264221,0.8708829879760742,0.6868451833724976,0.7932722568511963,0.8999999761581421,0.911575734615326,0.9174205660820008,0.09938346594572069,0.856908917427063,0.14857342839241028,0.9174205660820008,0.7792208194732666,0.10264439880847932,0.8422746658325195,0.8450704216957092,0.6341463327407837,0.9163089990615844,0.8163265585899353,0.8709677457809448,0.45,0.7886266112327576,0.7477176189422607,0.8678209781646729,0.881865918636322,0.8609614968299866
kenn_top_down_adapter_bert_ms,2,2p03sq1l,0.6033519506454468,0.8835098147392273,0.6951799392700195,0.8808851838111877,0.7777777910232544,0.8835098147392273,0.8759874701499939,0.8759874701499939,0.8825307488441467,0.5400000214576721,0.5806451439857483,0.8825307488441467,0.9442059993743896,0.7587260007858276,0.5595855116844177,0.8844910860061646,0.8634393811225891,0.5555555820465088,0.7645840048789978,0.6778733730316162,0.9032257795333862,1.0,0.7605633735656738,0.13883090019226074,0.804973840713501,0.8756218552589417,30,0.375,0.9089475274086,0.6074950695037842,0.508474588394165,0.10084667801856996,1.0,0.8571428656578064,0.9071677327156068,0.8423423171043396,0.869668185710907,0.9655172228813172,0.14282968640327454,1.0,0.7298578023910522,0.9071677327156068,0.9333333373069764,0.6741573214530945,0.7151051759719849,0.869668185710907,0.6630785465240479,0.7787531614303589,0.9333333373069764,0.9089475274086,0.9107341766357422,0.10382930934429167,0.876731812953949,0.1470656543970108,0.9107341766357422,0.7142857313156128,0.10699374228715897,0.8562232255935669,0.9230769276618958,0.5,0.9070099592208862,0.8163265585899353,0.8484848737716675,0.32,0.7735263705253601,0.7811660170555115,0.8851660490036011,0.8844910860061646,0.8634393811225891
kenn_bottom_up_adapter_bert_ms,2,2h31mizu,0.6046512126922607,0.8866314888000488,0.7584019899368286,0.8727004528045654,0.8484848737716675,0.8866314888000488,0.8850191831588745,0.8850191831588745,0.8920686841011047,0.47999998927116394,0.6315789222717285,0.8920686841011047,0.9442059993743896,0.7168412208557129,0.5454545021057129,0.881260097026825,0.8607128858566284,0.7894737124443054,0.7991025447845459,0.7501271367073059,0.8387096524238586,1.0,0.7323943376541138,0.1360473334789276,0.7630890607833862,0.8756218552589417,30,0.375,0.9114105105400084,0.6697247624397278,0.5660377144813538,0.0952795147895813,1.0,0.9375,0.9056425094604492,0.8243243098258972,0.8726968169212341,0.9629629850387572,0.14150258898735046,1.0,0.6919431090354919,0.9056425094604492,0.8965516686439514,0.7228915691375732,0.7507692575454712,0.8726968169212341,0.6806526184082031,0.8086724877357483,0.9333333373069764,0.9114105105400084,0.9172524213790894,0.09825700521469116,0.8549196720123291,0.14741359651088717,0.9172524213790894,0.8823529481887817,0.10142658650875092,0.8390557765960693,0.9677419066429138,0.5148515105247498,0.9091559052467346,0.8163265585899353,0.888888955116272,0.21,0.7858293652534485,0.7392425537109375,0.8660804033279419,0.881260097026825,0.8607128858566284
kenn_hybrid_adapter_bert_ms,1,2nmejrff,0.7555555701255798,0.8894289135932922,0.7837342619895935,0.8851251006126404,0.7878788113594055,0.8894289135932922,0.8886380195617676,0.8886380195617676,0.8919577598571777,0.6299999952316284,0.5753424763679504,0.8919577598571777,0.9442059993743896,0.7870855331420898,0.6014319658279419,0.8869143724441528,0.8625255227088928,0.9375,0.8217739462852478,0.7790782451629639,0.8709677457809448,1.0,0.7183098793029785,0.14077359437942505,0.8311518430709839,0.8756218552589417,20,0.375,0.9132462739944458,0.6837607026100159,0.517241358757019,0.10461609810590744,1.0,0.9677419066429138,0.9081130027770996,0.8558558821678162,0.8753871321678162,0.8709677457809448,0.1435171365737915,1.0,0.758293867111206,0.9081130027770996,0.8709677457809448,0.6818181872367859,0.7547169923782349,0.8753871321678162,0.7191011905670166,0.8285353183746338,0.8666666746139526,0.9132462739944458,0.9184378981590272,0.10746490210294724,0.8694206476211548,0.14636975526809692,0.9184378981590272,0.9677419066429138,0.11047321557998656,0.8682045340538025,0.9836065173149108,0.796875,0.902718186378479,0.8163265585899353,0.8253968358039856,0.35000000000000003,0.8021108508110046,0.8085187077522278,0.878768801689148,0.8869143724441528,0.8625255227088928
kenn_top_down_adapter_bert_ms,1,k3lm5u6a,0.7132867574691772,0.8800559639930725,0.7040778398513794,0.889619767665863,0.7428571581840515,0.8800559639930725,0.8772585391998291,0.8772585391998291,0.870578944683075,0.6949999928474426,0.4426751732826233,0.870578944683075,0.9442059993743896,0.8241710662841797,0.5408560037612915,0.8897415399551392,0.8642622232437134,0.7142857313156128,0.7735452651977539,0.6880423426628113,0.9032257795333862,1.0,0.7183098793029785,0.14323823153972626,0.8678010702133179,0.8756218552589417,19,0.375,0.9064183831214904,0.5520660877227783,0.3846153914928436,0.10954535007476808,1.0,1.0,0.909620761871338,0.8716216087341309,0.8707118630409241,0.8235294222831726,0.1442459374666214,1.0,0.7914692163467407,0.909620761871338,0.8615384697914124,0.555555522441864,0.6765734553337097,0.8707118630409241,0.6504381895065308,0.786557674407959,0.8666666746139526,0.9064183831214904,0.9032384157180786,0.11237014085054398,0.8833146095275879,0.14526791870594025,0.9032384157180786,0.8333333730697632,0.11534446477890016,0.8834048509597778,1.0,0.7083333134651184,0.8959227800369263,0.8163265585899353,0.8000000715255737,0.31,0.7618109583854675,0.8454235196113586,0.8909260034561157,0.8897415399551392,0.8642622232437134
kenn_bottom_up_adapter_bert_ms,1,2up3c74s,0.7555555701255798,0.8894065618515015,0.7997901439666748,0.8857359886169434,0.7647058963775635,0.8894065618515015,0.8909317255020142,0.8909317255020142,0.8921170234680176,0.625,0.5630630850791931,0.8921170234680176,0.9442059993743896,0.7818499207496643,0.5924170613288879,0.8867124319076538,0.8624362349510193,1.0,0.8315423727035522,0.797427773475647,0.8709677457809448,1.0,0.7183098793029785,0.14048364758491516,0.8180628418922424,0.8756218552589417,20,0.375,0.9128599762916564,0.6845493316650391,0.5263158082962036,0.10392020642757416,1.0,1.0,0.9081999659538268,0.8547297120094299,0.8764525055885315,0.931034505367279,0.1436162143945694,1.0,0.7559241652488708,0.9081999659538268,0.9000000953674316,0.6896551847457886,0.7552238702774048,0.8764525055885315,0.718468427658081,0.8371375799179077,0.8666666746139526,0.9128599762916564,0.917568027973175,0.1062723696231842,0.8687063455581665,0.14689168334007263,0.917568027973175,1.0,0.10873347520828248,0.8664162755012512,1.0,0.796875,0.9059370160102844,0.8163265585899353,0.8125,0.21,0.8019016981124878,0.7995465397834778,0.8781437873840332,0.8867124319076538,0.8624362349510193
kenn_hybrid_adapter_bert_ms,0,yda1zd09,0.7248322367668152,0.8724484443664551,0.6252985000610352,0.8610318899154663,0.5777778029441833,0.8724484443664551,0.8660043478012085,0.8660043478012085,0.8605381846427917,0.5450000166893005,0.35504886507987976,0.8605381846427917,0.9442059993743896,0.7600349187850952,0.4299803078174591,0.8846930265426636,0.8634902834892273,0.6382978558540344,0.7111650705337524,0.5980088114738464,0.9677419066429138,1.0,0.7605633735656738,0.13894689083099365,0.7892670631408691,0.8756218552589417,27,0.375,0.9025704264640808,0.4866141676902771,0.4285714328289032,0.10102064907550812,1.0,0.9677419066429138,0.907852053642273,0.8434684872627258,0.8647454977035522,0.5263158082962036,0.13961060345172882,1.0,0.7322275042533875,0.907852053642273,0.6818181872367859,0.5999999642372131,0.6379897594451904,0.8647454977035522,0.5846735835075378,0.732999861240387,0.8666666746139526,0.9025704264640808,0.8973498344421387,0.10292669385671616,0.8771388530731201,0.14028067886829376,0.8973498344421387,0.7792208194732666,0.10490605980157852,0.8569384813308716,0.9836065173149108,0.692307710647583,0.8651645183563232,0.8163265585899353,0.6933333873748779,0.13,0.726479172706604,0.7743752002716064,0.8855222463607788,0.8846930265426636,0.8634902834892273
