name,instance,run_id,test_pretraining/macro_types/f1,test_incremental_organization-sports_team/macro_types/f1,test_incremental_organization-educational_institution/macro_types/recall,test_pretraining/macro_example/f1,threshold_incremental,test_incremental/micro/f1,test_incremental_organization-terrorist_organization/macro_types/precision,test_pretraining/micro/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_example/precision,test_incremental_organization-sports_league/macro_types/recall,test_incremental_organization-fraternity_sorority/macro_types/precision,test_incremental/macro_types/f1,test_incremental_organization-terrorist_organization/macro_types/recall,test_incremental_organization-educational_institution/macro_types/precision,test/macro_example/f1,test_incremental/macro_example/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test/micro/precision,test/macro_types/precision,test_incremental/macro_types/recall,test/micro/f1,test/macro_example/precision,test_incremental/micro/recall,test_incremental_organization-sports_league/macro_types/precision,test_incremental_organization/macro_types/f1,threshold_pretraining,test_incremental_organization-airline/macro_types/f1,test_incremental/macro_example/recall,test_incremental_organization-airline/macro_types/recall,epoch,test_incremental_only/macro_types/precision,test_incremental_organization-educational_institution/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_organization-company/macro_types/f1,test_incremental_organization-sports_team/macro_types/recall,test/macro_example/recall,test_pretraining/micro/recall,test_pretraining/macro_types/recall,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_organization-fraternity_sorority/macro_types/f1,test/macro_types/recall,test_incremental_organization/macro_types/precision,test_pretraining/macro_example/precision,test_incremental_organization-company/macro_types/precision,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/precision,test_incremental_organization-sports_team/macro_types/precision,test/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental/micro/precision,test_incremental_only/micro/precision,test_incremental_organization/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/recall,test/micro/recall,test_incremental_organization-company/macro_types/recall,test_incremental_organization-sports_league/macro_types/f1,test_incremental_organization-airline/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_only/micro/f1,test_incremental_organization-terrorist_organization/macro_types/f1,test_incremental_organization-fraternity_sorority/macro_types/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,g1oqr0r1,0.8388744592666626,0.6222221851348877,0.4084506928920746,0.9033353924751282,0.01,0.7150127291679382,0.9642857313156128,0.8691627979278564,0.3743455708026886,0.04975643754005432,0.3333333432674408,1.0,0.7449905872344971,0.8999999761581421,0.90625,0.9033353924751282,0.14561587572097778,0.8986652493476868,0.7215449213981628,0.93569815158844,0.7612358331680298,0.9069359302520752,0.8986652493476868,0.6188589930534363,0.8691627979278564,0.924849271774292,0.6328828930854797,1.0,0.8363273739814758,0.25,0.98305082321167,0.10710971802473068,0.9666666388511658,62,0.9576956033706664,0.5631067752838135,0.8827998042106628,0.04854369163513184,0.4516128897666931,0.8827998042106628,0.8344103097915649,0.7865434885025024,0.3388625681400299,0.047577325254678726,0.34293195605278015,0.98305082321167,0.7865434885025024,0.7817164063453674,0.924849271774292,0.8333333134651184,0.1234293207526207,0.8980686664581299,1.0,0.8388744592666626,0.3579508662223816,0.8216374516487122,0.966216206550598,0.8991416096687317,0.9069359302520752,0.5788186192512512,0.04558107256889343,0.8344103097915649,0.02500000037252903,0.5,1.0,0.6605865955352783,0.5017544031143188,0.931034505367279,0.9666666388511658
no_init_box_kenn_top_down_adapter_bert_ms,2,dmako1tm,0.8402000665664673,0.6222221851348877,0.4507042169570923,0.9037334322929382,0.03,0.7194426655769348,0.9666666388511658,0.8697845339775085,0.3900523781776428,0.051844120025634766,0.36666667461395264,1.0,0.7571144700050354,0.9666666388511658,0.8888888955116272,0.9037334322929382,0.14561587572097778,0.89839768409729,0.7364939451217651,0.9338256120681764,0.7649036049842834,0.9068595170974731,0.89839768409729,0.6366406679153442,0.8697845339775085,0.9249072670936584,0.6396396160125732,1.0,0.8363273739814758,0.25,0.98305082321167,0.10800858587026596,0.9666666388511658,60,0.9555556178092957,0.5981308221817017,0.8835073113441467,0.04854369163513184,0.4516128897666931,0.8835073113441467,0.8356219530105591,0.78908371925354,0.3530805706977844,0.04944758117198944,0.35558468103408813,0.98305082321167,0.78908371925354,0.7817164063453674,0.9249072670936584,0.8333333134651184,0.12402402609586716,0.8980686664581299,1.0,0.8402000665664673,0.37202188372612,0.8219971060752869,0.9612902998924256,0.8991416096687317,0.9068595170974731,0.5991405844688416,0.04726281762123108,0.8356219530105591,0.02500000037252903,0.5365853905677795,1.0,0.6661301851272583,0.5164644718170166,0.9666666388511658,0.9666666388511658
no_init_box_kenn_bottom_up_adapter_bert_ms,2,oa9gfaz9,0.8350585103034973,0.5238094925880432,0.3239436745643616,0.9021344780921936,0.01,0.7027026414871216,0.9615384340286256,0.8674393892288208,0.33246076107025146,0.04418928176164627,0.20000000298023224,1.0,0.7094557285308838,0.8333333134651184,0.9583333134651184,0.9021344780921936,0.14561587572097778,0.89895099401474,0.6776419281959534,0.9376985430717468,0.749953031539917,0.9070075154304504,0.89895099401474,0.5705738067626953,0.8674393892288208,0.9246695041656494,0.6148648858070374,1.0,0.8363273739814758,0.25,0.98305082321167,0.1043841391801834,0.9666666388511658,60,0.9599817395210266,0.4842105507850647,0.8806715607643127,0.03902439400553703,0.35483869910240173,0.8806715607643127,0.8311793208122253,0.7796456217765808,0.3009478747844696,0.04209370911121368,0.3023560345172882,0.98305082321167,0.7796456217765808,0.7817164063453674,0.9246695041656494,0.800000011920929,0.12159990519285202,0.8980686664581299,1.0,0.8350585103034973,0.31669458746910095,0.8198198080062866,0.9769230484962464,0.8991416096687317,0.9070075154304504,0.5236356258392334,0.04018789529800415,0.8311793208122253,0.019999999552965164,0.3333333134651184,1.0,0.6437768936157227,0.4601449370384216,0.8928570747375488,0.9666666388511658
no_init_box_kenn_hybrid_adapter_bert_ms,1,dwwogjin,0.832740068435669,0.6222221851348877,0.3380281627178192,0.9014890789985656,0.01,0.693851113319397,1.0,0.866153359413147,0.30628272891044617,0.04070981219410896,0.36666667461395264,1.0,0.681348979473114,0.6000000238418579,0.8571428656578064,0.9014890789985656,0.14578984677791595,0.901402235031128,0.6414546370506287,0.9548574090003968,0.7449551820755005,0.906601905822754,0.901402235031128,0.529639482498169,0.866153359413147,0.9246057271957396,0.6036036014556885,1.0,0.8363273739814758,0.25,0.75,0.10310833156108856,0.6000000238418579,55,0.9795919060707092,0.4848484694957733,0.879500150680542,0.029556650668382645,0.4516128897666931,0.879500150680542,0.8291599154472351,0.773797869682312,0.2772511839866638,0.039361804723739624,0.286649227142334,0.98305082321167,0.773797869682312,0.7817164063453674,0.9246057271957396,1.0,0.120789535343647,0.8991416096687317,1.0,0.832740068435669,0.2961409091949463,0.8158295154571533,0.9669421315193176,0.8991416096687317,0.906601905822754,0.47685351967811584,0.03810020908713341,0.8291599154472351,0.014999999664723871,0.5365853905677795,1.0,0.6359084248542786,0.4309391975402832,0.75,0.9666666388511658
no_init_box_kenn_top_down_adapter_bert_ms,1,xizbhqmv,0.8353559374809265,0.7346938848495483,0.39436620473861694,0.90265691280365,0.01,0.7059577107429504,1.0,0.867853045463562,0.3455497622489929,0.045929018408060074,0.5,1.0,0.7138628363609314,0.6333333253860474,0.875,0.90265691280365,0.14578984677791595,0.8981496691703796,0.6834807395935059,0.9320895671844482,0.755643904209137,0.906710684299469,0.8981496691703796,0.5784357786178589,0.867853045463562,0.9248086214065552,0.6204954981803894,1.0,0.8363273739814758,0.25,0.75,0.10565993934869766,0.6000000238418579,52,0.9535714983940125,0.5436893105506897,0.8815414309501648,0.03902439400553703,0.5806451439857483,0.8815414309501648,0.8321890234947205,0.7807687520980835,0.3127962052822113,0.04449373111128807,0.32460734248161316,1.0,0.7807687520980835,0.7817164063453674,0.9248086214065552,0.800000011920929,0.12252263724803925,0.8991416096687317,1.0,0.8353559374809265,0.33475133776664734,0.818722128868103,0.9635036587715148,0.8991416096687317,0.906710684299469,0.5326206684112549,0.04314544051885605,0.8321890234947205,0.019999999552965164,0.6666666865348816,1.0,0.6516451835632324,0.4722719192504883,0.7755101919174194,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,1,p6u6djw5,0.8270841836929321,0.4878048896789551,0.18309858441352844,0.8999298214912415,0.02,0.675000011920929,1.0,0.8635786175727844,0.24607330560684204,0.03270702809095383,0.30000001192092896,1.0,0.6218789219856262,0.5333333611488342,0.8666666746139526,0.8999298214912415,0.14578984677791595,0.901572287082672,0.5664491653442383,0.9560478925704956,0.7290107607841492,0.9065275192260742,0.901572287082672,0.46081095933914185,0.8635786175727844,0.9245476722717284,0.5777027010917664,1.0,0.8363273739814758,0.25,0.6363636255264282,0.09939689189195632,0.46666666865348816,55,0.9809524416923524,0.302325576543808,0.8765889406204224,0.029556650668382645,0.32258063554763794,0.8765889406204224,0.8245153427124023,0.7639652490615845,0.22274881601333615,0.03181339427828789,0.2329843044281006,0.98305082321167,0.7639652490615845,0.7817164063453674,0.9245476722717284,1.0,0.1182042509317398,0.8991416096687317,1.0,0.8270841836929321,0.2393500059843063,0.8117088675498962,0.9791666865348816,0.8991416096687317,0.9065275192260742,0.3981923162937164,0.03096729516983032,0.8245153427124023,0.014999999664723871,0.46153849363327026,1.0,0.6130186319351196,0.3629343807697296,0.6956522464752197,0.9666666388511658
no_init_box_kenn_hybrid_adapter_bert_ms,0,ag3bjpht,0.832013726234436,0.3243243098258972,0.15492957830429077,0.9012302756309508,0.03,0.688353955745697,0.92592591047287,0.8654069900512695,0.28795814514160156,0.03827418386936188,0.2666666805744171,1.0,0.6747088432312012,0.8333333134651184,0.9166666865348816,0.9012302756309508,0.14544188976287842,0.901142418384552,0.6332839131355286,0.9530386328697203,0.7378105521202087,0.9066578149795532,0.901142418384552,0.5222024917602539,0.8654069900512695,0.9247217178344728,0.5957207083702087,1.0,0.8363273739814758,0.25,0.9090909361839294,0.10160055756568909,0.8333333134651184,76,0.977513313293457,0.2650602459907532,0.878902792930603,0.058252427726984024,0.19354838132858276,0.878902792930603,0.8277463912963867,0.7727354168891907,0.2606635093688965,0.03645160049200058,0.26178011298179626,0.98305082321167,0.7727354168891907,0.7817164063453674,0.9247217178344728,1.0,0.1196310743689537,0.8969956636428833,1.0,0.832013726234436,0.27424582839012146,0.8151001334190369,0.9734513163566588,0.8991416096687317,0.9066578149795532,0.4683539867401123,0.03479471057653427,0.8277463912963867,0.029999999329447743,0.4210526645183563,1.0,0.6266094446182251,0.4112149178981781,0.8771929740905762,0.9666666388511658
no_init_box_kenn_top_down_adapter_bert_ms,0,5qfhirw4,0.839512288570404,0.6521738767623901,0.22535210847854617,0.9036504626274108,0.01,0.7194969058036804,0.8571428656578064,0.8696199655532837,0.4005236029624939,0.05323591083288193,0.46666666865348816,1.0,0.7557828426361084,1.0,0.8421052694320679,0.9036504626274108,0.1443980485200882,0.8951736092567444,0.7362504601478577,0.9112569689750672,0.7643853425979614,0.905553102493286,0.8951736092567444,0.6456289291381836,0.8696199655532837,0.924054741859436,0.6441441178321838,1.0,0.8363273739814758,0.25,0.9523809552192688,0.1085595041513443,1.0,78,0.9297627806663512,0.35555553436279297,0.8841278553009033,0.16363635659217834,0.4838709533214569,0.8841278553009033,0.8364297151565552,0.7903677821159363,0.3625592291355133,0.05061974376440048,0.3630017638206482,1.0,0.7903677821159363,0.7817164063453674,0.924054741859436,0.8999999761581421,0.12394001334905624,0.8905578851699829,1.0,0.839512288570404,0.3808407187461853,0.8148148059844971,0.9216867685317992,0.8991416096687317,0.905553102493286,0.6094128489494324,0.048248667269945145,0.8364297151565552,0.09000000357627869,0.6363636255264282,0.9090909361839294,0.6695278882980347,0.5204081535339355,0.9230769276618958,1.0
no_init_box_kenn_bottom_up_adapter_bert_ms,0,99zmilex,0.8315413594245911,0.3684210479259491,0.15492957830429077,0.9016003012657166,0.01,0.6925064921379089,0.8965517282485962,0.8658793568611145,0.30628272891044617,0.04070981219410896,0.2666666805744171,1.0,0.681168258190155,0.8666666746139526,0.7857142686843872,0.9016003012657166,0.14526791870594025,0.8964937329292297,0.6437450647354126,0.9204977750778198,0.7426232099533081,0.9060017466545104,0.8964937329292297,0.5406097173690796,0.8658793568611145,0.9246346950531006,0.6036036014556885,1.0,0.8363273739814758,0.25,0.9473683834075928,0.10281836986541748,0.8999999761581421,75,0.940323770046234,0.2588235139846802,0.879685640335083,0.08571428805589676,0.22580644488334656,0.879685640335083,0.8291599154472351,0.7753649950027466,0.2772511839866638,0.03889241442084312,0.28010469675064087,0.98305082321167,0.7753649950027466,0.7817164063453674,0.9246346950531006,0.8999999761581421,0.12041141837835312,0.8959227204322815,1.0,0.8315413594245911,0.29260939359664917,0.8121212124824524,0.9435483813285828,0.8991416096687317,0.9060017466545104,0.48939087986946106,0.037230342626571655,0.8291599154472351,0.04500000178813934,0.4210526645183563,1.0,0.6341201663017273,0.4285714030265808,0.8813559412956238,0.9666666388511658
no_init_box_kenn_horizontal_adapter_bert_ms,2,rcjq1uen,0.8280007243156433,0.5581395030021667,0.028169013559818268,0.9002444744110107,0.01,0.6745718121528625,1.0,0.8635498285293579,0.24345549941062927,0.03235907852649689,0.1666666716337204,1.0,0.6420167684555054,0.6333333253860474,0.6666666865348816,0.9002444744110107,0.14578984677791595,0.8980008959770203,0.5938812494277954,0.9310479164123536,0.7254584431648254,0.9067081212997437,0.8980008959770203,0.48992592096328735,0.8635498285293579,0.9245476722717284,0.5765765905380249,1.0,0.8363273739814758,0.25,0.9090909361839294,0.09858501702547072,0.8333333134651184,78,0.9523810148239136,0.054054051637649536,0.8771862983703613,0.009950248524546623,0.3870967626571655,0.8771862983703613,0.8243134021759033,0.7681244611740112,0.22037914395332336,0.03042306751012802,0.21596860885620117,0.98305082321167,0.7681244611740112,0.7817164063453674,0.9245476722717284,1.0,0.11762825399637222,0.8991416096687317,1.0,0.8280007243156433,0.2288898080587387,0.8126984238624573,0.9893617033958436,0.8991416096687317,0.9067081212997437,0.4314665496349334,0.028705637902021408,0.8243134021759033,0.004999999888241291,0.2857142984867096,1.0,0.6080114841461182,0.3604651093482971,0.7755101919174194,0.9666666388511658
