name,instance,run_id,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_types/precision,test_incremental_organization/macro_types/recall,test_incremental_organization-terrorist_organization/macro_types/f1,test_incremental_only/micro/f1,threshold_incremental,test/macro_types/precision,test_incremental/macro_example/f1,test_pretraining/macro_types/f1,test_incremental_organization-company/macro_types/f1,test_incremental_organization-educational_institution/macro_types/recall,test_incremental_organization-terrorist_organization/macro_types/recall,test_incremental_only/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example/recall,test/micro/precision,test_incremental/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_organization-terrorist_organization/macro_types/precision,test_incremental_organization-company/macro_types/precision,test_incremental_organization-sports_league/macro_types/recall,test_incremental_organization-educational_institution/macro_types/precision,test/micro/f1,test/macro_example/f1,test_incremental/micro/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental_organization-sports_league/macro_types/f1,test/micro/recall,test/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_organization-company/macro_types/recall,test_pretraining/micro/precision,test_pretraining/macro_types/precision,test_incremental_organization/macro_types/f1,test_incremental/macro_example_exclusive/precision,test/macro_types/f1,test_incremental/macro_example/precision,test_incremental_organization-sports_team/macro_types/recall,test_incremental_organization-fraternity_sorority/macro_types/f1,test_incremental/micro/precision,test_incremental_organization-airline/macro_types/f1,test/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental/micro/recall,test_incremental_organization-airline/macro_types/recall,test_incremental_organization-airline/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_pretraining/micro/f1,test_pretraining/micro/recall,test_pretraining/macro_example/precision,epoch,test_incremental_organization/macro_types/precision,test_incremental_organization-sports_team/macro_types/f1,test_incremental_organization-sports_team/macro_types/precision,test_incremental_organization-educational_institution/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_organization-sports_league/macro_types/precision,test_incremental_organization-fraternity_sorority/macro_types/precision,test_incremental_organization-fraternity_sorority/macro_types/recall,threshold_pretraining,test_incremental/macro_types/precision,test_incremental_only/macro_types/recall,test/macro_example/recall,test_incremental/macro_types/recall
no_init_box_kenn_hybrid_adapter_bert_ms,2,p77hv2lr,0.904848039150238,0.4118673801422119,0.9258819818496704,0.8991416096687317,0.9230769276618958,0.5686274170875549,0.02,0.8946884870529175,0.126433864235878,0.8450512886047363,0.09433962404727936,0.47887325286865234,1.0,0.4123222827911377,0.7797659039497375,0.1119229942560196,0.905393660068512,0.8015209436416626,0.4554973840713501,0.8571428656578064,0.8333333134651184,0.6666666865348816,0.7906976938247681,0.8718324303627014,0.904848039150238,0.7348203659057617,0.9157894849777222,0.8863488435745239,0.800000011920929,0.8406704068183899,0.8006322383880615,0.7917271852493286,0.05749738588929176,0.054743677377700806,0.05000000074505806,0.905393660068512,0.8946884870529175,0.8363273739814758,0.8959226608276367,0.8450512886047363,0.14526793360710144,0.6451612710952759,1.0,0.8168044090270996,1.0,0.92413592338562,0.06054279953241348,0.667792797088623,1.0,1.0,0.6902718544006348,0.8718324303627014,0.8406704068183899,0.92413592338562,39,0.7817164063453674,0.7843137383460999,1.0,0.596491277217865,0.8006322383880615,0.43258506059646606,1.0,1.0,1.0,0.25,0.9078612923622132,0.6915287971496582,0.8863488435745239,0.7174803614616394
no_init_box_kenn_top_down_adapter_bert_ms,2,1odoco8i,0.9046702980995178,0.49171027541160583,0.8729878664016724,0.8991416096687317,0.9090909361839294,0.5950653553009033,0.01,0.8880767226219177,0.12962980568408966,0.846859335899353,0.15315315127372742,0.7323943376541138,1.0,0.4857819974422455,0.7994765043258667,0.11725817620754242,0.8971123099327087,0.8177377581596375,0.536649227142334,0.8333333134651184,0.7727272510528564,0.7666666507720947,0.5048543810844421,0.8712994456291199,0.9046702980995178,0.738024890422821,0.7677902579307556,0.8896195888519287,0.8679245114326477,0.8469305038452148,0.8092982769012451,0.8130744695663452,0.0682121068239212,0.0653560683131218,0.08500000089406967,0.8971123099327087,0.8880767226219177,0.8363273739814758,0.8937767744064331,0.846859335899353,0.1449199914932251,0.7419354915618896,1.0,0.7770859003067017,1.0,0.9202389717102052,0.07132916152477264,0.7027027010917664,1.0,1.0,0.7231759428977966,0.8712994456291199,0.8469305038452148,0.9202389717102052,39,0.7817164063453674,0.8518518805503845,1.0,0.5977011919021606,0.8092982769012451,0.5131978392601013,1.0,1.0,1.0,0.25,0.8615789413452148,0.7608566880226135,0.8896195888519287,0.7781422138214111
no_init_box_kenn_bottom_up_adapter_bert_ms,2,viy5ina0,0.9043896794319152,0.42757418751716614,0.898242712020874,0.8991416096687317,0.9230769276618958,0.5651491284370422,0.01,0.8912335634231567,0.12709718942642212,0.8441746830940247,0.1296296268701553,0.49295774102211,1.0,0.4265402853488922,0.783856987953186,0.11296682804822922,0.9017953872680664,0.7970600724220276,0.4712041914463043,0.8571428656578064,0.875,0.699999988079071,0.5555555820465088,0.8708094358444214,0.9043896794319152,0.7309334874153137,0.8372092843055725,0.886917233467102,0.8235293626785278,0.841882050037384,0.8018361330032349,0.7875587344169617,0.059590164572000504,0.05683135986328125,0.07000000029802322,0.9017953872680664,0.8912335634231567,0.8363273739814758,0.8959226608276367,0.8441746830940247,0.14526793360710144,0.6451612710952759,1.0,0.797603189945221,1.0,0.9225643873214722,0.06263048201799393,0.6745495200157166,1.0,1.0,0.6967096328735352,0.8708094358444214,0.841882050037384,0.9225643873214722,50,0.7817164063453674,0.7843137383460999,1.0,0.5223881006240845,0.8018361330032349,0.4483302235603333,1.0,1.0,1.0,0.25,0.8836768865585327,0.7011598944664001,0.886917233467102,0.7259076237678528
no_init_box_kenn_hybrid_adapter_bert_ms,1,q01i745l,0.9048291444778442,0.3913612961769104,0.9098785519599916,0.8991416096687317,0.8771929740905762,0.5478991866111755,0.01,0.8926880955696106,0.12553098797798157,0.8421589732170105,0.03864734247326851,0.47887325286865234,0.8333333134651184,0.3862559199333191,0.774197518825531,0.11041522026062012,0.9063523411750792,0.7803104519844055,0.4267016053199768,0.92592591047287,0.5714285969734192,0.6000000238418579,0.8717948794364929,0.8710793852806091,0.9048291444778442,0.7288665771484375,0.9421965479850768,0.8856413960456848,0.75,0.8384491205215454,0.7970435619354248,0.7669431567192078,0.05426527559757233,0.05201809480786323,0.019999999552965164,0.9063523411750792,0.8926880955696106,0.8363273739814758,0.8969956636428833,0.8421589732170105,0.14544188976287842,0.774193525314331,0.98305082321167,0.8208744525909424,0.98305082321167,0.9248666763305664,0.056715380400419235,0.6554054021835327,0.9666666388511658,1.0,0.6809728145599365,0.8710793852806091,0.8384491205215454,0.9248666763305664,33,0.7817164063453674,0.8727272748947144,1.0,0.6181818246841431,0.7970435619354248,0.4082681238651275,1.0,1.0,0.9666666388511658,0.25,0.8938581943511963,0.6628190875053406,0.8856413960456848,0.6923593282699585
no_init_box_kenn_top_down_adapter_bert_ms,1,ov6q0oty,0.9055022597312928,0.4253926873207092,0.9006659984588623,0.8991416096687317,0.8524589538574219,0.572357714176178,0.01,0.89153653383255,0.1268470287322998,0.8436884880065918,0.09259258955717088,0.5211267471313477,0.8666666746139526,0.41706159710884094,0.7823140621185303,0.11267687380313872,0.9052379727363586,0.7931559085845947,0.4607329964637756,0.8387096524238586,0.625,0.6666666865348816,0.8809523582458496,0.8719773888587952,0.9055022597312928,0.7359307408332825,0.9119170904159546,0.887305736541748,0.800000011920929,0.8410742878913879,0.8007147312164307,0.7827842235565186,0.05879637971520424,0.056541405618190765,0.05000000074505806,0.9052379727363586,0.89153653383255,0.8363273739814758,0.8948497772216797,0.8436884880065918,0.14509394764900208,0.774193525314331,1.0,0.8161865472793579,0.98305082321167,0.9244607090950012,0.061238691210746765,0.670045018196106,0.9666666388511658,1.0,0.6949212551116943,0.8719773888587952,0.8410742878913879,0.9244607090950012,33,0.7817164063453674,0.8571428060531616,0.959999978542328,0.6548672318458557,0.8007147312164307,0.442358136177063,1.0,1.0,1.0,0.25,0.8857972621917725,0.6921886205673218,0.887305736541748,0.7180577516555786
no_init_box_kenn_bottom_up_adapter_bert_ms,1,b1i9u2n2,0.9045742750167848,0.3808900713920593,0.9079452157020568,0.8991416096687317,0.8571428656578064,0.5380710959434509,0.01,0.8924463987350464,0.12508001923561096,0.8413082361221313,0.03864734247326851,0.43661972880363464,0.800000011920929,0.3767772614955902,0.7714163064956665,0.10971932113170624,0.9062705039978028,0.7737248539924622,0.41623038053512573,0.9230769276618958,0.5714285969734192,0.6333333253860474,0.8611111044883728,0.8706055283546448,0.9045742750167848,0.7256748080253601,0.9408283829689026,0.8852064609527588,0.7755101919174194,0.8376413583755493,0.7957130074501038,0.7590939998626709,0.05287082120776177,0.05062630772590637,0.019999999552965164,0.9062705039978028,0.8924463987350464,0.8363273739814758,0.8969956636428833,0.8413082361221313,0.14544188976287842,0.7419354915618896,0.98305082321167,0.8198581337928772,0.98305082321167,0.9248086810112,0.05532358959317207,0.6509009003639221,0.9666666388511658,1.0,0.6766809821128845,0.8706055283546448,0.8376413583755493,0.9248086810112,37,0.7817164063453674,0.8518518805503845,1.0,0.5794392228126526,0.7957130074501038,0.3977768123149872,1.0,1.0,0.9666666388511658,0.25,0.8921666145324707,0.6521745920181274,0.8852064609527588,0.6830453872680664
no_init_box_kenn_hybrid_adapter_bert_ms,0,bne9jbyc,0.9052483439445496,0.4267015755176544,0.944269359111786,0.8991416096687317,0.9090909361839294,0.5747126340866089,0.01,0.8969869613647461,0.1278994083404541,0.8444750905036926,0.19555555284023285,0.3661971688270569,1.0,0.4146919548511505,0.7888045310974121,0.11267687380313872,0.9062023758888244,0.7948829531669617,0.45811519026756287,0.8333333134651184,0.8799999952316284,0.4333333373069763,0.8965517282485962,0.8723158836364746,0.9052483439445496,0.7374301552772522,0.9358288645744324,0.8872187733650208,0.604651153087616,0.8408723473548889,0.7977715134620667,0.7829054594039917,0.05872894451022148,0.056715380400419235,0.10999999940395357,0.9062023758888244,0.8969869613647461,0.8363273739814758,0.9120171666145324,0.8444750905036926,0.1478775143623352,0.8709677457809448,0.98305082321167,0.8215767741203308,0.9655172228813172,0.9240257740020752,0.06089074537158013,0.6689189076423645,0.9333333373069764,1.0,0.6949213743209839,0.8723158836364746,0.8408723473548889,0.9240257740020752,32,0.7817164063453674,0.931034505367279,1.0,0.5199999213218689,0.7977715134620667,0.4418507218360901,1.0,1.0,0.9666666388511658,0.25,0.9239501953125,0.6686426401138306,0.8872187733650208,0.6974549889564514
no_init_box_kenn_top_down_adapter_bert_ms,0,m7v9qe8p,0.9062066078186036,0.48560214042663574,0.9154290556907654,0.8991416096687317,0.8955223560333252,0.6177847385406494,0.01,0.8933818936347961,0.13080623745918274,0.8466157913208008,0.2738589346408844,0.4225352108478546,1.0,0.46919432282447815,0.8067319989204407,0.116620272397995,0.9049059748649596,0.8144134879112244,0.518324613571167,0.8108108043670654,0.8048780560493469,0.5666666626930237,0.8823529481887817,0.8742039799690247,0.9062066078186036,0.7510651350021362,0.9041095972061156,0.8897877335548401,0.7083333134651184,0.8455169796943665,0.8045023679733276,0.8075957298278809,0.0666479766368866,0.0645441859960556,0.16500000655651093,0.9049059748649596,0.8933818936347961,0.8363273739814758,0.9184550046920776,0.8466157913208008,0.14892137050628662,0.9032257795333862,1.0,0.817218542098999,1.0,0.9232428669929504,0.06889352947473526,0.6948198080062866,1.0,1.0,0.719241738319397,0.8742039799690247,0.8455169796943665,0.9232428669929504,32,0.7817164063453674,0.9333333373069764,0.9655172228813172,0.5714285373687744,0.8045023679733276,0.501430094242096,0.9444444179534912,1.0,1.0,0.25,0.8987150192260742,0.7224897146224976,0.8897877335548401,0.7445710897445679
no_init_box_kenn_bottom_up_adapter_bert_ms,0,35nkclch,0.9053642749786376,0.4554974138736725,0.9012044668197632,0.8991416096687317,0.8955223560333252,0.592710018157959,0.01,0.8916038274765015,0.12955667078495026,0.8439144492149353,0.2738589346408844,0.2957746386528015,1.0,0.44312795996665955,0.7990254759788513,0.11464857310056686,0.904483437538147,0.7948496341705322,0.4895288050174713,0.8108108043670654,0.8048780560493469,0.5666666626930237,0.875,0.8728184700012207,0.9053642749786376,0.742192268371582,0.8947368264198303,0.8885409235954285,0.6800000071525574,0.8432956337928772,0.8010675311088562,0.7847899794578552,0.06272301077842712,0.06054279953241348,0.16500000655651093,0.904483437538147,0.8916038274765015,0.8363273739814758,0.9184550046920776,0.8439144492149353,0.14892137050628662,0.8709677457809448,0.98305082321167,0.8134227991104126,0.9836065173149108,0.9228368997573853,0.06506610661745071,0.6824324131011963,1.0,0.9677419066429138,0.7070815563201904,0.8728184700012207,0.8432956337928772,0.9228368997573853,45,0.7817164063453674,0.931034505367279,1.0,0.4421052038669586,0.8010675311088562,0.4719003438949585,0.8500000238418579,1.0,0.9666666388511658,0.25,0.8862683773040771,0.6950108408927917,0.8885409235954285,0.720527172088623
no_init_box_kenn_horizontal_adapter_bert_ms,2,zj4qndau,0.9031789302825928,0.32591623067855835,0.937898337841034,0.8991416096687317,0.8214284777641296,0.4920913875102997,0.01,0.8961905241012573,0.122791588306427,0.83934086561203,0.05797101557254791,0.19718310236930847,0.7666666507720947,0.33175355195999146,0.7573025822639465,0.10615286231040956,0.9064763784408568,0.7529110908508301,0.3664921522140503,0.8846153616905212,0.8571428656578064,0.6333333253860474,0.8235294222831726,0.8686231970787048,0.9031789302825928,0.7116486430168152,0.9523809552192688,0.8827650547027588,0.7755101919174194,0.8338045477867126,0.7892733812332153,0.7323175072669983,0.045857980847358704,0.04331941530108452,0.029999999329447743,0.9064763784408568,0.8961905241012573,0.8363273739814758,0.8980686068534851,0.83934086561203,0.14561587572097778,0.6774193644523621,0.98305082321167,0.818448007106781,0.9655172228813172,0.9245593547821044,0.0487125962972641,0.6295045018196106,0.9333333373069764,1.0,0.6546852588653564,0.8686231970787048,0.8338045477867126,0.9245593547821044,51,0.7817164063453674,0.807692289352417,1.0,0.3181818425655365,0.7892733812332153,0.345015287399292,1.0,1.0,0.9666666388511658,0.25,0.9183754920959472,0.6006575226783752,0.8827650547027588,0.6379680037498474
