name,test_incremental_only/micro/f1/mean,test_incremental_only/micro/precision/mean,test_incremental_other-art-film/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test/macro_example/recall/mean,test_pretraining/macro_example/f1/mean,threshold_pretraining/mean,test_incremental_other-art-stage/macro_types/precision/mean,test/micro/precision/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_other-art/macro_types/recall/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_other-art-stage/macro_types/f1/mean,test_incremental_other-art-broadcast/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_other-art-broadcast/macro_types/recall/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_other-art-stage/macro_types/recall/mean,test/macro_types/precision/mean,test_incremental_other-art-writing/macro_types/recall/mean,test/micro/recall/mean,test_incremental_other-art-broadcast/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental/micro/recall/mean,test_incremental_only/macro_types/f1/mean,test/macro_types/f1/mean,test_incremental/micro/f1/mean,test_pretraining/macro_types/precision/mean,test_incremental_other-art-music/macro_types/precision/mean,test_incremental_other-art/macro_types/precision/mean,test_incremental_only/macro_types/precision/mean,test_incremental_other-art-writing/macro_types/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_other-art-writing/macro_types/f1/mean,test_incremental/micro/precision/mean,test_pretraining/micro/precision/mean,test/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test/macro_example/precision/mean,test_incremental_other-art-film/macro_types/f1/mean,test_incremental_other-art-film/macro_types/precision/mean,threshold_incremental/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/micro/recall/mean,epoch/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_only/macro_types/recall/mean,test/micro/f1/mean,test_incremental_other-art/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_other-art-music/macro_types/recall/mean,test/macro_example/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_other-art-music/macro_types/f1/mean,test_incremental_only/micro/f1/std,test_incremental_only/micro/precision/std,test_incremental_other-art-film/macro_types/recall/std,test_incremental/macro_example/recall/std,test/macro_example/recall/std,test_pretraining/macro_example/f1/std,threshold_pretraining/std,test_incremental_other-art-stage/macro_types/precision/std,test/micro/precision/std,test_pretraining/micro/recall/std,test_incremental/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental_other-art/macro_types/recall/std,test_pretraining/micro/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_other-art-stage/macro_types/f1/std,test_incremental_other-art-broadcast/macro_types/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_other-art-broadcast/macro_types/recall/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_other-art-stage/macro_types/recall/std,test/macro_types/precision/std,test_incremental_other-art-writing/macro_types/recall/std,test/micro/recall/std,test_incremental_other-art-broadcast/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental/micro/recall/std,test_incremental_only/macro_types/f1/std,test/macro_types/f1/std,test_incremental/micro/f1/std,test_pretraining/macro_types/precision/std,test_incremental_other-art-music/macro_types/precision/std,test_incremental_other-art/macro_types/precision/std,test_incremental_only/macro_types/precision/std,test_incremental_other-art-writing/macro_types/precision/std,test_incremental/macro_types/precision/std,test_incremental_other-art-writing/macro_types/f1/std,test_incremental/micro/precision/std,test_pretraining/micro/precision/std,test/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test/macro_example/precision/std,test_incremental_other-art-film/macro_types/f1/std,test_incremental_other-art-film/macro_types/precision/std,threshold_incremental/std,test_incremental/macro_example_exclusive/precision/std,test_pretraining/macro_types/f1/std,test_incremental_only/micro/recall/std,epoch/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example/precision/std,test_incremental_only/macro_types/recall/std,test/micro/f1/std,test_incremental_other-art/macro_types/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_other-art-music/macro_types/recall/std,test/macro_example/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_other-art-music/macro_types/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.5869937141736349,0.6401632229487101,0.4961240291595459,0.056131117045879364,0.7945969303448995,0.8231161832809448,0.26,0.988095243771871,0.8407536149024963,0.7841088771820068,0.6993555823961893,0.658310075600942,0.8974359035491943,0.8114417394002279,0.6506442228953043,0.9029374718666077,0.6310378909111023,0.624102254708608,0.7008547186851501,0.5777777830759684,0.062928752352794,0.0467302513619264,0.8333333333333334,0.755493680636088,0.4482758641242981,0.7841088771820068,0.7235010067621866,0.7293447653452555,0.6984127163887024,0.6653732458750407,0.7035597165425619,0.7014467716217041,0.755493680636088,0.9681818087895712,0.7692307829856873,0.8009608387947083,0.3401775856812795,0.7956724762916565,0.3832752505938212,0.7051967779795328,0.8407536149024963,0.658310075600942,0.6071937481562296,0.8537599444389343,0.6597756346066793,0.9848484794298807,0.016666666666666666,0.9305555621782938,0.7035597165425619,0.5439469218254089,25.0,0.8537599444389343,0.07161651303370793,0.5694355567296346,0.8114417394002279,0.8284023404121399,0.05393849561611811,0.8176704247792562,0.49166665474573773,0.8231161832809448,0.7945969303448995,0.050074245780706406,0.6516067981719971,0.0472362749198228,0.08155980111081845,0.013426756848643893,0.001524091524184349,0.0008998367837927002,0.0012825699444289121,0.0,0.020619642638841567,0.003792978642344633,0.0010965969370601543,0.015530413983740443,0.0027781762669161774,0.0,0.0021319746974240864,0.03923621270026435,0.024332744782563837,0.07317473733396486,0.02407733178548771,0.03700963043442662,0.15030833155637982,0.0010074428408890028,0.0031313309234137737,0.05773500627130796,0.0006936565392193094,0.05972587033649569,0.0010965969370601543,0.050854016484287286,0.019803455109105837,0.016172275483945883,0.02007216869131797,0.0016597504304010323,0.027573855809128266,0.0006936565392193094,0.027648928520500615,0.0,0.007213897666424603,0.10794810930003058,0.0060115714366795504,0.09177581561663749,0.044208993027104064,0.003792978642344633,0.0027781762669161774,0.040687205082972765,0.0020259565897008734,0.015684701267399345,0.026243203439371407,0.005773502691896258,0.0018504600139870892,0.0016597504304010323,0.028723881491367887,9.643650760992955,0.0020259565897008734,0.00014241289617166825,0.02889279207740801,0.0021319746974240864,0.0,0.0028482966377857397,0.01309035647908005,0.02886750313565398,0.0012825699444289121,0.0008998367837927002,0.0030196549163636374,0.02298958830138171
no_init_box_kenn_hybrid_adapter_bert_ms,0.5899641911188761,0.6393919984499613,0.5038759708404541,0.056377785901228585,0.7947394649187723,0.8231939673423767,0.26,0.988095243771871,0.840836763381958,0.784298837184906,0.6990644335746765,0.6586267550786337,0.8974359035491943,0.8115830421447754,0.6570899287859598,0.9029374718666077,0.613618274529775,0.6268470287322998,0.7072649995485941,0.5666666626930237,0.06305055320262909,0.04722359155615171,0.8333333333333334,0.7549513578414917,0.45977012316385907,0.784298837184906,0.7012787858645121,0.7325498859087626,0.7012138366699219,0.6653923392295837,0.7035026152928671,0.703201154867808,0.7549513578414917,0.9688405791918436,0.7692307829856873,0.7953205506006876,0.3335396945476532,0.7909722725550333,0.3855781555175781,0.7056263287862142,0.840836763381958,0.6586267550786337,0.6136040290196737,0.853762666384379,0.6666666666666666,0.9848484794298807,0.02666666666666667,0.929487188657125,0.7035026152928671,0.548922061920166,20.0,0.853762666384379,0.07153429090976715,0.572729229927063,0.8115830421447754,0.8284023404121399,0.05443183581034342,0.8192530671755472,0.5,0.8231939673423767,0.7947394649187723,0.05057030916213989,0.658604621887207,0.017382623791628856,0.03451649322229093,0.013426756848643893,0.0015240896819052338,0.00087357002608968,0.00028772516596083797,0.0,0.020619642638841567,0.0017180999030425206,0.001112928409679241,0.007579979843975982,0.0025539195780016955,0.0,0.0006762270045767726,0.03930110443170167,0.024332744782563837,0.05238263498313688,0.0221339780369888,0.03756068702516176,0.13333332538604736,0.0009471040684319706,0.0031118388580240177,0.05773500627130796,0.0018063431346213579,0.07963451098837311,0.001112928409679241,0.0886372763200694,0.01980340124753941,0.01641306702473661,0.011140871873446184,0.0006974884553549652,0.009159079067909845,0.0018063431346213579,0.027181160236847128,0.0,0.018785872424444364,0.039241362238777035,0.015654864752926358,0.04940864374428707,0.01886147136964759,0.0017180999030425206,0.0025539195780016955,0.0404339481821861,0.0007772990268124562,0.017764657021276706,0.026243203439371407,0.02886751345948129,3.4412757714036146e-08,0.0006974884553549652,0.029151558910161326,1.7320508075688772,0.0007772990268124562,0.0,0.0265607699042368,0.0006762270045767726,0.0,0.0028907054993651373,0.012306351661969526,0.043301280513049246,0.00028772516596083797,0.00087357002608968,0.003024651325025291,0.03489016902520827
no_init_box_kenn_top_down_adapter_bert_ms,0.5339532891909281,0.5106138090292612,0.4883720974127452,0.0569807601471742,0.7951286633809408,0.820948084195455,0.26,0.9189645449320475,0.8330731391906738,0.7848053177197775,0.6749287843704224,0.6600490808486938,0.8974359035491943,0.8082157174746195,0.6730483969052633,0.8783887028694153,0.5201856990655264,0.6391736467679342,0.7243589957555135,0.6111111243565878,0.06341961026191711,0.0483747199177742,0.8444444338480631,0.7466294368108114,0.477011501789093,0.7848053177197775,0.5010173320770264,0.7403846383094788,0.7086834907531738,0.6399000883102417,0.7006521821022034,0.6649115482966105,0.7466294368108114,0.8852941195170084,0.7692307829856873,0.7087727189064026,0.2675731082757314,0.7188491026560465,0.34267046054204303,0.6270195444424947,0.8330731391906738,0.6600490808486938,0.628561278184255,0.8485058943430582,0.6494024594624838,0.9710144996643066,0.023333333333333334,0.929487188657125,0.7006521821022034,0.5621890624364217,24.333333333333332,0.8485058943430582,0.07153429090976715,0.5875211954116821,0.8082157174746195,0.8284023404121399,0.05574740717808405,0.8240483601888021,0.5166666706403097,0.820948084195455,0.7951286633809408,0.0517984963953495,0.642016589641571,0.009777583266145553,0.022056576796204697,0.023255810141565008,0.0020764449267484508,0.0012702179716052445,0.0005990061659566227,0.0,0.044922489637863876,0.002551123505049059,0.0016228096903559402,0.013179632268335956,0.0038578532441387882,0.0,0.00041415439079172414,0.05415760702612184,0.006344372812496523,0.11259624971716456,0.03343483873151854,0.05476924628103197,0.10715167491612135,0.0012876911224951766,0.004112263142976567,0.050917491680013006,0.006484561050491248,0.09495811963263924,0.0016228096903559402,0.22445091764041342,0.026980432468040112,0.023932782173824153,0.014704179348940439,0.001574251888009124,0.0031176119067397247,0.006484561050491248,0.15737354310549587,0.0,0.0674394217721799,0.06882645008552267,0.05619951814348326,0.08090088189692331,0.01907959463262116,0.002551123505049059,0.0038578532441387882,0.05343305844518072,0.002371340420817588,0.023844488331137288,0.05020435926422556,0.023094010767585032,3.4412757714036146e-08,0.001574251888009124,0.042507465614869885,10.408329997330664,0.002371340420817588,0.0,0.04012179055465173,0.00041415439079172414,0.0,0.0042150950170239294,0.016731693658451202,0.07216880085508208,0.0005990061659566227,0.0012702179716052445,0.0041680192578500905,0.0078610116460086
no_init_kenn_bottom_up_adapter_bert_ms,0.5840210517247518,0.5982550283273061,0.4883720974127452,0.05913226927320162,0.8537883361180624,0.8576058944066366,0.33,0.7528455456097921,0.8467895785967509,0.8455840349197388,0.6495437423388163,0.7939646442731222,0.935897409915924,0.8461801807085673,0.662679135799408,0.7783888777097067,0.5690878629684448,0.6576528747876486,0.6797720988591512,0.6222222248713175,0.06275381396214168,0.04988214621941248,0.8333333333333334,0.840907633304596,0.48275862137476605,0.8455840349197388,0.5302139123280843,0.7683405081431071,0.7338935732841492,0.6075260440508524,0.816724161307017,0.7048513293266296,0.840907633304596,0.6514939367771149,0.7724867463111877,0.624269962310791,0.5037605861822764,0.6489727894465128,0.49023305376370746,0.6799048980077108,0.8467895785967509,0.7939646442731222,0.6481481790542603,0.8614598115285238,0.5624348819255829,0.6830357213815054,0.3333333333333333,0.8691239555676779,0.816724161307017,0.5771144231160482,25.333333333333332,0.8614598115285238,0.06688866764307022,0.6020039518674215,0.8461801807085673,0.8463767766952515,0.05231595536073049,0.8153973619143168,0.5833333333333334,0.8576058944066366,0.8537883361180624,0.051000465949376426,0.599308709303538,0.06393264682508153,0.12389437122560523,0.023255810141565,0.0011033980312820436,0.00046148465138579997,0.0014042758290292183,0.0,0.21603385454806148,0.005974451651655517,0.0008703890313925505,0.06455015553884487,0.001710532359769519,0.0,0.0032051148923059217,0.05675362856609566,0.10275359155997865,0.04823010097676106,0.014824490397061293,0.0876710254178088,0.019244990619516757,0.002229035950807173,0.0022083237579462425,0.05773500627130796,0.014539447362519392,0.07515342935376024,0.0008703890313925505,0.08766507304939211,0.014337067574647085,0.012836345719364267,0.07366322263530803,0.007162450310170585,0.03943048313997185,0.014539447362519392,0.2314342015776481,0.0,0.15121011858341876,0.056471651862001676,0.126008432152849,0.05124712983350856,0.06857426890439111,0.005974451651655517,0.001710532359769519,0.028694076709310182,0.002545115903286277,0.09308797092190849,0.2214563812802314,0.12096831541082702,0.04907102509215122,0.007162450310170585,0.022798865029635268,11.372481406154654,0.002545115903286277,0.003776558588808075,0.017789360070621256,0.0032051148923059217,0.0,0.006747251683450005,0.0289631224050639,0.03818812688926039,0.0014042758290292183,0.00046148465138579997,0.004367812552516707,0.07659298118556272
no_init_kenn_hybrid_adapter_bert_ms,0.5797051986058553,0.6043168803056082,0.4806201656659444,0.05881707991162936,0.8535910050074259,0.8577415744463602,0.33,0.7405660351117452,0.8469269673029581,0.8452674945195516,0.6465140581130981,0.7932703296343485,0.935897409915924,0.8460815946261088,0.6563747326532999,0.7618980606396993,0.5572449962298075,0.651635468006134,0.6740384697914124,0.6222222248713175,0.062267426401376724,0.04933398962020874,0.8222222129503886,0.8410888910293579,0.46551724274953205,0.8452674945195516,0.5049929122130076,0.7642450531323751,0.7292250394821167,0.6032203634579977,0.8164360721906027,0.7032566666603088,0.8410888910293579,0.6772025724252065,0.7724867463111877,0.6261550188064575,0.5413468976815542,0.6505436698595682,0.48449639479319256,0.6830254991849264,0.8469269673029581,0.7932703296343485,0.6410256624221802,0.8619367678960165,0.551515152057012,0.6666666766007742,0.36333333333333334,0.861039916674296,0.8164360721906027,0.5688225527604421,23.333333333333332,0.8619367678960165,0.06626651187737782,0.5947830677032471,0.8460815946261088,0.8463767766952515,0.05187469099958738,0.8090774218241373,0.5833333333333334,0.8577415744463602,0.8535910050074259,0.050515271723270416,0.6138634383678436,0.0696665950335921,0.12500460274907185,0.048410843578305,0.0030768807374295134,0.0017603655993201767,0.0012583621796281004,0.0,0.2642772649070093,0.007711302749127072,0.0024050113480973984,0.07191704565592769,0.004948158331647697,0.0,0.0037258406658522555,0.08283447728337523,0.15370990893001046,0.008730906069507646,0.04288409384551907,0.09586868008587535,0.019244990619516757,0.0022324462904636075,0.006107261895835383,0.019244990619516757,0.014608970310893681,0.1493147188571864,0.0024050113480973984,0.015431709268465816,0.039979714071019225,0.0354685691524305,0.08423309177796995,0.007596074226263042,0.04343286887889035,0.014608970310893681,0.2540286331576365,0.0,0.1519333259819062,0.05922306193089757,0.12661109154628722,0.07769773954345881,0.07763068755686742,0.007711302749127072,0.004948158331647697,0.07935527123572,0.0022930723061973315,0.10157582805660706,0.2062135058231875,0.11676186592091328,0.04013584685361426,0.007596074226263042,0.06299641931857301,12.701705922171767,0.0022930723061973315,0.0030888996468807837,0.05146094722715477,0.0037258406658522555,0.0,0.007378155020095396,0.02900740796719871,0.03818812688926036,0.0012583621796281004,0.0017603655993201767,0.006375024492729313,0.1310507321205301
no_init_kenn_top_down_adapter_bert_ms,0.5121187170346578,0.45502465466658276,0.5271317958831787,0.06137970710794131,0.8552655776341757,0.85519806543986,0.33,0.59782608350118,0.8285363515218099,0.8478632569313049,0.5940036078294119,0.7988288203875223,0.935897409915924,0.8379231293996176,0.6368504762649536,0.649312694867452,0.44377991557121277,0.6998088558514913,0.611324816942215,0.6222222248713175,0.059596886237462364,0.05380145708719889,0.8222222129503886,0.8280576467514038,0.5747126340866089,0.8478632569313049,0.35837438702583313,0.7975427905718485,0.767507016658783,0.5372497240702311,0.8130772908528646,0.639785627524058,0.8280576467514038,0.5318510681390762,0.7724867463111877,0.4906305819749832,0.44074798623720807,0.5376066366831461,0.497602641582489,0.5641186336676279,0.8285363515218099,0.7988288203875223,0.6990741292635599,0.8551698525746664,0.49052706360816956,0.5243534743785858,0.22,0.7677706877390543,0.8130772908528646,0.6368159254391988,21.333333333333332,0.8551698525746664,0.059088416397571564,0.6525911291440328,0.8379231293996176,0.8463767766952515,0.04704818005363146,0.7743775844573975,0.7166666587193807,0.85519806543986,0.8552655776341757,0.049012662221988045,0.5399753948052725,0.14673095536485692,0.19465546413143697,0.035523859535645054,0.002066651905931378,0.001282590409458104,0.0049594572908910825,0.0,0.3779421453260466,0.02770036445318495,0.001811843631762609,0.1353226963116288,0.0041808819060674025,0.0,0.014026198482335345,0.16813316959410946,0.2641738293991899,0.15683549763187063,0.03623437873715751,0.24272287746527535,0.13471505232321618,0.008387900892630322,0.004319922130232352,0.019244990619516757,0.02270620594583889,0.07178159128979529,0.001811843631762609,0.1640798981763017,0.02685325384461956,0.026720984441393234,0.17009597842120594,0.011333365656877332,0.11726186664593839,0.02270620594583889,0.3377597295839268,0.0,0.2361447060164086,0.06969045225824079,0.19678726770995358,0.06678767539348143,0.16547235115642106,0.02770036445318495,0.0041808819060674025,0.05613130388209808,0.009869963860630463,0.16826787965143405,0.29275895268418595,0.12767145334803703,0.18745447174048202,0.011333365656877332,0.047459674227480805,14.977761292440647,0.009869963860630463,0.014426692138545019,0.04348127230837283,0.014026198482335345,0.0,0.01868020214255252,0.10898895254654825,0.20361319269777575,0.0049594572908910825,0.001282590409458104,0.012939699773987947,0.18729130670010288
smart_init_box_adapter_bert_ms,0.14535939445098242,0.08043743421634038,1.0,0.07290467619895935,0.8062041203180949,0.7428292830785116,0.26,0.05944374886651834,0.5441084603468577,0.8011395931243896,0.3234018087387085,0.6988945007324219,0.8974359035491943,0.6416443785031637,0.41006505489349365,0.11013356347878774,0.11231253792842229,0.9758338332176208,0.25865386923154193,1.0,0.04101863627632459,0.07613879193862279,0.9888888796170553,0.6862021088600159,0.977011501789093,0.8011395931243896,0.060637780154744796,0.9472934405008951,0.9495798349380493,0.1452215239405632,0.6924797892570496,0.21482127159833908,0.6862021088600159,0.08272335429986317,0.7692307829856873,0.08032838130990665,0.10997217893600464,0.1951454629500707,0.19198072204987207,0.12523576120535532,0.5441084603468577,0.6988945007324219,0.9893162449200948,0.6941575805346171,0.15917090574900308,0.08886482939124107,0.04,0.3708333571751912,0.6924797892570496,0.9900497396787008,9.666666666666666,0.6941575805346171,0.028539714713891346,0.9915134310722351,0.6416443785031637,0.8284023404121399,0.019906265661120415,0.5329793691635132,0.9916666746139526,0.7428292830785116,0.8062041203180949,0.031559026489655174,0.14897951732079187,0.09358417345451948,0.056173026559570065,0.0,0.000559682941145894,0.00033564477010032716,0.06424382065383827,0.0,0.041225189059651404,0.136092615169639,0.0005025306060036647,0.06302821333580129,0.0011383594670189368,0.0,0.09474573730258587,0.002589340945013597,0.07181156976812576,0.07507125644950877,0.009865944270353335,0.0028487838643187924,0.0,0.0003166162280852514,0.0010269695084888467,0.01924502503227447,0.005389126079606199,0.026336643046311895,0.0005025306060036647,0.04301515203863934,0.007272300816955767,0.007411067656486155,0.09344983479228858,0.0021782008777547902,0.12361362915574371,0.005389126079606199,0.05874595135792562,0.0,0.05604695435034349,0.07377383666547287,0.04670579851480366,0.1148308630432462,0.08193904163473505,0.136092615169639,0.0011383594670189368,0.013344014407823459,0.11030690371115401,0.104321331605264,0.06347787510083609,0.04358898943540673,0.0050372552584930464,0.0021782008777547902,0.013162949635777957,1.1547005383792517,0.11030690371115401,0.0003876714213026794,0.011839112696889663,0.09474573730258587,0.0,0.00021924517800753942,0.004113963832400585,0.014433742964637482,0.06424382065383827,0.00033564477010032716,0.0001992793002680921,0.09735371864646479
smart_init_classifier_adapter_bert_ms,0.4918740888436635,0.43574101229508716,0.6666666666666666,0.06560050323605537,0.8580392599105835,0.8519671161969503,0.33,0.5885794957478842,0.8033397396405538,0.851915160814921,0.5893183449904124,0.808808445930481,0.935897409915924,0.8255360921223959,0.6689649820327759,0.625711997350057,0.42733824749787647,0.7862990299860636,0.6313746770222982,0.7666666706403097,0.059467993676662445,0.06147563457489014,0.8999999761581421,0.8268625140190125,0.7068965633710226,0.851915160814921,0.3497683381040891,0.8523860772450765,0.8272642493247986,0.5201975107192993,0.8173418641090393,0.6019500990708669,0.8268625140190125,0.5359677573045095,0.7724867463111877,0.4782008230686188,0.37666010359923047,0.5272484918435415,0.4630427857240041,0.5234558482964834,0.8033397396405538,0.808808445930481,0.7987891832987467,0.8463243246078491,0.4965154528617859,0.5400283883015314,0.18000000000000002,0.7519231041272482,0.8173418641090393,0.7429519097010294,23.0,0.8463243246078491,0.05786876752972603,0.7563793063163757,0.8255360921223959,0.8463767766952515,0.04859123999873797,0.7727027932802836,0.7416666547457377,0.8519671161969503,0.8580392599105835,0.05148423214753469,0.5276540915171305,0.19734598142968032,0.2449559561005077,0.2695401255086192,0.0068282895301889175,0.004875659565179433,0.010548244328268864,0.0,0.4410712264595421,0.0726581832083988,0.007361813295023097,0.16487382145152332,0.01753185414714975,0.0,0.036382844471049954,0.13785859799162356,0.36190012596165855,0.195185526018894,0.15194286235122287,0.24226127983484716,0.18559215042347896,0.010058309594114124,0.011644495864699204,0.06666666269302368,0.02776334457441244,0.20327286958618665,0.007361813295023097,0.21967465436864364,0.08872396573415406,0.10857126792753075,0.22544642149498192,0.007234336687822302,0.19302818551226503,0.02776334457441244,0.37371596717927646,0.0,0.2887386604189013,0.138863736092296,0.24061557785154317,0.10151750793281733,0.24810213156590505,0.0726581832083988,0.01753185414714975,0.1513037918664981,0.024954972350363085,0.18258970143632994,0.32705847409053257,0.15394804318340652,0.24931979731197165,0.007234336687822302,0.1928355360012179,14.52583904633395,0.024954972350363085,0.019187903837469034,0.18233142877035757,0.036382844471049954,0.0,0.018644673608427254,0.13069358148149118,0.2268443023433884,0.010548244328268864,0.004875659565179433,0.010609735287775481,0.24854871355836897
