name,test_incremental_only/macro_types/precision/mean,test_incremental_other-art-broadcast/macro_types/recall/mean,test_incremental/micro/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_incremental_other-art-music/macro_types/f1/mean,test/macro_types/f1/mean,threshold_incremental/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_other-art-stage/macro_types/precision/mean,test/micro/precision/mean,test_incremental_other-art-music/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_other-art-stage/macro_types/f1/mean,test/micro/f1/mean,threshold_pretraining/mean,test_pretraining/macro_types/f1/mean,test_incremental_other-art-writing/macro_types/precision/mean,test_incremental_other-art/macro_types/precision/mean,test_incremental_other-art-broadcast/macro_types/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_other-art-music/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental_other-art-stage/macro_types/recall/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test/micro/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/micro/recall/mean,test/macro_example/recall/mean,test_pretraining/macro_example/f1/mean,test_pretraining/macro_types/precision/mean,epoch/mean,test/macro_example/f1/mean,test_incremental_other-art-film/macro_types/precision/mean,test_incremental_other-art-writing/macro_types/recall/mean,test/macro_types/recall/mean,test_incremental_other-art-broadcast/macro_types/precision/mean,test_pretraining/micro/precision/mean,test_incremental_only/micro/recall/mean,test_pretraining/macro_example/precision/mean,test/macro_example/precision/mean,test_incremental_other-art-writing/macro_types/f1/mean,test_pretraining/micro/f1/mean,test_incremental_other-art-film/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_other-art-film/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_other-art/macro_types/recall/mean,test_incremental_other-art/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_only/macro_types/precision/std,test_incremental_other-art-broadcast/macro_types/recall/std,test_incremental/micro/f1/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/recall/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_types/recall/std,test_incremental_only/micro/precision/std,test_incremental_other-art-music/macro_types/f1/std,test/macro_types/f1/std,threshold_incremental/std,test_incremental/macro_types/f1/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_other-art-stage/macro_types/precision/std,test/micro/precision/std,test_incremental_other-art-music/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_other-art-stage/macro_types/f1/std,test/micro/f1/std,threshold_pretraining/std,test_pretraining/macro_types/f1/std,test_incremental_other-art-writing/macro_types/precision/std,test_incremental_other-art/macro_types/precision/std,test_incremental_other-art-broadcast/macro_types/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_other-art-music/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_incremental_other-art-stage/macro_types/recall/std,test_pretraining/micro/recall/std,test_incremental_only/macro_example/recall/std,test/micro/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/micro/recall/std,test/macro_example/recall/std,test_pretraining/macro_example/f1/std,test_pretraining/macro_types/precision/std,epoch/std,test/macro_example/f1/std,test_incremental_other-art-film/macro_types/precision/std,test_incremental_other-art-writing/macro_types/recall/std,test/macro_types/recall/std,test_incremental_other-art-broadcast/macro_types/precision/std,test_pretraining/micro/precision/std,test_incremental_only/micro/recall/std,test_pretraining/macro_example/precision/std,test/macro_example/precision/std,test_incremental_other-art-writing/macro_types/f1/std,test_pretraining/micro/f1/std,test_incremental_other-art-film/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental_other-art-film/macro_types/recall/std,test_incremental/macro_example/recall/std,test/macro_types/precision/std,test_incremental/macro_example/f1/std,test_incremental_other-art/macro_types/recall/std,test_incremental_other-art/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.4288329916695754,0.46666666865348816,0.4210488051176071,0.19764565800627074,0.7916889588038126,0.5333797236283621,0.02063884772360325,0.5332328205307325,0.48556599020957947,0.4605684777100881,0.6478420694669088,0.57471110795935,0.20337734495600066,0.6803408861160278,0.03333333333333333,0.36371155579884845,0.6570513149102529,0.671600065814952,0.6600767175356547,0.46666666865348816,0.2681727359692256,0.3430562311162551,0.6777490079402924,0.26,0.6803408861160278,0.009537904833753904,0.7692307829856873,0.21485109068453312,0.2290598452091217,0.6101217865943909,0.017628679672876995,0.33991119886438054,0.208505067974329,0.5555555621782938,0.7803102334340414,0.0350271329904596,0.7803102334340414,0.45512821276982623,0.6423903008302053,0.7916889588038126,0.683763176202774,0.7197121580441793,35.333333333333336,0.683763176202774,0.6737378717710575,0.3333333333333333,0.6478420694669088,0.44937785683820647,0.6600767175356547,0.4444444477558136,0.6641716957092285,0.6641716957092285,0.0185451644162337,0.6777490079402924,0.25263651957114536,0.0555007370809714,0.4806201606988907,0.050567341347535454,0.7197121580441793,0.04695559541384379,0.8974359035491943,0.8284023404121399,0.7211538553237915,0.37469916714894724,0.46308146445580445,0.3096070612297577,0.1444333634036716,0.01283345332765516,0.3903946378425794,0.009975447399873081,0.4331696755114087,0.3122493359360925,0.4684735742130895,0.0450455396654802,0.48090746064411194,0.3193286427959555,0.010781245238496029,0.041633319989322654,0.10771479462398365,0.2571370078819283,0.5688053712107785,0.32592097367264083,0.5033222952899753,0.12961689769036078,0.27183458163799357,0.2239904115929575,0.0,0.010781245238496029,0.016520135769818547,0.0,0.1687848126475276,0.048486866429994974,0.07010359929189863,0.003731598207055597,0.5717388151482456,0.15666899715441396,0.3849001737242909,0.01840916630475139,0.03645711856355467,0.01840916630475139,0.47370883453297036,0.27149682572770517,0.01283345332765516,0.23481795766225572,0.03602875765954643,9.71253485622231,0.23481795766225572,0.5651025826780806,0.5773502691896258,0.0450455396654802,0.39241430156593193,0.32592097367264083,0.48221078873959655,0.3350999381577464,0.3350999381577464,0.03212116700363518,0.2239904115929575,0.19882615358468442,0.023498465543509917,0.45353805710811684,0.019789533364099204,0.03602875765954643,0.005395241619954934,0.0,0.0,0.30532946398870475
no_init_box_kenn_hybrid_adapter_bert_ms,0.4954996543625991,0.46666666865348816,0.4356745531161626,0.23784540966153145,0.7925660014152527,0.555601954460144,0.023286566759149235,0.5440596267580986,0.5411215275526047,0.4872351437807083,0.6504061818122864,0.6216528254250685,0.3938535439471404,0.6845352451006571,0.04666666666666667,0.3957553803920746,0.6741453409194946,0.671600065814952,0.6605413357416788,0.600000003973643,0.30257610976696014,0.3430562311162551,0.6785163780053457,0.26,0.6845352451006571,0.009537904833753904,0.7692307829856873,0.21485109068453312,0.26324787735939026,0.6239501237869263,0.020259826133648556,0.6732445321977139,0.24695695315798125,0.5555555621782938,0.7813231945037842,0.037658279140790306,0.7813231945037842,0.48931624988714856,0.6573296189308167,0.7925660014152527,0.684298187494278,0.7261224190394083,35.333333333333336,0.684298187494278,0.6737378717710575,0.3333333333333333,0.6504061818122864,0.44937785683820647,0.6605413357416788,0.47097844382127124,0.6642951766649882,0.6642951766649882,0.0185451644162337,0.6785163780053457,0.25263651957114536,0.0555007370809714,0.4806201606988907,0.05188291395703951,0.7261224190394083,0.048019840071598686,0.8974359035491943,0.8284023404121399,0.7211538553237915,0.4125389997824155,0.46308146445580445,0.3219858282999147,0.17255678045554154,0.012031853080894854,0.3700792389545678,0.007184086529655395,0.4425455910621512,0.3437825189705773,0.444095104994168,0.042701446729370436,0.5212483203309265,0.3075690139982524,0.004695611161979753,0.06429100507328636,0.12422622626923585,0.2415356457438802,0.5688053712107785,0.3263233135766506,0.3464101580724997,0.09334710153256495,0.27183458163799357,0.22465418133644507,0.0,0.004695611161979753,0.016520135769818547,0.0,0.1687848126475276,0.010751906259467625,0.08008415832782519,0.000827479220019247,0.5659570718844961,0.18021672254267115,0.3849001737242909,0.017492793250296616,0.034045220287191695,0.017492793250296616,0.44236961365160943,0.2579820120314754,0.012031853080894854,0.23528091786207514,0.03966720869109211,9.71253485622231,0.23528091786207514,0.5651025826780806,0.5773502691896258,0.042701446729370436,0.39241430156593193,0.3263233135766506,0.4582068821890171,0.33520677159932877,0.33520677159932877,0.03212116700363518,0.22465418133644507,0.19882615358468442,0.023498465543509917,0.45353805710811684,0.018588837810854082,0.03966720869109211,0.006163357452096618,0.0,0.0,0.30532946398870475
no_init_box_kenn_top_down_adapter_bert_ms,0.6113756696383158,0.22222222884496054,0.5935635566711426,0.2553533414999644,0.7840284903844198,0.2964065472284953,0.014541510958224535,0.7802401185035706,0.6376848816871643,0.17620067050059637,0.6204990148544312,0.800520102183024,0.3809523979822795,0.6738230586051941,0.12000000000000001,0.4042583703994751,0.5053419172763824,1.0,0.8481770555178324,0.26666667064030963,0.18894643584887186,0.35483871152003604,0.8068098028500875,0.26,0.6738230586051941,0.07407407462596893,0.7692307829856873,0.3270968794822693,0.2008547013004621,0.6470823287963867,0.015457984370489916,0.6666666666666666,0.272354319691658,0.23333334053556123,0.7692940632502238,0.013731293690701326,0.7692940632502238,0.1784188151359558,0.4799253245194753,0.7840284903844198,0.8192156155904134,0.7372643351554871,34.666666666666664,0.8192156155904134,0.6666666666666666,0.01149425283074379,0.6204990148544312,0.6494709054629008,0.8481770555178324,0.15588723371426264,0.8577134211858114,0.8577134211858114,0.019900497049093246,0.8068098028500875,0.23878788948059082,0.06956092516581218,0.14728682736555734,0.03889162838459015,0.7372643351554871,0.04980011781056722,0.8974359035491943,0.8284023404121399,0.9038461446762085,0.248434669526654,0.06938887086430638,0.0453492403330834,0.14131208772603243,0.002796069691150592,0.0791524452097461,0.008444957134591521,0.01885274231499439,0.207028904574699,0.09498294370287731,0.00913299716135459,0.1252547528802293,0.32991445428525373,0.015303888922166725,0.1493318452306808,0.11488131878989825,0.053759607699896884,0.0,0.0006437243033439553,0.2309401111171261,0.10973030813799896,0.25142672693946033,0.0021522350538080177,0.0,0.015303888922166725,0.12830006077582679,0.0,0.07696583113571503,0.11860417745139962,0.04518127890664789,0.00912789981988314,0.5773502691896258,0.13987665865778703,0.1732050854886419,0.0035141879990459573,0.007848343563211062,0.0035141879990459573,0.10197816747911972,0.0518270508292698,0.002796069691150592,0.0015226566439796507,0.02388794276851832,8.621678104251707,0.0015226566439796507,0.5773502691896258,0.019908629897890634,0.00913299716135459,0.09739078187716649,0.0006437243033439553,0.09205100775052573,0.00023503587018018139,0.00023503587018018139,0.03446867198490402,0.0021522350538080177,0.22108175215898815,0.0004933401942440647,0.1401793967658211,0.004137393953124787,0.02388794276851832,0.0034771991855209617,0.0,0.0,0.006410241127014243
no_init_kenn_bottom_up_adapter_bert_ms,0.2044830471277237,0.46666667858759564,0.4751558105150859,0.28222542504469555,0.8502061168352762,0.5413819352785746,0.019016580035289127,0.36746230721473694,0.29915032784144086,0.4624788463115692,0.7805487910906473,0.20212864875793457,0.18346956123908362,0.7904125452041626,0.02666666666666667,0.3852519194285075,0.6951567530632019,0.15712664276361465,0.8021467526753744,0.3333333333333333,0.2470936725536982,0.23643078903357187,0.8213064670562744,0.33,0.7904125452041626,0.3409731984138489,0.7724867463111877,0.23868188758691153,0.16584759453932443,0.6622077425320944,0.012763799478610357,0.12696868677934012,0.28355618317921955,0.4777777890364329,0.8414055109024048,0.038343473027149834,0.8414055109024048,0.4982194205125173,0.6722689270973206,0.8502061168352762,0.8489570220311483,0.800543467203776,17.0,0.8489570220311483,0.23698596159617105,0.522988498210907,0.7805487910906473,0.16036071379979452,0.8021467526753744,0.46766169865926105,0.8477141062418619,0.8477141062418619,0.41239341100056964,0.8213064670562744,0.32371288537979126,0.04873650148510933,0.5116279125213623,0.05349997182687124,0.800543467203776,0.050964182863632836,0.935897409915924,0.8463767766952515,0.6332621177037557,0.03722307897306305,0.12018505188323372,0.030580414369024055,0.04983408942656227,0.0020806618669605543,0.08016508330653292,0.005469955581832625,0.021172548950419347,0.031019220209075053,0.09619812392979568,0.009249828488281847,0.033945796443840694,0.08375130588313043,0.0064815586892769525,0.005773502691896256,0.04597294245388193,0.034744146955333975,0.07336900847062192,0.001646765335100262,0.1607275061934667,0.07107434570301407,0.1119817691399178,0.0024914380099730145,0.0,0.0064815586892769525,0.05346314525172792,0.0,0.06108708449675966,0.05840356704110084,0.01018618391555511,0.004494798764516458,0.05757903815436601,0.05386144909769927,0.2364866314935902,0.0035176353898410057,0.004035091563590743,0.0035176353898410057,0.052430339893252485,0.05187747359540242,0.0020806618669605543,0.0008215209705420607,0.0035791334839410257,1.0,0.0008215209705420607,0.048654010114747404,0.03981724689099713,0.009249828488281847,0.04098183226391091,0.001646765335100262,0.09214060239355823,0.0004335834761905649,0.0004335834761905649,0.05126629848737425,0.0024914380099730145,0.07367550209866151,0.0012523987034099824,0.1414596097366043,0.002673944840648497,0.0035791334839410257,0.0007839384490227889,0.0,0.0,0.01627313552906808
no_init_kenn_hybrid_adapter_bert_ms,0.19588798781236014,0.5888889034589132,0.458735187848409,0.28272102276484173,0.8520534237225851,0.6071820855140686,0.02203557329873244,0.33903778592745465,0.2919877767562866,0.541439006725947,0.788141111532847,0.1921708732843399,0.16324451317389807,0.7938686609268188,0.02,0.39346935351689655,0.7329060037930807,0.16315617660681406,0.7904016574223837,0.34999999900658924,0.2863212327162425,0.25776969889799756,0.8163781563440958,0.33,0.7938686609268188,0.3312789003054301,0.7724867463111877,0.2601287166277568,0.19209402799606323,0.6495312650998434,0.014783752461274466,0.10674603531757991,0.2866628219683965,0.6222222149372101,0.8441911935806274,0.04363317290941874,0.8441911935806274,0.566951592763265,0.7133520245552063,0.8520534237225851,0.8478191693623861,0.7997170289357504,16.666666666666668,0.8478191693623861,0.21073423822720846,0.6034482717514038,0.788141111532847,0.16752452154954275,0.7904016574223837,0.5406301816304525,0.8436385989189148,0.8436385989189148,0.42552347977956134,0.8163781563440958,0.3023459513982137,0.04506660128633181,0.5426356693108877,0.0564051978290081,0.7997170289357504,0.04998859018087387,0.935897409915924,0.8463767766952515,0.5855769713719686,0.029816374292073736,0.08388706007038473,0.025801642570281152,0.040010092214043294,0.0024514349258776607,0.0934433177644173,0.0045533924833213255,0.02415812943879394,0.024846977938706112,0.11213198106728774,0.01078194134709048,0.02522051483417802,0.057858171829813954,0.006485041885609459,0.01,0.039202625655720656,0.0448813380143555,0.05911283905503443,0.009720445887627088,0.1520690639923767,0.05916489786889588,0.09601505694265093,0.004393393184230031,0.0,0.006485041885609459,0.06483873570161616,0.0,0.034760657659522944,0.04539793763739599,0.010088268331267962,0.0034938720595197297,0.034755653108470876,0.04484653184775203,0.25891510007259083,0.004127881501123009,0.005548906221932536,0.004127881501123009,0.07210020125675799,0.060877394364712976,0.0024514349258776607,0.0008804393516571334,0.002866982735450709,0.5773502691896263,0.0008804393516571334,0.03731887463439775,0.0751534430280019,0.01078194134709048,0.025586647111529096,0.009720445887627088,0.10812552013361919,0.0032635366392145333,0.0032635366392145333,0.06450950688215533,0.004393393184230031,0.053802057768340246,0.002654462377824131,0.11933957977185215,0.0034541127140589544,0.002866982735450709,0.0007764039522818705,0.0,0.0,0.03449100404128956
no_init_kenn_top_down_adapter_bert_ms,0.16055437425772348,0.7777777711550394,0.4036242763201396,0.2536372095346451,0.8548819025357565,0.7015972137451172,0.026246909673015278,0.2745473037163417,0.26254310210545856,0.6547371943791708,0.7990351319313049,0.15863422552744547,0.15579522401094437,0.7976366480191549,0.02666666666666667,0.38053955634435016,0.7882835070292155,0.12623285998900732,0.7583165566126505,0.42499999205271405,0.3410416046778361,0.21346396704514822,0.8006787498792013,0.33,0.7976366480191549,0.2669631987810135,0.7724867463111877,0.2474985271692276,0.23016383747259775,0.6541414260864258,0.017713643920918305,0.09578801443179448,0.256228173772494,0.7111111084620158,0.8484330574671427,0.05122512703140577,0.8484330574671427,0.6655983328819275,0.7759103775024414,0.8548819025357565,0.8445771137873331,0.796319584051768,17.0,0.8445771137873331,0.1655504802862803,0.7241379221280416,0.7990351319313049,0.14823728303114572,0.7583165566126505,0.6517412861188253,0.8345759908358256,0.8345759908358256,0.3861544728279114,0.8006787498792013,0.26097995042800903,0.04328509420156479,0.6356589098771414,0.060667103777329125,0.796319584051768,0.05034338807066282,0.935897409915924,0.8463767766952515,0.5624288121859232,0.027637057015389994,0.06938886728516519,0.03761989365291003,0.03715985274724405,0.003100106000932017,0.11942053504744031,0.0038927355730079593,0.03605155799790614,0.023030879555418413,0.14330466160113658,0.013779303449852608,0.025944760969564627,0.04523260113276945,0.007228185980463163,0.015275252316519468,0.0330537566566182,0.05435166999649309,0.045492796548869764,0.02324241456270323,0.1322875520361668,0.05058063081340349,0.07732961747327462,0.011488449835706845,0.0,0.007228185980463163,0.0344379477105971,0.0,0.04253217488179946,0.04080319914475656,0.01372611657640822,0.0031402560941008353,0.028080609153852857,0.0393731551393395,0.30971909392183145,0.005358681231323474,0.006351981721412054,0.005358681231323474,0.08253504232488418,0.07902932850890139,0.003100106000932017,0.0038648672321015508,0.00265743252972919,0.0,0.0038648672321015508,0.03652273466141596,0.13684923409947872,0.013779303449852608,0.030425416197517898,0.02324241456270323,0.14036555303105297,0.00960051143590376,0.00960051143590376,0.029039274699132808,0.011488449835706845,0.05495050440524852,0.0034504066445492213,0.17142127182998318,0.004182964023014466,0.00265743252972919,0.001056374438593511,0.0,0.0,0.04483317730669524
smart_init_box_adapter_bert_ms,0.10412605727712314,0.9666666587193807,0.27213865518569946,0.18499090522527695,0.8049899737040201,0.943363348642985,0.029961397250493366,0.1626629258195559,0.214976837237676,0.9525487820307413,0.6951478918393453,0.10410540675123532,0.1973451425631841,0.6917893886566162,0.04,0.34858931104342145,0.9237891832987467,0.07833170269926389,0.6213119228680929,0.9916666746139526,0.38930610815684,0.14330512781937918,0.6967739661534628,0.26,0.6917893886566162,0.15010937054951987,0.7692307829856873,0.14542081455389658,0.24519232412179312,0.5438250700632731,0.01887025187412898,0.1112443928917249,0.1850899731119474,0.9666666388511658,0.7996201316515604,0.07268541554609935,0.7996201316515604,0.944444477558136,0.9271708726882935,0.8049899737040201,0.7841543952624003,0.6884903510411581,16.0,0.7841543952624003,0.10136083761850993,0.9540229837099711,0.6951478918393453,0.0795839640001456,0.6213119228680929,0.9502487579981486,0.7655547658602396,0.7655547658602396,0.25456637144088745,0.6967739661534628,0.17900210618972778,0.02968810002009074,0.8837209145228068,0.07109575966993968,0.6884903510411581,0.041853333512941994,0.8974359035491943,0.8284023404121399,0.3857550124327342,0.047641122840717705,0.033333331346516254,0.09886500620939939,0.07597638038359814,0.001034648797413381,0.026299869821855122,0.001044820297570574,0.06954839136417053,0.03970093724141493,0.031559798632441335,0.0030345861081325374,0.04766039804174069,0.08184880614154035,0.000969409759385898,0.029999999999999992,0.05047740388956704,0.020890335535391096,0.03864576049096314,0.09041432239707992,0.014433742964637538,0.013575939208367714,0.0655164275103524,0.05738395368291804,0.0,0.000969409759385898,0.07051960071797468,0.0,0.06085227175931932,0.007974264098557449,0.016436098887114982,0.0006137072396858976,0.05116885869823415,0.0760300215063788,0.0,0.0012455010623089438,0.0032098683247083473,0.0012455010623089438,0.041707728455184924,0.01836817404327229,0.001034648797413381,0.026901721646529573,0.004580899329986346,1.0,0.026901721646529573,0.041941994176946884,0.01990860623911981,0.0030345861081325374,0.03615733525161378,0.09041432239707992,0.032624084424928916,0.05161889382478633,0.05161889382478633,0.10343187426931452,0.05738395368291804,0.06458380609368752,0.001543726162422718,0.10136975702429082,0.0016077364649279668,0.004580899329986346,0.0012649322923283734,0.0,0.0,0.020058578188868508
smart_init_classifier_adapter_bert_ms,0.1567365030447642,0.800000011920929,0.39530940850575763,0.25569374362627667,0.8563509782155355,0.7497386932373047,0.0270692923416694,0.2620129535595576,0.2593615452448527,0.712506910165151,0.8045899073282877,0.15613189339637756,0.16514354944229126,0.8002240459124247,0.02,0.3847109874089559,0.8162393569946289,0.12558541943629584,0.7490755716959635,0.4749999940395355,0.35172731677691144,0.2159054676691691,0.7966399192810059,0.33,0.8002240459124247,0.2643554409344991,0.7724867463111877,0.2279402365287145,0.23379631837209067,0.6563106576601664,0.017993202432990074,0.10012420763572057,0.25633715093135834,0.777777761220932,0.8508388797442118,0.054815540711085,0.8508388797442118,0.7122507095336914,0.8113912343978882,0.8563509782155355,0.8432976404825846,0.7959524591763815,17.333333333333332,0.8432976404825846,0.16033985217412314,0.8275862137476603,0.8045899073282877,0.13327756772438684,0.7490755716959635,0.7147595485051473,0.8306686083475748,0.8306686083475748,0.3995694617430369,0.7966399192810059,0.25885896384716034,0.04240804662307104,0.6821705400943756,0.06281861166159312,0.7959524591763815,0.05051033695538839,0.935897409915924,0.8463767766952515,0.5510328014691671,0.02151919959876739,0.06666666269302368,0.029145702008067043,0.033783344699281403,0.00256471213625604,0.10095994436977843,0.0022537749213049716,0.02403455965565367,0.017932682079923535,0.12115192986749668,0.011649201251638796,0.02108428336823312,0.03250870544867766,0.0063818715777407605,0.01,0.029572698984899042,0.04191254033127782,0.034745328098632074,0.015889944964055637,0.09999999403953552,0.029284636440061153,0.06138412872269715,0.008113470841902904,0.0,0.0063818715777407605,0.033207406456976486,0.0,0.044137067631333196,0.02174909591282579,0.013948610586858758,0.0016738309435375773,0.019838674351305628,0.03401338463457011,0.271484244326513,0.004719111292012651,0.004475193352605285,0.004719111292012651,0.05814882187007398,0.06959717663071081,0.00256471213625604,0.002776978238206172,0.002069147434557813,0.5773502691896255,0.002776978238206172,0.036747360662420764,0.1194517750857491,0.011649201251638796,0.028716142211794166,0.015889944964055637,0.12361289704803066,0.007001540729279444,0.007001540729279444,0.04598960159843446,0.008113470841902904,0.06015860948084579,0.003072625899197642,0.1894076078106673,0.0032256292224826853,0.002069147434557813,0.001073501001122841,0.0,0.0,0.03992444646302988
