name,instance,run_id,test_incremental_only/macro_example/f1,test_incremental_other-art/macro_types/f1,test_incremental_other-art-broadcast/macro_types/precision,test_incremental/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_other-art-writing/macro_types/recall,test_incremental/macro_types/recall,test_incremental/micro/recall,test_incremental/macro_example_exclusive/f1,test_incremental_other-art-music/macro_types/recall,test/macro_types/recall,test_incremental/macro_types/f1,test_pretraining/macro_example/recall,test_pretraining/macro_types/precision,test_incremental_other-art/macro_types/precision,test/macro_example/precision,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_only/micro/precision,test_incremental/micro/f1,test_incremental_only/macro_types/precision,test_incremental_other-art-writing/macro_types/precision,test/macro_types/precision,test_incremental_other-art-film/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_other-art-broadcast/macro_types/f1,test_incremental_other-art-film/macro_types/precision,test_incremental_other-art-stage/macro_types/precision,test_pretraining/macro_types/recall,test/macro_types/f1,test/micro/recall,epoch,test_pretraining/micro/f1,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/micro/recall,test_incremental/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_other-art/macro_types/recall,test/macro_example/recall,test/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental/macro_example/f1,test_incremental_other-art-music/macro_types/precision,test_pretraining/micro/recall,test_incremental/micro/precision,threshold_incremental,test_incremental/macro_example_exclusive/recall,test_incremental_other-art-stage/macro_types/f1,test_incremental_other-art-writing/macro_types/f1,test/micro/f1,threshold_pretraining,test_pretraining/macro_example/precision,test/macro_example/f1,test_incremental_only/micro/f1,test_incremental_other-art-film/macro_types/recall,test_incremental_other-art-stage/macro_types/recall,test_incremental_other-art-music/macro_types/f1,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_other-art-broadcast/macro_types/recall
kenn_hybrid_adapter_bert_ms,2,32yxglr4,0.05689486488699913,0.8463767766952515,0.5128205418586731,0.06988982111215591,0.06092747673392296,0.517241358757019,0.692738950252533,0.756302535533905,0.8459040522575378,0.625,0.7980130314826965,0.7172707915306091,0.8549422025680542,0.8518266081809998,0.7724867463111877,0.8632367253303528,0.8240422010421753,0.8513075113296509,0.6888889074325562,0.7438016533851624,0.7378273010253906,0.5263158082962036,0.8518266081809998,0.6567164063453674,0.7392686009407043,0.5797101855278015,0.9166666865348816,0.8999999761581421,0.7980130314826965,0.8240422010421753,0.8471035361289978,22,0.8492003679275513,0.06092748045921326,0.6933760643005371,0.6169154047966003,0.7436038851737976,0.8590694069862366,0.05336293578147888,0.935897409915924,0.8549422025680542,0.8513075113296509,0.6441072225570679,0.6877893209457397,0.06510164588689804,0.8333333134651184,0.8471035361289978,0.7317073345184326,0.23,0.7916666865348816,0.8999999761581421,0.52173912525177,0.8492003679275513,0.33,0.8632367253303528,0.8590694069862366,0.6509186625480652,0.5116279125213623,0.8999999761581421,0.7142857313156128,0.9081196784973145,0.7916666269302368,0.6666666865348816
kenn_top_down_adapter_bert_ms,2,2ecnmrck,0.05471165105700493,0.8463767766952515,0.3636363744735718,0.0712876170873642,0.05870744585990906,0.5,0.6718097925186157,0.7422969341278076,0.8452432751655579,0.550000011920929,0.7955981492996216,0.6833394169807434,0.8541857004165649,0.8462498188018799,0.7724867463111877,0.8616992235183716,0.8201426863670349,0.8476027250289917,0.6040608882904053,0.7133244276046753,0.6798287034034729,0.49152541160583496,0.8462498188018799,0.6285714507102966,0.7109008431434631,0.4705882668495178,0.8148148059844971,0.8125,0.7955981492996216,0.8201426863670349,0.8461538553237915,22,0.8468776345252991,0.05981746315956116,0.6655983328819275,0.5920398235321045,0.6952716708183289,0.8579260110855103,0.051225125789642334,0.935897409915924,0.8541857004165649,0.8476027250289917,0.618992269039154,0.6479856967926025,0.06505078822374344,0.9166666865348816,0.8461538553237915,0.6865285038948059,0.43,0.7772436141967773,0.8387096524238586,0.4957264959812164,0.8468776345252991,0.33,0.8616992235183716,0.8579260110855103,0.5979899764060974,0.5116279125213623,0.8666666746139526,0.6875,0.9262820482254028,0.7628205418586731,0.6666666865348816
kenn_bottom_up_adapter_bert_ms,2,1o0abwfg,0.05728244408965111,0.8463767766952515,0.42553192377090454,0.07071205228567123,0.061174146831035614,0.5344827771186829,0.6956125497817993,0.7591036558151245,0.8523563146591187,0.625,0.798344612121582,0.6995551586151123,0.8549751043319702,0.8472041487693787,0.7724867463111877,0.8616909980773926,0.8220489621162415,0.84874427318573,0.6345177888870239,0.729475200176239,0.6897538304328918,0.5,0.8472041487693787,0.6376811861991882,0.7443044781684875,0.5194805264472961,0.8461538553237915,0.84375,0.798344612121582,0.8220489621162415,0.8472934365272522,22,0.848018229007721,0.061174146831035614,0.6997863054275513,0.6218905448913574,0.7035427093505859,0.8583199381828308,0.05385627597570419,0.935897409915924,0.8549751043319702,0.84874427318573,0.6475554704666138,0.6679888367652893,0.06559821218252182,0.8333333134651184,0.8472934365272522,0.7020725607872009,0.17,0.7948718070983887,0.8709677457809448,0.5166667103767395,0.848018229007721,0.33,0.8616909980773926,0.8583199381828308,0.6281406879425049,0.5116279125213623,0.8999999761581421,0.7142857313156128,0.9188034534454346,0.7948718070983887,0.6666666865348816
kenn_hybrid_adapter_bert_ms,1,rre0hmqd,0.05219667404890061,0.8463767766952515,0.4054054021835327,0.0716165080666542,0.056487418711185455,0.3793103396892547,0.6597374677658081,0.7310924530029297,0.8374118804931641,0.675000011920929,0.7942051887512207,0.6272027492523193,0.8537499904632568,0.8349945545196533,0.7724867463111877,0.8600465059280396,0.8140892386436462,0.8450731039047241,0.5528846383094788,0.692307710647583,0.5627739429473877,0.42307692766189575,0.8349945545196533,0.5679011940956116,0.6782221794128418,0.4477611780166626,0.6052631735801697,0.6086956262588501,0.7942051887512207,0.8140892386436462,0.8453941345214844,22,0.8452335596084595,0.05858411267399788,0.6303418874740601,0.572139322757721,0.5977261066436768,0.856886625289917,0.04851175844669342,0.935897409915924,0.8537499904632568,0.8450731039047241,0.6045055389404297,0.5828937888145447,0.06444807350635529,0.7714285850524902,0.8453941345214844,0.6574307084083557,0.5800000000000001,0.7612179517745972,0.736842155456543,0.40000003576278687,0.8452335596084595,0.33,0.8600465059280396,0.856886625289917,0.5623471736907959,0.5348837375640869,0.9333333373069764,0.7200000286102295,0.9305555820465088,0.7339743375778198,0.5
kenn_top_down_adapter_bert_ms,1,1vh92y2x,0.05658594146370888,0.8463767766952515,0.1034482792019844,0.06865646690130234,0.060434140264987946,0.48275861144065857,0.6992011070251465,0.7591036558151245,0.8391852378845215,0.675000011920929,0.7987586855888367,0.5032007694244385,0.8551148772239685,0.8113753795623779,0.7724867463111877,0.8254263997077942,0.8050175309181213,0.8040735125541687,0.2556237280368805,0.5236714482307434,0.3171353340148926,0.2456140369176865,0.8113753795623779,0.5111110806465149,0.7352546453475952,0.1764705926179886,0.4893617033958435,0.3186813294887543,0.7987586855888367,0.8050175309181213,0.8472934365272522,17,0.8251178860664368,0.06096859276294708,0.6912393569946289,0.6218905448913574,0.39302724599838257,0.8400083780288696,0.05319848656654358,0.935897409915924,0.8551148772239685,0.8040735125541687,0.6518617868423462,0.4266852736473083,0.06458455324172974,0.4285714328289032,0.8472934365272522,0.399705022573471,0.19,0.7922009229660034,0.4793388843536377,0.3255814015865326,0.8251178860664368,0.33,0.8254263997077942,0.8400083780288696,0.36231887340545654,0.5348837375640869,0.9666666388511658,0.5242718458175659,0.8920940160751343,0.7852564454078674,0.6000000238418579
kenn_bottom_up_adapter_bert_ms,1,a725tr0l,0.05308306962251663,0.8463767766952515,0.6086956262588501,0.07276763767004013,0.05722742900252342,0.4482758641242981,0.6562446355819702,0.7338935732841492,0.8466838598251343,0.675000011920929,0.7938021421432495,0.7072092294692993,0.8537993431091309,0.8544979691505432,0.7724867463111877,0.8636067509651184,0.823032557964325,0.8518943786621094,0.6946107745170593,0.7349228262901306,0.7656100988388062,0.4193548262119293,0.8544979691505432,0.6769230961799622,0.6897397041320801,0.5283018946647644,1.0,0.8999999761581421,0.7938021421432495,0.823032557964325,0.8455840349197388,15,0.8487274646759033,0.05899523198604584,0.6431624293327332,0.5771144032478333,0.7667562365531921,0.8586750626564026,0.04949843883514404,0.935897409915924,0.8537993431091309,0.8518943786621094,0.6003140807151794,0.6729605793952942,0.06516166031360626,0.8999999761581421,0.8455840349197388,0.7359550595283508,0.31,0.7665598392486572,0.8999999761581421,0.43333330750465393,0.8487274646759033,0.33,0.8636067509651184,0.8586750626564026,0.6304347515106201,0.5116279125213623,0.8999999761581421,0.7714285850524902,0.9455128908157348,0.7435897588729858,0.46666666865348816
kenn_hybrid_adapter_bert_ms,0,27o468no,0.05355226993560791,0.8463767766952515,0.25581395626068115,0.07153429090976715,0.05722742900252342,0.48275861144065857,0.6592140197753906,0.7338935732841492,0.8424391150474548,0.5249999761581421,0.7941447496414185,0.6698461174964905,0.8538157343864441,0.8445830345153809,0.7724867463111877,0.859750509262085,0.8185876607894897,0.8419061899185181,0.5065501928329468,0.6761290431022644,0.6624948382377625,0.4117647111415863,0.8445830345153809,0.6470588445663452,0.6958363056182861,0.3793103396892547,0.8799999952316284,0.8518518805503845,0.7941447496414185,0.8185876607894897,0.8455840349197388,14,0.8437411189079285,0.05928301066160202,0.6538461446762085,0.5771144032478333,0.6808268427848816,0.8567728400230408,0.05032067000865936,0.935897409915924,0.8538157343864441,0.8419061899185181,0.6038773059844971,0.6318293809890747,0.06483497470617294,0.91304349899292,0.8455840349197388,0.6267942786216736,0.61,0.7702991962432861,0.8070175051689148,0.4444444477558136,0.8437411189079285,0.33,0.859750509262085,0.8567728400230408,0.539534866809845,0.5116279125213623,0.7666666507720947,0.6666666865348816,0.9294872283935548,0.7435897588729858,0.7333333492279053
kenn_top_down_adapter_bert_ms,0,zme79a6x,0.06280658394098282,0.8463767766952515,0.14364640414714813,0.0711231678724289,0.06586087495088577,0.6724137663841248,0.7430195808410645,0.7955182194709778,0.8775733113288879,0.625,0.8038146495819092,0.6438484787940979,0.8569402694702148,0.8315683603286743,0.7724867463111877,0.842302680015564,0.8174560070037842,0.8203153610229492,0.34936708211898804,0.6036131978034973,0.5271420478820801,0.3611111044883728,0.8315683603286743,0.607594907283783,0.8160830140113831,0.24644550681114197,0.6666666865348816,0.5714285969734192,0.8038146495819092,0.8174560070037842,0.8497625589370728,15,0.8347793221473694,0.06429863721132278,0.7799144983291626,0.6865671873092651,0.5680328011512756,0.849558413028717,0.060023024678230286,0.935897409915924,0.8569402694702148,0.8203153610229492,0.7044440507888794,0.6030306816101074,0.06753893941640854,0.8928571343421936,0.8497625589370728,0.48630136251449585,0.22,0.8354700803756714,0.6666666865348816,0.46987950801849365,0.8347793221473694,0.33,0.842302680015564,0.849558413028717,0.4630872905254364,0.5581395626068115,0.800000011920929,0.7352941632270813,0.92414528131485,0.8557692766189575,0.8666666746139526
kenn_bottom_up_adapter_bert_ms,0,4wwvmr1h,0.06042240932583809,0.8463767766952515,0.37288135290145874,0.07005426287651062,0.0629008337855339,0.6551724076271057,0.7223811745643616,0.7843137383460999,0.8645332455635071,0.675000011920929,0.8014333248138428,0.717759370803833,0.8563071489334106,0.8483179807662964,0.7724867463111877,0.8601040244102478,0.824209451675415,0.8457899689674377,0.5929203629493713,0.7253885865211487,0.7013381719589233,0.4523809552192688,0.8483179807662964,0.6478873491287231,0.7851040363311768,0.4943819642066955,0.8214285969734192,0.959999978542328,0.8014333248138428,0.824209451675415,0.8490028381347656,14,0.8473933935165405,0.06335306912660599,0.7553419470787048,0.6666666865348816,0.7131962776184082,0.8582013845443726,0.05813188850879669,0.935897409915924,0.8563071489334106,0.8457899689674377,0.6796779036521912,0.6903381943702698,0.06653536856174469,0.8999999761581421,0.8490028381347656,0.6746987700462341,0.17,0.8231837749481201,0.8727272748947144,0.5352112650871277,0.8473933935165405,0.33,0.8601040244102478,0.8582013845443726,0.6276346445083618,0.5348837375640869,0.800000011920929,0.7714285850524902,0.9102564454078674,0.817307710647583,0.7333333492279053
box_adapter_bert_ms,2,3ucj1ezy,0.04658322036266327,0.8284023404121399,0.8333333134651184,0.06339417397975922,0.050814010202884674,0.6379310488700867,0.578342854976654,0.680672287940979,0.7604435086250305,0.675000011920929,0.6530301570892334,0.5689220428466797,0.7930456399917603,0.7282780408859253,0.7692307829856873,0.6206842660903931,0.688604474067688,0.6255881190299988,0.05564559623599053,0.20334728062152865,0.5179177522659302,0.02188054472208023,0.7282780408859253,0.1702127605676651,0.6052833199501038,0.4761905074119568,1.0,0.3125,0.6530301570892334,0.688604474067688,0.7829059958457947,13,0.6954614520072937,0.054349616169929504,0.5587607026100159,0.5124378204345703,0.5598032474517822,0.6963578462600708,0.04300279542803764,0.8974359035491943,0.7930456399917603,0.6255881190299988,0.5145242214202881,0.5162153840065002,0.058524515479803085,0.421875,0.7829059958457947,0.11952779442071916,0.96,0.7061966061592102,0.4545454680919647,0.04230989143252373,0.6954614520072937,0.26,0.6206842660903931,0.6963578462600708,0.10038986802101137,0.09302325546741486,0.8333333134651184,0.5192307829856873,0.8237179517745972,0.6602564454078674,0.3333333432674408
