name,instance,run_id,test_incremental_living_thing-animal/macro_types/recall,test/macro_types/f1,test/macro_example/precision,test_incremental_only/micro/precision,test_incremental_living_thing-animal/macro_types/f1,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental_living_thing/macro_types/recall,threshold_pretraining,test_incremental_only/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_living_thing-animal/macro_types/precision,test_incremental/micro/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental/macro_example_exclusive/precision,epoch,test/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_pretraining/macro_types/precision,test_incremental_living_thing/macro_types/precision,test/micro/f1,test/micro/precision,test_incremental/micro/f1,test_incremental/micro/recall,test/macro_example/f1,test/macro_types/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_example/recall,test_pretraining/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental/macro_types/f1,test_incremental/macro_example/recall,test_pretraining/micro/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_only/macro_types/precision,test/micro/recall,threshold_incremental,test_pretraining/micro/precision,test_incremental_living_thing/macro_types/f1,test_incremental/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_pretraining/macro_types/recall,test/macro_example/recall,test_pretraining/micro/f1,test_incremental_only/micro/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,sxu4ghu7,0.8666666746139526,0.848761796951294,0.9217351078987122,0.5199999809265137,0.6499999761581421,0.913718283176422,0.8666667342185974,0.9692307710647584,0.25,0.6499999761581421,0.744615375995636,0.009046625345945358,0.5199999809265137,0.7739130258560181,0.8666667342185974,0.8666667342185974,0.7846153974533081,53,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.882827639579773,0.9692307710647584,0.890441358089447,0.9006280899047852,0.8476190567016602,0.9368420839309692,0.913718283176422,0.882827639579773,0.9058396816253662,0.009046625345945358,0.848761796951294,0.8666666746139526,0.8222464919090271,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9217351078987122,0.5199999809265137,0.8804824352264404,0.24,0.9006280899047852,0.9692307710647584,0.019401531666517258,0.8666666746139526,0.017745304852724075,0.857846200466156,0.8172273635864258,0.9058396816253662,0.890441358089447,0.6499999761581421
no_init_box_kenn_top_down_adapter_bert_ms,2,knx95d34,0.8666666746139526,0.8488599061965942,0.9218510985374452,0.5306122303009033,0.658227801322937,0.9137752652168274,0.8666667342185974,0.9692307710647584,0.25,0.658227801322937,0.7499215006828308,0.009046625345945358,0.5306122303009033,0.780701756477356,0.8666667342185974,0.8666667342185974,0.7923077344894409,63,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.8830398321151733,0.9692307710647584,0.8905401229858398,0.9008301496505736,0.8516746163368225,0.9368420839309692,0.9137752652168274,0.8830398321151733,0.9058396816253662,0.009046625345945358,0.8488599061965942,0.8666666746139526,0.8254712224006653,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9218510985374452,0.5306122303009033,0.8804824352264404,0.41,0.9008301496505736,0.9692307710647584,0.019505051895976067,0.8666666746139526,0.017919275909662247,0.8624234795570374,0.8172273635864258,0.9058396816253662,0.8905401229858398,0.658227801322937
no_init_box_kenn_bottom_up_adapter_bert_ms,2,zp9hkydq,0.8666666746139526,0.8488599061965942,0.9218510985374452,0.5306122303009033,0.658227801322937,0.9137752652168274,0.8666667342185974,0.9692307710647584,0.25,0.658227801322937,0.7499215006828308,0.009046625345945358,0.5306122303009033,0.780701756477356,0.8666667342185974,0.8666667342185974,0.7923077344894409,63,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.8830398321151733,0.9692307710647584,0.8905401229858398,0.9008301496505736,0.8516746163368225,0.9368420839309692,0.9137752652168274,0.8830398321151733,0.9058396816253662,0.009046625345945358,0.8488599061965942,0.8666666746139526,0.8254712224006653,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9218510985374452,0.5306122303009033,0.8804824352264404,0.09,0.9008301496505736,0.9692307710647584,0.019505051895976067,0.8666666746139526,0.017919275909662247,0.8624234795570374,0.8172273635864258,0.9058396816253662,0.8905401229858398,0.658227801322937
no_init_box_kenn_hybrid_adapter_bert_ms,1,chlgx9pg,0.8666666746139526,0.8488599061965942,0.9218510985374452,0.5306122303009033,0.658227801322937,0.9137752652168274,0.8666667342185974,0.9692307710647584,0.25,0.658227801322937,0.7499215006828308,0.009046625345945358,0.5306122303009033,0.780701756477356,0.8666667342185974,0.8666667342185974,0.7923077344894409,57,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.8830398321151733,0.9692307710647584,0.8905401229858398,0.9008301496505736,0.8516746163368225,0.9368420839309692,0.9137752652168274,0.8830398321151733,0.9058396816253662,0.009046625345945358,0.8488599061965942,0.8666666746139526,0.8254712224006653,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9218510985374452,0.5306122303009033,0.8804824352264404,0.17,0.9008301496505736,0.9692307710647584,0.019505051895976067,0.8666666746139526,0.017919275909662247,0.8624234795570374,0.8172273635864258,0.9058396816253662,0.8905401229858398,0.658227801322937
no_init_box_kenn_top_down_adapter_bert_ms,1,rj3xu436,0.8666666746139526,0.8491795659065247,0.922199010848999,0.5652173757553101,0.684210479259491,0.9139461517333984,0.8666667342185974,0.9692307710647584,0.25,0.684210479259491,0.7672240734100342,0.009046625345945358,0.5652173757553101,0.8018018007278442,0.8666667342185974,0.8666667342185974,0.8153846263885498,57,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.8837319612503052,0.9692307710647584,0.8908364772796631,0.9014369249343872,0.8640776872634888,0.9368420839309692,0.9139461517333984,0.8837319612503052,0.9058396816253662,0.009046625345945358,0.8491795659065247,0.8666666746139526,0.8358458280563354,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.922199010848999,0.5652173757553101,0.8804824352264404,0.33,0.9014369249343872,0.9692307710647584,0.01981019414961338,0.8666666746139526,0.01844119653105736,0.8759153485298157,0.8172273635864258,0.9058396816253662,0.8908364772796631,0.684210479259491
no_init_box_kenn_bottom_up_adapter_bert_ms,1,dmeeo8vw,0.8666666746139526,0.8491795659065247,0.922199010848999,0.5652173757553101,0.684210479259491,0.9139461517333984,0.8666667342185974,0.9692307710647584,0.25,0.684210479259491,0.7672240734100342,0.009046625345945358,0.5652173757553101,0.8018018007278442,0.8666667342185974,0.8666667342185974,0.8153846263885498,57,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.8837319612503052,0.9692307710647584,0.8908364772796631,0.9014369249343872,0.8640776872634888,0.9368420839309692,0.9139461517333984,0.8837319612503052,0.9058396816253662,0.009046625345945358,0.8491795659065247,0.8666666746139526,0.8358458280563354,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.922199010848999,0.5652173757553101,0.8804824352264404,0.060000000000000005,0.9014369249343872,0.9692307710647584,0.01981019414961338,0.8666666746139526,0.01844119653105736,0.8759153485298157,0.8172273635864258,0.9058396816253662,0.8908364772796631,0.684210479259491
no_init_box_kenn_hybrid_adapter_bert_ms,0,p9g1rpx6,0.6000000238418579,0.84895920753479,0.924170732498169,0.8571428656578064,0.7058824300765991,0.914439857006073,0.6000000238418579,0.9692307710647584,0.25,0.7058824300765991,0.91318678855896,0.006263048388063908,0.8571428656578064,0.9418604373931884,0.6000000238418579,0.6000000238418579,0.9461538791656494,56,0.8118940591812134,0.006263048388063908,0.884615421295166,0.8895704746246338,0.9692307710647584,0.8915340304374695,0.9047188758850098,0.8950275778770447,0.8526315689086914,0.914439857006073,0.8895704746246338,0.9049118757247924,0.006263048388063908,0.84895920753479,0.6000000238418579,0.8440328240394592,0.02000695839524269,0.8787280917167664,0.7846153974533081,0.924170732498169,0.8571428656578064,0.8787280917167664,0.89,0.9047188758850098,0.9692307710647584,0.02067946270108223,0.6000000238418579,0.021398749202489853,0.9143503904342652,0.8118940591812134,0.9049118757247924,0.8915340304374695,0.7058824300765991
no_init_box_kenn_top_down_adapter_bert_ms,0,a80u67s1,0.6000000238418579,0.8482797145843506,0.9239387512207032,0.782608687877655,0.6792453527450562,0.9143263697624208,0.6000000238418579,0.9692307710647584,0.25,0.6792453527450562,0.8759196996688843,0.006263048388063908,0.782608687877655,0.9204545617103576,0.6000000238418579,0.6000000238418579,0.9307692050933838,56,0.8118940591812134,0.006263048388063908,0.884615421295166,0.8880797624588013,0.9692307710647584,0.8913357853889465,0.9043105244636536,0.8852459788322449,0.8526315689086914,0.9143263697624208,0.8880797624588013,0.9049118757247924,0.006263048388063908,0.8482797145843506,0.6000000238418579,0.8277573585510254,0.02000695839524269,0.8787280917167664,0.7846153974533081,0.9239387512207032,0.782608687877655,0.8787280917167664,0.89,0.9043105244636536,0.9692307710647584,0.02051560953259468,0.6000000238418579,0.021050799638032913,0.9071056246757508,0.8118940591812134,0.9049118757247924,0.8913357853889465,0.6792453527450562
no_init_box_kenn_bottom_up_adapter_bert_ms,0,xj8savhh,0.6000000238418579,0.8482797145843506,0.9239387512207032,0.782608687877655,0.6792453527450562,0.9143263697624208,0.6000000238418579,0.9692307710647584,0.25,0.6792453527450562,0.8759196996688843,0.006263048388063908,0.782608687877655,0.9204545617103576,0.6000000238418579,0.6000000238418579,0.9307692050933838,65,0.8118940591812134,0.006263048388063908,0.884615421295166,0.8880797624588013,0.9692307710647584,0.8913357853889465,0.9043105244636536,0.8852459788322449,0.8526315689086914,0.9143263697624208,0.8880797624588013,0.9049118757247924,0.006263048388063908,0.8482797145843506,0.6000000238418579,0.8277573585510254,0.02000695839524269,0.8787280917167664,0.7846153974533081,0.9239387512207032,0.782608687877655,0.8787280917167664,0.55,0.9043105244636536,0.9692307710647584,0.02051560953259468,0.6000000238418579,0.021050799638032913,0.9071056246757508,0.8118940591812134,0.9049118757247924,0.8913357853889465,0.6792453527450562
no_init_box_kenn_horizontal_adapter_bert_ms,2,els2eqte,0.8666666746139526,0.8494167327880859,0.9224309921264648,0.5909090638160706,0.7027026414871216,0.9140599966049194,0.8666667342185974,0.9692307710647584,0.25,0.7027026414871216,0.7800699472427368,0.009046625345945358,0.5909090638160706,0.8165137767791748,0.8666667342185974,0.8666667342185974,0.8307693004608154,53,0.8172273635864258,0.009046625345945358,0.9461538791656494,0.884245753288269,0.9692307710647584,0.8910341858863831,0.9018418788909912,0.8725490570068359,0.9368420839309692,0.9140599966049194,0.884245753288269,0.9058396816253662,0.009046625345945358,0.8494167327880859,0.8666666746139526,0.8434114456176758,0.021398747339844704,0.8804824352264404,0.9179487228393556,0.9224309921264648,0.5909090638160706,0.8804824352264404,0.1,0.9018418788909912,0.9692307710647584,0.020009217783808708,0.8666666746139526,0.018789146095514297,0.8847153186798096,0.8172273635864258,0.9058396816253662,0.8910341858863831,0.7027026414871216
