name,instance,run_id,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental/macro_example_exclusive/precision,test_incremental_living_thing-animal/macro_types/precision,test_incremental/macro_example/precision,test/micro/recall,test/macro_example/precision,test_incremental/micro/recall,test_incremental_only/macro_types/precision,test_incremental_only/macro_example_exclusive/f1,test_incremental_living_thing/macro_types/precision,test/macro_example/f1,test_incremental/macro_example_exclusive/recall,test_incremental_living_thing/macro_types/recall,test/micro/precision,test_incremental_only/macro_example/recall,test_incremental_living_thing-animal/macro_types/recall,test_pretraining/micro/precision,test_incremental/macro_types/recall,test/macro_types/recall,test_incremental/micro/f1,test_incremental/macro_types/precision,threshold_incremental,threshold_pretraining,test_incremental_living_thing/macro_types/f1,test_incremental_only/macro_types/f1,test_pretraining/macro_example/recall,test/micro/f1,test_pretraining/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_only/macro_types/recall,test_incremental_only/micro/recall,test/macro_example/recall,test_pretraining/macro_example/f1,test_incremental_only/micro/precision,test_pretraining/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_only/macro_example_exclusive/precision,test/macro_types/f1,test_incremental/macro_example/recall,epoch,test_incremental_only/micro/f1,test_incremental/micro/precision,test_pretraining/micro/recall,test_incremental_living_thing-animal/macro_types/f1,test/macro_types/precision,test_incremental/macro_types/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example/f1
kenn_horizontal_adapter_bert_ms,2,2n1l9dg4,0.8954212665557861,0.021571319550275803,0.953784167766571,0.9615384936332704,0.18518517911434176,0.021746695041656498,0.8984649181365967,0.9166956543922424,0.9368420839309692,0.18518517911434176,0.833333432674408,0.8888888955116272,0.915205717086792,0.9461538791656494,0.9846153855323792,0.8923981785774231,0.008698677644133568,0.8333333134651184,0.8923981785774231,0.9089743494987488,0.8609762191772461,0.5894039869308472,0.5370370149612427,0.61,0.375,0.9343065619468688,0.3030303120613098,0.913720726966858,0.8954212665557861,0.8752027750015259,0.8899073600769043,0.8333333134651184,0.8333333134651184,0.913720726966858,0.915205717086792,0.18518517911434176,0.9166956543922424,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8752027750015259,0.021398747339844704,66,0.3030303120613098,0.4299516975879669,0.8984649181365967,0.3030303120613098,0.8899073600769043,0.6751715540885925,0.8609762191772461,0.008698677644133568
kenn_horizontal_adapter_bert_ms,1,148n5jk5,0.8815492391586304,0.021398747339844704,0.9461538791656494,0.9461538791656494,0.08960573375225067,0.021398747339844704,0.8984649181365967,0.9015368223190308,0.9368420839309692,0.08960573375225067,0.833333432674408,0.8888888955116272,0.9075878858566284,0.9461538791656494,0.9846153855323792,0.8652586936950684,0.008698677644133568,0.8333333134651184,0.8652586936950684,0.9089743494987488,0.8609762191772461,0.3991031348705292,0.48924732208251953,0.8,0.375,0.9343065619468688,0.16181229054927826,0.913720726966858,0.8815492391586304,0.8742772340774536,0.887995719909668,0.8333333134651184,0.8333333134651184,0.913720726966858,0.9075878858566284,0.08960573375225067,0.9015368223190308,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8742772340774536,0.021398747339844704,39,0.16181229054927826,0.25356125831604004,0.8984649181365967,0.16181229054927826,0.887995719909668,0.636112630367279,0.8609762191772461,0.008698677644133568
kenn_horizontal_adapter_bert_ms,0,29uane5b,0.844059407711029,0.02103785984218121,0.9301971197128296,0.9538462162017822,0.029411764815449715,0.021572720259428024,0.8973684310913086,0.8495129346847534,0.8842105269432068,0.029411764815449715,0.6666667461395264,0.8888888955116272,0.8801784515380859,0.9076923131942748,0.9846153855323792,0.7967289686203003,0.006958941929042339,0.6666666865348816,0.7967289686203003,0.8256410360336304,0.8576428890228271,0.19834710657596588,0.4591503441333771,0.96,0.375,0.9343065619468688,0.056338027119636536,0.913140833377838,0.844059407711029,0.8719738125801086,0.8867918252944946,0.6666666865348816,0.6666666865348816,0.913140833377838,0.8801784515380859,0.029411764815449715,0.8495129346847534,0.006958941929042339,0.6666667461395264,0.6666667461395264,0.8719738125801086,0.02052888087928295,39,0.056338027119636536,0.11170212924480438,0.8973684310913086,0.056338027119636536,0.8867918252944946,0.5901244282722473,0.8576428890228271,0.006958941929042339
kenn_hybrid_adapter_bert_ms,2,3h7j953o,0.8512714505195618,0.02070794813334942,0.9156099557876588,0.8615384697914124,0.04684975743293762,0.01948503777384758,0.8993421196937561,0.8595859408378601,0.9789473414421082,0.04684975743293762,0.9666666984558104,0.8888888955116272,0.8860450387001038,0.9769231081008912,0.9846153855323792,0.8080788254737854,0.01009046658873558,0.9666666388511658,0.8080788254737854,0.9756410121917723,0.8636428713798523,0.23664121329784393,0.4678693413734436,0.95,0.375,0.9343065619468688,0.08936825394630432,0.9141846895217896,0.8512714505195618,0.8752341270446777,0.8871406316757202,0.9666666388511658,0.9666666388511658,0.9141846895217896,0.8860450387001038,0.04684975743293762,0.8595859408378601,0.01009046658873558,0.9666666984558104,0.9666666984558104,0.8752341270446777,0.022094640880823135,26,0.08936825394630432,0.13458755612373352,0.8993421196937561,0.08936825394630432,0.8871406316757202,0.6324478983879089,0.8636428713798523,0.01009046658873558
kenn_top_down_adapter_bert_ms,2,2anpxeu5,0.8677327036857605,0.021485380828380585,0.9499844908714294,0.9538462162017822,0.058548010885715485,0.021572720259428024,0.8984649181365967,0.883994460105896,0.9368420839309692,0.058548010885715485,0.833333432674408,0.8888888955116272,0.898611843585968,0.9461538791656494,0.9846153855323792,0.8390333652496338,0.008698677644133568,0.8333333134651184,0.8390333652496338,0.9089743494987488,0.8609762191772461,0.2996632754802704,0.47371846437454224,0.9,0.375,0.9343065619468688,0.10940919071435928,0.913720726966858,0.8677327036857605,0.8739760518074036,0.8873745799064636,0.8333333134651184,0.8333333134651184,0.913720726966858,0.898611843585968,0.058548010885715485,0.883994460105896,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8739760518074036,0.021398747339844704,59,0.10940919071435928,0.17835670709609985,0.8984649181365967,0.10940919071435928,0.8873745799064636,0.622839629650116,0.8609762191772461,0.008698677644133568
kenn_bottom_up_adapter_bert_ms,2,3a66ew8e,0.8945414423942566,0.021571319550275803,0.953784167766571,0.9615384936332704,0.1736111044883728,0.021746695041656498,0.8984649181365967,0.9159997701644896,0.9368420839309692,0.1736111044883728,0.833333432674408,0.8888888955116272,0.914858877658844,0.9461538791656494,0.9846153855323792,0.8906521797180176,0.008698677644133568,0.8333333134651184,0.8906521797180176,0.9089743494987488,0.8609762191772461,0.5723472833633423,0.53125,0.62,0.375,0.9343065619468688,0.28735628724098206,0.913720726966858,0.8945414423942566,0.8750908374786377,0.8896758556365967,0.8333333134651184,0.8333333134651184,0.913720726966858,0.914858877658844,0.1736111044883728,0.9159997701644896,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8750908374786377,0.021398747339844704,66,0.28735628724098206,0.41203704476356506,0.8984649181365967,0.28735628724098206,0.8896758556365967,0.670579731464386,0.8609762191772461,0.008698677644133568
kenn_hybrid_adapter_bert_ms,1,nwqriokt,0.8516477942466736,0.021397333592176437,0.94609135389328,0.9538462162017822,0.03980099409818649,0.021572720259428024,0.898245632648468,0.860919713973999,0.9263157844543456,0.03980099409818649,0.8000000715255737,0.8888888955116272,0.8864801526069641,0.9384615421295166,0.9846153855323792,0.8096461892127991,0.008350730873644352,0.800000011920929,0.8096461892127991,0.892307698726654,0.8603095412254333,0.22857141494750977,0.46434494853019714,0.95,0.375,0.9343065619468688,0.0758293867111206,0.913604736328125,0.8516477942466736,0.8734506964683533,0.8869996070861816,0.800000011920929,0.800000011920929,0.913604736328125,0.8864801526069641,0.03980099409818649,0.860919713973999,0.008350730873644352,0.8000000715255737,0.8000000715255737,0.8734506964683533,0.021224774420261383,38,0.0758293867111206,0.1303703635931015,0.898245632648468,0.0758293867111206,0.8869996070861816,0.6108248233795166,0.8603095412254333,0.008350730873644352
kenn_top_down_adapter_bert_ms,1,3dmaf7ef,0.8565454483032227,0.021311406046152115,0.9422920346260072,0.9461538791656494,0.043795619159936905,0.021398747339844704,0.898245632648468,0.868499219417572,0.9263157844543456,0.043795619159936905,0.8000000715255737,0.8888888955116272,0.890481173992157,0.9384615421295166,0.9846153855323792,0.8185451626777649,0.008350730873644352,0.800000011920929,0.8185451626777649,0.892307698726654,0.8603095412254333,0.2461538314819336,0.4663422703742981,0.94,0.375,0.9343065619468688,0.08304498344659805,0.913604736328125,0.8565454483032227,0.8734894394874573,0.8870795369148254,0.800000011920929,0.800000011920929,0.913604736328125,0.890481173992157,0.043795619159936905,0.868499219417572,0.008350730873644352,0.8000000715255737,0.8000000715255737,0.8734894394874573,0.021224774420261383,38,0.08304498344659805,0.14193548262119293,0.898245632648468,0.08304498344659805,0.8870795369148254,0.6125504374504089,0.8603095412254333,0.008350730873644352
kenn_bottom_up_adapter_bert_ms,1,3psxl1si,0.8815492391586304,0.021398747339844704,0.9461538791656494,0.9461538791656494,0.08960573375225067,0.021398747339844704,0.8984649181365967,0.9015368223190308,0.9368420839309692,0.08960573375225067,0.833333432674408,0.8888888955116272,0.9075878858566284,0.9461538791656494,0.9846153855323792,0.8652586936950684,0.008698677644133568,0.8333333134651184,0.8652586936950684,0.9089743494987488,0.8609762191772461,0.3991031348705292,0.48924732208251953,0.8,0.375,0.9343065619468688,0.16181229054927826,0.913720726966858,0.8815492391586304,0.8742772340774536,0.887995719909668,0.8333333134651184,0.8333333134651184,0.913720726966858,0.9075878858566284,0.08960573375225067,0.9015368223190308,0.008698677644133568,0.8333333730697632,0.8333333730697632,0.8742772340774536,0.021398747339844704,39,0.16181229054927826,0.25356125831604004,0.8984649181365967,0.16181229054927826,0.887995719909668,0.636112630367279,0.8609762191772461,0.008698677644133568
kenn_hybrid_adapter_bert_ms,0,1m9emtgv,0.8197017312049866,0.021049363538622856,0.930705726146698,0.9384615421295166,0.022610483691096302,0.021224774420261383,0.8978070020675659,0.8095628023147583,0.9052631855010986,0.022610483691096302,0.73333340883255,0.8888888955116272,0.8583404421806335,0.9230769276618958,0.9846153855323792,0.7540983557701111,0.007654836401343346,0.7333333492279053,0.7540983557701111,0.8589743375778198,0.8589761853218079,0.1508771926164627,0.4557496905326843,0.98,0.375,0.9343065619468688,0.04386839643120766,0.9133727550506592,0.8197017312049866,0.8725965619087219,0.8866558074951172,0.7333333492279053,0.7333333492279053,0.9133727550506592,0.8583404421806335,0.022610483691096302,0.8095628023147583,0.007654836401343346,0.73333340883255,0.73333340883255,0.8725965619087219,0.020876828581094745,39,0.04386839643120766,0.08229664713144302,0.8978070020675659,0.04386839643120766,0.8866558074951172,0.595527708530426,0.8589761853218079,0.007654836401343346
