name,test_incremental_living_thing-animal/macro_types/recall/mean,test/macro_types/f1/mean,test/macro_example/precision/mean,test_incremental_only/micro/precision/mean,test_incremental_living_thing-animal/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_living_thing/macro_types/recall/mean,threshold_pretraining/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental_living_thing-animal/macro_types/precision/mean,test_incremental/micro/precision/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_example_exclusive/precision/mean,epoch/mean,test/macro_types/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental/macro_example_exclusive/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_living_thing/macro_types/precision/mean,test/micro/f1/mean,test/micro/precision/mean,test_incremental/micro/f1/mean,test_incremental/micro/recall/mean,test/macro_example/f1/mean,test/macro_types/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_types/precision/mean,test/micro/recall/mean,threshold_incremental/mean,test_pretraining/micro/precision/mean,test_incremental_living_thing/macro_types/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_pretraining/macro_types/recall/mean,test/macro_example/recall/mean,test_pretraining/micro/f1/mean,test_incremental_only/micro/f1/mean,test_incremental_living_thing-animal/macro_types/recall/std,test/macro_types/f1/std,test/macro_example/precision/std,test_incremental_only/micro/precision/std,test_incremental_living_thing-animal/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_living_thing/macro_types/recall/std,threshold_pretraining/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental_living_thing-animal/macro_types/precision/std,test_incremental/micro/precision/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_incremental/macro_example_exclusive/precision/std,epoch/std,test/macro_types/recall/std,test_incremental_only/macro_example/f1/std,test_incremental/macro_example_exclusive/recall/std,test_pretraining/macro_types/precision/std,test_incremental_living_thing/macro_types/precision/std,test/micro/f1/std,test/micro/precision/std,test_incremental/micro/f1/std,test_incremental/micro/recall/std,test/macro_example/f1/std,test/macro_types/precision/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/recall/std,test_pretraining/macro_types/f1/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_types/f1/std,test_incremental/macro_example/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_types/precision/std,test/micro/recall/std,threshold_incremental/std,test_pretraining/micro/precision/std,test_incremental_living_thing/macro_types/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_pretraining/macro_types/recall/std,test/macro_example/recall/std,test_pretraining/micro/f1/std,test_incremental_only/micro/f1/std
no_init_box_adapter_bert_ms,0.7777777910232544,0.8491481343905131,0.9228949348131815,0.6670811374982198,0.6946365634600321,0.9141296744346619,0.7777778307596842,0.9692307710647584,0.25,0.6946365634600321,0.8181559642155966,0.008118766359984875,0.6670811374982198,0.8510056932767233,0.7777778307596842,0.7777778307596842,0.8615385095278422,54.0,0.815449595451355,0.008118766359984875,0.9256410598754883,0.8857692082722982,0.9692307710647584,0.8911019563674927,0.9025984406471252,0.8758266766866049,0.9087719122568766,0.9141296744346619,0.8857692082722982,0.9055304129918417,0.008118766359984875,0.8491481343905131,0.7777777910232544,0.8399030168851217,0.02093481769164403,0.8798976540565491,0.8735042810440063,0.9228949348131815,0.6670811374982198,0.8798976540565491,0.29,0.9025984406471252,0.9692307710647584,0.020132684459288914,0.7777777910232544,0.01948503963649273,0.890174408753713,0.815449595451355,0.9055304129918417,0.8911019563674927,0.6946365634600321,0.15396006260716483,0.00023894142647603775,0.0011184835912507298,0.16567513198581948,0.016800034771040816,0.0002818783055947783,0.1539600970199225,0.0,0.0,0.016800034771040816,0.08283753180382648,0.001607098905942895,0.16567513198581948,0.07943879772926435,0.1539600970199225,0.1539600970199225,0.07418191832841553,2.6457513110645907,0.0030791847340195973,0.001607098905942895,0.035529245217038034,0.0033135302623748674,0.0,0.00040249095947465975,0.0018612874795594042,0.017790001283843664,0.048618963516709114,0.0002818783055947783,0.0033135302623748674,0.0005356689864520145,0.001607098905942895,0.00023894142647603775,0.15396006260716483,0.006622198530972504,0.0008035497218211166,0.0010128706975613985,0.07698003130358248,0.0011184835912507298,0.16567513198581948,0.0010128706975613985,0.25999999999999995,0.0018612874795594042,0.0,0.0004966906219303827,0.15396006260716483,0.001677740741914067,0.02196134998205289,0.0030791847340195973,0.0005356689864520145,0.00040249095947465975,0.016800034771040816
no_init_box_kenn_bottom_up_adapter_bert_ms,0.7777777910232544,0.8487730622291565,0.9226629535357157,0.6261460979779562,0.6738945444424947,0.9140159289042155,0.7777778307596842,0.9692307710647584,0.25,0.6738945444424947,0.7976884245872498,0.008118766359984875,0.6261460979779562,0.8343193729718527,0.7777778307596842,0.7777778307596842,0.8461538553237915,61.666666666666664,0.815449595451355,0.008118766359984875,0.9256410598754883,0.8849505186080933,0.9692307710647584,0.8909041285514832,0.9021925330162048,0.8669994274775187,0.9087719122568766,0.9140159289042155,0.8849505186080933,0.9055304129918417,0.008118766359984875,0.8487730622291565,0.7777777910232544,0.829691469669342,0.02093481769164403,0.8798976540565491,0.8735042810440063,0.9226629535357157,0.6261460979779562,0.8798976540565491,0.23333333333333336,0.9021925330162048,0.9692307710647584,0.019943618526061375,0.7777777910232544,0.019137090692917507,0.8818148175875345,0.815449595451355,0.9055304129918417,0.8909041285514832,0.6738945444424947,0.15396006260716483,0.0004561682874936096,0.0011184835912507528,0.13660082558890768,0.013793050797656844,0.0002821005055274437,0.1539600970199225,0.0,0.0,0.013793050797656844,0.06830039572666338,0.001607098905942895,0.13660082558890768,0.07533761358781249,0.1539600970199225,0.1539600970199225,0.07418189669591645,4.163331998932266,0.0030791847340195973,0.001607098905942895,0.035529245217038034,0.002732011345660921,0.0,0.00040212210317704816,0.0018591556927436779,0.01697532089117826,0.048618963516709114,0.0002821005055274437,0.002732011345660921,0.0005356689864520145,0.001607098905942895,0.0004561682874936096,0.15396006260716483,0.005451027425280753,0.0008035497218211166,0.0010128706975613985,0.07698003130358248,0.0011184835912507528,0.13660082558890768,0.0010128706975613985,0.2746512940681936,0.0018591556927436779,0.0,0.0005183225177483152,0.15396006260716483,0.001677740065898293,0.02291781674755865,0.0030791847340195973,0.0005356689864520145,0.00040212210317704816,0.013793050797656844
no_init_box_kenn_horizontal_adapter_bert_ms,0.8111111124356588,0.8494776487350464,0.9229335784912109,0.6631701389948527,0.7184684077898661,0.9142079552014669,0.8111111720403036,0.9692307710647584,0.25,0.7184684077898661,0.8162004748980204,0.00846671344091495,0.6631701389948527,0.8520348270734152,0.8111111720403036,0.8111111720403036,0.8641026020050049,58.333333333333336,0.8161162535349528,0.00846671344091495,0.9333333571751913,0.8856909871101379,0.9692307710647584,0.8912579615910848,0.902686337629954,0.8827746510505676,0.9192982316017151,0.9142079552014669,0.8856909871101379,0.9056463837623596,0.00846671344091495,0.8494776487350464,0.8111111124356588,0.8491733272870382,0.02110879123210907,0.8801169395446777,0.8901709318161011,0.9229335784912109,0.6631701389948527,0.8801169395446777,0.25,0.902686337629954,0.9692307710647584,0.020268333454926808,0.8111111124356588,0.019543030609687168,0.8961721857388815,0.8161162535349528,0.9056463837623596,0.8912579615910848,0.7184684077898661,0.09622505633585687,0.00010550951512666896,0.0008705051189316582,0.12515985361920498,0.027307108256610903,0.0002562718066367432,0.09622505633585687,0.0,0.0,0.027307108256610903,0.06257990960322365,0.0010044368834267272,0.12515985361920498,0.061524263847833625,0.09622505633585687,0.09622505633585687,0.05773497185855025,6.806859285554045,0.001924499061951659,0.0010044368834267272,0.02220579546702767,0.002503218408293877,0.0,0.00038759089004293,0.0014626454407791454,0.017711248421316973,0.03038684359475378,0.0002562718066367432,0.002503218408293877,0.0003348017197219055,0.0010044368834267272,0.00010550951512666896,0.09622505633585687,0.009979871798535416,0.0005022187105630355,0.0006330570907600138,0.04811254537430736,0.0008705051189316582,0.12515985361920498,0.0006330570907600138,0.2685144316419511,0.0014626454407791454,0.0,0.0004488015074138581,0.09622505633585687,0.0013057662815867941,0.019843875841874664,0.001924499061951659,0.0003348017197219055,0.00038759089004293,0.027307108256610903
no_init_box_kenn_hybrid_adapter_bert_ms,0.7777777910232544,0.8488603035608927,0.922585646311442,0.6359183589617411,0.6713700691858927,0.9139778017997742,0.7777778307596842,0.9692307710647584,0.25,0.6713700691858927,0.8025745550791422,0.008118766359984875,0.6359183589617411,0.8321584065755209,0.7777778307596842,0.7777778307596842,0.8410256703694662,55.333333333333336,0.815449595451355,0.008118766359984875,0.9256410598754883,0.8851459821065267,0.9692307710647584,0.8908385038375854,0.9020590384801229,0.8647737503051758,0.9087719122568766,0.9139778017997742,0.8851459821065267,0.9055304129918417,0.008118766359984875,0.8488603035608927,0.7777777910232544,0.8305835127830505,0.02093481769164403,0.8798976540565491,0.8735042810440063,0.922585646311442,0.6359183589617411,0.8798976540565491,0.43333333333333335,0.9020590384801229,0.9692307710647584,0.019862015421191852,0.7777777910232544,0.019021109988292057,0.8782066901524862,0.815449595451355,0.9055304129918417,0.8908385038375854,0.6713700691858927,0.15396006260716483,9.870589163195422e-05,0.0013739494610729905,0.19165950728149161,0.030170375659301602,0.00040116455287460045,0.1539600970199225,0.0,0.0,0.030170375659301602,0.0958297364409623,0.001607098905942895,0.19165950728149161,0.09506536377673332,0.1539600970199225,0.1539600970199225,0.09112490453103252,2.0816659994661326,0.0030791847340195973,0.001607098905942895,0.035529245217038034,0.0038331914836215843,0.0,0.0006043645957115243,0.002305701260038577,0.026278935538751765,0.048618963516709114,0.00040116455287460045,0.0038331914836215843,0.0005356689864520145,0.001607098905942895,9.870589163195422e-05,0.15396006260716483,0.011758516132563089,0.0008035497218211166,0.0010128706975613985,0.07698003130358248,0.0013739494610729905,0.19165950728149161,0.0010128706975613985,0.39703064533274174,0.002305701260038577,0.0,0.0007098198017996781,0.15396006260716483,0.0020609324726519737,0.03138491952376588,0.0030791847340195973,0.0005356689864520145,0.0006043645957115243,0.030170375659301602
no_init_box_kenn_top_down_adapter_bert_ms,0.7777777910232544,0.8487730622291565,0.9226629535357157,0.6261460979779562,0.6738945444424947,0.9140159289042155,0.7777778307596842,0.9692307710647584,0.25,0.6738945444424947,0.7976884245872498,0.008118766359984875,0.6261460979779562,0.8343193729718527,0.7777778307596842,0.7777778307596842,0.8461538553237915,58.666666666666664,0.815449595451355,0.008118766359984875,0.9256410598754883,0.8849505186080933,0.9692307710647584,0.8909041285514832,0.9021925330162048,0.8669994274775187,0.9087719122568766,0.9140159289042155,0.8849505186080933,0.9055304129918417,0.008118766359984875,0.8487730622291565,0.7777777910232544,0.829691469669342,0.02093481769164403,0.8798976540565491,0.8735042810440063,0.9226629535357157,0.6261460979779562,0.8798976540565491,0.5433333333333333,0.9021925330162048,0.9692307710647584,0.019943618526061375,0.7777777910232544,0.019137090692917507,0.8818148175875345,0.815449595451355,0.9055304129918417,0.8909041285514832,0.6738945444424947,0.15396006260716483,0.0004561682874936096,0.0011184835912507528,0.13660082558890768,0.013793050797656844,0.0002821005055274437,0.1539600970199225,0.0,0.0,0.013793050797656844,0.06830039572666338,0.001607098905942895,0.13660082558890768,0.07533761358781249,0.1539600970199225,0.1539600970199225,0.07418189669591645,3.785938897200182,0.0030791847340195973,0.001607098905942895,0.035529245217038034,0.002732011345660921,0.0,0.00040212210317704816,0.0018591556927436779,0.01697532089117826,0.048618963516709114,0.0002821005055274437,0.002732011345660921,0.0005356689864520145,0.001607098905942895,0.0004561682874936096,0.15396006260716483,0.005451027425280753,0.0008035497218211166,0.0010128706975613985,0.07698003130358248,0.0011184835912507528,0.13660082558890768,0.0010128706975613985,0.3028751117760146,0.0018591556927436779,0.0,0.0005183225177483152,0.15396006260716483,0.001677740065898293,0.02291781674755865,0.0030791847340195973,0.0005356689864520145,0.00040212210317704816,0.013793050797656844
no_init_kenn_bottom_up_adapter_bert_ms,0.7666666706403097,0.8804798523585001,0.9275400638580322,0.8082874417304993,0.7642769018809,0.9204605023066202,0.7666667103767395,0.9846153855323792,0.375,0.7642769018809,0.8485881487528483,0.008002783792714277,0.8082874417304993,0.856643537680308,0.7666667103767395,0.7666667103767395,0.9333333770434061,55.333333333333336,0.8596428632736206,0.008002783792714277,0.9307692249615988,0.9023693799972534,0.8888888955116272,0.9053726196289062,0.9128420551617941,0.8832965890566508,0.9157894651095072,0.9204605023066202,0.9023693799972534,0.9134887854258219,0.008002783792714277,0.8804798523585001,0.7666666706403097,0.8566749691963196,0.02105080025891463,0.8980263074239095,0.8756410280863444,0.9275400638580322,0.8082874417304993,0.8980263074239095,0.8333333333333334,0.9128420551617941,0.9343065619468688,0.021050581708550453,0.7666666706403097,0.021108791852990787,0.93075958887736,0.8596428632736206,0.9134887854258219,0.9053726196289062,0.7642769018809,0.16666665673256015,0.0005918404667474178,0.0007213755207008876,0.16862913205143348,0.021277942390190274,8.280287320730476e-05,0.16666668653488162,0.0,0.0,0.021277942390190274,0.08431455494804332,0.0017397352494299618,0.16862913205143348,0.049574336235779504,0.16666668653488162,0.16666668653488162,0.04700079957066196,2.5166114784235836,0.0033333301544189453,0.0017397352494299618,0.03846153616905603,0.003372579487367752,0.0,9.794534046175095e-05,0.001238773684674093,0.0040151257476755105,0.052631586790087635,8.280287320730476e-05,0.003372579487367752,0.0005798935900408297,0.0017397352494299618,0.0005918404667474178,0.16666665673256015,0.01063786461708369,0.0008698673918844936,0.0010965168477454874,0.08333331346512546,0.0007213755207008876,0.16862913205143348,0.0010965168477454874,0.1305118130030126,0.001238773684674093,0.0,0.00010945724071959868,0.16666665673256015,0.001062995958544467,0.004839686747648459,0.0033333301544189453,0.0005798935900408297,9.794534046175095e-05,0.021277942390190274
no_init_kenn_horizontal_adapter_bert_ms,0.7777777910232544,0.8806218306223551,0.9275400638580322,0.8109756112098694,0.7709753115971884,0.9204801321029663,0.7777778307596842,0.9846153855323792,0.375,0.7709753115971884,0.8499322334925333,0.008118766049544016,0.8109756112098694,0.8571414152781168,0.7777778307596842,0.7777778307596842,0.9333333770434061,55.333333333333336,0.8598650892575582,0.008118766049544016,0.9333333373069763,0.9024231433868408,0.8888888955116272,0.9054129123687744,0.9128485321998596,0.8851746519406637,0.9192982316017151,0.9204801321029663,0.9024231433868408,0.9135274489720663,0.008118766049544016,0.8806218306223551,0.7777777910232544,0.8599653840065002,0.021108791852990787,0.898099422454834,0.8811965982119242,0.9275400638580322,0.8109756112098694,0.898099422454834,0.8333333333333334,0.9128485321998596,0.9343065619468688,0.02107921925683816,0.7777777910232544,0.021108791852990787,0.9320257902145386,0.8598650892575582,0.9135274489720663,0.9054129123687744,0.7709753115971884,0.1677740885614567,0.0003807869792239807,0.0007213755207008876,0.1670998715734079,0.019565701981872793,6.185423010918329e-05,0.1677741201407695,0.0,0.0,0.019565701981872793,0.0835499243679321,0.0017512950915890742,0.1670998715734079,0.04940100997999333,0.1677741201407695,0.1677741201407695,0.04700079957066196,2.5166114784235836,0.0033554795606842557,0.0017512950915890742,0.03871709736033619,0.003341994277711814,0.0,4.864947756696483e-05,0.0012372114981443188,0.0011401695478202192,0.05298130296691308,6.185423010918329e-05,0.003341994277711814,0.0005837435876659223,0.0017512950915890742,0.0003807869792239807,0.1677740885614567,0.005000897175549015,0.0008756473299203572,0.0011038035434965258,0.08388702849107244,0.0007213755207008876,0.1670998715734079,0.0011038035434965258,0.1305118130030126,0.0012372114981443188,0.0,8.340009780563982e-05,0.1677740885614567,0.001062995958544467,0.003687596734048134,0.0033554795606842557,0.0005837435876659223,4.864947756696483e-05,0.019565701981872793
no_init_kenn_hybrid_adapter_bert_ms,0.8111111124356588,0.8810857733090719,0.9276173710823059,0.8226495782534281,0.8031057119369507,0.9205771883328756,0.8111111720403036,0.9846153855323792,0.375,0.8031057119369507,0.8557692170143127,0.00846671313047409,0.8226495782534281,0.8629870613416036,0.8111111720403036,0.8111111720403036,0.9384615818659464,52.0,0.860531747341156,0.00846671313047409,0.9410256544748942,0.902656634648641,0.8888888955116272,0.9056006669998169,0.9130029280980428,0.8939604560534159,0.9298245509465536,0.9205771883328756,0.902656634648641,0.9136433998743693,0.00846671313047409,0.8810857733090719,0.8111111124356588,0.8730378945668539,0.021282765393455822,0.8983187278111776,0.8978632489840189,0.9276173710823059,0.8226495782534281,0.8983187278111776,0.94,0.9130029280980428,0.9343065619468688,0.021236176292101543,0.8111111124356588,0.021224773799379665,0.9389657179514567,0.860531747341156,0.9136433998743693,0.9056006669998169,0.8031057119369507,0.11706282664221053,0.0007062764507661991,0.0006247972470604061,0.1544237675072456,0.02573995753505047,0.00014125823379722418,0.11706282664221053,0.0,0.0,0.02573995753505047,0.07721187365048919,0.00122194982760345,0.1544237675072456,0.04500150776897577,0.11706282664221053,0.11706282664221053,0.04070388642637772,1.0,0.002341264905875665,0.00122194982760345,0.02701448104844261,0.0030884600841484624,0.0,0.00021999877372259644,0.0010939239502975135,0.009938223834810142,0.03696720826445031,0.00014125823379722418,0.0030884600841484624,0.00040734573608735083,0.00122194982760345,0.0007062764507661991,0.11706282664221053,0.018100458210369107,0.0006109746707093688,0.0007701647282683231,0.058531413321105175,0.0006247972470604061,0.1544237675072456,0.0007701647282683231,0.04999999999999993,0.0010939239502975135,0.0,0.0002060644574101462,0.11706282664221053,0.0009205820322299409,0.009111229239000802,0.002341264905875665,0.00040734573608735083,0.00021999877372259644,0.02573995753505047
no_init_kenn_top_down_adapter_bert_ms,0.800000011920929,0.8811274369557699,0.9276946584383646,0.8393162488937378,0.8038647572199503,0.9205956061681112,0.8000000715255737,0.9846153855323792,0.375,0.8038647572199503,0.8641025622685751,0.008350730718423923,0.8393162488937378,0.8682058056195577,0.8000000715255737,0.8000000715255737,0.9435897668202718,52.0,0.8603095412254333,0.008350730718423923,0.9384615421295166,0.9029899636904398,0.8888888955116272,0.9056270718574524,0.9131321907043457,0.8950002392133077,0.9263157844543457,0.9205956061681112,0.9029899636904398,0.913604736328125,0.008350730718423923,0.8811274369557699,0.800000011920929,0.8743679920832316,0.021224774420261383,0.898245632648468,0.892307698726654,0.9276946584383646,0.8393162488937378,0.898245632648468,0.9400000000000001,0.9131321907043457,0.9343065619468688,0.021263372773925465,0.800000011920929,0.021340756366650265,0.9401682217915853,0.8603095412254333,0.913604736328125,0.9056270718574524,0.8038647572199503,0.1333333253860474,0.00032443859583648077,0.000597291065180842,0.14507775130290532,0.0066938835971478185,6.389274109003745e-05,0.1333333253860474,0.0,0.0,0.0066938835971478185,0.07253885914737512,0.0013917882461100884,0.14507775130290532,0.04237207594280502,0.1333333253860474,0.1333333253860474,0.038717128939650916,2.0,0.002666652202606201,0.0013917882461100884,0.03076922893524181,0.0029015387046568484,0.0,7.274016145731614e-05,0.0010440040815018915,0.0029422222892027876,0.04210525751113893,6.389274109003745e-05,0.0029015387046568484,0.0004639625549316406,0.0013917882461100884,0.00032443859583648077,0.1333333253860474,0.006669715030575373,0.0006958935409784317,0.0008772015571594238,0.06666666269302364,0.000597291065180842,0.14507775130290532,0.0008772015571594238,0.045825756949558365,0.0010440040815018915,0.0,8.736289361662905e-05,0.1333333253860474,0.000875648193417255,0.0038628391232816677,0.002666652202606201,0.0004639625549316406,7.274016145731614e-05,0.0066938835971478185
smart_init_box_adapter_bert_ms,0.9111111164093018,0.8491700490315756,0.921532154083252,0.5123456716537476,0.6558265686035156,0.9136971831321716,0.9111111760139465,0.9692307710647584,0.25,0.6558265686035156,0.7407882412274679,0.009510554373264313,0.5123456716537476,0.7633651892344157,0.9111111760139465,0.9111111760139465,0.7692307829856873,5.666666666666667,0.8181162675221761,0.009510554373264313,0.95641028881073,0.88267449537913,0.9692307710647584,0.890407919883728,0.9002540111541748,0.8468524018923441,0.9508771896362305,0.9136971831321716,0.88267449537913,0.9059943358103434,0.009510554373264313,0.8491700490315756,0.9111111164093018,0.8286308646202087,0.0216307124743859,0.8807748556137085,0.9401709238688151,0.921532154083252,0.5123456716537476,0.8807748556137085,0.8866666666666667,0.9002540111541748,0.9692307710647584,0.019284164533019062,0.9111111164093018,0.017397357150912285,0.8526567220687866,0.8181162675221761,0.9059943358103434,0.890407919883728,0.6558265686035156,0.03849001565179128,0.0005136792342778332,0.0,0.010691665278926827,0.01877563501716429,6.813726025800724e-05,0.03849001565179128,0.0,0.0,0.01877563501716429,0.005345849845842283,0.00040177432321121943,0.010691665278926827,0.0023221728900024697,0.03849001565179128,0.03849001565179128,0.0,0.5773502691896257,0.0007698133898837684,0.00040177432321121943,0.008882311304259588,0.00021384087638521586,0.0,0.00014205586381046625,2.5809568279517847e-05,0.006261125962549366,0.012154758085556217,6.813726025800724e-05,0.00021384087638521586,0.00013393445299182859,0.00040177432321121943,0.0005136792342778332,0.03849001565179128,0.010841051060128677,0.00020088769930495036,0.00025324348395862914,0.01924499061951662,0.0,0.010691665278926827,0.00025324348395862914,0.025166114784235843,2.5809568279517847e-05,0.0,8.007418558720162e-05,0.03849001565179128,0.0,0.0035405565765842585,0.0007698133898837684,0.00013393445299182859,0.00014205586381046625,0.01877563501716429
