name,test_incremental_only/micro/recall/mean,test_incremental_living_thing/macro_types/recall/mean,test_incremental_living_thing-animal/macro_types/f1/mean,test_incremental/micro/f1/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_example/f1/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example/recall/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_example/f1/mean,test/macro_example/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_pretraining/micro/precision/mean,threshold_incremental/mean,test/macro_example/precision/mean,test_incremental/micro/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_living_thing/macro_types/precision/mean,epoch/mean,test/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_types/precision/mean,test/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test/micro/f1/mean,test/macro_example/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/precision/mean,threshold_pretraining/mean,test_incremental_only/macro_types/recall/mean,test_incremental_only/macro_types/precision/mean,test/macro_types/f1/mean,test_incremental/micro/recall/mean,test_incremental_living_thing-animal/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_living_thing-animal/macro_types/precision/mean,test_incremental/macro_example/f1/mean,test/macro_types/precision/mean,test_incremental_only/macro_types/f1/mean,test_incremental/macro_example/precision/mean,test_incremental_living_thing/macro_types/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/micro/recall/std,test_incremental_living_thing/macro_types/recall/std,test_incremental_living_thing-animal/macro_types/f1/std,test_incremental/micro/f1/std,test_pretraining/micro/f1/std,test_incremental_only/macro_example/f1/std,test_pretraining/macro_example/precision/std,test_incremental/macro_types/f1/std,test_incremental/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example/recall/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/macro_example/f1/std,test/macro_example/recall/std,test_incremental/macro_example_exclusive/precision/std,test_pretraining/micro/precision/std,threshold_incremental/std,test/macro_example/precision/std,test_incremental/micro/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_living_thing/macro_types/precision/std,epoch/std,test/macro_types/recall/std,test_incremental_only/micro/precision/std,test_incremental/macro_types/precision/std,test/micro/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test/micro/f1/std,test/macro_example/f1/std,test_incremental_only/micro/f1/std,test_pretraining/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test/micro/precision/std,threshold_pretraining/std,test_incremental_only/macro_types/recall/std,test_incremental_only/macro_types/precision/std,test/macro_types/f1/std,test_incremental/micro/recall/std,test_incremental_living_thing-animal/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_living_thing-animal/macro_types/precision/std,test_incremental/macro_example/f1/std,test/macro_types/precision/std,test_incremental_only/macro_types/f1/std,test_incremental/macro_example/precision/std,test_incremental_living_thing/macro_types/f1/std,test_incremental_only/macro_example/precision/std
no_init_box_adapter_bert_ms,0.8333333333333334,0.9692307710647584,0.6787755290667216,0.8655969301859537,0.8908782203992208,0.008698677799353996,0.922402024269104,0.8323024312655131,0.9012820323308309,0.8840851386388143,0.021224774420261383,0.8802631696065267,0.8489793141682943,0.8165607253710429,0.8333333929379781,0.9139865040779114,0.9057237307230631,0.8282051483790079,0.9017542401949564,0.33666666666666667,0.922402024269104,0.8149763743082682,0.9384615818659464,0.9692307710647584,44.0,0.8165607253710429,0.5828773776690165,0.7760540843009949,0.8802631696065267,0.008698677644133568,0.8333333929379781,0.8908782203992208,0.9139865040779114,0.6787755290667216,0.9057237307230631,0.8784942428270975,0.9017542401949564,0.25,0.8333333333333334,0.5828773776690165,0.8489793141682943,0.9263157844543457,0.8333333333333334,0.8333333929379781,0.5828773776690165,0.019868519778052967,0.8840851386388143,0.6787755290667216,0.018731153880556423,0.9692307710647584,0.008698677644133568,0.17320508763943931,0.0,0.07268719740401104,0.023075859179824892,0.0005269396021809987,0.001807985798698835,0.000773160215473843,0.03980934344844094,0.08660252661334072,0.0011933990376218982,0.000903993033774255,0.001139509645919582,0.0018688671374833918,0.0034640914289614574,0.17320508763943931,0.0002818932216961828,0.0006026362129478727,0.052360464597206634,0.0013026882449334583,0.29955522584881294,0.000773160215473843,0.04385082482476891,0.039970383662789,0.0,1.0,0.0034640914289614574,0.059670163390690416,0.02983506562329501,0.001139509645919582,0.001807986067548505,0.17320508763943931,0.0005269396021809987,0.0002818932216961828,0.07268719740401104,0.0006026362129478727,0.022805719918177977,0.0013026882449334583,0.0,0.17320508763943931,0.059670163390690416,0.0018688671374833918,0.05469635976586613,0.17320508763943931,0.17320508763943931,0.059670163390690416,0.0005157871248316654,0.0011933990376218982,0.07268719740401104,0.0011842130597010054,0.0,0.001807986067548505
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8666666746139526,0.9692307710647584,0.69675213098526,0.8700223167737325,0.8909684419631958,0.009046624725063642,0.9223633607228597,0.841909646987915,0.9179487029711405,0.8842230240503947,0.02139874796072642,0.8804824550946554,0.8494041959444681,0.8172273834546407,0.8666667143503824,0.914026657740275,0.905839721361796,0.8256410559018453,0.9017085830370585,0.2833333333333334,0.9223633607228597,0.8139928778012594,0.9461538791656494,0.9692307710647584,52.666666666666664,0.8172273834546407,0.5897707343101501,0.7795007626215616,0.8804824550946554,0.009046624725063642,0.8666667143503824,0.8909684419631958,0.914026657740275,0.69675213098526,0.905839721361796,0.8807346820831299,0.9017085830370585,0.25,0.8666666746139526,0.5897707343101501,0.8494041959444681,0.9368421037991842,0.8666666746139526,0.8666667143503824,0.5897707343101501,0.01991919055581093,0.8842230240503947,0.69675213098526,0.018673162286480267,0.9692307710647584,0.009046624725063642,0.11547004695537369,0.0,0.043530381014492185,0.01873180292651794,0.0004484550011225723,0.0012053240450323368,0.0007563026321457956,0.02201531273151602,0.057735006271307905,0.001235776189404575,0.0006026620225161698,0.0007596960391181974,0.001054124487801475,0.002309405756893567,0.11547008136813137,0.00025913743175119366,0.0004017345334601859,0.05121792196266755,0.0012923073567805358,0.3137408697210699,0.0007563026321457956,0.04417055088886088,0.02664693391277864,0.0,9.018499505645789,0.002309405756893567,0.06178784650106982,0.03089390453567932,0.0007596960391181974,0.0012053240450323368,0.11547008136813137,0.0004484550011225723,0.00025913743175119366,0.043530381014492185,0.0004017345334601859,0.02263811612441276,0.0012923073567805358,0.0,0.11547004695537369,0.06178784650106982,0.001054124487801475,0.03646423984391075,0.11547004695537369,0.11547008136813137,0.06178784650106982,0.0005119960593269694,0.001235776189404575,0.043530381014492185,0.001158372419022629,0.0,0.0012053240450323368
no_init_box_kenn_horizontal_adapter_bert_ms,0.8444444537162781,0.9692307710647584,0.6827513376871744,0.866125245889028,0.8908863067626953,0.008814660056183735,0.9223633607228597,0.834660013516744,0.9068375825881958,0.8840729395548502,0.02128276601433754,0.8803362647692362,0.8490941325823466,0.8167829513549805,0.8444445133209229,0.9139872392018636,0.9057623942693075,0.8256410559018453,0.9016939997673035,0.2866666666666667,0.9223633607228597,0.8129724661509196,0.9410256743431091,0.9692307710647584,52.333333333333336,0.8167829513549805,0.5822671254475912,0.7757489681243896,0.8803362647692362,0.008814660056183735,0.8444445133209229,0.8908863067626953,0.9139872392018636,0.6827513376871744,0.9057623942693075,0.8782803416252136,0.9016939997673035,0.25,0.8444444537162781,0.5822671254475912,0.8490941325823466,0.9298245708147684,0.8444444537162781,0.8444445133209229,0.5822671254475912,0.019863681867718697,0.8840729395548502,0.6827513376871744,0.018673162286480267,0.9692307710647584,0.008814660056183735,0.15396006260716488,0.0,0.05758324293194593,0.019383477890632682,0.00045236793480020774,0.0016070986370932253,0.0007563026321457956,0.0320343901880517,0.07698003130358233,0.0011159374608398498,0.0008035486464224414,0.0010129051103190884,0.0015517332351534944,0.0030791847340195973,0.15396006260716488,0.0002493085688901031,0.0005356689864519024,0.05121792196266755,0.0012744923261868543,0.3121431295629192,0.0007563026321457956,0.04294106370000587,0.03552924521703811,0.0,18.823743871327334,0.0030791847340195973,0.05579618458967651,0.02789808594045209,0.0010129051103190884,0.0016070986370932253,0.15396006260716488,0.00045236793480020774,0.0002493085688901031,0.05758324293194593,0.0005356689864519024,0.021207020112585028,0.0012744923261868543,0.0,0.15396006260716488,0.05579618458967651,0.0015517332351534944,0.0486189635167092,0.15396006260716488,0.15396006260716488,0.05579618458967651,0.0004796295512731126,0.0011159374608398498,0.05758324293194593,0.001158372419022629,0.0,0.0016070986370932253
no_init_box_kenn_hybrid_adapter_bert_ms,0.8666666746139526,0.9692307710647584,0.69675213098526,0.8700223167737325,0.8909684419631958,0.009046624725063642,0.9223633607228597,0.841909646987915,0.9179487029711405,0.8842230240503947,0.02139874796072642,0.8804824550946554,0.8494041959444681,0.8172273834546407,0.8666667342185974,0.914026657740275,0.9058397014935812,0.8256410559018453,0.9017085830370585,0.45333333333333337,0.9223633607228597,0.8139928778012594,0.9461538791656494,0.9692307710647584,51.0,0.8172273834546407,0.5897707343101501,0.7795007626215616,0.8804824550946554,0.009046624725063642,0.8666667342185974,0.8909684419631958,0.914026657740275,0.69675213098526,0.9058397014935812,0.8807346820831299,0.9017085830370585,0.25,0.8666666746139526,0.5897707343101501,0.8494041959444681,0.9368421037991842,0.8666666746139526,0.8666667342185974,0.5897707343101501,0.01991919055581093,0.8842230240503947,0.69675213098526,0.018673162286480267,0.9692307710647584,0.009046624725063642,0.11547004695537369,0.0,0.043530381014492185,0.01873180292651794,0.0004484550011225723,0.0012053240450323368,0.0007563026321457956,0.02201531273151602,0.057735006271307905,0.001235776189404575,0.0006026620225161698,0.0007596960391181974,0.001054124487801475,0.002309405756893567,0.11547004695537369,0.00025913743175119366,0.0004017689462178759,0.05121792196266755,0.0012923073567805358,0.40501028793517496,0.0007563026321457956,0.04417055088886088,0.02664693391277864,0.0,10.44030650891055,0.002309405756893567,0.06178784650106982,0.03089390453567932,0.0007596960391181974,0.0012053240450323368,0.11547004695537369,0.0004484550011225723,0.00025913743175119366,0.043530381014492185,0.0004017689462178759,0.02263811612441276,0.0012923073567805358,0.0,0.11547004695537369,0.06178784650106982,0.001054124487801475,0.03646423984391075,0.11547004695537369,0.11547004695537369,0.06178784650106982,0.0005119960593269694,0.001235776189404575,0.043530381014492185,0.001158372419022629,0.0,0.0012053240450323368
no_init_box_kenn_top_down_adapter_bert_ms,0.8666666746139526,0.9692307710647584,0.70295516649882,0.8728512128194174,0.8910343448321024,0.009046624725063642,0.9224310119946798,0.8445645173390707,0.9179487029711405,0.8844114939371744,0.02139874796072642,0.8804824550946554,0.849491020043691,0.8172273834546407,0.8666667342185974,0.9140598575274149,0.9058397014935812,0.8307692607243856,0.9018436074256897,0.5800000000000001,0.9224310119946798,0.8190149863560995,0.9461538791656494,0.9692307710647584,53.333333333333336,0.8172273834546407,0.599194327990214,0.7842125495274862,0.8804824550946554,0.009046624725063642,0.8666667342185974,0.8910343448321024,0.9140598575274149,0.70295516649882,0.9058397014935812,0.8836538791656494,0.9018436074256897,0.25,0.8666666746139526,0.599194327990214,0.849491020043691,0.9368421037991842,0.8666666746139526,0.8666667342185974,0.599194327990214,0.01998521387577057,0.8844114939371744,0.70295516649882,0.018789144232869148,0.9692307710647584,0.009046624725063642,0.11547004695537369,0.0,0.03839256613202915,0.01693609487820572,0.0004048286145070218,0.0012053240450323368,0.0007605696693178916,0.019567130462502264,0.057735006271307905,0.0012527607993289217,0.0006026620225161698,0.0007596960391181974,0.000969530072283716,0.002309405756893567,0.11547004695537369,0.00024550730153749176,0.0004017689462178759,0.050441818161321844,0.0012682983116687422,0.3179622619116929,0.0007605696693178916,0.04428100416442617,0.02664693391277864,0.0,9.504384952922168,0.002309405756893567,0.06263798368276075,0.0313190141844154,0.0007596960391181974,0.0012053240450323368,0.11547004695537369,0.0004048286145070218,0.00024550730153749176,0.03839256613202915,0.0004017689462178759,0.020980097445566004,0.0012682983116687422,0.0,0.11547004695537369,0.06263798368276075,0.000969530072283716,0.03646423984391075,0.11547004695537369,0.11547004695537369,0.06263798368276075,0.0004744963593693941,0.0012527607993289217,0.03839256613202915,0.0011408204177204566,0.0,0.0012053240450323368
no_init_kenn_bottom_up_adapter_bert_ms,0.9222221970558167,0.9846153855323792,0.7824302713076273,0.8809636235237122,0.9052706758181254,0.00962653694053491,0.9270857771237692,0.8631421327590942,0.9534187912940979,0.9001355568567911,0.021862676367163658,0.899049719174703,0.8810446461041769,0.8627539873123169,0.9222222566604614,0.9205114245414734,0.9140300353368124,0.9025641282399496,0.9115802049636841,0.38000000000000006,0.9270857771237692,0.8130032618840536,0.9666666984558105,0.8888888955116272,48.0,0.8627539873123169,0.6965957880020142,0.7927423516909281,0.899049719174703,0.00962653694053491,0.9222222765286764,0.9052706758181254,0.9205114245414734,0.7824302713076273,0.9140300353368124,0.9326249162356058,0.9115802049636841,0.375,0.9222221970558167,0.6965957880020142,0.8810446461041769,0.9649122556050619,0.9222221970558167,0.9222222566604614,0.6965957880020142,0.021092768758535385,0.9001355568567911,0.7824302713076273,0.02041289707024892,0.9343065619468688,0.00962653694053491,0.07698003130358241,0.0,0.0657145327490901,0.027480334422089102,0.0006583431753163862,0.0008035497218211171,0.0007618281634563042,0.028796619813750354,0.03849001565179109,0.0030054407528992523,0.00040177432321121943,0.0005064525551595442,0.0007144824813616188,0.0015395923670097986,0.07698003130358229,0.0002442129736785626,0.00026786890598365717,0.052360464597206655,0.0017985090175815423,0.24515301344262524,0.0007618281634563042,0.06330343417181897,0.01776462260851913,0.0,15.588457268119896,0.0015395923670097986,0.1502728690165567,0.07513642181885336,0.0005064525551595442,0.0008035497218211171,0.0769799968908246,0.0006583431753163862,0.0002442129736785626,0.0657145327490901,0.00026786890598365717,0.019421611068300104,0.0017985090175815423,0.0,0.07698003130358241,0.1502728690165567,0.0007144824813616188,0.024309481758354557,0.07698003130358241,0.07698003130358229,0.1502728690165567,0.0004392511342991745,0.0030054407528992523,0.0657145327490901,0.0011842141086634557,0.0,0.0008035497218211171
no_init_kenn_horizontal_adapter_bert_ms,0.9222221970558167,0.9846153855323792,0.7814313570658366,0.8808128436406454,0.9052705566088358,0.00962653694053491,0.9270471334457397,0.8625702261924744,0.9534187912940979,0.9000920057296753,0.021862676367163658,0.899049719174703,0.8810238639513651,0.8627539873123169,0.9222222566604614,0.9204923709233602,0.9140300353368124,0.9025641083717346,0.9115798473358154,0.39666666666666667,0.9270471334457397,0.812566896279653,0.9666666984558105,0.8888888955116272,48.0,0.8627539873123169,0.6944189667701721,0.7916539311408997,0.899049719174703,0.00962653694053491,0.9222222765286764,0.9052705566088358,0.9204923709233602,0.7814313570658366,0.9140300353368124,0.9326486786206564,0.9115798473358154,0.375,0.9222221970558167,0.6944189667701721,0.8810238639513651,0.9649122556050619,0.9222221970558167,0.9222222566604614,0.6944189667701721,0.021093307062983513,0.9000920057296753,0.7814313570658366,0.020412897691130638,0.9343065619468688,0.00962653694053491,0.07698003130358241,0.0,0.057383896673936126,0.023772287975867838,0.0005602484243469289,0.0008035497218211171,0.0007796317156611149,0.02549393317977499,0.03849001565179109,0.0029066277206569228,0.00040177432321121943,0.0005064525551595442,0.0005883694990068707,0.0015395923670097986,0.07698003130358229,0.0002486306955065783,0.00026786890598365717,0.051217932406544806,0.0016568109371079985,0.1847520861406802,0.0007796317156611149,0.05951684863954077,0.01776462260851913,0.0,15.588457268119896,0.0015395923670097986,0.1453313385805465,0.07266566929027325,0.0005064525551595442,0.0008035497218211171,0.0769799968908246,0.0005602484243469289,0.0002486306955065783,0.057383896673936126,0.00026786890598365717,0.018429132480193077,0.0016568109371079985,0.0,0.07698003130358241,0.1453313385805465,0.0005883694990068707,0.024309481758354557,0.07698003130358241,0.07698003130358229,0.1453313385805465,0.00041680392937105645,0.0029066277206569228,0.057383896673936126,0.0011583730717646336,0.0,0.0008035497218211171
no_init_kenn_hybrid_adapter_bert_ms,0.9777777592341105,0.9846153855323792,0.7517842650413513,0.8673343857129415,0.904939075311025,0.010206448845565319,0.9265251755714417,0.8504860798517863,0.9811965624491373,0.8984740773836771,0.022152632474899292,0.8994152148564657,0.8808291355768839,0.8638650973637899,0.9777777989705404,0.9203331669171652,0.9142233530680338,0.8615384697914124,0.9105318784713745,0.5499999999999999,0.9265251755714417,0.7770687540372213,0.9794872204462689,0.8888888955116272,34.333333333333336,0.8638650973637899,0.6135225693384806,0.7512057423591614,0.8994152148564657,0.010206448845565319,0.9777777989705404,0.904939075311025,0.9203331669171652,0.7517842650413513,0.9142233530680338,0.9165418148040771,0.9105318784713745,0.375,0.9777777592341105,0.6135225693384806,0.8808291355768839,0.9824561278025309,0.9777777592341105,0.9777777989705404,0.6135225693384806,0.020729024584094684,0.8984740773836771,0.7517842650413513,0.019485038394729298,0.9343065619468688,0.010206448845565319,0.019245025032274446,0.0,0.049414691123455506,0.021936910965662575,0.0005558930310889045,0.00020088716160560972,0.0003515779403668199,0.01958406326419418,0.00962249530975843,0.0014176194017531012,0.00010044438735181359,0.00012660453560046957,0.0004952650697181765,0.0003849066949418842,0.0192449906195168,0.0001395437452275558,6.69672264958422e-05,0.026646933912778527,0.0012504429021413716,0.42142615011410955,0.0003515779403668199,0.03837638280370039,0.0044411728585085995,0.0,7.234178138070234,0.0003849066949418842,0.07088189317231484,0.03544093022889113,0.00012660453560046957,0.00020088716160560972,0.0192449906195168,0.0005558930310889045,0.0001395437452275558,0.049414691123455506,6.69672264958422e-05,0.013309374932108582,0.0012504429021413716,0.0,0.019245025032274446,0.07088189317231484,0.0004952650697181765,0.006077396249156841,0.019245025032274446,0.0192449906195168,0.07088189317231484,0.00030101269324930315,0.0014176194017531012,0.049414691123455506,0.0006026620225161681,0.0,0.00020088716160560972
no_init_kenn_top_down_adapter_bert_ms,0.9222221970558167,0.9846153855323792,0.7854137818018595,0.8822742501894633,0.905303955078125,0.00962653694053491,0.9271147648493449,0.8643801410992941,0.9534187912940979,0.9002113739649454,0.021862676367163658,0.899049719174703,0.8810811241467794,0.8627539873123169,0.9222222566604614,0.9205257097880045,0.9140300353368124,0.9051282207171122,0.9116475184758505,0.6533333333333333,0.9271147648493449,0.8150690992673238,0.9666666984558105,0.8888888955116272,45.333333333333336,0.8627539873123169,0.700386623541514,0.7946377595265707,0.899049719174703,0.00962653694053491,0.9222222765286764,0.905303955078125,0.9205257097880045,0.7854137818018595,0.9140300353368124,0.934066891670227,0.9116475184758505,0.375,0.9222221970558167,0.700386623541514,0.8810811241467794,0.9649122556050619,0.9222221970558167,0.9222222566604614,0.700386623541514,0.02112538181245327,0.9002113739649454,0.7854137818018595,0.020470888664325077,0.9343065619468688,0.00962653694053491,0.07698003130358241,0.0,0.06124508171046393,0.025518659154344602,0.0006080186549935624,0.0008035497218211171,0.0007291311175431753,0.026959115273924257,0.03849001565179109,0.002909947189255906,0.00040177432321121943,0.0005064525551595442,0.0006565727191884361,0.0015395923670097986,0.07698003130358229,0.00022618812453057663,0.00026786890598365717,0.0494546379719237,0.0017066163729979463,0.26689573494781316,0.0007291311175431753,0.06055950810083842,0.01776462260851913,0.0,11.846237095944574,0.0015395923670097986,0.14549819929263974,0.07274909964631987,0.0005064525551595442,0.0008035497218211171,0.0769799968908246,0.0006080186549935624,0.00022618812453057663,0.06124508171046393,0.00026786890598365717,0.017602028036266173,0.0017066163729979463,0.0,0.07698003130358241,0.14549819929263974,0.0006565727191884361,0.024309481758354557,0.07698003130358241,0.07698003130358229,0.14549819929263974,0.00039809780889493935,0.002909947189255906,0.06124508171046393,0.0011184936347954687,0.0,0.0008035497218211171
smart_init_box_adapter_bert_ms,0.9777777592341105,0.9692307710647584,0.623267412185669,0.8228211800257365,0.8897340893745422,0.010206448845565319,0.9206816355387369,0.8237273295720419,0.9735042452812195,0.8816198309262594,0.021978658934434254,0.8812134464581808,0.8493981758753458,0.8194496234258016,0.9777777989705404,0.9133966366449991,0.9062263170878092,0.7333333492279053,0.8984225591023763,0.35000000000000003,0.9206816355387369,0.7144745786984762,0.9717948834101361,0.9692307710647584,7.666666666666667,0.8194496234258016,0.4596106509367625,0.7144207159678141,0.8812134464581808,0.010206448845565319,0.9777777989705404,0.8897340893745422,0.9133966366449991,0.623267412185669,0.9062263170878092,0.8356135090192159,0.8984225591023763,0.25,0.9777777592341105,0.4596106509367625,0.8493981758753458,0.9719298084576925,0.9777777592341105,0.9777777989705404,0.4596106509367625,0.018898704399665196,0.8816198309262594,0.623267412185669,0.016585479800899822,0.9692307710647584,0.010206448845565319,0.019245025032274446,0.0,0.05385731643813218,0.03078255343502478,0.0008303459569559435,0.00020088716160560972,0.0009027259549774975,0.018047060240047146,0.009622529722516081,0.0012407649843820243,0.00010044331195313502,0.00012660453560046957,0.000440451265378438,0.0003849066949418842,0.0192449906195168,0.0004135975935849078,6.696722649605051e-05,0.03202562885214108,0.0018010168426638065,0.410731055558257,0.0009027259549774975,0.049153143166697895,0.0044411728585085995,0.0,0.5773502691896257,0.0003849066949418842,0.062038083285166516,0.031019040026464443,0.00012660453560046957,0.00020088716160560972,0.0192449906195168,0.0008303459569559435,0.0004135975935849078,0.05385731643813218,6.696722649605051e-05,0.020220368638751228,0.0018010168426638065,0.0,0.019245025032274446,0.062038083285166516,0.000440451265378438,0.006077361836399223,0.019245025032274446,0.0192449906195168,0.062038083285166516,0.00045731489502541647,0.0012407649843820243,0.05385731643813218,0.0007243101547995765,0.0,0.00020088716160560972
