name,instance,run_id,test_incremental_only/macro_example/precision,test_incremental_only/macro_example/f1,test_incremental_location-structure-government/macro_types/f1,test_incremental_location-structure-government/macro_types/precision,test_incremental/macro_types/f1,test_incremental_only/micro/precision,test_incremental_location-structure/macro_types/precision,epoch,test_pretraining/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_location-structure-airport/macro_types/recall,test_incremental_location-structure-hospital/macro_types/recall,test_pretraining/micro/recall,test_incremental_location-structure-restaurant/macro_types/recall,test_incremental_location-structure-sports_facility/macro_types/precision,test/macro_types/f1,test/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_location-structure/macro_types/f1,test_incremental_only/macro_types/precision,test_incremental/macro_types/precision,test/micro/precision,test_incremental_only/macro_types/f1,test_incremental_location-structure-restaurant/macro_types/f1,test_incremental/micro/recall,test_incremental_location-structure-government/macro_types/recall,test_incremental_location-structure-restaurant/macro_types/precision,threshold_pretraining,test_incremental_location-structure-airport/macro_types/f1,test_incremental_location-structure-hospital/macro_types/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_location-structure-theater/macro_types/precision,test_pretraining/macro_example/precision,test/micro/recall,test_pretraining/macro_types/recall,test_incremental/macro_example/recall,test/micro/f1,test_incremental/micro/precision,test_pretraining/macro_example/recall,test/macro_types/recall,test/macro_example/recall,test_incremental/micro/f1,test_pretraining/macro_types/f1,test_pretraining/micro/precision,test_incremental_location-structure-sports_facility/macro_types/f1,test_incremental_location-structure-theater/macro_types/recall,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_location-structure-hospital/macro_types/f1,test/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/micro/f1,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/f1,test/macro_example/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/recall,test_incremental/macro_types/recall,threshold_incremental,test_incremental_location-structure/macro_types/recall,test_incremental_location-structure-theater/macro_types/f1,test_incremental_location-structure-sports_facility/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_location-structure-airport/macro_types/precision
kenn_hybrid_adapter_bert_ms,2,dbh6qxux,0.08485446870326996,0.08522286266088486,0.6938775777816772,0.5573770403862,0.7358590960502625,0.5386996865272522,0.9533678889274596,37,0.831177830696106,0.9228723049163818,0.9666666388511658,1.0,0.8585569858551025,0.8666666746139526,0.3417721390724182,0.8288218379020691,0.831177830696106,0.8591721057891846,0.7965368032455444,0.5744301080703735,0.6285641193389893,0.8379784226417542,0.7076174020767212,0.7323943972587585,0.7816593647003174,0.9189189076423644,0.6341463327407837,0.33,0.6444444060325623,0.6521739363670349,0.0998191088438034,0.7391573786735535,0.7777777910232544,0.8524613976478577,0.8585569858551025,0.8264790773391724,0.09809241443872452,0.8481429219245911,0.6937984228134155,0.8659893274307251,0.8264790773391724,0.8659893274307251,0.7351129651069641,0.8288218379020691,0.8379784226417542,0.49541282653808594,0.875,0.8481429219245911,0.09894822537899016,0.91886568069458,0.7894736528396606,0.8524613976478577,0.914893627166748,0.6796875,0.08559447526931763,0.7456061840057373,0.8591721057891846,0.920634925365448,0.9212087392807008,0.8873239159584045,0.04,0.6840148568153381,0.8235294222831726,0.8999999761581421,0.7521685361862183,0.4833333194255829
kenn_top_down_adapter_bert_ms,2,1vkm9j1e,0.08534780144691467,0.08571620285511017,0.6407766938209534,0.5,0.7061567306518555,0.4861111044883728,0.9533678889274596,37,0.8252890110015869,0.9281914234161376,0.9666666388511658,1.0,0.8587473630905151,0.9333333373069764,0.32926830649375916,0.8262568712234497,0.8252890110015869,0.8572168350219727,0.7965368032455444,0.5224123597145081,0.583977460861206,0.8324413895606995,0.6684497594833374,0.7272727489471436,0.7838428020477295,0.8918918967247009,0.5957446694374084,0.33,0.5523809194564819,0.5660377144813538,0.10302582383155824,0.7410160899162292,0.7567567825317383,0.8485887050628662,0.8587473630905151,0.827226996421814,0.09833908826112749,0.8453897833824158,0.6491862535476685,0.8660222291946411,0.827226996421814,0.8660222291946411,0.7101879715919495,0.8262568712234497,0.8324413895606995,0.4821428656578064,0.875,0.8453897833824158,0.10062791407108308,0.9241849184036256,0.7228915691375732,0.8485887050628662,0.920212745666504,0.6375227570533752,0.08608780801296234,0.758263111114502,0.8572168350219727,0.92592591047287,0.927815318107605,0.8929867148399353,0.13,0.6840148568153381,0.8115941882133484,0.8999999761581421,0.7763320803642273,0.3866666555404663
kenn_bottom_up_adapter_bert_ms,2,17fjroml,0.08534780144691467,0.08571620285511017,0.6285713911056519,0.4852941036224365,0.6919227242469788,0.4617414176464081,0.9533678889274596,37,0.8227510452270508,0.9281914234161376,0.9666666388511658,1.0,0.8587473630905151,0.9333333373069764,0.2967033088207245,0.8249830007553101,0.8227510452270508,0.8560826778411865,0.7965368032455444,0.4999937117099762,0.5647615194320679,0.8295329213142395,0.6498093605041504,0.6829268932342529,0.7838428020477295,0.8918918967247009,0.5384615659713745,0.33,0.5420560836791992,0.5660377144813538,0.10179246962070464,0.7410160899162292,0.7368420958518982,0.846368670463562,0.8587473630905151,0.827226996421814,0.09833908826112749,0.8438873291015625,0.6276223659515381,0.8660222291946411,0.827226996421814,0.8660222291946411,0.6970874071121216,0.8249830007553101,0.8295329213142395,0.4462810158729553,0.875,0.8438873291015625,0.10003597289323808,0.9241849184036256,0.7228915691375732,0.846368670463562,0.920212745666504,0.6161971688270569,0.08608780801296234,0.7538027167320251,0.8560826778411865,0.92592591047287,0.9278153777122498,0.8929867148399353,0.03,0.6840148568153381,0.7999999523162842,0.8999999761581421,0.7670384049415588,0.37662336230278015
kenn_hybrid_adapter_bert_ms,1,v3tda59s,0.08140107989311218,0.08152423053979874,0.6896551847457886,0.6000000238418579,0.7347198724746704,0.5627118349075317,0.9533678889274596,61,0.833393931388855,0.8803191781044006,0.8666666746139526,0.9333333373069764,0.8570340871810913,0.8666666746139526,0.4057970941066742,0.8276190757751465,0.833393931388855,0.8594511151313782,0.7965368032455444,0.5940059423446655,0.6453433632850647,0.8408666253089905,0.7095723748207092,0.6499999761581421,0.7641921639442444,0.8108108043670654,0.5199999809265137,0.33,0.6190476417541504,0.7567567825317383,0.09883242845535278,0.7242875099182129,0.800000011920929,0.8541469573974609,0.8570340871810913,0.8219236135482788,0.09611906111240388,0.8488733768463135,0.7172130942344666,0.8648216724395752,0.8219236135482788,0.8648216724395752,0.7399576902389526,0.8276190757751465,0.8408666253089905,0.5656565427780151,0.875,0.8488733768463135,0.09745686501264572,0.8789874315261841,0.8358209133148193,0.8541469573974609,0.8776595592498779,0.6859503984451294,0.08164775371551514,0.7343682646751404,0.8594511151313782,0.8783068656921387,0.8809685111045837,0.8528323173522949,0.04,0.6840148568153381,0.8358209133148193,0.9333333373069764,0.7447335720062256,0.48148149251937866
kenn_top_down_adapter_bert_ms,1,2ed8pbqe,0.0823877602815628,0.082264244556427,0.6739130020141602,0.5636363625526428,0.7509912848472595,0.5839160680770874,0.9533678889274596,38,0.8364295363426208,0.8856382369995117,0.8666666746139526,0.9333333373069764,0.8572244644165039,0.8999999761581421,0.41791045665740967,0.8293924927711487,0.8364295363426208,0.8603487610816956,0.7965368032455444,0.6208202838897705,0.6683270931243896,0.8424695730209351,0.7300151586532593,0.6666666865348816,0.7663755416870117,0.837837815284729,0.529411792755127,0.33,0.684210479259491,0.7777777910232544,0.10039466619491576,0.7261462211608887,0.8709677457809448,0.855865478515625,0.8572244644165039,0.822472870349884,0.09636572003364564,0.8497830033302307,0.7327766418457031,0.8648792505264282,0.822472870349884,0.8648792505264282,0.7491995692253113,0.8293924927711487,0.8424695730209351,0.5773196220397949,0.84375,0.8497830033302307,0.09833893924951552,0.8869660496711731,0.8484848737716675,0.855865478515625,0.8882977962493896,0.703157901763916,0.08214109390974045,0.7410150766372681,0.8603487610816956,0.8835979104042053,0.885820209980011,0.8569909334182739,0.26,0.6840148568153381,0.8571428656578064,0.9333333373069764,0.7565056085586548,0.5652173757553101
kenn_bottom_up_adapter_bert_ms,1,1w8cnx5b,0.08041439950466156,0.08053754270076752,0.658823549747467,0.5833333134651184,0.732413113117218,0.565517246723175,0.9533678889274596,61,0.8335118293762207,0.8696808218955994,0.8666666746139526,0.9333333373069764,0.8566533327102661,0.8666666746139526,0.42424243688583374,0.8271597027778625,0.8335118293762207,0.8595703840255737,0.7965368032455444,0.5950474739074707,0.6462361812591553,0.8412787318229675,0.7073685526847839,0.6666666865348816,0.7598253488540649,0.7567567825317383,0.5416666865348816,0.33,0.604651153087616,0.7567567825317383,0.09957243502140044,0.7205700278282166,0.800000011920929,0.8545992374420166,0.8566533327102661,0.8209037184715271,0.09562571346759796,0.8488964438438416,0.7204968929290771,0.8645997047424316,0.8209037184715271,0.8645997047424316,0.7396386861801147,0.8271597027778625,0.8412787318229675,0.5833333730697632,0.875,0.8488964438438416,0.09755917638540268,0.868349015712738,0.8358209133148193,0.8545992374420166,0.8670212626457214,0.6847599744796753,0.08066107332706451,0.7351393103599548,0.8595703840255737,0.8677248954772949,0.8719595074653625,0.845110297203064,0.05,0.6840148568153381,0.8358209133148193,0.9333333373069764,0.7503098249435425,0.4642857015132904
kenn_hybrid_adapter_bert_ms,0,354xj6yz,0.07992106676101685,0.07979753613471985,0.6399999856948853,0.6315789222717285,0.7911466360092163,0.6864407062530518,0.9533678889274596,50,0.8470553755760193,0.8590425252914429,0.9666666388511658,0.8999999761581421,0.8562725782394409,0.8666666746139526,0.6842105388641357,0.8333304524421692,0.8470553755760193,0.8624230027198792,0.7965368032455444,0.7146822810173035,0.7487801909446716,0.8494806289672852,0.7824264168739319,0.8387096524238586,0.7554585337638855,0.6486486196517944,0.8125,0.33,0.6444444060325623,0.7941176295280457,0.10129912197589874,0.7168525457382202,0.8823529481887817,0.8603278398513794,0.8562725782394409,0.8200432062149048,0.09513238072395323,0.852863073348999,0.806526780128479,0.864528477191925,0.8200432062149048,0.864528477191925,0.7801578044891357,0.8333304524421692,0.8494806289672852,0.7647058963775635,0.9375,0.852863073348999,0.09811895340681076,0.8603702187538147,0.84375,0.8603278398513794,0.8617020845413208,0.7623529434204102,0.07967439293861389,0.7393572926521301,0.8624230027198792,0.8571428656578064,0.864358127117157,0.8385948538780212,0.17,0.6840148568153381,0.9090909361839294,0.8666666746139526,0.7633209228515625,0.4833333194255829
kenn_top_down_adapter_bert_ms,0,1jn07b4m,0.08263443410396576,0.08312484622001648,0.5510203838348389,0.4426229596138001,0.6408089995384216,0.3663793206214905,0.9533678889274596,51,0.8149702548980713,0.9015957117080688,0.9666666388511658,0.9666666388511658,0.8577955365180969,0.8999999761581421,0.3333333432674408,0.8198149800300598,0.8149702548980713,0.8505374789237976,0.7965368032455444,0.4312628507614136,0.505849301815033,0.81586092710495,0.5842911005020142,0.5346534252166748,0.7729257345199585,0.7297297120094299,0.3802816867828369,0.33,0.3258427083492279,0.7435897588729858,0.1010524556040764,0.7317224144935608,0.49180328845977783,0.8360258936882019,0.8577955365180969,0.82471764087677,0.0971057265996933,0.8363028764724731,0.5388127565383911,0.8655617237091064,0.82471764087677,0.8655617237091064,0.6349775195121765,0.8198149800300598,0.81586092710495,0.4912281036376953,0.9375,0.8363028764724731,0.09903979301452635,0.896245002746582,0.8405797481536865,0.8360258936882019,0.8909574151039124,0.5206738114356995,0.08362111449241638,0.7462961673736572,0.8505374789237976,0.8994709253311157,0.9056493639945984,0.8739873170852661,0.06999999999999999,0.6840148568153381,0.6451613306999207,0.9333333373069764,0.7614622116088867,0.1959459483623505
kenn_bottom_up_adapter_bert_ms,0,2uet1fyx,0.0823877602815628,0.08275610953569412,0.5454545617103577,0.4354838728904724,0.6548230648040771,0.38496583700180054,0.9533678889274596,51,0.8175341486930847,0.896276593208313,0.9666666388511658,0.9333333373069764,0.8576051592826843,0.8999999761581421,0.3733333349227905,0.820798397064209,0.8175341486930847,0.851780116558075,0.7965368032455444,0.45391133427619934,0.5252622365951538,0.8193888664245605,0.6034877896308899,0.5869565606117249,0.7707423567771912,0.7297297120094299,0.4354838728904724,0.33,0.3333333432674408,0.7777777910232544,0.10064134001731873,0.7298636436462402,0.5,0.8385847806930542,0.8576051592826843,0.8240887522697449,0.09685906767845154,0.838061511516571,0.5585442781448364,0.8653973340988159,0.8240887522697449,0.8653973340988159,0.6477064490318298,0.820798397064209,0.8193888664245605,0.5333333611488342,0.9375,0.838061511516571,0.09871399402618408,0.8922693729400635,0.8484848737716675,0.8385847806930542,0.8882978558540344,0.5382165908813477,0.08312776684761047,0.7438411116600037,0.851780116558075,0.8941798806190491,0.9000938534736633,0.8692254424095154,0.02,0.6840148568153381,0.6521739363670349,0.9333333373069764,0.7583643198013306,0.2013888955116272
box_adapter_bert_ms,2,3k07fc7x,0.0651208683848381,0.06499730050563812,0.04462474584579468,0.022884882986545563,0.4936979115009308,0.0651208683848381,0.936046540737152,7,0.6993319988250732,0.6994681358337402,0.6333333253860474,0.6000000238418579,0.7902151346206665,0.8333333134651184,0.04743082821369171,0.684497058391571,0.6993319988250732,0.6869046688079834,0.7301587462425232,0.29728779196739197,0.3885390460491181,0.613599419593811,0.41553378105163574,0.3030303120613098,0.6397379636764526,0.8918918967247009,0.18518517911434176,0.26,0.2467532753944397,0.375,0.07770103216171265,0.5960346460342407,1.0,0.6008261442184448,0.7902151346206665,0.6702784299850464,0.07909883558750153,0.6907971501350403,0.1332423835992813,0.8017721176147461,0.6702784299850464,0.8017721176147461,0.22054947912693024,0.684497058391571,0.613599419593811,0.08480564504861832,0.78125,0.6907971501350403,0.07839370518922806,0.7007954120635986,0.4615384638309479,0.6008261442184448,0.7021276950836182,0.11913356930017471,0.06487420201301575,0.5907213091850281,0.6869046688079834,0.6984127163887024,0.6899681091308594,0.6769031286239624,0.99,0.5985130071640015,0.8771929740905762,0.4000000059604645,0.5855018496513367,0.15322580933570862
