name,test/macro_types/recall/mean,test/macro_example/precision/mean,test_incremental_only/micro/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_example/recall/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_organization-company/macro_types/f1/mean,test_incremental_organization-company-news/macro_types/f1/mean,test_incremental_organization-company-broadcast/macro_types/recall/mean,test_pretraining/macro_types/f1/mean,test_incremental/macro_types/precision/mean,test_incremental/micro/f1/mean,test_incremental/macro_example/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_organization-company/macro_types/recall/mean,test/micro/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,threshold_pretraining/mean,test/macro_example/recall/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_example/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_types/recall/mean,test_incremental_organization-company/macro_types/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental_organization-company-broadcast/macro_types/precision/mean,test_pretraining/micro/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental_organization-company-news/macro_types/recall/mean,test_incremental_organization-company-news/macro_types/precision/mean,epoch/mean,test/micro/f1/mean,test_incremental/macro_example/recall/mean,test/micro/precision/mean,test/macro_example/f1/mean,test_incremental/macro_types/f1/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_types/precision/mean,test_incremental/macro_types/recall/mean,threshold_incremental/mean,test_pretraining/micro/f1/mean,test_incremental/micro/recall/mean,test_incremental_organization-company-broadcast/macro_types/f1/mean,test/macro_types/recall/std,test/macro_example/precision/std,test_incremental_only/micro/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_example/recall/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_organization-company/macro_types/f1/std,test_incremental_organization-company-news/macro_types/f1/std,test_incremental_organization-company-broadcast/macro_types/recall/std,test_pretraining/macro_types/f1/std,test_incremental/macro_types/precision/std,test_incremental/micro/f1/std,test_incremental/macro_example/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_organization-company/macro_types/recall/std,test/micro/recall/std,test_incremental_only/macro_example_exclusive/precision/std,threshold_pretraining/std,test/macro_example/recall/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example_exclusive/f1/std,test_incremental/micro/precision/std,test_incremental/macro_example/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_types/recall/std,test_incremental_organization-company/macro_types/precision/std,test/macro_types/f1/std,test_pretraining/micro/recall/std,test_incremental_only/macro_types/precision/std,test_incremental_organization-company-broadcast/macro_types/precision/std,test_pretraining/micro/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/precision/std,test_incremental_organization-company-news/macro_types/recall/std,test_incremental_organization-company-news/macro_types/precision/std,epoch/std,test/micro/f1/std,test_incremental/macro_example/recall/std,test/micro/precision/std,test/macro_example/f1/std,test_incremental/macro_types/f1/std,test_incremental_only/micro/precision/std,test_incremental/macro_example_exclusive/precision/std,test/macro_types/precision/std,test_incremental/macro_types/recall/std,threshold_incremental/std,test_pretraining/micro/f1/std,test_incremental/micro/recall/std,test_incremental_organization-company-broadcast/macro_types/f1/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.6576379537582397,0.8565888206164042,0.44629613558451336,0.386178861061732,0.4869201183319092,0.013813517056405544,0.40000003576278687,0.8277898629506429,0.4245060284932454,0.7392550110816956,0.33741814891497296,0.5444444517294565,0.6985923051834106,0.6498390634854635,0.6563803752263387,0.06520308802525203,0.6585445205370585,0.7543859481811523,0.7871485948562622,0.4523809750874837,0.26,0.8008652925491333,0.6576379537582397,0.7450135548909506,0.8565888206164042,0.7108569741249084,0.6801904241243998,0.059968690077463783,0.8008652925491333,0.4196581443150838,0.7247191071510315,0.6985923051834106,0.7871485948562622,0.6123990217844645,0.8239057262738546,0.844536026318868,0.014659801808496317,0.01562242986013492,0.2948717971642812,0.40089229742685956,23.666666666666668,0.8148316939671835,0.055555554727713265,0.844536026318868,0.8277898629506429,0.580662727355957,0.5430484811464945,0.7729044953982035,0.7450135548909506,0.5312340954939524,0.043333333333333335,0.8148316939671835,0.635046104590098,0.6234127183755239,0.005740936935774203,0.0005947126555110605,0.07995531780652236,0.11065574302142492,0.08771642011243132,0.003853107647565426,0.11157501543028249,0.0003926055125134093,0.11985619275182664,0.0,0.05764444572870085,0.26736020754101386,0.0029145524273235302,0.030205158712982603,0.01844307506999856,0.0009338808673794137,0.024039387073836446,0.0,0.0017632586602062354,0.1296253135915649,0.0,0.0010386464801791955,0.005740936935774203,0.0018492738311941172,0.0005947126555110605,0.009275460086193368,0.015340798237712701,0.0007824823301660811,0.0010386464801791955,0.14065268502091885,0.0,0.0029145524273235302,0.0017632586602062354,0.045307773909908075,0.11054182845779878,0.0011194569209749482,0.004139087716927166,0.004476453311963932,0.07280651816213973,0.019930905151773353,4.618802153517007,0.0007448345834636945,0.0020279893117884267,0.0011194569209749482,0.0003926055125134093,0.04982651379709523,0.05808369110093216,0.0110699886580799,0.0018492738311941172,0.09376848053287118,0.057735026918962574,0.0007448345834636945,0.03586470849657782,0.19532641155296335
no_init_box_kenn_hybrid_adapter_bert_ms,0.6583094994227091,0.8563807606697083,0.43693005045255023,0.3861788709958394,0.4856502910455068,0.01340240053832531,0.38809525966644287,0.827727198600769,0.4177549680074056,0.7392550110816956,0.292468786239624,0.622222234805425,0.6984286109606425,0.6298193534215292,0.6535065968831381,0.06487419704596202,0.6569200754165649,0.7543859481811523,0.7871485948562622,0.4523809750874837,0.26,0.8009302814801534,0.6583094994227091,0.7437878449757894,0.8563807606697083,0.7080424229303995,0.674474835395813,0.059731251249710716,0.8009302814801534,0.43611112236976624,0.7247191071510315,0.6984286109606425,0.7871485948562622,0.5823694864908854,0.8079365094502767,0.844184676806132,0.014426662276188532,0.01562242986013492,0.2500000049670537,0.35680243372917175,21.0,0.8146674831708273,0.055418514957030617,0.844184676806132,0.827727198600769,0.5781193176905314,0.5207735697428385,0.7690058549245199,0.7437878449757894,0.5422027309735616,0.01,0.8146674831708273,0.635046104590098,0.6730259458223978,0.006568976519769547,0.0007895660585809217,0.10746000074797275,0.1413442318705067,0.09814463138006828,0.005081241507753047,0.14713824606961845,0.0004962191423106752,0.1558712175307741,0.0,0.08487100629947122,0.23412563914086404,0.0035442018198907194,0.035843889040053326,0.024679348384117433,0.0012817375735185645,0.03137129892173107,0.0,0.0022522917119947123,0.16557465766107546,0.0,0.0012183973738499987,0.006568976519769547,0.002194539871844684,0.0007895660585809217,0.012480218540600833,0.017209336505176552,0.0010528436772102297,0.0012183973738499987,0.16093998988126637,0.0,0.0035442018198907194,0.0022522917119947123,0.053765799648693526,0.12420569685010353,0.0012675251396218907,0.005382824127437573,0.005717920963342423,0.08812645854873155,0.08129892841664503,2.0,0.0009928675801772744,0.002646520181223007,0.0012675251396218907,0.0004962191423106752,0.057888645502560586,0.0766015295623295,0.01519343900375576,0.002194539871844684,0.10729331863441521,0.0,0.0009928675801772744,0.04581115445565501,0.11175183998208943
no_init_box_kenn_top_down_adapter_bert_ms,0.6605857610702515,0.8549717466036478,0.4544050296147664,0.43902437885602313,0.48867570360501605,0.015375759763022264,0.4452381332715352,0.8272879322369894,0.4772716263930003,0.7392550110816956,0.32588712374369305,0.6888888875643412,0.698236326376597,0.5754381616910299,0.6505196690559387,0.06470974783102672,0.6689408620198568,0.7543859481811523,0.787990669409434,0.5142857333024343,0.26,0.8013422091801962,0.6605857610702515,0.7404583891232809,0.8549717466036478,0.7143754363059998,0.6494831045468649,0.06026551127433777,0.8013422091801962,0.49188032746315,0.7247191071510315,0.698236326376597,0.787990669409434,0.5007976293563843,0.6373307108879089,0.8422794938087463,0.016481998066107433,0.017760237058003742,0.2948717921972275,0.3642645577589671,20.333333333333332,0.8142301241556803,0.05643260354797045,0.8422794938087463,0.8272879322369894,0.5744771162668864,0.47645068168640137,0.7670565446217855,0.7404583891232809,0.5793822209040324,0.013333333333333334,0.8142301241556803,0.6521738966306051,0.6399939060211182,0.0038569444568722164,0.0016683448914461007,0.06053259131191503,0.07418002135710106,0.06403030709496808,0.0024953118412083556,0.07225711635653898,0.0007385712004934427,0.07892584211845002,0.0,0.05876694963097963,0.1835856883967263,0.0026245572626909545,0.06933280592656131,0.019716772410833104,0.0015858668464897804,0.015786273079012415,0.0,0.0011820171261972634,0.08689658524809675,0.0,0.000707669250925911,0.0038569444568722164,0.004244872028459348,0.0016683448914461007,0.0019327431645118174,0.028317341117530974,0.00016304884449577857,0.000707669250925911,0.0944949363155797,0.0,0.0026245572626909545,0.0011820171261972634,0.1039992266882814,0.1505760682757367,0.0019118499716181815,0.00272560749492041,0.003000868492171067,0.05551444565162194,0.06216992863809983,3.214550253664318,0.0010764677598426948,0.001331747406573254,0.0019118499716181815,0.0007385712004934427,0.04270630559365212,0.07267145552700785,0.018798535772229983,0.004244872028459348,0.0629966434839356,0.005773502691896258,0.0010764677598426948,0.024042535249479052,0.0821208650559856
no_init_kenn_bottom_up_adapter_bert_ms,0.8085484306017557,0.8595257997512817,0.47163965304692584,0.6219512224197388,0.4928409655888875,0.021953626225392025,0.6357142925262451,0.8601875702540079,0.6325260599454244,0.7480106353759766,0.4289596378803253,0.8555555542310079,0.8264900843302408,0.49896640578905743,0.6434844334920248,0.05881708115339279,0.7651072144508362,0.8245614171028137,0.8525067965189616,0.6309523979822794,0.33,0.8608605066935221,0.8085484306017557,0.8452709515889486,0.8595257997512817,0.7274386684099833,0.5629656910896301,0.0613675427933534,0.8608605066935221,0.6713675260543823,0.6844660043716431,0.8264900843302408,0.8525067965189616,0.4062166015307109,0.4182773381471634,0.8438216249148051,0.021843523407975834,0.02178917887310187,0.4871794879436493,0.3941558500130971,36.333333333333336,0.8481252193450928,0.06454530358314514,0.8438216249148051,0.8601875702540079,0.5852320591608683,0.3996291160583496,0.6972059806187948,0.8452709515889486,0.7224322160085043,0.4066666666666667,0.8481252193450928,0.7588932911554972,0.5359102487564087,0.0022502153447259265,0.004563623024898285,0.07586804797764769,0.06453051456206217,0.08503950781514148,0.0025034270585217963,0.07249210324727884,0.00201913310957696,0.0507106580459297,0.0,0.03933955578194894,0.0838870600703848,0.001540919983667166,0.09092893286534047,0.04411358683029933,0.006676985758074632,0.015004683409232533,0.0,0.0010282880310662663,0.03523485635620327,0.0,0.0005413259229806448,0.0022502153447259265,0.005567072500168154,0.004563623024898285,0.03738537891770754,0.0788865970431619,0.003153872280642665,0.0005413259229806448,0.055129459113450435,0.0,0.001540919983667166,0.0010282880310662663,0.13639345518193702,0.2352584133875962,0.008215651446968853,0.0017512316022053407,0.00121679299550356,0.10935078671593146,0.04089878208413517,19.629909152447276,0.003666315069765375,0.0012658121414463245,0.008215651446968853,0.00201913310957696,0.049369709892774054,0.13613884369223805,0.0791476877322407,0.005567072500168154,0.03675296269290641,0.14294521094927712,0.003666315069765375,0.02091503026056165,0.20278346508106002
no_init_kenn_hybrid_adapter_bert_ms,0.8101706107457479,0.8555030624071757,0.40364230672518414,0.6544715563456217,0.4336020847161611,0.022693635274966557,0.6571428974469503,0.8583658536275228,0.6175477306048075,0.7480106353759766,0.3814296821753184,0.9222221970558167,0.825736423333486,0.4443815549214681,0.5998730262120565,0.04949843759338061,0.7706302801767985,0.8245614171028137,0.8530249993006388,0.5880952775478363,0.33,0.8612602750460306,0.8101706107457479,0.8419290582338969,0.8555030624071757,0.6629142562548319,0.4957994520664215,0.05592419455448786,0.8612602750460306,0.7111110885938009,0.6844660043716431,0.825736423333486,0.8530249993006388,0.3243393003940582,0.3393966754277547,0.8356841206550598,0.021326265608270962,0.02030915891130765,0.5000000099341074,0.3092819352944692,23.666666666666668,0.8442422946294149,0.0650112380584081,0.8356841206550598,0.8583658536275228,0.553684671719869,0.30266407628854114,0.5867446660995483,0.8419290582338969,0.74892791112264,0.45999999999999996,0.8442422946294149,0.7694334586461385,0.46172566215197247,0.0012700542188436004,0.00530864063853781,0.09434736360107722,0.030690386193898873,0.10985908092767774,0.0013052547616603674,0.03779639999120315,0.0025047090893226707,0.06854313922408313,0.0,0.00406701081188197,0.03849001565179121,0.002054971352316212,0.0876412185665724,0.057846231398316295,0.00855122463634382,0.00705086331864169,0.0,0.0004890332825900794,0.10840525877860263,0.0,0.00034528059265285637,0.0012700542188436004,0.005365751545229438,0.00530864063853781,0.061367519972431596,0.08543291994002734,0.005177033557783321,0.00034528059265285637,0.03111672640452902,0.0,0.002054971352316212,0.0004890332825900794,0.13146182784985855,0.24985777321393038,0.010299085622805425,0.002367055602012915,0.0037436454096596867,0.033308675994162595,0.013974350253258357,21.07921567168317,0.005013185002866045,0.000594818875138382,0.010299085622805425,0.0025047090893226707,0.06099680243718999,0.11538372598464461,0.1013645483897295,0.005365751545229438,0.0207444837921701,0.0721110255092798,0.005013185002866045,0.00994709651361724,0.2407589055078711
no_init_kenn_top_down_adapter_bert_ms,0.811670700709025,0.8545444011688232,0.4047122001647949,0.6951219439506531,0.4344784617424011,0.024338101347287495,0.7047619223594666,0.8580468694368998,0.6532028714815775,0.7480106353759766,0.38472293814023334,0.9444444378217062,0.826410194238027,0.44090984265009564,0.5951675772666931,0.04969029252727827,0.7803768714269003,0.8245614171028137,0.8536727428436279,0.6142857472101847,0.33,0.8615955909093221,0.811670700709025,0.841716488202413,0.8545444011688232,0.6680382092793783,0.4857299526532491,0.05635645240545273,0.8615955909093221,0.747863233089447,0.6844660043716431,0.826410194238027,0.8536727428436279,0.319131741921107,0.3374238262573878,0.8334710597991943,0.02255757215122382,0.021213615934054058,0.5512820482254028,0.3008396526177724,24.0,0.8434106310208639,0.06583346923192342,0.8334710597991943,0.8580468694368998,0.5570080280303955,0.29648331304391223,0.5890188415845236,0.841716488202413,0.7734293540318807,0.43,0.8434106310208639,0.78260870774587,0.4647631148497264,0.0028643035367305367,0.006090445803238742,0.0953772305020024,0.07418001400789732,0.11775189798224213,0.0035000471160605653,0.10135143600103387,0.0028003923411398213,0.09603792821984519,0.0,0.0238154764286732,0.06938885774078345,0.0022049084675411553,0.08714236771477529,0.06439926838254546,0.007960955819435329,0.019598521845363783,0.0,0.0011820514225155093,0.11930924796926842,0.0,0.0006740262569236016,0.0028643035367305367,0.005335294085441185,0.006090445803238742,0.05673271946000987,0.09166964361430097,0.004786038519047631,0.0006740262569236016,0.07017499553854614,0.0,0.0022049084675411553,0.0011820514225155093,0.13071356478444623,0.25457875896214643,0.01312036406089396,0.003316550635669895,0.004120200084640965,0.09088106747183498,0.041116291626729626,20.784609690826528,0.006242253966008011,0.0016533530943515318,0.01312036406089396,0.0028003923411398213,0.06338020514718613,0.10914078449029264,0.09436756247189385,0.005335294085441185,0.04678334061320991,0.19287301521985908,0.006242253966008011,0.024042535249479052,0.25955779942819257
smart_init_box_adapter_bert_ms,0.6697781483332316,0.8417718609174093,0.34857630729675293,0.7276422679424286,0.34466858704884845,0.024666993878781796,0.7142857313156128,0.8220943013827006,0.5607287983099619,0.7392550110816956,0.40791237354278564,0.6777777671813965,0.6991799275080363,0.4286305209000905,0.5384961664676666,0.04700432841976484,0.72871994972229,0.7543859481811523,0.7925897041956583,0.46666668852170307,0.26,0.8034320871035258,0.6697781483332316,0.7314702073733012,0.8417718609174093,0.6165117621421814,0.45304521918296814,0.0520096222559611,0.8034320871035258,0.7170939942200979,0.7247191071510315,0.6991799275080363,0.7925897041956583,0.2805862178405126,0.2305474355816841,0.8103051980336508,0.019364090946813423,0.01611577036480109,0.7564102411270142,0.3306250025828679,19.333333333333332,0.80105592807134,0.06147563457489014,0.8103051980336508,0.8220943013827006,0.5157624781131744,0.2837119897206624,0.5571799874305725,0.7314702073733012,0.7295246918996176,0.25,0.80105592807134,0.7457180420557658,0.2775387664635976,0.011917293936327495,0.015114568990362046,0.09213232638720315,0.29098421766327526,0.0884115800566202,0.009854455667892588,0.2853568934029126,0.0059289528233068866,0.16891973312062897,0.0,0.08679367005383846,0.3006166322700443,0.0034007226076378525,0.11262605580760485,0.11023527611366692,0.014088366466406132,0.06217479287986041,0.0,0.004636740102869555,0.10408331558518837,0.0,0.002604010037798008,0.011917293936327495,0.006895461886684375,0.015114568990362046,0.07852721231375481,0.18652164721928804,0.006624643782887559,0.002604010037798008,0.2919738384517617,0.0,0.0034007226076378525,0.004636740102869555,0.16893909206496607,0.18228357780997073,0.03342703608413143,0.005833439123187177,0.0035943914262261314,0.29122605165697224,0.15955614828609346,9.814954576223638,0.014141281422693998,0.005245133075280328,0.03342703608413143,0.0059289528233068866,0.022134357453208197,0.17332600180740695,0.16700075066362605,0.006895461886684375,0.1946492340387168,0.17349351572897473,0.014141281422693998,0.09431110002876708,0.10837950054859573
smart_init_classifier_adapter_bert_ms,0.8099526166915894,0.8599771857261658,0.48800965150197345,0.662601629892985,0.5070541302363077,0.023598092297712963,0.6833333770434061,0.860584537188212,0.6818239688873291,0.7480106353759766,0.4384843409061432,0.8666666746139526,0.8270376324653625,0.4922398130098979,0.6512264609336853,0.05991338938474655,0.774853785832723,0.8245614171028137,0.8531545400619507,0.6809523900349935,0.33,0.8611928423245748,0.8099526166915894,0.8448591232299805,0.8599771857261658,0.7410740653673807,0.5631677309672037,0.06251784041523933,0.8611928423245748,0.7057692408561707,0.6844660043716431,0.8270376324653625,0.8531545400619507,0.3961266775925954,0.4246498743693034,0.8442963560422262,0.02354596679409345,0.023515868311127026,0.5448718070983887,0.36760350068410236,36.333333333333336,0.848702073097229,0.06536753724018733,0.8442963560422262,0.860584537188212,0.5928184787432352,0.38651254773139954,0.7102014422416687,0.8448591232299805,0.7453666528066,0.4033333333333333,0.848702073097229,0.7720685005187988,0.5669135848681132,0.002319228486732512,0.0008605271566223588,0.04265038378314321,0.04282784822724042,0.0613977994067102,0.0015858657841796133,0.045922137563034655,0.0006045410207703554,0.053592147245400415,0.0,0.021895573198272764,0.1154700469553736,0.002315313986370237,0.03850226176628036,0.017267072735669572,0.0006279894318977204,0.009599273277248598,0.0,0.000682429420013426,0.06481263873132634,0.0,0.0003964411716841995,0.002319228486732512,0.0023573040291555826,0.0008605271566223588,0.004482431739055506,0.01936677931925902,0.00037813793646345134,0.0003964411716841995,0.05682033538058796,0.0,0.002315313986370237,0.000682429420013426,0.057753426280847224,0.1416691504457448,0.001655622909880975,0.0018507410215338098,0.002238226168447017,0.02937547371806282,0.026370178317058936,19.629909152447276,0.0011143107374694842,0.0008098029586746352,0.001655622909880975,0.0006045410207703554,0.03953452818432084,0.040128017905935225,0.007444077692998383,0.0023573040291555826,0.03788024275151857,0.2023198787399136,0.0011143107374694842,0.013880972684435321,0.15053871182327422
