name,instance,run_id,test_pretraining/micro/recall,threshold_incremental,test_incremental/micro/f1,test_incremental/macro_types/f1,test_pretraining/micro/precision,test_incremental_organization-company/macro_types/recall,epoch,test_incremental_organization-company/macro_types/precision,test_pretraining/macro_example/f1,test_incremental_organization-company-broadcast/macro_types/f1,test_pretraining/macro_example/precision,test_incremental/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_types/f1,test_incremental/micro/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/precision,test_incremental_only/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_only/macro_types/recall,test/macro_example/f1,test_pretraining/micro/f1,test_incremental/macro_example/f1,test_incremental/macro_example_exclusive/f1,threshold_pretraining,test/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_organization-company-news/macro_types/recall,test_incremental_organization-company-broadcast/macro_types/recall,test/macro_types/recall,test_incremental/macro_types/recall,test_pretraining/macro_example/recall,test_incremental/macro_example_exclusive/precision,test/micro/f1,test/macro_types/f1,test_incremental_organization-company/macro_types/f1,test_incremental_organization-company-news/macro_types/precision,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_types/precision,test_incremental_organization-company-broadcast/macro_types/precision,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test/micro/precision,test_incremental/micro/recall,test/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/micro/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/recall,test_incremental_organization-company-news/macro_types/f1,test/macro_types/precision
no_init_box_kenn_hybrid_adapter_bert_ms,2,nznipgs7,0.7842984795570374,0.04,0.6503341197967529,0.5846678018569946,0.8486123085021973,0.7543859481811523,39,0.7247191071510315,0.8276414275169373,0.6808511018753052,0.8577582836151123,0.05188291519880295,0.18571430444717407,0.7015892863273621,0.7448979616165161,0.6150097846984863,0.8577582836151123,0.008386778645217419,0.2428571581840515,0.27628207206726074,0.8276414275169373,0.8151889443397522,0.05706380307674408,0.6764230132102966,0.26,0.799567699432373,0.21047620475292209,0.01923076994717121,0.5333333611488342,0.6517858505249023,0.4356500506401062,0.799567699432373,0.7514619827270508,0.8151889443397522,0.7015892863273621,0.7392550110816956,1.0,0.6517858505249023,0.7596335411071777,0.970588207244873,0.3400000035762787,0.8886318206787109,0.9411764740943908,0.2073170691728592,0.06339417397975922,0.8486123085021973,0.5770751237869263,0.7842984795570374,0.43012672662734985,0.9444444179534912,0.007268541492521763,0.006413418799638748,0.03773585334420204,0.7596335411071777
no_init_box_kenn_top_down_adapter_bert_ms,2,i19ffdkz,0.7846871614456177,0.1,0.6548672318458557,0.5921295285224915,0.8484975695610046,0.7543859481811523,40,0.7247191071510315,0.8276951909065247,0.6666666865348816,0.8576467037200928,0.05237625539302826,0.2142857313156128,0.7015877366065979,0.7437185645103455,0.6208577156066895,0.8576467037200928,0.009373458102345468,0.27142858505249023,0.2955128252506256,0.8276951909065247,0.815345823764801,0.057360924780368805,0.6799450516700745,0.26,0.7997651100158691,0.2394958138465881,0.05769230797886848,0.5333333611488342,0.6525707840919495,0.4484705626964569,0.7997651100158691,0.7514619827270508,0.815345823764801,0.7015877366065979,0.7392550110816956,1.0,0.6525707840919495,0.7585664391517639,0.9444444179534912,0.3689320385456085,0.8712027072906494,0.8888888955116272,0.23170731961727145,0.06339417397975922,0.8484975695610046,0.5849802494049072,0.7846871614456177,0.4501694738864898,0.9047619104385376,0.00827069766819477,0.007400098722428083,0.1090909093618393,0.7585664391517639
no_init_box_kenn_bottom_up_adapter_bert_ms,2,sq8cwbeo,0.7846871614456177,0.01,0.6548672318458557,0.5921295285224915,0.8484975695610046,0.7543859481811523,40,0.7247191071510315,0.8276951909065247,0.6666666865348816,0.8576467037200928,0.05237625539302826,0.2142857313156128,0.7015877366065979,0.7437185645103455,0.6208577156066895,0.8576467037200928,0.009373458102345468,0.27142858505249023,0.2955128252506256,0.8276951909065247,0.815345823764801,0.057360924780368805,0.6799450516700745,0.26,0.7997651100158691,0.2394958138465881,0.05769230797886848,0.5333333611488342,0.6525707840919495,0.4484705626964569,0.7997651100158691,0.7514619827270508,0.815345823764801,0.7015877366065979,0.7392550110816956,1.0,0.6525707840919495,0.7585664391517639,0.9444444179534912,0.3689320385456085,0.8712026476860046,0.8888888955116272,0.23170731961727145,0.06339417397975922,0.8484975695610046,0.5849802494049072,0.7846871614456177,0.4501694738864898,0.9047619104385376,0.00827069766819477,0.007400098722428083,0.1090909093618393,0.7585664391517639
no_init_box_kenn_hybrid_adapter_bert_ms,1,rnj1gq7w,0.7821608781814575,0.01,0.613636314868927,0.3773936629295349,0.8479039669036865,0.7543859481811523,30,0.7247191071510315,0.8268601298332214,0.3076923191547394,0.8576761484146118,0.04949843883514404,0.05714285746216774,0.6862311363220215,0.7219251394271851,0.5867446660995483,0.8576761484146118,0.002960039535537362,0.08571428805589676,0.10000000149011612,0.8268601298332214,0.8137066960334778,0.05540059506893158,0.6567076444625854,0.26,0.7981817126274109,0.06857143342494965,0.0,0.20000000298023224,0.6445906758308411,0.31812864542007446,0.7981817126274109,0.7456140518188477,0.8137066960334778,0.6862311363220215,0.7392550110816956,0.0,0.6445906758308411,0.7336231470108032,0.3333333432674408,0.1318681240081787,0.4637952744960785,0.6666666865348816,0.0731707289814949,0.0629008412361145,0.8479039669036865,0.5335968136787415,0.7821608781814575,0.1538461595773697,0.6666666865348816,0.002368031535297632,0.001973359612748027,0.0,0.7336231470108032
no_init_box_kenn_top_down_adapter_bert_ms,1,bsde69lh,0.7850757837295532,0.01,0.6198347210884094,0.4874614179134369,0.8432477712631226,0.7543859481811523,30,0.7247191071510315,0.8269102573394775,0.4680851101875305,0.8560813665390015,0.05286959186196327,0.2428571581840515,0.6926847696304321,0.649350643157959,0.6267056465148926,0.8560813665390015,0.01036013849079609,0.30000001192092896,0.2794871926307678,0.8269102573394775,0.8131226897239685,0.05816025659441948,0.6894201040267944,0.26,0.7996616959571838,0.2684210538864136,0.1923076957464218,0.36666667461395264,0.6519166827201843,0.4377867579460144,0.7996616959571838,0.7660819292068481,0.8131226897239685,0.6926847696304321,0.7392550110816956,0.2777777910232544,0.6519166827201843,0.7388918995857239,0.4624183177947998,0.31111112236976624,0.5498518943786621,0.6470588445663452,0.25609755516052246,0.06462752819061279,0.8432477712631226,0.5928853750228882,0.7850757837295532,0.34840014576911926,0.3962264060974121,0.009269597940146925,0.008386778645217419,0.22727273404598236,0.7388918995857239
no_init_box_kenn_bottom_up_adapter_bert_ms,1,yp1s9n8a,0.7835211753845215,0.11,0.6200873255729675,0.4730930924415589,0.8461700081825256,0.7543859481811523,44,0.7247191071510315,0.8272150158882141,0.2857142984867096,0.8575668931007385,0.051225125789642334,0.15714286267757416,0.6938067078590393,0.6926829218864441,0.607212483882904,0.8575668931007385,0.006413418799638748,0.18571428954601288,0.16025641560554504,0.8272150158882141,0.8136414289474487,0.05734317749738693,0.6797347068786621,0.26,0.7989381551742554,0.17023809254169464,0.1538461595773697,0.1666666716337204,0.647050142288208,0.35829958319664,0.7989381551742554,0.7719298601150513,0.8136414289474487,0.6938067078590393,0.7392550110816956,0.3636363744735718,0.647050142288208,0.7478469610214233,0.6818181872367859,0.23853208124637604,0.6961184740066528,1.0,0.15853658318519592,0.06512086093425751,0.8461700081825256,0.5612648129463196,0.7835211753845215,0.25951555371284485,0.48148149251937866,0.005878967698663473,0.0054267393425107,0.21621622145175937,0.7478469610214233
no_init_box_kenn_hybrid_adapter_bert_ms,0,aczghoqn,0.7823552489280701,0.01,0.6167800426483154,0.3888797163963318,0.8479359745979309,0.7543859481811523,28,0.7247191071510315,0.8268901109695435,0.3499999940395355,0.8576267957687378,0.0497451089322567,0.0714285746216774,0.6869142651557922,0.7234042286872864,0.5896686315536499,0.8576267957687378,0.003453379264101386,0.10000000149011612,0.11666666716337204,0.8268901109695435,0.8138266205787659,0.05555475503206253,0.6585350632667542,0.26,0.7982803583145142,0.0833333358168602,0.0,0.23333333432674408,0.6452709436416626,0.32923975586891174,0.7982803583145142,0.7456140518188477,0.8138266205787659,0.6869142651557922,0.7392550110816956,0.0,0.6452709436416626,0.7343034148216248,0.3499999940395355,0.15217392146587372,0.47490638494491577,0.699999988079071,0.08536585420370102,0.0629008412361145,0.8479359745979309,0.5375494360923767,0.7823552489280701,0.17499999701976776,0.699999988079071,0.0028778158593922853,0.002466699341312051,0.0,0.7343034148216248
no_init_box_kenn_top_down_adapter_bert_ms,0,erxetar6,0.7825495600700378,0.03,0.6185101866722107,0.39259809255599976,0.847789466381073,0.7543859481811523,27,0.7247191071510315,0.8268882632255554,0.380952388048172,0.8575280904769897,0.0499095544219017,0.07857143133878708,0.6870014071464539,0.7210526466369629,0.5916179418563843,0.8575280904769897,0.003946719225496054,0.11428571492433548,0.13333334028720856,0.8268882632255554,0.8138641715049744,0.05556038022041321,0.658601701259613,0.26,0.7983625531196594,0.093121699988842,0.0,0.2666666805744171,0.6459512114524841,0.340350866317749,0.7983625531196594,0.7426900863647461,0.8138641715049744,0.6870014071464539,0.7392550110816956,0.0,0.6459512114524841,0.7336231470108032,0.3333333432674408,0.1702127605676651,0.4637952744960785,0.6666666865348816,0.09756097197532654,0.06265416741371155,0.847789466381073,0.5415019989013672,0.7825495600700378,0.190476194024086,0.6666666865348816,0.0032158452086150646,0.0027133694384247065,0.0,0.7336231470108032
no_init_box_kenn_bottom_up_adapter_bert_ms,0,htfsflk9,0.796929657459259,0.0,0.09409142285585403,0.3992132246494293,0.46644675731658936,0.7543859481811523,27,0.7247191071510315,0.5798835754394531,0.029168693348765373,0.4528433680534363,0.06660088896751404,1.0,0.7005274295806885,0.0498582236468792,0.7894736528396606,0.4528433680534363,0.020226936787366867,0.5857143402099609,1.0,0.5798835754394531,0.5884631872177124,0.04647071659564972,0.5508546233177185,0.26,0.8059971928596497,0.7387387752532959,1.0,1.0,0.6813253164291382,0.9181287288665771,0.8059971928596497,0.4230019450187683,0.5884631872177124,0.7005274295806885,0.7392550110816956,0.025653675198554993,0.6813253164291382,0.7208432555198669,0.020226936787366867,0.039651837199926376,0.2550576627254486,0.014800197444856169,1.0,0.035684920847415924,0.46644675731658936,0.8339921236038208,0.796929657459259,0.039651837199926376,0.020226936787366867,0.025511451065540314,0.03453379124403,0.05002404749393463,0.7208432555198669
smart_init_box_adapter_bert_ms,2,4ikvlerv,0.7905169129371643,0.27,0.7035573124885559,0.6782838702201843,0.8452109098434448,0.7543859481811523,97,0.7247191071510315,0.8283722400665283,0.695652186870575,0.8560461401939392,0.058542996644973755,0.535714328289032,0.7044281959533691,0.7035573124885559,0.6939570903778076,0.8560461401939392,0.015293536707758904,0.44285714626312256,0.6403846144676208,0.8283722400665283,0.8169494867324829,0.05903221666812897,0.6997562050819397,0.26,0.8024314641952515,0.48488008975982666,0.48076921701431274,0.800000011920929,0.66664719581604,0.6783850789070129,0.8024314641952515,0.7056530117988586,0.8169494867324829,0.7044281959533691,0.7392550110816956,0.6944444179534912,0.66664719581604,0.7467488646507263,0.6549144983291626,0.6242038607597351,0.6781827211380005,0.6153846383094788,0.5975610017776489,0.059529684484004974,0.8452109098434448,0.7035573124885559,0.7905169129371643,0.6475681066513062,0.653333306312561,0.016744747757911682,0.01850024610757828,0.5681818127632141,0.7467488646507263
