name,test_pretraining/macro_example/recall/mean,threshold_incremental/mean,test_incremental_organization-company/macro_types/f1/mean,test_incremental_organization-company-news/macro_types/precision/mean,test_pretraining/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_only/macro_example/precision/mean,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_types/recall/mean,test_incremental/macro_example/recall/mean,test/macro_types/recall/mean,test_incremental/micro/recall/mean,test/macro_example/precision/mean,test_incremental/macro_example_exclusive/precision/mean,test/micro/f1/mean,test/macro_types/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental_organization-company-news/macro_types/f1/mean,test_incremental_organization-company/macro_types/precision/mean,test_pretraining/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_pretraining/micro/recall/mean,test/macro_example/recall/mean,test_incremental/macro_types/precision/mean,test/macro_example/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_organization-company-broadcast/macro_types/f1/mean,test/macro_types/f1/mean,test/micro/precision/mean,test_incremental/micro/f1/mean,test_incremental_only/micro/f1/mean,test_incremental_only/micro/recall/mean,test_incremental_only/macro_example/recall/mean,test_incremental_organization-company-news/macro_types/recall/mean,epoch/mean,test_incremental_organization-company-broadcast/macro_types/precision/mean,test_incremental_only/macro_types/recall/mean,test_incremental/macro_types/f1/mean,test_pretraining/micro/precision/mean,test_incremental_organization-company-broadcast/macro_types/recall/mean,threshold_pretraining/mean,test_incremental_only/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental_only/micro/precision/mean,test/micro/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_example/precision/mean,test_pretraining/micro/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental_organization-company/macro_types/recall/mean,test_pretraining/macro_example/recall/std,threshold_incremental/std,test_incremental_organization-company/macro_types/f1/std,test_incremental_organization-company-news/macro_types/precision/std,test_pretraining/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_only/macro_example/precision/std,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_types/recall/std,test_incremental/macro_example/recall/std,test/macro_types/recall/std,test_incremental/micro/recall/std,test/macro_example/precision/std,test_incremental/macro_example_exclusive/precision/std,test/micro/f1/std,test/macro_types/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental_organization-company-news/macro_types/f1/std,test_incremental_organization-company/macro_types/precision/std,test_pretraining/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/macro_example_exclusive/recall/std,test_pretraining/micro/recall/std,test/macro_example/recall/std,test_incremental/macro_types/precision/std,test/macro_example/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_organization-company-broadcast/macro_types/f1/std,test/macro_types/f1/std,test/micro/precision/std,test_incremental/micro/f1/std,test_incremental_only/micro/f1/std,test_incremental_only/micro/recall/std,test_incremental_only/macro_example/recall/std,test_incremental_organization-company-news/macro_types/recall/std,epoch/std,test_incremental_organization-company-broadcast/macro_types/precision/std,test_incremental_only/macro_types/recall/std,test_incremental/macro_types/f1/std,test_pretraining/micro/precision/std,test_incremental_organization-company-broadcast/macro_types/recall/std,threshold_pretraining/std,test_incremental_only/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental_only/micro/precision/std,test/micro/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_example/precision/std,test_pretraining/micro/f1/std,test_incremental_only/macro_types/precision/std,test_incremental_organization-company/macro_types/recall/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.8015552163124084,0.02,0.7392550110816956,0.341269850730896,0.7422728935877482,0.6712150573730469,0.4880322615305583,0.01808912865817547,0.06017500162124634,0.5243858297665914,0.6612311800320944,0.05662445972363154,0.6612311800320944,0.6548089583714803,0.8555951118469238,0.7612085541089376,0.8146635293960571,0.7422728935877482,0.5899235407511393,0.523809552192688,0.30722809831301373,0.7247191071510315,0.6994104981422424,0.8276938796043396,0.4571428894996643,0.7881202300389608,0.8015552163124084,0.6050750613212585,0.8276938796043396,0.713302473227183,0.7345161437988281,0.6994104981422424,0.8430577119191488,0.657822847366333,0.47367263833681744,0.4471544722716014,0.015786876591543358,0.28205128014087677,17.333333333333332,0.7492361863454183,0.5076923171679179,0.5968474745750427,0.8430577119191488,0.7333333293596903,0.26,0.016853602913518746,0.6610437830289205,0.5052975217501322,0.7881202300389608,0.8555951118469238,0.06421641012032826,0.8146635293960571,0.5452530185381571,0.7543859481811523,0.0003465174502924002,0.017320508075688773,0.0,0.05991931734337738,0.0013601349812821571,0.010736025337339212,0.05143853014992581,0.0015071781727782742,0.0002728712889625189,0.005552001113684926,0.0014203545194398579,0.0009057007720238426,0.0014203545194398579,0.012075304854464789,0.000442000605447502,0.008440778416564975,0.0002124914614697038,0.0013601349812821571,0.023199293819691966,0.04364357544583851,0.06881988764178,0.0,0.0003079252155795691,0.00013421604185236567,0.05714285373687744,0.0005936888749998667,0.0003465174502924002,0.022215883261151193,0.00013421604185236567,0.003234613692730035,0.05871423351815328,0.0003079252155795691,0.0006843978963120079,0.004665540847773159,0.020117458980563895,0.0372567229601498,0.0019733593799174023,0.07772022391227072,5.773502691896257,0.11128451036517306,0.03479890724148772,0.0036535489325289815,0.0006843978963120079,0.08819171637640416,0.0,0.0017763679035827412,0.008550986655348413,0.018317028420710247,0.0005936888749998667,0.000442000605447502,0.0007120773856424719,0.0002124914614697038,0.03332384029964129,0.0
no_init_box_kenn_hybrid_adapter_bert_ms,0.8016374309857687,0.043333333333333335,0.7392550110816956,0.3665991226832072,0.7420912583669027,0.6728394826253256,0.4963115354379018,0.018418022120992344,0.0600165364642938,0.5243212978045145,0.6616846720377604,0.056761495769023895,0.6616846720377604,0.6574440201123556,0.8555155992507935,0.7553606232007345,0.8147161404291788,0.7420912583669027,0.5973309477170309,0.5333333611488342,0.31634630262851715,0.7247191071510315,0.6995788017908732,0.827700157960256,0.4642857412497203,0.7882497708002726,0.8016374309857687,0.6021084984143575,0.827700157960256,0.7114240725835165,0.7155546347300211,0.6995788017908732,0.8430241743723551,0.6593073407808939,0.4799875219662984,0.4552845557530721,0.016033546378215153,0.28205128014087677,15.333333333333334,0.7150072256724039,0.5188034276167551,0.5976459980010986,0.8430241743723551,0.7555555701255798,0.26,0.017139518012603123,0.6618807911872864,0.5138966838518778,0.7882497708002726,0.8555155992507935,0.06372306992610295,0.8147161404291788,0.5408031741778055,0.7543859481811523,0.00030753303018361036,0.02886751345948129,0.0,0.03596519942996691,0.003280493481864258,0.009859674343286419,0.047984459491136444,0.0015858657841796154,0.0005666314968791415,0.021461335148129514,0.0020754829533987597,0.0008317684093113211,0.0020754829533987597,0.012705711780264499,0.0013588467169059167,0.026531518779041512,0.0006022349374657333,0.003280493481864258,0.03389923964884464,0.04592217155695869,0.0633996114401247,0.0,0.0005992625740344899,0.0004997237220512858,0.04999998850481853,0.0006246785574928965,0.00030753303018361036,0.053581178881655915,0.0004997237220512858,0.006716699100528022,0.10533966219454663,0.0005992625740344899,0.0018950056094275333,0.007903223898853527,0.015204229100881265,0.03920182896990524,0.0017266896154199392,0.07772022391227072,2.3094010767585034,0.18939497781876635,0.05084886260412091,0.014154498232038631,0.0018950056094275333,0.13877772502594468,0.0,0.0016570850141509757,0.025498586987889343,0.05794075765004215,0.0006246785574928965,0.0013588467169059167,0.002238226784281293,0.0006022349374657333,0.08037181016064811,0.0
no_init_box_kenn_top_down_adapter_bert_ms,0.8022312521934509,0.01,0.7392550110816956,0.2828407237927119,0.7376615603764852,0.6861598491668701,0.5619890789190928,0.02072027636071046,0.06039735426505407,0.4960967501004537,0.66437961657842,0.05788521468639374,0.66437961657842,0.6758893529574076,0.8533832629521688,0.7485380172729492,0.8131769696871439,0.7376615603764852,0.6413480440775553,0.6000000238418579,0.2884588936964671,0.7247191071510315,0.6991036136945089,0.8270162145296732,0.5285714467366537,0.7891566157341003,0.8022312521934509,0.5297568639119467,0.8270162145296732,0.7159382502237955,0.6889308094978333,0.6991036136945089,0.8387119372685751,0.6394374966621399,0.45111705859502155,0.5121951301892599,0.018253576010465622,0.31410256524880725,14.333333333333334,0.5817107756932577,0.584829052289327,0.5797972083091736,0.8387119372685751,0.8555555542310079,0.26,0.01940761258204778,0.608015775680542,0.4093198577562968,0.7891566157341003,0.8533832629521688,0.06314750760793686,0.8131769696871439,0.4322757621606191,0.7543859481811523,0.0005324466203370608,0.0,0.0,0.04010192187844394,0.00045225769749854716,0.0168815740394299,0.08344081835486362,0.003000870635689946,0.0010308766275190773,0.026104096143948097,0.002659810961614885,0.0014241493942927699,0.002659810961614885,0.024042535249479077,0.00157543083023943,0.01012891345216022,0.0008972855832071382,0.00045225769749854716,0.04344353978844182,0.08689662689360718,0.05306732365126034,0.0,0.0015141292327948688,0.0004926584093726475,0.08049591109446744,0.0011820514225155093,0.0005324466203370608,0.007387117198921402,0.0004926584093726475,0.012219804409931163,0.023809536529188356,0.0015141292327948688,0.0028666397688130118,0.011035939488757624,0.026485320624576026,0.07418002870630803,0.0027798292474718904,0.10935077841747669,3.5118845842842465,0.061303410853294535,0.06516534652346338,0.01910187414058974,0.0028666397688130118,0.06938886728516523,0.0,0.0028815276078129307,0.031023299148146735,0.041549167007335706,0.0011820514225155093,0.00157543083023943,0.0008544902818141372,0.0008972855832071382,0.011080658668164706,0.0
no_init_kenn_bottom_up_adapter_bert_ms,0.8614949385325114,0.39333333333333337,0.7480106353759766,0.35969067613283795,0.8431768814722697,0.782975951830546,0.721614420413971,0.024995888272921245,0.0601419967909654,0.47038934628168744,0.8112259109814962,0.06605273236831029,0.8112259109814962,0.7839262088139852,0.8577520847320557,0.6582196156183878,0.8468378384908041,0.8431768814722697,0.7661643822987875,0.7238095800081888,0.4375881850719452,0.6844660043716431,0.8268840114275614,0.8596146504084269,0.7214286128679911,0.8537375330924988,0.8614949385325114,0.4647633632024129,0.8596146504084269,0.7129112680753072,0.49304307500521344,0.8268840114275614,0.840080738067627,0.6317833264668783,0.4614516695340474,0.6991870005925497,0.024913664907217026,0.5961538354555765,23.0,0.35013335943222046,0.7369657953580221,0.5752004186312357,0.840080738067627,0.8777777552604675,0.33,0.024920081719756126,0.5325299104054769,0.355033944050471,0.8537375330924988,0.8577520847320557,0.05552814776698748,0.8468378384908041,0.35491202274958294,0.8245614171028137,0.0007709363496603204,0.09291573243177566,0.0,0.09223671679745722,0.0038536484557420646,0.018731086436515703,0.05346791929114569,0.0007535895944672355,0.003181428059003934,0.06626972210370062,0.003048580033891546,0.0015801696265654492,0.003048580033891546,0.028041906505848063,0.004253124614632438,0.0778039672441936,0.003324883221552383,0.0038536484557420646,0.04979381301655589,0.02182180072972198,0.05104140661048564,0.0,0.0009496788249917726,0.0017887906461288056,0.08660253644555768,0.001378650626363013,0.0007709363496603204,0.06294304512215898,0.0017887906461288056,0.03771193084976006,0.09551894409670801,0.0009496788249917726,0.007761114148870691,0.037473225940909,0.060573468004764416,0.08651950709652131,0.0029907122992683453,0.12009611058162475,7.0,0.10269056105257363,0.07469074595495401,0.03468106086897306,0.007761114148870691,0.03849001565179121,0.0,0.0018464489982326956,0.06600526586590087,0.09420044768297914,0.001378650626363013,0.004253124614632438,0.006563634384526635,0.003324883221552383,0.09441456022411077,0.0
no_init_kenn_hybrid_adapter_bert_ms,0.8609484831492106,0.6566666666666667,0.7480106353759766,0.35545753439267475,0.8441590865453085,0.7664067546526591,0.6643476088841757,0.023680315042535465,0.06039724126458168,0.47885263959566754,0.8085484306017557,0.064654936393102,0.8085484306017557,0.7588932911554972,0.8593103885650635,0.6744639277458191,0.8480913241704305,0.8441590865453085,0.7224321961402893,0.685714324315389,0.4070271849632263,0.6844660043716431,0.8259641528129578,0.8601258595784506,0.6452381014823914,0.8525067965189616,0.8609484831492106,0.48080559571584064,0.8601258595784506,0.7159368991851807,0.5384615461031595,0.8259641528129578,0.8437406222025553,0.6416026949882507,0.4623892505963643,0.6219512224197388,0.022282519688208897,0.4871794879436493,23.0,0.4024931689103444,0.6713675061861674,0.575188140074412,0.8437406222025553,0.8555555542310079,0.33,0.022942442446947098,0.5579759081204733,0.37547798951466876,0.8525067965189616,0.8593103885650635,0.056898534297943115,0.8480913241704305,0.37897534171740216,0.8245614171028137,0.00068524978643422,0.11718930554164632,0.0,0.05550817221298475,0.0027904201907942064,0.01865479920873689,0.07284945811937336,0.0019265539728372503,0.0026891151998345115,0.04831357654745378,0.003012548736480309,0.0015737433377726762,0.003012548736480309,0.025918719447081715,0.0032028098324740923,0.06362217661485445,0.002499758171349211,0.0027904201907942064,0.049205370675258105,0.05578750008355245,0.05119239691875165,0.0,0.0010635776570675798,0.0013522713001242388,0.08987897009394606,0.0012742742642825355,0.00068524978643422,0.045577014703929025,0.0013522713001242388,0.03187627825392909,0.09767249383284712,0.0010635776570675798,0.005917440737267024,0.027856312296329035,0.044123054389019846,0.07996874530988353,0.0031038622618944716,0.0967927434008404,6.244997998398398,0.11128994080712507,0.07380799216705364,0.025469544918497667,0.005917440737267024,0.050917491680013006,0.0,0.0025157679642689203,0.05020974523604225,0.06605939800173564,0.0012742742642825355,0.0032028098324740923,0.005367236501281424,0.002499758171349211,0.06836553160634169,0.0
no_init_kenn_top_down_adapter_bert_ms,0.8613791863123575,0.6133333333333334,0.7480106353759766,0.34010857343673706,0.8434226314226786,0.7784275412559509,0.7090012828509012,0.024913664907217026,0.06032948692639669,0.4756058951218923,0.8107636769612631,0.06566902001698811,0.8107636769612631,0.7773386041323344,0.8579774101575216,0.6643924713134766,0.8470346530278524,0.8434226314226786,0.7586145202318827,0.7214285929997762,0.41586072246233624,0.6844660043716431,0.8267643650372823,0.8596705993016561,0.7000000278155009,0.8534136414527893,0.8613791863123575,0.46877677241961163,0.8596705993016561,0.7151337663332621,0.5252931316693624,0.8267643650372823,0.8407827218373617,0.6329681277275085,0.4595814347267151,0.6788617968559265,0.02417365461587906,0.5512820482254028,21.0,0.38175563514232635,0.7256410121917725,0.5770037571589152,0.8407827218373617,0.899999996026357,0.33,0.02448450153072675,0.5368555784225464,0.3550065855185191,0.8534136414527893,0.8579774101575216,0.056048894921938576,0.8470346530278524,0.3609321018060048,0.8245614171028137,0.0005713339770358171,0.05859465277082312,0.0,0.05500638065078456,0.003212780039070101,0.014467503501904627,0.027286863087367916,0.0007400102913379665,0.0030662437057623645,0.0632608684816162,0.0025111146715797728,0.0012204888450966429,0.0025111146715797728,0.02247528117837799,0.004197054125542553,0.06908627239406347,0.0035645381828068017,0.003212780039070101,0.041014499924825934,0.02142855525017474,0.03619624510888359,0.0,0.0005302461840075985,0.0018527650343737817,0.0654653501619589,0.0011049663123047302,0.0005713339770358171,0.052475687617721166,0.0018527650343737817,0.03634664131386016,0.128332231602225,0.0005302461840075985,0.008012132104459736,0.0381914169064679,0.05561540975876115,0.06934439033846729,0.0022607669543205033,0.09088106747183498,9.0,0.1289565726448493,0.06152174119254083,0.031206772973803563,0.008012132104459736,0.033333331346516365,0.0,0.0009423197093260449,0.06187169188037671,0.07486188572553801,0.0011049663123047302,0.004197054125542553,0.005828196812306686,0.0035645381828068017,0.07871353545684798,0.0
smart_init_box_adapter_bert_ms,0.8020441929499308,0.45,0.7392550110816956,0.41213075319925946,0.7409223715464274,0.6871345043182373,0.5258215566476186,0.018253576010465622,0.05915544554591179,0.505757470925649,0.6633679072062174,0.057967438052097954,0.6633679072062174,0.6811594168345133,0.8546543916066488,0.7186484535535177,0.8142867485682169,0.7409223715464274,0.6248238285382589,0.5285714467366537,0.4014398952325185,0.7247191071510315,0.6999624967575073,0.8275102376937866,0.5261904994646708,0.789415717124939,0.8020441929499308,0.5830167730649313,0.8275102376937866,0.7012168765068054,0.6094153523445129,0.6999624967575073,0.8408081730206808,0.6564946174621582,0.47977278629938763,0.5284552772839864,0.018171352955202263,0.4423076957464218,29.0,0.6122004389762878,0.5600427488485972,0.5915305813153585,0.8408081730206808,0.6777777771155039,0.26,0.018158611841499805,0.640920360883077,0.4909884532292684,0.789415717124939,0.8546543916066488,0.060625992715358734,0.8142867485682169,0.5121655960877737,0.7543859481811523,0.001984289549573908,0.09848857801796108,0.0,0.04281330213220407,0.0038422281026018177,0.04876216716300604,0.19351139530765374,0.0056519183003418535,0.0012754003006126067,0.06327176582797515,0.009343250924197485,0.004113632931135788,0.009343250924197485,0.0735574155951855,0.002313242506962516,0.02729623169078045,0.0005040516761150298,0.0038422281026018177,0.1526068180636096,0.163663404670196,0.09265283647653931,0.0,0.003771377857395009,0.00013914996342935382,0.22500944233996426,0.00361640529412804,0.001984289549573908,0.06275625360552081,0.00013914996342935382,0.015118293530068515,0.0365275285927338,0.003771377857395009,0.00504524633972245,0.00783524980955608,0.07014568527415978,0.2269516164263133,0.0077704301421562,0.22178005153748145,1.7320508075688772,0.14637946042104333,0.2289101837536488,0.04262331682957821,0.00504524633972245,0.23648663149359028,0.0,0.006682682587990731,0.053368658243937425,0.08705602549287848,0.00361640529412804,0.002313242506962516,0.0023027418315422882,0.0005040516761150298,0.09413436339256814,0.0
smart_init_classifier_adapter_bert_ms,0.8618301153182983,0.36333333333333334,0.7480106353759766,0.2998333474000295,0.8409954309463501,0.7894737323125204,0.7263876994450887,0.024338101968169212,0.05861031139890353,0.4272943039735158,0.8125254313151041,0.06660088648398717,0.8125254313151041,0.7931488951047262,0.8550124963124593,0.6241065462430319,0.8442006707191467,0.8409954309463501,0.7873894770940145,0.7047619223594666,0.40007532636324566,0.6844660043716431,0.8265090584754944,0.8584034442901611,0.7523809671401978,0.8541909456253052,0.8618301153182983,0.42913220326105755,0.8584034442901611,0.6947549978892008,0.44592661658922833,0.8265090584754944,0.8344810605049133,0.6033880710601807,0.41773633162180585,0.727642277876536,0.025982567419608433,0.6153846184412638,16.666666666666668,0.3030971884727478,0.7688034176826477,0.5532488822937012,0.8344810605049133,0.9222222169240316,0.33,0.025084920848409336,0.48989606897036236,0.2988150765498479,0.8541909456253052,0.8550124963124593,0.052650331209103264,0.8442006707191467,0.3014652778704961,0.8245614171028137,0.000684831419985216,0.12503332889007368,0.0,0.030827599323572177,0.0027876824483355177,0.01879853577222996,0.05865115915403349,0.0015858661704744336,0.003614167159685745,0.05983040603580109,0.003025272663812695,0.0015858625972492231,0.003025272663812695,0.02690457242491163,0.0041342091537431985,0.07748586351421576,0.004170904003096156,0.0027876824483355177,0.04941272915803942,0.04592217155695869,0.035565788404190724,0.0,0.0008427512950080299,0.001823747646265682,0.08930955464108403,0.0013227390854409853,0.000684831419985216,0.04553199639495131,0.001823747646265682,0.04284163576380642,0.11442731475513995,0.0008427512950080299,0.00903562132432404,0.042306990709044666,0.057153517601836436,0.08301049041157361,0.0030841955571547282,0.11538460850715766,4.163331998932266,0.10919370624828079,0.07411912028510026,0.02819258696090847,0.00903562132432404,0.06938886728516516,0.0,0.0020254469004040783,0.06282213407147927,0.06664592591219268,0.0013227390854409853,0.0041342091537431985,0.0065367969472914485,0.004170904003096156,0.0682979725562979,0.0
