name,instance,run_id,test/macro_types/recall,test/macro_example/precision,test_incremental_only/micro/f1,test_incremental_only/micro/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/recall,test_pretraining/macro_example/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_organization-company/macro_types/f1,test_incremental_organization-company-news/macro_types/f1,test_incremental_organization-company-broadcast/macro_types/recall,test_pretraining/macro_types/f1,test_incremental/macro_types/precision,test_incremental/micro/f1,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/recall,test_incremental_organization-company/macro_types/recall,test/micro/recall,test_incremental_only/macro_example_exclusive/precision,threshold_pretraining,test/macro_example/recall,test_pretraining/macro_types/recall,test_pretraining/macro_types/precision,test_pretraining/macro_example/precision,test_incremental/macro_example_exclusive/f1,test_incremental/micro/precision,test_incremental/macro_example/f1,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test_incremental_organization-company/macro_types/precision,test/macro_types/f1,test_pretraining/micro/recall,test_incremental_only/macro_types/precision,test_incremental_organization-company-broadcast/macro_types/precision,test_pretraining/micro/precision,test_incremental_only/macro_example/f1,test_incremental_only/macro_example/precision,test_incremental_organization-company-news/macro_types/recall,test_incremental_organization-company-news/macro_types/precision,epoch,test/micro/f1,test_incremental/macro_example/recall,test/micro/precision,test/macro_example/f1,test_incremental/macro_types/f1,test_incremental_only/micro/precision,test_incremental/macro_example_exclusive/precision,test/macro_types/precision,test_incremental/macro_types/recall,threshold_incremental,test_pretraining/micro/f1,test_incremental/micro/recall,test_incremental_organization-company-broadcast/macro_types/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,9rhzn65w,0.6574634909629822,0.8570845127105713,0.4511278569698334,0.3658536672592163,0.504885733127594,0.012826837599277496,0.37142860889434814,0.8280401229858398,0.3979592025279999,0.7392550110816956,0.28915664553642273,0.6000000238418579,0.6990641355514526,0.6706053018569946,0.6597510576248169,0.06561420857906342,0.6530214548110962,0.7543859481811523,0.7868247032165527,0.4285714626312256,0.26,0.8008997440338135,0.6574634909629822,0.7462849617004395,0.8570845127105713,0.7099606990814209,0.6943231225013733,0.05989307910203934,0.8008997440338135,0.4153846204280853,0.7247191071510315,0.6990641355514526,0.7868247032165527,0.6435483694076538,0.8999999761581421,0.8454792499542236,0.013743040151894093,0.014800196513533592,0.2307692319154739,0.3870967626571655,23,0.8150981664657593,0.05508962273597717,0.8454792499542236,0.8280401229858398,0.5910603404045105,0.5882353186607361,0.7777777910232544,0.7462849617004395,0.5283850431442261,0.01,0.8150981664657593,0.6284584999084473,0.7200000286102295
no_init_box_kenn_top_down_adapter_bert_ms,2,3k7nxill,0.6595042943954468,0.853195309638977,0.3975903391838074,0.40243902802467346,0.4246825873851776,0.014060186222195624,0.40714287757873535,0.8264395594596863,0.43693381547927856,0.7392550110816956,0.25806450843811035,0.699999988079071,0.6956366300582886,0.5019247531890869,0.629126250743866,0.06586087495088577,0.6608186960220337,0.7543859481811523,0.7874076962471008,0.47142860293388367,0.26,0.8013108968734741,0.6595042943954468,0.7359575629234314,0.853195309638977,0.7157752513885498,0.6183205842971802,0.06038359925150871,0.8013108968734741,0.4653846025466919,0.7247191071510315,0.6956366300582886,0.7874076962471008,0.39052748680114746,0.4883720874786377,0.8403152227401733,0.01508898101747036,0.016280217096209526,0.2307692319154739,0.2926829159259796,24,0.8130015730857849,0.05574740841984749,0.8403152227401733,0.8264395594596863,0.5301408767700195,0.3928571343421936,0.780701756477356,0.7359575629234314,0.5617184042930603,0.01,0.8130015730857849,0.6403161883354187,0.5753424167633057
no_init_box_kenn_bottom_up_adapter_bert_ms,2,8xhhrywv,0.6563907861709595,0.8571338653564453,0.43410852551460266,0.3414634168148041,0.4900915324687958,0.011840157210826874,0.3428571820259094,0.827922523021698,0.3692308068275452,0.7392550110816956,0.2716049551963806,0.5666666626930237,0.6987848281860352,0.6828246116638184,0.6569037437438965,0.06586087495088577,0.6471735239028931,0.7543859481811523,0.7864360809326172,0.40000003576278687,0.26,0.8006366491317749,0.6563907861709595,0.7470330595970154,0.8571338653564453,0.7076941728591919,0.6977777481079102,0.05970187112689018,0.8006366491317749,0.389102578163147,0.7247191071510315,0.6987848281860352,0.7864360809326172,0.6618773937225342,0.9444444179534912,0.8457680344581604,0.012750938534736632,0.013813517056405544,0.21153846383094788,0.3793103396892547,29,0.81502366065979,0.05459628254175186,0.8457680344581604,0.827922523021698,0.5844579339027405,0.5957446694374084,0.780701756477356,0.7470330595970154,0.510863721370697,0.11,0.81502366065979,0.6205533742904663,0.7083333134651184
no_init_box_kenn_hybrid_adapter_bert_ms,1,b7tbg1hz,0.6522045135498047,0.8565308451652527,0.32307690382003784,0.25609755516052246,0.37931200861930847,0.0086334478110075,0.25,0.8271550536155701,0.27272728085517883,0.7392550110816956,0.20930233597755432,0.4000000059604645,0.6946096420288086,0.6155226230621338,0.6263048052787781,0.06561420857906342,0.6276803016662598,0.7543859481811523,0.7850757837295532,0.30000001192092896,0.26,0.7997274398803711,0.6522045135498047,0.7429125308990479,0.8565308451652527,0.6947141289710999,0.6637167930603027,0.058606863021850586,0.7997274398803711,0.2865384817123413,0.7247191071510315,0.6946096420288086,0.7850757837295532,0.5609244108200073,0.8571428656578064,0.8441287279129028,0.009418305940926077,0.010360137559473516,0.17307692766189575,0.2647058963775635,19,0.8135319948196411,0.052951812744140625,0.8441287279129028,0.8271550536155701,0.5148553848266602,0.4375,0.7777777910232544,0.7429125308990479,0.4424876570701599,0.01,0.8135319948196411,0.5928853750228882,0.5454545617103577
no_init_box_kenn_top_down_adapter_bert_ms,1,59gqee3a,0.657384991645813,0.8565053939819336,0.4475524425506592,0.39024388790130615,0.4886013865470886,0.013813517056405544,0.40000003576278687,0.82763671875,0.4266667068004608,0.7392550110816956,0.3617021143436432,0.5,0.6981872916221619,0.6396515965461731,0.6544715762138367,0.06536753475666046,0.6588693857192993,0.7543859481811523,0.7872133851051331,0.4571428894996643,0.26,0.8006507158279419,0.657384991645813,0.7443898320198059,0.8565053939819336,0.7121702432632446,0.6736401915550232,0.06007947772741318,0.8006507158279419,0.4134615361690521,0.7247191071510315,0.6981872916221619,0.7872133851051331,0.5971177816390991,0.7894737124443054,0.8441342115402222,0.01473441906273365,0.015786878764629364,0.32692307233810425,0.4047619104385376,19,0.8146807551383972,0.05558296293020248,0.8441342115402222,0.82763671875,0.5779489278793335,0.5245901346206665,0.7748538255691528,0.7443898320198059,0.5271030068397522,0.02,0.8146807551383972,0.6363636255264282,0.6122449040412903
no_init_box_kenn_bottom_up_adapter_bert_ms,1,1fik8d6m,0.6526231169700623,0.8566780686378479,0.3731343448162079,0.3048780560493469,0.3976610004901886,0.011346817947924135,0.3285714387893677,0.8273481130599976,0.3422619104385376,0.7392550110816956,0.3617021143436432,0.2666666805744171,0.6955862641334534,0.6431604027748108,0.6376811861991882,0.06561420857906342,0.6423001885414124,0.7543859481811523,0.7858530879020691,0.3571428656578064,0.26,0.7999600172042847,0.6526231169700623,0.7446046471595764,0.8566780686378479,0.7035765647888184,0.6695652008056641,0.0593545138835907,0.7999600172042847,0.2967948913574219,0.7247191071510315,0.6955862641334534,0.7858530879020691,0.6023809909820557,0.800000011920929,0.8442588448524475,0.011819601990282536,0.012333497405052183,0.32692307233810425,0.4047619104385376,21,0.8140096664428711,0.0541851669549942,0.8442588448524475,0.8273481130599976,0.5290471315383911,0.48076921701431274,0.7777777910232544,0.7446046471595764,0.4493252336978912,0.01,0.8140096664428711,0.6086956262588501,0.4000000059604645
no_init_box_kenn_hybrid_adapter_bert_ms,0,238i5vit,0.6652604937553406,0.8555269241333008,0.5365853905677795,0.5365853905677795,0.5727531313896179,0.018746916204690933,0.5428571701049805,0.8279864192008972,0.5825784206390381,0.7392550110816956,0.378947377204895,0.8666666746139526,0.7016120553016663,0.603330135345459,0.6744639277458191,0.06339417397975922,0.6900584697723389,0.7543859481811523,0.7895452976226807,0.6285714507102966,0.26,0.8021636605262756,0.6652604937553406,0.7421660423278809,0.8555269241333008,0.719452440738678,0.6653845906257629,0.06069381162524223,0.8021636605262756,0.6064102649688721,0.7247191071510315,0.7016120553016663,0.7895452976226807,0.5426356792449951,0.6666666865348816,0.8429460525512695,0.02011864073574543,0.02170695550739765,0.3461538553237915,0.41860464215278625,21,0.8153722882270813,0.058214109390974045,0.8429460525512695,0.8279864192008972,0.6284422278404236,0.5365853905677795,0.7514619827270508,0.7421660423278809,0.6557354927062988,0.01,0.8153722882270813,0.6837944388389587,0.7536232471466064
no_init_box_kenn_top_down_adapter_bert_ms,0,c1g6rx6r,0.6648679971694946,0.855214536190033,0.5180723071098328,0.5243902206420898,0.552743136882782,0.018253576010465625,0.5285714864730835,0.8277875185012817,0.5682143568992615,0.7392550110816956,0.35789474844932556,0.8666666746139526,0.7008850574493408,0.5847381353378296,0.6679611802101135,0.0629008337855339,0.6871345043182373,0.7543859481811523,0.7893509268760681,0.6142857074737549,0.26,0.8020650148391724,0.6648679971694946,0.7410277724266052,0.855214536190033,0.7151808142662048,0.6564885377883911,0.060333456844091415,0.8020650148391724,0.596794843673706,0.7247191071510315,0.7008850574493408,0.7893509268760681,0.5147476196289062,0.6341463327407837,0.8423890471458435,0.01962259411811829,0.02121361531317234,0.32692307233810425,0.395348846912384,18,0.8150080442428589,0.05796743929386139,0.8423890471458435,0.8277875185012817,0.6153415441513062,0.511904776096344,0.7456140518188477,0.7410277724266052,0.6493252515792847,0.01,0.8150080442428589,0.6798418760299683,0.7323943972587585
no_init_box_kenn_bottom_up_adapter_bert_ms,0,1u8ldo6p,0.6638999581336975,0.8559545278549194,0.5316455364227295,0.5121951103210449,0.5730078220367432,0.018253576010465625,0.5285714864730835,0.8280989527702332,0.5620253682136536,0.7392550110816956,0.378947377204895,0.800000011920929,0.7014058232307434,0.6235321760177612,0.6745561957359314,0.06413418054580688,0.6861598491668701,0.7543859481811523,0.7891566157341003,0.6000000238418579,0.26,0.8019992113113403,0.6638999581336975,0.7434029579162598,0.8559545278549194,0.7213001847267151,0.6732283234596252,0.06084968522191048,0.8019992113113403,0.5730769634246826,0.7247191071510315,0.7014058232307434,0.7891566157341003,0.5729386806488037,0.7272727489471436,0.8435811996459961,0.01940886490046978,0.02072027511894703,0.3461538553237915,0.41860464215278625,21,0.8154617547988892,0.05788521468639374,0.8435811996459961,0.8280989527702332,0.6284831166267395,0.5526315569877625,0.7602339386940002,0.7434029579162598,0.633513331413269,0.01,0.8154617547988892,0.6758893132209778,0.7619048357009888
smart_init_box_adapter_bert_ms,2,z80h73j1,0.6798601150512695,0.8259187340736389,0.2532051205635071,0.9634146094322203,0.25280919671058655,0.033053770661354065,0.9571428298950196,0.8156805038452148,0.709993302822113,0.7392550110816956,0.3076923191547394,0.9666666388511658,0.7021521329879761,0.3385586738586426,0.42754366993904114,0.03494491055607796,0.780701756477356,0.7543859481811523,0.7963466644287109,0.5642857551574707,0.26,0.8056929707527161,0.6798601150512695,0.725955605506897,0.8259187340736389,0.5412695407867432,0.2888889014720917,0.045662105083465576,0.8056929707527161,0.9641025066375732,0.7247191071510315,0.7021521329879761,0.7963466644287109,0.14547844231128693,0.10780669003725052,0.7761363387107849,0.024518759921193123,0.0194869264960289,0.9615384340286256,0.1831501871347427,8,0.78611159324646,0.06586087495088577,0.7761363387107849,0.8156805038452148,0.4911567866802216,0.14575645327568054,0.4142299890518189,0.725955605506897,0.8941970467567444,0.14,0.78611159324646,0.8221343755722046,0.1939799189567566
