name,instance,run_id,test/micro/precision,threshold_pretraining,test/macro_example/precision,test_incremental_only/micro/precision,test_pretraining/macro_example/recall,test_incremental_only/macro_types/recall,test_pretraining/macro_example/precision,test_incremental_location-geography/macro_types/recall,test_incremental_location-geography/macro_types/precision,test_incremental_location-geography-mountain/macro_types/f1,test_incremental_location-geography-body_of_water/macro_types/recall,test_incremental/macro_example/recall,threshold_incremental,test_incremental/micro/precision,test_incremental/macro_example/precision,test_incremental/macro_example_exclusive/precision,test_incremental_only/macro_example_exclusive/precision,test_incremental_location-geography-island/macro_types/f1,test_incremental_location-geography-mountain/macro_types/recall,test/micro/f1,test_pretraining/macro_types/f1,test_pretraining/macro_example/f1,test_incremental/macro_types/recall,test_incremental_only/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test/macro_types/f1,test/macro_example/f1,test_incremental_location-geography-body_of_water/macro_types/f1,test_incremental_location-geography-mountain/macro_types/precision,test_incremental/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example/recall,test_incremental/macro_example_exclusive/recall,test/micro/recall,test_incremental_only/micro/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_location-geography-body_of_water/macro_types/precision,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_only/micro/recall,test_incremental_only/macro_example/f1,test_pretraining/macro_types/precision,test/macro_types/precision,test/macro_types/recall,test_pretraining/micro/precision,test_incremental_only/macro_types/precision,test_incremental_location-geography-island/macro_types/recall,epoch,test_incremental/macro_example/f1,test/macro_example/recall,test_incremental/macro_example_exclusive/f1,test_incremental/micro/f1,test_pretraining/micro/recall,test_incremental_location-geography-island/macro_types/precision,test_incremental/micro/recall,test_incremental_location-geography/macro_types/f1
no_init_box_kenn_hybrid_adapter_bert_ms,2,ffta380p,0.8492063283920288,0.26,0.858292818069458,0.9399999976158142,0.8025424480438232,0.5222222208976746,0.858292818069458,0.4444444477558136,1,0.6800000071525574,0.5333333611488342,0.021460287272930145,0.01,0.9666666388511658,0.02861371450126171,0.644444465637207,0.5222222805023193,0.6363636255264282,0.5666666626930237,0.8179440498352051,0.7070510387420654,0.8294819593429565,0.5027778148651123,0.6739622354507446,0.5222222805023193,0.7070510387420654,0.8294819593429565,0.6956522464752197,0.8500000238418579,0.660521388053894,0.962499976158142,0.023186974227428436,0.4833334088325501,0.7889018058776855,0.6714285612106323,0.5222222805023193,1.0,0.8179440498352051,0.6590322256088257,0.023186974227428436,0.5222222208976746,0.023186974227428436,0.762617290019989,0.762617290019989,0.6590322256088257,0.8492063283920288,0.9500000476837158,0.46666666865348816,46,0.024526041001081467,0.8025424480438232,0.5523810386657715,0.6444444060325623,0.7889018058776855,1.0,0.4833333194255829,0.6153846383094788
no_init_box_kenn_top_down_adapter_bert_ms,2,n0y4x8ce,0.8492693305015564,0.26,0.8583749532699585,0.942307710647583,0.8028713464736938,0.5444444417953491,0.8583749532699585,0.4444444477558136,1,0.7058824300765991,0.5666666626930237,0.021953627467155457,0.04,0.967391312122345,0.029107054695487022,0.6555556058883667,0.5444444417953491,0.6363636255264282,0.6000000238418579,0.8181818127632141,0.7078791856765747,0.8296959400177002,0.519444465637207,0.6928243637084961,0.5444444417953491,0.7078791856765747,0.8296959400177002,0.7234042882919312,0.8571428656578064,0.6751805543899536,0.9642857313156128,0.02417365461587906,0.49444448947906494,0.7892898917198181,0.6901409029960632,0.5444444417953491,1.0,0.8181818127632141,0.6603655815124512,0.02417365461587906,0.5444444417953491,0.02417365461587906,0.7627601623535156,0.7627601623535156,0.6603655815124512,0.8492693305015564,0.9523810148239136,0.46666666865348816,53,0.02502925507724285,0.8028713464736938,0.5637145042419434,0.654411792755127,0.7892898917198181,1.0,0.49444442987442017,0.6153846383094788
no_init_box_kenn_bottom_up_adapter_bert_ms,2,6nu8hfl6,0.8492063283920288,0.26,0.858292818069458,0.9399999976158142,0.8025424480438232,0.5222222208976746,0.858292818069458,0.4444444477558136,1,0.6800000071525574,0.5333333611488342,0.021460287272930145,0.01,0.9666666388511658,0.02861371450126171,0.644444465637207,0.5222222805023193,0.6363636255264282,0.5666666626930237,0.8179440498352051,0.7070510387420654,0.8294819593429565,0.5027778148651123,0.6739622354507446,0.5222222805023193,0.7070510387420654,0.8294819593429565,0.6956522464752197,0.8500000238418579,0.660521388053894,0.962499976158142,0.023186974227428436,0.4833334088325501,0.7889018058776855,0.6714285612106323,0.5222222805023193,1.0,0.8179440498352051,0.6590322256088257,0.023186974227428436,0.5222222208976746,0.023186974227428436,0.762617290019989,0.762617290019989,0.6590322256088257,0.8492063283920288,0.9500000476837158,0.46666666865348816,45,0.024526041001081467,0.8025424480438232,0.5523810386657715,0.6444444060325623,0.7889018058776855,1.0,0.4833333194255829,0.6153846383094788
no_init_box_kenn_hybrid_adapter_bert_ms,1,r807p0iz,0.8498955965042114,0.26,0.8589917421340942,1.0,0.80348801612854,0.5777778625488281,0.8589917421340942,0.4444444477558136,1,0.8461538553237915,0.7333333492279053,0.022693634033203125,0.02,1.0,0.02762703411281109,0.6222223043441772,0.5777778625488281,0.4210526645183563,0.7333333492279053,0.8187851905822754,0.7102586030960083,0.8303133845329285,0.5444444417953491,0.7323944568634033,0.5777778625488281,0.7102586030960083,0.8303133845329285,0.8461538553237915,1.0,0.7050359845161438,1.0,0.025653675198554993,0.5111111402511597,0.7898719310760498,0.7323943376541138,0.5777778625488281,1.0,0.8187851905822754,0.6623655557632446,0.025653675198554993,0.5777778029441833,0.025653675198554993,0.7656172513961792,0.7656172513961792,0.6623655557632446,0.8498955965042114,1.0,0.2666666805744171,29,0.02491850033402443,0.80348801612854,0.561220109462738,0.6764706373214722,0.7898719310760498,1.0,0.5111111402511597,0.6153846383094788
no_init_box_kenn_top_down_adapter_bert_ms,1,z4qg3h29,0.8499895930290222,0.26,0.8589917421340942,1.0,0.8038580417633057,0.6111111640930176,0.8589917421340942,0.4444444477558136,1,0.8461538553237915,0.7333333492279053,0.023433644324541092,0.060000000000000005,1.0,0.029107054695487022,0.6555556058883667,0.6111111640930176,0.5365853905677795,0.7333333492279053,0.8191415071487427,0.7114067673683167,0.8305108547210693,0.5694444179534912,0.7586207389831543,0.6111111640930176,0.7114067673683167,0.8305108547210693,0.8461538553237915,1.0,0.7256637215614319,1.0,0.027133693918585777,0.5277777910232544,0.7904540300369263,0.7586206793785095,0.6111111640930176,1.0,0.8191415071487427,0.6643655300140381,0.027133693918585777,0.6111111044883728,0.027133693918585777,0.7656172513961792,0.7656172513961792,0.6643655300140381,0.8499895930290222,1.0,0.36666667461395264,29,0.0259640384465456,0.8038580417633057,0.5847678780555725,0.6909090876579285,0.7904540300369263,1.0,0.5277777910232544,0.6153846383094788
no_init_box_kenn_bottom_up_adapter_bert_ms,1,y1l3nm2w,0.8498955965042114,0.26,0.8589917421340942,1.0,0.80348801612854,0.5777778029441833,0.8589917421340942,0.4444444477558136,1,0.8461538553237915,0.7333333492279053,0.022693634033203125,0.01,1.0,0.02762703411281109,0.6222223043441772,0.5777778625488281,0.4210526645183563,0.7333333492279053,0.8187851905822754,0.7102586030960083,0.8303133845329285,0.5444444417953491,0.7323943376541138,0.5777778625488281,0.7102586030960083,0.8303133845329285,0.8461538553237915,1.0,0.7050359845161438,1.0,0.025653675198554993,0.5111111402511597,0.7898719310760498,0.7323943376541138,0.5777778625488281,1.0,0.8187851905822754,0.6623655557632446,0.025653675198554993,0.5777778029441833,0.025653675198554993,0.7656172513961792,0.7656172513961792,0.6623655557632446,0.8498955965042114,1.0,0.2666666805744171,28,0.02491850033402443,0.80348801612854,0.561220109462738,0.6764706373214722,0.7898719310760498,1.0,0.5111111402511597,0.6153846383094788
no_init_box_kenn_hybrid_adapter_bert_ms,0,bvru3gp8,0.8489344120025635,0.26,0.8580050468444824,0.9166666865348816,0.8020902276039124,0.4888889193534851,0.8580050468444824,0.4444444477558136,1,0.6086956262588501,0.699999988079071,0.02072027698159218,0.01,0.9545454382896424,0.02516033500432968,0.5666667222976685,0.4888889193534851,0.4390243887901306,0.46666666865348816,0.8175050020217896,0.7045518159866333,0.8291059732437134,0.47777777910232544,0.6330359578132629,0.4888889193534851,0.7045518159866333,0.8291059732437134,0.8235293626785278,0.875,0.6297030448913574,0.9232954382896424,0.02170695550739765,0.46666669845581055,0.7883197665214539,0.6376811265945435,0.4888889193534851,1.0,0.8175050020217896,0.6570322513580322,0.02170695550739765,0.4888888895511627,0.02170695550739765,0.7594809532165527,0.7594809532165527,0.6570322513580322,0.8489344120025635,0.897727370262146,0.30000001192092896,42,0.022725464776158333,0.8020902276039124,0.5118280053138733,0.6268656849861145,0.7883197665214539,0.8181818127632141,0.46666666865348816,0.6153846383094788
no_init_box_kenn_top_down_adapter_bert_ms,0,y6g1f6sb,0.8477263450622559,0.26,0.8568538427352905,0.8035714030265808,0.8022546768188477,0.5,0.8568538427352905,0.4444444477558136,1,0.5957447290420532,0.699999988079071,0.02096694707870483,0.03,0.8854166865348816,0.025653675198554993,0.5777778625488281,0.5,0.4545454680919647,0.46666666865348816,0.8170486688613892,0.7022058367729187,0.8286558389663696,0.4861111044883728,0.6131842136383057,0.5,0.7022058367729187,0.8286558389663696,0.7636364102363586,0.8235294222831726,0.6170287132263184,0.844453752040863,0.022200295701622963,0.4722222685813904,0.7885137796401978,0.6164383292198181,0.5,0.8399999737739563,0.8170486688613892,0.6576988697052002,0.022200295701622963,0.5,0.022200295701622963,0.7531735897064209,0.7531735897064209,0.6576988697052002,0.8477263450622559,0.7926050424575806,0.3333333432674408,42,0.023074734956026077,0.8022546768188477,0.5196943283081055,0.6159420013427734,0.7885137796401978,0.7142857313156128,0.4722222089767456,0.6153846383094788
no_init_box_kenn_bottom_up_adapter_bert_ms,0,0dol2sjt,0.8489344120025635,0.26,0.8580050468444824,0.9166666865348816,0.8020902276039124,0.4888889193534851,0.8580050468444824,0.4444444477558136,1,0.6086956262588501,0.699999988079071,0.02072027698159218,0.01,0.9545454382896424,0.02516033500432968,0.5666667222976685,0.4888889193534851,0.4390243887901306,0.46666666865348816,0.8175050020217896,0.7045518159866333,0.8291059732437134,0.47777777910232544,0.6330358982086182,0.4888889193534851,0.7045518159866333,0.8291059732437134,0.8235293626785278,0.875,0.6297030448913574,0.9232954382896424,0.02170695550739765,0.46666669845581055,0.7883197665214539,0.6376811265945435,0.4888889193534851,1.0,0.8175050020217896,0.6570322513580322,0.02170695550739765,0.4888888895511627,0.02170695550739765,0.7594809532165527,0.7594809532165527,0.6570322513580322,0.8489344120025635,0.8977272510528564,0.30000001192092896,42,0.022725464776158333,0.8020902276039124,0.5118280053138733,0.6268656849861145,0.7883197665214539,0.8181818127632141,0.46666666865348816,0.6153846383094788
smart_init_box_adapter_bert_ms,2,sdjce4s2,0.821075975894928,0.26,0.8411985635757446,0.24888889491558075,0.8041458129882812,0.6222223043441772,0.8411985635757446,0.4444444477558136,1,0.34285715222358704,0.7666666507720947,0.023680314421653748,0.05,0.36226415634155273,0.012497943826019764,0.28148147463798523,0.2074074149131775,0.2857142984867096,0.6000000238418579,0.8055748343467712,0.6916791200637817,0.82225501537323,0.5777777433395386,0.35555556416511536,0.31111112236976624,0.6916791200637817,0.82225501537323,0.4380952715873718,0.23999999463558197,0.49740779399871826,0.43666666746139526,0.02762703597545624,0.5333333611488342,0.7906480431556702,0.35555556416511536,0.6222222447395325,0.30666667222976685,0.8055748343467712,0.6650322079658508,0.009209010750055311,0.6222222447395325,0.013813517056405544,0.7205505967140198,0.7205505967140198,0.6650322079658508,0.821075975894928,0.24888889491558075,0.5,5,0.016360945999622345,0.8041458129882812,0.3684848546981811,0.4314606785774231,0.7906480431556702,0.20000000298023224,0.5333333611488342,0.6153846383094788
